Hybridization REF	TCGA-AN-A0AS-01A-11D-A00Y-05	TCGA-AN-A0AS-01A-11D-A00Y-05	TCGA-AN-A0AS-01A-11D-A00Y-05	TCGA-AN-A0AS-01A-11D-A00Y-05
cg07581973	0.638131979575057	PRDX4	X	23685729
cg07584959	NA	MED16	19	892937
cg07586911	0.919521232360578	FAM71F1	7	128355717
cg07588113	0.0138477710313762	C7orf63	7	89874465
cg07588664	0.0643742436966629	NA	NA	0
cg07588779	0.0634329764400949	GPR137;BAD	11	64051753
cg07589355	0.0474426556674483	RBMS2	12	56915842
cg07590705	0.010525507251664	CHCHD3	7	132766510
cg07592353	0.912485444480991	GABRA6	5	161113339
cg07594478	0.0178947069075132	ARIH1	15	72766470
cg07594933	NA	CCDC77	12	515355
cg07595113	0.0175243416185531	MYBL1	8	67525279
cg07595943	0.971726667674866	ADAD2	16	84224901
cg07596401	NA	LHPP	10	126150086
cg07596494	0.0112578217468109	KIF3C	2	26205095
cg07597871	0.0196554395811948	RAP1A	1	112162932
cg07597976	NA	CD19	16	28943019
cg07598199	0.538520299153158	MYOZ2	4	120056829
cg07599644	NA	C11orf41	11	33693866
cg07601320	0.311540537313523	SLC38A4	12	47219841
cg07602026	0.0139316915177234	PSME1	14	24605550
cg07602200	0.0208588762903721	P2RX7	12	121570875
cg07603484	0.808943615345379	NUP62;IL4I1;ATF5	19	50434179
cg07605143	0.857369426305742	EMP3	19	48827843
cg07607462	0.023303792428185	UBR1	15	43398173
cg07607921	0.0278124112253294	ZZEF1;CYB5D2	17	4047574
cg07608333	NA	CD209	19	7813422
cg07611177	0.0339601571239576	SLC25A46	5	110074217
cg07611334	0.021467598574724	NRSN2	20	327811
cg07611925	NA	KCNE2	21	35736383
cg07612655	0.573311556177012	PTGIS	20	48185517
cg07613153	0.311386766943551	TDRD9	14	104436947
cg07613278	0.14328003304418	API5	11	43333327
cg07614786	NA	TTLL3	3	9860331
cg07617246	NA	IGDCC4	15	65715951
cg07617560	0.0133070442917005	DNAJA3	16	4475932
cg07618900	0.0682219692623529	BEST3	12	70093350
cg07619076	0.0821669719020029	NA	NA	0
cg07621042	0.990759621504539	RBMXL3;LRCH2	X	114424768
cg07621046	0.728433267977427	C10orf82	10	118429658
cg07621456	0.778596020688921	CCDC48	3	128749537
cg07623294	0.197951537301292	ELAVL2	9	23826507
cg07625840	0.0195794308598672	PRSS12	4	119274341
cg07628086	0.0122948835799988	AP2B1	17	33914258
cg07629017	0.417798516652634	NPBWR1	8	53851613
cg07633499	0.0663815977957752	UFD1L;CDC45L	22	19467075
cg07634191	0.197171298347172	SCARA5	8	27850178
cg07634204	0.0290982488523469	VPS72	1	151162707
cg07634706	NA	CCL17	16	57438524
cg07636178	0.162019512208997	HIST1H3C	6	26045534
cg07637239	0.724181510297023	KCNK18	10	118957259
cg07638871	0.0178908716399282	MIER3	5	56247860
cg07638935	0.048341327959485	KAZALD1	10	102821427
cg07638938	0.907560202142063	MGMT	10	131348599
cg07639198	NA	AKR1C1	10	5004250
cg07639720	0.0744586252308396	BNC1	15	83952875
cg07639959	0.0186715789149933	EXO1	1	242011162
cg07640473	0.0207253325844974	SEMA3F	3	50193232
cg07640820	0.0287626070762045	AGK	7	141251633
cg07641524	0.0437330410555131	MSRB3	12	65672405
cg07642638	0.236711247731913	CHGB	20	5891786
cg07643942	0.755811151212641	LACRT	12	55029147
cg07644368	0.682714850160435	CDO1	5	115152785
cg07651242	0.0137962812417743	ADCY1	7	45614720
cg07651857	0.0398025614449684	RNF4	4	2471025
cg07651914	0.781295340061132	CLDN15	7	100881986
cg07652213	0.0188316586574456	MSH6	2	48010362
cg07652553	0.0263382424137586	NA	NA	0
cg07654843	0.951874187708702	MYO18B	22	26138429
cg07654896	0.544681198723082	RGN	X	46937829
cg07654934	0.0265742618180038	LXN;GFM1	3	158390329
cg07655627	0.0254550621064806	NUDT12	5	102898729
cg07656304	0.0469722139055325	NAP1L1	12	76479148
cg07656362	0.0257337202186992	C1orf91;EIF3I	1	32688117
cg07656391	0.0519696212628701	DPY30	2	32264720
cg07657236	0.115447446733259	KCNH8	3	19190202
cg07657776	0.467532875763353	UBE3B;KCTD10	12	109914065
cg07658590	0.394661878408388	SLC19A1	21	46963587
cg07658718	0.0186466786711687	CDK5R1	17	30814514
cg07660236	0.443290565953852	ZSCAN12	6	28367883
cg07663789	0.0171028038383061	NPR3	5	32711429
cg07664027	NA	RPL13AP5;RPL13A	19	49990137
cg07664183	NA	HAUS6	9	19103231
cg07664856	0.339053649680771	CNTN6	3	1134528
cg07665060	0.310017755370239	C19orf33;YIF1B	19	38794598
cg07666065	0.0430923792908411	PON2	7	95064469
cg07667595	0.0155381337911345	ZNF576;IRGQ	19	44100631
cg07668036	0.0152075650876693	PSMD4	1	151227536
cg07671208	0.764094407295453	NA	NA	0
cg07671603	0.0189091271895968	C7orf13;RNF32	7	156433350
cg07671949	0.0582299634242999	ESR1	6	152128338
cg07671976	0.0243229596688911	TNFRSF18	1	1142215
cg07672479	0.0111087064363707	DYNC1H1	14	102431106
cg07673945	0.0130000310555419	NA	NA	0
cg07674153	0.0263739624490236	TSHR	14	81421600
cg07675169	0.197654982450528	FLJ16779;NKAIN4	20	61886262
cg07675682	0.315753746426888	SLC26A11;SGSH	17	78195515
cg07676849	NA	FOLR3	11	71845665
cg07677850	0.784038094445648	ADORA2B	17	15847412
cg07678643	0.0190050093374948	C1orf212	1	35325113
cg07679836	0.603328690013592	BAK1	6	33548423
cg07681084	0.0130134222262748	LMBR1	7	156685826
cg07684150	0.00771403641031415	BRP44;DCAF6	1	167906751
cg07684353	0.0349541291803584	MYO1E	15	59664799
cg07684796	0.0946239902161887	DKK1	10	54074209
cg07684809	0.0439688659288051	GLIPR1L1	12	75728212
cg07685034	0.1854031224671	PCBP3	21	47269627
cg07685221	0.0271540738732468	QTRT1	19	10812325
cg07685786	NA	S100B	21	48025691
cg07685869	0.164378443203486	KIFC3	16	57836706
cg07686479	0.0422608446317591	LMX1A	1	165325030
cg07688234	NA	CFP	X	47489663
cg07688613	0.0152646332189493	INTS3	1	153700021
cg07688933	0.028601145829056	TMEM160	19	47551971
cg07689731	NA		1	31393915
cg07689821	0.0422266940606794	DAXX	6	33290736
cg07690018	0.0220347382516938	CPNE7	16	89642492
cg07693270	0.50838824814171	RPL39L	3	186856928
cg07694025	0.0836537238521838	SFRP2	4	154709441
cg07695590	0.030758452978906	CEBPZ;C2orf56	2	37459068
cg07696033	0.635842985056449	ALX4	11	44326410
cg07697078	0.0301819981207835	PFDN1	5	139682675
cg07697569	0.0145635866594208	H2AFX	11	118966186
cg07699362	0.207717316485712	NA	NA	0
cg07699440	0.00848555435122529	FAH	15	80445357
cg07703337	NA	ZNF610	19	52847943
cg07703401	0.456849567094509	HBQ1	16	230341
cg07704144	0.0167417229075663	SNPH	20	1247415
cg07705835	0.120977137529101	IL17RC	3	9959128
cg07705908	0.240262723937166	SPDEF	6	34523925
cg07706067	0.0176223261331127	DHRS7B	17	21030370
cg07706362	0.0602627774294654	ZNF91	19	23578365
cg07707227	0.0144640093550578	MIR449C;CDC20B	5	54469532
cg07707498	0.0241335507825624	C16orf87	16	46865555
cg07708788	0.013027801905649	SLCO2A1	3	133748311
cg07710481	0.053357297229317	SLITRK5	13	88325384
cg07711097	0.442377892833271	GML	8	143915954
cg07711515	0.513571195344302	NA	NA	0
cg07713361	0.0574805282690826	APOL1	22	36649144
cg07713493	0.212245334748911	CDK18	1	205473393
cg07714374	0.191493173205265	NA	NA	0
cg07714534	0.0254304402559367	PRCP;C11orf82	11	82612592
cg07715201	0.164707068179923	GDNF	5	37840839
cg07715387	0.0115015400528075	SLC1A4	2	65216679
cg07715894	0.0152363380933686	C16orf75	16	11439533
cg07717632	0.672971713752822	C9orf167	9	140172631
cg07719512	0.653458563179027	SLC11A1	2	219246576
cg07719737	0.0273722252680792	MANBAL	20	35917850
cg07728874	0.889891898638825	CD3D	11	118213272
cg07730301	0.0520862276178952	ALDH3B1	11	67777952
cg07730329	0.0480576862597592	PCDHGA4;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGA12;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGA7;PCDHGB5	5	140810137
cg07731916	0.0653465240434208	IRF2	4	185395553
cg07732037	0.722143514480609	MPHOSPH9	12	123707827
cg07732644	0.775528558540434	ASPA	17	3378397
cg07733031	0.0114042873346269	SGTB;NLN	5	65018600
cg07736705	0.0136713514089655	POM121	7	72350033
cg07737781	0.0487902952486745	MLXIPL	7	73038866
cg07739803	0.0083267804649613	SLC30A7;EXTL2	1	101361235
cg07740640	0.989767164021546	BHLHA15	7	97841941
cg07740989	0.0161622119301128	EEF1A1	6	74230681
cg07744166	0.0201689932944998	WASF3	13	27131484
cg07745434	0.156735508622614	CHST13	3	126243401
cg07745725	0.423338053369155	PSG3	19	43245860
cg07746918	0.0202831815493368	SREBF2	22	42229324
cg07747299	NA	C21orf56	21	47604052
cg07747336	NA	PATE2	11	125649398
cg07747970	0.0186166634803874	LHX1	17	35293719
cg07748017	0.0160386561068657	PEX5	12	7342621
cg07748540	0.589838841149108	PDGFD	11	104034619
cg07749074	0.448912010809792	HRG	3	186383386
cg07749808	0.0116421843728312	SYT17	16	19179817
cg07750111	0.0181225058494332	HIST1H1C	6	26056168
cg07752420	0.643409270586617	NA	NA	0
cg07753583	0.0251256981898247	LRRC61;ACTR3C	7	150020206
cg07753644	0.539010755602678	PPAN-P2RY11;P2RY11	19	10222175
cg07755653	0.0155222872010193	STX11	6	144471198
cg07757386	0.0183467571288657	RAGE	14	102771445
cg07758574	0.024949971432529	C3orf62	3	49314370
cg07758904	0.0300451312027272	SLC46A2	9	115652824
cg07759587	0.923985436893538	TLR8;LOC349408	X	12924783
cg07761912	0.0180553145473417	TOR1AIP2	1	179846929
cg07763768	0.915590706458277	C9orf45	9	125877923
cg07764959	0.0300328188411796	SLC43A1	11	57282648
cg07766315	0.0317588560576709	NA	NA	0
cg07766612	0.0148291135489867	SLC30A2	1	26372887
cg07770222	0.290614476982095	C8orf31	8	144120106
cg07772309	0.0100396237878114	NELF	9	140353475
cg07773116	0.324236969663517	GDF10	10	48438500
cg07773642	0.0173490163826359	PSMD7	16	74330896
cg07774025	0.161378154103752	HSD17B7	1	162760659
cg07774222	0.014412932422732	MED6	14	71067759
cg07775501	0.0090104457406915	JOSD2	19	51014757
cg07775675	0.033173929177846	SPHK1	17	74379922
cg07777378	0.0307344263366943	GRN	17	42422412
cg07778029	NA	HOXA9	7	27205114
cg07778080	0.0129967497219126	NPC1	18	21166698
cg07780118	0.443249503785848	AR	X	66766506
cg07780979	0.981467330217634	PDCD6;AHRR	5	303287
cg07782113	0.0118405650928568	HIVEP1	6	12012564
cg07785936	0.401800426467969	GPR39	2	133174635
cg07786760	0.0221922057456562	DCHS2	4	155412677
cg07788138	0.0147407304952175	NA	NA	0
cg07789083	0.0142597893250002	GPRC5C	17	72427563
cg07789552	0.0337624401037458	STK40	1	36851195
cg07789904	NA	MAD2L2	1	11741841
cg07790638	0.893768086782266	C4orf21	4	113508575
cg07791997	0.0555569057112574	PPME1;C2CD3	11	73882526
cg07792737	0.711278993798302	NA	NA	0
cg07799434	NA	C19orf43	19	12845367
cg07799947	0.243172907917962	NPAS2	2	101436171
cg07800320	0.182131862881082	ALDH1L1	3	125899567
cg07803864	0.723364959513175	TUBAL3	10	5446998
cg07804122	0.0140406389475436	TXN	9	113018739
cg07804582	NA	C16orf78	16	49407186
cg07805833	0.942290718704867	POLR1C;YIPF3	6	43483391
cg07806164	0.0207682768957432	UBE2E2	3	23244688
cg07807709	0.0522246378918011	HIST2H2AB	1	149860026
cg07807817	NA	COQ6;FAM161B	14	74416425
cg07808960	0.00967570714662647	RBM6	3	49977390
cg07810156	NA	PDZK1IP1	1	47655682
cg07810967	0.732523827385858	IL13	5	131993925
cg07811498	0.02078467752303	C22orf32	22	42475450
cg07811750	0.0153454739839626	CAMTA2	17	4890503
cg07815386	0.0147674796973219	RNF149	2	101925384
cg07816074	0.498694623132717	SH3TC1	4	8201560
cg07816439	0.155850420251376	C1QTNF2	5	159797845
cg07816442	0.0163270695511683	CD3EAP;PPP1R13L	19	45909858
cg07817698	0.0544497196502293	DHODH	16	72042925
cg07817783	0.0111423217968113	DAP	5	10761669
cg07818646	0.0169486461910187	RNASEH2B	13	51483769
cg07819926	0.0165421674123842	C7orf55	7	139025145
cg07820214	0.0143622298668509	RUVBL1	3	127842989
cg07823492	0.71437624435086	HOXB1	17	46608099
cg07823755	0.962371879533991	UGT1A10;UGT1A1;UGT1A6;UGT1A8;UGT1A4;UGT1A3;UGT1A9;UGT1A7;UGT1A5	2	234668355
cg07823935	0.0125487973973846	NCKAP1	2	183902842
cg07824317	0.471112299908586	RPGR	X	38187006
cg07824742	0.991409321508648	DBH	9	136501784
cg07826255	0.0974175924140716	SGCA	17	48243707
cg07827038	0.0122004684806359	SKA3;MRP63	13	21750347
cg07829804	NA	OLR1	12	10325287
cg07829809	NA	METAP1	4	99957216
cg07830847	0.914167864812638	KCNA10	1	111061374
cg07832674	0.698972441668955	IL17RE	3	9943884
cg07833035	0.0134053328515773	RPS23	5	81573845
cg07833382	0.12515551808625	SCPEP1	17	55055134
cg07836370	0.0306290625378292	GLTP	12	110318755
cg07837085	0.353040542382554	SLAMF7	1	160708990
cg07837262	0.0115343328496419	SLC39A14	8	22225395
cg07841014	0.432026476060995	REG1B	2	79314745
cg07842062	0.752274950110425	MEFV	16	3306524
cg07842593	0.0190048511576727	SEPHS2	16	30457166
cg07843027	0.0324183383436178	TMEM170A	16	75498835
cg07844021	0.0458262053674637	COIL	17	55038529
cg07844572	0.0167803528535475	PSMC5;FTSJ3	17	61904053
cg07845390	0.264077095919004	KCNT2	1	196577709
cg07845392	0.198454946069642	SLC25A10	17	79678158
cg07845566	0.00902640178060757	NA	NA	0
cg07846167	NA	FBLIM1	1	16084758
cg07846220	0.54886794071029	LAMA1	18	7117680
cg07847428	0.0176448447712684	MARCH2	19	8478158
cg07849904	0.0436897454579408	MN1	22	28197796
cg07850221	0.829168995008979	U2AF1L4;PSENEN	19	36235109
cg07850604	0.274432155636082	INSM2	14	36003443
cg07851192	0.897410713900818	KCNG2	18	77624513
cg07851243	0.0171196450862333	MXRA7	17	74707271
cg07851278	0.0160098433140835	RIOK3	18	21033426
cg07854244	0.0160229089533889	IP6K2	3	48754518
cg07855056	0.0554102583600328	MIR423;CCDC55	17	28443892
cg07857181	0.0253545755736805	POLH;XPO5	6	43543548
cg07858745	0.0212536495896164	GTF2I	7	74072514
cg07861564	0.0176718301902991	HSPB8	12	119616618
cg07862358	0.0147001511485702	MYO10	5	16935888
cg07864189	0.012409075268145	NADSYN1	11	71164265
cg07864297	0.832942834579719	ESRRB	14	76837569
cg07864632	0.0142466839322169	TRIP12	2	230785697
cg07865790	0.0109734036500531	IKBIP;APAF1	12	99038290
cg07867360	0.830220571755638	PPP2R2C	4	6475156
cg07868688	0.0248777300104156	ORC3L;RARS2	6	88299842
cg07871503	0.775738614945711	RASGEF1A	10	43763042
cg07872652	0.0209971251994834	CNIH2	11	66045932
cg07873128	0.956377455141403	OSBPL5	11	3121400
cg07873488	0.584524740358422	MUC17	7	100662570
cg07874155	0.0147406965730884	CTNNA1	5	138089656
cg07874284	0.429900492054929	PRPS2	X	12809156
cg07874520	0.917548700500538	THEM5	1	151826533
cg07876586	0.681789387743625	PGRMC1	X	118370356
cg07879727	0.0331895599686433	WNT3	17	44896017
cg07879977	0.482020197461266	OR1F1	16	3254567
cg07880061	0.0143693822850894	RAB24;PRELID1	5	176730198
cg07880715	NA	RB1	13	48895478
cg07880854	0.0643744532004507	FBLN7	2	112895559
cg07881407	0.538573903507967	NA	NA	0
cg07882535	0.895271317938826	TRPM5	11	2445392
cg07882831	0.0106615027478248	MGC16275;TTYH2	17	72209802
cg07883333	0.981426721546672	TSTD1;USF1	1	161009753
cg07884019	0.074876732347071	NA	NA	0
cg07884474	0.0176813533957862	VPS16;FAM113A	20	2821816
cg07886712	0.0532202415653197	EWSR1;RHBDD3	22	29665413
cg07888040	0.752472986998568	GLDN	15	51669526
cg07888234	0.0149491241139177	TNFRSF11A	18	59992252
cg07889201	0.0270736306292021	ZNF343	20	2490030
cg07890954	0.560864966526633	NR2E3	15	72102874
cg07892051	0.546443914509583	NA	NA	0
cg07894162	0.0214710055095056	MORC2;TUG1	22	31364948
cg07894717	0.743285908762307	APITD1;CORT	1	10508598
cg07895149	0.0149862241765091	CALHM2	10	105212283
cg07896225	0.00819551342121448	BCL7C;MIR762	16	30905137
cg07897193	0.0180176077985442	SOCS5	2	46926272
cg07897414	0.0521294550090313	KLHL4	X	86772895
cg07897701	0.71475414194352	ABP1	7	150549370
cg07897837	0.0113858628894152	C1orf131;GNPAT	1	231377046
cg07899016	0.200747652898704	PCDHB12	5	140588299
cg07899425	0.0197632316638392	GSR	8	30585046
cg07900766	0.140001046789667	SPAG16	2	214148972
cg07903860	0.0145012423281089	DCLRE1C	10	14995957
cg07903918	0.299900223845502	GABBR2	9	101471986
cg07905963	0.73140332731318	NA	NA	0
cg07906495	0.013687453993292	G2E3	14	31028426
cg07906724	0.272747031063899	CHRNA6	8	42623946
cg07908874	0.388281426644137	ZNF511;TUBGCP2	10	135123006
cg07909265	0.0174451142642382	ITGAV	2	187455298
cg07909422	0.0295242895812431	SIRT5	6	13574371
cg07909527	0.00580392095850871	NUBP2;SPSB3	16	1833420
cg07911663	0.400332624488783	TMEM164	X	109245325
cg07911673	0.68495830966404	SLC25A35	17	8198092
cg07912181	0.00895279738205008	HSD17B12	11	43702277
cg07914866	0.488170574077074	IRAK3	12	66583431
cg07914959	0.0131118839180499	BACH2	6	91006321
cg07915282	NA	RASSF3	12	65003120
cg07915343	0.796180335570451	LDHAL6A	11	18477680
cg07915542	0.0180290528385669	IDH1	2	209120308
cg07917796	0.05026406828249	DIAPH2	X	95939710
cg07918509	NA	ICAM2	17	62083407
cg07919162	0.0146296093192472	SF4;KIAA0892	19	19431259
cg07922606	0.855760447531403	HIST1H3E	6	26225389
cg07924575	0.181115953607997	HPS4;SRRD	22	26881231
cg07924819	0.0156448201558682	ATF6	1	161736104
cg07925687	0.0201603572983044	RABL3;GTF2E1	3	120461082
cg07926025	NA	CER1	9	14722864
cg07927484	0.0207673155134869	SAP30L	5	153826296
cg07928641	0.011238806029827	LAMC1	1	182991847
cg07928695	0.0345674607864179	BLOC1S3;TRAPPC6A	19	45681899
cg07929310	0.0157103503743899	KIAA0513	16	85061061
cg07930578	0.930599071809579	LTK	15	41806588
cg07933176	NA	PCYOX1L	5	148737252
cg07933197	0.890423548162757	NA	NA	0
cg07933199	0.0125061325211278	C3orf59	3	192635636
cg07934026	0.0256810633797377	ZNF721;ABCA11P	4	467794
cg07935151	0.0159931206977335	LSM2	6	31774618
cg07935264	0.322185181500372	IL1B	2	113594375
cg07935568	0.246897009027442	MLNR	13	49794126
cg07936037	0.0116355680183975	SSR1	6	7313172
cg07937272	0.408240520189263	NA	NA	0
cg07940485	0.0140089510177459	SLC16A10	6	111409222
cg07940804	0.184645912044508	ACTRT1	X	127185902
cg07942995	0.269757035587166	ZSCAN1	19	58546307
cg07944287	0.0119115250686422	RFX2	19	6110462
cg07944811	0.953676084741439	GCK	7	44228830
cg07945480	0.0129972724390406	GRK4;NOP14	4	2964972
cg07947016	0.223958110030032	KLK2	19	51375893
cg07947930	0.0595324499816818	PRELP	1	203444945
cg07948245	0.0159516408476522	ARHGAP5;C14orf128	14	32546939
cg07948472	0.89769861169039	SPATA9	5	95018471
cg07950803	0.649762882789657	CD1A	1	158223934
cg07952391	0.467867143636989	THNSL2	2	88470173
cg07952773	0.0151922207775608	NA	NA	0
cg07955356	0.030732402913705	DNASE2	19	12992479
cg07955828	0.0189830168970659	DHX35	20	37591298
cg07955887	0.880470861875422	KIAA0802	18	8717926
cg07957491	0.372198091608296	UCK1	9	134407190
cg07958192	0.592551291335209	TIGD2	4	90033974
cg07959477	0.392221948182172	CLEC1A	12	10251879
cg07959896	0.0194372506736115	GEMIN6	2	39005451
cg07960846	0.0187334924061278	NA	NA	0
cg07962043	0.0368369881092776	TMEM132A	11	60691582
cg07962051	0.0612544504834371	TNKS	8	9412923
cg07962315	0.0733514747991577	OSTF1;C9orf95	9	77704473
cg07964133	0.0436743639200734	HNRNPD	4	83296335
cg07964538	0.0181153089568956	CAV1	7	116164767
cg07964539	0.12906025101284	BYSL;MED20	6	41890080
cg07965714	0.0206162347278557	XPA	9	100459834
cg07965823	0.0364732008618266	ISM2	14	77964712
cg07965839	0.0156714404929495	ZFAND6	15	80351679
cg07967308	0.682984187967201	ACP5	19	11688246
cg07967643	0.0152718053166379	FRS3;PRICKLE4	6	41747785
cg07970007	NA	GBP1	1	89531456
cg07971188	0.0919476964223298	HCP5	6	31431100
cg07973246	0.0132172780197287	SRGAP1	12	64238719
cg07973390	0.018325495670022	CDKN2AIP	4	184365087
cg07973395	NA	BLM	15	91260024
cg07973461	0.657700282791276	NA	NA	0
cg07973967	0.85560758762367	CD79B	17	62009607
cg07974125	0.0107570612957641	C4orf14	4	57843509
cg07974303	0.819770315420384	DEFA6	8	6783987
cg07974891	0.191406735721335	ITGB1BP1;CPSF3	2	9565042
cg07975063	0.024499199337747	NA	NA	0
cg07975813	0.017719028382858	USP5;CDCA3	12	6961094
cg07977490	0.580997248542673	C16orf45	16	15527940
cg07979357	0.27797629761038	IL27RA	19	14142353
cg07979577	0.0123976602741102	NA	NA	0
cg07979752	0.0528649544744852	CUL5	11	107879401
cg07980015	NA	TMTC4	13	101295688
cg07980518	0.0174796881653999	RNF152	18	59560394
cg07980804	0.0212584035148259	WDR7	18	54318615
cg07980988	0.779109722736331	SH2D1A	X	123480013
cg07981495	0.59698899920212	CGA	6	87804765
cg07981588	0.0539023511592786	YWHAZ	8	101965659
cg07981910	NA	DAB2IP	9	124461412
cg07985359	0.0443575280789301	EVI5L	19	7894666
cg07986525	0.0141088153649245	NFE2L3	7	26192199
cg07986773	0.538070864692989	NA	NA	0
cg07989514	0.00831089853393301	C14orf4	14	77495178
cg07990489	0.0153693489876252	NUP35	2	183989218
cg07990939	0.0138468984422039	TMTC3;CEP290	12	88536410
cg07991621	0.0784158405762755	SH3BP2	4	2820479
cg07992625	0.0382754593523711	ATF7	12	54020444
cg07997737	0.256374458960753	NRTN	19	5822630
cg08001895	0.166688644945952	EPHA7	6	94129582
cg08002996	0.0335991691316632	SOCS2	12	93963601
cg08003150	0.0160241296121111	KCNQ2	20	62103627
cg08003742	0.119311032271648	CXCL3	4	74904106
cg08005849	0.0355929991391562	HGF	7	81399399
cg08007665	0.698532222037735	KCNQ1	11	2593857
cg08008233	NA	TCEB3C;KATNAL2	18	44557819
cg08008403	0.0390717690823579	LHX9	1	197881741
cg08008562	0.0147548378534127	UBE2Q1	1	154530682
cg08009328	0.423669890574732	NA	NA	0
cg08009622	0.0150952945127992	COL12A1	6	75916327
cg08009711	0.700471834592917	C2CD2	21	43346184
cg08009831	0.0171375111378379	NA	NA	0
cg08011170	0.0109914931341765	ELAC2	17	12921393
cg08011328	0.0156296920671304	MED20;BYSL	6	41889049
cg08012287	0.398857547610361	ACTN3	11	66315298
cg08012454	0.0144742744322518	KIF5B	10	32345019
cg08013810	0.734037065680573	PHF20	20	34389239
cg08015253	0.0188059718556841	MOCOS	18	33767315
cg08015496	0.174234341499054	NCSTN;COPA	1	160314061
cg08016363	0.106721810248471	TMEM11	17	21118577
cg08016383	0.0134958562925652	ADAMTS17	15	100882020
cg08017606	0.0521509134280825	SH3RF2	5	145316274
cg08020051	0.0174540741762538	GPAA1	8	145137133
cg08020381	0.0146539186457875	IDI1	10	1095554
cg08020808	NA	CMA1	14	24977773
cg08021299	NA	HEPH	X	65383076
cg08022502	0.0335369884296605	UNC45A	15	91479023
cg08023692	0.847737111734287	TFDP3	X	132352214
cg08023751	NA	MERTK	2	112655112
cg08024766	0.0361659527869103	CYTH1	17	76777877
cg08025786	0.903048630315578	CLK3	15	74899328
cg08026144	0.020316220426922	PCSK5	9	78505312
cg08027001	0.0147284912214598	SLC30A4;C15orf21	15	45815269
cg08027745	0.0186519014516471	SFRS3	6	36561726
cg08028004	NA	RANBP2	2	109336023
cg08029608	0.15358123205883	NA	NA	0
cg08030082	0.686041331410962	POMC	2	25391839
cg08032971	0.64871549909589	DMBX1	1	46972736
cg08034216	0.0239612248459074	IDE	10	94334227
cg08034397	0.0190814876886976	NA	NA	0
cg08035082	0.942944738109785	AMPD3	11	10471149
cg08035942	0.0270476141388077	TSHZ1;ZADH2	18	72921337
cg08039281	0.017423511491214	PSMA6	14	35761689
cg08040428	0.0423788704946348	PSD3	8	18870913
cg08040471	0.671029018498345	C17orf62	17	80407779
cg08041019	NA	ATXN2	12	112037456
cg08044694	0.0308533259205742	BRD4	19	15391927
cg08045570	0.00923058224153747	NA	NA	0
cg08045757	0.878544440848574	HDAC7	12	48192686
cg08046471	0.849588209353449	ART3;CXCL11	4	76958126
cg08047457	0.739576661494147	RASSF1	3	50378413
cg08047907	0.716900145066991	C1orf114	1	169396858
cg08048656	0.0139856745844122	SMARCE1	17	38804199
cg08049198	0.0185395370588071	AGPAT1;RNF5P1;RNF5	6	32145904
cg08052882	0.0216885955956118	NNT	5	43602666
cg08054038	NA	PVRL2	19	45348674
cg08056146	0.0150177737492689	SOX7	8	10588013
cg08056903	0.0237135856031264	GPHN	14	66974163
cg08057475	0.612786604669273	SLC30A4;C15orf21	15	45803341
cg08062469	NA	SPAG5	17	26926627
cg08063013	0.011358849345039	COX8A	11	63742144
cg08063724	0.014344964798628	MYCL1	1	40367097
cg08064891	0.018249143750537	PTOV1	19	50355254
cg08067268	0.117565838496084	HADHB;HADHA	2	26466485
cg08067365	0.0227086086554749	ISG15	1	948893
cg08069899	0.107213701677466	CCND2	12	4383770
cg08072716	0.59733106944741	GPR62	3	51989692
cg08074477	0.400076548254473	TNS4	17	38657949
cg08076508	0.536980382412383	PHF8	X	54070176
cg08077345	NA	PLEKHA4	19	49372273
cg08077673	0.265900084060378	MEST	7	130126368
cg08079693	0.0141986140886987	CHD6	20	40247090
cg08080029	0.0331670627324687	CHD5	1	6239970
cg08081036	0.0579772712737836	ANXA2	15	60690219
cg08081407	0.0903052150630669	ARF4	3	57583693
cg08081725	NA	NDE1	16	15743607
cg08082692	0.860758561259117	CHST15	10	125805493
cg08083689	0.0177430093526978	ACOX3	4	8442326
cg08084415	0.0236193538747923	ZNF507	19	32836414
cg08085165	0.871245994976379	NUP37	12	102511411
cg08085267	0.698434950982321	C17orf57	17	45401833
cg08088390	0.243727506706221	DEFB125	20	68170
cg08088989	0.244549591000618	ZNF280A	22	22874447
cg08089301	0.0196297655871553	HOXB4	17	46655561
cg08090396	0.0158885724022337	NEK4	3	52805200
cg08090640	0.0559921472240909	IFI35	17	41159289
cg08090772	0.0186490259372359	ADHFE1	8	67344640
cg08093211	0.293293801796416	CSTF2	X	100075588
cg08093278	0.00966313513131998	RANBP3	19	5977699
cg08093398	NA		20	25382007
cg08095532	0.943440952251624	PSMA4	15	78831288
cg08096010	0.887551823240685	SAG	2	234216562
cg08096038	0.911590463222889	SFRS18	6	99861729
cg08096946	0.011578167213936	DIRC2	3	122514224
cg08097657	0.894191263825786	SEMA3B	3	50313996
cg08097755	0.162992860207827	VGF	7	100808488
cg08097882	0.433169466133386	POU4F1	13	79177516
cg08097973	NA	LRTOMT;NUMA1	11	71793051
cg08099701	0.835284983516662	GABRA5	15	27160007
cg08100497	NA	NRG2	5	139422525
