Hybridization REF	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05
cg03327494	0.882619681397717	ZDHHC19	3	195938048
cg03328750	0.0230507496812699	ARHGAP26	5	142150401
cg03328804	0.0874485161796834	UVRAG	11	75526289
cg03329165	0.0300342861424353	CD200	3	112052218
cg03329572	NA	FCRL5	1	157523253
cg03330058	0.124394217546074	ABTB1	3	127392403
cg03330516	0.155676909239649	SRMS	20	62178744
cg03330678	0.111196786542734	SEPT9	17	75316233
cg03332113	0.043752262176469	RAI14	5	34656078
cg03332271	0.0937859516716279	MST1R	3	49941151
cg03332970	0.0422426730251935	ESAM	11	124632552
cg03334529	0.830503818014415	NA	NA	0
cg03336167	NA	SLC22A18	11	2930995
cg03338064	0.843776606505402	NA	NA	0
cg03338189	0.0267764576349993	NA	NA	0
cg03338959	0.0517351111963363	NAMPT	7	105926305
cg03340261	0.0132879273165177	HBS1L	6	135375900
cg03340878	0.69829988752905	OR2B6	6	27925166
cg03343942	0.347940711735943	SLC39A5	12	56625109
cg03347966	0.0207647362733281	GPR172A;FBXL6	8	145582459
cg03349251	NA	MAK	6	10832472
cg03349935	0.900836520272015	RASL12	15	65361335
cg03349953	0.539022879095077	PCDHB5	5	140515207
cg03352153	0.93161629004906	LGSN	6	64030429
cg03354519	0.0327512721215001	ANXA5	4	122618501
cg03354772	NA	C10orf93	10	134756503
cg03355298	0.0135394634056777	B2M	15	45003704
cg03355526	0.0340586598594767	ZNF454	5	178368415
cg03359285	0.0322764849648197	TOP2A	17	38573811
cg03359508	0.0138410455242562	ANXA11	10	81964782
cg03361068	0.0184209090012684	TRIM9	14	51561562
cg03362494	NA	ZDHHC19	3	195938668
cg03363175	0.0229764968857072	NLE1	17	33468875
cg03363283	0.898488574260175	NA	NA	0
cg03364504	NA		1	113393176
cg03364781	0.947866125956597	ALPK1	4	113298593
cg03365354	0.00833465872544535	MCAM	11	119187391
cg03365432	0.0431190313023065	FGFR1OP	6	167412981
cg03365437	0.613334603350842	ALDH1A2	15	58357874
cg03366382	0.796382651390671	INS;INS-IGF2	11	2182644
cg03366677	0.00996683498730362	C14orf4	14	77495018
cg03366896	0.00723574520234758	ECHS1	10	135186866
cg03367667	0.0138913732017282	STOML2	9	35103545
cg03368758	0.796329326870064	LDB2	4	16900733
cg03369671	0.0143880675510192	ARMC9	2	232063176
cg03370542	0.0426860751308091	NA	NA	0
cg03371205	0.0224613320162955	LYPLA2	1	24117506
cg03371306	0.0257843215343478	FBXW7	4	153456039
cg03373080	0.0238388483964106	CCDC109A	10	74452380
cg03373442	0.166609006534081	HSPH1	13	31736396
cg03373857	0.0526010459873957	WBSCR16	7	74489715
cg03375002	NA	LAT2	7	73623876
cg03375833	0.065419617353732	TTLL3	3	9859360
cg03377682	0.0334603226276899	NA	NA	0
cg03379131	0.0126610999715381	ADAM15	1	155024281
cg03380645	NA	SFTPB	2	85895048
cg03380773	0.0296668772193194	NKX6-3	8	41504331
cg03381111	0.602063993675512	SNORD116-1	15	25296571
cg03382304	0.0581795817798953	JAM2	21	27012176
cg03382346	0.928241239670683	ZNF611	19	53233245
cg03382564	0.0177526077926119	ZNF362	1	33722125
cg03382797	0.920705382284726	C9orf98;C9orf9	9	135755363
cg03383661	0.0326035362462784	TBCC	6	42714115
cg03384938	0.0182253864100315	CXXC4	4	105412832
cg03386140	0.0158119701004593	NA	NA	0
cg03386373	0.88915160295364	SPATA3	2	231860456
cg03386722	0.0241990067173788	FASN	17	80056517
cg03386869	0.473843502206563	ITGBL1	13	102104848
cg03386903	0.960384504607848	KCNAB3	17	7832479
cg03387497	0.918321722887199	BANF2	20	17680945
cg03387723	0.54534409958952	SCMH1	1	41708464
cg03388193	0.307874244144795	HPSE2	10	100996070
cg03389111	0.0573011459116234	KRR1	12	75905372
cg03389133	0.157147767229451	SSTR3	22	37608611
cg03389164	NA	ASB2	14	94423872
cg03390211	0.0101527397748737	RGS11	16	325826
cg03391040	0.0201013056922028	ZNF420	19	37569273
cg03391568	0.772138363358415	PTH1R	3	46918266
cg03392046	0.074019765987422	CCDC75;HEATR5B	2	37311658
cg03395546	0.0689006264616082	ADCK4;ITPKC	19	41222599
cg03395898	0.0561721644650248	TGFB3	14	76448011
cg03396229	0.0683817903843952	COL22A1	8	139926571
cg03399459	0.644450323471106	NA	NA	0
cg03399971	0.942026125066282	INHBC	12	57828847
cg03400060	0.544467151467003	BHMT2;DMGDH	5	78365801
cg03401114	NA	BMP8B	1	40255440
cg03402775	0.0241707771290686	DZIP3;KIAA1524	3	108308147
cg03402876	0.0133897550226622	KCNF1	2	11051991
cg03403539	0.0150611721309948	NUPL2	7	23221679
cg03404502	0.911194724028512	GPR18;UBAC2	13	99911826
cg03405173	0.103106376393564	ZNF441	19	11877721
cg03406535	0.138983416193261	RBP7	1	10056957
cg03409548	0.0379844266245041	MOBKL2C	1	47082691
cg03410718	0.972469700255494		19	647423
cg03411288	0.025872990468246	C10orf47	10	11865805
cg03414321	0.0447264577488657	HCK	20	30640022
cg03415518	0.873970749706404	RMST;MIR1251	12	97885729
cg03417317	0.0163969784630843	TMEM180	10	104221000
cg03417466	0.814169301613439	NA	NA	0
cg03418289	0.00929169180878339	LIX1L	1	145477137
cg03421300	0.963527406124676	SFN	1	27189787
cg03421687	0.0116105914487478	NA	NA	0
cg03422350	0.651802028682579	MOCS1	6	39895671
cg03423524	0.00821145124640513	FOSL1	11	65667924
cg03424436	0.0185492979359899	CEP250	20	34043664
cg03425110	0.317337587620798	NEUROG3	10	71333037
cg03426225	0.944330246732256	FAM38B	18	10697032
cg03427564	0.0252990750084075	EP300	22	41489051
cg03427831	0.159463726205904	NA	NA	0
cg03428000	0.0695631979849018	MPHOSPH8	13	20207770
cg03429034	0.0126436207920564	ZKSCAN1	7	99613105
cg03429582	0.0338342273379935	RBM4	11	66406312
cg03430067	0.0999989931425287	C19orf57;CC2D1A	19	14016927
cg03430998	0.399599338468373	NA	NA	0
cg03431064	0.0163286851872104	TUBB2C	9	140135566
cg03437318	0.0105966737172198	ERBB3	12	56474175
cg03438515	0.0179808590377186	SRGAP3	3	9291212
cg03438904	0.0124523862899595	LRCH3	3	197518158
cg03439703	0.445141758236108	PDE3B;PSMA1	11	14664991
cg03439805	0.0328764141480325	CORO1C	12	109124743
cg03440267	0.0463050188939161	F13A1	6	6321061
cg03440846	0.780312785906566	NA	NA	0
cg03442064	0.110871414556483	FOXP4	6	41515050
cg03443922	0.0285246144350677	CBLL1	7	107384711
cg03445474	0.0132916388635966	CAPRIN1	11	34073002
cg03445896	0.807004646483904	LPAR4	X	78010565
cg03446863	0.0360516461409647	TFEB	6	41702426
cg03447931	0.029916226402294	BMP6	6	7726645
cg03451296	0.00697050330515938	CRIP2	14	105940391
cg03453449	0.945873617216597	USP44	12	95945120
cg03454353	0.156420008877917	ZFP37	9	115819364
cg03455024	0.877448744794422	SLC12A3	16	56899183
cg03455458	0.0262554159793283	VASH2	1	213124545
cg03455762	NA	XPNPEP2	X	128873475
cg03455874	0.030148373621901	BRI3BP	12	125478229
cg03458191	0.964272350533282	NA	NA	0
cg03459809	0.774395809517682	EPHX1	1	226013010
cg03460527	0.0329643896324054	F3	1	95008117
cg03460682	0.0157103267071002	CYP27A1	2	219646316
cg03461495	0.0105704482246545	ANKZF1;ATG9A	2	220094219
cg03462055	0.0377724117099145	TUBB2B	6	3227556
cg03464416	0.850729186937396	RPL10	X	153626979
cg03464655	0.441258109065091	SLC38A11	2	165811982
cg03464689	0.0514941220314472	NFKB1	4	103422429
cg03465320	NA	PSMB9;TAP1	6	32823078
cg03465847	0.0063040950554314	MED14	X	40594937
cg03468463	0.943982067745074	SERPINB12	18	61223564
cg03469054	0.810943374630747	TMEM132D	12	130387861
cg03469082	0.0862873602767654	GABRG1	4	46126448
cg03469158	0.834008468942706	NA	NA	0
cg03473294	0.0116526638956438	TASP1	20	13619704
cg03473518	0.697790150062468	GJB6	13	20805656
cg03474731	0.0426131935697441	CHEK1	11	125495234
cg03475172	NA	USP6NL	10	11654177
cg03475420	0.00940621824629229	RTN4R	22	20255667
cg03476195	0.109640348319408	ANK2	4	113970745
cg03476370	0.0429270216723499	NDUFC2	11	77791237
cg03478689	0.0115366831993865	EDIL3	5	83680717
cg03479797	0.0292071509200684	ATF6B	6	32096154
cg03479974	0.0270625941356257	ANKRD16;FBXO18	10	5931970
cg03482087	0.0846259223782507	MFSD8;C4orf29	4	128886832
cg03483626	0.186442305441092	KCNA3	1	111218276
cg03483654	0.993533816359532	DAK;DDB1	11	61102074
cg03484533	NA	FABP3	1	31846491
cg03486540	0.0483442410485049	ZNF224	19	44598375
cg03490115	0.029352470909641	INO80B	2	74681972
cg03490200	0.0988758260292977	A2ML1	12	8975196
cg03491181	0.0340294318097232	FKBP3;FANCM	14	45605002
cg03491478	0.211713942461487	MAPK8IP1	11	45906914
cg03493069	NA	CYTH1	17	76778892
cg03494005	0.00750090167060018	FBXO24;LRCH4	7	100183994
cg03495868	0.0316597861060844	PTGFR	1	78956905
cg03496289	0.0345129550737602	CDKN2D	19	10680229
cg03496978	0.116174981479471	FBXO28	1	224302360
cg03498559	0.690991794186196	UGT2B4	4	70361062
cg03499052	0.0175292468273722	FAM114A1;MIR574	4	38869262
cg03503295	0.936942970847004	DNAH5	5	13944491
cg03503905	0.00828892230740011	TAF4	20	60640758
cg03504078	0.189739599791298	PCDHB3	5	140480218
cg03504701	NA	CDH18	5	19980857
cg03506489	0.221633277615702	KCNA4	11	30038788
cg03506684	0.0370445081146132	GYG2	X	2746697
cg03506799	0.011123874732011	CHSY1	15	101792752
cg03509024	NA	VHL	3	10184013
cg03510310	0.902548785496108	HRASLS2	11	63331286
cg03513163	0.128124164656609	PCDHB1	5	140431149
cg03513363	0.0318064312645243	TTLL9;DUSP15	20	30458745
cg03515901	0.799049257344038	TGIF2LY	Y	3447157
cg03517000	0.940375603951272	NA	NA	0
cg03518503	0.0165991772334827	PLEKHH3	17	40828905
cg03519303	NA	CCRN4L	4	139936796
cg03520136	NA	UPP2	2	158851300
cg03521113	0.159680317336544	LRMP	12	25204672
cg03521347	0.0248630065765806	NUDCD3	7	44529975
cg03521600	0.0512059309218661	MTBP;MRPL13	8	121457500
cg03522063	0.654555421361251	EMX2;EMX2OS	10	119302167
cg03522216	0.0163205814273859	GOLPH3	5	32174578
cg03522403	0.022003597507912	STAU1	20	47805138
cg03522910	0.036712753887273	B4GALT3	1	161147597
cg03524308	0.0304164587573122	ZNF585A	19	37663414
cg03524627	NA	CDC25B	20	3776483
cg03528946	0.0660339700400109	SHB	9	38069800
cg03529436	0.0367314524371707	C5orf32	5	139554541
cg03530967	0.0480915211159729	ITGAV	2	187454299
cg03531512	0.0358278006388224	TFIP11	22	26908677
cg03532005	0.234358078304664	CCT6A;PSPH	7	56119028
cg03532114	0.027513523720048	COMMD1	2	62132888
cg03532879	NA	ADIG	20	37209395
cg03532957	0.0229232569167381	CHSY1	15	101792098
cg03533058	0.868480819927715		12	52437571
cg03533811	0.981520054494298	NA	NA	0
cg03533858	0.746882885760278	MORN1;RER1	1	2324396
cg03534410	0.251564111727632	TMEM40	3	12801112
cg03535648	NA	PMCH	12	102592479
cg03536003	0.324647913161453	NA	NA	0
cg03536787	0.0166743840600245	NSD1	5	176561447
cg03538345	0.049629240776514	MTMR3	22	30279922
cg03538436	0.511443460833608	NOS1	12	117799370
cg03539474	0.0168896490169347	SLC25A12	2	172751088
cg03543403	0.00675135095178396	DIABLO	12	122710630
cg03543593	0.0459106303015336	TNXB	6	32076417
cg03544320	0.902909852624493	CRMP1	4	5894691
cg03544379	0.607919407770968	OR7C2	19	15052824
cg03544525	0.0415169225464456	PFKFB2	1	207226564
cg03545635	NA	CHST12	7	2471551
cg03547797	0.267715697945864	GAS2	11	22689644
cg03547924	0.0154917807471375	GDF5	20	34025927
cg03548857	0.734090543664998	FFAR2	19	35940174
cg03549127	0.0425704781481524	GCA	2	163200582
cg03549571	0.00780538797548784	DHH	12	49488198
cg03550002	0.0323818878562035	TTC37;ARSK	5	94890897
cg03550508	0.0105745434637082	C22orf13;SNRPD3	22	24951766
cg03552103	0.0900934091538486	SEPT10;ANKRD57	2	110373002
cg03552688	0.929439493316086	BPESC1	3	138822369
cg03554552	0.00771531841676143	CD3EAP;PPP1R13L	19	45908146
cg03554914	NA	MASTL	10	27444905
cg03555203	0.970454657565549	TSHZ3	19	31770188
cg03555909	0.00879598929567431	TMEM109	11	60682030
cg03556497	0.5774654055568	SLC32A1	20	37352792
cg03557698	0.965817722283333	C1orf177	1	55271921
cg03557733	0.0440628326385182	MPP2	17	41985183
cg03558299	0.0102259620438128	CSE1L	20	47662597
cg03558807	NA	NCRNA00219;SNORA13	5	111495981
cg03560090	0.0796704412152828	RBM42	19	36119752
cg03560597	0.0105315392510565	DUSP18	22	31064008
cg03561565	0.118934448812223	KCNS2	8	99438624
cg03562120	0.763242913256209	WISP2	20	43343997
cg03563403	0.00976102345907565	FANCG	9	35079882
cg03564506	0.0153311617881317	TRRAP	7	98475901
cg03565081	0.0993229548351423	C14orf93	14	23478970
cg03565323	0.0713527610684507	ZNF287	17	16472866
cg03565782	0.00552604568405589	IER5	1	181057814
cg03567830	0.0125129177391143	NTSR1	20	61339871
cg03568064	0.0409523001602655	MAPK8IP1	11	45907500
cg03568718	NA	TP73	1	3579873
cg03569412	NA	MBD3	19	1593943
cg03569637	0.856106344149871	LOC100233209;FAM113B	12	47609357
cg03570766	0.987485974604354	CATSPER1	11	65793706
cg03570976	0.0113523089701683	FAM96B;CES2	16	66968476
cg03572913	0.0244026695822244	ROMO1;NFS1	20	34287853
cg03573747	0.881317620873383	ADIPOQ	3	186560617
cg03574115	0.840044012578365	WDR65;EBNA1BP2	1	43636559
cg03574571	NA	CD22	19	35820181
cg03575468	NA	PDHA1	X	19362613
cg03578041	0.358355106893008	LARP6	15	71147307
cg03580247	0.63306969205044	SLC4A1	17	42345488
cg03580351	0.0255109825647767	GEN1;SMC6	2	17935719
cg03580876	NA	TRMU	22	46731674
cg03582451	0.776414356154711	ERI2;LOC81691	16	20816408
cg03583857	0.819601260741629	CD34	1	208085022
cg03584220	0.89316324544457	NA	NA	0
cg03584646	0.950678724027203	TBC1D8	2	101676513
cg03586029	0.0330028601430533	MFSD8;C4orf29	4	128886849
cg03586879	0.531529884590992	A2BP1	16	6068831
cg03588357	0.0652433696935532	GPR68	14	91720173
cg03589001	0.829304498414446	MORF4L1	15	79164714
cg03591238	NA	ZNHIT2	11	64885558
cg03591594	0.00856920386055565	VLDLR;FLJ35024	9	2621918
cg03592161	0.0123013677307154	C17orf48;SCO1	17	10601178
cg03593419	0.44872526434874	GABRA4	4	46995474
cg03594044	0.0104053995756081	FUT10	8	33330726
cg03595428	0.618599095488687	MTCP1;MTCP1NB;BRCC3	X	154299274
cg03597525	0.243479428331027	SIGLEC10;LOC100129083	19	51920435
cg03599338	0.615219682789281	SUSD2	22	24577315
cg03600318	0.54470216062216	SFTPD	10	81708991
cg03600687	0.00996306012791087	BOK	2	242499012
cg03602500	0.826225871141826	KIR3DX1	19	55047721
cg03604278	NA	CIDEC	3	9922234
cg03605339	0.0194330758415376	ARMC7	17	73105863
cg03605761	0.520513821193209	RNF126	19	663973
cg03606258	NA	GNAS;GNASAS	20	57426935
cg03608167	0.0107082874925569	CXCR4	2	136875637
cg03608577	0.776910901612802	OR12D3	6	29342679
cg03608974	0.0169387065923561	ZAK	2	173940268
cg03609102	0.219010501743269	MUC5B	11	1244533
cg03611555	0.0129677804036406	SLC25A21;LOC100129794	14	37641600
cg03614513	0.0223806311311335	TSPAN2	1	115632038
cg03614664	0.0210594268089624	RBX1	22	41346948
cg03616357	0.0113188864303559	MAP9	4	156297942
cg03617367	0.00944726062414073	C14orf43	14	74226931
cg03617456	0.210209206538134	EXOSC10	1	11160205
cg03619472	0.0634047758948478	OGFOD1;NUDT21	16	56486263
cg03620376	0.0221600443589029	CDC42EP5	19	54984272
cg03621001	0.976834279640489	RAB8A	19	16221719
cg03621406	0.0647618755422327	FBXL12	19	9930365
cg03622431	0.94573243321448	UOX;DNASE2B	1	84864880
cg03622689	0.0176055128128102	C21orf67;C21orf70	21	46359691
cg03623878	0.0469225844430216	MCF2L	13	113655560
cg03625911	0.134347000245495	CHI3L1	1	203155737
cg03626672	0.0605942435620197	CXCR7	2	237478664
cg03627896	0.558261101297479	NCRNA00095	16	30934334
cg03630088	0.179765336192866	CPXM2	10	125651526
cg03630344	0.0588832262071791	VAMP3	1	7831156
cg03631076	0.0246905494021562	BANP	16	87985047
cg03633120	0.0846681950725251	NDUFA7;RPS28	19	8387262
cg03634234	0.224270796350393	MLL3	7	152132218
cg03634982	0.887586208224383	NA	NA	0
cg03634997	0.0315605593584911	GAS8	16	90089283
cg03636183	0.797787447404238	F2RL3	19	17000585
cg03640148	0.0370803700291076	WDR6	3	49044952
cg03640568	0.0123593565606786	DDX17	22	38902623
cg03640944	NA	ITPRIP	10	106093819
cg03641225	0.579659137845837	DIRAS3	1	68512539
cg03642357	0.0283803326748426	NA	NA	0
cg03642518	0.508095760155363	PNOC	8	28175003
cg03643709	0.192139294317861	VPS18	15	41186784
cg03644378	0.0207405934671391	CYB5D1;LSMD1	17	7761459
cg03648823	0.0163939602180805	ZNF643	1	40915636
cg03649060	NA	ELOF1	19	11665451
cg03651573	NA	TRIM28	19	59055127
cg03652343	0.0185715311606708	HERC4	10	69835287
cg03657766	NA	DLX2	2	172967014
cg03658471	0.0175916239131924	SGMS1	10	52383438
cg03658707	0.766720682337531	ASIP	20	32848426
cg03660451	0.846424833742269	RECQL5;SAP30BP	17	73664606
cg03662459	0.832593923962824	IL11RA	9	34654290
cg03663215	0.0234047921128565	ADCY2	5	7396491
cg03663715	0.0267591147462653	FOXD1	5	72744904
cg03664139	0.00941248242450238	ASCC3	6	101329504
cg03664800	0.0193573034472203	LOXL2	8	23261312
cg03664992	0.0603863637565484	BMP8A	1	39957393
cg03665457	0.51000600826432	HSD17B7P2	10	38645376
cg03665605	NA	ATP5J2	7	99064212
cg03665785	0.0421404431872774	C22orf31	22	29458676
cg03667047	NA	KL	13	33589962
cg03667091	0.0168657188872582	ACTL6A	3	179280746
cg03668539	0.904048025813857	PEX11G	19	7553324
cg03670238	0.347887130647799	WISP1	8	134202370
cg03672021	0.606245848232472	FLNA	X	153602658
cg03673470	NA	ZP4;LOC100130331	1	238055429
cg03673687	0.00997589601882896	EML1	14	100259804
cg03679305	0.207021168401921	SLC2A5	1	9129487
cg03679581	0.121112029061724	RLN2	9	5304511
cg03679734	0.352804112125227	CKMT1B	15	43885090
cg03680758	0.0105320341110659	SLC2A4RG	20	62371416
cg03681481	0.0128252850593859	OVOL1	11	65555418
cg03682712	0.0225955866798421	LOXL1	15	74219307
cg03682823	0.358954910701626	SGCE;PEG10	7	94286953
cg03684977	0.112076855349485	GRB7	17	37893803
cg03686067	0.896045585079152	CCDC102B	18	66504389
cg03688818	0.149897011792124	APEH	3	49711147
cg03690162	0.0285404455020923	BAG3	10	121410453
cg03691812	0.0219299162669132	CORO1A	16	30194416
cg03693099	0.854157419524254	CEL	9	135936901
cg03693601	0.00595010838679906	SHCBP1	16	46655349
cg03694261	0.0181684955726294	C11orf63	11	122753977
cg03695693	0.0388910137076981	ITGB1BP3	19	3932959
cg03697316	0.0366813246031526	LZTR1	22	21336741
cg03698393	0.013825918395348	HAPLN3	15	89438795
cg03699566	0.804532517722576	FOLR1	11	71900652
cg03699904	0.290256766173456	SLC2A2	3	170746029
cg03700218	0.0751345340152669	SPSB3;NUBP2	16	1832709
cg03700308	0.0322349827904095	MOCS3;DPM1	20	49575492
cg03700462	0.0627550887199115	HOXA1	7	27135684
cg03701222	0.013007821476769	RAB40C	16	639209
cg03702236	0.0312209873385573	SEMA5A	5	9546755
cg03703325	0.0135826084403774	HEMK1	3	50606864
cg03704024	0.913201247738208	TMCC1	3	129598923
cg03704031	0.304469222402518	INGX;BCYRN1	X	70712215
cg03704393	NA	ZNF169	9	97042001
cg03704653	0.793166149573955	FAM9A	X	8769344
cg03705396	0.0312626104256519	MAP6D1	3	183543680
cg03707950	NA	FAM114A2;MFAP3	5	153417076
cg03708463	0.0139207836108617	RNASEH1	2	3606331
cg03712038	0.0273710248171618	ZNF160	19	53607021
cg03712237	0.932691474886183	NA	NA	0
cg03712239	0.0150511085553973	ZNF25	10	38265764
cg03712708	0.0181516141967923	CKS2	9	91925885
cg03712843	NA	STOML3	13	39565534
cg03713346	0.0129643814719529	CPNE2	16	57126807
cg03714397	0.90682617530756	NA	NA	0
cg03714916	NA	CDKN1A	6	36645886
cg03716937	0.823956756728075	ADAM2	8	39695862
cg03716942	0.0116559144224776	GNB1	1	1821981
cg03716999	0.145631253146327	RNF207	1	6265802
cg03717979	0.0108910090406246	MSX1	4	4862184
cg03718026	0.0895672580338693	NA	NA	0
cg03718539	0.508776554406087	NA	NA	0
cg03718677	0.932716127691713	TMOD4	1	151148266
cg03721967	0.93897106073232	GRTP1	13	114009720
cg03723845	0.82370419131593	BTNL8	5	180326186
cg03724445	0.0174963768632705	PRKRA;DFNB59;MIR548N	2	179316085
cg03724463	0.0406381938643518	CCK	3	42306524
cg03724882	0.025277474310316	CDKN3	14	54864244
cg03727165	0.490430282319777	NA	NA	0
cg03729431	0.0110912188668925	ADORA2B	17	15848264
cg03731616	NA	MYLK	3	123603618
cg03731898	0.766899688655552	CPO	2	207804081
cg03732056	0.560419558071305	DOK2	8	21771059
cg03732295	0.0228334085723058	IMPAD1	8	57906837
cg03732545	0.1150415253799	CNTN2	1	205012130
cg03733371	0.0325090641249255	NA	NA	0
cg03734660	0.0118971804017048	CRABP2	1	156675322
cg03734783	0.930424304285508	ACCN3	7	150745709
cg03734874	0.03188891924635	TMEM179	14	105071382
cg03735049	0.104570025098964	TSR2	X	54466618
cg03737135	0.0356342669949501	HSPA14;CDNF	10	14879645
cg03738331	0.0880380981691402	HTT	4	3076305
cg03738959	0.014294903231741	MCART1	9	37904295
cg03740216	0.320575017793187	ICAM4	19	10397561
cg03740984	0.0455279716867219	NA	NA	0
cg03741352	0.82487641020846	NA	NA	0
cg03742003	0.0441917937863969	SLIT2	4	20255264
cg03742214	0.0148817812689814	CRY1	12	107487383
cg03742272	0.816774094458626	ALOX12B	17	7990705
cg03743584	0.194898266060462	PRAP1	10	135160908
cg03746685	NA	TMEM126B	11	85340088
cg03747695	0.0242252126183965	ZNF227	19	44716642
cg03750407	0.0271613579992579	RAD9A	11	67159770
cg03750606	0.0751923510830303	ESRRG	1	217262978
cg03751414	0.0189298617730814	NA	NA	0
cg03751799	0.315671061320078	NA	NA	0
cg03751813	0.479298675106711	ZNF585B	19	37701393
cg03752087	0.958700694381788	CASP14	19	15163470
cg03752628	0.0141262720972828	PTGFRN	1	117453510
cg03752689	0.0146951881114981	C1orf74	1	209958185
cg03752885	0.734013153856542	DAPK3	19	3969736
cg03754063	NA	KEAP1	19	10615199
cg03755123	0.828427090504207	UTF1	10	135043508
cg03756121	0.0483037221379344	ARFIP2;FXC1	11	6502436
cg03759077	0.00963164923894428	ARL6IP6	2	153575599
cg03760483	0.839268801467861	ALOX12	17	6899297
cg03760705	0.0375686884973833	NA	NA	0
cg03761560	0.00862824280621751	DNAJB12	10	74114860
cg03762535	0.058991560262155	HAO2	1	119911480
cg03763616	0.0495575161467012	SPIB	19	50921997
cg03764161	NA	FAM111A	11	58912327
cg03764352	0.0375164075386259	ETNK1	12	22777989
cg03764506	0.013795407159562	ESRRA;C11orf20	11	64072089
cg03764585	0.391555031632988	FMOD	1	203320223
cg03766965	0.834845006341223	SRCAP	16	30718443
cg03766998	NA	AFG3L2	18	12378044
cg03770147	0.0156946953434549	KLF7	2	208029836
cg03770548	0.743146690308979	CDH24	14	23525040
cg03771255	0.0235097126081618	RPS3A	4	152020940
cg03773789	0.0180326376195275	GLI4	8	144348945
cg03774732	0.0115368425797634	MED29;PAF1	19	39882194
cg03775123	NA	ANKDD1A	15	65214075
cg03775246	0.763855955478539	C5orf13	5	111095049
cg03775422	0.538369032078485	VSTM2A	7	54610192
cg03776060	0.0671954832340334	AIF1L	9	133972575
cg03776464	0.02632393408611	EPHA4	2	222436947
cg03776551	0.0223299418815324	ZNF396	18	32956850
cg03776850	NA	TPSD1	16	1306872
cg03777405	0.0260620354420034	NFE2L1	17	46125833
cg03777459	0.0217608056674462	GATA5	20	61051802
cg03780486	0.647983618595523	OR6A2	11	6817280
cg03780733	0.549957169059025	PCDHB7	5	140552369
cg03782453	0.531933495495302	CCDC96;TADA2B	4	7043935
cg03782727	0.945344964376057	FFAR1	19	35842586
cg03785807	0.0384593736225377	GBE1	3	81811053
cg03786772	0.0647124096172621	NA	NA	0
cg03787486	NA	ADH5	4	100009490
cg03788666	0.16550713699044	MFAP1	15	44116829
cg03789934	NA	NLRP11	19	56342665
cg03790207	0.0423717651264006	PEX6	6	42947109
cg03790787	0.0746255667875938	NA	NA	0
cg03791917	0.562204812237635	BTK	X	100641287
cg03792199	0.0146131017547909	HIBADH	7	27702785
cg03792653	0.0217328479364902	RPRD1B;KIAA0406	20	36661448
cg03793131	0.041630659361845	ELOVL1	1	43833547
cg03793778	0.526981051365998	LGALS7	19	39264720
cg03794550	0.014663414121937	FANCF	11	22646597
cg03799530	0.634074009218377	SH2B3	12	111843215
cg03801144	0.0768095305069343	PPP6C	9	127951957
cg03801286	NA	KCNE1	21	35884508
cg03802191	0.633413883254093	TARBP1	1	234615169
cg03802231	0.0727708055394668	FNTA	8	42911648
cg03803009	0.71203345560859	GPR142	17	72363634
cg03803589	0.0264054936622601	STYX	14	53196609
cg03804500	0.177450445347193	ANAPC2;SSNA1	9	140081972
cg03804568	0.0137037076834049	CBX7	22	39548919
cg03804985	0.0859059054913233	SLC2A8	9	130159694
cg03805364	0.00949107583960999	PAFAH1B2	11	117015176
cg03805442	0.896689003856615	NA	NA	0
cg03805684	0.158337169457848	FEN1;C11orf10;MIR611	11	61561219
cg03807235	0.0142871010137287	PEX7	6	137144199
cg03807314	0.0141309441237124	MAP3K8	10	30722678
cg03808835	0.0547375993778771	PCDH15	10	56560945
cg03809891	0.0168379552809612	ZNF442	19	12476514
cg03811411	0.825692985776163	SGCD	5	155753616
cg03811478	0.301643194147442	SOX14	3	137483696
cg03812067	0.0459243131065662	SERINC3	20	43150641
cg03812679	0.0390807428964735	CSF3	17	38170632
cg03813215	0.029888396202764	BCL2	18	60986679
cg03813905	NA	TATDN1;NDUFB9	8	125551074
cg03814826	0.0135426122394691	C22orf24;YWHAH	22	32341378
cg03815350	0.25524763378833	ESPL1	12	53663042
cg03817621	0.917293697965815	A1CF	10	52645399
cg03818682	0.842320409674826		11	1213459
cg03819692	0.205924620736571	C16orf81	16	89225639
cg03820909	0.013546092094132	C10orf137	10	127407979
cg03821311	0.85947643771537	HIST1H1B	6	27836018
cg03822011	0.0169737346108297	FANCF	11	22646721
cg03822159	NA	SETD8	12	123867383
cg03825921	NA	RAB4A	1	229407517
cg03826976	0.0349018871299992	CYB5R2	11	7695433
cg03830408	0.0386257322982037	DCPS	11	126173650
cg03833068	NA	HIST1H2BN	6	27804958
cg03833566	0.0190507900986948	C3orf54	3	49841087
cg03833774	0.665223239857967	ZCCHC5	X	77914149
cg03835158	0.952513048995021	PCMTD1	8	52773607
cg03835292	NA	LGALS2	22	37976631
cg03835296	0.649228766030761	SLC17A1	6	25830922
cg03835332	0.0394303457259068	ELL3	15	44069518
cg03837750	0.103589836378959	LRRIQ3;TNNI3K;FPGT	1	74664160
cg03839341	0.00598056415370557	RAB10	2	26256490
cg03839972	0.222412774645905	NA	NA	0
