Hybridization REF	TCGA-A2-A0EM-01A-11D-A032-05	TCGA-A2-A0EM-01A-11D-A032-05	TCGA-A2-A0EM-01A-11D-A032-05	TCGA-A2-A0EM-01A-11D-A032-05
cg05520656	0.0199697675281972	NA	NA	0
cg05521696	0.226138169707686	NA	NA	0
cg05522288	0.0189469355140171	NAA38	7	117824098
cg05522383	0.247649022747075	PITX2	4	111557894
cg05523047	0.0144752227160855	VLDLR;FLJ35024	9	2621379
cg05523085	0.0205649825590448	MYO5A	15	52821854
cg05523254	0.012633980616361	MFN2	1	12040215
cg05526376	0.0199671400818223	LMTK2	7	97736360
cg05528918	0.961080098310786	ZFP161	18	5293319
cg05529097	0.0447209910672155	FXR2;SHBG	17	7518511
cg05531055	0.0394105495332547	TOM1	22	35695625
cg05532892	0.0337238817455601	PDE3B;PSMA1	11	14666436
cg05535113	0.661379924726474	CHST4	16	71559579
cg05538387	0.0185088965708432	POLL;RP11-529I10.4	10	103348072
cg05538432	0.506150621418459	C1S	12	7167751
cg05546038	0.964495155443793	NOL3	16	67207033
cg05546044	NA	MAPK1	22	22222597
cg05546383	0.962936937018263	OTUD4	4	146095813
cg05547500	0.869238892712634	TXNDC2	18	9885809
cg05547993	0.0323301833184313	VAC14	16	70835035
cg05552534	0.0178877023901935	ABCB10	1	229693713
cg05554718	NA	HIST1H1D	6	26235699
cg05554936	0.0110804996815232	RAB3D	19	11450261
cg05556020	0.842416822091217	REN	1	204135243
cg05556202	0.690958286485746	TM4SF19	3	196065106
cg05556210	0.0325614637230934	ZFHX3	16	73082405
cg05556717	0.514613991564238	CCL26	7	75419304
cg05558390	0.482897358199093	GNASAS;GNAS	20	57415377
cg05559445	0.482577593286712	CDKN1C	11	2907674
cg05562327	0.0846364636636751	CPEB2	4	15005910
cg05562817	0.0300327382384347	CLDND2	19	51871466
cg05564251	0.942978184921487	SP140	2	231090640
cg05564266	0.949673468347354	C6orf204	6	118973597
cg05564657	0.935036831835114	AADAC	3	151531375
cg05565537	0.891617886166455	GALNT6	12	51773409
cg05566397	0.02186529102115	MLL5;LOC100216545	7	104654900
cg05566965	0.0163073419173618	BID	22	18256588
cg05568762	0.0135824904357158	LCORL	4	18023126
cg05569220	0.306774434215306	LOC388428;AATK	17	79138873
cg05570980	0.112501969428328	C3orf52	3	111804983
cg05573563	0.919742162507152	TRAPPC2;OFD1	X	13751423
cg05575043	0.0225367670323698	ZNF394	7	99097635
cg05576974	0.00956497401898417	TROVE2;UCHL5	1	193028138
cg05577173	0.0234224926635092	PAPD4	5	78908678
cg05585544	0.929596416371109		11	47624801
cg05587158	0.726516045696219	ARR3	X	69487748
cg05587474	0.017029422639013	NA	NA	0
cg05587736	NA	NUP93	16	56780751
cg05588972	0.020290409172577	C1orf89	1	16563855
cg05589246	0.489650152933975	HOXC12	12	54348719
cg05590257	0.0214537815038852	PLD6	17	17109570
cg05590294	0.54356641637709	CD69	12	9913395
cg05590567	0.0298205326954765	NA	NA	0
cg05590982	0.0633024832608642	NUPR1	16	28550171
cg05592398	0.491350098304527	LIMK1	7	73497778
cg05592434	0.302273278904104	NA	NA	0
cg05592527	0.414663959210127	ARMCX6	X	100872988
cg05593300	0.0408850949809204	NA	NA	0
cg05593325	NA	GALNT12	9	101569696
cg05593479	0.0482406889957544	TIGD1;EIF4E2	2	233415006
cg05593780	0.0205268723796902	ACO2;PHF5A	22	41864983
cg05594230	0.586360768549157	INGX;BCYRN1	X	70712403
cg05595345	0.0106775721880241	ARRDC4	15	98504173
cg05596294	0.062695856694775	LPPR4	1	99729757
cg05596756	0.807573150266413	FAM113B;LOC100233209	12	47610220
cg05598246	0.535814168486599	MOG	6	29624414
cg05600174	0.0382292061187331	NA	NA	0
cg05600717	0.113828350348928	DHRS12	13	52378744
cg05602212	0.0331735040242909	ZFYVE16	5	79703393
cg05602615	0.00888920624552762	SETD3;CCNK	14	99947482
cg05603623	0.0239893515159218	TIMM44	19	8008081
cg05604720	0.0292038159691445	RIPK2	8	90769698
cg05606799	0.161973900387885	KISS1	1	204165307
cg05607127	0.0273903334623965	KCNG3	2	42721581
cg05607401	0.229564477887138	GMFG	19	39826693
cg05607472	0.0109797053147565	CSNK1A1	5	148930374
cg05608188	0.0262289067652934	TMEM168	7	112430152
cg05610148	0.0155502003930405	C1orf93	1	2517425
cg05610379	0.00871074036287817	NSMCE4A	10	123734658
cg05612904	0.0132340642276874	DPH5	1	101491636
cg05615150	0.882144625421003	ARPP-21	3	35683815
cg05615487	0.79524890503833	ACR	22	51176407
cg05619712	0.316089090076094	CRYGC	2	208994720
cg05621401	0.0171948884174687	RET	10	43572065
cg05621759	NA	ZNF117	7	64452073
cg05624196	0.84260271091223	APOD	3	195310883
cg05624932	NA	CRISPLD1	8	75897310
cg05626013	0.321324736079149	CTNNA3;LRRTM3	10	68685252
cg05627103	0.0295323409246609	KIAA1984	9	139694135
cg05628549	0.174325673906707	PRKCDBP	11	6341895
cg05633152	0.964971799414422	SLC10A1	14	70263811
cg05636175	NA	TNFRSF10C	8	22960397
cg05637351	0.0158979042809056	CDH7	18	63417669
cg05637892	0.0244205613948111	SCFD1	14	31091672
cg05641882	0.0232789996328979	CXCL3	4	74904583
cg05641961	0.0148095868873098	CIB1;C15orf58	15	90776927
cg05642698	0.0150088160245211	SEC63	6	108278844
cg05646865	0.954486081130597	SLFNL1	1	41486908
cg05647526	0.0165745377247592	CALU	7	128379677
cg05647859	0.0522843948139487	LIN7A	12	81331718
cg05649009	0.141458099025177	CHRNA1	2	175629850
cg05650171	0.12086298417696	PFDN2;NIT1	1	161089102
cg05650565	0.0130538250067793	UBXN4	2	136499412
cg05650764	0.0162812942214603	SAPS3	11	68227812
cg05654163	0.254547223289901	SLC39A2	14	21467502
cg05654164	0.147993780252043	C1orf52	1	85725892
cg05655041	0.816280909917522	ASB11	X	15334253
cg05655556	0.0178171415462051	PSMD2	3	184016629
cg05656180	0.156415716380158	KCNQ1DN	11	2890258
cg05656364	0.133920885882491	VAMP8	2	85804732
cg05657090	0.942800788197472	RNASEH2A	19	12917086
cg05657520	0.687304430276047	OPTC	1	203462521
cg05658858	0.0159599859499623	TUBGCP2;ZNF511	10	135121916
cg05659526	0.962604100321797	FCER1G	1	161184528
cg05659947	0.172107556368902	C4BPB	1	207262190
cg05660795	0.233771615933512	IGFBP1	7	45928003
cg05661333	0.0153692886471906	GABBR1	6	29600200
cg05661838	NA	MOS	8	57026568
cg05662500	0.0357892276636491	GPD1L	3	32147877
cg05663262	NA		1	43930279
cg05664072	0.271023260430869	PER2	2	239198294
cg05666713	0.825369380015449	IGFN1	1	201181883
cg05668720	0.0153830261617231	TUBE1;C6orf225	6	112408820
cg05668853	0.19066414076195	RAB34	17	27044169
cg05669100	0.0385344081322802	FAM103A1	15	83655128
cg05669210	0.0676984916568915	SLC12A9	7	100450634
cg05669980	0.00988573323160671	NA	NA	0
cg05670275	0.0139566179975105	TRIP12;FBXO36	2	230787279
cg05670348	0.0211663016128905	LARGE	22	34316316
cg05670408	0.0372053874403317	MAN1C1	1	25944102
cg05670596	0.54593341866553	CCRL2	3	46448496
cg05671018	0.94095269182963	LYSMD2	15	52030641
cg05671350	0.483366636757875	P4HA3	11	74022348
cg05672265	0.0145423433268285	SLC20A1	2	113403002
cg05673087	0.0942914778069774	GEMIN8	X	14048156
cg05674036	0.732759881843941	OR3A3	17	3323791
cg05674199	0.204419462623314	AHCY	20	32891428
cg05674444	0.061773336033409	C21orf99	21	14414818
cg05674944	0.0337709429714555	SLC30A2	1	26372290
cg05675373	0.0191986286979615	KCNC4	1	110754257
cg05676042	0.0223266854627244	NA	NA	0
cg05677402	0.0076833175365188	UBE2L6	11	57335051
cg05678175	0.0170081037383714	TRIM28	19	59056626
cg05678938	0.0186313376288647	USP13	3	179371510
cg05679521	0.0359024950129758	MAP2K3	17	21188468
cg05679613	0.899039350166285	MEPE	4	88754043
cg05680424	0.024925679950084	BPGM	7	134331560
cg05681757	NA	FGD4	12	32655034
cg05684015	0.0155470391542382	DR1	1	93811877
cg05684195	0.817449372593432	CIDEC	3	9920572
cg05684891	0.0255925382356401	DAB2IP	9	124461171
cg05688084	0.0304595011692558	MRTO4;KIAA0090	1	19578805
cg05689121	0.0228371750527727	TNRC6A	16	24740934
cg05695927	0.016890292065666	SPATA5L1	15	45694626
cg05696092	0.0780238472220848	PRRG2;NOSIP	19	50084283
cg05697231	0.0553498493164868	PML	15	74286614
cg05697249	0.108461802429685	C11orf52	11	111789693
cg05697976	0.2247850627287	FAR2	12	29376483
cg05698069	0.353398460827744	PDLIM2	8	22436246
cg05698090	0.0417283186763207	CERK	22	47134664
cg05699592	0.0307702036117656	PRKAR2A	3	48885332
cg05699806	NA	ARSF	X	2984985
cg05700681	0.836934062742833	CCL22	16	57392764
cg05701114	0.177159848615917	NA	NA	0
cg05702633	0.0182984868337807	PPP1R15B	1	204381220
cg05702737	0.0415534487697819	WNT10A	2	219745297
cg05702774	NA	SUCNR1	3	151590098
cg05702952	0.0104611414604628	PDK1	2	173420889
cg05705366	0.0222076861508574	SNX18	5	53813915
cg05705583	0.0311641632511122	CAMLG	5	134073432
cg05706061	0.0732421415775347	SLC31A2	9	115912974
cg05709923	0.032537983983194	SAMM50	22	44351079
cg05711886	0.66156654560167	MEG3	14	101292680
cg05714219	0.0148679684998188	GALNT14	2	31361104
cg05714479	0.0116813238499256	LATS2	13	21634945
cg05714729	0.891810807635355	GALNT1	18	33234096
cg05715287	0.0263978763178486	CDC40;WASF1	6	110501610
cg05715649	NA	SYT2	1	202680562
cg05717160	0.0178980489627541	USMG5;PDCD11	10	105156505
cg05718253	0.959281856462576	LOC55908;DOCK6	19	11347359
cg05718625	0.0357695493684126	TMEM85	15	34517320
cg05719902	0.610418593317057	SVOPL	7	138348774
cg05720937	0.0151635442940045	ACTR1B	2	98280362
cg05721199	0.84687655314291	SAMD7	3	169629136
cg05722552	0.0522817995093446	NLGN1	3	173116094
cg05722906	0.113889879245017	CYP4F12	19	15783791
cg05722918	0.162973308589128	SLC5A8	12	101603929
cg05723825	0.500438801801505	TEKT4	2	95537475
cg05724065	0.0809940161632315	PHKG1	7	56160528
cg05725452	0.0120359957322599	SDF2L1	22	21996709
cg05726109	0.942274245880658	SEPT5;GP1BB	22	19709755
cg05727959	0.0130334382219071	C12orf48	12	102514075
cg05728656	0.0160024926234479	C6orf47	6	31628427
cg05729093	0.0313279223964056	IL4R	16	27324953
cg05730092	0.879749995317305	BEGAIN	14	101036470
cg05731779	0.630763043324396	NA	NA	0
cg05732130	0.0192268718315221	GINS3	16	58426207
cg05732530	0.0109038018195582	DUSP2	2	96811060
cg05739825	0.0226847433951081	EI24	11	125439882
cg05740244	NA	LDHC	11	18434015
cg05741384	0.0252238690618706	ODC1	2	10588838
cg05742308	0.032132298158515	SEMA3A	7	83824384
cg05743054	0.0112685671140306	MLF1	3	158288903
cg05744229	0.796557837620687	MYH7	14	23904678
cg05745457	0.844256748382003	TKTL2	4	164394816
cg05745851	NA	CCDC62	12	123259105
cg05747424	0.0184286770413441	WDR89	14	64108561
cg05749161	0.00759719874985205	NA	NA	0
cg05749577	0.0126529633960155	KIF23	15	69706710
cg05749792	0.664075551729934	DGAT2L6	X	69397704
cg05750321	0.975967851544617	CGNL1	15	57668039
cg05751148	0.830890131569598	PTPRCAP	11	67204799
cg05751159	0.0121876511615113	TSGA14	7	130081017
cg05751979	0.0287172560425189	TCEB1	8	74883978
cg05754589	0.0251935509899028	HNRPA1L-2;HNRNPA1;CBX5	12	54674412
cg05754631	0.0342779713456816	GAB1	4	144258809
cg05755354	0.80755083004762	FRMD4A	10	14372596
cg05755779	0.94429884203198	COLEC10	8	120079625
cg05755837	0.0413818953160816	PMPCB	7	102937659
cg05759269	0.0230638260994031	CDKN1A	6	36646253
cg05761032	0.0200085364440799	CCPG1	15	55700743
cg05761971	0.443796530248531	FAM82A1	2	38177677
cg05764061	0.0491054388125826	PPM1B	2	44395934
cg05764376	0.0215799840797523	LRRC49;THAP10	15	71184590
cg05764607	0.0160706995898579	GSTCD;INTS12	4	106630108
cg05766425	0.0406671461103672	LUC7L3	17	48796751
cg05766474	0.567591049431875	NA	NA	0
cg05767404	0.619581182031633	C1orf150	1	247712591
cg05768141	0.513971396771757	KCNJ10	1	160039847
cg05769161	0.0352893997031788	B4GALNT3	12	568826
cg05769169	0.0226237965296243	EGLN3	14	34419832
cg05772663	0.443273703414395	HTR2C	X	113818412
cg05773628	0.0597077383692182	NCKAP1	2	183903770
cg05774801	0.0702652605757557	SFRP2	4	154709756
cg05776763	0.0375995347657613	DLST	14	75348391
cg05777319	0.0184499631197664	ARL6	3	97483919
cg05778847	0.337772029558557	PPP1R14A	19	38746538
cg05779068	NA	OR2W1	6	29014046
cg05779272	0.641967243993568	B4GALT1	9	33168018
cg05780311	0.0112105879115638	STAT5B	17	40428759
cg05780616	0.0234243760635796	SNRPF	12	96252764
cg05781767	NA	PODXL2	3	127347362
cg05782292	NA	SCT	11	628318
cg05782445	NA	KCNK3	2	26915207
cg05782975	0.640128693714707	NGFRAP1	X	102631408
cg05786601	0.586285501907652	AR	X	66764126
cg05786809	0.023841676484417	CKB	14	103989478
cg05788437	0.0214641321356053	FYTTD1;KIAA0226	3	197476880
cg05788526	NA	MTMR2	11	95656876
cg05788638	0.503032128502293	SERPINA10	14	94759020
cg05790038	0.257654041630922	TRPV3	17	3461143
cg05790999	0.0115733658644195	HS1BP3	2	20850809
cg05793077	0.0267103595144007	GSN	9	124030744
cg05795157	0.0190400764964933	PIAS3	1	145576107
cg05795313	0.0410605479746758	ZNF641	12	48745136
cg05797656	0.0153466849940555	DDX42;CCDC47	17	61851352
cg05798712	0.876769079798406	NA	NA	0
cg05798972	0.0310100179725693	MED1	17	37607105
cg05799317	0.697608993635339	C6orf118	6	165723796
cg05800321	0.718552809370547	LY6D	8	143867799
cg05801573	0.369555571367341	SLITRK4	X	142722740
cg05801648	0.055196519553841	SYK	9	93564456
cg05806233	0.024472296434937	GNAI1	7	79763748
cg05807444	0.606872742008817	VPS28;NFKBIL2	8	145654635
cg05807768	0.0184270222168448	CAPZA1;ST7L	1	113162570
cg05807991	0.0247354464028733	TRAM1L1	4	118006808
cg05810550	0.477248895634628	NA	NA	0
cg05812599	0.94467199874975	CLPB	11	72146256
cg05813084	0.0170376963078636	EFNA3	1	155051569
cg05813234	0.266646256324016	NA	NA	0
cg05815893	0.0355959102614509	C17orf80;FAM104A	17	71228832
cg05815906	0.0527084271556109	RAB33B	4	140374338
cg05817232	0.0603180531525208	MARK4	19	45755260
cg05819268	0.984166815477606	CACNG1	17	65040739
cg05820087	0.182355939306609	ATP13A4	3	193272561
cg05822100	0.023605995465577	CDH6	5	31194410
cg05822532	0.0867214715531364	ELN	7	73442531
cg05823029	0.386139542187801	ATP4B	13	114312758
cg05824215	0.909285410726323	NA	NA	0
cg05824432	0.0106976682269574	DCI	16	2301222
cg05824484	0.0222950234368257	IL17RA	22	17565874
cg05824762	0.0253754110721868	ZER1	9	131533797
cg05825950	0.187399723971098	CR1	1	207669576
cg05826823	0.657488253138939	CIZ1;DNM1	9	130968072
cg05828624	0.49068038184157	REG1A	2	79347699
cg05829479	0.100750178238286	C6orf141	6	49518079
cg05830416	0.0216618779029251	C9orf100	9	35665010
cg05832051	0.0220966737264949	MYADM	19	54369469
cg05832487	0.0150989629060374	C16orf59	16	2509755
cg05835416	NA	CYP2C18	10	96442674
cg05836145	0.578026109011043	SP8	7	20827117
cg05837075	0.015492400327554	ERO1L	14	53162160
cg05839235	0.0345447026146033	NPR3	5	32712237
cg05840031	0.204247458628196	PAX6	11	31832353
cg05840553	0.0128594111576076	RPL12;LRSAM1	9	130212635
cg05843340	0.0152155539222692		5	68628618
cg05843800	0.0325717593815703	SUMF1	3	4508875
cg05844583	0.0186297985326205	SLC19A3	2	228582789
cg05845178	0.650217140888165	IL17RE;IL17RC	3	9957531
cg05845357	0.0151118068379649	CBY1;LOC646851	22	39052748
cg05845503	0.0113448947185539	NA	NA	0
cg05846716	0.0384555893925935	PCSK2	20	17208109
cg05847038	0.407055832133437	ADAM7	8	24298771
cg05847778	0.0164660795462245	BBS5	2	170336167
cg05851042	0.964031054968977	ATP9A	20	50386166
cg05851163	0.0254342564434453	DSEL	18	65183566
cg05852416	0.0141619282711829	NFKBIA	14	35874177
cg05855071	0.0371445807982316	C15orf29	15	34501719
cg05856884	0.896669265249449	SMPX	X	21776372
cg05856931	0.0238254011319616	MSI2	17	55333097
cg05857825	0.0481214724932961	MAPRE1	20	31408213
cg05859264	0.165783155212784	MAPK13	6	36097692
cg05859842	0.795904306140491	FRMPD2	10	49483356
cg05860890	0.0756779150454679	KCNV1	8	110986870
cg05861567	0.204780187594256	MLC1	22	50523686
cg05861661	0.0368924953242376	FAM98B	15	38746192
cg05862431	0.0265694569010605	BUD13	11	116644198
cg05863612	0.944776465033921	DNMBP	10	101731833
cg05868316	0.0102708941094597	FBXW9	19	12807494
cg05868799	0.0819550689950741	NCOA2	8	71316869
cg05869585	0.903196214409471	TMEM186;PMM2	16	8890233
cg05869964	0.960628282887743	C5orf13	5	111095756
cg05871136	0.0180499613798492	UNC5B	10	72971961
cg05871607	0.0289041653617113	RPA2	1	28241317
cg05872485	0.0200821784265649	PTGES3	12	57081186
cg05873268	0.504319295621929	TPSAB1	16	1290058
cg05874450	0.0553885764235363	POPDC3	6	105627246
cg05874478	0.221841057617811	RNF31;PSME2	14	24615768
cg05876083	0.0132970468438629	NUDT16L1	16	4743395
cg05876094	0.0622607156857325	CACYBP	1	174968893
cg05876918	0.0396214775597531	PIP4K2C	12	57985234
cg05877109	0.190005943323632	BCL2L2	14	23775794
cg05879334	0.00974367103062891	ACAT2	6	160183160
cg05879919	0.031015616125644	ANKRD9	14	102976503
cg05881135	0.0274840458231232	SYNM	15	99644973
cg05881762	0.0357310156758536	UBE3A	15	25684849
cg05882522	0.0162868510778408	EHD3	2	31456789
cg05882691	0.374049235072816	HIST1H3H	6	27777739
cg05885123	0.0152365086128139	NA	NA	0
cg05885720	NA	EMP1	12	13348429
cg05886367	0.0495775154363207	BTNL9	5	180467233
cg05886626	0.057682677990527	THBS1	15	39873553
cg05887405	0.937611781124515	OSGIN1	16	83982436
cg05889321	0.184451957436521	ALDH18A1	10	97416837
cg05890019	0.0208885201482862	WDFY3;C4orf12	4	85886830
cg05890484	0.816543536770586	BHMT	5	78407552
cg05890578	NA	PRKCE	2	45877647
cg05894797	0.0434216634286367	PSEN2	1	227058941
cg05895453	NA	KBTBD7	13	41768968
cg05896682	0.0632136952172495	GALR1	18	74964030
cg05897048	0.0589884185567195	NA	NA	0
cg05898102	0.0258773483203006	PCDHB10	5	140571959
cg05898356	0.0217813596657548	NA	NA	0
cg05898524	0.0927743039278474	LMNA	1	156083276
cg05899618	0.0279931540774878	GDF7	2	20865847
cg05902852	0.0681166368347671	MAGI2	7	79082393
cg05903609	0.0330455526095607	PRPF8	17	1587888
cg05903630	0.020593152234212	PTCD2;MRPS27	5	71616321
cg05905876	0.0147214365738527	SEC11A	15	85259824
cg05906362	0.462809018790258	ARHGAP4	X	153192754
cg05908775	0.022923704798635	ZNF211	19	58144687
cg05909475	0.0170546207104731	ETV3	1	157108803
cg05910970	0.919262523932218	CYP2A6	19	41355973
cg05911610	0.0144847630484953	MRPL3	3	131221850
cg05912121	0.872634231541178	TH	11	2193034
cg05915281	0.0121957377768563	IRF1	5	131826479
cg05916196	0.93208123453161	IL19	1	206972262
cg05916783	NA	GAN	16	81348309
cg05917963	0.297642417496228	CHUK	10	101988539
cg05919661	0.0187595996457208	LMBR1L	12	49504308
cg05920090	0.0236540619352245	HSPA1A;HSPA1L	6	31782873
cg05920720	0.588579982210177	NA	NA	0
cg05921207	0.161528735267679	CHRDL1	X	110038886
cg05921324	0.587573342458951	APOA4	11	116694114
cg05921581	0.924674792225104	KRT77	12	53098625
cg05921699	0.846523821988997	CD79A	19	42380725
cg05922057	0.014048084043975	ZZEF1;CYB5D2	17	4047571
cg05922591	0.666453482790386	LILRB4	19	55174624
cg05922972	0.0152373968746595	TSPAN3	15	77362853
cg05923056	0.0212951079604284	FOXN3	14	89883246
cg05923103	0.0137784860512323	RNF11	1	51701583
cg05924191	0.761035105438438	ZNF770	15	35279830
cg05924583	0.0343467770045769	TP73	1	3569624
cg05927017	0.0291399135220337		18	60988155
cg05927159	0.0187126279032719	WDR1	4	10118984
cg05932408	0.0543744374858936	PTGIS	20	48184639
cg05932936	0.0404865966145105	SERINC3	20	43151151
cg05934874	0.017121588347487	VPS4B	18	61089154
cg05935584	0.7081573485145	HMGB3	X	150151823
cg05936800	0.613285608142175	TNFSF18	1	173020492
cg05937182	0.0167889684854965	ST7OT4;ST7OT1;ST7	7	116593656
cg05937237	0.867085854664283	NA	NA	0
cg05937453	0.029144378278173	SFRP5	10	99531765
cg05938285	0.0256019406681977	PIGZ	3	196695938
cg05938725	0.0122384884925459	NUAK2	1	205290905
cg05940463	0.0178216302883764	C1orf86	1	2126641
cg05940536	0.0468445233594914	ACVR1B	12	52344971
cg05941634	0.0487917932546535	CNNM3	2	97481230
cg05942574	0.248001341487899	CACNA1G	17	48637104
cg05942970	0.899039987183234	JAKMIP3	10	133955527
cg05944800	0.0361427306880478	INSIG2	2	118845546
cg05945622	0.0183226962833283	YIF1A	11	66056944
cg05946081	0.0158513751554052	RBMXL1;CCBL2	1	89458035
cg05947740	0.432330552533086	PHYHIP	8	22089778
cg05948654	0.861523229642765	SLC17A2	6	25930507
cg05949173	0.885827543468746	IL1F10	2	113825882
cg05949660	0.182109656201895	MICAL1	6	109777642
cg05950276	0.931241332040026	TMTC4	13	101294310
cg05951646	0.02573921409249	NA	NA	0
cg05951993	0.015514596928303	GYS1;RUVBL2	19	49496864
cg05953243	0.172111498212572	SLC5A12	11	26743425
cg05953394	0.0420504873535975	PRKAG2	7	151573773
cg05955224	0.040642300301603	EID2	19	40030984
cg05955301	0.136954130489952	PRELP	1	203444536
cg05957518	0.0125990379209406	PSMA3	14	58711500
cg05958352	0.848767914611176	RNASE1	14	21270924
cg05958582	0.361741935270273	PKD2L1	10	102090366
cg05958659	0.02516883838897	FAM174A	5	99870887
cg05959392	0.0164716172539151	C10orf32	10	104613928
cg05959508	0.869471295568495	TRAF3IP3	1	209929512
cg05960024	0.942722261088266	CLOCK	4	56376020
cg05960806	NA	CLNS1A	11	77348884
cg05961212	NA	ADPRH	3	119298195
cg05961595	0.498800850469063	APEX2	X	55026485
cg05961827	0.920563986384655	UGT1A10;UGT1A7;UGT1A9;UGT1A8	2	234589810
cg05964373	0.0362765688008781	TEX9	15	56657478
cg05965188	0.917145329202098	RRP1B;HSF2BP	21	45078342
cg05965402	0.0316890637354916	PI4K2B	4	25235416
cg05968233	0.0477317656448162	ALKBH7	19	6372277
cg05969697	NA	BICD2	9	95527975
cg05970437	0.0225577133453868	KLF16	19	1864622
cg05970790	0.0218504240028531	NFATC1	18	77156689
cg05973262	0.41769869414454	NOTCH4	6	32191895
cg05976074	0.503699926475242	SLC7A10	19	33716273
cg05976325	NA		22	36030660
cg05978187	0.0138507637880354	ERH;SLC39A9	14	69864930
cg05982504	0.382909406729088	IGFALS	16	1844962
cg05983247	0.00806199974161122	SLTM	15	59225658
cg05985767	0.903518090686334	ANPEP	15	90349511
cg05986149	0.103583611163836	BRIP1	17	59941055
cg05988645	NA	C16orf68	16	8715306
cg05989054	0.230372151890158	GAMT	19	1402626
cg05989429	0.0117935778789782	ABCA7	19	1041026
cg05990214	0.0611735923086911	RPL18;SPHK2	19	49122326
cg05992340	0.959097558354995	PDE4D	5	58882243
cg05995267	0.0591517484997821	PRRT2	16	29822529
cg05996042	NA	RUNX2;SUPT3H	6	45295718
cg05996238	0.606210135753378	PAGE2	X	55115370
cg05997860	0.475501302464034	NA	NA	0
cg05998244	0.89615976305984	LONRF2	2	100925657
cg05998426	0.0193108649387795	RIN1	11	66103925
cg05998983	0.68185598791588	OIT3	10	74653449
cg06000781	NA	BST1	4	15703606
cg06001166	0.944367864869614	RPL3L	16	2004052
cg06003187	0.797488112417653	GUCA2A	1	42629798
cg06005396	0.196975746838374	HCN2	19	590541
cg06005644	0.0098327095683607	UBE2D2	5	138940959
cg06006444	0.0244121911584488	NA	NA	0
cg06007645	0.675481942907347	C1orf175	1	55107421
cg06011292	0.0203246313797337	MYH10	17	8534013
cg06015218	0.374648793575257	GRM1	6	146350434
cg06018072	0.0396946693487245	CLN6	15	68522275
cg06020352	NA	IRF8	16	85931840
cg06021171	0.312283545292988	NA	NA	0
cg06022562	0.350273407551727	TBCD;ZNF750	17	80797881
cg06023257	0.0139008763619636	GAB2	11	78129396
cg06025017	0.921910330680132	NA	NA	0
cg06026755	0.938933092477004	LRRC57;HAUS2	15	42839559
cg06027949	0.0248815546777966	SNX16	8	82754900
cg06029655	NA	MEGF8	19	42881132
cg06030619	0.0151986820447013	CORO1A	16	30194484
cg06034822	0.0861863967038201	USF1	1	161016081
cg06037693	0.860858839998634	RUNX3	1	25292072
cg06038049	0.0109462974026766	GLTPD1;CPSF3L	1	1259909
cg06038133	0.254179648330996	CORO6	17	27944585
cg06039392	0.132442282640083	MTNR1A	4	187476953
cg06039624	0.0144359539061477	LOC81691;ERI2	16	20818068
cg06041240	NA	NXT2	X	108778793
cg06041363	0.0476184379954567	TTC38	22	46663418
cg06042828	NA	DDX28;DUS2L	16	68058281
cg06043042	0.0475092709710402	NEUROG3	10	71333202
cg06043114	0.0353569723355901	TSPAN2	1	115632455
cg06043190	0.0203080878088797	EML4	2	42396882
cg06044117	0.0131640189745926	FAM76B;CEP57	11	95523445
cg06044899	0.604995506919752	TMSL3;FAM190A	4	91760229
cg06044900	0.0290793545787624	GNAS	20	57467811
cg06048156	0.0153536948417832	NA	NA	0
cg06048973	0.877935871160463	ACTC1	15	35088107
cg06049972	0.0312265217365947	UQCRC1	3	48646375
cg06051311	0.754311643267104	TRIM15	6	30131001
cg06051662	0.227651195382534	PDZD4	X	153096786
cg06055013	0.0524030441457771	ATRNL1	10	116853664
cg06057707	0.956325624108209	NA	NA	0
cg06058319	0.0639656599190864	PPFIBP1	12	27677138
cg06058597	0.0161213171292457	NOL10	2	10829993
cg06059810	0.910543608526831	RUFY3	4	71587722
cg06060661	0.405758428417985	NA	NA	0
cg06061892	0.0138285537850757	C20orf72;SNX5	20	17948694
cg06062132	0.0404789131167338	SENP6	6	76311331
cg06063714	0.706792087488962	GABRD	1	1951514
cg06063729	0.0325800588864337	RASSF1	3	50374670
cg06066303	0.957108959629272	MS4A5	11	60197138
cg06066711	0.0160919268815014	KLHL21	1	6662645
cg06069187	NA	SARM1;VTN	17	26698283
cg06069731	0.0177650890872739	NA	NA	0
cg06071083	0.0117095521971742	SLC12A4	16	68002365
cg06073471	0.0216734297635469	FAM55C	3	101497857
cg06074920	0.967746111287813	KRT34	17	39539075
cg06076054	0.018494325446952	C21orf91	21	19191045
cg06077733	0.0106060698636357	UBE2D1	10	60094879
cg06084117	0.954833319047315	PLXNA4	7	132334901
cg06084557	0.0342465727134699	KIAA1409;BTBD7	14	93799869
cg06084735	0.0179215768577077	ENY2;NUDCD1	8	110346664
cg06087537	0.0188297446420162	RNF38	9	36401074
cg06088032	0.0198247482099166	ZMYND10	3	50383227
cg06088314	NA	CLK1	2	201730276
cg06090351	NA	ADSS	1	244615600
cg06090421	0.0268413883093838	PPM1D	17	58677051
cg06090630	0.0140154721307102	TCEB2	16	2827139
cg06090864	0.968109994129746	FFAR1	19	35842448
cg06092815	0.29541601303803	SPHKAP	2	229046406
cg06093279	0.0290141912630913	MTUS1	8	17658292
cg06094150	0.874148808267107	MT1B	16	56685637
cg06094757	0.466482569573046	NA	NA	0
