"","seqnames","start","end","width","strand","probeID","Gene_Symbol","mean.Primary.Tumor","mean.Solid.Tissue.Normal","mean.Primary.Tumor.minus.mean.Solid.Tissue.Normal","p.value.Primary.Tumor.Solid.Tissue.Normal","p.value.adj.Primary.Tumor.Solid.Tissue.Normal","status"
"cg06710648","chr1",58716377,58716377,1,"*","cg06710648","DAB1",0.650039463263396,0.237832230948852,0.412207232314544,3.84731421539287e-15,5.62832090640168e-13,"Hypermethylated in Primary Tumor"
"cg06719391","chr11",2554330,2554330,1,"*","cg06719391","KCNQ1",0.210211360724959,0.44194209875671,-0.231730738031751,9.10938540635448e-07,3.81956716582468e-06,"Hypomethylated in Primary Tumor"
"cg06760035","chrNA",0,0,1,"*","cg06760035",NA,0.316607066188486,0.0778211466506441,0.238785919537842,0.00382964795085881,0.00713396218661303,"Hypermethylated in Primary Tumor"
"cg06771126","chr4",57547699,57547699,1,"*","cg06771126","HOPX",0.175539304813215,0.503760958670663,-0.328221653857448,1.74822549433503e-16,9.53832414130707e-14,"Hypomethylated in Primary Tumor"
"cg06785429","chr3",182699414,182699414,1,"*","cg06785429","DCUN1D1",0.633902704104854,0.428941490923805,0.204961213181049,4.85500476352908e-12,1.20196046502799e-10,"Hypermethylated in Primary Tumor"
"cg06821993","chr8",114449011,114449011,1,"*","cg06821993","CSMD3",0.374864688254587,0.109674417812554,0.265190270442034,3.26909724580911e-08,2.06127880914731e-07,"Hypermethylated in Primary Tumor"
"cg06825142","chr11",637170,637170,1,"*","cg06825142","DRD4",0.258441147257085,0.0217771081511683,0.236664039105917,9.3552939118218e-09,7.0560902758431e-08,"Hypermethylated in Primary Tumor"
"cg06834875","chr14",100111263,100111263,1,"*","cg06834875","HHIPL1",0.298877432718245,0.0988335149784151,0.20004391773983,1.90933541788668e-05,5.78553027969993e-05,"Hypermethylated in Primary Tumor"
"cg06851207","chr19",46975138,46975138,1,"*","cg06851207","PNMAL1",0.536933198488765,0.335198329087234,0.201734869401532,1.94451087194868e-05,5.87788614438907e-05,"Hypermethylated in Primary Tumor"
"cg06856528","chr2",193059405,193059405,1,"*","cg06856528","TMEFF2",0.296285286072463,0.0688601567531544,0.227425129319308,1.73809130942597e-08,1.20447428822078e-07,"Hypermethylated in Primary Tumor"
"cg06906435","chr14",99177777,99177777,1,"*","cg06906435","C14orf177",0.48867414892217,0.761134144812138,-0.272459995889968,6.87398377016195e-07,2.97129663004564e-06,"Hypomethylated in Primary Tumor"
"cg06908778","chr10",22634602,22634602,1,"*","cg06908778","SPAG6",0.56525314670064,0.159106230393458,0.406146916307183,1.76698622513025e-14,1.4909525343056e-12,"Hypermethylated in Primary Tumor"
"cg06914598","chrNA",0,0,1,"*","cg06914598",NA,0.520487644817604,0.280907897185968,0.239579747631635,1.30867593460629e-16,8.8207854755078e-14,"Hypermethylated in Primary Tumor"
"cg06938878","chr11",15094364,15094364,1,"*","cg06938878","CALCB",0.684466314091485,0.915959461615464,-0.231493147523979,8.31866930191657e-10,8.8820521660132e-09,"Hypomethylated in Primary Tumor"
"cg06940107","chrNA",0,0,1,"*","cg06940107",NA,0.486061539865016,0.861623531700575,-0.375561991835559,2.70699228605721e-14,2.03286097375277e-12,"Hypomethylated in Primary Tumor"
"cg06958211","chr15",40532180,40532180,1,"*","cg06958211","PAK6",0.821415595106606,0.561771055402266,0.25964453970434,1.38747454901377e-11,2.87037778831325e-10,"Hypermethylated in Primary Tumor"
"cg06958829","chr17",48546118,48546118,1,"*","cg06958829","ACSF2;CHAD",0.267993119466933,0.0668495737194451,0.201143545747488,0.00582284008096862,0.0104661531980327,"Hypermethylated in Primary Tumor"
"cg06971096","chr2",220173591,220173591,1,"*","cg06971096","PTPRN",0.49634303876957,0.0842144506113008,0.412128588158269,1.82389531411646e-14,1.52752927627248e-12,"Hypermethylated in Primary Tumor"
"cg06995715","chr16",86612590,86612590,1,"*","cg06995715","FOXL1",0.373353923945074,0.0903616110046696,0.282992312940405,1.14166986839294e-07,6.0935040191956e-07,"Hypermethylated in Primary Tumor"
"cg07027513","chr18",29265840,29265840,1,"*","cg07027513","B4GALT6",0.291651736726986,0.0446148980464124,0.247036838680573,1.38780113014291e-08,9.89110144289456e-08,"Hypermethylated in Primary Tumor"
"cg07028533","chr7",145813439,145813439,1,"*","cg07028533","CNTNAP2",0.254569775615116,0.0310501254527551,0.223519650162361,8.7265927913184e-08,4.81866198518658e-07,"Hypermethylated in Primary Tumor"
"cg07044282","chr1",178840137,178840137,1,"*","cg07044282","ANGPTL1;RALGPS2",0.668240900779066,0.465012125049687,0.203228775729379,1.48156195794545e-10,2.09267143263655e-09,"Hypermethylated in Primary Tumor"
"cg07054641","chr3",113160554,113160554,1,"*","cg07054641","WDR52",0.687221705196981,0.363501568733768,0.323720136463213,1.85302221149312e-14,1.53480652215914e-12,"Hypermethylated in Primary Tumor"
"cg07070934","chr1",35258435,35258435,1,"*","cg07070934","GJA4",0.287196909127305,0.0297791798476946,0.25741772927961,7.36402943142078e-11,1.15131310937182e-09,"Hypermethylated in Primary Tumor"
"cg07080358","chr2",68546507,68546507,1,"*","cg07080358","CNRIP1",0.228280764386289,0.0164552684290445,0.211825495957245,5.06833575096578e-12,1.24384026289225e-10,"Hypermethylated in Primary Tumor"
"cg07084163","chr5",36066783,36066783,1,"*","cg07084163","UGT3A2",0.454423185222489,0.0852307980161541,0.369192387206335,3.07525028600372e-17,7.51929628129626e-14,"Hypermethylated in Primary Tumor"
"cg07186138","chr22",39410396,39410396,1,"*","cg07186138","APOBEC3C",0.543326578003515,0.155837722888056,0.387488855115459,1.16784502435621e-13,6.43285588110538e-12,"Hypermethylated in Primary Tumor"
"cg07197059","chr14",23836012,23836012,1,"*","cg07197059","EFS",0.481508871153138,0.148205157501798,0.33330371365134,1.84060946858519e-12,5.48506490975605e-11,"Hypermethylated in Primary Tumor"
"cg07211259","chr9",5510497,5510497,1,"*","cg07211259","PDCD1LG2",0.291670809739341,0.0610960016822527,0.230574808057088,2.32626140013589e-10,3.03640458190391e-09,"Hypermethylated in Primary Tumor"
"cg07237939","chr6",160769754,160769754,1,"*","cg07237939","SLC22A3",0.401793841616954,0.0242926604323023,0.377501181184652,1.71242250300048e-13,8.61142110939685e-12,"Hypermethylated in Primary Tumor"
"cg07241568","chr9",136150823,136150823,1,"*","cg07241568","ABO",0.299591647181422,0.0250780328972184,0.274513614284203,8.71065175548641e-12,1.94684795039041e-10,"Hypermethylated in Primary Tumor"
"cg07260592","chr6",161100122,161100122,1,"*","cg07260592","",0.488528262088405,0.169905986794231,0.318622275294174,2.29398165780007e-11,4.35392693922307e-10,"Hypermethylated in Primary Tumor"
"cg07295678","chr10",134000009,134000009,1,"*","cg07295678","DPYSL4",0.238148463643975,0.0309838151938973,0.207164648450077,2.20309165336199e-09,2.04505364065069e-08,"Hypermethylated in Primary Tumor"
"cg07307078","chr18",12307630,12307630,1,"*","cg07307078","TUBB6",0.604665725836537,0.154056133354362,0.450609592482176,1.54412119358515e-12,4.79827674072826e-11,"Hypermethylated in Primary Tumor"
"cg07337598","chr1",150953943,150953943,1,"*","cg07337598","ANXA9",0.357715396829172,0.671402263483428,-0.313686866654256,5.9030782246713e-13,2.22764571731356e-11,"Hypomethylated in Primary Tumor"
"cg07347645","chr20",58507171,58507171,1,"*","cg07347645","SYCP2",0.496398412644566,0.891857424250365,-0.395459011605799,7.26491167661537e-11,1.14136119360159e-09,"Hypomethylated in Primary Tumor"
"cg07354440","chr1",161168889,161168889,1,"*","cg07354440","NDUFS2;ADAMTS4",0.604919351371104,0.383770890867479,0.221148460503625,3.23301373142874e-07,1.5205963748509e-06,"Hypermethylated in Primary Tumor"
"cg07360692","chrNA",0,0,1,"*","cg07360692",NA,0.55028317374282,0.334149526097318,0.216133647645503,9.58278382419526e-09,7.20355478062379e-08,"Hypermethylated in Primary Tumor"
"cg07361385","chr3",186331026,186331026,1,"*","cg07361385","AHSG",0.547258369808681,0.754085213129719,-0.206826843321038,2.64847543233227e-06,9.85425318167031e-06,"Hypomethylated in Primary Tumor"
"cg07369274","chrNA",0,0,1,"*","cg07369274",NA,0.3396072029622,0.555427526210811,-0.215820323248611,7.90353788754090e-09,6.09164574301775e-08,"Hypomethylated in Primary Tumor"
"cg07405796","chr6",30104552,30104552,1,"*","cg07405796","TRIM40",0.609685289322468,0.81684959942292,-0.207164310100452,5.42543685799855e-09,4.40150043117931e-08,"Hypomethylated in Primary Tumor"
"cg07409200","chr13",43354674,43354674,1,"*","cg07409200","C13orf30",0.311765311094032,0.574855553710857,-0.263090242616825,1.58365959962383e-10,2.20372249042157e-09,"Hypomethylated in Primary Tumor"
"cg07425555","chr19",14049018,14049018,1,"*","cg07425555","PODNL1",0.445621619374359,0.208699617047382,0.236922002326977,4.89547104103767e-11,8.16358749693099e-10,"Hypermethylated in Primary Tumor"
"cg07447922","chr1",38230827,38230827,1,"*","cg07447922","EPHA10",0.311088736718282,0.0376468091543284,0.273441927563954,2.57309087671132e-12,7.16553329560314e-11,"Hypermethylated in Primary Tumor"
"cg07471052","chr17",73996245,73996245,1,"*","cg07471052","CDK3;C17orf106",0.626843434361671,0.893760192614743,-0.266916758253072,0.000468573746079875,0.00105935754394717,"Hypomethylated in Primary Tumor"
"cg07525077","chr14",21359943,21359943,1,"*","cg07525077","RNASE3",0.307149428125133,0.728885153880824,-0.421735725755691,5.4749161488737e-14,3.50410187266976e-12,"Hypomethylated in Primary Tumor"
"cg07533148","chr1",248020812,248020812,1,"*","cg07533148","TRIM58",0.247681600094859,0.035728040177514,0.211953559917344,0.00268459594341613,0.00517066444466291,"Hypermethylated in Primary Tumor"
"cg07536847","chr1",18957232,18957232,1,"*","cg07536847","PAX7",0.548556552878795,0.247662225279557,0.300894327599238,1.92305633089383e-12,5.66333804950421e-11,"Hypermethylated in Primary Tumor"
"cg07545232","chrNA",0,0,1,"*","cg07545232",NA,0.583705534904423,0.79651155291168,-0.212806018007257,6.68753883982049e-10,7.39271651238056e-09,"Hypomethylated in Primary Tumor"
"cg07546360","chr22",46482023,46482023,1,"*","cg07546360","LOC400931",0.362115993758197,0.161907550913874,0.200208442844322,8.5324685556739e-08,4.72304629215669e-07,"Hypermethylated in Primary Tumor"
"cg07548313","chr1",158259926,158259926,1,"*","cg07548313","CD1C",0.454972668423609,0.825453579078668,-0.370480910655059,2.52702104470879e-09,2.29932379306318e-08,"Hypomethylated in Primary Tumor"
"cg07550362","chr7",97361201,97361201,1,"*","cg07550362","TAC1",0.341188163824376,0.135454764256264,0.205733399568112,3.48574755188992e-07,1.62420696166552e-06,"Hypermethylated in Primary Tumor"
"cg07572341","chr20",22565881,22565881,1,"*","cg07572341","FOXA2",0.331868482833616,0.0471928565900332,0.284675626243583,3.91356862754546e-12,1.0157694425112e-10,"Hypermethylated in Primary Tumor"
"cg07576541","chr1",153630883,153630883,1,"*","cg07576541","SNAPIN",0.616586576188893,0.830619081808501,-0.214032505619608,1.71462143049637e-09,1.65150518202876e-08,"Hypomethylated in Primary Tumor"
"cg07601320","chr12",47219841,47219841,1,"*","cg07601320","SLC38A4",0.523128343880358,0.189635812162158,0.3334925317182,1.7852249430549e-11,3.51875177096096e-10,"Hypermethylated in Primary Tumor"
"cg07613153","chr14",104436947,104436947,1,"*","cg07613153","TDRD9",0.432129343365303,0.648815518130269,-0.216686174764965,1.77746615064139e-07,9.00079453985164e-07,"Hypomethylated in Primary Tumor"
"cg07642638","chr20",5891786,5891786,1,"*","cg07642638","CHGB",0.319124144838627,0.0946835433039523,0.224440601534675,5.04216432362035e-09,4.13222699333732e-08,"Hypermethylated in Primary Tumor"
"cg07644368","chr5",115152785,115152785,1,"*","cg07644368","CDO1",0.625376942471933,0.245121899363449,0.380255043108484,1.30028867336114e-13,6.95824311690099e-12,"Hypermethylated in Primary Tumor"
"cg07651914","chr7",100881986,100881986,1,"*","cg07651914","CLDN15",0.803824814805092,0.518374738796707,0.285450076008385,1.78897948513188e-17,7.51929628129626e-14,"Hypermethylated in Primary Tumor"
"cg07654896","chrX",46937829,46937829,1,"*","cg07654896","RGN",0.710956136681324,0.372078031496633,0.338878105184691,6.46241156956694e-12,1.51185535047532e-10,"Hypermethylated in Primary Tumor"
"cg07657776","chr12",109914065,109914065,1,"*","cg07657776","UBE3B;KCTD10",0.701426436472701,0.484854310128064,0.216572126344637,4.54105659647027e-14,3.03577044694002e-12,"Hypermethylated in Primary Tumor"
"cg07658590","chr21",46963587,46963587,1,"*","cg07658590","SLC19A1",0.564049235469302,0.261545389763911,0.302503845705391,1.08843445657275e-15,2.50217753797219e-13,"Hypermethylated in Primary Tumor"
"cg07660236","chr6",28367883,28367883,1,"*","cg07660236","ZSCAN12",0.428350910044864,0.0612899325485021,0.367060977496362,2.17373750724666e-15,3.94936550812582e-13,"Hypermethylated in Primary Tumor"
"cg07679836","chr6",33548423,33548423,1,"*","cg07679836","BAK1",0.519694426781339,0.259125004417416,0.260569422363922,2.84381018458372e-08,1.83051998995676e-07,"Hypermethylated in Primary Tumor"
"cg07684809","chr12",75728212,75728212,1,"*","cg07684809","GLIPR1L1",0.281265856876452,0.0448641493090724,0.23640170756738,9.4972949098794e-13,3.26165483269319e-11,"Hypermethylated in Primary Tumor"
"cg07685034","chr21",47269627,47269627,1,"*","cg07685034","PCBP3",0.322106775808829,0.597544818588226,-0.275438042779397,9.93413236752801e-09,7.42554970497806e-08,"Hypomethylated in Primary Tumor"
"cg07685869","chr16",57836706,57836706,1,"*","cg07685869","KIFC3",0.318042996822846,0.0987581183132992,0.219284878509547,2.23109706735839e-11,4.2633066862186e-10,"Hypermethylated in Primary Tumor"
"cg07696033","chr11",44326410,44326410,1,"*","cg07696033","ALX4",0.343911112503137,0.0992194020347158,0.244691710468421,1.58365959962383e-10,2.20372249042157e-09,"Hypermethylated in Primary Tumor"
"cg07703401","chr16",230341,230341,1,"*","cg07703401","HBQ1",0.564141757991772,0.0574668804290131,0.506674877562759,1.49244021103496e-13,7.78314479500152e-12,"Hypermethylated in Primary Tumor"
"cg07705908","chr6",34523925,34523925,1,"*","cg07705908","SPDEF",0.290528169233589,0.574534733179298,-0.284006563945709,5.31948650494287e-15,6.77077465931401e-13,"Hypomethylated in Primary Tumor"
"cg07717632","chr9",140172631,140172631,1,"*","cg07717632","C9orf167",0.65880957333257,0.274204949458787,0.384604623873783,4.07062069658717e-14,2.78744722411588e-12,"Hypermethylated in Primary Tumor"
"cg07730329","chr5",140810137,140810137,1,"*","cg07730329","PCDHGA4;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGA12;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGA7;PCDHGB5",0.489715799981274,0.0878769771581085,0.401838822823166,1.71182491053483e-14,1.45530956262034e-12,"Hypermethylated in Primary Tumor"
"cg07745725","chr19",43245860,43245860,1,"*","cg07745725","PSG3",0.491849540267768,0.729010144191523,-0.237160603923755,1.88237136490653e-10,2.54396787522371e-09,"Hypomethylated in Primary Tumor"
"cg07752420","chrNA",0,0,1,"*","cg07752420",NA,0.550763117929244,0.1523561437335,0.398406974195743,1.07880620653318e-14,1.06447749954505e-12,"Hypermethylated in Primary Tumor"
"cg07763768","chr9",125877923,125877923,1,"*","cg07763768","C9orf45",0.89389151354699,0.597079958896964,0.296811554650025,1.22576391949762e-14,1.1603040059816e-12,"Hypermethylated in Primary Tumor"
"cg07837085","chr1",160708990,160708990,1,"*","cg07837085","SLAMF7",0.428770564906939,0.665983691055416,-0.237213126148477,3.10832468563869e-05,9.01718347189726e-05,"Hypomethylated in Primary Tumor"
"cg07841014","chr2",79314745,79314745,1,"*","cg07841014","REG1B",0.553337918681593,0.885623075087916,-0.332285156406323,1.46978298918518e-13,7.73662172040958e-12,"Hypomethylated in Primary Tumor"
"cg07846220","chr18",7117680,7117680,1,"*","cg07846220","LAMA1",0.431069562680594,0.0343340070807157,0.396735555599879,2.7666907201495e-12,7.60131405295708e-11,"Hypermethylated in Primary Tumor"
"cg07879977","chr16",3254567,3254567,1,"*","cg07879977","OR1F1",0.385664074504677,0.613371602822844,-0.227707528318167,2.14870952933881e-09,2.00448351910866e-08,"Hypomethylated in Primary Tumor"
"cg07897701","chr7",150549370,150549370,1,"*","cg07897701","ABP1",0.626795559552575,0.832154741131116,-0.205359181578541,4.62003188783104e-08,2.77781420872553e-07,"Hypomethylated in Primary Tumor"
"cg07903918","chr9",101471986,101471986,1,"*","cg07903918","GABBR2",0.415085547994858,0.0466248651855636,0.368460682809294,1.42547781778371e-13,7.57419569737007e-12,"Hypermethylated in Primary Tumor"
"cg07915343","chr11",18477680,18477680,1,"*","cg07915343","LDHAL6A",0.814136665170585,0.591674760123755,0.22246190504683,2.34897855552142e-14,1.81233348895007e-12,"Hypermethylated in Primary Tumor"
"cg07935264","chr2",113594375,113594375,1,"*","cg07935264","IL1B",0.404076447295213,0.170845516961875,0.233230930333338,7.22966290020588e-06,2.41800884024255e-05,"Hypermethylated in Primary Tumor"
"cg07937272","chrNA",0,0,1,"*","cg07937272",NA,0.589845795929984,0.371340050405958,0.218505745524026,2.72279894555601e-09,2.44877993790145e-08,"Hypermethylated in Primary Tumor"
"cg07947016","chr19",51375893,51375893,1,"*","cg07947016","KLK2",0.239781280642504,0.519936394452523,-0.28015511381002,1.66148229452179e-12,5.07202366033625e-11,"Hypomethylated in Primary Tumor"
"cg07950803","chr1",158223934,158223934,1,"*","cg07950803","CD1A",0.410889315495982,0.632993037234523,-0.222103721738541,2.46996178463674e-06,9.26966001100801e-06,"Hypomethylated in Primary Tumor"
"cg07957491","chr9",134407190,134407190,1,"*","cg07957491","UCK1",0.418299021253564,0.171245392020361,0.247053629233203,5.81561442363567e-13,2.20572352441225e-11,"Hypermethylated in Primary Tumor"
"cg07965823","chr14",77964712,77964712,1,"*","cg07965823","ISM2",0.258871486287991,0.0496242932373776,0.209247193050614,3.71270162870873e-08,2.30359281170969e-07,"Hypermethylated in Primary Tumor"
"cg07979357","chr19",14142353,14142353,1,"*","cg07979357","IL27RA",0.292815174574657,0.534406461775653,-0.241591287200995,3.08072273037456e-05,8.94402092688254e-05,"Hypomethylated in Primary Tumor"
"cg08009622","chr6",75916327,75916327,1,"*","cg08009622","COL12A1",0.220148881956875,0.0200852157996098,0.200063666157265,3.75580815642282e-08,2.32649441726834e-07,"Hypermethylated in Primary Tumor"
"cg08009711","chr21",43346184,43346184,1,"*","cg08009711","C2CD2",0.555532776431558,0.304259846825157,0.251272929606401,2.84806867559241e-12,7.81536409164694e-11,"Hypermethylated in Primary Tumor"
"cg08029608","chrNA",0,0,1,"*","cg08029608",NA,0.276879845125795,0.478270275482899,-0.201390430357104,1.34926445625348e-09,1.350403328962e-08,"Hypomethylated in Primary Tumor"
"cg08045570","chrNA",0,0,1,"*","cg08045570",NA,0.215784017936037,0.0127336024046603,0.203050415531377,1.93264720934201e-08,1.31781504174534e-07,"Hypermethylated in Primary Tumor"
"cg08047457","chr3",50378413,50378413,1,"*","cg08047457","RASSF1",0.542569697774386,0.130756964792398,0.411812732981988,7.99952237348532e-09,6.14879698233541e-08,"Hypermethylated in Primary Tumor"
"cg08047907","chr1",169396858,169396858,1,"*","cg08047907","C1orf114",0.641158185349711,0.0859785041401208,0.55517968120959,4.98636380685626e-15,6.53126687236423e-13,"Hypermethylated in Primary Tumor"
"cg08057475","chr15",45803341,45803341,1,"*","cg08057475","SLC30A4;C15orf21",0.568777172806265,0.864013005149903,-0.295235832343638,4.91959803789108e-06,1.71489438644048e-05,"Hypomethylated in Primary Tumor"
"cg08089301","chr17",46655561,46655561,1,"*","cg08089301","HOXB4",0.408736885165219,0.091757222379442,0.316979662785777,5.31592015246218e-05,0.000147019844236215,"Hypermethylated in Primary Tumor"
"cg08097882","chr13",79177516,79177516,1,"*","cg08097882","POU4F1",0.472349193821975,0.0352962166998915,0.437052977122083,3.10712875761691e-10,3.87385189708641e-09,"Hypermethylated in Primary Tumor"
"cg08101264","chr20",44486710,44486710,1,"*","cg08101264","ACOT8;ZSWIM3",0.370745705416092,0.057668917905792,0.3130767875103,1.39445050372364e-07,7.26035946345965e-07,"Hypermethylated in Primary Tumor"
"cg08108641","chr9",135042030,135042030,1,"*","cg08108641","NTNG2",0.564967695049093,0.788681365003912,-0.223713669954819,1.90933541788668e-05,5.78553027969993e-05,"Hypomethylated in Primary Tumor"
"cg08108953","chrNA",0,0,1,"*","cg08108953",NA,0.202351023440396,0.581443633715143,-0.379092610274748,5.1460232796753e-16,1.68021389083775e-13,"Hypomethylated in Primary Tumor"
"cg08109815","chr6",142409831,142409831,1,"*","cg08109815","NMBR",0.544271100168467,0.153142537240566,0.391128562927901,2.8094633997388e-16,1.26588801865431e-13,"Hypermethylated in Primary Tumor"
"cg08118311","chrNA",0,0,1,"*","cg08118311",NA,0.478578487409511,0.0708018845618077,0.407776602847703,1.30645981191587e-14,1.22129597936318e-12,"Hypermethylated in Primary Tumor"
"cg08124722","chr17",32597714,32597714,1,"*","cg08124722","CCL7",0.698527930588466,0.931227168847795,-0.232699238259329,5.10032543153366e-11,8.44270621947258e-10,"Hypomethylated in Primary Tumor"
"cg08151470","chr1",10092299,10092299,1,"*","cg08151470","UBE4B",0.229779295584996,0.434126198603189,-0.204346903018193,2.46337572321094e-12,6.94585627887601e-11,"Hypomethylated in Primary Tumor"
"cg08214029","chr17",34391478,34391478,1,"*","cg08214029","CCL18",0.334859413394037,0.547098318886616,-0.212238905492579,2.58503436980264e-10,3.3089908703002e-09,"Hypomethylated in Primary Tumor"
"cg08258650","chr11",35441900,35441900,1,"*","cg08258650","SLC1A2",0.331401911164749,0.110101604291857,0.221300306872891,4.66511899961077e-05,0.000130559585021405,"Hypermethylated in Primary Tumor"
"cg08260891","chr20",44518802,44518802,1,"*","cg08260891","CTSA;NEURL2",0.518543788031612,0.0809188596850792,0.437624928346532,1.09821297588726e-13,6.16998507076409e-12,"Hypermethylated in Primary Tumor"
"cg08260959","chr6",26240920,26240920,1,"*","cg08260959","HIST1H4F",0.408650314155394,0.0494172810557444,0.35923303309965,6.07696482433188e-08,3.51586904281903e-07,"Hypermethylated in Primary Tumor"
"cg08261094","chr7",37956276,37956276,1,"*","cg08261094","SFRP4",0.412913482382561,0.124794595376646,0.288118887005915,3.33322931424722e-11,5.90364176263173e-10,"Hypermethylated in Primary Tumor"
"cg08285151","chr7",18534872,18534872,1,"*","cg08285151","HDAC9",0.490360646408641,0.206159649658977,0.284200996749664,1.88766459116399e-08,1.29065843928175e-07,"Hypermethylated in Primary Tumor"
"cg08307963","chr1",147245485,147245485,1,"*","cg08307963","GJA5",0.377077711916749,0.15599985246866,0.221077859448089,2.72279894555601e-09,2.44877993790145e-08,"Hypermethylated in Primary Tumor"
"cg08315770","chr6",39281885,39281885,1,"*","cg08315770","KCNK17",0.341585577583078,0.0397329384342718,0.301852639148807,1.79709950106279e-07,9.08999880095276e-07,"Hypermethylated in Primary Tumor"
"cg08331313","chr5",151066460,151066460,1,"*","cg08331313","SPARC",0.395721360619703,0.0967743033272486,0.298947057292454,2.53599698912763e-12,7.11500325878658e-11,"Hypermethylated in Primary Tumor"
"cg08356693","chrNA",0,0,1,"*","cg08356693",NA,0.495182193729285,0.733328785506246,-0.238146591776961,3.33775634129311e-05,9.62328034463687e-05,"Hypomethylated in Primary Tumor"
"cg08367223","chr19",41255304,41255304,1,"*","cg08367223","C19orf54;SNRPA",0.396857546039534,0.627543413861464,-0.230685867821929,8.89863089180266e-11,1.35092490135729e-09,"Hypomethylated in Primary Tumor"
"cg08369065","chrNA",0,0,1,"*","cg08369065",NA,0.299317877107578,0.0659554171686109,0.233362459938967,1.29321584045649e-06,5.21382599671514e-06,"Hypermethylated in Primary Tumor"
"cg08375941","chr3",98250382,98250382,1,"*","cg08375941","GPR15",0.46297497659964,0.738183760235969,-0.275208783636329,2.61929483243545e-10,3.34714085535668e-09,"Hypomethylated in Primary Tumor"
"cg08376864","chr3",192958726,192958726,1,"*","cg08376864","MGC2889;HRASLS",0.234324433172687,0.469313515655176,-0.234989082482488,4.00911281398039e-06,1.42507577447403e-05,"Hypomethylated in Primary Tumor"
"cg08403419","chr1",155911238,155911238,1,"*","cg08403419","RXFP4",0.593858424632989,0.293829714036579,0.30002871059641,5.76635392372035e-09,4.6396495552677e-08,"Hypermethylated in Primary Tumor"
"cg08404225","chr3",3151899,3151899,1,"*","cg08404225","IL5RA",0.293080559626489,0.598858310535535,-0.305777750909046,1.33022424013344e-11,2.76974324454402e-10,"Hypomethylated in Primary Tumor"
"cg08422599","chr5",169931092,169931092,1,"*","cg08422599","KCNIP1",0.275228014213087,0.0336864150079651,0.241541599205122,9.46837475979772e-09,7.12944568728218e-08,"Hypermethylated in Primary Tumor"
"cg08432727","chr2",5831722,5831722,1,"*","cg08432727","SOX11",0.243174467244176,0.0384504286427441,0.204724038601432,3.00695081984532e-09,2.66287716274745e-08,"Hypermethylated in Primary Tumor"
"cg08441806","chr10",134599149,134599149,1,"*","cg08441806","NKX6-2",0.557279373321572,0.205531336407321,0.35174803691425,2.58162954177472e-13,1.17498044336652e-11,"Hypermethylated in Primary Tumor"
"cg08474603","chr1",159684431,159684431,1,"*","cg08474603","CRP",0.517761797539978,0.868074167558127,-0.35031237001815,1.5117254184603e-09,1.48399398485804e-08,"Hypomethylated in Primary Tumor"
"cg08475088","chr19",56249291,56249291,1,"*","cg08475088","NLRP9",0.606671983237525,0.889076289564962,-0.282404306327437,6.37090486107507e-12,1.49510537099125e-10,"Hypomethylated in Primary Tumor"
"cg08489623","chr7",55902220,55902220,1,"*","cg08489623","SEPT14",0.446252483404791,0.701741977739055,-0.255489494334264,9.33318863350714e-10,9.83017329239282e-09,"Hypomethylated in Primary Tumor"
"cg08519905","chr12",6308774,6308774,1,"*","cg08519905","CD9",0.494301242337007,0.0752978300935973,0.419003412243409,1.24181120120556e-13,6.74138904866509e-12,"Hypermethylated in Primary Tumor"
"cg08528984","chr1",2985218,2985218,1,"*","cg08528984","FLJ42875;PRDM16",0.26151753026994,0.0378079563954041,0.223709573874535,3.81745212205677e-06,1.36405041804626e-05,"Hypermethylated in Primary Tumor"
"cg08555612","chr3",71834640,71834640,1,"*","cg08555612","PROK2",0.382349718132168,0.163814189056361,0.218535529075807,0.00160885056728574,0.00325103546778908,"Hypermethylated in Primary Tumor"
"cg08572611","chr7",100253914,100253914,1,"*","cg08572611","ACTL6B",0.449657411454168,0.0421233400758673,0.407534071378301,6.26603201478616e-13,2.31422025018225e-11,"Hypermethylated in Primary Tumor"
"cg08575537","chr7",100318626,100318626,1,"*","cg08575537","EPO",0.530839900743924,0.149937313537213,0.380902587206711,8.31866930191657e-10,8.8820521660132e-09,"Hypermethylated in Primary Tumor"
"cg08578734","chr5",152870490,152870490,1,"*","cg08578734","GRIA1",0.446482181221554,0.0630960518798364,0.383386129341718,2.68915131989882e-10,3.42475353793106e-09,"Hypermethylated in Primary Tumor"
"cg08583049","chr15",60296815,60296815,1,"*","cg08583049","FOXB1",0.241334049395556,0.0121002408388738,0.229233808556682,7.110580016586e-15,8.17317638743194e-13,"Hypermethylated in Primary Tumor"
"cg08611714","chr17",39623858,39623858,1,"*","cg08611714","KRT32",0.670489191324127,0.453008902731034,0.217480288593092,4.08627929034846e-12,1.05211184151155e-10,"Hypermethylated in Primary Tumor"
"cg08614481","chr6",78173250,78173250,1,"*","cg08614481","HTR1B",0.355289277475335,0.135435086901504,0.219854190573831,3.1209014951585e-08,1.98058562773031e-07,"Hypermethylated in Primary Tumor"
