Hybridization REF	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05
cg07526069	0.0169494998163659	GOT1	10	101190311
cg07526675	0.611109690156715	PCSK1N	X	48694367
cg07531356	0.784498160157826	INSL6	9	5185951
cg07533148	0.0292109526536108	TRIM58	1	248020812
cg07533529	0.0816323610474061	ROM1;EML3	11	62379499
cg07534467	0.0378150461255182	ZNF16	8	146176336
cg07535475	0.0320749677473965	ALG2;SEC61B	9	101984791
cg07535879	0.0211125158725601	MTRF1L	6	153323363
cg07536847	0.489238796381736	PAX7	1	18957232
cg07536920	0.0136013493147852	RORB	9	77112326
cg07537523	0.0838012656799743	BCAT1	12	25102311
cg07540118	0.0213494716407542	ADAM19	5	157002713
cg07543883	0.74919698012249	ANGPTL6	19	10213271
cg07545232	0.81079700358142	NA	NA	0
cg07545925	0.445776414751385	CD3G;CD3D	11	118214927
cg07546360	0.278510585963854	LOC400931	22	46482023
cg07548313	0.819099730858347	CD1C	1	158259926
cg07549194	NA	PTH2	19	49927076
cg07549630	0.00858936008995181	NEDD1	12	97300822
cg07549715	0.55268791386388	GNRH2	20	3024204
cg07550267	0.0159384757880263	SNORD46;RPS8	1	45241824
cg07550278	0.0203668347989775	C10orf4	10	95462365
cg07550362	0.46188612011853	TAC1	7	97361201
cg07551659	0.0888924212347695	CGNL1	15	57669165
cg07554030	NA	NAGLU	17	40687935
cg07557424	0.0357934425692074	C9orf23	9	34613043
cg07558006	0.908025295855973	TAAR8	6	132874263
cg07558455	0.108000529042652	KANK4	1	62784762
cg07559730	0.0242512532359179	ZNF702P	19	53497048
cg07560096	0.0252341670047056	ME3	11	86383182
cg07561400	0.0231121070459346	ZC3HAV1	7	138794433
cg07561588	0.0118059960889513	RNF139	8	125487055
cg07566050	0.854250092655892	PEA15	1	160174755
cg07567107	0.00994018152297904	HEATR6	17	58156231
cg07569069	0.0252321685125195	C19orf39	19	11485349
cg07569756	0.0151578092833284	LRRC59	17	48474564
cg07570142	0.0342401421355505	MOXD1	6	132722421
cg07570421	0.03752949906551	PTER	10	16479076
cg07571117	0.0173596490230837	FAM98A	2	33824316
cg07572341	0.0939287612255091	FOXA2	20	22565881
cg07572435	0.923151167434216	LY6D	8	143868013
cg07576541	0.629745881880407	SNAPIN	1	153630883
cg07577263	0.0291856095596837	NUP205	7	135242585
cg07579404	0.0919808814541204	RAET1L	6	150346721
cg07580475	0.897382684150907	SEMA3B	3	50304049
cg07580827	NA	PIH1D2	11	111943186
cg07581365	0.0153895295849579	CBX8	17	77770444
cg07581973	0.627682865906254	PRDX4	X	23685729
cg07584959	NA	MED16	19	892937
cg07586911	0.800990109163054	FAM71F1	7	128355717
cg07588113	0.0131054876166466	C7orf63	7	89874465
cg07588664	0.078005075049303	NA	NA	0
cg07588779	0.0774105216900938	GPR137;BAD	11	64051753
cg07589355	0.0646376527062017	RBMS2	12	56915842
cg07590705	0.0126571945351243	CHCHD3	7	132766510
cg07592353	0.813129824261212	GABRA6	5	161113339
cg07594478	0.0295250476005682	ARIH1	15	72766470
cg07594933	NA	CCDC77	12	515355
cg07595113	0.0281769343688256	MYBL1	8	67525279
cg07595943	0.894455993479797	ADAD2	16	84224901
cg07596401	NA	LHPP	10	126150086
cg07596494	0.00955821869320695	KIF3C	2	26205095
cg07597871	0.0370250854496201	RAP1A	1	112162932
cg07597976	NA	CD19	16	28943019
cg07598199	0.544179699069467	MYOZ2	4	120056829
cg07599644	NA	C11orf41	11	33693866
cg07601320	0.513860143835111	SLC38A4	12	47219841
cg07602026	0.0154041837221748	PSME1	14	24605550
cg07602200	0.0238888970953701	P2RX7	12	121570875
cg07603484	0.811564388966746	NUP62;IL4I1;ATF5	19	50434179
cg07605143	0.887730243699286	EMP3	19	48827843
cg07607462	0.0188372993269968	UBR1	15	43398173
cg07607921	0.0553076372645482	ZZEF1;CYB5D2	17	4047574
cg07608333	NA	CD209	19	7813422
cg07611177	0.0185666237654858	SLC25A46	5	110074217
cg07611334	0.0704192045883931	NRSN2	20	327811
cg07611925	NA	KCNE2	21	35736383
cg07612655	0.733404650240197	PTGIS	20	48185517
cg07613153	0.756465966601217	TDRD9	14	104436947
cg07613278	0.0949137263936576	API5	11	43333327
cg07614786	NA	TTLL3	3	9860331
cg07617246	NA	IGDCC4	15	65715951
cg07617560	0.0173474698614681	DNAJA3	16	4475932
cg07618900	0.181662381059769	BEST3	12	70093350
cg07619076	0.0970925986287153	NA	NA	0
cg07621042	0.989672636212858	RBMXL3;LRCH2	X	114424768
cg07621046	0.554514272027561	C10orf82	10	118429658
cg07621456	0.921892261821978	CCDC48	3	128749537
cg07623294	0.233581989720163	ELAVL2	9	23826507
cg07625840	0.0234780096710975	PRSS12	4	119274341
cg07628086	0.0101731603006947	AP2B1	17	33914258
cg07629017	0.0433046922026898	NPBWR1	8	53851613
cg07633499	0.0841172012312253	UFD1L;CDC45L	22	19467075
cg07634191	0.310968288998582	SCARA5	8	27850178
cg07634204	0.0299763076676523	VPS72	1	151162707
cg07634706	NA	CCL17	16	57438524
cg07636178	0.0172825872642189	HIST1H3C	6	26045534
cg07637239	0.627041838178381	KCNK18	10	118957259
cg07638871	0.0237607247870792	MIER3	5	56247860
cg07638935	0.0818550260779175	KAZALD1	10	102821427
cg07638938	0.929440707292353	MGMT	10	131348599
cg07639198	NA	AKR1C1	10	5004250
cg07639720	0.0751008141040465	BNC1	15	83952875
cg07639959	0.018547941707867	EXO1	1	242011162
cg07640473	0.0432676741998083	SEMA3F	3	50193232
cg07640820	0.106061588428831	AGK	7	141251633
cg07641524	0.152451612494368	MSRB3	12	65672405
cg07642638	0.178899445041189	CHGB	20	5891786
cg07643942	0.864819782698291	LACRT	12	55029147
cg07644368	0.358537219513145	CDO1	5	115152785
cg07651242	0.0493238942903407	ADCY1	7	45614720
cg07651857	0.0572767806181408	RNF4	4	2471025
cg07651914	0.744541971182611	CLDN15	7	100881986
cg07652213	0.0482333293882892	MSH6	2	48010362
cg07652553	0.024101394053188	NA	NA	0
cg07654843	0.962800130444734	MYO18B	22	26138429
cg07654896	0.619333602210386	RGN	X	46937829
cg07654934	0.0330430399860615	LXN;GFM1	3	158390329
cg07655627	0.0264727678991117	NUDT12	5	102898729
cg07656304	0.040139004372503	NAP1L1	12	76479148
cg07656362	0.0166307376448126	C1orf91;EIF3I	1	32688117
cg07656391	0.0355343146161214	DPY30	2	32264720
cg07657236	0.175845267501856	KCNH8	3	19190202
cg07657776	0.586612353251144	UBE3B;KCTD10	12	109914065
cg07658590	0.555863315287131	SLC19A1	21	46963587
cg07658718	0.0278476318093101	CDK5R1	17	30814514
cg07660236	0.293849006795458	ZSCAN12	6	28367883
cg07663789	0.0168912858269368	NPR3	5	32711429
cg07664027	NA	RPL13AP5;RPL13A	19	49990137
cg07664183	NA	HAUS6	9	19103231
cg07664856	0.246574291860951	CNTN6	3	1134528
cg07665060	0.543693291662641	C19orf33;YIF1B	19	38794598
cg07666065	0.0428774593353146	PON2	7	95064469
cg07667595	0.0185476819274356	ZNF576;IRGQ	19	44100631
cg07668036	0.0161396706580602	PSMD4	1	151227536
cg07671208	0.740763257404548	NA	NA	0
cg07671603	0.0167202127291863	C7orf13;RNF32	7	156433350
cg07671949	0.144663174796871	ESR1	6	152128338
cg07671976	0.0631970528201777	TNFRSF18	1	1142215
cg07672479	0.0160338605815396	DYNC1H1	14	102431106
cg07673945	0.0124672724573228	NA	NA	0
cg07674153	0.0305742704589488	TSHR	14	81421600
cg07675169	0.23305032164078	FLJ16779;NKAIN4	20	61886262
cg07675682	0.547923716104965	SLC26A11;SGSH	17	78195515
cg07676849	NA	FOLR3	11	71845665
cg07677850	0.849875708242684	ADORA2B	17	15847412
cg07678643	0.0229888122778882	C1orf212	1	35325113
cg07679836	0.463724921143437	BAK1	6	33548423
cg07681084	0.0335981463233823	LMBR1	7	156685826
cg07684150	0.0108701763913303	BRP44;DCAF6	1	167906751
cg07684353	0.0538899543693159	MYO1E	15	59664799
cg07684796	0.0759980078985272	DKK1	10	54074209
cg07684809	0.330047302088854	GLIPR1L1	12	75728212
cg07685034	0.520725074354634	PCBP3	21	47269627
cg07685221	0.0222184920261332	QTRT1	19	10812325
cg07685786	NA	S100B	21	48025691
cg07685869	0.171826516737316	KIFC3	16	57836706
cg07686479	0.197514147943918	LMX1A	1	165325030
cg07688234	NA	CFP	X	47489663
cg07688613	0.0283633534019139	INTS3	1	153700021
cg07688933	0.023930825271026	TMEM160	19	47551971
cg07689731	NA		1	31393915
cg07689821	0.028929521356638	DAXX	6	33290736
cg07690018	0.02221903321748	CPNE7	16	89642492
cg07693270	0.277122286602693	RPL39L	3	186856928
cg07694025	0.468797099107439	SFRP2	4	154709441
cg07695590	0.0171980715595701	CEBPZ;C2orf56	2	37459068
cg07696033	0.342353185709217	ALX4	11	44326410
cg07697078	0.0244505438909078	PFDN1	5	139682675
cg07697569	0.0138937184439242	H2AFX	11	118966186
cg07699362	0.0186999186832412	NA	NA	0
cg07699440	0.0146528684908066	FAH	15	80445357
cg07703337	NA	ZNF610	19	52847943
cg07703401	0.510400425983776	HBQ1	16	230341
cg07704144	0.0145818915933267	SNPH	20	1247415
cg07705835	0.244522318030782	IL17RC	3	9959128
cg07705908	0.46297280501982	SPDEF	6	34523925
cg07706067	0.0165733070626077	DHRS7B	17	21030370
cg07706362	0.0363516624856799	ZNF91	19	23578365
cg07707227	0.0232610482578315	MIR449C;CDC20B	5	54469532
cg07707498	0.0225563716859738	C16orf87	16	46865555
cg07708788	0.0137736106019655	SLCO2A1	3	133748311
cg07710481	0.0416726578531447	SLITRK5	13	88325384
cg07711097	0.61567969715012	GML	8	143915954
cg07711515	0.827930078128048	NA	NA	0
cg07713361	0.0880089531980502	APOL1	22	36649144
cg07713493	0.475188880526768	CDK18	1	205473393
cg07714374	0.194393739820046	NA	NA	0
cg07714534	0.0226198834320671	PRCP;C11orf82	11	82612592
cg07715201	0.15556134442005	GDNF	5	37840839
cg07715387	0.0139839041069332	SLC1A4	2	65216679
cg07715894	0.0126945456886157	C16orf75	16	11439533
cg07717632	0.496677197610473	C9orf167	9	140172631
cg07719512	0.68024551108623	SLC11A1	2	219246576
cg07719737	0.0204590909161792	MANBAL	20	35917850
cg07728874	0.822526610669478	CD3D	11	118213272
cg07730301	0.323857001342109	ALDH3B1	11	67777952
cg07730329	0.45475671453312	PCDHGA4;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGA12;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGA7;PCDHGB5	5	140810137
cg07731916	0.0598322083447509	IRF2	4	185395553
cg07732037	0.741879977391326	MPHOSPH9	12	123707827
cg07732644	0.76935710980113	ASPA	17	3378397
cg07733031	0.0249211036390594	SGTB;NLN	5	65018600
cg07736705	0.0157150790704293	POM121	7	72350033
cg07737781	0.123961535227366	MLXIPL	7	73038866
cg07739803	0.00958878257771838	SLC30A7;EXTL2	1	101361235
cg07740640	0.991654323141336	BHLHA15	7	97841941
cg07740989	0.0316604288634897	EEF1A1	6	74230681
cg07744166	0.0233179677896498	WASF3	13	27131484
cg07745434	0.419523544360726	CHST13	3	126243401
cg07745725	0.624791706889666	PSG3	19	43245860
cg07746918	0.0217314009677775	SREBF2	22	42229324
cg07747299	NA	C21orf56	21	47604052
cg07747336	NA	PATE2	11	125649398
cg07747970	0.115747401460236	LHX1	17	35293719
cg07748017	0.0183127732217681	PEX5	12	7342621
cg07748540	0.0160881437991328	PDGFD	11	104034619
cg07749074	0.627135161250945	HRG	3	186383386
cg07749808	0.0141287613800277	SYT17	16	19179817
cg07750111	0.0209373941261039	HIST1H1C	6	26056168
cg07752420	0.541106664352245	NA	NA	0
cg07753583	0.0815803002474744	LRRC61;ACTR3C	7	150020206
cg07753644	0.49400719745754	PPAN-P2RY11;P2RY11	19	10222175
cg07755653	0.0112515191552231	STX11	6	144471198
cg07757386	0.0172277791773883	RAGE	14	102771445
cg07758574	0.0372857400865126	C3orf62	3	49314370
cg07758904	0.0297726242920093	SLC46A2	9	115652824
cg07759587	0.888824830635914	TLR8;LOC349408	X	12924783
cg07761912	0.0164750895141722	TOR1AIP2	1	179846929
cg07763768	0.886222665919707	C9orf45	9	125877923
cg07764959	0.0199107636895205	SLC43A1	11	57282648
cg07766315	0.0265948855516839	NA	NA	0
cg07766612	0.0210930235911886	SLC30A2	1	26372887
cg07770222	0.486068487062008	C8orf31	8	144120106
cg07772309	0.0151406977317736	NELF	9	140353475
cg07773116	0.34661064033037	GDF10	10	48438500
cg07773642	0.0227703679554638	PSMD7	16	74330896
cg07774025	0.0231056438146646	HSD17B7	1	162760659
cg07774222	0.0168656583154379	MED6	14	71067759
cg07775501	0.0119814706830712	JOSD2	19	51014757
cg07775675	0.0227661622520415	SPHK1	17	74379922
cg07777378	0.0220684081297289	GRN	17	42422412
cg07778029	NA	HOXA9	7	27205114
cg07778080	0.0158591078861538	NPC1	18	21166698
cg07780118	0.28834481365193	AR	X	66766506
cg07780979	0.978968113644106	PDCD6;AHRR	5	303287
cg07782113	0.0133423608845328	HIVEP1	6	12012564
cg07785936	0.431048505205031	GPR39	2	133174635
cg07786760	0.0210074598587633	DCHS2	4	155412677
cg07788138	0.0203089709399578	NA	NA	0
cg07789083	0.0346616268103356	GPRC5C	17	72427563
cg07789552	0.0644889294900241	STK40	1	36851195
cg07789904	NA	MAD2L2	1	11741841
cg07790638	0.943510869994533	C4orf21	4	113508575
cg07791997	0.136775100017357	PPME1;C2CD3	11	73882526
cg07792737	0.754594086368712	NA	NA	0
cg07799434	NA	C19orf43	19	12845367
cg07799947	0.342638421344433	NPAS2	2	101436171
cg07800320	0.023915477381377	ALDH1L1	3	125899567
cg07803864	0.835150189593023	TUBAL3	10	5446998
cg07804122	0.017841023825577	TXN	9	113018739
cg07804582	NA	C16orf78	16	49407186
cg07805833	0.933551133304482	POLR1C;YIPF3	6	43483391
cg07806164	0.0746071799538644	UBE2E2	3	23244688
cg07807709	0.0586750164085765	HIST2H2AB	1	149860026
cg07807817	NA	COQ6;FAM161B	14	74416425
cg07808960	0.0103384140597997	RBM6	3	49977390
cg07810156	NA	PDZK1IP1	1	47655682
cg07810967	0.967939678873528	IL13	5	131993925
cg07811498	0.028956149151807	C22orf32	22	42475450
cg07811750	0.0103370969136127	CAMTA2	17	4890503
cg07815386	0.0140769722891832	RNF149	2	101925384
cg07816074	0.766614898460833	SH3TC1	4	8201560
cg07816439	0.265553709856273	C1QTNF2	5	159797845
cg07816442	0.0153627525831198	CD3EAP;PPP1R13L	19	45909858
cg07817698	0.0295004633103609	DHODH	16	72042925
cg07817783	0.0135472428946423	DAP	5	10761669
cg07818646	0.0155346479283259	RNASEH2B	13	51483769
cg07819926	0.0274034216077547	C7orf55	7	139025145
cg07820214	0.0160791152471915	RUVBL1	3	127842989
cg07823492	0.990343092590046	HOXB1	17	46608099
cg07823755	0.966380374693461	UGT1A10;UGT1A1;UGT1A6;UGT1A8;UGT1A4;UGT1A3;UGT1A9;UGT1A7;UGT1A5	2	234668355
cg07823935	0.0212401729148182	NCKAP1	2	183902842
cg07824317	0.501983414645716	RPGR	X	38187006
cg07824742	0.991110497011937	DBH	9	136501784
cg07826255	0.209237207030504	SGCA	17	48243707
cg07827038	0.0149922770631283	SKA3;MRP63	13	21750347
cg07829804	NA	OLR1	12	10325287
cg07829809	NA	METAP1	4	99957216
cg07830847	0.895018697147206	KCNA10	1	111061374
cg07832674	0.659008043595029	IL17RE	3	9943884
cg07833035	0.013048449530623	RPS23	5	81573845
cg07833382	0.0507588717904632	SCPEP1	17	55055134
cg07836370	0.035659283355213	GLTP	12	110318755
cg07837085	0.382499558219558	SLAMF7	1	160708990
cg07837262	0.0139448688765735	SLC39A14	8	22225395
cg07841014	0.603267505505903	REG1B	2	79314745
cg07842062	0.604329944575521	MEFV	16	3306524
cg07842593	0.0166981987250166	SEPHS2	16	30457166
cg07843027	0.0303879807304751	TMEM170A	16	75498835
cg07844021	0.0323559025085176	COIL	17	55038529
cg07844572	0.0179996370354625	PSMC5;FTSJ3	17	61904053
cg07845390	0.0190780377188707	KCNT2	1	196577709
cg07845392	0.504889465997675	SLC25A10	17	79678158
cg07845566	0.00882254766977495	NA	NA	0
cg07846167	NA	FBLIM1	1	16084758
cg07846220	0.1208086337177	LAMA1	18	7117680
cg07847428	0.0142023854651997	MARCH2	19	8478158
cg07849904	0.0512664691100239	MN1	22	28197796
cg07850221	0.891767838111898	U2AF1L4;PSENEN	19	36235109
cg07850604	0.0198722840017105	INSM2	14	36003443
cg07851192	0.903682043769766	KCNG2	18	77624513
cg07851243	0.0149217823835961	MXRA7	17	74707271
cg07851278	0.0204163188902967	RIOK3	18	21033426
cg07854244	0.0166424421148368	IP6K2	3	48754518
cg07855056	0.0526700770435551	MIR423;CCDC55	17	28443892
cg07857181	0.0187170784226252	POLH;XPO5	6	43543548
cg07858745	0.0272699372396423	GTF2I	7	74072514
cg07861564	0.0205503135947232	HSPB8	12	119616618
cg07862358	0.0227427411884081	MYO10	5	16935888
cg07864189	0.0200186057851994	NADSYN1	11	71164265
cg07864297	0.751342439185361	ESRRB	14	76837569
cg07864632	0.0141095154942538	TRIP12	2	230785697
cg07865790	0.0140476450825634	IKBIP;APAF1	12	99038290
cg07867360	0.82868673844828	PPP2R2C	4	6475156
cg07868688	0.0259802144127222	ORC3L;RARS2	6	88299842
cg07871503	0.672643177376754	RASGEF1A	10	43763042
cg07872652	0.0265129882373544	CNIH2	11	66045932
cg07873128	0.964039569568638	OSBPL5	11	3121400
cg07873488	0.725450035964512	MUC17	7	100662570
cg07874155	0.0105347162795236	CTNNA1	5	138089656
cg07874284	0.434541860858861	PRPS2	X	12809156
cg07874520	0.939912517084914	THEM5	1	151826533
cg07876586	0.672973720328229	PGRMC1	X	118370356
cg07879727	0.290040982497095	WNT3	17	44896017
cg07879977	0.357963012873269	OR1F1	16	3254567
cg07880061	0.0124050289764584	RAB24;PRELID1	5	176730198
cg07880715	NA	RB1	13	48895478
cg07880854	0.213795466817928	FBLN7	2	112895559
cg07881407	0.597671143644691	NA	NA	0
cg07882535	0.892281448419277	TRPM5	11	2445392
cg07882831	0.0108186873222391	MGC16275;TTYH2	17	72209802
cg07883333	0.98706230598533	TSTD1;USF1	1	161009753
cg07884019	0.0760788968574655	NA	NA	0
cg07884474	0.0148269291947708	VPS16;FAM113A	20	2821816
cg07886712	0.0504635015034463	EWSR1;RHBDD3	22	29665413
cg07888040	0.903756112536451	GLDN	15	51669526
cg07888234	0.0665303213881378	TNFRSF11A	18	59992252
cg07889201	0.0315911027141331	ZNF343	20	2490030
cg07890954	0.924891624235431	NR2E3	15	72102874
cg07892051	0.642198148204779	NA	NA	0
cg07894162	0.0319719774104437	MORC2;TUG1	22	31364948
cg07894717	0.728586459660108	APITD1;CORT	1	10508598
cg07895149	0.0965992702729861	CALHM2	10	105212283
cg07896225	0.00799549624153429	BCL7C;MIR762	16	30905137
cg07897193	0.0129103248569097	SOCS5	2	46926272
cg07897414	0.0608013587989379	KLHL4	X	86772895
cg07897701	0.661740738022677	ABP1	7	150549370
cg07897837	0.00941672023056953	C1orf131;GNPAT	1	231377046
cg07899016	0.357271784857676	PCDHB12	5	140588299
cg07899425	0.0151513064643596	GSR	8	30585046
cg07900766	0.0172220590596728	SPAG16	2	214148972
cg07903860	0.0206462205664248	DCLRE1C	10	14995957
cg07903918	0.147975937736701	GABBR2	9	101471986
cg07905963	0.711601146863839	NA	NA	0
cg07906495	0.0327366697941829	G2E3	14	31028426
cg07906724	0.338525182523909	CHRNA6	8	42623946
cg07908874	0.572020597319808	ZNF511;TUBGCP2	10	135123006
cg07909265	0.0216077998535163	ITGAV	2	187455298
cg07909422	0.0341688571844544	SIRT5	6	13574371
cg07909527	0.00658954059269216	NUBP2;SPSB3	16	1833420
cg07911663	0.471269543482392	TMEM164	X	109245325
cg07911673	0.576530075334183	SLC25A35	17	8198092
cg07912181	0.00767257760300908	HSD17B12	11	43702277
cg07914866	0.64642325114447	IRAK3	12	66583431
cg07914959	0.012282721785979	BACH2	6	91006321
cg07915282	NA	RASSF3	12	65003120
cg07915343	0.837908415661041	LDHAL6A	11	18477680
cg07915542	0.0339629886164598	IDH1	2	209120308
cg07917796	0.0397507873533034	DIAPH2	X	95939710
cg07918509	NA	ICAM2	17	62083407
cg07919162	0.0247428627642072	SF4;KIAA0892	19	19431259
cg07922606	0.846005806071361	HIST1H3E	6	26225389
cg07924575	0.364311539260753	HPS4;SRRD	22	26881231
cg07924819	0.0185055050136609	ATF6	1	161736104
cg07925687	0.019555642264946	RABL3;GTF2E1	3	120461082
cg07926025	NA	CER1	9	14722864
cg07927484	0.0149143353417172	SAP30L	5	153826296
cg07928641	0.0117089809850351	LAMC1	1	182991847
cg07928695	0.0243764111308248	BLOC1S3;TRAPPC6A	19	45681899
cg07929310	0.0201591417736008	KIAA0513	16	85061061
cg07930578	0.925305056830933	LTK	15	41806588
cg07933176	NA	PCYOX1L	5	148737252
cg07933197	0.946116116401212	NA	NA	0
cg07933199	0.0248560088574938	C3orf59	3	192635636
cg07934026	0.0199642077810401	ZNF721;ABCA11P	4	467794
cg07935151	0.0245472966582491	LSM2	6	31774618
cg07935264	0.309031784632269	IL1B	2	113594375
cg07935568	0.063616086037431	MLNR	13	49794126
cg07936037	0.0106011308202864	SSR1	6	7313172
cg07937272	0.371051472779339	NA	NA	0
cg07940485	0.0106753455619718	SLC16A10	6	111409222
cg07940804	0.701704855908703	ACTRT1	X	127185902
cg07942995	0.78382607591747	ZSCAN1	19	58546307
cg07944287	0.0247869739689832	RFX2	19	6110462
cg07944811	0.923678883945449	GCK	7	44228830
cg07945480	0.0440875765270135	GRK4;NOP14	4	2964972
cg07947016	0.277331764034261	KLK2	19	51375893
cg07947930	0.0878536586534169	PRELP	1	203444945
cg07948245	0.014554607225874	ARHGAP5;C14orf128	14	32546939
cg07948472	0.886729623358475	SPATA9	5	95018471
cg07950803	0.609861131087705	CD1A	1	158223934
cg07952391	0.0618681211857787	THNSL2	2	88470173
cg07952773	0.012847937651982	NA	NA	0
cg07955356	0.019116688392812	DNASE2	19	12992479
cg07955828	0.0171217225379924	DHX35	20	37591298
cg07955887	0.791989555584173	KIAA0802	18	8717926
cg07957491	0.38451285992024	UCK1	9	134407190
cg07958192	0.658227027808952	TIGD2	4	90033974
cg07959477	0.572655808954291	CLEC1A	12	10251879
cg07959896	0.0147686952158701	GEMIN6	2	39005451
cg07960846	0.0208186421981571	NA	NA	0
cg07962043	0.0449045717239091	TMEM132A	11	60691582
cg07962051	0.0512511231927748	TNKS	8	9412923
cg07962315	0.0651261175041346	OSTF1;C9orf95	9	77704473
cg07964133	0.0414558773840633	HNRNPD	4	83296335
cg07964538	0.0129287346295211	CAV1	7	116164767
cg07964539	0.0812120718788024	BYSL;MED20	6	41890080
cg07965714	0.0185606483650109	XPA	9	100459834
cg07965823	0.0518399951367213	ISM2	14	77964712
cg07965839	0.0209312076592271	ZFAND6	15	80351679
cg07967308	0.765887630535657	ACP5	19	11688246
cg07967643	0.0116275061294247	FRS3;PRICKLE4	6	41747785
cg07970007	NA	GBP1	1	89531456
cg07971188	0.115199141069085	HCP5	6	31431100
cg07973246	0.0258248317206545	SRGAP1	12	64238719
cg07973390	0.0203303252342444	CDKN2AIP	4	184365087
cg07973395	NA	BLM	15	91260024
cg07973461	0.70373445054484	NA	NA	0
cg07973967	0.796134996183592	CD79B	17	62009607
cg07974125	0.0148849829121693	C4orf14	4	57843509
cg07974303	0.851132658487451	DEFA6	8	6783987
cg07974891	0.345323299708731	ITGB1BP1;CPSF3	2	9565042
cg07975063	0.0231061736534605	NA	NA	0
cg07975813	0.0189887325665211	USP5;CDCA3	12	6961094
cg07977490	0.577579491759072	C16orf45	16	15527940
cg07979357	0.061049983902094	IL27RA	19	14142353
cg07979577	0.0130386812762069	NA	NA	0
cg07979752	0.0425438686840899	CUL5	11	107879401
cg07980015	NA	TMTC4	13	101295688
cg07980518	0.0221312042092759	RNF152	18	59560394
cg07980804	0.0371206161384635	WDR7	18	54318615
cg07980988	0.744884332731825	SH2D1A	X	123480013
cg07981495	0.938851740437743	CGA	6	87804765
cg07981588	0.108850059599724	YWHAZ	8	101965659
cg07981910	NA	DAB2IP	9	124461412
cg07985359	0.0445478683579212	EVI5L	19	7894666
cg07986525	0.0129351480964704	NFE2L3	7	26192199
cg07986773	0.610981121851507	NA	NA	0
cg07989514	0.0130269020781142	C14orf4	14	77495178
cg07990489	0.0207449182202756	NUP35	2	183989218
cg07990939	0.0111222451140514	TMTC3;CEP290	12	88536410
cg07991621	0.096226558651901	SH3BP2	4	2820479
cg07992625	0.0294574439517409	ATF7	12	54020444
cg07997737	0.338303133289713	NRTN	19	5822630
cg08001895	0.0310485187661646	EPHA7	6	94129582
cg08002996	0.0247106611301251	SOCS2	12	93963601
cg08003150	0.0170455693059844	KCNQ2	20	62103627
cg08003742	0.20063702985457	CXCL3	4	74904106
cg08005849	0.0713728288697477	HGF	7	81399399
cg08007665	0.800326013132319	KCNQ1	11	2593857
cg08008233	NA	TCEB3C;KATNAL2	18	44557819
cg08008403	0.0941221706480982	LHX9	1	197881741
cg08008562	0.015156281527994	UBE2Q1	1	154530682
cg08009328	0.161627100055879	NA	NA	0
cg08009622	0.0342433527697118	COL12A1	6	75916327
cg08009711	0.425817763418545	C2CD2	21	43346184
cg08009831	0.0162266024632601	NA	NA	0
cg08011170	0.0175800670507191	ELAC2	17	12921393
cg08011328	0.0162888934353323	MED20;BYSL	6	41889049
cg08012287	0.267825807536735	ACTN3	11	66315298
cg08012454	0.015637147715819	KIF5B	10	32345019
cg08013810	0.718059935593437	PHF20	20	34389239
cg08015253	0.0241613037159097	MOCOS	18	33767315
cg08015496	0.156267333254659	NCSTN;COPA	1	160314061
cg08016363	0.302403228796018	TMEM11	17	21118577
cg08016383	0.0202183275329862	ADAMTS17	15	100882020
cg08017606	0.048743636565799	SH3RF2	5	145316274
cg08020051	0.023214664200326	GPAA1	8	145137133
cg08020381	0.0147310511723108	IDI1	10	1095554
cg08020808	NA	CMA1	14	24977773
cg08021299	NA	HEPH	X	65383076
cg08022502	0.0622920814386857	UNC45A	15	91479023
cg08023692	0.855600477955673	TFDP3	X	132352214
cg08023751	NA	MERTK	2	112655112
cg08024766	0.0419311530235776	CYTH1	17	76777877
cg08025786	0.910377463428223	CLK3	15	74899328
cg08026144	0.0380897934115054	PCSK5	9	78505312
cg08027001	0.0139090123454449	SLC30A4;C15orf21	15	45815269
cg08027745	0.0245304872731135	SFRS3	6	36561726
cg08028004	NA	RANBP2	2	109336023
cg08029608	0.613030214240826	NA	NA	0
cg08030082	0.489965295200676	POMC	2	25391839
cg08032971	0.803041670208559	DMBX1	1	46972736
cg08034216	0.0157246821479867	IDE	10	94334227
cg08034397	0.0221935194626701	NA	NA	0
cg08035082	0.954666804873305	AMPD3	11	10471149
cg08035942	0.0261478785269717	TSHZ1;ZADH2	18	72921337
cg08039281	0.0213454404289403	PSMA6	14	35761689
cg08040428	0.0923946632843121	PSD3	8	18870913
cg08040471	0.741732736964185	C17orf62	17	80407779
cg08041019	NA	ATXN2	12	112037456
cg08044694	0.15064330434136	BRD4	19	15391927
cg08045570	0.00978722550372397	NA	NA	0
cg08045757	0.902845272361081	HDAC7	12	48192686
cg08046471	0.873185543108169	ART3;CXCL11	4	76958126
cg08047457	0.597521632488908	RASSF1	3	50378413
cg08047907	0.488218917235594	C1orf114	1	169396858
