Hybridization REF	TCGA-E2-A158-11A-22D-A12E-05	TCGA-E2-A158-11A-22D-A12E-05	TCGA-E2-A158-11A-22D-A12E-05	TCGA-E2-A158-11A-22D-A12E-05
cg04510262	0.0124449129681787	PTPN2	18	12884175
cg04511195	0.981779317635447	FZR1	19	3523009
cg04511534	0.795986730838387	GGT6	17	4463371
cg04513422	0.101814895853697	C13orf29	13	111522314
cg04513669	0.0219594374913735	SH3GLB1	1	87169962
cg04513728	0.0320281204578773	MRPS18B;PPP1R10	6	30584980
cg04514469	0.720120041013212	C14orf49	14	95942666
cg04514981	0.0188960222356418	INO80C	18	33077497
cg04515001	0.0579071157714298	KAAG1;DCDC2	6	24358236
cg04515567	0.848536582047281	FOXH1	8	145701568
cg04515986	0.473921332030171	FTHL17	X	31089692
cg04517429	0.125401893434362	DCHS2	4	155413618
cg04518106	0.0158933362058098	RPL26	17	8286519
cg04518155	0.0126586227381039	C4orf27	4	170679294
cg04518808	0.0756018197598183	PRKCG	19	54384822
cg04520084	0.03011236848996	CCNC	6	100016357
cg04520391	0.885447578020849	NA	NA	0
cg04523589	0.934659693366304	CAMP	3	48265146
cg04525496	0.0916095694137413	VCAN	5	82767526
cg04525773	0.0892335698976866	DBF4;SLC25A40	7	87506040
cg04527363	0.0804928057173517	GRM7	3	6902337
cg04527918	0.213895710489273	UCN	2	27531170
cg04527989	0.775474720518079	PTCD2;MRPS27	5	71614752
cg04528819	0.0696243926638908	KLF14	7	130418315
cg04529955	0.0184476256743599	SLC10A7	4	147442738
cg04531254	0.0374208636298919	TMEM136	11	120195822
cg04531710	0.00681215184702804	EIF4G1	3	184032412
cg04532229	0.019913367946475	SLC9A2	2	103235411
cg04532952	0.0259344515500772	CA4	17	58227745
cg04533291	0.828630333788925	CIAO1;TMEM127	2	96930398
cg04533591	0.411102334753472	RPL39	X	118926128
cg04534765	0.0439095983568346	GALR1	18	74962369
cg04536575	0.068584145793114	C14orf50	14	65016802
cg04536922	0.0666837878899311	FAM13A	4	89978566
cg04536998	0.0263395227399325	CUL4A;PCID2	13	113863227
cg04541078	NA	ARCN1	11	118442899
cg04541293	0.136476816705632	PTPRT	20	41819125
cg04541607	0.699741115170513	CRYBB1	22	27013978
cg04542415	0.0124963383351883	ZFP64	20	50808759
cg04542938	0.0314528122050221	ATXN1	6	16762468
cg04543012	0.0335100127103558	TFCP2	12	51566569
cg04544154	0.745850955896728	ELF4	X	129245509
cg04544498	0.476224961624719	MAGEE1	X	75647859
cg04545159	0.752848015953474	PIR;FIGF	X	15403117
cg04545516	0.495153294364567	SEMG1	20	43836061
cg04545708	0.526669074937036	NA	NA	0
cg04548378	0.0758174917178385	CDKN1C	11	2906285
cg04548841	0.0333561373714483	CNIH4	1	224545223
cg04549333	0.390149795964161	ALX4	11	44325823
cg04551655	NA	GPN1;CCDC121	2	27853316
cg04551925	0.598682881246184	AQP1	7	30951740
cg04553232	0.030822791223313	KAL1	X	8700576
cg04553559	0.0191159482834601	ZNF703	8	37552657
cg04555771	0.326978278359948	CACNA2D2	3	50540137
cg04555836	NA	MYO6	6	76458633
cg04556854	0.035546526327847	BBS12;LOC729338	4	123653523
cg04557383	0.345777848244439	NA	NA	0
cg04557868	0.045972438758124	NA	NA	0
cg04558553	NA	UGT2B7	4	69960869
cg04558861	0.0108843283471632	LIN37	19	36239412
cg04559909	0.639376661302669	CXCL5	4	74864725
cg04561804	0.177872977034031	LOC100128164;SEC62	3	169683976
cg04562739	0.00943977574326268	CDS2;PCNA	20	5107446
cg04563996	0.394095526657278	ARHGEF3;SPATA12	3	57093519
cg04564030	0.0412132154458306	CDH7	18	63417392
cg04564646	0.0178621910707985	MOV10	1	113217655
cg04565661	0.0223160712334379	SEMA5B	3	122747440
cg04567009	0.788626775983659	FCGR3B	1	161600769
cg04567315	NA	CLUL1	18	596703
cg04568580	0.382149280865901	NA	NA	0
cg04569233	0.706205666229244	CX3CR1	3	39321449
cg04569804	0.859325361633997	CSF1R;PDGFRB	5	149493814
cg04570669	0.734069369137278	ODAM	4	71063474
cg04572898	0.020054952984122	AEN	15	89164981
cg04574442	0.0135278174478567	ALG8	11	77850977
cg04574507	0.87150201315431	CD1B	1	158301038
cg04574723	0.645184194728833	P2RY4	X	69479214
cg04575343	0.0179027255341899	SLC2A13	12	40499262
cg04576021	0.84409209013551	HLA-DOB	6	32784255
cg04576203	0.0200505402078528	HTRA2;AUP1	2	74757825
cg04576855	0.00815677548984491	SERTAD2	2	64880738
cg04577715	NA	SPINK1	5	147211181
cg04578090	0.296136327203241	PROCA1	17	27039523
cg04581377	0.016674138432278	SLC35F2	11	107730489
cg04582295	NA	SGCA	17	48242070
cg04582843	0.020362045007307	VAV2	9	136857244
cg04582938	0.16973659378019	UAP1L1	9	139971429
cg04583874	0.115757335423949	LY6H	8	144242268
cg04584523	0.863197062656369	NA	NA	0
cg04585992	0.0159259928360905	TRAPPC6B	14	39639574
cg04586023	0.433646559292838	HDAC10	22	50690380
cg04586563	0.964113019105191	DIP2C	10	736974
cg04587829	0.583925907403445	FN3K	17	80692947
cg04587910	NA	NHEJ1	2	220025744
cg04588079	0.00986814501390006	HEBP1;HTR7P	12	13153012
cg04589904	0.071347513371651	NA	NA	0
cg04589975	0.0107026530070317	C2orf42	2	70418186
cg04590931	0.0229911932390743	PHF15	5	133861743
cg04590978	0.0314101037690142	CCNJ	10	97802941
cg04592706	0.942516689159395	ABCA4	1	94586592
cg04595021	NA	LOC642852	21	46716835
cg04595372	0.512769350468398	CRISP2	6	49681233
cg04595835	0.114798671365859	WDFY3;C4orf12	4	85888263
cg04597449	0.0731170450579004	GPR150	5	94955575
cg04598121	0.225014845740042	PENK	8	57358505
cg04598744	0.00974728648458093	LMBRD1	6	70506758
cg04599297	0.0412950929542894	GAD2	10	26505442
cg04600076	0.0167299226242414	NA	NA	0
cg04600406	0.0421517546772652	UQCR	19	1605414
cg04600618	0.0541329819122492	RSPH9	6	43612980
cg04601137	0.312213932781768	ADAMTSL5	19	1512314
cg04603031	0.0324875154120914	CHRNA3	15	78913156
cg04603184	0.0316338197498101	RNF182	6	13924929
cg04605667	0.0515778386285323	SIAH2	3	150481783
cg04609640	0.526870205171059	BEST4	1	45254092
cg04609859	0.240968311686751	HOXB4	17	46655736
cg04612566	NA	C8orf31	8	144120706
cg04613080	NA	CNGA2	X	150903211
cg04613791	0.050288242928671	FKBP1A	20	1373260
cg04614339	NA	CFHR3	1	196743672
cg04614380	0.00612375977913203	SEMA3F	3	50192449
cg04616566	0.65465549573117	THSD4	15	72020560
cg04616963	0.460616379265579	NA	NA	0
cg04618528	0.943469844900862	KRT36	17	39645876
cg04618607	0.0322178009488233	SQLE	8	126011005
cg04619381	0.109701655559998	PRR15	7	29603121
cg04619854	NA	UBXN2A	2	24162667
cg04619859	0.0102644961406389	C7orf49	7	134855396
cg04621255	0.00988433581375343	ENDOG	9	131581398
cg04622802	0.0921260859566454	FIBIN	11	27015872
cg04623168	0.0103428861117984	NAA25	12	112546260
cg04623837	0.0375086721887297	HCG9	6	29943414
cg04623955	0.159112190198347	DIO3	14	102026376
cg04624659	0.0585315091655884	NA	NA	0
cg04626574	0.0290225536848604	HPS4;SRRD	22	26879726
cg04627663	0.721485834585245	NA	NA	0
cg04628008	0.0196870990129593	ZBTB16	11	113931000
cg04629204	0.190405902590385	EXTL1	1	26348325
cg04629269	0.0118844166390295	NA	NA	0
cg04631202	0.0447270143717887	MAN1C1	1	25942460
cg04632671	0.0362179464172516	PPARG	3	12329826
cg04632683	NA	PRPF31;TFPT	19	54620122
cg04633384	0.0348631757719561	C18orf1	18	13218816
cg04633513	0.0190454141683403	AVPR1B	1	206224027
cg04636194	0.747633089496388	PAGE4	X	49594154
cg04636557	0.477227584230704	C1orf124;EXOC8	1	231472424
cg04637372	0.611101846482694	VWA5B1	1	20617456
cg04640886	0.0623096241441814	MIR7-3;C19orf30	19	4769592
cg04640913	0.386375700070091	CDH22	20	44880515
cg04644624	0.0621301399418586	TBC1D10A	22	30722331
cg04645049	0.0517139718945265	ARL6IP5	3	69133926
cg04645174	0.878397176910337	OR7A17	19	14993513
cg04645342	0.0207654538779481	NEGR1	1	72748124
cg04645843	0.770604327526472	NA	NA	0
cg04648087	0.0593217720978889	TSC1	9	135819397
cg04648440	0.0930240577555149	BRD3	9	136932424
cg04650786	0.014861977749088	OSTM1	6	108395545
cg04653021	0.058037521515953	DIRC2	3	122514541
cg04653308	0.426052010573183	CRAT;PPP2R4	9	131872018
cg04655481	0.586033788117311	GPR21;RABGAP1	9	125796809
cg04658354	0.0232631583383657	NBR2;BRCA1	17	41277444
cg04659622	0.302011101717002	PNPLA4	X	7895031
cg04660234	0.19783977393093	DCAF10	9	37800484
cg04660410	0.0115074300371466	VILL	3	38036034
cg04660617	0.0169019590599927	NA	NA	0
cg04660698	0.051316192374118	C16orf53	16	29828145
cg04662451	0.0170622479346302	RAD51	15	40987790
cg04662594	0.25438022098121	EPB49	8	21917015
cg04663194	0.829454543311667	ACTN3	11	66315239
cg04663487	0.172290308419507	TFEC	7	115670804
cg04667458	NA	C1orf128	1	24105319
cg04668164	0.0273512287578203	SMAP2	1	40840012
cg04672450	0.0122728751433089	SAMD11	1	860185
cg04675937	0.422570737680913	NA	NA	0
cg04676561	0.0211170894775772	HIST1H1B	6	27835191
cg04677163	0.0240961954826691	CAV1	7	116165941
cg04677227	0.0142121146470458	LOXL4	10	100028320
cg04678793	0.0167874502995412	LY6E;LOC100133669	8	144099566
cg04680304	0.0133459732684204	RRM1	11	4116184
cg04681849	0.0318933153376143	PDGFRL	8	17434460
cg04682845	0.0631483201505426	TMEM42	3	44904059
cg04683119	0.021954252370725	GUF1	4	44679953
cg04683240	0.0187013201429792	HLX	1	221052886
cg04684516	0.015209236011585	SNCAIP	5	121647858
cg04686412	0.108912894738337	PSD2	5	139175658
cg04688368	0.0449606307013281	KCNMA1	10	79397346
cg04689061	0.178940801182367	PKIA	8	79427993
cg04690289	0.109802537922931	ZDHHC3;EXOSC7	3	45017999
cg04691375	0.104151238587501	NA	NA	0
cg04691540	0.032653905660506	ABL2	1	179198414
cg04691961	0.919492012871866	C3orf57	3	161091175
cg04697119	NA	IGSF8	1	160068221
cg04697562	0.853249172511913	STAG3;GPC2	7	99775862
cg04697849	0.923371293016189		X	44725035
cg04698187	0.0221503502398808	LRRN2	1	204654145
cg04700814	NA	HEXIM1	17	43224180
cg04700925	0.0101906926062675	KIAA0922	4	154387160
cg04702045	0.299236283487726	OPHN1	X	67653598
cg04702490	0.01573019192524	GALNT2	1	230202430
cg04703844	0.0534858463335304	RPL7;RDH10	8	74207197
cg04705866	0.93074864096146	GZMK	5	54320790
cg04706338	0.695068507580253	VTN	17	26697052
cg04710641	0.938440362214255	RDBP;SKIV2L	6	31928257
cg04710918	0.0179456328652496	NA	NA	0
cg04711050	0.00787572388153222	SLC1A1	9	4490757
cg04711324	0.702857959463859	RIT2	18	40695633
cg04712018	0.187291669561187	NA	NA	0
cg04712892	0.948255943828788	NRAP	10	115424103
cg04713352	0.419587015605446	ATP4A	19	36055013
cg04713521	0.0139206391337608	NA	NA	0
cg04715462	0.683577566858038	NA	NA	0
cg04716261	0.246975078227953	ACTRT2	1	2937999
cg04717045	0.842243910758712	CCND1	11	69468789
cg04718306	0.0259772197748637	GADD45A	1	68151105
cg04718342	0.0330792968042663	CLPX	15	65478018
cg04718414	0.018155994367415	CDC16	13	115000211
cg04719491	0.044312538300147	HAS2;HAS2AS	8	122654045
cg04719766	0.90429804000619	KCNQ1	11	2542580
cg04720330	0.038347946085188	PHLDA2	11	2949813
cg04720358	0.991305409136419	RCVRN	17	9808263
cg04721098	NA	CACNG3	16	24265703
cg04721883	0.230255110245727	ESX1	X	103499577
cg04722168	0.0204114443207855	PAFAH2	1	26324647
cg04725234	0.0175814332039765	TMEM38B	9	108456639
cg04726200	0.461331123640926	SLC22A18	11	2930485
cg04726446	0.0241534223752387	C2orf39	2	26624865
cg04727522	NA	C18orf22	18	77793182
cg04730731	0.0374049032001002	GEMIN5	5	154317555
cg04731091	0.0164537825871201	WDR37	10	1102917
cg04731384	0.77361152316445	DBNDD1	16	90076766
cg04732193	0.93611807342622	HSD11B1	1	209858581
cg04733302	0.0319521093649251	TTC18	10	75118678
cg04733388	0.0168342454191246	ACAD11;UBA5	3	132378753
cg04733989	0.00728483556459662	NAGA	22	42467013
cg04735237	0.938002685502286	TIMM17B;PQBP1	X	48756592
cg04735745	0.0152677412474264	LOC728723;ZBED3	5	76382885
cg04736140	0.0111513706742253	GPR161	1	168105317
cg04737046	NA		7	87109370
cg04737319	0.0129779632844029	DTD1	20	18568568
cg04737405	0.699069162344718	OR12D2	6	29364418
cg04738091	0.0107081460701892	PTEN;KILLIN	10	89622084
cg04739149	0.893937238876721	C3orf26;FILIP1L	3	99833293
cg04739485	0.926334789176226	MLXIP	12	122611783
cg04739570	NA	PODXL2	3	127348611
cg04740359	0.66235183464523	NTF3	12	5603542
cg04741133	0.0632561702880501	LOC153684	5	43042726
cg04741636	0.0398165434044471	PARP9;DTX3L	3	122283583
cg04741821	0.0233282476308722	TMX4	20	8000564
cg04743063	0.174238899024979	RTCD1	1	100731534
cg04743650	0.230300451926651	VCAM1	1	101185070
cg04743872	0.0957045863696085	PID1	2	230135577
cg04744379	NA	KLK15	19	51336102
cg04745698	0.00870447228072728	UPF2	10	12084977
cg04745805	0.0294795216277164	STAT5B	17	40427474
cg04747322	0.0373185650976021	SNCAIP	5	121647308
cg04747510	0.0229190269175833	MICA	6	31370923
cg04747619	0.538579711828703	DEFA5	8	6914838
cg04747863	0.0175159957951832	PRPSAP2	17	18761731
cg04748010	0.63305587454174	POU6F2	7	39046213
cg04748704	0.0949661111496632	CHRM2	7	136553243
cg04749104	0.0309445158770242	STEAP3	2	119981169
cg04749372	0.37353039111458	INMT	7	30791871
cg04752565	NA	SMAGP	12	51664655
cg04754011	0.256841870471719	GPR44	11	60623144
cg04755031	0.0290991000384683	PNPLA5	22	44287841
cg04755662	0.380942477705008	AR	X	66763359
cg04755933	0.0237840102153643	NA	NA	0
cg04756629	0.221502858733307	NA	NA	0
cg04757093	0.691087543500491	RUNX3	1	25229192
cg04757243	NA	C3orf36	3	133648823
cg04757428	0.0132198908691681	STMN3	20	62284615
cg04759439	0.119684648621246	ERC2	3	56502612
cg04759756	0.917380139372859	SLA2	20	35273933
cg04761824	0.92133261482876	DEC1	9	117905075
cg04762213	0.0197615361336484	BAT2	6	31587888
cg04762346	0.0132543440648761	S1PR2	19	10341584
cg04763192	0.00837864949346872	C1orf88	1	111889241
cg04764624	NA	RAB11FIP4	17	29718129
cg04765277	0.226437262921217	FLJ45983	10	8094679
cg04765422	0.0253523207356233	RAD18	3	9004773
cg04765675	0.0285061626761232	CXorf15	X	16804334
cg04765929	0.0166583139560988	TNFAIP8L1	19	4639662
cg04770504	0.0109013463358529	DFNA5	7	24797363
cg04774694	0.715335540640677	NA	NA	0
cg04775502	0.0530709296198854	C6orf114;GFOD1	6	13486339
cg04779191	0.0173942270123703	CHTF8;CIRH1A	16	69166964
cg04780126	0.0143137978640487	POLA2	11	65029484
cg04780454	0.412371685910367	SERPINF2	17	1647819
cg04780629	0.0248211901559089	RNF43	17	56494964
cg04783231	0.0453811105471061	ZFP28	19	57050834
cg04784315	0.652897706253498	GPR21;RABGAP1	9	125797284
cg04784672	0.0851095074270585	LRFN5	14	42077674
cg04785227	0.0176760033091277	CHRNA7	15	32321637
cg04785461	0.0368152049759625	DCLRE1C	10	14996236
cg04786857	0.0570242615848481	SPDYA	2	29033897
cg04788442	0.287758474929754	NA	NA	0
cg04790129	0.577704240251347	ITGB2	21	46340810
cg04790829	0.0121448628763934	TSKU	11	76494705
cg04790874	0.679595905245189	CD79A	19	42381950
cg04790936	0.00781052738402653	SH3BP1	22	38035753
cg04794268	0.302233793044725	KIFC2;CYHR1	8	145690383
cg04794505	0.0340597276391526	PBX3	9	128508709
cg04794887	0.116384338952499	LETM1	4	1858231
cg04794901	0.0137004209839906	TCP1	6	160209903
cg04796162	0.0165443204060312	IGFBP3	7	45961102
cg04797323	0.0160899146124714	SOCS2	12	93966978
cg04797496	0.831652838020673	PCDH12	5	141339086
cg04798095	0.0114027109137526	NA	NA	0
cg04798158	0.0167534588860998	FCF1;KIAA0317	14	75179846
cg04798796	0.142770713957883	GLUD1;FAM35A	10	88855483
cg04799664	0.812218791045252	NLRC5	16	57053850
cg04801003	0.0234750724100486	ANTXR1	2	69240754
cg04802221	0.456596784741824	EXOC3L	16	67223955
cg04802801	0.041914855930527	PPP1R11	6	30034711
cg04803153	0.0457369171807054	ZNF790	19	37329859
cg04805109	NA	CSPG5	3	47619964
cg04806409	0.584745713638302	TFF3	21	43735505
cg04807655	0.0517167280047427	NA	NA	0
cg04808672	0.0304088679708132	SMURF2	17	62658750
cg04809136	0.165032548080233	SF3B14	2	24300158
cg04809787	0.182790034655834	CHRNB1	17	7348339
cg04810997	NA	TAS2R60	7	143140674
cg04811526	0.043415908759808	TIMM44	19	8009138
cg04815626	0.0211506943990676	MSRA	8	9912509
cg04816348	NA	CLEC4G	19	7796382
cg04818845	0.202001450096715	PLEKHG5	1	6580167
cg04819539	0.874314622575462	FAM119B	12	58167550
cg04820387	0.0579782350112284	PCMTD2	20	62887534
cg04824341	0.0218993466190823	CHCHD8;PAAF1	11	73587915
cg04824716	0.42142425123952	CCHCR1;TCF19	6	31125475
cg04825431	0.907913790274992	ZNF239	10	44063899
cg04826422	0.083396196496048	KLRAQ1	2	48667825
cg04826883	0.0251215071767758	CA12	15	63673893
cg04828792	0.759722430255868	MX2	21	42733433
cg04828892	0.011649826920452	PPM1J	1	113258366
cg04833050	0.347953928183621	LHFPL2	5	77806051
cg04833152	0.0242244383983634	PURG;WRN	8	30891510
cg04833845	0.700483829228261	KCNN4	19	44286076
cg04834572	0.895492085527522	DUSP13	10	76868766
cg04835638	0.940238199970947	FHIT	3	60363505
cg04836038	0.122705157706161	DOCK9	13	99739382
cg04836428	0.0408091864778545	DTNA	18	32073245
cg04836786	0.0127573067461275	HLTF	3	148804272
cg04837071	0.547564164092096	EXD3;NOXA1	9	140318649
cg04837322	0.0329222517910691	ROD1	9	115096481
cg04837898	0.206093585279658	SACM1L	3	45731254
cg04837997	0.314513615568146	NA	NA	0
cg04838107	0.0347304174613649	ARF6	14	50359190
cg04845063	0.124922202678182	NA	NA	0
cg04845144	0.0115420679920235	RTN2	19	45999799
cg04845579	0.305579879870881	SULF1	8	70378673
cg04845628	0.492085993150492	NA	NA	0
cg04848046	0.911986906666765	FNDC3B	3	171830149
cg04848452	0.0252141783111197	EIF1B	3	40350801
cg04849025	0.0152042256707179	YIPF2;C19orf52	19	11038957
cg04853151	0.189326973875144	C1orf83;TMEM59	1	54519244
cg04853383	0.0090638864570774	C12orf49;RNFT2	12	117176053
cg04853958	0.0308039417283798	NAP1L4	11	3013544
cg04856043	0.0155356364668157	HS1BP3	2	20851304
cg04856203	0.0182790937032802	DMXL1	5	118407258
cg04856685	0.0235569400932711	MAP4	3	48130799
cg04856689	0.0155404277158141	CRHR1	17	43862032
cg04856858	0.223210235392772	AGAP1	2	236402015
cg04861271	NA	PABPN1	14	23789531
cg04862249	0.0423307362453034	ZFP3	17	4982244
cg04863713	0.0441173866020945	ADAMTSL4	1	150521201
cg04865575	0.0351162292135606	YME1L1;MASTL	10	27443031
cg04868764	0.0477756533619182	SPINT1	15	41137019
cg04870470	0.137410479061725	EXTL2	1	101359714
cg04871004	0.0230031509596013	NA	NA	0
cg04872051	0.611253240287474	CHST7	X	46433447
cg04872689	0.630474873858479	PLEK	2	68592375
cg04875162	0.0948509597870374	PABPC5	X	90689826
cg04875709	0.0124099703010614	CDKN1B	12	12870463
cg04876451	0.00812248063515877	PET112L	4	152682126
cg04878152	0.0767901623654218	AGTR1	3	148415960
cg04878727	NA	ZNF323;ZKSCAN3	6	28317483
cg04878842	0.0322539141255049	ERCC2	19	45874111
cg04879235	0.860870255939294	PPY	17	42018862
cg04879696	0.0153308177345028	SPG7	16	89574810
cg04880063	0.0379967940576496	SFXN3;PDZD7	10	102790718
cg04880762	0.0130095035422993	VAMP1	12	6580124
cg04881903	0.586965198358511	CAPG	2	85637116
cg04882759	0.866463860264219	MYOCD	17	12569901
cg04882894	0.24116963107382	IGSF1	X	130423289
cg04883450	0.285713721545865	DIMT1L	5	61699957
cg04884122	0.0185917297134863	PSMB5	14	23504085
cg04884732	0.0344613271678247	MTERFD2	2	242042016
cg04884908	0.104931853514389	CYP26B1	2	72374840
cg04886198	0.067803189061967	ALG3;ECE2	3	183967409
cg04887278	0.018748474310032	PGM3;RWDD2A	6	83903927
cg04891836	0.64724101333064	TNFSF14	19	6670390
cg04893087	0.0497401107375788	PPARGC1A	4	23892083
cg04893119	0.474163650576261	PI15	8	75736301
cg04894993	0.0152983740117105	KLHDC10	7	129710370
cg04897683	0.0378975239032548	NEUROG1	5	134871462
cg04898443	0.0146987904003301	SEPT2;HDLBP	2	242254495
cg04898512	NA	KLF2	19	16434995
cg04898797	0.220507961164829	MAP4K2	11	64570331
cg04900486	0.0293414616598835	RFX5	1	151320117
cg04901273	0.717650544167424	NA	NA	0
cg04902405	0.56984863981878	ZC3H11A	1	203768517
cg04905829	0.165997951871118	CYP27B1	12	58160911
cg04906538	0.761877438714185	NA	NA	0
cg04907257	0.00391190308789011	ADCY2	5	7395318
cg04907664	0.504135112259833	EFNB1	X	68049805
cg04910299	0.0245871163212919	MLL	11	118306353
cg04912050	0.00813829518442947	IDUA;SLC26A1	4	980613
cg04912278	0.0174607461129986	MRPL4	19	10362688
cg04914105	0.043023805736097	PTPN9	15	75872043
cg04914305	0.0262624955654059	MRPL34	19	17416447
cg04915182	0.0982532968379873	RASGEF1C	5	179635731
cg04915566	0.706519982884634	RUNX1	21	36421472
cg04916200	0.00988529041637661	RIC8B	12	107168633
cg04916311	0.019308881460428	PQLC3	2	11295222
cg04916911	0.034800151682753	NTS	12	86268154
cg04916980	NA	PCBD1	10	72650001
cg04920616	0.921415837670278	FOXP3	X	49121288
cg04920951	0.011538696833671	GSTP1	11	67351271
cg04922020	0.421219136705171	FAM127A	X	134166009
cg04922810	0.0333801455003879	CRHR2	7	30721888
cg04922833	0.00401474682265938	C10orf41;ZNF503	10	77161525
cg04924696	0.239134292322059	CXorf58;APOO	X	23925746
cg04925864	0.031060736389687	FAM65A	16	67562517
cg04926244	NA	C12orf67	12	24737251
cg04927982	0.0123676610063233	KDM5C	X	53254653
cg04929736	0.0339905180382369	CLU	8	27472395
cg04929865	0.583324694833747	BGN	X	152760078
cg04936062	0.0146239529238592	THRAP3	1	36690116
cg04936930	0.0163941103014745	PTS	11	112096887
cg04940435	0.0733251647463983	WFDC3;DNTTIP1	20	44420291
cg04940515	0.0209928503884438	SNORD45C;RABGGTB	1	76251865
cg04941721	0.0316654126744646	EREG	4	75230901
cg04943986	0.0148981719010736	NR2F2	15	96873868
cg04944936	0.392823267068178	FAM120C	X	54209594
cg04945541	0.186549290109144	FMNL1	17	43299826
cg04946535	0.0111734108052095	MUS81;CFL1	11	65627070
cg04946916	0.965381247443043	HUS1B;EXOC2	6	656890
cg04947157	0.756330183804319	TMC8;TMC6	17	76128481
cg04947578	0.0201260518180664	C19orf10	19	4669928
cg04947838	0.0329488957063094	ARFGEF1	8	68256476
cg04949741	0.0433141637519152	EFEMP2	11	65640486
cg04950711	0.945539694461954	MAGEA10	X	151306718
cg04950789	0.0168188419208988	E2F5	8	86090224
cg04951204	0.028227521244145	PPP1R9A	7	94537584
cg04953015	NA	CHRNA2	8	27338236
cg04956382	0.41395927361812	MYOT	5	137203640
cg04956511	0.495848653591336	PTPN6	12	7056008
cg04956790	0.147713620245367	CAND1	12	67663226
cg04958389	0.742024102043455	NA	NA	0
cg04958703	0.125113824877073	SLC25A11;RNF167	17	4844722
cg04959788	0.0116479179841102	NA	NA	0
cg04959837	0.0584451109298343	PLSCR4	3	145968389
cg04960271	0.0204036138114494	PARP1	1	226595576
cg04960652	0.0220311468700166	BNIP1	5	172571539
cg04960951	0.0202524620317994	SUV420H2	19	55851040
cg04961553	0.0142500236459488	OCIAD2	4	48908469
cg04962134	0.655247159795233	SPRYD5	11	55653310
cg04963951	0.983988869073896	NA	NA	0
cg04964702	0.0404316073014157	CBL	11	119076556
cg04967538	0.439589471309132	CXorf42	X	119379188
cg04968426	0.92711299782852	PPP1R14D	15	41120711
cg04968473	0.521657297031763	CYP1A2	15	75040734
cg04969808	0.0233194457049678	WNT7A	3	13922158
cg04969878	0.539459685720531	TMEM19	12	72079240
cg04970117	0.0147738993457896	SLC6A20	3	45838037
cg04970352	0.339042895088329	ALX4	11	44327399
cg04970994	0.953748710894267	BCS1L	2	219525843
cg04972545	NA	RFX3	9	3526297
cg04972979	0.145562871052942	C20orf54	20	749148
cg04975920	0.527367136304571	TSPAN1	1	46646224
cg04979725	0.0105804925220582	UNKL	16	1464225
cg04979933	0.850863547221487	INSL5	1	67266801
cg04981414	0.0217953962779474	POMT1	9	134378512
cg04981492	0.0432823610254055	SYDE1	19	15218713
cg04982748	0.0305059783175991	HELB	12	66696283
cg04983977	0.583283176273155	GPR25	1	200842145
cg04984200	0.0181744290535445	HCCA2;CTSD	11	1784980
cg04984513	NA	BRI3BP	12	125477549
cg04985144	0.708066207151626	SPTBN2	11	66488638
cg04985146	0.0206233810909439	MRPL12	17	79670585
cg04987894	0.184712900153593	NA	NA	0
cg04988423	0.0100284740596471	ALX4	11	44331577
cg04988978	0.574476522983132	MPO	17	56359578
cg04991214	0.689233041253681	PFDN2;NIT1	1	161089118
cg04991337	0.0300979884765232	MCCC1	3	182817223
cg04992673	0.947902214958143	HEPACAM2	7	92848714
cg04993257	0.218250380290376	PLAC2	19	5568163
cg04994456	0.785969696802968	RNF186	1	20141662
cg04995095	NA	CD300E	17	72619556
cg04995717	0.336317288659734	TEK	9	27109293
cg04996020	0.701968212467733	SLC26A3	7	107443898
cg04997967	0.22749938500072	NA	NA	0
cg04998282	0.0160150801801247	NOL11	17	65713980
cg04999036	0.0175460047339909	TMEM87A;GANC	15	42566375
cg04999691	0.396151531397089	C7orf29;LRRC61	7	150027050
cg05000446	0.544834768949977	C9orf131	9	35042395
cg05001145	0.0784387694357595	ELL2	5	95297731
cg05004940	0.0234950313717619	C20orf195	20	62185074
cg05008406	0.0082096772633665	B4GALT4	3	118959563
cg05009249	0.0321870762567158	NA	NA	0
cg05010058	0.0220928790848268	CEP68	2	65284262
cg05010623	0.0305715009275132	ACVR1C	2	158485762
cg05010967	0.177917135615588	SPATS1	6	44310640
cg05011018	0.822380830567848	NA	NA	0
cg05011232	0.0332975580971044	ETV4	17	41622925
cg05012785	0.164872035174991	ZRSR2	X	15808900
cg05013695	0.00607924216017977	FRAT1	10	99079798
cg05016508	0.990938681504558	FLRT1;MACROD1	11	63871570
cg05016953	0.0128591440054708	SLC6A4	17	28562813
cg05018361	0.0262910562703452	NSUN6	10	18940650
cg05019001	0.481962875351083	AR	X	66766334
cg05019152	0.0106941317019695	FAM82A2	15	41047360
cg05019661	0.0441766577651591	AP3M1;ADK	10	75910806
cg05020203	0.616806515994995		2	242968829
cg05022306	0.0345726408677373	HOXC8	12	54403254
cg05023116	0.967327513110389	NLRP5	19	56510892
cg05023540	0.606223468677991	NA	NA	0
cg05023691	0.8247206167544	RGS13	1	192605253
cg05024638	NA	POLG	15	89877539
cg05026033	0.0678372816632564	ELP3	8	27950972
cg05026186	0.257370949919535	ABLIM3	5	148520876
cg05027081	0.0294212356296715	CDC7	1	91966616
cg05028306	0.0989537214641798	LAP3	4	17578663
cg05028467	0.0378481364360138	SNCB;EIF4E1B	5	176057097
