Hybridization REF	TCGA-AN-A0FJ-01A-11D-A00Y-05	TCGA-AN-A0FJ-01A-11D-A00Y-05	TCGA-AN-A0FJ-01A-11D-A00Y-05	TCGA-AN-A0FJ-01A-11D-A00Y-05
cg08803129	0.00914354739708555	SLC39A6;ELP2	18	33708920
cg08803144	0.0185463097895167	ATIC	2	216176550
cg08804892	0.0564419240400464	TRAK1	3	42201374
cg08805338	0.0130142400906319	PPP3CB	10	75255936
cg08806153	0.106801311476917	HOXD11	2	176971961
cg08807541	0.0186538593563027	MAGOHB	12	10766485
cg08810065	0.0152096477766595	G2E3	14	31028151
cg08810582	0.0417865807452565	SLC35E3	12	69139650
cg08810779	0.0328956304477735	DHX16	6	30640919
cg08811349	0.0100654048149066	ZHX1	8	124286482
cg08812504	0.0188343322221552	QSOX1	1	180123798
cg08812936	0.116923754755033	KCNMB2	3	178254213
cg08813236	0.0179760262648306	CRIPT;PIGF	2	46844324
cg08815403	0.181503040462195	HSD17B13	4	88244142
cg08815652	0.0453060108242342	UACA	15	71055727
cg08816023	0.301218500942028	FGF1	5	142065539
cg08816248	0.0221869057638709	SYNJ2BP	14	70883859
cg08817120	0.0178092257863841	LIMCH1	4	41363320
cg08817171	0.0154994867516182	KIF23	15	69706672
cg08818385	NA	FAHD2A	2	96067685
cg08818784	0.0145093782617934	NA	NA	0
cg08818984	0.159043987031589	NR3C1	5	142814827
cg08819884	0.0180113629750659	TRNT1	3	3168225
cg08820801	0.15512487509502	FBXO17	19	39465821
cg08820821	NA	SNRNP70	19	49588236
cg08821669	0.0159174911684105	COX6A1	12	120875978
cg08822227	0.216932009213717	SH3BP2	4	2820468
cg08823182	0.152845543674219	S100A5	1	153514482
cg08825571	0.0120461518757302	SHARPIN;MAF1	8	145159373
cg08826839	0.0773668788562132	FAP	2	163100125
cg08826863	0.0421992962402833	VEGFA	6	43738006
cg08827391	0.0135036410815373	GDI2	10	5855992
cg08828036	0.810079993484542	ATP10A	15	26109204
cg08831348	0.0794038224717573	EML2	19	46142212
cg08831522	NA	ATP10A	15	26026414
cg08831594	0.0247359744617391	TSPAN15	10	71211006
cg08831701	0.0207456020767797	HELZ	17	65241304
cg08831744	0.0346206798656822	IGFBP3	7	45961346
cg08832227	0.827366232259539	KCNA1	12	5020693
cg08833432	0.0519694657140072	PSMA7;SS18L1	20	60719824
cg08834018	NA	PRODH	22	18924883
cg08835688	0.670057776825607	GRB10	7	50849931
cg08836024	0.905654725116248	RARS2;ORC3L	6	88300917
cg08837884	NA	LRG1	19	4540782
cg08839620	0.0173638645047598	POLD3	11	74303786
cg08840010	0.0649050056974991	TNFRSF9	1	8000314
cg08843314	0.292991080695331	BCYRN1;CXCR3	X	70837990
cg08843492	0.0925613379391034	IFITM2	11	308231
cg08846002	0.102309097987432	ZNF75D	X	134477026
cg08847038	0.0309062599239381	THNSL1;ENKUR	10	25305217
cg08847533	0.0152224268156059	NEK9	14	75593920
cg08847636	NA	ZNF442	19	12476027
cg08849126	0.0202705059507972	GPRC5A	12	13044370
cg08849574	0.0608794646083807	ZNF134	19	58125953
cg08851943	0.0116439988289179	C6orf64	6	39082812
cg08853659	0.0107885439907349	CLSTN2	3	139654245
cg08858521	NA	WFIKKN1	16	681022
cg08859675	0.819316737525795	NA	NA	0
cg08859916	0.0198357474993809	PTEN;KILLIN	10	89624102
cg08860143	0.0891793600323407	MYLPF	16	30385767
cg08860710	0.0464991527715946	NA	NA	0
cg08861115	0.154282375811424	IL1F9	2	113735377
cg08865050	0.015691105695073	NA	NA	0
cg08866753	0.0109000124473392	PABPC4	1	40042061
cg08871016	0.0220569535732566	HSF2BP;RRP1B	21	45079232
cg08871189	0.0342063666834628	COMMD9	11	36311119
cg08871917	NA	GATAD1	7	92076509
cg08872483	0.0249141986374323	FAM120AOS;FAM120A	9	96213189
cg08872493	0.0734426230438699	HTR1D	1	23521417
cg08872550	0.0212788836508146	CA2	8	86375450
cg08872742	0.0943526975110264	CDH5	16	66400320
cg08875535	0.0152592430984894	MAP4K4	2	102314477
cg08876470	0.0132462823754995	GCDH	19	13002357
cg08876591	0.0151495162068731	ADAM22	7	87563855
cg08876665	0.00939975687332606	PTGR1	9	114361338
cg08876932	0.0102856425458322	PHOX2A	11	71955547
cg08878304	0.0173665080834697	FBXO7	22	32870551
cg08878323	0.0438467023067254	DLX5	7	96652464
cg08878352	0.0617341730099064	PPP1R11	6	30035220
cg08878744	NA	LCE1B	1	152783674
cg08880153	0.334036862899679	MAP1A	15	43808806
cg08881067	0.0235075704273543	NSA2;GFM2	5	74062846
cg08881519	0.0303398439701642	NA	NA	0
cg08884343	0.89968677631679	FOXP3	X	49122423
cg08886154	0.275043719293074	PAX4	7	127256676
cg08887137	0.0104155503342425	DCTN6	8	30013701
cg08887581	0.276635538640445	NA	NA	0
cg08888956	0.155211214244074	NTS	12	86267839
cg08890043	0.0187472491614573	CHKB-CPT1B;LOC100144603;CHKB	22	51021165
cg08891270	0.00900386003161804	NA	NA	0
cg08893585	0.0205936463061483	BARX2	11	129245309
cg08894534	0.0186900989080407	GEN1;SMC6	2	17934487
cg08896053	0.0253919739408802	SNTG1	8	50823468
cg08896629	0.0205556090756357	TYK2	19	10491577
cg08896945	0.0425358953138825	CALCB	11	15095068
cg08897388	0.0475454461914138	LAMA4	6	112575705
cg08899626	0.0978774227287708	LDB2	4	16900199
cg08899632	NA	ZFP64	20	50809000
cg08900043	0.103324254797852	HOXC10	12	54378896
cg08901867	NA	TTLL6	17	46871042
cg08902132	0.0171368688104709	ETF1	5	137879323
cg08902818	0.23894064303173	XK	X	37544805
cg08905118	0.0381259347064365	RP2	X	46696426
cg08906015	0.0599220768932443	DACT3	19	47157825
cg08907850	0.0101836127255969	IDI1	10	1094976
cg08908355	0.0418249642126455	HIST2H2BE;HIST2H2AC	1	149857186
cg08909157	0.0414517525044253	DOCK8;C9orf66	9	215561
cg08911391	0.0307732597728665	DDOST	1	20988590
cg08912400	0.0366813746208568	CHRNA4	20	61993427
cg08914623	0.0443887194407792	ALX4	11	44327572
cg08914916	0.00718947626445809	MRPS12;SARS2	19	39421419
cg08917718	0.0180594142911513	PCBP4	3	52002169
cg08918431	0.0121386792094112	ANKHD1;ANKHD1-EIF4EBP3	5	139781174
cg08918749	0.0240712367794418	LPL	8	19797445
cg08920071	0.437184198258055	CD101	1	117544781
cg08923060	0.00973940689673546	TRIAP1;GATC	12	120884702
cg08923109	0.915457390401103	PAN3	13	28748744
cg08923379	0.0067021743904606	ODF2	9	131218452
cg08923450	0.0357393684242575	HEY2	6	126070151
cg08924430	0.0528461935453598	TET2	4	106067052
cg08927489	0.0132538955861649	ZNF687	1	151254500
cg08927738	0.323975963524575	BCAS1	20	52687394
cg08928646	0.0604462026951229	UBA6;LOC550112	4	68567174
cg08929103	0.248243286585115	CRHR1	17	43860355
cg08932320	0.0142482221163597	GMDS	6	2246077
cg08933517	0.158104309083221	TDRD9	14	104436057
cg08934427	0.606444288359049	SLC22A14	3	38347441
cg08934443	0.0522657455816182	HIST2H2AB	1	149859898
cg08935003	NA	MS4A6E	11	60101561
cg08935243	0.021066255746431	CETN3	5	89705635
cg08935301	0.0498820452501174	LMCD1	3	8543732
cg08936952	0.658003555668807	HEATR4	14	74026160
cg08942800	0.116331136905734	CRISP2	6	49681310
cg08942875	0.0323853613872027	OCIAD2	4	48908902
cg08946117	0.4686713129239	C2orf27B	2	132560175
cg08946332	0.909872969927876	ALOX12	17	6899888
cg08946989	0.00855370760915772	TBC1D7	6	13328449
cg08947964	0.450630864946874	GJA10	6	90603803
cg08948050	0.564880357063304	APBB3;SLC35A4	5	139943173
cg08949296	0.0250447112709974	JPH1	8	75233153
cg08950375	0.584250330905655	COL6A3	2	238323400
cg08952029	0.0467181864195746	CHRDL2	11	74442900
cg08954856	0.0226211553354669	BIK	22	43506306
cg08955609	0.0205217423494907	APOE	19	45409353
cg08956138	0.0471312513629111	CD3E	11	118175384
cg08958015	0.477864675513561	CCDC65	12	49297901
cg08958913	NA	LGALS14	19	40193890
cg08959992	0.0574152896375591	PCBP2	12	53846247
cg08961832	0.235164460157196	NLRP6	11	279185
cg08965143	NA	TP53I3	2	24308246
cg08965235	0.102023118344834	LTBP3	11	65325158
cg08965324	0.312577895430802	NA	NA	0
cg08965337	0.0990862246445868	RAP2C	X	131352534
cg08965527	0.175575337333003	HSDL1;LRRC50	16	84178213
cg08966023	0.0415967677247698	PPP1R3D;C20orf177	20	58515345
cg08966293	0.0145447945311654	MAPK3	16	30134858
cg08970446	0.378152482182275	SLC1A7	1	53608262
cg08970694	0.0833926448192048	HBE1	11	5290746
cg08972170	0.944992792107666	C7orf41	7	30185776
cg08974656	0.00907976723101159	CIAO1;TMEM127	2	96931567
cg08977028	0.676302416449537	NA	NA	0
cg08977371	0.145989794317851	CDH13	16	82660490
cg08980578	0.0277781092506041	KCNK6	19	38811036
cg08981777	0.0530251291671497	ELSPBP1	19	48497737
cg08983259	0.981152604072679	INSL5	1	67267855
cg08983760	NA	EDNRB	13	78549582
cg08983975	0.0143029782980992	TCOF1	5	149737654
cg08986416	0.0424469031973417	DMXL2	15	51914746
cg08987989	0.202472595694233	PGGT1B	5	114598846
cg08990057	0.0256261601163337	PLS3	X	114795604
cg08992050	0.0190463042568303	IRAK4;PUS7L	12	44152940
cg08993172	0.0352603731436269	ALX4	11	44327267
cg08993267	0.0312567130409523	BRCA1;NBR2	17	41277322
cg08993557	0.163284038729718	NA	NA	0
cg08995424	0.0146490596452561	ATP5G2	12	54070891
cg08996413	0.0778409608896999	NA	NA	0
cg08996502	0.044859784141074	SCRIB	8	144897297
cg08996521	0.0226953663872388	CISH	3	50649994
cg08996748	0.0187990223376653	DISP2	15	40651036
cg08996986	0.16050728400618		19	55583563
cg08997253	0.0171707471061395	GRIN3A	9	104500729
cg08998501	0.0322356425714513	ZNF615	19	52511778
cg08998967	0.0180311899473748	SLC25A13	7	95951569
cg08999352	0.0765036470694883	NA	NA	0
cg08999486	0.017739939581022	CDC42BPB	14	103523305
cg08999895	0.151889677409246	SLC22A18;SLC22A18AS	11	2925869
cg09000112	0.0199044191044347	EFNA5	5	107007565
cg09000510	0.0222773284939969	TESK1	9	35605352
cg09001777	0.139429587269896	FUT3	19	5851504
cg09001953	0.0853133657009468	UFSP2	4	186347682
cg09002165	0.0141833622808115	SLC25A29;MIR345	14	100772949
cg09002774	0.025494837259151	SLC35B1	17	47785225
cg09003876	0.0116290968753982	C18orf21	18	33552519
cg09006267	0.0121000126289093	NA	NA	0
cg09008187	0.0145697374178249	SLC25A35	17	8198627
cg09009042	0.0223974365856577	PPP1R8	1	28157061
cg09009111	0.0173070488948399	EMILIN2	18	2847309
cg09009259	0.0164218807291895	MUM1	19	1354522
cg09009380	0.24833522980529	PKP1	1	201252974
cg09010998	0.0213712616781182	ZEB1;LOC220930	10	31608207
cg09011597	0.0184239023607013	PA2G4	12	56497759
cg09013626	0.0230582278012965	RYBP	3	72495672
cg09014354	0.0564322525969526	NEUROD4	12	55413878
cg09015232	0.186170876091879	SLC12A5	20	44657115
cg09017174	0.035724788646758	SLC1A2	11	35440525
cg09018040	0.372811583287782	VCX	X	7810253
cg09018810	0.320964938130135	IDS	X	148586931
cg09018824	0.239996279720383	LIMCH1	4	41361919
cg09018862	0.323195807789461	MEGF8	19	42882644
cg09019938	0.0143572660415377	PRKG1	10	52834498
cg09020461	0.0100279745799592	TP53BP1	15	43802885
cg09022808	0.0671940050474871	GAL3ST1	22	30960857
cg09022993	0.0188200055952334	SPATA18	4	52917875
cg09025324	0.0790841060401522	DSE	6	116691685
cg09027725	0.290013990311193	COX4I2	20	30226046
cg09030119	0.0325020856047087	ZNF285A	19	44905343
cg09033997	0.279329153195218	CCR9	3	45927601
cg09034836	0.79538442880768	POM121L1P	22	22986350
cg09034896	0.250191393150469	GRK1	13	114321466
cg09037813	0.208399136638608	LRRFIP1	2	238599761
cg09037858	0.0256334654495981	NA	NA	0
cg09038676	0.0274376419528348	GSTP1	11	67351608
cg09038885	0.017449602298864	ADRA1B	5	159343148
cg09038914	0.406299793077651	GFAP	17	42992567
cg09039163	0.26456154825948	ESPNL	2	239009036
cg09039698	0.012073684216834	HIRIP3;INO80E	16	30007384
cg09040752	0.109926635279057	AOC3	17	41003155
cg09044738	0.879649308410582	FAM12A	14	21214682
cg09044743	0.0173570709439773	PANK4	1	2458238
cg09045681	0.0418691561543808	TCF19;CCHCR1	6	31127178
cg09047884	0.0216434393356932	TTLL1	22	43484984
cg09049660	0.0220362163330115	PANK2	20	3869033
cg09052983	0.0203225029387623	RAB27B	18	52495605
cg09053680	0.0227308055309215	UTF1	10	135044114
cg09054876	0.0461203375024514	PECI	6	4136564
cg09056317	0.069762662563332	TBCB;POLR2I	19	36607008
cg09057265	0.0131925309116985	FBXO3	11	33795924
cg09058381	0.0232329894217717	EAF1;METTL6	3	15468845
cg09058542	0.8675625368396	TSHB	1	115572863
cg09059181	0.0138639907677263	NOLC1	10	103912236
cg09059548	0.0246670162145162	PHC1	12	9066665
cg09059635	0.585334004138286	NTNG2	9	135042197
cg09059945	0.841772465961474	MEST	7	130126018
cg09060849	0.0246245532997393	GGA2	16	23521224
cg09060914	0.0968557508752469	SELP	1	169599558
cg09061733	0.0443529117271431	SERPING1	11	57364841
cg09065135	0.0147751607555217	OTUD7B	1	149982836
cg09065199	0.0168635274331837	ASXL1	20	30947141
cg09067967	0.262746966868542	UGDH	4	39529342
cg09068198	0.053410243962375	RAB1A	2	65357064
cg09068492	0.025798912014441	CALCA	11	14993658
cg09068528	0.0202674372643953	ACADL	2	211090171
cg09068993	0.0304019424785448	C10orf4	10	95462173
cg09069593	NA	GPR114	16	57576285
cg09070492	NA	COX15;CUTC	10	101492601
cg09072120	0.0136637243145167	PRTFDC1	10	25242031
cg09076012	NA	NOV	8	120428898
cg09076077	0.210915617165104	C20orf197	20	58630315
cg09076123	0.0582397808079372	NCF2	1	183559527
cg09076584	0.880911524649473	FLJ25006	17	26941253
cg09079275	0.0244245566714809	ADAM19	5	157003083
cg09079593	0.0191989650290088	TRIM7	5	180632555
cg09080746	0.0269652335475451	BBS9	7	33169470
cg09081544	0.51363773073351	MUC13	3	124652790
cg09082287	0.384761904925864	DNAJC6	1	65730494
cg09082921	0.073228956889061	C6orf126	6	35744226
cg09083627	0.0163712769114923	SLITRK5	13	88324597
cg09084200	0.0408394052146588	VPS26B;NCAPD3	11	134095863
cg09085198	0.0112345834183833	ANKRD29	18	21242345
cg09085639	0.0190429021781831	MRPL12	17	79670810
cg09086179	0.0576303931207458	HMGN5	X	80376748
cg09086761	0.00878323284619233	MTA2	11	62369541
cg09087901	0.351323431640611	PLG	6	161123803
cg09087966	0.0120496106751022	CCNG2	4	78079025
cg09088193	0.187641814934766	KRT39	17	39122765
cg09088508	0.0132136510825792	RHOF	12	122231455
cg09088576	0.118317951070641	CSF3R	1	36947785
cg09088577	0.938347931119381	OTUD4	4	146096074
cg09088834	0.0856405130168088	NINL	20	25565460
cg09089053	0.0536884644091653	CNTD2	19	40731797
cg09092161	0.01674551060706	AK1	9	130639739
cg09094355	NA	PRKX	X	3632358
cg09095562	0.304840740689723	GTF3C5	9	135905090
cg09096031	0.194138974651154	RFTN2	2	198540569
cg09096383	0.687945973686542	CSN1S1	4	70796842
cg09096950	0.074331721637584	UBE4A	11	118230095
cg09099022	NA	LRRC8B	1	90024622
cg09099177	0.825315898728428	CLN6;CALML4	15	68499367
cg09099744	0.728700296857958	NA	NA	0
cg09102409	0.0585826895745592	NDRG1	8	134308734
cg09102714	0.0352951542712607	AARS	16	70323758
cg09103232	0.00947494131822526	SLC2A4	17	7185001
cg09106817	0.0484912803771477	MAP3K7IP2	6	149637881
cg09106999	0.0475411503882672	CDK2;SILV	12	56360065
cg09107232	0.0439669628513052	MYNN	3	169491072
cg09107315	0.0489240929583106	GIPC2	1	78511488
cg09109450	0.0415387878896149	C2orf43	2	21022565
cg09109996	0.113806578596058	VWA5A	11	123986094
cg09111484	0.917911186090974		12	80749651
cg09111917	0.849357338247144	TGM4	3	44915918
cg09112782	0.203205990889718	NA	NA	0
cg09113530	0.218822903122243	MALL	2	110873741
cg09113613	0.0132747092483626	RALGAPB	20	37101903
cg09114441	NA	ZNF546	19	40502678
cg09114799	0.0592092529564083	RAPGEF3	12	48152515
cg09118625	0.558615027604191	DIRAS3	1	68512971
cg09119665	0.018836495138451	PNMA1	14	74181285
cg09119967	0.307096184104438	C20orf103	20	9494838
cg09120035	0.441797947854294	CYP11B1	8	143961145
cg09121849	0.0117701602103271	SLC7A1	13	30169249
cg09123444	0.0153907383991867	C19orf48	19	51307950
cg09126273	0.0284867310944224	PTPRO	12	15475767
cg09128050	0.0120079017375824	SAMHD1	20	35580168
cg09130402	0.0149077945581429	TXNL1	18	54306120
cg09131135	0.0179515775720553	SLC4A1AP;SUPT7L	2	27886635
cg09133026	0.417024282391231	RPS6KL1	14	75388105
cg09134003	NA	NEUROG2	4	113436984
cg09134726	0.29419158925492	PRTN3	19	841082
cg09134747	0.128861539129073	ATP2C1	3	130612293
cg09137696	0.0362710798236986	MT1A	16	56672415
cg09138627	0.0157333181128365	GIGYF2	2	233562476
cg09142399	NA	CRYZ;TYW3	1	75200094
cg09143576	0.0117771771031046	ZBTB48	1	6640149
cg09143663	0.138214518531545	BACH1	21	30670416
cg09144196	0.0171967558695544	RBM34	1	235324804
cg09144422	0.00854945210729531	DDX28;DUS2L	16	68056595
cg09144786	0.135254821804664	WDR44	X	117479692
cg09146695	0.0380928013902334	LEF1;LOC641518	4	109089501
cg09147213	0.020917894010716	HOMER1	5	78810602
cg09147222	0.0371711697738899	NA	NA	0
cg09147827	0.204509705764667	SERPINA6	14	94789853
cg09149294	0.0109011383880902	ARRDC4	15	98503793
cg09150117	0.0520597915890633	DLX5	7	96653867
cg09150232	0.438615449001644	GRB10	7	50849639
cg09151429	0.0192459791009013	LPHN1	19	14316760
cg09152089	0.14306520661625	IL22RA1	1	24469564
cg09155001	0.389111541438728	CALHM1	10	105218401
cg09155025	0.386490827563481	SLC39A4	8	145642024
cg09155852	0.0196347091088815	MAPKAP1	9	128469764
cg09155905	NA	FNDC8;RAD51L3	17	33447236
cg09156233	0.0158510638196393	BMPR1B	4	95679705
cg09158314	0.0316977901761089	TNFSF13B	13	108922150
cg09158909	0.0214320041037374	C20orf29	20	3800762
cg09160477	0.0123074254769485	SUSD3	9	95820913
cg09161592	0.0133492464413057	PANK1	10	91405006
cg09163021	0.203998968127302	RAPSN	11	47470768
cg09163317	0.0216055850067202	B4GALNT1	12	58027197
cg09163442	0.0267470424202057	SEC61G	7	54827431
cg09164559	0.0265337634337086	KIAA1279	10	70748332
cg09169283	0.027213789152952	GRIN2C	17	72856452
cg09169633	0.296405624707692	MAN2A2	15	91447749
cg09171381	0.014746623762952	NMD3	3	160938910
cg09172980	0.0319318998463454	NA	NA	0
cg09173897	0.238982164347707	PPP4R4	14	94639732
cg09174741	NA	THSD1	13	52981577
cg09175724	0.0117860908534957	CDC42EP2	11	65082792
cg09176853	0.154112277740741	FOXO4	X	70316045
cg09176995	0.015453659144168	SLC30A5	5	68389849
cg09179743	0.887543631431919	MOBKL2B;IFNK	9	27524436
cg09179845	0.0444219754746699	C7	5	40909532
cg09180926	0.0177721678573732	PRC1	15	91537654
cg09182986	0.0222183318052179	CAP1	1	40505999
cg09185773	0.031409373489654	WASF3	13	27132773
cg09186006	0.0161234062414926	SLC16A12	10	91295299
cg09186685	0.0148945217514995	EEF2K	16	22217479
cg09188980	0.0320514165813445	CALCA	11	14993378
cg09189322	0.0139481009921873	TCERG1	5	145827172
cg09189428	0.00678726842502309	PATZ1	22	31743558
cg09190408	0.42446109490536	PPP1CA;TBC1D10C	11	67170610
cg09191232	0.101948756271039	PAPSS1	4	108642411
cg09191327	0.0149906766556578	PRDM12	9	133540108
cg09191626	0.704558290325393	SPON1	11	13983986
cg09192760	0.0257853272438045	NDUFA3	19	54606228
cg09194436	0.0133680617857674	LIN52;ALDH6A1	14	74551682
cg09194650	0.0129043932366524	TCHP	12	110337899
cg09195271	NA	RNF186	1	20142497
cg09196942	0.283996599309003	PRAMEF1	1	12851619
cg09196959	0.0902202544792941	TRIM40	6	30104440
cg09197965	0.012938034791795	TUBA4B;TUBA4A	2	220119179
cg09198463	NA	ATL2	2	38603570
cg09199317	NA	FRAT2	10	99095018
cg09201327	0.0962192588721709	TNC	9	117880330
cg09201719	0.396474186127323	CYP17A1	10	104596890
cg09202373	0.263642778013675	DNASE1L1;TAZ	X	153640674
cg09203961	0.0117014782435636	HMGB1	13	31040215
cg09204187	0.0736512122667832	SMPD4;FAM128B	2	130940668
cg09205751	0.396793467956655	NLRP6	11	278394
cg09207718	NA	CYP1A2	15	75041386
cg09208010	NA	MMP14	14	23305780
cg09209002	0.0310203250786603	UTP3	4	71554199
cg09210315	NA	SLCO4A1	20	61273055
cg09212058	0.947825295127088	PRKD3	2	37543459
cg09212468	0.0372467801305899	CCDC135	16	57728632
cg09214254	0.0332129308083832	SMOC2	6	168841455
cg09214551	0.147360596936144	NMT1;DCAKD	17	43139717
cg09214920	0.0250607061155863	SLC25A24	1	108743318
cg09215553	0.020698404732587	SHMT2	12	57623421
cg09217923	0.884736929519843	TAAR2	6	132945096
cg09218130	0.021187809896397	PUS1	12	132413611
cg09220361	0.104006872103503	GABRG2	5	161494515
cg09221326	0.0217708095764818	DYNLT1	6	159065141
cg09222115	0.220737794240241	OTOS	2	241079766
cg09222791	0.990356983287654	CCDC79	16	66835320
cg09223071	0.0132376882372769	SLC4A1AP;SUPT7L	2	27886442
cg09224952	0.795174878498397	NA	NA	0
cg09225321	0.0412858881675251	OTOP2;USH1G	17	72920278
cg09226684	0.112759003574264	KLK10	19	51520093
cg09227136	0.00830781359362202	GOLGA1	9	127703617
cg09227563	0.0127039242204573	CDC42EP5	19	54984705
cg09229231	0.00985887280037506	DHRS3	1	12677263
cg09229912	0.014172502542895	CUX2	12	111471963
cg09229960	0.517092573447145	EMD	X	153607856
cg09230173	0.0319683302282168	NA	NA	0
cg09230646	NA	HEATR3	16	50099117
cg09230732	0.0374016242183929	DHX29;SKIV2L2	5	54603874
cg09231514	0.0182645684205786	HSD11B1L;C19orf70	19	5681323
cg09234474	0.0270907344979984	DUSP14	17	35850659
cg09234859	0.0203769321477595	KLHL7	7	23145933
cg09234872	0.062466958316724	TRAF7;SNORD60	16	2205644
cg09237521	NA	IFITM2	11	306633
cg09238598	0.00964615363590189	ANKH	5	14871908
cg09238677	0.111882697082006	C3AR1	12	8218922
cg09239756	0.02177359086452	CKAP4	12	106642360
cg09242541	0.0395358734705339	APITD1	1	10490025
cg09242772	0.00862492132709851	CTDP1	18	77439074
cg09243021	0.0655141946442944	TMEM139;CASP2	7	142985019
cg09243900	0.128407114410111	RAB25	1	156030844
cg09244244	0.066103119916169	ARSK;TTC37	5	94891907
cg09245073	0.16321266793863	ASGR1	17	7083519
cg09245378	0.013204277441622	FAM175B	10	126490406
cg09250703	NA	PIR	X	15511751
cg09251995	0.00938056676358986	JUND	19	18392994
cg09252204	0.210813625093201	CNKSR2	X	21392644
cg09253125	0.0114333372938246	IQCD;TPCN1	12	113658854
cg09254939	0.0276194438414084	KLK10	19	51520259
cg09255666	0.0108831043214	ZNF281	1	200378965
cg09256683	0.0964252272823939	CCL14;CCL14-CCL15	17	34313637
cg09257092	0.013084910328435	ITPR2	12	26986805
cg09258965	0.104923250333845	TBC1D7	6	13329625
cg09259332	0.0185069507540723	EEA1	12	93322527
cg09259772	0.107712199179765	ARL4A	7	12726089
cg09260089	0.0249668829776295	NKX6-2	10	134599860
cg09260441	0.0206949178018516	DOK5	20	53091739
cg09260564	0.0122422571735275	VAPA	18	9913782
cg09260830	0.0511056234642328	GNA14	9	80263587
cg09261015	0.252694987246272	ESX1	X	103499647
cg09261262	0.287314707642587	OPN4	10	88414554
cg09262269	0.0499609169100516	LOX	5	121412429
cg09263755	0.0179368571528633	ZNF830;CCT6B	17	33288932
cg09264112	0.0156209306071939	GCHFR	15	41056369
cg09266433	0.0112043803400662	OSBPL6	2	179058698
cg09266965	0.0850415573899874	NA	NA	0
cg09272256	0.249039964748703	AKR1C4	10	5238881
cg09272869	0.0126097885038256	FEM1B	15	68569991
cg09273772	0.0547879952479474	TOP2A	17	38574566
cg09275137	0.036446427528041	TMEM187	X	153238579
cg09276355	0.00850228379370739	C13orf1	13	50510822
cg09276363	0.245690743537829	KCND3	1	112531488
cg09276451	0.213077762711191	VASN;CORO7	16	4421603
cg09276883	0.0213498619385589	HHAT	1	210501966
cg09276978	0.416889280543621	DLGAP4	20	34995517
cg09277365	0.0207771885730908	SLC38A9	5	55008523
cg09277575	0.323187704636735	AKR1D1	7	137760222
cg09279263	0.0789609372037176	NA	NA	0
cg09280976	0.728620477885642	MEG3	14	101291687
cg09282338	0.0137648668233768	NXT1	20	23330591
cg09282744	0.0141772990792633	NHP2	5	177580924
cg09283007	0.950899681804845	NA	NA	0
cg09283635	0.0122657189575756	ZNF800	7	127032512
cg09286787	0.9762240755904	C19orf63;FAM71E1	19	50978619
cg09288658	0.00815723414253943	ZAK	2	173940639
cg09290866	0.0314469726674225	IL15RA	10	6020369
cg09291628	0.009831707243343	FBXL3	13	77601257
cg09294589	NA	CRTAP	3	33155133
cg09296044	0.0139802017505745	CCNDBP1	15	43477606
cg09296212	0.384896324857184	NAIF1	9	130828969
cg09297361	0.0339969659970721	SNX22	15	64444268
cg09298289	NA	CENPH	5	68485754
cg09298484	0.112610887927104	TSGA10;C2orf15	2	99759406
cg09298623	0.133425470750456	ROPN1	3	123710452
cg09299307	0.0315117097186328	CCNH	5	86709023
cg09299381	0.0202766838613548	DNAL4	22	39190195
cg09299388	0.534116081647568	PGK2	6	49755190
cg09300114	0.0970436749624267	SLC16A5	17	73084329
cg09303043	0.00960959049956625	ALDH3A2	17	19552393
cg09303642	0.282929712990574	NFE2	12	54690818
cg09304040	0.0411132618345907	CDK2;SILV	12	56360607
cg09304624	0.124199690859248	PI15	8	75735733
cg09305224	0.392295227279036	C9orf139;FUT7	9	139927245
cg09305478	0.264845169206421	FAM195A	16	691988
cg09305770	NA	HIST1H4A;HIST1H3A	6	26020672
cg09306186	0.00645043398930271	ZFHX3	16	73081722
cg09306577	0.0267561471221791	MFN2	1	12040877
cg09306675	0.125313870585459	EYA2	20	45523996
cg09307264	0.204381992738132	INCA1;KIF1C	17	4902281
cg09307279	0.00926216641926566	GLT8D1;SPCS1	3	52739927
cg09309269	0.0465098725952457	PSMD11	17	30770961
cg09310112	NA	KDM4B	19	4969989
cg09311052	0.0057152642218211	UBE2Q1	1	154531418
cg09312149	0.176007613824536	TRIM36	5	114516420
cg09313439	0.0324957016826628	CDH2	18	25757211
cg09313705	0.0832797096561022	HOXB2	17	46622491
cg09314766	0.832156916355858	ADAM2	8	39695697
cg09321965	0.841986144566763	NEK7	1	198201193
cg09322949	0.0672041819122233	BYSL;MED20	6	41890043
cg09324116	0.0413184819137065	GEMIN8	X	14048281
cg09325101	0.0874342228956047	OSTBETA	15	65342522
cg09325711	0.0195867391363131	RALA	7	39662764
cg09326546	0.0211104902848487	RAF1	3	12705291
cg09326702	0.502996979583815	SLC22A11	11	64323448
cg09327628	0.0194441165306818	MARCKSL1	1	32801665
cg09328024	0.0229200678966423	DYRK3	1	206808174
cg09329225	0.343919635750904	NA	NA	0
cg09329496	0.0104128241146423	NAA15	4	140223063
cg09330643	0.00928593929376282	LRRC20	10	72142276
cg09331011	0.0151032890066456	GNAL	18	11689284
cg09332592	0.0140125123250225	STXBP1	9	130374679
cg09338170	0.0455313429469434	SLC35A3	1	100436032
cg09339301	0.0108267260338442	QKI	6	163836245
