Hybridization REF	TCGA-A7-A0CG-01A-11D-A00Y-05	TCGA-A7-A0CG-01A-11D-A00Y-05	TCGA-A7-A0CG-01A-11D-A00Y-05	TCGA-A7-A0CG-01A-11D-A00Y-05
cg02105034	0.0195295979131747	SMG7	1	183441865
cg02105377	0.00887504791744098	MAGI1	3	66024554
cg02105856	0.285878070456578	PIGR	1	207119784
cg02110963	NA	C6orf218	6	10434975
cg02111587	0.179618216707002	TACR1	2	75426512
cg02113971	0.0328537199087691	METT11D1	14	21457816
cg02114786	0.0180599675653657	PTTG1IP	21	46293672
cg02115041	0.309620549531224	NPBWR1	8	53852101
cg02117021	NA	OR2H1	6	29425960
cg02119229	0.0169944964544328	BCO2	11	112046248
cg02119982	0.802860018745612	NOD2	16	50731412
cg02121427	0.307724386579802	LRRC15	3	194091192
cg02121943	NA	TBX3	12	115121489
cg02123547	0.0196962905113788	PIM1	6	37137464
cg02124291	0.84999816611767	OR7A5	19	14939260
cg02125271	0.579034692527	SNRPN;SNURF	15	25200406
cg02126424	0.928428923639953	CTRL	16	67965099
cg02126638	0.0129378481805758	HAUS2;LRRC57	15	42840787
cg02126753	0.0426478999198529	AEBP1	7	44143998
cg02128567	0.0463664162978594	KCNK5	6	39196998
cg02130905	0.718168192153018	STMN4	8	27116213
cg02131399	0.0150596668234169	LRP1	12	57521155
cg02131853	0.223789681688658	TMEM156	4	39034637
cg02131967	0.0335504623727619	ACE	17	61554106
cg02131995	0.593772932430743	HAMP	19	35772917
cg02132188	0.344603301870807	HMGN5	X	80377408
cg02136132	0.021712639498679	KCNK13	14	90527891
cg02141570	0.582907284530458	LOC348840	3	197808633
cg02141675	NA	GALNT10	5	153569408
cg02142461	NA	ZNF509;LYAR	4	4293079
cg02144298	0.00865790382770758	CEBPA;LOC80054	19	33792681
cg02144933	0.0212875710200887	AOX1	2	201450690
cg02147791	0.0760693679624108	SAP18	13	21714429
cg02148642	0.398334723794072	NA	NA	0
cg02148711	0.58505380321597	ATRX	X	77041559
cg02148834	0.855595582070696	NA	NA	0
cg02149446	0.416880691478601	C5AR1	19	47812519
cg02150709	0.0202924117137837	PPIH	1	43123922
cg02150910	0.642114326978472	GZMH	14	25079357
cg02151301	NA	HM13	20	30101785
cg02153528	0.137649656181617	OBFC2B	12	56618648
cg02153871	0.0261421738482498	HARS2;HARS	5	140070879
cg02154074	NA	HTRA2;AUP1	2	74756234
cg02154186	0.143270977013994	PNMA2	8	26371353
cg02154956	0.0087603157960161	PCCA	13	100741410
cg02157083	0.807738031908843	APOA5	11	116662800
cg02157306	0.0240177228069375	ELMOD2	4	141445059
cg02159896	0.0174597318854817	MPPE1	18	11908181
cg02160826	0.0130350099784324	MRPS16	10	75012589
cg02161046	0.0150763048866605	HIAT1	1	100503743
cg02161900	0.527551771947692	MKX	10	28035631
cg02162069	0.678464505908761	ZIM2;PEG3;MIMT1	19	57352134
cg02162412	0.0126244838287935	HMGCR	5	74632926
cg02162950	0.0174046706626567	DIS3;PIBF1	13	73355953
cg02163937	0.0188705135911411	FAM53B	10	126432368
cg02164046	0.55486400409999	SST	3	187388148
cg02164386	0.769362632918984	HIGD1B	17	42925536
cg02164442	0.728587780311495	ITGAD	16	31405101
cg02165720	0.464480272713757	NDUFB11;RBM10	X	47004051
cg02166313	NA	PAPOLA	14	96968050
cg02166532	0.285307124246231	INS-IGF2;IGF2	11	2159853
cg02168291	NA	CDH13	16	82671520
cg02169098	0.0230078745409306	PPPDE2;XRCC6	22	42017294
cg02169430	0.0428660728399071	NA	NA	0
cg02169446	0.0179647290329481	MYO9A;SENP8	15	72410194
cg02170525	0.362725855086731	CD8A	2	87018382
cg02171008	0.0121809084465957	RPL27A	11	8703884
cg02171545	0.346192763747479	SNRPN	15	25093366
cg02173484	0.507964846988086	GJA5	1	147245168
cg02175035	0.0114891106133586	RAB40B	17	80656466
cg02175308	0.228547636494581	SORT1	1	109941060
cg02178774	NA	LOC729991;RFXANK;LOC729991-MEF2B	19	19302803
cg02178898	0.0325484116471167	MTRF1	13	41837525
cg02181494	0.0150374140694633	ARSA	22	51066755
cg02181506	0.198777699393303	SERPINA1	14	94856984
cg02182354	NA	NEUROG2	4	113437522
cg02184413	0.872670025020673	VNN1	6	133035235
cg02186298	0.0963496286462523	DPF2	11	65101602
cg02186948	NA	COMMD9	11	36310854
cg02186966	0.0215196644831945	BET1	7	93633904
cg02187357	NA	TBC1D22B;TMEM217	6	37224216
cg02187914	0.0337926977833237	NA	NA	0
cg02189785	0.18767497318009	CLIC3	9	139891008
cg02192520	0.437255880425014	RDH5	12	56114155
cg02192855	0.0341654356078508	HIST1H2BI	6	26273199
cg02192965	0.804623181335987	SLC3A1	2	44502740
cg02194211	0.795668385444373	FAM3D	3	58652346
cg02194878	0.0460074548606613	NA	NA	0
cg02196655	0.460157911576403	NOL10	2	10830764
cg02196730	0.0591901670260375	MTHFS	15	80188777
cg02196805	0.662807349522552	CSF2	5	131409637
cg02197293	0.0785789310000526	FBXO27	19	39523158
cg02198044	0.0424683648209692	NEDD4	15	56286336
cg02198582	0.951443886634077	TSC2	16	2099376
cg02200132	0.0191080702069225	EIF4A2;SNORD2	3	186501254
cg02200584	0.0296124434290383	PDGFC	4	157892546
cg02201963	0.0129015701291094	PSMG2;CEP76	18	12702795
cg02202484	NA	SPRR4	1	152942688
cg02204046	0.0228996607893142	MYCN;MYCNOS	2	16080760
cg02205739	0.0929383275783481	PRRX2	9	132427570
cg02205962	0.714449085804027	BCAP31;ABCD1	X	152989807
cg02206259	0.0710678881322583	C1orf198	1	231003485
cg02207610	0.0346088659372379	PPP1R12C	19	55628570
cg02210123	0.0584960061488172	RHOJ	14	63670835
cg02210887	0.886638020528639	GUCY1A3	4	156586680
cg02212280	0.939611002763999	MMP1	11	102670192
cg02212737	0.0189288037114068	EXOC7	17	74099749
cg02212836	0.555880002534081	LY86;LOC285780	6	6589075
cg02213716	0.022130882714421	UBAC2	13	99853497
cg02214188	0.210425426948469	BDH2	4	104020949
cg02215538	0.0141476547314736	ANKHD1;ANKHD1-EIF4EBP3	5	139782041
cg02216250	0.0202977037487339	OCLN	5	68788173
cg02217159	0.104804140000689	KHDRBS2	6	62996697
cg02217814	0.0515319010580616	FAM125A	19	17530319
cg02218214	0.892869545455112	DOCK7;ANGPTL3	1	63062489
cg02218260	0.786560926069276	GRM2	3	51742878
cg02218324	0.762361098536805	RSPH6A	19	46318439
cg02222362	0.529621590461782	PTPN20B;PTPN20A	10	48828109
cg02224164	0.68151927028971	MARS	12	57883315
cg02224920	NA	SDF4;B3GALT6	1	1166824
cg02225847	0.28845489875196	FAM65A	16	67563418
cg02226697	NA	SQLE	8	126010266
cg02226871	0.0128506061132666	VPS28	8	145653662
cg02226939	NA	BLMH	17	28619481
cg02227605	0.0734724368901448	ROPN1L	5	10441490
cg02228185	0.425040226682787	ASPA	17	3379567
cg02229516	0.0186316427620255	TRMT1	19	13227228
cg02229946	0.770261735865323	IL1F7	2	113669912
cg02232922	NA	SLC25A43	X	118532809
cg02233558	0.0350932066974395	SLC12A2;FLJ33630	5	127418922
cg02233559	0.0183403758672147	SLC46A3	13	29293325
cg02235880	0.0879600734700547	FANCF	11	22647123
cg02237119	0.403446868458711	WBSCR27	7	73256414
cg02237186	0.0145609412799939	RRM2	2	10263043
cg02238504	NA	ZNF423	16	49861375
cg02238747	0.0623052172644341	RRP12	10	99161279
cg02238826	0.0145089023764909	MCF2L2;B3GNT5	3	182971069
cg02239021	0.0238143950320451	CYB5RL;MRPL37	1	54665433
cg02239082	0.00934809540651966	CYTH2	19	48972844
cg02240226	0.0152861366789469	STK16;GLB1L	2	220110027
cg02240622	0.730503006734946	PLCB2	15	40601467
cg02241259	0.913441085655792	NA	NA	0
cg02241586	0.011145788277539	PIKFYVE	2	209131508
cg02244695	0.105820625548637	TMEM176B;TMEM176A	7	150497346
cg02245378	0.474216938638268	PAX3;CCDC140	2	223161771
cg02245418	NA	POLR3C;RNF115	1	145609675
cg02246665	NA	HCFC2	12	104458006
cg02246968	0.0144289813753679	UBAC2	13	99852859
cg02247582	0.0212388174019227	ZNF512	2	27806117
cg02248486	0.449761789245147	HOXA5	7	27183196
cg02248540	0.0331642071626133	NA	NA	0
cg02250594	0.434993830107754	ONECUT2	18	55103353
cg02250787	0.0567611777159163	HTR2A	13	47470989
cg02250992	0.00963089117909515	SCARB1	12	125348168
cg02251134	NA	DOCK2	5	169063563
cg02252907	0.0226742806214063	AP3D1	19	2151887
cg02252918	0.0118280452566616	ZNF664;CCDC92	12	124458442
cg02254407	0.818799569635224	PLEKHB1	11	73357159
cg02254461	0.740202432207043	CSRNP1	3	39195904
cg02254649	0.0156245805466555	ENAH	1	225840109
cg02255004	NA	GDEP	4	80748660
cg02255609	NA	TTC4	1	55181269
cg02255732	NA		11	31150189
cg02257405	0.546308850616814	ACSL6	5	131346985
cg02257681	0.0190523752239495	DDAH2	6	31698002
cg02259997	0.0295880321685022	FGF9	13	22245013
cg02260587	0.340442664534976	PCDHB2	5	140474248
cg02261346	0.961779774448347	MPPED1	22	43898597
cg02264284	NA	HPRT1	X	133594951
cg02265318	0.0474221790034985	MOSC1	1	220960539
cg02266731	NA	CPM	12	69357333
cg02268424	0.0166438244805667	ZNF136	19	12274129
cg02269221	0.0103214631157621	TRAF4	17	27071208
cg02271621	0.141001065675301	HCCA2;LOC338651;DUSP8	11	1592675
cg02273078	0.00797243540167773	USP14	18	158567
cg02273392	0.147631857648988	SERPINE1	7	100770414
cg02273788	0.869812804688223	PLXNB3	X	153029150
cg02274362	0.720026436001426	NA	NA	0
cg02275294	0.0461791260649825	SOAT1	1	179262462
cg02275359	NA	ZNF146	19	36719719
cg02275830	0.0111999735174351	PTGR2	14	74318774
cg02275989	0.012418892276573	SMPDL3A	6	123110863
cg02276665	NA	CTNNA1	5	138088442
cg02276686	0.0204392168706834	PSMC1	14	90722856
cg02276793	0.0179995320436028	LOC100128164;SEC62	3	169685131
cg02277509	0.0163868291144893	KIAA0586;TIMM9	14	58893942
cg02278071	0.0207765765351891	DUSP18	22	31063986
cg02278165	0.0151188719694028	COX7A2L	2	42588618
cg02279071	0.0141732641648464	MLH1;EPM2AIP1	3	37034154
cg02280309	0.799563654724642	PKLR	1	155270960
cg02282237	0.00992144945701031	PRKCH	14	61788862
cg02283643	0.0937982507778139	SULF1	8	70378740
cg02284188	0.701074621175034	NA	NA	0
cg02284889	0.0234521748078048	PPME1;C2CD3	11	73882276
cg02285477	0.0109366641361757	POLR1D;LNX2	13	28196059
cg02286642	0.0396044652246568	ZNF254	19	24270073
cg02286990	0.028516969417874	CCDC28B	1	32666098
cg02288165	NA	SIGLEC1	20	3687992
cg02290509	0.0141422785872398	TBL2	7	72992915
cg02292024	0.0274543322234102	TIMM10	11	57298349
cg02293044	0.228908257260451	GAS2L1	22	29703543
cg02296128	0.016500838045865	GTF2F2	13	45694882
cg02298008	0.507829314138071	NA	NA	0
cg02298570	NA	ZNF555	19	2840764
cg02298612	0.578322383296084	CHST6	16	75528459
cg02299279	0.0103303656599541	UBL7	15	74753787
cg02299653	0.0310195611489323	NA	NA	0
cg02300906	0.0196686158124277	FANCF	11	22647486
cg02301754	0.952046833991054	VPS72;TMOD4	1	151149370
cg02301815	0.948085083430287	KIAA1267	17	44249491
cg02303361	0.0164472485749493	AP2S1	19	47354240
cg02304930	0.0243895443397051	SERTAD4;C1orf133	1	210405566
cg02305261	0.234322490525738	KCNG1	20	49638967
cg02305723	0.680588173988481	SNRPN	15	25093456
cg02307482	0.0246834569354937	C12orf60;WBP11	12	14956006
cg02309273	0.484076048956696	INPP5B	1	38412744
cg02309431	0.882916063834261	BPIL3	20	31618931
cg02309594	0.837157456960217	HCRTR1	1	32084329
cg02310296	0.344922917935023	MMP9	20	44637358
cg02311163	0.900069632045381	SEMG2	20	43850511
cg02312170	0.0140778771455509	WDR11	10	122610835
cg02312751	NA	TSSC4	11	2422528
cg02314308	0.0939668534772478	GLT25D2	1	184006972
cg02316718	0.00923828306432651	UBC	12	125399409
cg02317742	0.0178565095117323	ATOH8	2	85981021
cg02317907	0.584667712359231	DIRAS3	1	68515788
cg02318426	0.0123614192199627	NFKBIA	14	35873683
cg02318535	0.619540349769639	PPM1E	17	56832804
cg02320454	0.0349700073380557	GPR150	5	94956017
cg02321871	0.0224166096938226	RCBTB1	13	50159138
cg02322621	0.0200360035674004	ZBTB9	6	33422403
cg02322989	0.0231557222549951	LRP1B	2	142888598
cg02323334	0.0093825182409288	NCRNA00167;PRDM10	11	129872621
cg02324920	0.524771854549817	NEURL	10	105253152
cg02326006	0.108729765658205	ARHGEF9	X	62974433
cg02326931	0.0220635085279503	ALG5	13	37572901
cg02327719	0.422860231744815	C1orf135	1	26185386
cg02329886	0.805928177644084	HDC	15	50557917
cg02330106	0.448552991922497	MGMT	10	131264840
cg02331561	0.0459403502392319	ABCA17P;ABCA3	16	2391081
cg02332073	NA	TSGA13	7	130372419
cg02332492	0.874542843174995	C8G	9	139840678
cg02332525	0.560313151857258	GRM7	3	6903153
cg02332537	0.683049203040352	RTP3	3	46540019
cg02334775	0.282224530550764	ISG20	15	89182676
cg02335441	0.0153697469891517	NEK11;ASTE1	3	130745948
cg02335804	0.373736090634473	HNF1B	17	36105239
cg02336128	0.0130840596188693	DCK	4	71859030
cg02337166	0.0498500653980432	NR1D1	17	38257303
cg02337447	0.349492522317106	NA	NA	0
cg02342494	0.0505022601789165	C12orf72	12	31812046
cg02344078	0.021414590239879	STK4	20	43595235
cg02344201	0.0182602928938753	ELL	19	18632488
cg02344238	0.0247181042097723	FRMD8	11	65153777
cg02345317	0.366237053488934	NLGN3	X	70364543
cg02347114	0.954739381184669	NA	NA	0
cg02347487	NA	NLRP14	11	7059103
cg02351381	0.552951309188932	MGC14436;C12orf34	12	110172346
cg02352653	0.0281826549765905	SMAD5;SMAD5OS	5	135469115
cg02357714	0.690092849938378	DOK3	5	176936563
cg02357725	0.0185438788969941	IMP3	15	75932598
cg02358761	0.0276571378258218	STK17B	2	197036780
cg02358804	0.939457786677338	ZNF146	19	36719212
cg02360616	0.0104488483586984	FAM129A	1	184943055
cg02360776	0.0308656062815996	ZBTB3	11	62521582
cg02360836	0.0142526763547352	SMARCD2	17	61920188
cg02361363	0.0128871656918059	ST3GAL3	1	44173578
cg02361557	0.0532760822218206	NTNG1	1	107682963
cg02364038	0.0168340020656034	PTBP1	19	797109
cg02364642	0.190890165273641	GEFT	12	58005758
cg02366059	0.0807537877723243	C18orf45	18	21017616
cg02367472	0.0208871524125472	SLU7	5	159845898
cg02367951	0.454465966177235	NA	NA	0
cg02372712	0.20750054278448	ZNF467	7	149470295
cg02374486	0.663740311759713	PRF1	10	72362809
cg02376163	0.0404517499494619	FBXO38	5	147763224
cg02376703	0.039142339863932	EPHA1	7	143106130
cg02377083	NA	CCBP2	3	42851019
cg02381948	0.94055798860155	MGMT	10	131355112
cg02382666	0.912427297067635	CALD1	7	134463454
cg02385474	0.68248683135296	PCNXL2	1	233394797
cg02385791	0.0276632129317936	ZNF570	19	37960542
cg02387613	0.0112327519893582	TOPBP1	3	133380479
cg02387679	0.0377807531309344	IQGAP2	5	75699865
cg02387854	0.00755910010062822	ANAPC11;THOC4	17	79849442
cg02388150	0.220025132890526	SFRP1	8	41165699
cg02391387	0.015915289820385	IMMP2L	7	111202222
cg02393447	NA	PIF1	15	65117607
cg02397514	0.0130997587541261	HES4	1	935139
cg02397720	0.0535531437226902		2	238512407
cg02398725	0.0368707064648855	CREBZF	11	85376233
cg02399449	0.0483064848026842	CLDN12	7	90032850
cg02399455	0.786784312004511	SRI	7	87855714
cg02400248	0.0082404130603647	CDKN2B;CDKN2BAS	9	22009355
cg02401149	NA	CRYBB3	22	25595409
cg02401978	0.7945303789836	ZNF746	7	149195465
cg02403232	0.0183153802461055	GOLGA3	12	133405120
cg02404636	0.0589533789852613	SFI1	22	31891804
cg02404843	0.0114112123129545	GPRIN1	5	176037404
cg02407785	0.0680123536958452	PCDH9	13	67804285
cg02409282	0.0210914360741683	NA	NA	0
cg02409351	0.528296710105984	ALX1	12	85674022
cg02412050	0.0279345853007321	MAPK14	6	35995429
cg02413850	0.0588291661758173	SLC35C2	20	44993235
cg02415431	NA	IGLL1	22	23923255
cg02416716	0.0698115787943965	ZNF215	11	6948024
cg02417264	0.387743964825201	RAMP3	7	45197727
cg02417408	0.215071594162478	PPM1M	3	52280688
cg02420102	0.0168244905734567	C11orf65	11	108338162
cg02421543	0.0413297859940784	DR1	1	93810826
cg02422627	0.0292304022798175	MED30	8	118533004
cg02422694	0.0351397015826041	HOXB4	17	46655790
cg02423618	0.453757354246907	SPATA8	15	97325725
cg02425732	0.0144052461321482	RRBP1	20	17662212
cg02426410	0.0126564663681424	AASDH	4	57253603
cg02428100	0.019278470987964	KEAP1	19	10614022
cg02430692	0.120239256111438	PEX5L	3	179754239
cg02431687	NA	NAIF1	9	130828652
cg02431964	0.930372518259842	MARCO	2	119700029
cg02432101	NA	TCEB3CL;TCEB3C;KATNAL2	18	44557635
cg02433671	0.63113231045311	RGL3	19	11529856
cg02433905	0.0712280827623628	ATP6V1A;NAA50	3	113465485
cg02435593	0.214012640065115	CHMP4B	20	32399369
cg02436686	0.546744086268454	GMFG	19	39826150
cg02437376	0.01283755495187	VDAC2	10	76969880
cg02440177	0.0199852786172802	ZNF702P	19	53496695
cg02441647	NA	COL8A1;MIR548G	3	99357499
cg02441831	0.0280624680280791	SYVN1	11	64901569
cg02442161	0.914645940590818	NA	NA	0
cg02443089	0.0312581295657209	RPS29	14	50052765
cg02447314	0.0157926412339203	POLI	18	51796331
cg02449608	0.827993598958181	C19orf18	19	58486600
cg02449978	0.0166167690110356	CDC25A	3	48230167
cg02450959	0.0223415478256588	THAP1	8	42698393
cg02451362	0.011539283412476	LOC92659;MAFG	17	79885650
cg02451670	0.153434547388195	INTS7;DTL	1	212207806
cg02452985	0.147472376217577	BCL11B	14	99737548
cg02453591	NA	FARSB	2	223521088
cg02453653	0.0170455746369904	INTS5	11	62420979
cg02456292	0.442076610106773	TMEM145	19	42817262
cg02457752	0.742235322211575	CDR1	X	139868078
cg02460120	0.0192985110898453	USP15	12	62653836
cg02460349	0.0155926553041424	RRBP1	20	17663383
cg02470959	0.0684818241124564	SFRS8	12	132196036
cg02471507	0.0560913129711049	CHMP4C	8	82644747
cg02473123	0.762050595281065	CD7	17	80274776
cg02475653	NA	ATP2C2	16	84437661
cg02477931	0.516658607958103	NTM	11	131532721
cg02479196	0.0109203517559115	MARCH7	2	160569048
cg02479575	0.0605189644743965	MIR7-3;C19orf30	19	4769653
cg02480835	0.136920911747374	NUPL2	7	23221354
cg02486845	0.0228184035371931	NCRNA00120;AKIRIN2	6	88411799
cg02488871	0.784115433964812	VIL1	2	219288203
cg02489552	0.491479236499939	CCDC105	19	15121531
cg02490034	0.490028638852919	MEST	7	130125836
cg02491012	0.033879547899033	NA	NA	0
cg02491878	0.540311926331864	ATP6V0A4;TMEM213	7	138482580
cg02492740	0.394165807312492	UBQLN2	X	56590362
cg02493771	0.174814556409784	KRTAP13-2	21	31744328
cg02494117	0.0553792520289354	DNM1;CIZ1	9	130965474
cg02496295	0.0130942262791459	ADD1	4	2846155
cg02497175	0.0201394719837649	NLK	17	26368598
cg02497428	NA	METTL9;IGSF6	16	21665138
cg02497700	0.184226933892668	ZNF238	1	244213358
cg02497758	0.10497618276044	MAFB	20	39317194
cg02498063	0.675168493980208	CCDC60	12	119772577
cg02499249	0.0517708800799745	RARB	3	25469720
cg02500392	0.83107161102114	PBOV1;KIAA1244	6	138539372
cg02501779	0.186169863197631	CBLN4	20	54579355
cg02501984	0.0109746694952983	POLE;PXMP2	12	133263946
cg02502132	NA	LRP8	1	53792939
cg02503850	0.0618393066523402	ADAMTS14	10	72432552
cg02503970	0.0150652798297702	ST3GAL1	8	134584145
cg02504280	0.846431989894249	CSAG1;MAGEA12	X	151904507
cg02504465	0.0122978835747168	SNX3	6	108582065
cg02505409	0.0167126426871392	ANGPTL4	19	8429160
cg02505689	0.0170705979205985	DBF4B	17	42785825
cg02506426	0.0462777562489214	AQP11	11	77300504
cg02506728	NA	C20orf177;PPP1R3D	20	58515583
cg02506908	0.561440657275774	HPD	12	122297408
cg02507175	0.0201875840068496	PKNOX1	21	44394436
cg02507952	0.46391305087995	KIAA0125	14	106390641
cg02508567	0.0142254067634675	TCF7L1	2	85361184
cg02510853	0.46948604859485	PKMYT1	16	3031707
cg02511532	0.019486369371633	TAF2	8	120845155
cg02512226	0.542733274672505	ARMC4	10	28288192
cg02512860	0.725242102410539	CLDN15	7	100880751
cg02513045	0.0218670649044307	C21orf2	21	45759502
cg02515422	0.0283279875855201	TLR4	9	120466493
cg02515725	0.0747131711591637	PDLIM3	4	186456935
cg02516189	0.152610482580908	CARD9	9	139268092
cg02516388	0.0147309310490984	ACSF2	17	48503634
cg02517489	NA	UBE3A	15	25683075
cg02518339	0.636911386405525	NA	NA	0
cg02518671	0.0246159660907094	SIRT6;ANKRD24	19	4182691
cg02519218	0.828876507552035	CHFR	12	133424286
cg02519806	0.0224309341988609	SYNPO2	4	119810036
cg02523400	NA	SERPIND1;PI4KA	22	21128191
cg02523617	0.076318952335871	UBE2K	4	39699380
cg02525396	0.112079617185856	TOMM40L	1	161195883
cg02525756	0.30884360917118	RAB42	1	28919362
cg02527529	NA	C17orf53	17	42219679
cg02528468	0.0212468493393397	ATP11B	3	182510901
cg02532648	NA	BTG3	21	18984770
cg02533173	0.235608266708304	BRD4	19	15391124
cg02533993	0.0165963704460499	WDR4	21	44299944
cg02536286	0.0331674510691256	NA	NA	0
cg02537023	0.732860127328153	NA	NA	0
cg02537838	0.450464844918391	C20orf151	20	61002595
cg02537909	0.0374947283862201	COBLL1	2	165697595
cg02539714	0.0134605000865387	RHOF	12	122231866
cg02540157	0.667118161657695	NA	NA	0
cg02543879	0.0121460648644046	VPS36	13	53024717
cg02545106	0.0309467650001402	CCDC110	4	186393269
cg02545192	0.0234737831682928	TERT	5	1294729
cg02546521	0.0122095355127621	ULK1	12	132379326
cg02547138	0.0114761631890896	RCE1;C11orf80	11	66610782
cg02547439	0.027537353675393	ELMO2	20	45035173
cg02548238	0.324505594870506	LOX	5	121413050
cg02549418	0.870424090069168	MBNL3	X	131573634
cg02549424	0.35846523956613	AIFM3	22	21319123
cg02549910	NA	TTC30A	2	178483601
cg02550200	0.008263045660625	MIS12;DERL2	17	5389462
cg02550358	0.0223431229763412	PIGL	17	16120515
cg02551396	0.0357529580584492	JPH2	20	42815882
cg02552572	NA	MT4	16	56597746
cg02552945	NA	C5	9	123811614
cg02553486	0.59880031914628	CORIN	4	47840095
cg02554564	0.526480711738191	NTF3	12	5603131
cg02554810	0.0100715341131537	SNX15	11	64795040
cg02555579	0.6778245213354	SLC25A18	22	18043043
cg02556718	0.0223203334237615	SEZ6L2	16	29910594
cg02558133	0.0121609786481064	PKN2	1	89150338
cg02564061	0.766072479503302	FAM186B	12	49998963
cg02564523	0.156665725395255	ORAI2	7	102073539
cg02564733	0.0630700686980859	ADAMTS15	11	130319074
cg02566518	0.035109875292683	FUT11	10	75531971
cg02567144	0.0100429273123919	EFHC1	6	52285149
cg02569086	0.0139355422436736	ITPR2	12	26985672
cg02569333	0.0163727554434345	SGK3	8	67625280
cg02569613	0.186424057264316	C10orf72	10	50323127
cg02571905	0.013891034123018	TMEM107	17	8079626
cg02575859	NA	RPS4X	X	71497301
cg02577849	0.0563502538945928	ADAMTS6	5	64777678
cg02579133	0.888391023412173	KRTAP10-8;C21orf29	21	46031741
cg02579736	0.0495353781805207	FANCD2;CIDECP	3	10068473
cg02580195	0.0204148047448347	RPL23AP7;RABL2A	2	114385132
cg02580606	0.914644449639396	KRT33B	17	39526726
cg02581667	0.0156481555385424	ECH1	19	39322242
cg02582608	0.015424229350107	ALCAM	3	105085991
cg02582754	0.960656403899657	MAS1	6	160327345
cg02583151	0.0501351789073322	SIX1	14	61116211
cg02584520	0.0188393492232249	STAU2	8	74659043
cg02586730	0.627455450977314	EFEMP2	11	65639869
cg02588309	0.255147947833139	TTC33	5	40756462
cg02589695	0.174528770181794	RASSF5	1	206730999
cg02590345	0.0915036237373223	LPPR1	9	103790959
cg02592124	0.015223089047663	SUMO1	2	203103479
cg02593766	0.71479224221838	MYCBPAP;EPN3	17	48608677
cg02595219	0.515197664180388	KCNE3	11	74178761
cg02595263	0.0152447686016013	MRPS28	8	80942618
cg02597128	0.391321516898907	CXorf41;NUP62CL	X	106449823
cg02597269	0.0212950666545069	MON1B	16	77225049
cg02599225	0.0139425389131387	LOC219347;C10orf57	10	81838473
cg02599464	0.445312353978162	HIST1H2BK;HIST1H4I	6	27107097
cg02600394	0.82769541401304	TXK	4	48136234
cg02600430	0.410240288471207	ZIC5	13	100623942
cg02600515	0.0196844736139601	ZBTB3	11	62521696
cg02601403	0.748733287832372	NA	NA	0
cg02602411	0.724238750684629	GRIN3A;PPP3R2	9	104357177
cg02602864	0.0261422978089307	MAP2K6	17	67410907
cg02603366	0.0114565379457928	RPS21	20	60962040
cg02603784	0.958205135793267	WDR82	3	52294457
cg02604290	0.26553925948014	CYP24A1	20	52790589
cg02605634	0.0954705221639704	WFDC10A;WFDC9	20	44258384
cg02608019	0.0200066850093154	SYK	9	93564028
cg02608292	0.0318643790995212	RPL28	19	55897501
cg02609749	0.0740359991447943	C16orf7;ZNF276	16	89786786
cg02609880	NA	BCAN	1	156611087
cg02611282	0.308890338024132	CREB5	7	28338985
cg02611419	0.572230563634861	KCNK16;KCNK17	6	39282532
cg02611863	0.528219346529523	L3MBTL	20	42143096
cg02612026	0.0241108573612419	CASP9	1	15850456
cg02613386	0.365923697734852	NA	NA	0
cg02613803	0.0284637733832331	TMPRSS2	21	42879131
cg02614187	0.0471362643381887	TRIM45	1	117664089
cg02614818	0.900433584140252	NA	NA	0
cg02615157	0.0190038760025899	PIN1	19	9946560
cg02616808	NA	UNC5A	5	176236654
cg02617361	0.00990742623729793	FNTA	8	42911308
cg02620013	0.322812445358351	MLNR	13	49794681
cg02620228	0.0899259779332673	RAB9A	X	13707694
cg02620470	0.0142820562005738	EXT2	11	44117187
cg02620769	0.419221188739976	CCDC65	12	49298070
cg02622316	0.204552712170509	ZSCAN12	6	28367410
cg02624129	0.0162640435500322	SNX19	11	130786230
cg02624705	0.381749803805543	NA	NA	0
cg02626929	0.108016451135934		16	3011661
cg02626977	0.0138283171553625	CDKN3	14	54863550
cg02628202	0.0475698188058831	LGMN	14	93215207
cg02628930	0.0115812144594328	NA	NA	0
cg02629257	0.918903294937804	NA	NA	0
cg02629312	0.942282826867256	NPVF	7	25268894
cg02629761	0.0972589787171165	PTPN21	14	89020745
cg02630105	0.0598061763363254	PRKCD	3	53195663
cg02630122	0.0229747265285987	RANBP1;TRMT2A	22	20104473
cg02630207	0.851628961501978	SRBD1	2	45839653
cg02630694	0.0549347318753164	CDC123;NUDT5	10	12236833
cg02630888	0.670825834859556	FBXL5	4	15657820
cg02631622	0.0145306732089897	SIAH1	16	48418433
cg02631906	0.0513569673789637	PRDX1	1	45987864
cg02631957	0.0130788398522542	CSNK1G3	5	122847966
cg02632166	0.0151015746346606	NA	NA	0
cg02633817	0.467200724457723	FXYD3	19	35606732
cg02633838	NA	MRPS5	2	95787034
cg02635407	0.490183802066116	SH3TC1	4	8200549
cg02635865	0.0254322731252248	RAB22A;PPP4R1L	20	56885090
cg02639007	0.0348683006892789	CCDC41;LOC144486	12	94853345
cg02640558	0.0122936149038184	PPP3CC	8	22299141
cg02641095	0.0235175186867072	LSM11	5	157170413
cg02641560	0.0152023169813052	RCAN3	1	24828811
cg02641676	0.365777181042774	C8orf40;SLC20A2	8	42397764
