Hybridization REF	TCGA-E2-A15O-01A-11D-A112-05	TCGA-E2-A15O-01A-11D-A112-05	TCGA-E2-A15O-01A-11D-A112-05	TCGA-E2-A15O-01A-11D-A112-05
cg02367951	0.314800482424644	NA	NA	0
cg02372712	0.14780415022286	ZNF467	7	149470295
cg02374486	0.676734348777752	PRF1	10	72362809
cg02376163	0.0431781424007782	FBXO38	5	147763224
cg02376703	0.0278813367549617	EPHA1	7	143106130
cg02377083	NA	CCBP2	3	42851019
cg02381948	0.957636944057184	MGMT	10	131355112
cg02382666	0.815771063285411	CALD1	7	134463454
cg02385474	0.720508540002552	PCNXL2	1	233394797
cg02385791	0.0314383111908834	ZNF570	19	37960542
cg02387613	0.0117262484335642	TOPBP1	3	133380479
cg02387679	0.0254654837998702	IQGAP2	5	75699865
cg02387854	0.00412640955427626	ANAPC11;THOC4	17	79849442
cg02388150	0.582852262749987	SFRP1	8	41165699
cg02391387	0.0112158382386435	IMMP2L	7	111202222
cg02393447	NA	PIF1	15	65117607
cg02397514	0.00961977415523355	HES4	1	935139
cg02397720	0.0875921309109349		2	238512407
cg02398725	0.0323807886663873	CREBZF	11	85376233
cg02399449	0.0516443938662428	CLDN12	7	90032850
cg02399455	0.304921515049999	SRI	7	87855714
cg02400248	0.0052999003384945	CDKN2B;CDKN2BAS	9	22009355
cg02401149	NA	CRYBB3	22	25595409
cg02401978	0.728350802966003	ZNF746	7	149195465
cg02403232	0.0200059591723485	GOLGA3	12	133405120
cg02404636	0.0983654175149975	SFI1	22	31891804
cg02404843	0.00682592322934788	GPRIN1	5	176037404
cg02407785	0.0351995555306362	PCDH9	13	67804285
cg02409282	0.381611779476495	NA	NA	0
cg02409351	0.446422008061314	ALX1	12	85674022
cg02412050	0.0899159655637886	MAPK14	6	35995429
cg02413850	0.00964490015389015	SLC35C2	20	44993235
cg02415431	NA	IGLL1	22	23923255
cg02416716	0.0197886946067137	ZNF215	11	6948024
cg02417264	0.224447792504408	RAMP3	7	45197727
cg02417408	0.240544238082923	PPM1M	3	52280688
cg02420102	0.0349249086038096	C11orf65	11	108338162
cg02421543	0.0427178405340218	DR1	1	93810826
cg02422627	0.0539766545903649	MED30	8	118533004
cg02422694	0.282654210795973	HOXB4	17	46655790
cg02423618	0.174172934039059	SPATA8	15	97325725
cg02425732	0.00830586960218531	RRBP1	20	17662212
cg02426410	0.0141383381370554	AASDH	4	57253603
cg02428100	0.018474374084026	KEAP1	19	10614022
cg02430692	0.0792818795160955	PEX5L	3	179754239
cg02431687	NA	NAIF1	9	130828652
cg02431964	0.267614138592995	MARCO	2	119700029
cg02432101	NA	TCEB3CL;TCEB3C;KATNAL2	18	44557635
cg02433671	0.0594238123602786	RGL3	19	11529856
cg02433905	0.0838206109448995	ATP6V1A;NAA50	3	113465485
cg02435593	0.231008760820289	CHMP4B	20	32399369
cg02436686	0.51222914615086	GMFG	19	39826150
cg02437376	0.00865651759032969	VDAC2	10	76969880
cg02440177	0.0207977825295357	ZNF702P	19	53496695
cg02441647	NA	COL8A1;MIR548G	3	99357499
cg02441831	0.0407549032653271	SYVN1	11	64901569
cg02442161	0.223145433712227	NA	NA	0
cg02443089	0.0589620123985294	RPS29	14	50052765
cg02447314	0.00967998249803025	POLI	18	51796331
cg02449608	0.942300573529039	C19orf18	19	58486600
cg02449978	0.0272280199851383	CDC25A	3	48230167
cg02450959	0.0205427841443608	THAP1	8	42698393
cg02451362	0.00764726049016647	LOC92659;MAFG	17	79885650
cg02451670	0.157698706103591	INTS7;DTL	1	212207806
cg02452985	0.840143168472942	BCL11B	14	99737548
cg02453591	NA	FARSB	2	223521088
cg02453653	0.0258175467578943	INTS5	11	62420979
cg02456292	0.345679660164606	TMEM145	19	42817262
cg02457752	0.637349840688865	CDR1	X	139868078
cg02460120	0.0119875906729242	USP15	12	62653836
cg02460349	0.0155147912542035	RRBP1	20	17663383
cg02470959	0.0735438516401905	SFRS8	12	132196036
cg02471507	0.0081552014265583	CHMP4C	8	82644747
cg02473123	0.922044767479403	CD7	17	80274776
cg02475653	NA	ATP2C2	16	84437661
cg02477931	0.108870104695183	NTM	11	131532721
cg02479196	0.00796333563350028	MARCH7	2	160569048
cg02479575	0.0202837160980714	MIR7-3;C19orf30	19	4769653
cg02480835	0.0277138229004831	NUPL2	7	23221354
cg02486845	0.0406069360433433	NCRNA00120;AKIRIN2	6	88411799
cg02488871	0.884396011498318	VIL1	2	219288203
cg02489552	0.39194265755609	CCDC105	19	15121531
cg02490034	0.5051217868532	MEST	7	130125836
cg02491012	0.286199862647824	NA	NA	0
cg02491878	0.144184770347637	ATP6V0A4;TMEM213	7	138482580
cg02492740	0.321841015873956	UBQLN2	X	56590362
cg02493771	0.0208967405384959	KRTAP13-2	21	31744328
cg02494117	0.0316479773936397	DNM1;CIZ1	9	130965474
cg02496295	0.0100323634091271	ADD1	4	2846155
cg02497175	0.0201563893968864	NLK	17	26368598
cg02497428	NA	METTL9;IGSF6	16	21665138
cg02497700	0.102445822870659	ZNF238	1	244213358
cg02497758	0.699347874668963	MAFB	20	39317194
cg02498063	0.933077463991288	CCDC60	12	119772577
cg02499249	0.094181785969837	RARB	3	25469720
cg02500392	0.938482047344808	PBOV1;KIAA1244	6	138539372
cg02501779	0.351325575180165	CBLN4	20	54579355
cg02501984	0.0074330453359455	POLE;PXMP2	12	133263946
cg02502132	NA	LRP8	1	53792939
cg02503850	0.498326610535534	ADAMTS14	10	72432552
cg02503970	0.0167662775935231	ST3GAL1	8	134584145
cg02504280	0.451249431218441	CSAG1;MAGEA12	X	151904507
cg02504465	0.00779992142495032	SNX3	6	108582065
cg02505409	0.0185112609351237	ANGPTL4	19	8429160
cg02505689	0.017383610889007	DBF4B	17	42785825
cg02506426	0.0332630742631102	AQP11	11	77300504
cg02506728	NA	C20orf177;PPP1R3D	20	58515583
cg02506908	0.489516642136107	HPD	12	122297408
cg02507175	0.0319357034259226	PKNOX1	21	44394436
cg02507952	0.659061773587366	KIAA0125	14	106390641
cg02508567	0.0738375647415381	TCF7L1	2	85361184
cg02510853	0.39442222745197	PKMYT1	16	3031707
cg02511532	0.0659243549300555	TAF2	8	120845155
cg02512226	0.801009854007554	ARMC4	10	28288192
cg02512860	0.885599655203224	CLDN15	7	100880751
cg02513045	0.0185987954087121	C21orf2	21	45759502
cg02515422	0.0434753705923681	TLR4	9	120466493
cg02515725	0.525312882471144	PDLIM3	4	186456935
cg02516189	0.0667673052077779	CARD9	9	139268092
cg02516388	0.0138073336298277	ACSF2	17	48503634
cg02517489	NA	UBE3A	15	25683075
cg02518339	0.459073342666294	NA	NA	0
cg02518671	0.0219430316519602	SIRT6;ANKRD24	19	4182691
cg02519218	0.93300299899592	CHFR	12	133424286
cg02519806	0.0161260292317347	SYNPO2	4	119810036
cg02523400	NA	SERPIND1;PI4KA	22	21128191
cg02523617	0.248526064905645	UBE2K	4	39699380
cg02525396	0.0428322168458128	TOMM40L	1	161195883
cg02525756	0.179984131557104	RAB42	1	28919362
cg02527529	NA	C17orf53	17	42219679
cg02528468	0.0207148863827803	ATP11B	3	182510901
cg02532648	NA	BTG3	21	18984770
cg02533173	0.111079817050225	BRD4	19	15391124
cg02533993	0.016765469076004	WDR4	21	44299944
cg02536286	0.0460187465936413	NA	NA	0
cg02537023	0.891238374026776	NA	NA	0
cg02537838	0.15697174881956	C20orf151	20	61002595
cg02537909	0.399334476561169	COBLL1	2	165697595
cg02539714	0.01221247841785	RHOF	12	122231866
cg02540157	0.788864477081725	NA	NA	0
cg02543879	0.0206015977753505	VPS36	13	53024717
cg02545106	0.0269236122099722	CCDC110	4	186393269
cg02545192	0.0100513649034499	TERT	5	1294729
cg02546521	0.00696953408497959	ULK1	12	132379326
cg02547138	0.0113266833627272	RCE1;C11orf80	11	66610782
cg02547439	0.0220433635595937	ELMO2	20	45035173
cg02548238	0.0140025857081734	LOX	5	121413050
cg02549418	0.618081447235995	MBNL3	X	131573634
cg02549424	0.27713363460057	AIFM3	22	21319123
cg02549910	NA	TTC30A	2	178483601
cg02550200	0.00959178875710911	MIS12;DERL2	17	5389462
cg02550358	0.0180309502299133	PIGL	17	16120515
cg02551396	0.0149935694088805	JPH2	20	42815882
cg02552572	NA	MT4	16	56597746
cg02552945	NA	C5	9	123811614
cg02553486	0.158744666224365	CORIN	4	47840095
cg02554564	0.139261954092041	NTF3	12	5603131
cg02554810	0.0136941715775727	SNX15	11	64795040
cg02555579	0.783321696227129	SLC25A18	22	18043043
cg02556718	0.0171864579880078	SEZ6L2	16	29910594
cg02558133	0.00815238759898036	PKN2	1	89150338
cg02564061	0.878099338270787	FAM186B	12	49998963
cg02564523	0.0344597521188058	ORAI2	7	102073539
cg02564733	0.0323662422220488	ADAMTS15	11	130319074
cg02566518	0.0388629632791036	FUT11	10	75531971
cg02567144	0.0892373661389417	EFHC1	6	52285149
cg02569086	0.0577121429912567	ITPR2	12	26985672
cg02569333	0.0122046984513609	SGK3	8	67625280
cg02569613	0.506068646659022	C10orf72	10	50323127
cg02571905	0.0100062078561594	TMEM107	17	8079626
cg02575859	NA	RPS4X	X	71497301
cg02577849	0.0426664132178605	ADAMTS6	5	64777678
cg02579133	0.762537554391162	KRTAP10-8;C21orf29	21	46031741
cg02579736	0.045467097186659	FANCD2;CIDECP	3	10068473
cg02580195	0.0537373010730789	RPL23AP7;RABL2A	2	114385132
cg02580606	0.91225800789303	KRT33B	17	39526726
cg02581667	0.0145675464529142	ECH1	19	39322242
cg02582608	0.0205343818174093	ALCAM	3	105085991
cg02582754	0.943028706520147	MAS1	6	160327345
cg02583151	0.0331253544252497	SIX1	14	61116211
cg02584520	0.00978257021185053	STAU2	8	74659043
cg02586730	0.51607645886899	EFEMP2	11	65639869
cg02588309	0.508072902127144	TTC33	5	40756462
cg02589695	0.0468981957825665	RASSF5	1	206730999
cg02590345	0.447994206048047	LPPR1	9	103790959
cg02592124	0.0133409836809615	SUMO1	2	203103479
cg02593766	0.624942219461971	MYCBPAP;EPN3	17	48608677
cg02595219	0.74516694974795	KCNE3	11	74178761
cg02595263	0.021391506269448	MRPS28	8	80942618
cg02597128	0.370101560916594	CXorf41;NUP62CL	X	106449823
cg02597269	0.0313763649321118	MON1B	16	77225049
cg02599225	0.00852805594584891	LOC219347;C10orf57	10	81838473
cg02599464	0.291777908370281	HIST1H2BK;HIST1H4I	6	27107097
cg02600394	0.92422826653825	TXK	4	48136234
cg02600430	0.304401478111984	ZIC5	13	100623942
cg02600515	0.0213371552792304	ZBTB3	11	62521696
cg02601403	0.576008380670027	NA	NA	0
cg02602411	0.415722224577602	GRIN3A;PPP3R2	9	104357177
cg02602864	0.0270977580182235	MAP2K6	17	67410907
cg02603366	0.00711790843662761	RPS21	20	60962040
cg02603784	0.924099150858818	WDR82	3	52294457
cg02604290	0.0468131220222046	CYP24A1	20	52790589
cg02605634	0.030037179419867	WFDC10A;WFDC9	20	44258384
cg02608019	0.0995157722797506	SYK	9	93564028
cg02608292	0.122254226365344	RPL28	19	55897501
cg02609749	0.0384978821395533	C16orf7;ZNF276	16	89786786
cg02609880	NA	BCAN	1	156611087
cg02611282	0.129617171853538	CREB5	7	28338985
cg02611419	0.778888448648079	KCNK16;KCNK17	6	39282532
cg02611863	0.509760684755637	L3MBTL	20	42143096
cg02612026	0.0276252451544205	CASP9	1	15850456
cg02613386	0.636994159295387	NA	NA	0
cg02613803	0.0413814908990351	TMPRSS2	21	42879131
cg02614187	0.0676616796401084	TRIM45	1	117664089
cg02614818	0.941511897130264	NA	NA	0
cg02615157	0.0278836756099454	PIN1	19	9946560
cg02616808	NA	UNC5A	5	176236654
cg02617361	0.00780058896371215	FNTA	8	42911308
cg02620013	0.73119808822612	MLNR	13	49794681
cg02620228	0.247594067949513	RAB9A	X	13707694
cg02620470	0.0132086595576141	EXT2	11	44117187
cg02620769	0.0118334871058968	CCDC65	12	49298070
cg02622316	0.701708475672993	ZSCAN12	6	28367410
cg02624129	0.135835079234187	SNX19	11	130786230
cg02624705	0.583172489924477	NA	NA	0
cg02626929	0.13513303093657		16	3011661
cg02626977	0.0163327246548198	CDKN3	14	54863550
cg02628202	0.0287478923335119	LGMN	14	93215207
cg02628930	0.00710387088514738	NA	NA	0
cg02629257	0.912210678580163	NA	NA	0
cg02629312	0.829189404371367	NPVF	7	25268894
cg02629761	0.144414669465053	PTPN21	14	89020745
cg02630105	0.0775543607207224	PRKCD	3	53195663
cg02630122	0.0201298944564393	RANBP1;TRMT2A	22	20104473
cg02630207	0.552292881440626	SRBD1	2	45839653
cg02630694	0.0704335212323748	CDC123;NUDT5	10	12236833
cg02630888	0.277880058562075	FBXL5	4	15657820
cg02631622	0.014841133506973	SIAH1	16	48418433
cg02631906	0.0425136902489647	PRDX1	1	45987864
cg02631957	0.0172081918466321	CSNK1G3	5	122847966
cg02632166	0.011309133595581	NA	NA	0
cg02633817	0.10533421470859	FXYD3	19	35606732
cg02633838	NA	MRPS5	2	95787034
cg02635407	0.7618220064547	SH3TC1	4	8200549
cg02635865	0.0346182234010475	RAB22A;PPP4R1L	20	56885090
cg02639007	0.0315941856339361	CCDC41;LOC144486	12	94853345
cg02640558	0.00989142245677372	PPP3CC	8	22299141
cg02641095	0.0248709443626904	LSM11	5	157170413
cg02641560	0.0113732003350803	RCAN3	1	24828811
cg02641676	0.195542943430105	C8orf40;SLC20A2	8	42397764
cg02643667	0.302646240592051	TFF1	21	43786699
cg02644301	0.00945016901478208	TECR	19	14640456
cg02646854	0.0271180442912474	C11orf2	11	64863958
cg02647265	0.115043383460755	CCDC92	12	124456164
cg02647545	0.0182499657127419	HIRIP3;INO80E	16	30007965
cg02648999	0.0162026763749787	TGFBRAP1	2	105946563
cg02649337	0.871540308863682	NA	NA	0
cg02649608	0.277305416766024	ZBTB33	X	119384792
cg02654291	0.153347830306846	C9orf64	9	86572014
cg02655204	0.597642807258981	NA	NA	0
cg02655623	0.80524156502432	C17orf85	17	3728468
cg02656594	NA	IL21R	16	27412496
cg02657360	0.275749698692027	H19	11	2020560
cg02657438	0.156092343779256	STON2	14	81864899
cg02657721	0.0558908232590223	NA	NA	0
cg02658214	0.686421569075366	SDR9C7	12	57327964
cg02658251	0.866612143244726	NA	NA	0
cg02659086	0.548306022035065	GSTP1	11	67350976
cg02659232	0.0715586941985149	DDX25;PUS3	11	125772925
cg02661879	0.331449367992527	FLNC	7	128470614
cg02664205	0.822845587913411	PDE7B	6	136171652
cg02665570	0.0117585292641921	LYPLAL1	1	219347340
cg02668581	0.00970828622946978	MREG	2	216878340
cg02668729	0.00874621160191022	CTPS	1	41445680
cg02668984	0.0192358288790928	PDK2	17	48172022
cg02671171	0.135718879876625	RPH3AL	17	203087
cg02671806	0.0264249016255745	CLPX	15	65477420
cg02672220	0.096590651399574	SIM2	21	38070588
cg02672493	0.576491252430805	TMEM22	3	136537709
cg02674804	0.336368229808967	REEP6	19	1492043
cg02675652	0.264387470433683	CSRNP2	12	51477739
cg02675896	0.0173782585270692	C5orf30	5	102594347
cg02676865	0.0502810961774586	MMS19;UBTD1	10	99259738
cg02677802	0.573228599786434	NA	NA	0
cg02678356	NA	ZXDA	X	57937004
cg02679745	0.768128021644984	C9orf139;FUT7	9	139927646
cg02681442	0.607543910233554	FOXG1	14	29236008
cg02682905	0.269426000848932	ZNF776	19	58262242
cg02683985	0.0174933698188208	PDGFA	7	559070
cg02686662	0.954651386375167	PPAP2C	19	292245
cg02686769	0.00838259182851129	TCP11L2	12	106695932
cg02688643	NA	MGST2	4	140585523
cg02689825	0.0315250695521532	CDS2;PCNA	20	5107135
cg02690554	0.0603783526924012	CITED1	X	71527606
cg02691091	0.942052282677558	SP2	17	45992811
cg02692952	0.0671856136991286	TRAF6	11	36531754
cg02693857	0.0209784202680408	MXD3	5	176738937
cg02694395	NA	FMO4	1	171283893
cg02699167	0.00955142582261854	FBXL2	3	33319024
cg02699645	0.0104734626997615	UBE2G2	21	46221599
cg02701137	NA	DLGAP4	20	34994743
cg02702510	0.0371394600632833	MARCH8	10	46090551
cg02704907	0.787454913124854	HIST1H2BK	6	27116113
cg02705666	0.0356148947176137	GTF2B	1	89357418
cg02706575	NA	CCL13	17	32683054
cg02706881	0.869747418875428	NCRNA00175;COL18A1	21	46845775
cg02709261	0.0108544144207472	TOR3A	1	179051893
cg02710105	0.00953488255535919	MAP4K3	2	39664348
cg02710161	NA		3	141748862
cg02712165	NA	C17orf76	17	16395957
cg02712845	0.0256626612169749	DPAGT1	11	118973038
cg02712878	0.12389697612553	FAIM	3	138327370
cg02713563	NA	TRAPPC6A;BLOC1S3	19	45680948
cg02715115	0.0352899695182048	PRMT10	4	148605624
cg02715140	0.00679386371424911	CFL1	11	65625717
cg02717046	0.168643675108287	GPR133	12	131438788
cg02717570	0.0236452011443	ANKRD13B	17	27920934
cg02717866	0.829081506076322	C11orf66	11	61248887
cg02718531	0.0168305229890768	FLYWCH2	16	2932507
cg02718563	0.618596390156377	NA	NA	0
cg02718725	0.0238198191617041	CNN3	1	95392925
cg02719245	0.117741765786817	FLJ45244;DICER1	14	95624293
cg02719634	0.440375213063984	SLC22A18AS;SLC22A18	11	2924899
cg02720618	0.0746350506125857	ESR1	6	152129791
cg02721374	0.451821675229825	OR1D2	17	2996177
cg02723372	0.925244012590939	RUNX3	1	25228582
cg02723533	0.167276897286141	CCND1	11	69468991
cg02724472	0.106065818353207	LRRC17;FBXL13	7	102553293
cg02725014	0.0920359620910024	HOMER1	5	78809520
cg02725692	0.109887212543928	PORCN	X	48367969
cg02727285	NA	RELB	19	45504242
cg02727423	0.72066833216774	EML1	14	100258973
cg02729303	0.0895949615954648	FAM134B	5	16508920
cg02729352	0.0369806399064311	ZNF432	19	52552443
cg02729506	0.018664916773563	HSPG2	1	22263411
cg02732134	0.97310755656206	DNMBP	10	101732382
cg02732509	0.10762414675954	CTDSP2	12	58241200
cg02733650	0.0179797878295303	DCTPP1	16	30441347
cg02735071	0.0168060894818196	EIF3H	8	117767874
cg02735133	0.00736593470656784	PALB2;DCTN5	16	23652915
cg02735486	0.347036284383268	ANK2	4	113970935
cg02737335	0.849689378446345	ARHGEF16	1	3379884
cg02738086	NA	POLR3H	22	41941494
cg02738763	0.0210952808276234	TARSL2	15	102264749
cg02740128	0.0296762801443229	DLG4;ACADVL	17	7123860
cg02740947	0.012889461007733	RAD51L3	17	33446536
cg02741177	NA	PROL1	4	71263061
cg02741249	NA	GGA2	16	23521983
cg02741744	0.0156822498603875	ACTR6	12	100594734
cg02742971	0.0104068557362516	OSR1	2	19558059
cg02744459	0.0246240601878818	RECQL;GOLT1B	12	21654197
cg02748427	0.0618030142652271	RPAP2;GLMN	1	92764574
cg02748539	0.826995090015579	SLC9A3	5	524269
cg02749825	0.014386986594756	COMTD1	10	76995759
cg02750754	0.041879188213007	TMEM91;B9D2	19	41869941
cg02751839	0.890502587682468	GPR37L1	1	202092285
cg02755455	0.91845268729078	JAK1	1	65352382
cg02755525	0.00531435133593151	NETO2	16	47177175
cg02756614	0.0233486428245912	MYOF	10	95242111
cg02756698	0.82982387011318	KRT12	17	39023008
cg02756845	0.0479119713201496	MAPK8IP2	22	51038542
cg02757432	0.821310338925265	GPR26	10	125426048
cg02760007	0.0410631078498929	SRF	6	43139670
cg02762689	0.881008078450331	GUCA1B	6	42163422
cg02763671	0.620046930550146	TRMT2A;RANBP1	22	20103541
cg02764611	NA	FDX1L	19	10426516
cg02764897	0.0709871903966621	KRTAP13-1	21	31768311
cg02765045	0.00418440337028608	PCBP2	12	53845774
cg02765328	0.718050818347658	CCND2	12	4383281
cg02765820	0.74018375986128	C3orf22	3	126278020
cg02770814	0.0297727761225097	FAM13B	5	137368293
cg02772367	0.022616772741919	NUP160	11	47870447
cg02774160	0.463424534218565	GGT1	22	24979633
cg02774439	0.453881498757933	HAND2;NBLA00301	4	174451251
cg02774486	0.968060354711824	TUBA3D	2	132233433
cg02774963	NA	KEL	7	142659757
cg02775617	0.104985961978459	ARHGAP12	10	32217281
cg02776251	0.191414885558434	USP15	12	62654319
cg02780295	0.0191431487785751	PCDHGA4;PCDHGA12;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGC3;PCDHGB6;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5	5	140855463
cg02780849	0.637982251374747	GNG4	1	235814163
cg02780988	NA	KRT36	17	39646994
cg02782630	0.0238869708497803	FAM175A	4	84406624
cg02784848	0.0244968075917869	FUZ	19	50316878
cg02784874	0.530982703431754	KRT9	17	39728962
cg02786019	0.348529361412823	TRPV6	7	142582859
cg02786378	0.637079424437567	SLC7A2	8	17396844
cg02787991	0.0125899954574094	SECTM1	17	80291405
cg02788090	0.0304426089851585	SOX9	17	70116681
cg02788102	0.031129698183126	CADM1	11	115374969
cg02789485	0.0480973231063446	GLIPR1L2	12	75783428
cg02790471	0.463734652608409	SCML4	6	108093511
cg02792677	0.0191468778458966	MRPL4	19	10362626
cg02793099	0.404595679012171	PEG3;ZIM2	19	57350004
cg02794695	0.814449937526989	SLA;TG	8	134072611
cg02795624	0.0338605566128254	HINFP	11	118992260
cg02797569	NA	PCOLCE	7	100200009
cg02798801	NA	BUD31;PDAP1	7	99005263
cg02799466	0.581042220612719	PID1	2	230136411
cg02800334	NA	ANXA13	8	124750855
cg02801485	0.0160868301727548	STRADB;TRAK2	2	202317001
cg02801598	0.0329149473642467	PDP2	16	66914223
cg02802055	0.0206502162438958	C9orf78;USP20	9	132597094
cg02803836	NA	MGMT	10	131412507
cg02804166	0.499132254994632	PHF6	X	133506996
cg02805028	0.79679188703819	GSG1L	16	27899239
cg02806093	0.0301079767855984	RAB2B;TOX4	14	21944967
cg02806658	0.0395782153782932	C12orf48;NUP37	12	102513592
cg02806777	0.907936011437598	NA	NA	0
cg02807450	0.213814590530199	NA	NA	0
cg02807948	0.641697113382103	INS-IGF2;IGF2	11	2153991
cg02809263	0.0299121405035553	LRRC40;SFRS11	1	70671218
cg02810134	0.95486777193372	TNNC2	20	44455922
cg02810773	0.00700160827160096	ITPA	20	3190112
cg02811755	0.00918994395371117	AKAP10	17	19880691
cg02812142	NA	ACMSD	2	135595323
cg02813021	0.0216414576693925	ZMYND11	10	180599
cg02813121	NA	S100A12	1	153348911
cg02813863	0.865363939330648	APOLD1	12	12938287
cg02815516	0.789500029046203	KANK2	19	11306319
cg02818322	0.449688264999771	MAGEC3	X	140926409
cg02822723	0.014495084393728	BRD9;TRIP13	5	893431
cg02823866	0.0267805454315576	CD274	9	5450410
cg02825709	NA	ZNF75A	16	3354207
cg02827112	0.173201789991043	SMARCAD1	4	95129403
cg02827328	0.0118364465023092	TRIM14	9	100881403
cg02828104	NA	TMEM189;TMEM189-UBE2V1	20	48770800
cg02829654	0.0655721121453152		1	236046939
cg02830467	0.547291400439655	MYCT1	6	153018721
cg02831294	0.823343775133939	CALML3	10	5566862
cg02831393	0.0195998459316511	PAFAH1B2	11	117014616
cg02831604	0.612038943092169	ISL2	15	76628725
cg02832245	0.0156675450496661	EXOSC9	4	122722866
cg02833180	0.516544157574567	PLCL1	2	198815064
cg02833725	0.127878227439233	ISG20L2;C1orf66	1	156696768
cg02836529	0.157213886507666	NEUROD1	2	182544413
cg02838492	0.203601159337723	KIF12	9	116861288
cg02838877	0.334748140622293	MBNL2	13	97873877
cg02840794	0.0117729641273509	HPS6	10	103825777
cg02841886	0.00801774273350222	RFX1	19	14117094
cg02841933	0.00874561232559511	NRF1	7	129251651
cg02844051	0.946291729970255	DMKN	19	36004233
cg02844545	0.754286394328261	GCM2	6	10882043
cg02844629	0.0153006220571789	TTC13;ARV1	1	231114732
cg02845923	0.682892534329121	NA	NA	0
cg02847216	0.882560799734184	CTAGE1	18	19997803
cg02847500	0.56401333645007	SOX3	X	139587184
cg02848777	NA	TLL2	10	98273714
cg02849695	0.111945546113539	CCDC19	1	159869960
cg02850329	0.0708861837122229	RCAN3	1	24829455
cg02850821	0.0669243872635264	KRAS	12	25403680
cg02854090	0.351299728392671	HIST1H2AA;HIST1H2BA	6	25726895
cg02854288	0.0307415492017829	FHIT	3	61236911
cg02855426	0.315960938870947	NA	NA	0
cg02856727	0.604678849153522	GH2	17	61959416
cg02859934	NA	NAGPA	16	5083072
cg02860342	0.633287322766527	HCN4	15	73661484
cg02860543	0.776617234282375	IGF2BP3	7	23510648
cg02861781	0.640421338537565	GJB2	13	20767498
cg02862153	0.0277039327241249	CUX1	7	101459386
cg02862362	0.94449882260882	ARG1	6	131895102
cg02862835	0.0393105669222539	MMAB;MVK	12	110011242
cg02863237	0.0130053306192138	RBM17	10	6131472
cg02863842	0.00676649667497331	PVRL2	19	45349685
cg02863947	0.947638800047278	NR1I2	3	119499190
cg02865818	0.00846999683560475	WWC1	5	167719214
cg02867079	0.545479703814522	HHIPL1	14	100111269
cg02868123	NA		2	79382913
cg02868306	0.0597965953019935	RAB11B	19	8455008
cg02868338	0.0160900386800759	EXOSC4	8	145133133
cg02870945	0.0160869315111573	REEP1	2	86565124
cg02873524	0.727903131861155	PAPPA	9	118916493
cg02874605	0.045359572568509	DEPDC4;SCYL2	12	100661778
cg02875297	0.115973820284462	RLN2	9	5304611
cg02875404	0.941860108475788	VN1R1	19	57966896
cg02876062	0.250794581487353	FAM107B	10	14816654
cg02878987	0.0620569364553368	AIDA;C1orf58	1	222885407
cg02879662	0.349985667059863	HIF3A	19	46800467
cg02880176	NA	PLD6	17	17109817
cg02880679	0.140096173752132	MBTD1	17	49295615
cg02882813	0.934957729241382	CST5	20	23860078
cg02883161	0.0381209342384789	MSI1	12	120807618
cg02883230	0.0870122753990076	PARP6	15	72564263
cg02883621	NA	S100P	4	6694923
cg02885771	0.906915904649305	LTV1	6	144163654
cg02886284	0.247985987673861	CPE	4	166300290
cg02887841	0.470939213955285	TBX1	22	19744670
cg02888247	0.0923431605405991	C6orf62	6	24719235
cg02889982	0.376757582307579	MPRIP	17	16946247
cg02890926	0.00902705707165584	TMEM53;C1orf228	1	45140355
cg02899723	0.98530702478795	DDX4	5	55033614
cg02899772	0.600364933516061	NECAB2	16	84002599
cg02900980	0.00945116582918515	FOXP1	3	71633249
cg02901122	0.0117439969814512	RPRD1A	18	33647344
cg02901159	0.0227995579090536	CLNS1A	11	77348811
cg02901679	0.95585513040644	NA	NA	0
cg02902770	0.924906807253537	RARRES2	7	150039406
cg02903525	NA	C5AR1	19	47813489
cg02904235	0.0138602710893416	RPS6KA5	14	91527369
cg02904365	0.0159826402916108	DNAJC11	1	6761379
cg02905245	0.178140563814664	CCDC80	3	112359652
cg02905881	0.033835067695916	MSH6	2	48009730
cg02906238	0.0280665101051455	TFCP2L1	2	122042701
cg02906939	NA	HNMT	2	138721315
cg02907300	0.0231515911226721	TCEB3	1	24069649
cg02909042	0.0100222389445045	MAPK1IP1L	14	55518132
cg02909790	0.0867698545550604	HIST1H3G	6	26271587
cg02910574	0.403966872968557	C16orf55;CHMP1A	16	89725401
cg02912041	0.357289831083356	TMEM207	3	190167563
cg02913089	0.0154566919061274	PDE8A	15	85525744
cg02913364	0.0449840843974835	UBE2J2	1	1208573
cg02914379	0.0228834796222295	MDFI	6	41605784
cg02914419	0.0199103155229472	ASNA1	19	12848364
cg02915261	0.00619239953530817	LSR	19	35739762
cg02915544	0.177263558397844	FOLH1B	11	89392829
cg02915837	0.0758819658001582	TEAD4	12	3069243
cg02916816	0.696009538550858	JPH4	14	24047021
cg02917064	0.0270848731506635	SMARCD3	7	150974464
cg02917381	0.0244461510528001	MEIS2	15	37393188
cg02917772	0.0411586408165099	CTH	1	70876623
cg02917972	0.0272935413620727	ZCCHC11	1	53018259
