Hybridization REF	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05
cg07172256	0.0109388921897995	ERBB2IP	5	65220910
cg07172280	0.00989226349461633	DPP7	9	140009455
cg07173760	0.649444793950155	CLC	19	40229266
cg07175007	NA	UHMK1	1	162467185
cg07175883	0.0510899339509625	HOXD13	2	176957908
cg07177300	0.0772700400324982	FRMPD4	X	12156499
cg07177755	0.022343291220084	ERCC5	13	103498027
cg07177852	0.0564371389392222	CCDC68	18	52626476
cg07179770	0.0377009203299988	KLHL36	16	84681994
cg07180649	NA	WNT4	1	22470290
cg07181349	0.0272778942612237	NA	NA	0
cg07181881	0.130315340644423	KLHL23	2	170591239
cg07184439	0.0147046380553964	RPL36AL;MGAT2	14	50087799
cg07185695	0.0700472739472758	MOSC1	1	220959586
cg07186138	0.658289016285656	APOBEC3C	22	39410396
cg07186707	0.0218976970950696	PAK4	19	39616465
cg07189381	0.5063927081229	TNNT1	19	55660514
cg07190485	0.0113920629232888	STOM	9	124132159
cg07190917	0.0167274352700578	STX4	16	31045100
cg07191600	0.0181924267468644	TRERF1	6	42421243
cg07192857	0.0215374806955508	HSPA1B	6	31795181
cg07193504	NA	SRP9	1	225964856
cg07195282	0.014809545039872	ZNF563	19	12444484
cg07195577	0.0363454975228548	TLCD1	17	27052828
cg07195622	0.0262627499786905	SRRM2;LOC100128788	16	2803408
cg07196761	0.846739996386234	CHCHD8;PAAF1	11	73586776
cg07197059	0.679273319654691	EFS	14	23836012
cg07197823	0.0462454558443604	INHBB	2	121103050
cg07200280	0.0330969666681756	RFTN1	3	16554619
cg07200897	0.0294610444776616	DIRC2;HSPBAP1	3	122512821
cg07204803	NA	ARL13B	3	93698231
cg07207789	NA	CRISPLD2	16	84852909
cg07207937	0.0226375017161161	MRPL1	4	78783799
cg07209631	0.0207313289028888	PPM1K	4	89205728
cg07210490	0.0238521633271351	SMARCD1	12	50479634
cg07211259	0.330588767064131	PDCD1LG2	9	5510497
cg07212894	0.0172632561268741	SLC38A3	3	50243021
cg07214572	0.0336484305318987	LHX9	1	197881353
cg07215749	0.0102783689845338	SOCS2	12	93965475
cg07218192	0.0131433613092045	MPP5	14	67707706
cg07218880	0.149102223712784	UPF3A	13	115046279
cg07220442	0.021357027228202	NUP107	12	69080635
cg07220939	0.461967934437022	SLC22A12	11	64358617
cg07221454	0.955916996829022	MS4A10	11	60552841
cg07223164	0.0322685573305908	OSTC	4	109571402
cg07230446	0.0391930901997731	GIGYF2	2	233561722
cg07231132	0.0345199318188086	TMEM92	17	48350498
cg07232688	NA	LRRC39	1	100644688
cg07233761	0.208928870792842	ESM1	5	54281437
cg07236190	0.547978648518487	AMDHD1	12	96338038
cg07236358	0.0174263136282112	POP5	12	121019192
cg07236381	0.0218488417044703	NA	NA	0
cg07236769	0.431148145769672	NA	NA	0
cg07236943	0.12142370257753	SGCE;PEG10	7	94284486
cg07237830	0.42969400594406	BSCL2;GNG3	11	62474725
cg07237939	0.511395148631606	SLC22A3	6	160769754
cg07238167	0.0833423098343117	NA	NA	0
cg07239938	0.39522874372236	ELANE	19	852813
cg07240721	0.0264033844518331	HINT3	6	126278255
cg07241568	0.0252080175799426	ABO	9	136150823
cg07242375	0.43330414576769	PRICKLE3	X	49042556
cg07242414	0.215913521549002	BMP1;SFTPC	8	22021845
cg07242565	0.0289339874235681	NR2F6	19	17356142
cg07243519	0.0185065719333469	UFM1	13	38924018
cg07243932	0.00804686713648118	SLC30A4;C15orf21	15	45814527
cg07246225	0.0560399353014652	ZEB2	2	145277659
cg07248043	0.0159357967569014	OSBPL11	3	125314337
cg07248310	0.0146973478093177	HOOK1	1	60280716
cg07248407	0.0151495351456555	MIR638;DNM2	19	10829176
cg07249409	0.00814168979436361	C1orf123	1	53686008
cg07251788	NA	CLTCL1	22	19280165
cg07251857	0.88784144947128	ALPK3	15	85360217
cg07253191	0.086496397356051	PDHX;APIP	11	34936862
cg07256847	0.287174327639764	NA	NA	0
cg07258507	0.601815382608878	IL25	14	23842125
cg07259382	NA	MARCH1	4	164536228
cg07260017	0.776793579962565	CSF1R	5	149492480
cg07260592	0.575214399299337		6	161100122
cg07263984	0.0114132602895835	ATG12;AP3S1	5	115177777
cg07264679	NA	CD163	12	7657396
cg07265300	0.0332699810182946	PFN4;LOC375190	2	24346000
cg07265310	0.431680520958952	KRT78	12	53242922
cg07265622	0.048453566503679	C17orf100;MED31	17	6554855
cg07267296	0.0328145905639085	INTS9;HMBOX1	8	28748995
cg07269146	NA	CCL21	9	34710657
cg07270175	0.0269994589327612	NOC3L	10	96123049
cg07271264	0.126268609773646	MYOD1	11	17740977
cg07271268	0.0101464391639403	KDM5A;CCDC77	12	498129
cg07273415	0.0136645550328999	TMEM138;CYBASC3	11	61130067
cg07274506	0.0164271434907657	TAS1R1;NOL9	1	6614341
cg07276902	0.0176113948466888	NA	NA	0
cg07278207	0.01261935960796	DNAJC24;DCDC1	11	31391293
cg07278624	0.0509431951893621	TCP11L2	12	106696673
cg07281640	NA	IKBKAP;C9orf6	9	111695707
cg07281688	0.010516475081369	PTGES3	12	57082442
cg07284407	0.570540354990743	GNAS	20	57429858
cg07284558	NA	STK32C	10	134122421
cg07285167	0.892133021767815	CSF3R	1	36948981
cg07285276	0.772336759713014	RAPGEF1	9	134613015
cg07285838	0.0388701164989034	C4orf29;MFSD8	4	128886005
cg07285953	0.952779748661571	CRYBA1	17	27572551
cg07288394	0.0422450037391953	C19orf12	19	30205772
cg07288587	0.0119049135534992	CSNK1G1	15	64648415
cg07289581	0.0235652077437346	MRPS35	12	27864261
cg07290273	0.0181195066523013	TMEM17	2	62733114
cg07290435	0.490503971069733	NA	NA	0
cg07291563	0.0118752215573534	GRWD1	19	48949441
cg07292816	0.845530312390454	EFCAB3	17	60457116
cg07293947	0.0308599248551092	SFXN1	5	174905244
cg07294541	0.0163864827720789	DEF6	6	35265555
cg07294734	0.351694576338093	ATP5D	19	1242323
cg07294774	0.0497302571262406	DIO2	14	80678613
cg07294870	0.0231154342844929	PIGT	20	44044586
cg07295034	0.0186599525247385	SMG1	16	18937261
cg07295092	0.0201830523462824	FPGS	9	130565376
cg07295678	0.101990585858941	DPYSL4	10	134000009
cg07296772	0.816748746715799	MDP1;CHMP4A	14	24683528
cg07297178	0.870844886970779	CEACAM7	19	42193084
cg07297906	0.573760654480439	GPC3	X	133119578
cg07299462	NA	MED8;C1orf84	1	43855490
cg07300408	0.748738013769681	RNASE12;RNASE11	14	21058360
cg07301004	0.0209275369616213	ARPC3	12	110887501
cg07301822	0.0165894180263875	NA	NA	0
cg07306197	0.0188621928760005	ZNF266	19	9546377
cg07307078	0.686202031880372	TUBB6	18	12307630
cg07308943	0.0127719354801394	TRMT61B	2	29093510
cg07309102	0.0404025566405706	KLF4	9	110251826
cg07309361	0.00904885608478925	PCBP4	3	52001477
cg07309374	0.0242039943708986	PDIA5	3	122786091
cg07310661	NA	CUL3	2	225449833
cg07310951	0.602974744654114	PEG3;ZIM2	19	57350503
cg07311845	0.121534985299095	TMLHE	X	154842736
cg07312445	0.0264033634695231	NSUN7	4	40752151
cg07313155	NA	THRA	17	38218601
cg07314337	0.0136825930630757	ARL6IP6;PRPF40A	2	153574424
cg07314414	0.0502371638337904	SAP130	2	128784923
cg07314549	0.0167587453884017	ERI2;LOC81691	16	20817501
cg07314984	0.146736576213738	PHKA2	X	19003243
cg07315298	0.955292302026631	NA	NA	0
cg07315445	0.0123393022044658	MYL6	12	56551994
cg07318658	0.0208808478000867	MTMR4	17	56594994
cg07321605	0.885881394846724	NA	NA	0
cg07322981	0.0161608230052596	RNF103	2	86850757
cg07326074	0.0134048600690727	C16orf59	16	2510388
cg07326586	NA	UBD	6	29528119
cg07327328	0.0295314682055853	CEP250	20	34042631
cg07327347	NA	AQP8	16	25228004
cg07327468	0.517558722142012	EYA4	6	133561765
cg07328495	0.0320399703314142	SMC2	9	106856765
cg07328579	0.100340011276565	GLT8D2	12	104443770
cg07330329	0.0797948445517672	NA	NA	0
cg07330718	0.0196772638699986	HYOU1	11	118927777
cg07331725	0.944733309337864	SERPINB5	18	61157478
cg07331806	0.239326507429056	AIFM3	22	21319894
cg07334912	NA	DTD1	20	18569196
cg07336230	0.0102332254145617	KIF6	6	39693357
cg07337598	0.591794847831764	ANXA9	1	150953943
cg07338205	0.432520513119055	G6PC2	2	169757780
cg07339138	NA		3	42820274
cg07339327	0.979710541962524	NA	NA	0
cg07341907	0.0197224756817612	UNC13B	9	35161971
cg07342016	0.612875819397224	RAB33A	X	129306129
cg07342545	0.020848226212722	FOSL2	2	28616193
cg07342901	0.950810082901188	H19;MIR675	11	2018724
cg07346310	0.0671754041966764	RBM24	6	17282354
cg07347137	0.0242589872714265	ZCCHC11	1	53019316
cg07347645	0.323316438515443	SYCP2	20	58507171
cg07347725	0.0272427813226989	MORN5;NDUFA8	9	124921437
cg07348311	0.016203335460004	IFIH1	2	163174896
cg07349094	0.680857197134993	AFF3	2	100759014
cg07351267	0.424413675963816	LRP3	19	33684846
cg07352586	0.00822491701914395	KIAA1919	6	111580316
cg07352600	0.0219149483160602	C16orf70	16	67143525
cg07354209	0.263142600210598	NA	NA	0
cg07354440	0.825570062956906	NDUFS2;ADAMTS4	1	161168889
cg07355551	0.0322111262304395	ZNF343	20	2489285
cg07356189	0.987815745632713	TEX28;TKTL1	X	153523329
cg07356753	0.0123553469600849	GBE1	3	81810745
cg07356771	0.0291764805420492	IL17RB;CHDH	3	53879950
cg07357256	0.0185052837452412	MRPS26	20	3027028
cg07359545	0.723436775192744	GP1BB;SEPT5	22	19711327
cg07360076	NA	FGFR3	4	1794639
cg07360692	0.507661778129632	NA	NA	0
cg07361385	0.599729050983945	AHSG	3	186331026
cg07363637	0.398437535349199	SLC44A4	6	31846996
cg07364638	0.011014375067234	NGRN	15	90808673
cg07364841	0.879558989570798	HGFAC	4	3444147
cg07366967	0.921112336440061	EXD2	14	69675438
cg07369274	0.176670792076732	NA	NA	0
cg07371290	0.0167971554158394	HDAC5	17	42200522
cg07371530	0.809469455274814	RPUSD1;CHTF18	16	839581
cg07373172	0.79916492416718	NA	NA	0
cg07374145	0.00659060719634593	ARRDC2	19	18111823
cg07374632	0.520140836620037	PCSK1N	X	48693665
cg07374637	0.788120868209733	KRTAP19-5	21	31875448
cg07374928	0.881609081060574	FAM118B	11	126099286
cg07376029	0.686701051872912	GC	4	72650992
cg07376232	0.565186104986046	AMICA1	11	118084920
cg07376535	0.154379084250462	ADCYAP1	18	905450
cg07378350	0.239605191784786	GDF5	20	34027324
cg07379574	0.553374094289054	TMEM59L	19	18724173
cg07380416	0.763464616251518	CD6	11	60739172
cg07380496	0.013572839277451	MAP1B	5	71403420
cg07380959	0.0246448030002572	TFPI2	7	93520323
cg07383972	0.0168714212220133	NUP205	7	135242951
cg07384961	0.178384230789926	CLDN6	16	3068128
cg07387199	0.0129248531562033	CCDC45;DDX5	17	62502055
cg07387450	0.0177272419473413	TMED5;CCDC18	1	93646168
cg07388493	0.537533345961855	NDUFS5	1	39491459
cg07389922	0.0234625888601568	DULLARD;C17orf81	17	7154007
cg07393322	0.117926084387067	A4GALT	22	43117318
cg07395788	0.0196044155024194	PDSS2	6	107780783
cg07398350	0.0237134374180897	C16orf57	16	58035398
cg07398429	0.496278152456864	MAGEB4	X	30260301
cg07399355	0.027856301551856	MUC1	1	155163013
cg07401901	0.0118833796793139	DAAM1	14	59655405
cg07403255	0.7130175769133	NA	NA	0
cg07403350	0.378176070652409	LIG4	13	108867111
cg07404418	0.0432980093278897	LRWD1;ALKBH4	7	102104807
cg07404485	0.806413143825292	PON1	7	94953653
cg07405796	0.663862674237843	TRIM40	6	30104552
cg07408456	0.419096423823787	PGLYRP2	19	15590532
cg07408740	0.314716469358422	OGDH	7	44645306
cg07409200	0.577112883903028	C13orf30	13	43354674
cg07410075	0.0159997363819693	CCDC6	10	61666543
cg07411229	0.0276338082419919	GPATCH2;SPATA17	1	217804382
cg07412254	0.815828936815056	LOC84931	2	121223534
cg07413497	0.0278945882663528	C6orf57	6	71276640
cg07414384	0.0340514474134824	BAZ1A	14	35344667
cg07421682	0.910454870148113	PCSK6	15	102030850
cg07422345	0.0194910806322274	LOC80054;CEBPA	19	33793987
cg07423149	0.587147419136741	CHI3L1	1	203156246
cg07423906	NA	C17orf56;C17orf89	17	79212344
cg07424155	0.0148454414848866	CAPZA2	7	116503126
cg07425555	0.6733112670915	PODNL1	19	14049018
cg07426848	0.665281720698471	S100A3	1	153521712
cg07426960	0.225295476405758		11	69469290
cg07427065	NA	MESTIT1;MEST	7	130130596
cg07428089	NA	ATP5G3	2	176046170
cg07428182	0.728339373392554	PLXNA3	X	153686926
cg07430605	0.0142016909068025	BRD8;KIF20A	5	137514261
cg07432969	0.900242822041671	GPR35	2	241569557
cg07433344	0.0136655186131111	HSD17B8	6	33172450
cg07433453	0.877171213238546	C7orf50;GPR146	7	1097027
cg07434278	0.699916967252346	NA	NA	0
cg07434382	0.526454767552256	NA	NA	0
cg07435592	0.0700275160062033	DCBLD2	3	98619796
cg07436807	NA	ACTA2	10	90712767
cg07437033	0.0253602984171037	ZBTB17	1	16302232
cg07440387	0.0183670306077055	SFRS6	20	42086266
cg07440414	0.0125599086979259	TCF7	5	133451021
cg07440877	0.695815878221518		13	24523079
cg07441143	0.35658377444747	SLURP1	8	143824001
cg07441272	0.014590408206209	RPL39L	3	186857475
cg07442479	0.132831776370559	GDNF	5	37839769
cg07443748	0.289961407957877	CCT8L2	22	17073594
cg07443954	0.0161548498511967	SEC1;CA11	19	49149573
cg07444907	0.0242492344919071	UBLCP1	5	158690182
cg07446572	0.792814448832155	CDCA3	12	6959518
cg07446846	0.853656474130001	SLC6A8	X	152952362
cg07447773	0.702027272228882	AKR7A3	1	19614851
cg07447922	0.0585548126159726	EPHA10	1	38230827
cg07448460	0.0320731459145144	GGH	8	63951879
cg07448499	0.0368074296415791	CTSH	15	79237157
cg07448856	0.0120709559620002	ZNF670	1	247242043
cg07452799	0.0181583245859699	PARD3	10	35103869
cg07453618	0.0102000294588755	TPRG1L	1	3541082
cg07453748	0.917622488224669	MGMT	10	131355302
cg07454215	0.0154658010509091	DCP1A	3	53381805
cg07455279	NA	NDUFA3	19	54605703
cg07455975	0.0145966285051379	OLA1	2	175112849
cg07456201	0.912619690791438	UMOD	16	20363711
cg07456645	0.260325038751085	C19orf30	19	4769146
cg07457944	0.0236320980155387	SOCS6	18	67957061
cg07459264	0.0402516791284608	NECAP2	1	16767326
cg07459489	0.9019062287602	SLC30A8	8	118147163
cg07460665	NA	CALCOCO2	17	46908912
cg07461318	0.0232915044247272	NTN4	12	96184965
cg07461582	0.0107280617376938	RINT1	7	105172722
cg07463059	0.030257494826515	IFI16	1	158979810
cg07465480	0.0262015100708199	TPMT;KDM1B	6	18156341
cg07465609	0.75523139166962	EYS	6	66205227
cg07465864	NA	YTHDC2	5	112849162
cg07466531	NA	SRP14	15	40331758
cg07469792	0.0115633689504437	RASSF8	12	26112121
cg07471052	0.701606280927363	CDK3;C17orf106	17	73996245
cg07472159	0.853644033211664	COL10A1;NT5DC1	6	116447667
cg07473175	0.0189970807301227	AMIGO2	12	47474262
cg07473550	0.251876155916694	TSC22D3	X	107019191
cg07474356	0.0244316923379826	PCDH11X	X	91034003
cg07475247	0.01438080479324	PMPCB	7	102938279
cg07475743	0.714576994518011	NA	NA	0
cg07476030	0.736039655177474	RTN4IP1;QRSL1	6	107078648
cg07477160	0.0116495396255014	NDRG1	8	134309501
cg07478100	0.0111936489100622	MIS12;DERL2	17	5389857
cg07478122	0.538471471386046	PAR5	15	25230421
cg07478208	0.290587577536473	MEIS3	19	47923331
cg07479491	0.0360596919438682	BMP6	6	7726108
cg07480567	0.112217990411133	HS3ST3A1	17	13505174
cg07482936	0.0855123860573837	C17orf82	17	59488635
cg07483064	0.0102773112242437	ENO1	1	8938751
cg07484450	0.719437226383865	C11orf64	11	60383361
cg07484827	0.628467797910199	CHRNA10	11	3693157
cg07485588	0.618535041803626	NA	NA	0
cg07485777	NA	TRIM60	4	165952835
cg07487535	NA	DHCR7	11	71159905
cg07489003	0.824039129382886	XK	X	37545586
cg07489134	0.0123676299125677	HELLS	10	96305958
cg07490776	0.0102186459483816	AP3M2	8	42010169
cg07494047	0.0114570985601565	ZNF304	19	57862713
cg07494248	0.020169036959764	HSPD1;HSPE1	2	198365610
cg07494518	0.010499579696866	SIK1	21	44847608
cg07495664	0.0250562962873958	FAM63A	1	150978905
cg07496861	0.0105287568268046	FAM119A	2	208489667
cg07496902	0.910318076552743	ASB14	3	57314448
cg07498421	0.0355009982669214	CRADD	12	94071223
cg07498879	0.70433055677274	OSM	22	30663041
cg07499072	0.0877876064968954	FST	5	52776694
cg07499372	0.971038470157322	USP29	19	57631232
cg07499806	0.899426512920676	ZSCAN5A	19	56739868
cg07501965	0.235319680964946	NA	NA	0
cg07503829	0.0235640384348311	PSMD13;SIRT3	11	236309
cg07504718	0.7511091228689	MMP21	10	127465376
cg07504780	0.0163204543483648	PSMB9;TAP1	6	32821684
cg07505695	0.0333218174078031	SPG21	15	65281854
cg07506795	0.933283816897276	ZNF19	16	71523560
cg07507271	0.00896459027093238	C4orf42;CTBP1	4	1242751
cg07509155	0.280386992015001	IL28RA	1	24514412
cg07510052	0.138714959078843	NA	NA	0
cg07510080	0.0480358652687944	HIF1AN	10	102295549
cg07512345	0.962082167308513	TNP2	16	11362839
cg07512517	0.388521306056385		7	38408106
cg07514381	0.375337829925565	NA	NA	0
cg07515662	0.019281864199623	RPS26	12	56435880
cg07516225	0.02668915697202	C8orf41	8	33371225
cg07518362	0.00990114109588827	NOTCH2	1	120611593
cg07519011	0.0310602766246882	TBC1D4	13	76056421
cg07520158	0.0136016983068736	LSM5;AVL9	7	32535189
cg07520161	0.0247266790148474	TMTC3;CEP290	12	88535980
cg07525077	0.148331241017853	RNASE3	14	21359943
cg07525445	0.0270815412458228	TPM1	15	63335302
cg07526021	0.0116270558935572	MSH3;DHFR	5	79950611
cg07526069	0.011887990003398	GOT1	10	101190311
cg07526675	0.792626903103219	PCSK1N	X	48694367
cg07531356	0.59715497565073	INSL6	9	5185951
cg07533148	0.0183343452819036	TRIM58	1	248020812
cg07533529	0.0790283996404109	ROM1;EML3	11	62379499
cg07534467	0.0349179922440723	ZNF16	8	146176336
cg07535475	0.0272443817194526	ALG2;SEC61B	9	101984791
cg07535879	0.0207329698023666	MTRF1L	6	153323363
cg07536847	0.562354359702067	PAX7	1	18957232
cg07536920	0.0139527373366898	RORB	9	77112326
cg07537523	0.0514889353180887	BCAT1	12	25102311
cg07540118	0.0211037825769698	ADAM19	5	157002713
cg07543883	0.6610924306731	ANGPTL6	19	10213271
cg07545232	0.674091870029056	NA	NA	0
cg07545925	0.531180098174737	CD3G;CD3D	11	118214927
cg07546360	0.655964035038425	LOC400931	22	46482023
cg07548313	0.391017642970364	CD1C	1	158259926
cg07549194	NA	PTH2	19	49927076
cg07549630	0.00835666576903369	NEDD1	12	97300822
cg07549715	0.781106159506483	GNRH2	20	3024204
cg07550267	0.0164512013939816	SNORD46;RPS8	1	45241824
cg07550278	0.0196097880004378	C10orf4	10	95462365
cg07550362	0.574749866708846	TAC1	7	97361201
cg07551659	0.173892572407157	CGNL1	15	57669165
cg07554030	NA	NAGLU	17	40687935
cg07557424	0.0453109788080438	C9orf23	9	34613043
cg07558006	0.928727983919927	TAAR8	6	132874263
cg07558455	0.0622891130025708	KANK4	1	62784762
cg07559730	0.0283152208915437	ZNF702P	19	53497048
cg07560096	0.0360098593132539	ME3	11	86383182
cg07561400	0.0151147745415769	ZC3HAV1	7	138794433
cg07561588	0.0160611777640121	RNF139	8	125487055
cg07566050	0.870172762871207	PEA15	1	160174755
cg07567107	0.00567900308542179	HEATR6	17	58156231
cg07569069	0.0183189374349576	C19orf39	19	11485349
cg07569756	0.0212805634357697	LRRC59	17	48474564
cg07570142	0.0404302008555699	MOXD1	6	132722421
cg07570421	0.0250315020762165	PTER	10	16479076
cg07571117	0.0113938257346166	FAM98A	2	33824316
cg07572341	0.0916166811544497	FOXA2	20	22565881
cg07572435	0.893732851367266	LY6D	8	143868013
cg07576541	0.33494869334577	SNAPIN	1	153630883
cg07577263	0.0228420053706578	NUP205	7	135242585
cg07579404	0.0976750358139619	RAET1L	6	150346721
cg07580475	0.851105592538382	SEMA3B	3	50304049
cg07580827	NA	PIH1D2	11	111943186
cg07581365	0.0155372002694866	CBX8	17	77770444
cg07581973	0.604185544034882	PRDX4	X	23685729
cg07584959	NA	MED16	19	892937
cg07586911	0.907787379771232	FAM71F1	7	128355717
cg07588113	0.0136803252451094	C7orf63	7	89874465
cg07588664	0.102838840779822	NA	NA	0
cg07588779	0.0587028706065907	GPR137;BAD	11	64051753
cg07589355	0.0559537709884062	RBMS2	12	56915842
cg07590705	0.0117083302112542	CHCHD3	7	132766510
cg07592353	0.882462470615704	GABRA6	5	161113339
cg07594478	0.0176642145022327	ARIH1	15	72766470
cg07594933	NA	CCDC77	12	515355
cg07595113	0.0232076229079678	MYBL1	8	67525279
cg07595943	0.97160072565473	ADAD2	16	84224901
cg07596401	NA	LHPP	10	126150086
cg07596494	0.0137467709489753	KIF3C	2	26205095
cg07597871	0.0213184467462545	RAP1A	1	112162932
cg07597976	NA	CD19	16	28943019
cg07598199	0.498215058955033	MYOZ2	4	120056829
cg07599644	NA	C11orf41	11	33693866
cg07601320	0.587961677639081	SLC38A4	12	47219841
cg07602026	0.0170770726228132	PSME1	14	24605550
cg07602200	0.0256057045894071	P2RX7	12	121570875
cg07603484	0.850486592351404	NUP62;IL4I1;ATF5	19	50434179
cg07605143	0.829438359682694	EMP3	19	48827843
cg07607462	0.0217119630754255	UBR1	15	43398173
cg07607921	0.0528881500174692	ZZEF1;CYB5D2	17	4047574
cg07608333	NA	CD209	19	7813422
cg07611177	0.0193288014355315	SLC25A46	5	110074217
cg07611334	0.0782899744982746	NRSN2	20	327811
cg07611925	NA	KCNE2	21	35736383
cg07612655	0.715612316866304	PTGIS	20	48185517
cg07613153	0.550253824134956	TDRD9	14	104436947
cg07613278	0.156352268135086	API5	11	43333327
cg07614786	NA	TTLL3	3	9860331
cg07617246	NA	IGDCC4	15	65715951
cg07617560	0.00902535273875084	DNAJA3	16	4475932
cg07618900	0.114543697042463	BEST3	12	70093350
cg07619076	0.0944343301635722	NA	NA	0
cg07621042	0.98241954452328	RBMXL3;LRCH2	X	114424768
cg07621046	0.685070475936088	C10orf82	10	118429658
cg07621456	0.93235469042907	CCDC48	3	128749537
cg07623294	0.149764590346291	ELAVL2	9	23826507
cg07625840	0.0484322435975627	PRSS12	4	119274341
cg07628086	0.0113181679604386	AP2B1	17	33914258
cg07629017	0.111768361783813	NPBWR1	8	53851613
cg07633499	0.0655334402735291	UFD1L;CDC45L	22	19467075
cg07634191	0.342755323828674	SCARA5	8	27850178
cg07634204	0.0327246869193354	VPS72	1	151162707
cg07634706	NA	CCL17	16	57438524
cg07636178	0.0177577573666669	HIST1H3C	6	26045534
cg07637239	0.659392449571435	KCNK18	10	118957259
cg07638871	0.0191663673738214	MIER3	5	56247860
cg07638935	0.0829358703121555	KAZALD1	10	102821427
cg07638938	0.866942516407917	MGMT	10	131348599
cg07639198	NA	AKR1C1	10	5004250
cg07639720	0.0310679626358552	BNC1	15	83952875
cg07639959	0.0180204274195141	EXO1	1	242011162
cg07640473	0.0371838495913821	SEMA3F	3	50193232
cg07640820	0.0321065524235415	AGK	7	141251633
cg07641524	0.067128162247322	MSRB3	12	65672405
cg07642638	0.224550800383018	CHGB	20	5891786
cg07643942	0.755317345596166	LACRT	12	55029147
cg07644368	0.599916513997115	CDO1	5	115152785
cg07651242	0.0660995292480673	ADCY1	7	45614720
cg07651857	0.028985086039682	RNF4	4	2471025
cg07651914	0.773996183198903	CLDN15	7	100881986
cg07652213	0.0171104520933816	MSH6	2	48010362
cg07652553	0.016802896996165	NA	NA	0
cg07654843	0.965616578763176	MYO18B	22	26138429
cg07654896	0.883972005389223	RGN	X	46937829
cg07654934	0.0959411113701779	LXN;GFM1	3	158390329
cg07655627	0.0517179828402157	NUDT12	5	102898729
cg07656304	0.0585336754515532	NAP1L1	12	76479148
cg07656362	0.0194564333566939	C1orf91;EIF3I	1	32688117
cg07656391	0.0483655045823594	DPY30	2	32264720
cg07657236	0.484043974449758	KCNH8	3	19190202
cg07657776	0.730503598583342	UBE3B;KCTD10	12	109914065
cg07658590	0.594899403567132	SLC19A1	21	46963587
cg07658718	0.0225911494789587	CDK5R1	17	30814514
cg07660236	0.485304759326661	ZSCAN12	6	28367883
cg07663789	0.0177146608921028	NPR3	5	32711429
cg07664027	NA	RPL13AP5;RPL13A	19	49990137
cg07664183	NA	HAUS6	9	19103231
cg07664856	0.0902989466082495	CNTN6	3	1134528
cg07665060	0.687667580700101	C19orf33;YIF1B	19	38794598
cg07666065	0.0400227420344441	PON2	7	95064469
cg07667595	0.0222382833796286	ZNF576;IRGQ	19	44100631
cg07668036	0.0167997107826511	PSMD4	1	151227536
cg07671208	0.656722850019131	NA	NA	0
cg07671603	0.0156176645260006	C7orf13;RNF32	7	156433350
cg07671949	0.0922974821175083	ESR1	6	152128338
cg07671976	0.03585139746301	TNFRSF18	1	1142215
cg07672479	0.0148042901481985	DYNC1H1	14	102431106
cg07673945	0.0121474456397354	NA	NA	0
cg07674153	0.0256327230384064	TSHR	14	81421600
cg07675169	0.393939336644063	FLJ16779;NKAIN4	20	61886262
cg07675682	0.700636411696881	SLC26A11;SGSH	17	78195515
cg07676849	NA	FOLR3	11	71845665
cg07677850	0.797139456788214	ADORA2B	17	15847412
cg07678643	0.0313534198037203	C1orf212	1	35325113
cg07679836	0.712436933189337	BAK1	6	33548423
cg07681084	0.023013526581745	LMBR1	7	156685826
cg07684150	0.00930363038206116	BRP44;DCAF6	1	167906751
cg07684353	0.031759983334094	MYO1E	15	59664799
cg07684796	0.0680521142626875	DKK1	10	54074209
cg07684809	0.484020701296461	GLIPR1L1	12	75728212
cg07685034	0.682305715821898	PCBP3	21	47269627
cg07685221	0.0212771184171836	QTRT1	19	10812325
cg07685786	NA	S100B	21	48025691
cg07685869	0.1704034579404	KIFC3	16	57836706
cg07686479	0.476421181940185	LMX1A	1	165325030
cg07688234	NA	CFP	X	47489663
cg07688613	0.0176195454563851	INTS3	1	153700021
cg07688933	0.0241193799287941	TMEM160	19	47551971
cg07689731	NA		1	31393915
cg07689821	0.0240205333155844	DAXX	6	33290736
cg07690018	0.024122233463024	CPNE7	16	89642492
cg07693270	0.170607304258736	RPL39L	3	186856928
cg07694025	0.241640667214601	SFRP2	4	154709441
cg07695590	0.0256674593551997	CEBPZ;C2orf56	2	37459068
cg07696033	0.0828480695126706	ALX4	11	44326410
cg07697078	0.0252405321242275	PFDN1	5	139682675
cg07697569	0.0149895129220631	H2AFX	11	118966186
cg07699362	0.0309961286886202	NA	NA	0
cg07699440	0.0127066455850572	FAH	15	80445357
cg07703337	NA	ZNF610	19	52847943
cg07703401	0.622934466790987	HBQ1	16	230341
cg07704144	0.02157212035294	SNPH	20	1247415
cg07705835	0.318811498910577	IL17RC	3	9959128
cg07705908	0.302948818440407	SPDEF	6	34523925
cg07706067	0.0180304605764254	DHRS7B	17	21030370
cg07706362	0.0224497994385656	ZNF91	19	23578365
cg07707227	0.034194930475883	MIR449C;CDC20B	5	54469532
cg07707498	0.0273162338478162	C16orf87	16	46865555
cg07708788	0.0211743851106872	SLCO2A1	3	133748311
cg07710481	0.0656986380597581	SLITRK5	13	88325384
cg07711097	0.465926349547406	GML	8	143915954
