Hybridization REF	TCGA-BH-A0DE-01A-11D-A112-05	TCGA-BH-A0DE-01A-11D-A112-05	TCGA-BH-A0DE-01A-11D-A112-05	TCGA-BH-A0DE-01A-11D-A112-05
cg05261299	NA		12	52437299
cg05261824	0.866841693881398	ZNF165	6	28046730
cg05262335	0.353066962986338	TAGAP	6	159466062
cg05263682	0.05055913619055	RNGTT	6	89673273
cg05266460	0.858337223818476	LOC91316;RGL4	22	24032819
cg05266781	0.0329178027784757	IRX5	16	54965492
cg05270634	0.775344665313512	RND2	17	41177445
cg05275231	0.0975517370332277	DCAF13;SLC25A32	8	104427896
cg05275605	0.537280940827482	NCRNA00175;COL18A1	21	46844883
cg05275752	0.643701846718759	GALM	2	38892887
cg05276137	0.0144632463317612	SLC2A4RG	20	62370796
cg05279707	0.036661790428318	ADNP	20	49547986
cg05279864	NA		7	87109319
cg05280555	0.0294470995645259	CNOT10	3	32727089
cg05284582	0.0170582527382066	DNAJC18	5	138775061
cg05284724	0.0392569422767933	TTC26	7	138818658
cg05286874	0.1497417240227	ABCA1	9	107690485
cg05287690	0.0915605167321816	FBXW7	4	153456344
cg05288569	NA	KLHL11	17	40021733
cg05288803	0.0169131026250049	SYN3;TIMP3	22	33198055
cg05289701	0.0181680389114721	C12orf11;FGFR1OP2	12	27090805
cg05290904	0.0557733090284919	RBBP5	1	205091401
cg05291178	0.896098257710155	C3orf24	3	10149466
cg05292376	0.61354822877271	AATK	17	79095236
cg05293216	0.90359544764448	FANCG	9	35080812
cg05293407	0.028238303129532	TRIM27	6	28891967
cg05294095	0.0112664673744452	PSMD8	19	38865080
cg05294243	0.127887667155122	KLK13	19	51569106
cg05294455	0.795096604827091	MYL4	17	45286609
cg05300132	0.90153686569856	EXD2	14	69676275
cg05301102	0.0423550899342876	STX6	1	180992117
cg05301852	0.523384379293291	FABP1	2	88427827
cg05303448	NA	AACS	12	125549535
cg05306006	0.0132988521378895	RPE	2	210867127
cg05306176	0.145214935803682	KDSR	18	61034324
cg05306735	0.0391696323751146	ZNF273	7	64363575
cg05307923	0.0226970029381424	ADARB2	10	1779667
cg05308484	0.0181397795302469	C12orf5	12	4429999
cg05308617	0.0534543304171696	ARMC8	3	137906066
cg05310071	0.0732208533722983	PIGL	17	16120569
cg05311623	0.0677217920711967	ANXA5	4	122618007
cg05313261	0.0574650249749267	MAPK3	16	30134350
cg05316065	0.564487153809673	GSDMC	8	130799007
cg05318777	0.110964888491727	BBS7	4	122791956
cg05321960	0.0880649149059683	KIAA0907	1	155904084
cg05322019	0.66299272494905	SEMA4G	10	102732323
cg05322222	0.182885872824924	TMEM151A	11	66059064
cg05323436	0.0243829328079586	LAMB2	3	49171185
cg05325699	0.173730349397983	HAP1	17	39890756
cg05327750	0.111064117538445	RBM41	X	106361572
cg05330360	0.82086897285132	ZPBP2	17	38023993
cg05331214	0.529605608089696	SCN7A	2	167343774
cg05333568	0.380966047608015	C1orf65	1	223566794
cg05334239	0.0427025948162604	C15orf57	15	40857495
cg05334253	0.0193724338373859	NDEL1	17	8338877
cg05335315	0.417217488569598	JAG2	14	105635708
cg05337441	0.124704855251342	APOB	2	21266568
cg05337966	0.0167750739882844	C13orf1	13	50510151
cg05338155	0.0234913087384672	IFIT5	10	91174651
cg05338167	0.809327824774515	CALML4	15	68498251
cg05339305	0.170712788175971	CCDC85B	11	65657822
cg05339472	0.0133975247519928	EIF1AX	X	20159528
cg05341115	NA	HYAL4	7	123485591
cg05341670	0.0300846001318627	TMEM59;C1orf83	1	54518153
cg05341878	0.75669943132057	NA	NA	0
cg05342835	0.210227017700488	SYNC	1	33160791
cg05343453	NA	C7orf45	7	129847153
cg05345286	0.234713597553712	MDFI	6	41606641
cg05346140	0.938852205360167	HSPB9	17	40275057
cg05346899	0.0360843138979994	LASS4	19	8273912
cg05347567	0.0250368736684075	ZC3H10	12	56512408
cg05348123	NA	SCRG1	4	174321584
cg05348272	0.0123639142331229	TBCD	17	80710049
cg05348870	NA	TNFSF14	19	6671045
cg05350879	NA	SPARCL1	4	88451223
cg05352541	0.00927235433516708	PITPNB;LOC284900	22	28315563
cg05352668	0.879644611609232	C1orf127	1	11023756
cg05354432	0.0193919166475267	LEF1;LOC641518	4	109089890
cg05357320	NA	ZNF317	19	9251080
cg05358291	0.468790978304859	CYP4F2	19	16009219
cg05358404	0.708829751197845	RTEL1	20	62288950
cg05360220	0.0320859193245354	NA	NA	0
cg05360265	0.098440965847861	STXBP5	6	147525477
cg05361373	0.0474084889122111	PYCARD	16	31213883
cg05361811	0.032687286012896	UTP20	12	101674038
cg05362516	0.0245782917868389	IRX5	16	54965089
cg05362669	0.165718110749316	PTPRG	3	61547285
cg05364569	0.461352044894214	NA	NA	0
cg05365525	0.037258262696536	DEPDC6	8	120885882
cg05365670	0.567014183464881	LPCAT1	5	1524551
cg05365729	0.367776716315967	LOXL2	8	23262073
cg05366401	0.0158093756983983	TM9SF1	14	24664722
cg05367858	0.0171596438134338	RNF141	11	10562295
cg05368089	0.0231378859143314	PFDN5	12	53689374
cg05368341	0.083372871253508	SYT6	1	114696465
cg05368762	0.0439287862312447	TMBIM6	12	50135785
cg05368942	0.028745230012081	RBM15	1	110881960
cg05369142	0.0103439093020269	ALS2CL	3	46735009
cg05369166	0.098277270205333	NFASC	1	204797507
cg05372736	0.449820049648733	NA	NA	0
cg05373276	0.0108286263830847	NA	NA	0
cg05373457	0.434180741126499	KCNS2	8	99439948
cg05373692	0.244498018047347	ZDHHC15	X	74743375
cg05375800	0.0192555697997234	WDR31	9	116102362
cg05376895	0.625302058549258	PNMA3	X	152225366
cg05376954	NA	FPR1	19	52255673
cg05379350	0.224344061854218	GIT1	17	27917157
cg05380570	0.0256522651892229	ARHGEF10L	1	17866686
cg05380910	0.716796872882704	STOML3	13	39564046
cg05380982	0.214547968283717	KCNJ6	21	39288378
cg05382123	0.0570048203857881	C1orf94;CSMD2	1	34632585
cg05382565	0.028837257384466	HMGXB3;TIGD6	5	149380781
cg05382730	0.010382644617645	PHB2;EMG1	12	7080038
cg05384917	0.969708310115101	GPR109B	12	123200953
cg05385377	0.264310929801076	TMEM51	1	15480844
cg05386606	0.0830015870219426	BCL7B	7	72972279
cg05388361	0.0173867859221856	STAT2	12	56754238
cg05389024	0.593903577689401	KBTBD10	2	170366131
cg05389183	0.0515052803515116	PPIC	5	122372942
cg05389335	0.341426356858421	TACR3	4	104641319
cg05390437	0.0169409636641975	NA	NA	0
cg05392265	0.39718078650547	DIRAS3	1	68516453
cg05393484	0.457874348432853	OR6A2	11	6818466
cg05394497	0.0122274572369936	DCAF17;METTL8	2	172290564
cg05395196	0.0171194891504715	HSF2	6	122720661
cg05395995	0.142080093096284	NA	NA	0
cg05396987	0.240321761034935	TMEM155;LOC100192379	4	122686269
cg05397738	0.673440443734591	PGRMC1	X	118369571
cg05399360	0.0263451577059429	MICB	6	31466003
cg05399553	0.042648469045752	SNRPB	20	2451552
cg05399697	0.516047345551737	NA	NA	0
cg05399707	0.0222883255946238	TRIP10	19	6739813
cg05401645	0.00613051676042626	FAM134C;TUBG1	17	40761567
cg05402265	0.0456957080081178	ICK	6	52926119
cg05403071	0.0172339633048221	SNAI1	20	48599682
cg05404787	0.913663836730406	C2orf48	2	10281526
cg05406101	0.890141443316481	RWDD2B	21	30392219
cg05409038	0.0248243908431095	TEX261	2	71221890
cg05409601	0.0436700195266798	CCNG2	4	78077912
cg05411032	0.0225063238698116	CLPTM1	19	45459158
cg05412136	0.081512435296168	CLTA	9	36191352
cg05412531	NA		8	125183758
cg05413282	NA	PRSS3	9	33796088
cg05414225	0.0241792756799187	C9orf6;IKBKAP	9	111696926
cg05414338	0.0497696938270552		6	26250347
cg05417615	0.0266111095820637	SLC10A7	4	147443478
cg05417950	0.0877992387306472	NUDT6;SPATA5	4	123843025
cg05417985	0.00886350823927139	ENPP1	6	132128945
cg05418129	0.512663598286999	NA	NA	0
cg05418487	0.161004151744103	KCNQ1	11	2466889
cg05419984	NA	PIGX;C3orf34	3	196438463
cg05420896	0.0730706521241064	DCC	18	49867488
cg05421555	0.0119992414877641	AKAP13	15	85924342
cg05421673	0.227254231097723	NOG	17	54671575
cg05421688	0.274090586149361	FAM163A	1	179711859
cg05421946	0.011897879186795	ABHD6	3	58223373
cg05422352	NA	COPS7B	2	232650747
cg05423257	0.671703583896645	ALPI	2	233321600
cg05428978	0.073963315986318	CDCA7	2	174219986
cg05429895	0.255498126389004	TLR4	9	120466640
cg05432118	0.0114078923805436	PRKAB1	12	120105824
cg05433460	NA	ARHGAP1;ZNF408	11	46720913
cg05434957	0.0104981633182779	ICA1	7	8301435
cg05435853	0.0325402219533854	RNF41	12	56615825
cg05436231	0.629041166350665	CD164L2	1	27709789
cg05436658	NA	PRKCB	16	23847568
cg05437059	0.579262007563038	KCNE1L	X	108868775
cg05439318	0.0224046943942759	CYB5B	16	69458329
cg05439368	0.724304238908501	TRIM69	15	45028098
cg05440218	NA	KIAA0196;NSMCE2	8	126104540
cg05440289	0.511595572779954	IVL	1	152881119
cg05441133	0.60237366815826	GDF2	10	48416891
cg05442902	0.555334416299766	MGC16703;P2RX6	22	21369010
cg05443740	0.0342430954227976	KCNIP3	2	95963057
cg05444024	0.83059808485092	FUT6	19	5841072
cg05445326	0.778167707861091	TM4SF19	3	196065569
cg05446471	0.932808768866246	HDAC11	3	13522740
cg05449414	0.063310116103909	ZNF721;ABCA11P	4	467983
cg05449607	0.081150031010556	GTF3C6	6	111279612
cg05450995	0.0461323415682251	BCL7A	12	122460105
cg05451974	0.0118597794324684	SYS1;SYS1-DBNDD2	20	43991922
cg05454446	0.452721101386743	BMS1	10	43277757
cg05457411	0.0310016402136407	DDX19A	16	70381052
cg05459203	0.0308064211789651	NUDCD3	7	44530674
cg05461276	0.865118896016768	NA	NA	0
cg05461841	0.0779435630377462	ZG16B	16	2879944
cg05462826	0.0260560011200395	ABI2	2	204193327
cg05463705	0.0359603537137635	ZNF143	11	9482308
cg05465755	0.0470496627703635	CKS2	9	91926196
cg05467106	0.0527609372539078	ZNF689	16	30621996
cg05467167	0.0267365703968359	GOSR2	17	45000793
cg05467458	0.568692962756851	SLC7A9	19	33361032
cg05467918	NA	ACADM	1	76189945
cg05468303	0.0696663848605077	DGCR6	22	18894389
cg05469695	0.0373950063611906	CDC42EP3	2	37899953
cg05471297	0.377150802881468	RYR1	19	38924349
cg05471521	NA	CSTF1;AURKA	20	54968604
cg05471775	0.0544752272453979	HIST1H4B	6	26027531
cg05472874	0.470954007257094	SULT4A1	22	44258179
cg05473175	0.0325159803038979	CADM4	19	44143644
cg05473677	NA	OSTalpha	3	195943713
cg05473871	0.0517357726999989	ADAMTSL5	19	1513513
cg05475028	0.0202521305469344	BOD1L	4	13629588
cg05475277	0.977541891233177	FOXRED2	22	36902578
cg05475904	0.976459162701817	BCL10	1	85743377
cg05477024	0.120856813647598	KIAA1804	1	233462765
cg05477027	0.0170307465016856	DMWD	19	46295590
cg05480532	0.690099848090914	NA	NA	0
cg05482722	0.953809469778064	UTP14C;ALG11	13	52598175
cg05483509	0.558701077236815	ATP6V0C	16	2563435
cg05484458	0.842782527761959	GNB3	12	6949260
cg05484920	0.0305797697854875	SNRNP70	19	49588520
cg05485060	0.868175701459219	CTNNAL1	9	111776779
cg05485062	0.659669140186119	SERPINA12	14	94983863
cg05486551	0.110993590748173	C20orf196	20	5731259
cg05488632	0.705195757488521	EPHX3	19	15343174
cg05492113	0.46580066853364	TUB	11	8060332
cg05492270	0.0535353133320673	RNF121;LOC100133315	11	71640085
cg05492503	0.0229479775934793	NA	NA	0
cg05492605	0.0187861071127596	PPP1R8	1	28157672
cg05492845	0.0164501306668963	VEGFB	11	64002298
cg05494069	NA	PRKAA2	1	57111499
cg05494459	0.262189750314347	FTSJ1	X	48334337
cg05497107	0.0142743889192632	RUFY1	5	178978234
cg05497616	0.196852465249711	CAMK4	5	110560372
cg05498681	NA	SRC	20	35973318
cg05499853	0.0292380965825312	FAM188A	10	15902324
cg05500015	0.0920295281745341	NAALAD2	11	89867819
cg05500074	0.842145414049764	TSKS	19	50266336
cg05501276	0.0875669283999652	TRA2A	7	23571514
cg05501357	0.400578001524896	HIPK3	11	33308269
cg05501584	0.0794805765466121	ST8SIA2	15	92936306
cg05501658	0.0615799301372416	NA	NA	0
cg05501682	0.0782501527990754	DKFZP686I15217	6	2988723
cg05501721	0.0124707555340895	CRTC1	19	18794247
cg05503412	0.0175281676099747	C4orf14	4	57843540
cg05507459	NA	NXNL2	9	91148748
cg05507894	0.0146520219331959	C4orf34	4	39640920
cg05508048	0.0148408869527516	INTS6	13	52027321
cg05508067	0.0261028790327551	PNPLA4	X	7895590
cg05508084	0.450154554576567	ZNF667	19	56988398
cg05508558	0.0487487127611702	CR2	1	207627372
cg05510041	NA	VCL	10	75758427
cg05511517	0.0878155184418166	NA	NA	0
cg05511685	0.719058003084532	RGS9	17	63184288
cg05511752	0.434793572936998	MED12	X	70338656
cg05512099	NA	PLEKHF1	19	30155866
cg05512756	0.491131082857167	UGT3A1	5	35991735
cg05516537	0.0661838557528104	TFDP1	13	114239958
cg05516832	0.0308224190708189	SGTA	19	2783122
cg05517572	0.166406615127245	STAP2	19	4338769
cg05517711	NA	ST6GALNAC6	9	130662451
cg05518543	0.0368955387581467	MAEA	4	1283165
cg05520656	0.5228393363353	NA	NA	0
cg05521696	0.526161716759514	NA	NA	0
cg05522288	0.0417398724162222	NAA38	7	117824098
cg05522383	0.513047899971659	PITX2	4	111557894
cg05523047	0.00722252856246491	VLDLR;FLJ35024	9	2621379
cg05523085	0.0308926386660079	MYO5A	15	52821854
cg05523254	0.0115016923038985	MFN2	1	12040215
cg05526376	0.0183361833581712	LMTK2	7	97736360
cg05528918	0.937605328914336	ZFP161	18	5293319
cg05529097	0.0726678332759433	FXR2;SHBG	17	7518511
cg05531055	0.0309181808925361	TOM1	22	35695625
cg05532892	0.0633348561149826	PDE3B;PSMA1	11	14666436
cg05535113	0.466414713722244	CHST4	16	71559579
cg05538387	0.0203156003511875	POLL;RP11-529I10.4	10	103348072
cg05538432	0.674640264578629	C1S	12	7167751
cg05546038	0.957315325896301	NOL3	16	67207033
cg05546044	NA	MAPK1	22	22222597
cg05546383	0.952261589618143	OTUD4	4	146095813
cg05547500	0.878859095298475	TXNDC2	18	9885809
cg05547993	0.0340900880247911	VAC14	16	70835035
cg05552534	0.0277614358795994	ABCB10	1	229693713
cg05554718	NA	HIST1H1D	6	26235699
cg05554936	0.0129219253631618	RAB3D	19	11450261
cg05556020	0.880716837563622	REN	1	204135243
cg05556202	0.901664503337927	TM4SF19	3	196065106
cg05556210	0.0265625586169028	ZFHX3	16	73082405
cg05556717	0.679412585855472	CCL26	7	75419304
cg05558390	0.220786980154283	GNASAS;GNAS	20	57415377
cg05559445	0.632521728977352	CDKN1C	11	2907674
cg05562327	0.0869955031044762	CPEB2	4	15005910
cg05562817	0.253611459787237	CLDND2	19	51871466
cg05564251	0.820573814461941	SP140	2	231090640
cg05564266	0.790554495868393	C6orf204	6	118973597
cg05564657	0.853185551040628	AADAC	3	151531375
cg05565537	0.929859256774583	GALNT6	12	51773409
cg05566397	0.0325990194347875	MLL5;LOC100216545	7	104654900
cg05566965	0.0216689114904409	BID	22	18256588
cg05568762	0.00737314449281349	LCORL	4	18023126
cg05569220	0.466692485079639	LOC388428;AATK	17	79138873
cg05570980	0.512768526755102	C3orf52	3	111804983
cg05573563	0.75449603058828	TRAPPC2;OFD1	X	13751423
cg05575043	0.0268325366461399	ZNF394	7	99097635
cg05576974	0.0171211183329285	TROVE2;UCHL5	1	193028138
cg05577173	0.14119115523491	PAPD4	5	78908678
cg05585544	0.798363514447091		11	47624801
cg05587158	0.637062721930809	ARR3	X	69487748
cg05587474	0.143022659095505	NA	NA	0
cg05587736	NA	NUP93	16	56780751
cg05588972	0.0192060306093386	C1orf89	1	16563855
cg05589246	0.393852603689571	HOXC12	12	54348719
cg05590257	0.0227351577977833	PLD6	17	17109570
cg05590294	0.767844204779805	CD69	12	9913395
cg05590567	0.122912403485526	NA	NA	0
cg05590982	0.160591867659844	NUPR1	16	28550171
cg05592398	0.4971893776874	LIMK1	7	73497778
cg05592434	0.213039271410396	NA	NA	0
cg05592527	0.109171508161384	ARMCX6	X	100872988
cg05593300	0.0780565600466945	NA	NA	0
cg05593325	NA	GALNT12	9	101569696
cg05593479	0.0517016102338704	TIGD1;EIF4E2	2	233415006
cg05593780	0.0370406743466485	ACO2;PHF5A	22	41864983
cg05594230	0.235535194624255	INGX;BCYRN1	X	70712403
cg05595345	0.00875933646049283	ARRDC4	15	98504173
cg05596294	0.0683646246375146	LPPR4	1	99729757
cg05596756	0.721892105531787	FAM113B;LOC100233209	12	47610220
cg05598246	0.7658846469304	MOG	6	29624414
cg05600174	0.159279345016761	NA	NA	0
cg05600717	0.283384447905047	DHRS12	13	52378744
cg05602212	0.0933687864304822	ZFYVE16	5	79703393
cg05602615	0.00865359465353417	SETD3;CCNK	14	99947482
cg05603623	0.106109454111699	TIMM44	19	8008081
cg05604720	0.0208174988509318	RIPK2	8	90769698
cg05606799	0.3503894231048	KISS1	1	204165307
cg05607127	0.018624148373557	KCNG3	2	42721581
cg05607401	0.549787016862283	GMFG	19	39826693
cg05607472	0.087320621899236	CSNK1A1	5	148930374
cg05608188	0.0243817343055451	TMEM168	7	112430152
cg05610148	0.0215330172789491	C1orf93	1	2517425
cg05610379	0.0102012182275148	NSMCE4A	10	123734658
cg05612904	0.0336799939185948	DPH5	1	101491636
cg05615150	0.904774564312941	ARPP-21	3	35683815
cg05615487	0.834429614956263	ACR	22	51176407
cg05619712	0.414216325704938	CRYGC	2	208994720
cg05621401	0.032038121689671	RET	10	43572065
cg05621759	NA	ZNF117	7	64452073
cg05624196	0.615867984203308	APOD	3	195310883
cg05624932	NA	CRISPLD1	8	75897310
cg05626013	0.257888183648556	CTNNA3;LRRTM3	10	68685252
cg05627103	0.0486123156411488	KIAA1984	9	139694135
cg05628549	0.139865247087748	PRKCDBP	11	6341895
cg05633152	0.924975097364054	SLC10A1	14	70263811
cg05636175	NA	TNFRSF10C	8	22960397
cg05637351	0.057822465129494	CDH7	18	63417669
cg05637892	0.023164162449606	SCFD1	14	31091672
cg05641882	0.0230617089617655	CXCL3	4	74904583
cg05641961	0.0141924781489343	CIB1;C15orf58	15	90776927
cg05642698	0.0212217616624208	SEC63	6	108278844
cg05646865	0.939939891978343	SLFNL1	1	41486908
cg05647526	0.0260745753689427	CALU	7	128379677
cg05647859	0.69191436613092	LIN7A	12	81331718
cg05649009	0.474963337266081	CHRNA1	2	175629850
cg05650171	0.337148238489934	PFDN2;NIT1	1	161089102
cg05650565	0.0167569301657503	UBXN4	2	136499412
cg05650764	0.0157121058312561	SAPS3	11	68227812
cg05654163	0.480706556118883	SLC39A2	14	21467502
cg05654164	0.530104940089351	C1orf52	1	85725892
cg05655041	0.517243273768613	ASB11	X	15334253
cg05655556	0.0815141294652534	PSMD2	3	184016629
cg05656180	0.315596010960424	KCNQ1DN	11	2890258
cg05656364	0.0987827422466937	VAMP8	2	85804732
cg05657090	0.940898829639422	RNASEH2A	19	12917086
cg05657520	0.785476049480797	OPTC	1	203462521
cg05658858	0.0106984519285028	TUBGCP2;ZNF511	10	135121916
cg05659526	0.925332159671578	FCER1G	1	161184528
cg05659947	0.444393348100939	C4BPB	1	207262190
cg05660795	0.276194895794831	IGFBP1	7	45928003
cg05661333	0.0154407911974217	GABBR1	6	29600200
cg05661838	NA	MOS	8	57026568
cg05662500	0.0686926859862444	GPD1L	3	32147877
cg05663262	NA		1	43930279
cg05664072	0.309583432836799	PER2	2	239198294
cg05666713	0.721587707400151	IGFN1	1	201181883
cg05668720	0.016226855985824	TUBE1;C6orf225	6	112408820
cg05668853	0.337222927480715	RAB34	17	27044169
cg05669100	0.0419518961316591	FAM103A1	15	83655128
cg05669210	0.0757172673338771	SLC12A9	7	100450634
cg05669980	0.0129397393417613	NA	NA	0
cg05670275	0.00853587822866415	TRIP12;FBXO36	2	230787279
cg05670348	0.0308377498589751	LARGE	22	34316316
cg05670408	0.0590234677173439	MAN1C1	1	25944102
cg05670596	0.521375475059036	CCRL2	3	46448496
cg05671018	0.928940465579058	LYSMD2	15	52030641
cg05671350	0.403880959552242	P4HA3	11	74022348
cg05672265	0.0425695193176299	SLC20A1	2	113403002
cg05673087	0.0853142983076952	GEMIN8	X	14048156
cg05674036	0.673586895477382	OR3A3	17	3323791
cg05674199	0.269519732364082	AHCY	20	32891428
cg05674444	0.123176821444656	C21orf99	21	14414818
cg05674944	0.0924803742994214	SLC30A2	1	26372290
cg05675373	0.0412708692462788	KCNC4	1	110754257
cg05676042	0.030545495680535	NA	NA	0
cg05677402	0.0121470742222894	UBE2L6	11	57335051
cg05678175	0.0171443324531424	TRIM28	19	59056626
cg05678938	0.0138583925756337	USP13	3	179371510
cg05679521	0.0257058129474863	MAP2K3	17	21188468
cg05679613	0.881375911159445	MEPE	4	88754043
cg05680424	0.0841656611994012	BPGM	7	134331560
cg05681757	NA	FGD4	12	32655034
cg05684015	0.018784774524567	DR1	1	93811877
cg05684195	0.810858637344102	CIDEC	3	9920572
cg05684891	0.338391391421025	DAB2IP	9	124461171
cg05688084	0.0423299281409212	MRTO4;KIAA0090	1	19578805
cg05689121	0.0188327366202617	TNRC6A	16	24740934
cg05695927	0.00919563410424325	SPATA5L1	15	45694626
cg05696092	0.357083826345584	PRRG2;NOSIP	19	50084283
cg05697231	0.0287611405173704	PML	15	74286614
cg05697249	0.243058848877439	C11orf52	11	111789693
cg05697976	0.6365269052053	FAR2	12	29376483
cg05698069	0.554853479993457	PDLIM2	8	22436246
cg05698090	0.0737189356871813	CERK	22	47134664
cg05699592	0.0191315190536327	PRKAR2A	3	48885332
cg05699806	NA	ARSF	X	2984985
cg05700681	0.93320607583193	CCL22	16	57392764
cg05701114	0.121010238664702	NA	NA	0
cg05702633	0.0206189644930187	PPP1R15B	1	204381220
cg05702737	0.186715160227225	WNT10A	2	219745297
cg05702774	NA	SUCNR1	3	151590098
cg05702952	0.0122851515389591	PDK1	2	173420889
cg05705366	0.0417577036627671	SNX18	5	53813915
cg05705583	0.0760413285896079	CAMLG	5	134073432
cg05706061	0.222876129707637	SLC31A2	9	115912974
cg05709923	0.0211585179521964	SAMM50	22	44351079
cg05711886	0.627398887495941	MEG3	14	101292680
cg05714219	0.0153295169328419	GALNT14	2	31361104
cg05714479	0.601561714023845	LATS2	13	21634945
cg05714729	0.770291110313626	GALNT1	18	33234096
cg05715287	0.0422824687429178	CDC40;WASF1	6	110501610
cg05715649	NA	SYT2	1	202680562
cg05717160	0.018649674783025	USMG5;PDCD11	10	105156505
cg05718253	0.947376680606023	LOC55908;DOCK6	19	11347359
cg05718625	0.0258978564523258	TMEM85	15	34517320
cg05719902	0.666073176946787	SVOPL	7	138348774
cg05720937	0.0129717271388074	ACTR1B	2	98280362
cg05721199	0.705446119785221	SAMD7	3	169629136
cg05722552	0.219152354448476	NLGN1	3	173116094
cg05722906	0.14465691975408	CYP4F12	19	15783791
cg05722918	0.120252677197467	SLC5A8	12	101603929
cg05723825	0.40129248106557	TEKT4	2	95537475
cg05724065	0.301996672191818	PHKG1	7	56160528
cg05725452	0.0107237244524402	SDF2L1	22	21996709
cg05726109	0.936572544251113	SEPT5;GP1BB	22	19709755
cg05727959	0.0113617529012518	C12orf48	12	102514075
cg05728656	0.0134767314174724	C6orf47	6	31628427
cg05729093	0.0386748618063308	IL4R	16	27324953
cg05730092	0.916914881054669	BEGAIN	14	101036470
cg05731779	0.7603016147842	NA	NA	0
cg05732130	0.0519105044953388	GINS3	16	58426207
cg05732530	0.0181651322166664	DUSP2	2	96811060
cg05739825	0.0217864636250418	EI24	11	125439882
cg05740244	NA	LDHC	11	18434015
cg05741384	0.0279840382451881	ODC1	2	10588838
cg05742308	0.043336278033151	SEMA3A	7	83824384
cg05743054	0.00947766930586077	MLF1	3	158288903
cg05744229	0.365236698126973	MYH7	14	23904678
cg05745457	0.894519554999834	TKTL2	4	164394816
cg05745851	NA	CCDC62	12	123259105
cg05747424	0.0347895831835494	WDR89	14	64108561
cg05749161	0.011783634710992	NA	NA	0
cg05749577	0.0124758124790906	KIF23	15	69706710
cg05749792	0.750679851478864	DGAT2L6	X	69397704
cg05750321	0.963600296974244	CGNL1	15	57668039
cg05751148	0.699186127201012	PTPRCAP	11	67204799
cg05751159	0.0141872967004617	TSGA14	7	130081017
cg05751979	0.0420067523790283	TCEB1	8	74883978
cg05754589	0.0428329955415302	HNRPA1L-2;HNRNPA1;CBX5	12	54674412
cg05754631	0.0412160674369526	GAB1	4	144258809
cg05755354	0.839033117264512	FRMD4A	10	14372596
cg05755779	0.941468221241407	COLEC10	8	120079625
cg05755837	0.159878952435975	PMPCB	7	102937659
cg05759269	0.0256198392326741	CDKN1A	6	36646253
cg05761032	0.0260597330698913	CCPG1	15	55700743
cg05761971	0.815870204624331	FAM82A1	2	38177677
cg05764061	0.0860428911586013	PPM1B	2	44395934
cg05764376	0.0110095618530992	LRRC49;THAP10	15	71184590
cg05764607	0.0128993896271463	GSTCD;INTS12	4	106630108
cg05766425	0.20486490508532	LUC7L3	17	48796751
cg05766474	0.907157022777959	NA	NA	0
cg05767404	0.176474016959568	C1orf150	1	247712591
cg05768141	0.157595170838784	KCNJ10	1	160039847
cg05769161	0.0484227079789304	B4GALNT3	12	568826
cg05769169	0.0151643768889621	EGLN3	14	34419832
cg05772663	0.09943981558391	HTR2C	X	113818412
cg05773628	0.0733777343005945	NCKAP1	2	183903770
cg05774801	0.195445957086086	SFRP2	4	154709756
cg05776763	0.0305556015294425	DLST	14	75348391
cg05777319	0.026537112472246	ARL6	3	97483919
cg05778847	0.441628463146843	PPP1R14A	19	38746538
cg05779068	NA	OR2W1	6	29014046
cg05779272	0.710755973423908	B4GALT1	9	33168018
cg05780311	0.0117513516332591	STAT5B	17	40428759
cg05780616	0.0102490701007575	SNRPF	12	96252764
cg05781767	NA	PODXL2	3	127347362
cg05782292	NA	SCT	11	628318
cg05782445	NA	KCNK3	2	26915207
cg05782975	0.452632213037373	NGFRAP1	X	102631408
cg05786601	0.42799908827836	AR	X	66764126
cg05786809	0.0174100979357793	CKB	14	103989478
cg05788437	0.0162603223923928	FYTTD1;KIAA0226	3	197476880
cg05788526	NA	MTMR2	11	95656876
cg05788638	0.79946371721244	SERPINA10	14	94759020
cg05790038	0.464160760398866	TRPV3	17	3461143
cg05790999	0.0174637557541099	HS1BP3	2	20850809
cg05793077	0.0154729075636267	GSN	9	124030744
cg05795157	0.0257916047525877	PIAS3	1	145576107
cg05795313	0.0524093679401565	ZNF641	12	48745136
cg05797656	0.307108590521484	DDX42;CCDC47	17	61851352
cg05798712	0.766633721826962	NA	NA	0
cg05798972	0.0370153277664356	MED1	17	37607105
cg05799317	0.604757072692933	C6orf118	6	165723796
cg05800321	0.648650741217116	LY6D	8	143867799
cg05801573	0.316384795534911	SLITRK4	X	142722740
cg05801648	0.122021580979572	SYK	9	93564456
cg05806233	0.348031767605949	GNAI1	7	79763748
cg05807444	0.490925892848156	VPS28;NFKBIL2	8	145654635
cg05807768	0.0523599425879927	CAPZA1;ST7L	1	113162570
cg05807991	0.0751645588109387	TRAM1L1	4	118006808
cg05810550	0.383334441852337	NA	NA	0
cg05812599	0.935505802667696	CLPB	11	72146256
cg05813084	0.0178080880775412	EFNA3	1	155051569
cg05813234	0.277532845142512	NA	NA	0
cg05815893	0.032442493639945	C17orf80;FAM104A	17	71228832
cg05815906	0.0374921139317159	RAB33B	4	140374338
cg05817232	0.0450943786198974	MARK4	19	45755260
cg05819268	0.979808480283223	CACNG1	17	65040739
cg05820087	0.504777018926051	ATP13A4	3	193272561
