Hybridization REF	TCGA-A8-A09K-01A-11D-A00Y-05	TCGA-A8-A09K-01A-11D-A00Y-05	TCGA-A8-A09K-01A-11D-A00Y-05	TCGA-A8-A09K-01A-11D-A00Y-05
cg05897048	0.095876895500894	NA	NA	0
cg05898102	0.031418995804607	PCDHB10	5	140571959
cg05898356	0.0455301483382029	NA	NA	0
cg05898524	0.0705155410428955	LMNA	1	156083276
cg05899618	0.666085616648117	GDF7	2	20865847
cg05902852	0.0384314986720639	MAGI2	7	79082393
cg05903609	0.0402008957786603	PRPF8	17	1587888
cg05903630	0.0240334766937307	PTCD2;MRPS27	5	71616321
cg05905876	0.0144705624520068	SEC11A	15	85259824
cg05906362	0.19062565351114	ARHGAP4	X	153192754
cg05908775	0.0240903222495876	ZNF211	19	58144687
cg05909475	0.0785298577926995	ETV3	1	157108803
cg05910970	0.834041098278614	CYP2A6	19	41355973
cg05911610	0.0196742250505229	MRPL3	3	131221850
cg05912121	0.614639217489999	TH	11	2193034
cg05915281	0.0103154553056735	IRF1	5	131826479
cg05916196	0.63539994925278	IL19	1	206972262
cg05916783	NA	GAN	16	81348309
cg05917963	0.0569374562421148	CHUK	10	101988539
cg05919661	0.0196500291768922	LMBR1L	12	49504308
cg05920090	0.0264672428470761	HSPA1A;HSPA1L	6	31782873
cg05920720	0.654502071548374	NA	NA	0
cg05921207	0.177857141483545	CHRDL1	X	110038886
cg05921324	0.52977589606871	APOA4	11	116694114
cg05921581	0.349212268864459	KRT77	12	53098625
cg05921699	0.653137522946531	CD79A	19	42380725
cg05922057	0.0226304039632138	ZZEF1;CYB5D2	17	4047571
cg05922591	0.294825833163935	LILRB4	19	55174624
cg05922972	0.0154576752281629	TSPAN3	15	77362853
cg05923056	0.0266174297502099	FOXN3	14	89883246
cg05923103	0.0188025842141706	RNF11	1	51701583
cg05924191	0.571103825312731	ZNF770	15	35279830
cg05924583	0.502181501369633	TP73	1	3569624
cg05927017	0.0237464706150587		18	60988155
cg05927159	0.0157656349921952	WDR1	4	10118984
cg05932408	0.468595324035109	PTGIS	20	48184639
cg05932936	0.0336786238436109	SERINC3	20	43151151
cg05934874	0.0270186459620715	VPS4B	18	61089154
cg05935584	0.567184091902419	HMGB3	X	150151823
cg05936800	0.779699746199561	TNFSF18	1	173020492
cg05937182	0.0176782426786921	ST7OT4;ST7OT1;ST7	7	116593656
cg05937237	0.857120053417199	NA	NA	0
cg05937453	0.0242230097308284	SFRP5	10	99531765
cg05938285	0.0136597224321731	PIGZ	3	196695938
cg05938725	0.0135983092818688	NUAK2	1	205290905
cg05940463	0.0203816883768856	C1orf86	1	2126641
cg05940536	0.0320695112052463	ACVR1B	12	52344971
cg05941634	0.0328793332899858	CNNM3	2	97481230
cg05942574	0.0501670360581168	CACNA1G	17	48637104
cg05942970	0.774598368555703	JAKMIP3	10	133955527
cg05944800	0.0334545039863517	INSIG2	2	118845546
cg05945622	0.0367485605716168	YIF1A	11	66056944
cg05946081	0.0174668636835249	RBMXL1;CCBL2	1	89458035
cg05947740	0.280157467906449	PHYHIP	8	22089778
cg05948654	0.554098956418317	SLC17A2	6	25930507
cg05949173	0.774758934603044	IL1F10	2	113825882
cg05949660	0.287764410791699	MICAL1	6	109777642
cg05950276	0.89073356968933	TMTC4	13	101294310
cg05951646	0.0367011491434423	NA	NA	0
cg05951993	0.0216734467004368	GYS1;RUVBL2	19	49496864
cg05953243	0.183039807682004	SLC5A12	11	26743425
cg05953394	0.0640073004615142	PRKAG2	7	151573773
cg05955224	0.0374987231398228	EID2	19	40030984
cg05955301	0.365322702478429	PRELP	1	203444536
cg05957518	0.0147489454313443	PSMA3	14	58711500
cg05958352	0.674594207605669	RNASE1	14	21270924
cg05958582	0.435554005912215	PKD2L1	10	102090366
cg05958659	0.0258449564391048	FAM174A	5	99870887
cg05959392	0.0212928164024208	C10orf32	10	104613928
cg05959508	0.796732105624977	TRAF3IP3	1	209929512
cg05960024	0.953924335421674	CLOCK	4	56376020
cg05960806	NA	CLNS1A	11	77348884
cg05961212	NA	ADPRH	3	119298195
cg05961595	0.21178305047441	APEX2	X	55026485
cg05961827	0.232588103611552	UGT1A10;UGT1A7;UGT1A9;UGT1A8	2	234589810
cg05964373	0.0236243682582031	TEX9	15	56657478
cg05965188	0.88985374603955	RRP1B;HSF2BP	21	45078342
cg05965402	0.0280759199373872	PI4K2B	4	25235416
cg05968233	0.1034359314419	ALKBH7	19	6372277
cg05969697	NA	BICD2	9	95527975
cg05970437	0.0285179657166932	KLF16	19	1864622
cg05970790	0.0236855898994211	NFATC1	18	77156689
cg05973262	0.282779957020812	NOTCH4	6	32191895
cg05976074	0.500272989736515	SLC7A10	19	33716273
cg05976325	NA		22	36030660
cg05978187	0.0181588509117051	ERH;SLC39A9	14	69864930
cg05982504	0.394546482595701	IGFALS	16	1844962
cg05983247	0.00908175278780614	SLTM	15	59225658
cg05985767	0.930344885934125	ANPEP	15	90349511
cg05986149	0.0783182013547474	BRIP1	17	59941055
cg05988645	NA	C16orf68	16	8715306
cg05989054	0.203116305592358	GAMT	19	1402626
cg05989429	0.0105840017474617	ABCA7	19	1041026
cg05990214	0.0528279371530841	RPL18;SPHK2	19	49122326
cg05992340	0.907061728056362	PDE4D	5	58882243
cg05995267	0.042889129185685	PRRT2	16	29822529
cg05996042	NA	RUNX2;SUPT3H	6	45295718
cg05996238	0.587346081001248	PAGE2	X	55115370
cg05997860	0.484627082170605	NA	NA	0
cg05998244	0.89373198662904	LONRF2	2	100925657
cg05998426	0.0294773653007257	RIN1	11	66103925
cg05998983	0.78753850976638	OIT3	10	74653449
cg06000781	NA	BST1	4	15703606
cg06001166	0.93456658541313	RPL3L	16	2004052
cg06003187	0.81083202973923	GUCA2A	1	42629798
cg06005396	0.199717246769022	HCN2	19	590541
cg06005644	0.00990974472378563	UBE2D2	5	138940959
cg06006444	0.0313899070032182	NA	NA	0
cg06007645	0.449934599546165	C1orf175	1	55107421
cg06011292	0.0298844850215275	MYH10	17	8534013
cg06015218	0.314505920132993	GRM1	6	146350434
cg06018072	0.0344259456102709	CLN6	15	68522275
cg06020352	NA	IRF8	16	85931840
cg06021171	0.58693095822453	NA	NA	0
cg06022562	0.252719363633759	TBCD;ZNF750	17	80797881
cg06023257	0.0190977264369791	GAB2	11	78129396
cg06025017	0.152766172412256	NA	NA	0
cg06026755	0.900898882946164	LRRC57;HAUS2	15	42839559
cg06027949	0.0455945434974815	SNX16	8	82754900
cg06029655	NA	MEGF8	19	42881132
cg06030619	0.194371531957216	CORO1A	16	30194484
cg06034822	0.145894747563006	USF1	1	161016081
cg06037693	0.450159807453457	RUNX3	1	25292072
cg06038049	0.010587852273185	GLTPD1;CPSF3L	1	1259909
cg06038133	0.674414925526113	CORO6	17	27944585
cg06039392	0.200409205109482	MTNR1A	4	187476953
cg06039624	0.0153633727124711	LOC81691;ERI2	16	20818068
cg06041240	NA	NXT2	X	108778793
cg06041363	0.108878314935779	TTC38	22	46663418
cg06042828	NA	DDX28;DUS2L	16	68058281
cg06043042	0.0202087103012646	NEUROG3	10	71333202
cg06043114	0.693380210437016	TSPAN2	1	115632455
cg06043190	0.0296754062968978	EML4	2	42396882
cg06044117	0.0200101871141056	FAM76B;CEP57	11	95523445
cg06044899	0.650485485489316	TMSL3;FAM190A	4	91760229
cg06044900	0.0283525013077337	GNAS	20	57467811
cg06048156	0.473854079831265	NA	NA	0
cg06048973	0.508871882538687	ACTC1	15	35088107
cg06049972	0.0298656607720283	UQCRC1	3	48646375
cg06051311	0.111387434880894	TRIM15	6	30131001
cg06051662	0.158177900883253	PDZD4	X	153096786
cg06055013	0.0782191245022933	ATRNL1	10	116853664
cg06057707	0.56414340387704	NA	NA	0
cg06058319	0.0749975963792244	PPFIBP1	12	27677138
cg06058597	0.0112026407435277	NOL10	2	10829993
cg06059810	0.938419388145565	RUFY3	4	71587722
cg06060661	0.343378309792276	NA	NA	0
cg06061892	0.0170236623154208	C20orf72;SNX5	20	17948694
cg06062132	0.0445489208757994	SENP6	6	76311331
cg06063714	0.663653244677284	GABRD	1	1951514
cg06063729	0.0413497741926173	RASSF1	3	50374670
cg06066303	0.806860150767043	MS4A5	11	60197138
cg06066711	0.0146394616055209	KLHL21	1	6662645
cg06069187	NA	SARM1;VTN	17	26698283
cg06069731	0.0917473071705655	NA	NA	0
cg06071083	0.0175996358087732	SLC12A4	16	68002365
cg06073471	0.0175386389675613	FAM55C	3	101497857
cg06074920	0.96458074073998	KRT34	17	39539075
cg06076054	0.0182433156875813	C21orf91	21	19191045
cg06077733	0.0103423011971701	UBE2D1	10	60094879
cg06084117	0.313478953324345	PLXNA4	7	132334901
cg06084557	0.048751610785012	KIAA1409;BTBD7	14	93799869
cg06084735	0.0146272357367006	ENY2;NUDCD1	8	110346664
cg06087537	0.0185401758737514	RNF38	9	36401074
cg06088032	0.0219393249527914	ZMYND10	3	50383227
cg06088314	NA	CLK1	2	201730276
cg06090351	NA	ADSS	1	244615600
cg06090421	0.0172586346429623	PPM1D	17	58677051
cg06090630	0.0107828553095177	TCEB2	16	2827139
cg06090864	0.970989072530572	FFAR1	19	35842448
cg06092815	0.215143886946253	SPHKAP	2	229046406
cg06093279	0.0364201007804211	MTUS1	8	17658292
cg06094150	0.846483282865743	MT1B	16	56685637
cg06094757	0.711829200074285	NA	NA	0
cg06095560	0.032680070721409	SAE1	19	47633912
cg06096336	0.616436248580096	PSMD1;HTR2B	2	231989800
cg06098051	0.914851387473997	NA	NA	0
cg06100291	0.0312987996194654	CLSPN	1	36235882
cg06100324	0.807466344084491	MSLN	16	811347
cg06100991	0.0187654518525885	ELOVL6	4	111119437
cg06101212	0.181780731181507	CLDN3	7	73184220
cg06101225	0.0158067510929874	STIL	1	47780017
cg06101324	0.0870682475985973	SPRR1A	1	152955543
cg06105085	NA	ASCC1;C10orf104	10	73976264
cg06106793	0.0165319809339439	PRCC	1	156736771
cg06109724	0.0317979509379848	CDC123;NUDT5	10	12237553
cg06110365	0.0321528301531566	TTLL12	22	43583797
cg06110728	0.025543949588644	NELL2	12	45270886
cg06111305	0.0260759341723817	RAP2A	13	98086784
cg06111454	0.0364878726561901	NFATC4	14	24837836
cg06112415	NA	CGREF1	2	27342158
cg06114765	0.0275135611063814	USP25	21	17102990
cg06117855	0.031649251953638	CLEC3B	3	45067788
cg06118312	0.0603201228893496	GZMA	5	54398555
cg06119575	0.15631982704557	TAL2	9	108424905
cg06121469	0.019572721013769	SPG11	15	44956098
cg06122080	0.062741078539251	NGLY1;OXSM	3	25831834
cg06123346	0.0888946090894243	ATP4A	19	36054519
cg06126510	0.671142349452048	NA	NA	0
cg06130787	NA	KLK10	19	51523550
cg06131859	0.486855650164235	NA	NA	0
cg06131936	0.342300305806913	OSBPL5	11	3187271
cg06132324	0.0253451885838472	XPO5;POLH	6	43544046
cg06132342	0.261801660956092	KRT85	12	52761153
cg06132694	0.0279304916268088	NDST3	4	118955172
cg06134936	0.0192263882839034	HERC4	10	69834491
cg06134964	NA	ITIH1	3	52812033
cg06138027	0.0310164360756036	HNRNPK;RMI1	9	86596281
cg06139836	0.0897794858245252	EBF3	10	131762961
cg06140118	0.0196263180204574	DDX28;DUS2L	16	68056778
cg06141025	0.905735595666214	GYS2	12	21757466
cg06141123	0.0713371091115234	NFE2L2	2	178129829
cg06142324	0.316691661542333	HEPACAM	11	124805538
cg06143901	NA	TCF15	20	591400
cg06144905	0.419734003042367	PIPOX	17	27369780
cg06145308	0.0206225404005033	CNOT4	7	135195101
cg06145357	0.499269306867333	MAGEA8	X	149010149
cg06146910	0.0165044016688402	KBTBD6	13	41706728
cg06147863	0.396186579702929	SPI1	11	47400113
cg06148175	0.115536900361237	ACY3	11	67418148
cg06148264	0.0327079543119371	SERPINB1	6	2841468
cg06150468	0.0624318596695522	BATF3	1	212874085
cg06150803	0.276504683087615	TNFRSF19	13	24144257
cg06151165	0.203833494944742	VSX1	20	25062254
cg06151964	0.792381073665055	HPN	19	35531417
cg06154570	0.398325108200376	HEYL	1	40105764
cg06154597	0.144189631212381	GAK;TMEM175	4	924812
cg06156376	0.747797532048372	SHOX2	3	157823814
cg06161738	0.0185693316323315	GALNT11	7	151722986
cg06161930	NA	ZNF787	19	56633191
cg06162003	0.0133095312880271	CBX2	17	77752070
cg06162422	0.44893850523338	HNRNPH2;GLA	X	100663051
cg06165395	0.663986679355863	GRIK3	1	37500790
cg06166767	0.0652423549558014	SFRP1	8	41167848
cg06166863	NA	PNN	14	39644186
cg06168050	0.0736080512137137	ZNF207	17	30677336
cg06168324	0.0133749994189403	RBMS1	2	161349637
cg06168449	0.0662875261043938	DPF1	19	38714549
cg06171242	0.0300152993033886	ACOT13;TTRAP	6	24667490
cg06171787	0.0404041337346271	MRPL16	11	59578490
cg06172871	0.665458132600069	HP	16	72088244
cg06173079	0.0433837557301682	NA	NA	0
cg06175025	0.0173814595929399	SPTLC2	14	78082992
cg06177698	0.0856712234473312	GABRQ	X	151805899
cg06177968	0.0462631941909063	WDR55	5	140044542
cg06178072	0.910119894954216	GALNS;TRAPPC2L	16	88922252
cg06179485	NA	TMEM54	1	33367401
cg06183267	0.685570300044721	AFF3	2	100759134
cg06185738	0.0245954479501752	SLC17A6	11	22359868
cg06186808	0.919722505097012	FITM1	14	24600901
cg06186861	0.0567963952024844	ZNF501	3	44771174
cg06186973	0.0137199294355844	YWHAG	7	75988652
cg06187947	0.11736792566206	GULP1	2	189157042
cg06188683	0.0156287617156948	ANP32A	15	69113451
cg06189133	0.93375871008155	INSL3	19	17931995
cg06189265	0.0311512416053602	GAS5;SNORD76;SNORD75;SNORD77;ZBTB37;SNORD74	1	173837002
cg06189653	0.0324939750273661	PRR7	5	176873332
cg06190053	0.348869016297001	NA	NA	0
cg06190732	0.224318792494799	SERPINA3	14	95078636
cg06191076	0.393403285221189	DIRAS3	1	68516463
cg06191203	0.0197186966400479	RIF1	2	152266755
cg06191990	0.180862621364969	TSFM	12	58176640
cg06192619	0.500773704927184	SLC1A6	19	15083616
cg06192753	0.0971551460413366	GADD45GIP1	19	13068297
cg06193382	0.0211871779384735	FAM54A	6	136571195
cg06193397	0.831948589899137	NA	NA	0
cg06194186	0.68806444573879	CPO	2	207803693
cg06194808	NA	TMEM184A	7	1596217
cg06196379	0.491725763863363	TREM1	6	41254885
cg06197006	0.018496213257126	CRK	17	1359813
cg06197492	0.264061766239348	H19	11	2016605
cg06200013	0.103783158654963	ATP1B2	17	7554513
cg06200339	0.425332242095096	SOX30	5	157079404
cg06200697	0.291996714995207	CTNND1	11	57528838
cg06201642	0.297633945954267	ST6GALNAC5	1	77333198
cg06202984	0.0278889099910196	FANCC	9	98079903
cg06204948	0.0508241224579312	MARK2	11	63656090
cg06206626	0.572864743158201	ASPHD2	22	26825900
cg06206628	0.827951917214262	FRMPD2	10	49482826
cg06207460	0.138842903811031	AK3	9	4741011
cg06207804	0.381713394553455	ARTN	1	44398998
cg06208111	0.514929987286872	ITM2A	X	78624108
cg06210526	NA	CYP2F1	19	41619850
cg06211616	0.0446759058692396	SLC22A18AS;SLC22A18	11	2923659
cg06211871	0.0315620048730503	ZNF684	1	40997551
cg06212607	0.0164321737691624	GGPS1;ARID4B	1	235491708
cg06213287	0.153505767060244	LIX1	5	96478495
cg06213598	0.0922466347151395	ABCA9	17	67058208
cg06214007	0.53596550234261	GBP6	1	89829308
cg06214729	0.0239652421857205	NA	NA	0
cg06215939	NA	MAPK8IP3	16	1755402
cg06216677	0.0135438749281673	TESK1	9	35603842
cg06218044	0.0192566874039227	PREP	6	105851256
cg06220208	0.638499949847845	NA	NA	0
cg06220235	0.678225255017706	SOCS1	16	11349023
cg06220521	0.0126904387922705	GPR180	13	95254216
cg06220755	0.478852801494112	RAI2	X	17821058
cg06220958	0.0597921811297676	MYH2	17	10452851
cg06221259	NA	REEP2	5	137774471
cg06222120	0.0265503130628093	TRNT1	3	3168755
cg06222800	0.560710758730847	NA	NA	0
cg06222851	0.482787215897284	OGDHL	10	50970358
cg06224510	0.130678566265696	ITIH2	10	7745454
cg06225581	0.0241116480347264	ZMAT2	5	140080094
cg06226384	0.0401722719719526	CACNG5	17	64873351
cg06229674	NA	APOBEC3H	22	39492189
cg06230736	0.0195807320863396	FLJ45983;GATA3	10	8096650
cg06233473	0.0445590995637776	KPNA5	6	117002773
cg06233503	0.0753612245611072	KCNQ1	11	2812674
cg06233985	0.666930693649813	HBB	11	5249528
cg06235429	NA	NDUFV1	11	67373114
cg06235991	0.027447652059608	L3MBTL2	22	41601581
cg06236061	0.0990002007304382	GLTP	12	110317318
cg06236276	0.380023797003297	SLC22A2	6	160680078
cg06236748	0.0352037282418303	INPPL1	11	71935846
cg06237414	0.0267695698613382	MTX1;THBS3	1	155178670
cg06238491	0.395862587273802	LAIR1	19	54876446
cg06240124	0.0116844460701478	PLK1	16	23690079
cg06240542	0.0218362228898134	CYBASC3;TMEM138	11	61129344
cg06240849	0.025800473441893	KIAA0494	1	47184738
cg06241300	NA	APOM	6	31623269
cg06242000	NA	ALG3;ECE2	3	183966155
cg06242827	0.016364149773061	NA	NA	0
cg06243393	NA	TXNDC2	18	9885015
cg06243556	0.296385352379931	ZSCAN18	19	58609473
cg06244417	0.290380930061161	FCN1	9	137809628
cg06244634	0.903757247052541	TAS2R4	7	141477998
cg06244906	0.226034511003795	ZIM2	19	57307081
cg06245154	0.0399364403546585	ERCC2	19	45873313
cg06247172	0.0142712978709545	C6orf1	6	34216481
cg06248182	0.0418268431016581	ERAL1	17	27181818
cg06250108	0.0345942157988702	TMEM169;PECR	2	216946398
cg06251129	0.041486800678972	SSR2	1	155990657
cg06251489	0.0206314141236553	STIM2	4	26861983
cg06252382	0.461010447358115	SLC31A2	9	115913783
cg06252849	0.0655627449710785	AGGF1	5	76326040
cg06253072	0.0823417548317277	C6orf125	6	33679850
cg06253734	0.0212998758064188	ADAM10	15	59042325
cg06254453	0.0276267356432977		6	26250350
cg06255227	0.273819006563768	NPBWR2	20	62738125
cg06255524	0.0303992913225816	DNAJC3	13	96328888
cg06256735	0.0917630713726815	NA	NA	0
cg06258834	0.201235360682634	KLK7	19	51487136
cg06259570	0.900166946414783	MMP27	11	102576094
cg06263495	0.907599956640942	ASCL2	11	2292004
cg06263943	0.789063508031161	CACNA1H	16	1202015
cg06264060	0.407772659864876	MCHR1	22	41075007
cg06268694	0.185810640257491	CELSR1	22	46932642
cg06269001	NA	ENTPD6	20	25176407
cg06269753	0.155775622920121	MSC	8	72755871
cg06270401	0.284007597595563	DYRK4	12	4699085
cg06273569	0.0170347763008458	PMS2L3	7	75157587
cg06273903	0.138165554361837	UBE2A	X	118707913
cg06274159	0.168132734605071	ZFP42	4	188916867
cg06275635	0.0659932092452418	PGLYRP3	1	153283994
cg06276114	0.0245807116878183	BIRC2	11	102217591
cg06276653	0.166327033366448	FAM135B	8	139164635
cg06277277	0.581292487084854	NR1I3	1	161208307
cg06277481	0.0295768791475091	KANK3	19	8408146
cg06277657	0.14205131923531	DGKI	7	137532374
cg06277838	NA	SLC16A2	X	73641370
cg06279414	0.0223789353901374	TRIP11	14	92506140
cg06281719	0.0983717886481983	GMNN	6	24774963
cg06281795	0.046745100931411	CALB1	8	91095114
cg06282059	0.943386740001192	UBE2E1	3	23846692
cg06282240	0.0124740064074329	CENPJ	13	25497044
cg06284244	0.0135283565171667	YES1	18	813059
cg06284322	0.0673240868818365	TAF7	5	140700662
cg06285340	0.272283253865479	CYP11A1	15	74659901
cg06285486	0.0712884423083914	SART1	11	65729635
cg06286028	NA	HPS6	10	103824819
cg06288351	0.122966771670023	KCNS1	20	43729897
cg06288632	NA	PREB	2	27358152
cg06289589	0.0274133871596704	ANKRD5	20	10015419
cg06290096	0.721755717569928	PHLDB1	11	118475984
cg06290168	0.0181852602745006	NA	NA	0
cg06291334	0.0821204462933907	SPOP	17	47755771
cg06291595	0.0281945253147075	NPC2;ISCA2	14	74960292
cg06291867	0.400645550996142	HTR7	10	92617162
cg06292277	0.0247451318693531	CLCN3	4	170541163
cg06293195	NA	TXN2	22	36878654
cg06295404	0.0298979491883117	SOCS1	16	11350337
cg06295856	0.0889248527081341	CALCA	11	14993642
cg06296021	0.0160374742205323	CDKL3	5	133702588
cg06297145	NA	NFXL1	4	47917042
cg06302803	0.185622368335579	SNHG4;MATR3	5	138609953
cg06303238	0.977387717279382	SALL4	20	50418959
cg06305312	0.0283661080134439	AKR7A2;PQLC2	1	19638330
cg06305609	0.514259742767687	FAM129C	19	17634172
cg06306751	0.154297712417733	F8	X	154251005
cg06307169	0.201038315701237	CASC3	17	38296698
cg06307422	0.0165643144179124	RNF111	15	59279994
cg06307601	0.0182314482715026	FAM49B	8	130952644
cg06308323	NA	DNAI1;C9orf25	9	34459568
cg06310489	0.729847636145046	NA	NA	0
cg06310844	0.31033909612419	PDCD5	19	33072506
cg06311778	0.023948244115556	TENC1	12	53441582
cg06312477	0.734670056674477	PRSS38	1	228003900
cg06313930	0.0606319825475465	MAGEA5	X	151286698
cg06317209	NA	AVIL	12	58210878
cg06318164	NA	NUP188;DOLK	9	131710719
cg06318853	0.664833454009476	NA	NA	0
cg06319346	0.385382963589576	NA	NA	0
cg06319579	0.0838929171430632	C17orf44	17	8127196
cg06320982	0.0352109005737828	SLC38A7	16	58718767
cg06321883	0.755744326365783	COL19A1	6	70576541
cg06323290	0.705487700579389	HK1	10	71029879
cg06323427	0.049529445721499	PDCD10;SERPINI1	3	167452563
cg06324048	0.343017911715802	GNAS;GNASAS	20	57427103
cg06324094	0.0835181505666134	JTB	1	153950482
cg06324671	0.655486325008128	KRTAP19-7	21	31933511
cg06325346	NA	VN1R2	19	53761180
cg06325687	0.272865456836334	OPN1MW2;OPN1MW	X	153448957
cg06327515	0.0550913588668846	PCDHB14	5	140603261
cg06330324	0.0161746507526886	SLC35E4	22	31031670
cg06330621	0.469065051748446	ZCCHC14	16	87525461
cg06331674	0.023267142595307	AVL9;LSM5	7	32534854
cg06333435	0.0168833020517878	POLR3D;MIR320A	8	22102724
cg06334093	0.0228456878977763	CCDC28A	6	139094587
cg06334284	0.0151275089753987	PPAP2B	1	57044991
cg06334496	0.0153192259006085	TMEM70	8	74888924
cg06335814	0.0219627949108126	FAM59A	18	30051251
cg06335889	0.0219013152111727	CBFA2T2	20	32077519
cg06336792	0.0128043116389674	CREM	10	35415599
cg06337239	0.0723332280661438	DDX58	9	32526578
cg06338119	0.265375350336051	AMMECR1;RGAG1	X	109661862
cg06339657	0.868180760303778	PDE8B	5	76505932
cg06339706	0.389326092282799	PLEKHA4	19	49371285
cg06340713	0.415257921923676	CHM	X	85303427
cg06341721	NA	DAZAP1	19	1406759
cg06344807	0.0111649061909758	SLC9A3R1	17	72745576
cg06346081	0.52993619251639	PPCS;ZMYND12	1	42921584
cg06347928	0.01739755381436	IFIH1	2	163175126
cg06347996	0.023722278024718	DPYD	1	98386915
cg06349174	0.0198240328405503	STIM1	11	3877476
cg06350107	0.509039358904474		X	38210221
cg06350796	0.103236664824348	CXorf41;NUP62CL	X	106449867
cg06351503	0.762143308877848	RDBP;SKIV2L	6	31928060
cg06352750	0.687984374656425	SDPR	2	192711926
cg06353318	0.0565681832444101	OTOP2;USH1G	17	72920378
cg06353345	0.639916581918194	OR51B4	11	5322976
cg06353720	0.077616214483394	IFIT3	10	91087558
cg06353948	0.946283189317608	NA	NA	0
cg06356454	0.467282561306461	AQP12A	2	241631498
cg06357925	0.433837638901331	PTPRO	12	15475331
cg06358566	0.0188718440579827	RPIA	2	88991375
cg06361108	0.0101990852698397	CCNF	16	2478781
cg06362985	0.0989268742876454	RAB3IP	12	70132208
cg06363129	0.825917382844289	SOSTDC1	7	16505602
cg06363801	0.465260791010453	MOSPD1	X	134049271
cg06366981	0.266662305161721	HPGD	4	175443243
cg06367117	0.0163650246755494	ALDOC	17	26903928
cg06369854	0.0184412519305448	VDR	12	48299313
cg06374075	0.0677165207194723	ADAM11	17	42836931
cg06376129	0.0277586624771885	DSTYK	1	205180539
cg06377278	0.426355979990712	RUNX3	1	25256369
cg06378107	0.889747512737709	TMEM133	11	100863057
cg06378357	0.031726585104818	NA	NA	0
cg06378617	0.787927276930686	KRT23	17	39095141
cg06378976	0.172657279533687	TFEB	6	41703613
cg06379754	0.0652888580292414	CACNA2D1	7	82073573
cg06380007	0.0101864625593072	INO80	15	41408085
cg06381133	NA	FRS3;PRICKLE4	6	41747367
cg06382459	0.0258361499487815	SKI	1	2159373
cg06382698	0.099158925603404	LOC100302652;ERLEC1;ASB3	2	54015232
cg06383088	0.0437068952181453	XPA	9	100459634
cg06384026	0.0122610449978656	PPFIA1	11	70117429
cg06384053	0.214447660135921	NA	NA	0
cg06384463	0.231963493621359	BARHL2	1	91182708
cg06384491	0.788148565243777	SPIN2A	X	57163888
cg06385087	0.0200474657457262	CTSZ	20	57581903
cg06386517	0.0114516505873302	GRB10	7	50860866
cg06386533	0.0113687552322607	SOCS5	2	46925753
cg06388544	0.820495878283842	RHD	1	25598878
cg06391468	0.121306165253178	SOX9	17	70117530
cg06391660	0.952620674992248	DCTN1	2	74608183
cg06392096	0.137584721992701	NA	NA	0
cg06392241	0.367391253615208	NUDT4;NUDT4P1	12	93771346
cg06392426	0.0428844314168278	KRI1	19	10676186
cg06392589	0.943125514417976	IL20RB	3	136676846
cg06393290	0.015848699061871	FGFRL1	4	1004778
cg06394229	0.818248293428928	LGALS4	19	39303775
cg06394897	0.0483751480342386	AK2	1	33502464
cg06397510	0.0183006862602239	PTP4A2	1	32403634
cg06397837	0.488483504715971	HOXA13	7	27240251
cg06398181	NA	ZNF236	18	74536226
cg06399881	0.782017180135867	TMPRSS11B	4	69111391
cg06403126	0.0148080501496506	PPP2R2A	8	26149055
cg06403553	0.939696775337413	PGK2	6	49754848
cg06405090	NA	TTLL12	22	43582667
cg06405206	0.182413594838708	NXPH3	17	47652804
cg06407137	0.147575882944166	CD300LB	17	72527515
cg06409153	0.045894810091692	ABCA5	17	67323953
cg06414605	0.02192962113584	HES1	3	193853892
cg06415153	0.126757527596943	PITPNM2	12	123519476
cg06416685	0.0596353746942629	TSPAN6	X	99891793
cg06417225	0.0521131570163373	PEBP1	12	118573533
cg06417705	0.0157891956952722	ETAA1	2	67624590
cg06417962	0.978830644797214	RNH1	11	507970
cg06418184	0.0357974136646274	DCTN3	9	34620572
cg06418219	0.0960191749094463	SHC1;CKS1B	1	154948305
cg06418878	0.0229523503738984	BUD13	11	116643266
cg06419771	0.0208848246710063	EHD4	15	42264912
cg06420088	0.0920307828873267	MUC1;MIR92B	1	155163590
cg06421707	0.0118680862337066	PYGB	20	25228305
cg06421800	0.80522294837593	NA	NA	0
cg06422693	0.0100710833872867	OCIAD1	4	48833587
cg06422910	0.0178508503456918	COPG2	7	130352926
cg06423920	0.0563567198351375	FEZF2	3	62359420
cg06424894	0.414394008634262	SORD	15	45314789
cg06425515	0.789925549986093	NA	NA	0
cg06425556	0.0270488996647029	NCOA6	20	33413664
cg06425868	0.339961144815283	SNX21	20	44463228
cg06426831	0.0430366322051697	SLC35A3	1	100435258
cg06428055	0.579177531321271	ELF4	X	129243872
cg06428195	0.0182922970318333	GOT1	10	101191157
cg06429195	0.904380993703511	DAZL	3	16646582
cg06432655	NA	CLIP3	19	36523405
cg06433658	0.0455293600870738	FAM63A	1	150979092
cg06433995	0.0199247872996795	NOL7	6	13615570
cg06434428	0.915551178212158	HAPLN1	5	83016630
cg06434451	0.786527007185848	MARCKSL1	1	32802291
cg06434470	0.201747510019942	DPP6	7	154429544
cg06435786	0.900273015343473	INPP4A	2	99135014
cg06436504	0.285773670643553	C3orf26;FILIP1L	3	99833735
cg06437004	0.0240109661933435	LDHB	12	21810458
cg06437862	NA	TUBA3C	13	19756096
