Hybridization REF	TCGA-A2-A0CZ-01A-11D-A032-05	TCGA-A2-A0CZ-01A-11D-A032-05	TCGA-A2-A0CZ-01A-11D-A032-05	TCGA-A2-A0CZ-01A-11D-A032-05
cg04599297	0.123511310668574	GAD2	10	26505442
cg04600076	0.0213708291944656	NA	NA	0
cg04600406	0.0154987616740593	UQCR	19	1605414
cg04600618	0.089808240147887	RSPH9	6	43612980
cg04601137	0.293998830811336	ADAMTSL5	19	1512314
cg04603031	0.150392908539095	CHRNA3	15	78913156
cg04603184	0.0396878877952659	RNF182	6	13924929
cg04605667	0.0447371361791195	SIAH2	3	150481783
cg04609640	0.699044520238312	BEST4	1	45254092
cg04609859	0.0204277338563749	HOXB4	17	46655736
cg04612566	NA	C8orf31	8	144120706
cg04613080	NA	CNGA2	X	150903211
cg04613791	0.0480436604997812	FKBP1A	20	1373260
cg04614339	NA	CFHR3	1	196743672
cg04614380	0.00946433851416052	SEMA3F	3	50192449
cg04616566	0.939649782474727	THSD4	15	72020560
cg04616963	0.570167106218113	NA	NA	0
cg04618528	0.902430456499803	KRT36	17	39645876
cg04618607	0.013768643450386	SQLE	8	126011005
cg04619381	0.167681009136725	PRR15	7	29603121
cg04619854	NA	UBXN2A	2	24162667
cg04619859	0.0148753894135834	C7orf49	7	134855396
cg04621255	0.0164147369996559	ENDOG	9	131581398
cg04622802	0.327206713041395	FIBIN	11	27015872
cg04623168	0.0124560476367322	NAA25	12	112546260
cg04623837	0.555129195609126	HCG9	6	29943414
cg04623955	0.144520481552758	DIO3	14	102026376
cg04624659	0.237880453562859	NA	NA	0
cg04626574	0.045300803784097	HPS4;SRRD	22	26879726
cg04627663	0.880596874207835	NA	NA	0
cg04628008	0.017917974368202	ZBTB16	11	113931000
cg04629204	0.316967170238494	EXTL1	1	26348325
cg04629269	0.0118108057711725	NA	NA	0
cg04631202	0.143482995706153	MAN1C1	1	25942460
cg04632671	0.0197422591761198	PPARG	3	12329826
cg04632683	NA	PRPF31;TFPT	19	54620122
cg04633384	0.0181779747656177	C18orf1	18	13218816
cg04633513	0.0224752316644852	AVPR1B	1	206224027
cg04636194	0.664961475890529	PAGE4	X	49594154
cg04636557	0.60500469032595	C1orf124;EXOC8	1	231472424
cg04637372	0.899125288756818	VWA5B1	1	20617456
cg04640886	0.0536664163979551	MIR7-3;C19orf30	19	4769592
cg04640913	0.386575506292759	CDH22	20	44880515
cg04644624	0.0992477600377535	TBC1D10A	22	30722331
cg04645049	0.0268448920916328	ARL6IP5	3	69133926
cg04645174	0.668794566548235	OR7A17	19	14993513
cg04645342	0.0417199432952617	NEGR1	1	72748124
cg04645843	0.732416027224678	NA	NA	0
cg04648087	0.0430172737915134	TSC1	9	135819397
cg04648440	0.122774457358039	BRD3	9	136932424
cg04650786	0.0157884507885939	OSTM1	6	108395545
cg04653021	0.140223340930957	DIRC2	3	122514541
cg04653308	0.50013447266311	CRAT;PPP2R4	9	131872018
cg04655481	0.786607800734676	GPR21;RABGAP1	9	125796809
cg04658354	0.0263232539427217	NBR2;BRCA1	17	41277444
cg04659622	0.299687426080993	PNPLA4	X	7895031
cg04660234	0.0328750967231829	DCAF10	9	37800484
cg04660410	0.22960675842401	VILL	3	38036034
cg04660617	0.0157275900769757	NA	NA	0
cg04660698	0.0136598353744839	C16orf53	16	29828145
cg04662451	0.0182253636035272	RAD51	15	40987790
cg04662594	0.512527378575174	EPB49	8	21917015
cg04663194	0.922458454301242	ACTN3	11	66315239
cg04663487	0.159216209291184	TFEC	7	115670804
cg04667458	NA	C1orf128	1	24105319
cg04668164	0.0275099553547032	SMAP2	1	40840012
cg04672450	0.0234821400433143	SAMD11	1	860185
cg04675937	0.670873630344161	NA	NA	0
cg04676561	0.0256881803614419	HIST1H1B	6	27835191
cg04677163	0.0394766184430063	CAV1	7	116165941
cg04677227	0.0280835847384655	LOXL4	10	100028320
cg04678793	0.0238886798420729	LY6E;LOC100133669	8	144099566
cg04680304	0.0145360299340856	RRM1	11	4116184
cg04681849	0.0387239838631104	PDGFRL	8	17434460
cg04682845	0.0706122308489235	TMEM42	3	44904059
cg04683119	0.0242901180925841	GUF1	4	44679953
cg04683240	0.0239614308104932	HLX	1	221052886
cg04684516	0.0481888372835723	SNCAIP	5	121647858
cg04686412	0.0874463233194233	PSD2	5	139175658
cg04688368	0.0429754680076548	KCNMA1	10	79397346
cg04689061	0.495829582837696	PKIA	8	79427993
cg04690289	0.0134631935046652	ZDHHC3;EXOSC7	3	45017999
cg04691375	0.094188395134695	NA	NA	0
cg04691540	0.0289938451678892	ABL2	1	179198414
cg04691961	0.943994282612942	C3orf57	3	161091175
cg04697119	NA	IGSF8	1	160068221
cg04697562	0.901837225740512	STAG3;GPC2	7	99775862
cg04697849	0.911737635451217		X	44725035
cg04698187	0.0313477751076605	LRRN2	1	204654145
cg04700814	NA	HEXIM1	17	43224180
cg04700925	0.0181578731906665	KIAA0922	4	154387160
cg04702045	0.566864004520803	OPHN1	X	67653598
cg04702490	0.0177682796456731	GALNT2	1	230202430
cg04703844	0.0973707342809495	RPL7;RDH10	8	74207197
cg04705866	0.875437632650981	GZMK	5	54320790
cg04706338	0.716998385038178	VTN	17	26697052
cg04710641	0.922909495574507	RDBP;SKIV2L	6	31928257
cg04710918	0.0230250341422135	NA	NA	0
cg04711050	0.00875317339194257	SLC1A1	9	4490757
cg04711324	0.776487999317645	RIT2	18	40695633
cg04712018	0.0574591255188318	NA	NA	0
cg04712892	0.955915334544311	NRAP	10	115424103
cg04713352	0.558569722929053	ATP4A	19	36055013
cg04713521	0.0529450276896039	NA	NA	0
cg04715462	0.772820250533328	NA	NA	0
cg04716261	0.33763742726681	ACTRT2	1	2937999
cg04717045	0.728763851775503	CCND1	11	69468789
cg04718306	0.0413589693367949	GADD45A	1	68151105
cg04718342	0.0260450960481739	CLPX	15	65478018
cg04718414	0.0159401183107966	CDC16	13	115000211
cg04719491	0.0198237616530804	HAS2;HAS2AS	8	122654045
cg04719766	0.937697562963426	KCNQ1	11	2542580
cg04720330	0.206839589696293	PHLDA2	11	2949813
cg04720358	0.981760874260852	RCVRN	17	9808263
cg04721098	NA	CACNG3	16	24265703
cg04721883	0.62194484552695	ESX1	X	103499577
cg04722168	0.0137190851531535	PAFAH2	1	26324647
cg04725234	0.0182914142237248	TMEM38B	9	108456639
cg04726200	0.697481591573036	SLC22A18	11	2930485
cg04726446	0.325818903628594	C2orf39	2	26624865
cg04727522	NA	C18orf22	18	77793182
cg04730731	0.0164269716584825	GEMIN5	5	154317555
cg04731091	0.0245516509893886	WDR37	10	1102917
cg04731384	0.74897334962228	DBNDD1	16	90076766
cg04732193	0.935690272207729	HSD11B1	1	209858581
cg04733302	0.0244511092222018	TTC18	10	75118678
cg04733388	0.0381517542522156	ACAD11;UBA5	3	132378753
cg04733989	0.0100002863902536	NAGA	22	42467013
cg04735237	0.871582953581311	TIMM17B;PQBP1	X	48756592
cg04735745	0.0149624877017744	LOC728723;ZBED3	5	76382885
cg04736140	0.0175282594333338	GPR161	1	168105317
cg04737046	NA		7	87109370
cg04737319	0.0182753001642647	DTD1	20	18568568
cg04737405	0.571142223367594	OR12D2	6	29364418
cg04738091	0.0205147897544751	PTEN;KILLIN	10	89622084
cg04739149	0.881073496186209	C3orf26;FILIP1L	3	99833293
cg04739485	0.697196084908833	MLXIP	12	122611783
cg04739570	NA	PODXL2	3	127348611
cg04740359	0.595869397098074	NTF3	12	5603542
cg04741133	0.0242209613842692	LOC153684	5	43042726
cg04741636	0.0421119298126147	PARP9;DTX3L	3	122283583
cg04741821	0.0177147826101566	TMX4	20	8000564
cg04743063	0.029282295027521	RTCD1	1	100731534
cg04743650	0.474063056350135	VCAM1	1	101185070
cg04743872	0.15331981981	PID1	2	230135577
cg04744379	NA	KLK15	19	51336102
cg04745698	0.0112052440292538	UPF2	10	12084977
cg04745805	0.0320643040325773	STAT5B	17	40427474
cg04747322	0.270558241752126	SNCAIP	5	121647308
cg04747510	0.0377058632862065	MICA	6	31370923
cg04747619	0.396629296392319	DEFA5	8	6914838
cg04747863	0.0112326045339082	PRPSAP2	17	18761731
cg04748010	0.673574833531149	POU6F2	7	39046213
cg04748704	0.0661401796043637	CHRM2	7	136553243
cg04749104	0.0398482701416949	STEAP3	2	119981169
cg04749372	0.632039033656786	INMT	7	30791871
cg04752565	NA	SMAGP	12	51664655
cg04754011	0.527728460207582	GPR44	11	60623144
cg04755031	0.0608208140379742	PNPLA5	22	44287841
cg04755662	0.546792077548312	AR	X	66763359
cg04755933	0.0200458069805199	NA	NA	0
cg04756629	0.344396466278491	NA	NA	0
cg04757093	0.730134633224897	RUNX3	1	25229192
cg04757243	NA	C3orf36	3	133648823
cg04757428	0.0158153098067859	STMN3	20	62284615
cg04759439	0.143119862113171	ERC2	3	56502612
cg04759756	0.843695471528824	SLA2	20	35273933
cg04761824	0.912617006804731	DEC1	9	117905075
cg04762213	0.031282041119199	BAT2	6	31587888
cg04762346	0.0111987883352691	S1PR2	19	10341584
cg04763192	0.0134129278057213	C1orf88	1	111889241
cg04764624	NA	RAB11FIP4	17	29718129
cg04765277	0.273708564638127	FLJ45983	10	8094679
cg04765422	0.032877824954328	RAD18	3	9004773
cg04765675	0.0468312322576168	CXorf15	X	16804334
cg04765929	0.0168383228737166	TNFAIP8L1	19	4639662
cg04770504	0.0355897055224329	DFNA5	7	24797363
cg04774694	0.660112942911897	NA	NA	0
cg04775502	0.0467507158573613	C6orf114;GFOD1	6	13486339
cg04779191	0.0171500510297376	CHTF8;CIRH1A	16	69166964
cg04780126	0.0163147821482864	POLA2	11	65029484
cg04780454	0.403504204451712	SERPINF2	17	1647819
cg04780629	0.0192174479111426	RNF43	17	56494964
cg04783231	0.104461762493465	ZFP28	19	57050834
cg04784315	0.894198610640516	GPR21;RABGAP1	9	125797284
cg04784672	0.117975604792394	LRFN5	14	42077674
cg04785227	0.0170271677146115	CHRNA7	15	32321637
cg04785461	0.0106949441493	DCLRE1C	10	14996236
cg04786857	0.268950632117409	SPDYA	2	29033897
cg04788442	0.354358756461097	NA	NA	0
cg04790129	0.672493098695648	ITGB2	21	46340810
cg04790829	0.0136880642953211	TSKU	11	76494705
cg04790874	0.839140854240138	CD79A	19	42381950
cg04790936	0.010326630575013	SH3BP1	22	38035753
cg04794268	0.328286675671719	KIFC2;CYHR1	8	145690383
cg04794505	0.0381438482600881	PBX3	9	128508709
cg04794887	0.0920089022005675	LETM1	4	1858231
cg04794901	0.0148205558655958	TCP1	6	160209903
cg04796162	0.0199997616340095	IGFBP3	7	45961102
cg04797323	0.442140442345875	SOCS2	12	93966978
cg04797496	0.826756573112251	PCDH12	5	141339086
cg04798095	0.0169194911500544	NA	NA	0
cg04798158	0.0152525799274341	FCF1;KIAA0317	14	75179846
cg04798796	0.02378559540382	GLUD1;FAM35A	10	88855483
cg04799664	0.83232721640345	NLRC5	16	57053850
cg04801003	0.0248748372738654	ANTXR1	2	69240754
cg04802221	0.81265845087929	EXOC3L	16	67223955
cg04802801	0.0268835595538821	PPP1R11	6	30034711
cg04803153	0.111500489650741	ZNF790	19	37329859
cg04805109	NA	CSPG5	3	47619964
cg04806409	0.532701990068287	TFF3	21	43735505
cg04807655	0.0167172382768776	NA	NA	0
cg04808672	0.0247267903333691	SMURF2	17	62658750
cg04809136	0.138148423900371	SF3B14	2	24300158
cg04809787	0.206480130775643	CHRNB1	17	7348339
cg04810997	NA	TAS2R60	7	143140674
cg04811526	0.0243296347546566	TIMM44	19	8009138
cg04815626	0.0358284196512713	MSRA	8	9912509
cg04816348	NA	CLEC4G	19	7796382
cg04818845	0.330935772722415	PLEKHG5	1	6580167
cg04819539	0.911541689403974	FAM119B	12	58167550
cg04820387	0.0495835009189805	PCMTD2	20	62887534
cg04824341	0.0157158607865908	CHCHD8;PAAF1	11	73587915
cg04824716	0.443343988898574	CCHCR1;TCF19	6	31125475
cg04825431	0.886913193711796	ZNF239	10	44063899
cg04826422	0.0138316234625878	KLRAQ1	2	48667825
cg04826883	0.0220751369459919	CA12	15	63673893
cg04828792	0.935096241974544	MX2	21	42733433
cg04828892	0.0122202892188357	PPM1J	1	113258366
cg04833050	0.218889722501122	LHFPL2	5	77806051
cg04833152	0.0225858308491908	PURG;WRN	8	30891510
cg04833845	0.600912289048136	KCNN4	19	44286076
cg04834572	0.793905940684149	DUSP13	10	76868766
cg04835638	0.948536584929068	FHIT	3	60363505
cg04836038	0.125919917401004	DOCK9	13	99739382
cg04836428	0.0458275670058433	DTNA	18	32073245
cg04836786	0.0422983004431982	HLTF	3	148804272
cg04837071	0.396577794263316	EXD3;NOXA1	9	140318649
cg04837322	0.0185799616766234	ROD1	9	115096481
cg04837898	0.155685994535009	SACM1L	3	45731254
cg04837997	0.0243639579412013	NA	NA	0
cg04838107	0.0488893504578224	ARF6	14	50359190
cg04845063	0.360943942070775	NA	NA	0
cg04845144	0.0145582966541243	RTN2	19	45999799
cg04845579	0.389550469558254	SULF1	8	70378673
cg04845628	0.0941096551142713	NA	NA	0
cg04848046	0.924540873003732	FNDC3B	3	171830149
cg04848452	0.167841506113283	EIF1B	3	40350801
cg04849025	0.0157815114823785	YIPF2;C19orf52	19	11038957
cg04853151	0.116028373094677	C1orf83;TMEM59	1	54519244
cg04853383	0.0161688427425024	C12orf49;RNFT2	12	117176053
cg04853958	0.0298623532141199	NAP1L4	11	3013544
cg04856043	0.0184636811916226	HS1BP3	2	20851304
cg04856203	0.0181256176181504	DMXL1	5	118407258
cg04856685	0.0248198417285195	MAP4	3	48130799
cg04856689	0.0334623209248876	CRHR1	17	43862032
cg04856858	0.268412368857069	AGAP1	2	236402015
cg04861271	NA	PABPN1	14	23789531
cg04862249	0.0181236224222098	ZFP3	17	4982244
cg04863713	0.0324031110492632	ADAMTSL4	1	150521201
cg04865575	0.0102992644385138	YME1L1;MASTL	10	27443031
cg04868764	0.0229137252634266	SPINT1	15	41137019
cg04870470	0.393350853487174	EXTL2	1	101359714
cg04871004	0.0106917244518401	NA	NA	0
cg04872051	0.707662849563852	CHST7	X	46433447
cg04872689	0.734001703513906	PLEK	2	68592375
cg04875162	0.465386879679075	PABPC5	X	90689826
cg04875709	0.0135681178549911	CDKN1B	12	12870463
cg04876451	0.0120788539896521	PET112L	4	152682126
cg04878152	0.119873601285852	AGTR1	3	148415960
cg04878727	NA	ZNF323;ZKSCAN3	6	28317483
cg04878842	0.0302011197769517	ERCC2	19	45874111
cg04879235	0.872582586483689	PPY	17	42018862
cg04879696	0.0380898452057453	SPG7	16	89574810
cg04880063	0.0816512533003111	SFXN3;PDZD7	10	102790718
cg04880762	0.0174098824476734	VAMP1	12	6580124
cg04881903	0.615321620045978	CAPG	2	85637116
cg04882759	0.927875280883112	MYOCD	17	12569901
cg04882894	0.253874888123761	IGSF1	X	130423289
cg04883450	0.0253234145237676	DIMT1L	5	61699957
cg04884122	0.0161953422376049	PSMB5	14	23504085
cg04884732	0.0219646908314654	MTERFD2	2	242042016
cg04884908	0.165956283480426	CYP26B1	2	72374840
cg04886198	0.057778026562306	ALG3;ECE2	3	183967409
cg04887278	0.0989462758659344	PGM3;RWDD2A	6	83903927
cg04891836	0.576744003892163	TNFSF14	19	6670390
cg04893087	0.0416634231554248	PPARGC1A	4	23892083
cg04893119	0.260183850441954	PI15	8	75736301
cg04894993	0.0188886390210961	KLHDC10	7	129710370
cg04897683	0.133176163912997	NEUROG1	5	134871462
cg04898443	0.0207622275075174	SEPT2;HDLBP	2	242254495
cg04898512	NA	KLF2	19	16434995
cg04898797	0.290955478931824	MAP4K2	11	64570331
cg04900486	0.0370834073691246	RFX5	1	151320117
cg04901273	0.674229984247122	NA	NA	0
cg04902405	0.88696610436842	ZC3H11A	1	203768517
cg04905829	0.329592892857573	CYP27B1	12	58160911
cg04906538	0.673775764754684	NA	NA	0
cg04907257	0.692573807255268	ADCY2	5	7395318
cg04907664	0.658434114818641	EFNB1	X	68049805
cg04910299	0.0181400399848926	MLL	11	118306353
cg04912050	0.0131573313388985	IDUA;SLC26A1	4	980613
cg04912278	0.0196127640198215	MRPL4	19	10362688
cg04914105	0.0412195877422596	PTPN9	15	75872043
cg04914305	0.0195662863613574	MRPL34	19	17416447
cg04915182	0.158124682855372	RASGEF1C	5	179635731
cg04915566	0.633725215526489	RUNX1	21	36421472
cg04916200	0.0129408696636042	RIC8B	12	107168633
cg04916311	0.0264081888426217	PQLC3	2	11295222
cg04916911	0.0824283409762773	NTS	12	86268154
cg04916980	NA	PCBD1	10	72650001
cg04920616	0.901228324832064	FOXP3	X	49121288
cg04920951	0.0183430921844882	GSTP1	11	67351271
cg04922020	0.33645641664423	FAM127A	X	134166009
cg04922810	0.299909756166413	CRHR2	7	30721888
cg04922833	0.0602520730914907	C10orf41;ZNF503	10	77161525
cg04924696	0.482776931960982	CXorf58;APOO	X	23925746
cg04925864	0.109490263165925	FAM65A	16	67562517
cg04926244	NA	C12orf67	12	24737251
cg04927982	0.0131485844860748	KDM5C	X	53254653
cg04929736	0.0255331944408032	CLU	8	27472395
cg04929865	0.469406026722654	BGN	X	152760078
cg04936062	0.0197163966076008	THRAP3	1	36690116
cg04936930	0.0144315368616739	PTS	11	112096887
cg04940435	0.0424633894398273	WFDC3;DNTTIP1	20	44420291
cg04940515	0.0164990110909077	SNORD45C;RABGGTB	1	76251865
cg04941721	0.324215417893395	EREG	4	75230901
cg04943986	0.0395083600307248	NR2F2	15	96873868
cg04944936	0.476457507960559	FAM120C	X	54209594
cg04945541	0.272270602517941	FMNL1	17	43299826
cg04946535	0.0140287195283689	MUS81;CFL1	11	65627070
cg04946916	0.970174729691293	HUS1B;EXOC2	6	656890
cg04947157	0.340960792706728	TMC8;TMC6	17	76128481
cg04947578	0.0226782925337582	C19orf10	19	4669928
cg04947838	0.0301925871684354	ARFGEF1	8	68256476
cg04949741	0.0460504504910912	EFEMP2	11	65640486
cg04950711	0.769356991326065	MAGEA10	X	151306718
cg04950789	0.0188260999319883	E2F5	8	86090224
cg04951204	0.0293928303054401	PPP1R9A	7	94537584
cg04953015	NA	CHRNA2	8	27338236
cg04956382	0.511644981337731	MYOT	5	137203640
cg04956511	0.499705116566174	PTPN6	12	7056008
cg04956790	0.152130943483717	CAND1	12	67663226
cg04958389	0.700160102044101	NA	NA	0
cg04958703	0.0416076973576304	SLC25A11;RNF167	17	4844722
cg04959788	0.0157744694840053	NA	NA	0
cg04959837	0.0270488717928922	PLSCR4	3	145968389
cg04960271	0.0227890530532203	PARP1	1	226595576
cg04960652	0.0216890910088436	BNIP1	5	172571539
cg04960951	0.0164669955322335	SUV420H2	19	55851040
cg04961553	0.0518358768047127	OCIAD2	4	48908469
cg04962134	0.437024049084196	SPRYD5	11	55653310
cg04963951	0.978137889655798	NA	NA	0
cg04964702	0.0459863502472196	CBL	11	119076556
cg04967538	0.438486680346251	CXorf42	X	119379188
cg04968426	0.947150160545295	PPP1R14D	15	41120711
cg04968473	0.801364785203898	CYP1A2	15	75040734
cg04969808	0.093931231723311	WNT7A	3	13922158
cg04969878	0.318520717621609	TMEM19	12	72079240
cg04970117	0.0329124786563265	SLC6A20	3	45838037
cg04970352	0.406892360175356	ALX4	11	44327399
cg04970994	0.924143338381868	BCS1L	2	219525843
cg04972545	NA	RFX3	9	3526297
cg04972979	0.259988824192058	C20orf54	20	749148
cg04975920	0.257597696590573	TSPAN1	1	46646224
cg04979725	0.0138170751178205	UNKL	16	1464225
cg04979933	0.842000784775827	INSL5	1	67266801
cg04981414	0.027185445831483	POMT1	9	134378512
cg04981492	0.37193689121301	SYDE1	19	15218713
cg04982748	0.106837678780129	HELB	12	66696283
cg04983977	0.767303870109271	GPR25	1	200842145
cg04984200	0.0203152892918455	HCCA2;CTSD	11	1784980
cg04984513	NA	BRI3BP	12	125477549
cg04985144	0.794336996817061	SPTBN2	11	66488638
cg04985146	0.0107314007152576	MRPL12	17	79670585
cg04987894	0.457892273891603	NA	NA	0
cg04988423	0.0241705454655291	ALX4	11	44331577
cg04988978	0.527341919072022	MPO	17	56359578
cg04991214	0.561280775348981	PFDN2;NIT1	1	161089118
cg04991337	0.0368355954252339	MCCC1	3	182817223
cg04992673	0.935699621930943	HEPACAM2	7	92848714
cg04993257	0.316185327891593	PLAC2	19	5568163
cg04994456	0.592319888756214	RNF186	1	20141662
cg04995095	NA	CD300E	17	72619556
cg04995717	0.526975216257078	TEK	9	27109293
cg04996020	0.840090826626762	SLC26A3	7	107443898
cg04997967	0.338281004773375	NA	NA	0
cg04998282	0.0286214697359739	NOL11	17	65713980
cg04999036	0.0520665035134465	TMEM87A;GANC	15	42566375
cg04999691	0.577380837680947	C7orf29;LRRC61	7	150027050
cg05000446	0.422968092760878	C9orf131	9	35042395
cg05001145	0.0729506617748086	ELL2	5	95297731
cg05004940	0.026119013571881	C20orf195	20	62185074
cg05008406	0.0113057589871383	B4GALT4	3	118959563
cg05009249	0.0152800966242261	NA	NA	0
cg05010058	0.0308360741242424	CEP68	2	65284262
cg05010623	0.0783735202948194	ACVR1C	2	158485762
cg05010967	0.383623821810376	SPATS1	6	44310640
cg05011018	0.920913894188425	NA	NA	0
cg05011232	0.0273749889076686	ETV4	17	41622925
cg05012785	0.0358604457841519	ZRSR2	X	15808900
cg05013695	0.0102532461100199	FRAT1	10	99079798
cg05016508	0.991504004698268	FLRT1;MACROD1	11	63871570
cg05016953	0.0201306948703439	SLC6A4	17	28562813
cg05018361	0.02650986796408	NSUN6	10	18940650
cg05019001	0.567186236674698	AR	X	66766334
cg05019152	0.0162254883026491	FAM82A2	15	41047360
cg05019661	0.0209069558939	AP3M1;ADK	10	75910806
cg05020203	0.731113668096453		2	242968829
cg05022306	0.0252045692261746	HOXC8	12	54403254
cg05023116	0.97706908250615	NLRP5	19	56510892
cg05023540	0.607474567429321	NA	NA	0
cg05023691	0.783804347032027	RGS13	1	192605253
cg05024638	NA	POLG	15	89877539
cg05026033	0.0373649446300442	ELP3	8	27950972
cg05026186	0.359009151134842	ABLIM3	5	148520876
cg05027081	0.0115944287380169	CDC7	1	91966616
cg05028306	0.121299539093857	LAP3	4	17578663
cg05028467	0.025314820854843	SNCB;EIF4E1B	5	176057097
cg05029288	0.0184383948360339	UGDH	4	39529354
cg05032550	0.00886000560990327	C14orf2	14	104387812
cg05032943	NA	SFRS4	1	29508776
cg05037688	NA	EGFL7	9	139556554
cg05038053	0.010749766062308	NR1H3;ACP2	11	47270240
cg05038121	0.131450165525317	FAH	15	80444758
cg05038209	NA	MAP1LC3B;FBXO31	16	87426147
cg05038977	0.0528755333435898	EIF4A1	17	7476167
cg05039054	0.365332364704956	DMD	X	33357782
cg05040360	0.879840641305019	MS4A6E	11	60102449
cg05040429	0.0288258991769971	SAMD12	8	119633844
cg05040447	0.0114611304318208	UQCRQ	5	132202635
cg05044994	0.669251146317153	LPP;FLJ42393	3	187896605
cg05045383	0.0164331035261241	RAE1	20	55926193
cg05045528	NA	GPR107	9	132815702
cg05045781	0.0305847296861997	FHL3	1	38471474
cg05046097	0.635458132798957	MMRN2;SNCG	10	88717926
cg05047411	0.516487572930191	MAGEA8	X	149009895
cg05050341	0.838395775200935	ENG	9	130617534
cg05051316	0.0114083686880635	TMED1	19	10946973
cg05052633	0.0248577414267173	ADAP2	17	29249485
cg05055150	0.680901013096724	MAG	19	35783292
cg05055720	0.018060279786484	TCTA;RHOA	3	49449599
cg05056120	0.390526701930476	EBF1	5	158527702
cg05057057	0.0208566401959643	DDX56	7	44613977
cg05058973	0.79922620375983	GHRHR	7	31002599
cg05059825	0.0200771843994379	HNRNPUL2;TTC9C	11	62495950
cg05060602	0.0153783638398641	DCTD	4	183838922
cg05060662	0.0205456945552731	HIST4H4	12	14923882
cg05062178	0.0336315491230143	ITGB5	3	124605247
cg05063104	0.261467834502203	SLC5A8	12	101603329
cg05064181	0.567793307829381	ABLIM1	10	116445398
cg05064352	0.0299074284503032	PHF21B	22	45406545
cg05064673	NA	PTPRU	1	29562604
cg05065037	0.0247222216984784	ZCCHC6	9	88969928
cg05065690	0.0375286664264394	DDX23	12	49246007
cg05067286	0.296066108638931	TMEM45B	11	129686365
cg05067973	NA	TRIB3	20	360745
cg05069385	0.0172728240860817	FKBPL	6	32098247
cg05070690	0.990091547053386	MOV10L1	22	50528752
cg05071677	0.907867580970388	OR2V2	5	180581950
cg05072008	0.580784961700958	FIGNL1	7	50518647
cg05072951	0.0136358711634156	CAPN1	11	64949398
cg05073035	0.494512775903612	ZIC1	3	147127193
cg05073845	0.0123060226590678	FOXO1	13	41240516
cg05076631	0.112610668371583	PGF	14	75422152
cg05078019	0.635147256234759	PDE6B	4	619392
cg05079045	NA	APBB1	11	6440803
cg05079794	0.0341755302092825	IMPDH1	7	128050616
cg05086873	0.0126823490761485	RIC8A	11	208948
cg05086993	0.0236120044816801	TAS1R1;NOL9	1	6614664
cg05087948	NA	CTSF	11	66336197
cg05088386	NA	ELF2	4	140060774
cg05088512	0.0467259304293062	DKKL1;TEAD2	19	49866817
cg05089059	0.0217276658492842	IMPDH1	7	128049863
cg05089968	0.747001156326872	PRR18	6	166722773
cg05090725	0.0149044956193838	RAB39	11	107799287
cg05091653	0.077329960001414	SP100	2	231281474
cg05093686	0.421331504033065	MAB21L1;MIR548F5;NBEA	13	36050788
cg05094216	0.469653091092349	MED12L;P2RY12	3	151101921
cg05095674	0.0150069273834853	NA	NA	0
cg05098471	0.0157725053405758	MEIS1	2	66662163
cg05098732	0.0533312709925891	FOXA3;SYMPK	19	46367776
cg05101920	0.0973088622293931	KCNJ10	1	160040217
cg05102817	0.654094166535738	RBM18;MRRF	9	125028279
cg05103623	0.0801417889545965	TAGAP	6	159466458
cg05104081	0.932683669219823	KIAA0802	18	8717011
cg05105069	0.213960471823301	TCEAL7	X	102585354
cg05105913	0.343201921867047	XYLT2	17	48422990
cg05106502	0.74557968729963	SKAP1	17	46506947
cg05107152	NA	KLC4;MRPL2	6	43026774
cg05109049	0.518728220707504	NF1;EVI2B	17	29641333
cg05111036	0.0374298778624552	NA	NA	0
cg05111110	0.889193685565355	PC;LRFN4	11	66625278
cg05111829	NA	SUPV3L1	10	70940483
cg05112299	0.444173069581668	NA	NA	0
cg05112986	0.036237300771627	SUPT3H;RUNX2	6	45346247
cg05113558	0.86461703756576	FOXH1	8	145702343
cg05113908	0.0651485887597642	GYG2	X	2747136
cg05114625	0.0149514987568734	CDC27	17	45266880
cg05116896	0.0211333312654841	CD2BP2	16	30366237
cg05119218	0.857804535212019	NA	NA	0
cg05119831	0.0170240935125145	PTPRN2	7	158380179
cg05120641	0.0159655867694804	CHAC1	15	41245706
cg05120715	0.0215718961866291	UGCG	9	114659593
cg05122605	0.0230214848296895	MAEA	4	1283721
cg05125838	0.60256651724814	UCN2;COL7A1	3	48601585
cg05126264	0.928362900537169	NA	NA	0
cg05127380	0.0273178908561303	STIP1	11	63953685
cg05127924	0.557060146509411	FBXW10	17	18647524
cg05129930	0.025664637406288	PFKL	21	45719797
cg05130485	0.181059952092014	CASP8	2	202098257
cg05131524	0.0580836767326357	ADAM22	7	87563251
cg05131835	0.691006208174025	NA	NA	0
cg05134796	0.355298213608996	ENOPH1;HNRPDL	4	83352783
cg05135156	0.0600205957720481	C1orf21	1	184355420
cg05135288	0.374279705169634	RHOT2;WDR90	16	717707
cg05139924	0.0190296024926575	LZTR1	22	21336424
cg05140736	0.703606415747249	SLC26A11;SGSH	17	78195518
cg05141400	0.417398967356641	MAGEB4	X	30260122
cg05141870	0.0160600640892989	MIR423;CCDC55	17	28444127
cg05142115	0.0240549503139142	GGCT	7	30544301
cg05142373	0.0776943236542754	FZD1	7	90894714
cg05142576	0.0241478012922911	NA	NA	0
cg05144089	0.0176220440814911	SNORA14B;TOMM20	1	235292386
