Hybridization REF	TCGA-B6-A0IA-01A-11D-A032-05	TCGA-B6-A0IA-01A-11D-A032-05	TCGA-B6-A0IA-01A-11D-A032-05	TCGA-B6-A0IA-01A-11D-A032-05
cg07465609	0.917273789793737	EYS	6	66205227
cg07465864	NA	YTHDC2	5	112849162
cg07466531	NA	SRP14	15	40331758
cg07469792	0.0114168700673313	RASSF8	12	26112121
cg07471052	0.605809243508287	CDK3;C17orf106	17	73996245
cg07472159	0.759324173345345	COL10A1;NT5DC1	6	116447667
cg07473175	0.0157977334827951	AMIGO2	12	47474262
cg07473550	0.595945595363726	TSC22D3	X	107019191
cg07474356	0.0167902574527247	PCDH11X	X	91034003
cg07475247	0.0163153310061793	PMPCB	7	102938279
cg07475743	0.720882345194502	NA	NA	0
cg07476030	0.898337524987666	RTN4IP1;QRSL1	6	107078648
cg07477160	0.0230831861932889	NDRG1	8	134309501
cg07478100	0.0157070290847647	MIS12;DERL2	17	5389857
cg07478122	0.43399305393626	PAR5	15	25230421
cg07478208	0.15511001285739	MEIS3	19	47923331
cg07479491	0.0562599161808295	BMP6	6	7726108
cg07480567	0.0194021649825791	HS3ST3A1	17	13505174
cg07482936	0.0373652306041077	C17orf82	17	59488635
cg07483064	0.0110188100611277	ENO1	1	8938751
cg07484450	0.883101599716572	C11orf64	11	60383361
cg07484827	0.787187673705085	CHRNA10	11	3693157
cg07485588	0.610055016158742	NA	NA	0
cg07485777	NA	TRIM60	4	165952835
cg07487535	NA	DHCR7	11	71159905
cg07489003	0.713188268860986	XK	X	37545586
cg07489134	0.0116365308609718	HELLS	10	96305958
cg07490776	0.0113969858014178	AP3M2	8	42010169
cg07494047	0.00912757420155492	ZNF304	19	57862713
cg07494248	0.0175737739160113	HSPD1;HSPE1	2	198365610
cg07494518	0.010030804465485	SIK1	21	44847608
cg07495664	0.0118393271208312	FAM63A	1	150978905
cg07496861	0.0138455524625346	FAM119A	2	208489667
cg07496902	0.935475152004998	ASB14	3	57314448
cg07498421	0.0448674314723775	CRADD	12	94071223
cg07498879	0.873364898052064	OSM	22	30663041
cg07499072	0.389749898475987	FST	5	52776694
cg07499372	0.977227426783879	USP29	19	57631232
cg07499806	0.939703337354749	ZSCAN5A	19	56739868
cg07501965	0.248719444036827	NA	NA	0
cg07503829	0.021986310435381	PSMD13;SIRT3	11	236309
cg07504718	0.870038080980201	MMP21	10	127465376
cg07504780	0.0150284659101374	PSMB9;TAP1	6	32821684
cg07505695	0.0351799127253757	SPG21	15	65281854
cg07506795	0.962781151553662	ZNF19	16	71523560
cg07507271	0.0118632130502316	C4orf42;CTBP1	4	1242751
cg07509155	0.0360286233870035	IL28RA	1	24514412
cg07510052	0.118769003635614	NA	NA	0
cg07510080	0.0462561881591914	HIF1AN	10	102295549
cg07512345	0.95842698453061	TNP2	16	11362839
cg07512517	0.848941677055812		7	38408106
cg07514381	0.853725169177918	NA	NA	0
cg07515662	0.0176040780444839	RPS26	12	56435880
cg07516225	0.0320009039131424	C8orf41	8	33371225
cg07518362	0.0111936431982693	NOTCH2	1	120611593
cg07519011	0.0285699408735255	TBC1D4	13	76056421
cg07520158	0.0197146951231525	LSM5;AVL9	7	32535189
cg07520161	0.0175117740680668	TMTC3;CEP290	12	88535980
cg07525077	0.450259140960441	RNASE3	14	21359943
cg07525445	0.0175630573665082	TPM1	15	63335302
cg07526021	0.0120645394747739	MSH3;DHFR	5	79950611
cg07526069	0.0149238287535065	GOT1	10	101190311
cg07526675	0.874753064684955	PCSK1N	X	48694367
cg07531356	0.854986839298842	INSL6	9	5185951
cg07533148	0.00898743084295007	TRIM58	1	248020812
cg07533529	0.0699878076619534	ROM1;EML3	11	62379499
cg07534467	0.0218959096799853	ZNF16	8	146176336
cg07535475	0.030047063791874	ALG2;SEC61B	9	101984791
cg07535879	0.0291642619255219	MTRF1L	6	153323363
cg07536847	0.11122736595177	PAX7	1	18957232
cg07536920	0.0147995361870952	RORB	9	77112326
cg07537523	0.0316060339181392	BCAT1	12	25102311
cg07540118	0.0240342721792397	ADAM19	5	157002713
cg07543883	0.904860708839978	ANGPTL6	19	10213271
cg07545232	0.701416912500123	NA	NA	0
cg07545925	0.843938662384738	CD3G;CD3D	11	118214927
cg07546360	0.105321277008545	LOC400931	22	46482023
cg07548313	0.941004667100614	CD1C	1	158259926
cg07549194	NA	PTH2	19	49927076
cg07549630	0.0100137277587156	NEDD1	12	97300822
cg07549715	0.844395005572495	GNRH2	20	3024204
cg07550267	0.0167509921742033	SNORD46;RPS8	1	45241824
cg07550278	0.0198425287637555	C10orf4	10	95462365
cg07550362	0.79256751755767	TAC1	7	97361201
cg07551659	0.0324171940936955	CGNL1	15	57669165
cg07554030	NA	NAGLU	17	40687935
cg07557424	0.0288365190287478	C9orf23	9	34613043
cg07558006	0.855862432562653	TAAR8	6	132874263
cg07558455	0.0133010441947111	KANK4	1	62784762
cg07559730	0.0204516881156177	ZNF702P	19	53497048
cg07560096	0.0306887670109534	ME3	11	86383182
cg07561400	0.0179802010633946	ZC3HAV1	7	138794433
cg07561588	0.0110854854937012	RNF139	8	125487055
cg07566050	0.897416906939719	PEA15	1	160174755
cg07567107	0.00845239890296916	HEATR6	17	58156231
cg07569069	0.022182205823751	C19orf39	19	11485349
cg07569756	0.0165529667363679	LRRC59	17	48474564
cg07570142	0.0183105689488307	MOXD1	6	132722421
cg07570421	0.0435532900021196	PTER	10	16479076
cg07571117	0.01017072100882	FAM98A	2	33824316
cg07572341	0.171504955581524	FOXA2	20	22565881
cg07572435	0.889874672566375	LY6D	8	143868013
cg07576541	0.545075448250336	SNAPIN	1	153630883
cg07577263	0.0309811236598423	NUP205	7	135242585
cg07579404	0.0560386706935024	RAET1L	6	150346721
cg07580475	0.889732966063548	SEMA3B	3	50304049
cg07580827	NA	PIH1D2	11	111943186
cg07581365	0.0155189147721341	CBX8	17	77770444
cg07581973	0.618722490604904	PRDX4	X	23685729
cg07584959	NA	MED16	19	892937
cg07586911	0.947904553135326	FAM71F1	7	128355717
cg07588113	0.0130324883077441	C7orf63	7	89874465
cg07588664	0.0788479646968703	NA	NA	0
cg07588779	0.0806851652417626	GPR137;BAD	11	64051753
cg07589355	0.0637465998186559	RBMS2	12	56915842
cg07590705	0.0115100933404459	CHCHD3	7	132766510
cg07592353	0.938457754795316	GABRA6	5	161113339
cg07594478	0.0239065862895056	ARIH1	15	72766470
cg07594933	NA	CCDC77	12	515355
cg07595113	0.0315858845505	MYBL1	8	67525279
cg07595943	0.980534438188858	ADAD2	16	84224901
cg07596401	NA	LHPP	10	126150086
cg07596494	0.00932476541789957	KIF3C	2	26205095
cg07597871	0.0350168864005591	RAP1A	1	112162932
cg07597976	NA	CD19	16	28943019
cg07598199	0.61198507486589	MYOZ2	4	120056829
cg07599644	NA	C11orf41	11	33693866
cg07601320	0.896591379171939	SLC38A4	12	47219841
cg07602026	0.0141793086142224	PSME1	14	24605550
cg07602200	0.0228852069741103	P2RX7	12	121570875
cg07603484	0.947788062044848	NUP62;IL4I1;ATF5	19	50434179
cg07605143	0.894911173616487	EMP3	19	48827843
cg07607462	0.0234321008785359	UBR1	15	43398173
cg07607921	0.0378330492316999	ZZEF1;CYB5D2	17	4047574
cg07608333	NA	CD209	19	7813422
cg07611177	0.0186265961977373	SLC25A46	5	110074217
cg07611334	0.02997629662176	NRSN2	20	327811
cg07611925	NA	KCNE2	21	35736383
cg07612655	0.775794516207226	PTGIS	20	48185517
cg07613153	0.754138299171646	TDRD9	14	104436947
cg07613278	0.133814127134256	API5	11	43333327
cg07614786	NA	TTLL3	3	9860331
cg07617246	NA	IGDCC4	15	65715951
cg07617560	0.019480584795271	DNAJA3	16	4475932
cg07618900	0.110814079250184	BEST3	12	70093350
cg07619076	0.114079393129905	NA	NA	0
cg07621042	0.990979971402291	RBMXL3;LRCH2	X	114424768
cg07621046	0.610420474467191	C10orf82	10	118429658
cg07621456	0.955951945623589	CCDC48	3	128749537
cg07623294	0.0217990305987146	ELAVL2	9	23826507
cg07625840	0.0313805378289746	PRSS12	4	119274341
cg07628086	0.014567385094077	AP2B1	17	33914258
cg07629017	0.471106810557296	NPBWR1	8	53851613
cg07633499	0.0655274267513323	UFD1L;CDC45L	22	19467075
cg07634191	0.163310285761431	SCARA5	8	27850178
cg07634204	0.0321450504037651	VPS72	1	151162707
cg07634706	NA	CCL17	16	57438524
cg07636178	0.0133492115192976	HIST1H3C	6	26045534
cg07637239	0.479871541020011	KCNK18	10	118957259
cg07638871	0.0195391396485753	MIER3	5	56247860
cg07638935	0.0266847992093548	KAZALD1	10	102821427
cg07638938	0.955820347447536	MGMT	10	131348599
cg07639198	NA	AKR1C1	10	5004250
cg07639720	0.149564952708882	BNC1	15	83952875
cg07639959	0.014625290841818	EXO1	1	242011162
cg07640473	0.0161787907170002	SEMA3F	3	50193232
cg07640820	0.0200973876962683	AGK	7	141251633
cg07641524	0.0777885106354668	MSRB3	12	65672405
cg07642638	0.440053969605661	CHGB	20	5891786
cg07643942	0.925792679462816	LACRT	12	55029147
cg07644368	0.828896711342463	CDO1	5	115152785
cg07651242	0.0124111541465664	ADCY1	7	45614720
cg07651857	0.0510221080917782	RNF4	4	2471025
cg07651914	0.889148338928132	CLDN15	7	100881986
cg07652213	0.056438526157207	MSH6	2	48010362
cg07652553	0.0201039514220184	NA	NA	0
cg07654843	0.966454030849001	MYO18B	22	26138429
cg07654896	0.627076412491304	RGN	X	46937829
cg07654934	0.0187483679187117	LXN;GFM1	3	158390329
cg07655627	0.0250250932207232	NUDT12	5	102898729
cg07656304	0.0651611445889797	NAP1L1	12	76479148
cg07656362	0.0240961493103314	C1orf91;EIF3I	1	32688117
cg07656391	0.0395725596606838	DPY30	2	32264720
cg07657236	0.138510544909699	KCNH8	3	19190202
cg07657776	0.838054655194381	UBE3B;KCTD10	12	109914065
cg07658590	0.665649180234747	SLC19A1	21	46963587
cg07658718	0.0318715043278571	CDK5R1	17	30814514
cg07660236	0.74312482678915	ZSCAN12	6	28367883
cg07663789	0.2352709815802	NPR3	5	32711429
cg07664027	NA	RPL13AP5;RPL13A	19	49990137
cg07664183	NA	HAUS6	9	19103231
cg07664856	0.104875030105464	CNTN6	3	1134528
cg07665060	0.898675695033174	C19orf33;YIF1B	19	38794598
cg07666065	0.0558401574762424	PON2	7	95064469
cg07667595	0.0141226173570182	ZNF576;IRGQ	19	44100631
cg07668036	0.015809257700567	PSMD4	1	151227536
cg07671208	0.894435497258465	NA	NA	0
cg07671603	0.0138714023858467	C7orf13;RNF32	7	156433350
cg07671949	0.0643666551420045	ESR1	6	152128338
cg07671976	0.0169609794349265	TNFRSF18	1	1142215
cg07672479	0.0133607155680831	DYNC1H1	14	102431106
cg07673945	0.015787521303556	NA	NA	0
cg07674153	0.0256621187681229	TSHR	14	81421600
cg07675169	0.494412126082202	FLJ16779;NKAIN4	20	61886262
cg07675682	0.715512229820903	SLC26A11;SGSH	17	78195515
cg07676849	NA	FOLR3	11	71845665
cg07677850	0.865746904330606	ADORA2B	17	15847412
cg07678643	0.017201234963024	C1orf212	1	35325113
cg07679836	0.859734104799229	BAK1	6	33548423
cg07681084	0.0340751061889542	LMBR1	7	156685826
cg07684150	0.00858862040379127	BRP44;DCAF6	1	167906751
cg07684353	0.0415426021385368	MYO1E	15	59664799
cg07684796	0.52645148667922	DKK1	10	54074209
cg07684809	0.0517143310515761	GLIPR1L1	12	75728212
cg07685034	0.0609966858970363	PCBP3	21	47269627
cg07685221	0.0186292166776431	QTRT1	19	10812325
cg07685786	NA	S100B	21	48025691
cg07685869	0.202956726682226	KIFC3	16	57836706
cg07686479	0.328628061573488	LMX1A	1	165325030
cg07688234	NA	CFP	X	47489663
cg07688613	0.0206110780445008	INTS3	1	153700021
cg07688933	0.0346388519172889	TMEM160	19	47551971
cg07689731	NA		1	31393915
cg07689821	0.0290794785909042	DAXX	6	33290736
cg07690018	0.0270964656616212	CPNE7	16	89642492
cg07693270	0.157523634314649	RPL39L	3	186856928
cg07694025	0.85606134042523	SFRP2	4	154709441
cg07695590	0.0206993126603841	CEBPZ;C2orf56	2	37459068
cg07696033	0.0790873224864036	ALX4	11	44326410
cg07697078	0.0265580470383211	PFDN1	5	139682675
cg07697569	0.0166236183985286	H2AFX	11	118966186
cg07699362	0.014997378963429	NA	NA	0
cg07699440	0.0113444963205166	FAH	15	80445357
cg07703337	NA	ZNF610	19	52847943
cg07703401	0.92388964635952	HBQ1	16	230341
cg07704144	0.0226376970044031	SNPH	20	1247415
cg07705835	0.0875522794125368	IL17RC	3	9959128
cg07705908	0.129560214560551	SPDEF	6	34523925
cg07706067	0.0159735290944327	DHRS7B	17	21030370
cg07706362	0.0472599028478963	ZNF91	19	23578365
cg07707227	0.0109826362757743	MIR449C;CDC20B	5	54469532
cg07707498	0.0204038799722045	C16orf87	16	46865555
cg07708788	0.0104253628057587	SLCO2A1	3	133748311
cg07710481	0.0306480634532622	SLITRK5	13	88325384
cg07711097	0.592367300862119	GML	8	143915954
cg07711515	0.737247392173559	NA	NA	0
cg07713361	0.0615356142367687	APOL1	22	36649144
cg07713493	0.167477307293236	CDK18	1	205473393
cg07714374	0.877444701592222	NA	NA	0
cg07714534	0.0258242120757731	PRCP;C11orf82	11	82612592
cg07715201	0.0374600197518574	GDNF	5	37840839
cg07715387	0.0156319913445333	SLC1A4	2	65216679
cg07715894	0.012882988551753	C16orf75	16	11439533
cg07717632	0.877279203913356	C9orf167	9	140172631
cg07719512	0.857836822052358	SLC11A1	2	219246576
cg07719737	0.024621328302168	MANBAL	20	35917850
cg07728874	0.920293850251219	CD3D	11	118213272
cg07730301	0.0279547115313815	ALDH3B1	11	67777952
cg07730329	0.421863760662331	PCDHGA4;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGA12;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGA7;PCDHGB5	5	140810137
cg07731916	0.0662764635610302	IRF2	4	185395553
cg07732037	0.938113745327367	MPHOSPH9	12	123707827
cg07732644	0.891316497042332	ASPA	17	3378397
cg07733031	0.0225403070561649	SGTB;NLN	5	65018600
cg07736705	0.0134611791151896	POM121	7	72350033
cg07737781	0.060217357646571	MLXIPL	7	73038866
cg07739803	0.0116532077890708	SLC30A7;EXTL2	1	101361235
cg07740640	0.992129382093408	BHLHA15	7	97841941
cg07740989	0.0294326447197038	EEF1A1	6	74230681
cg07744166	0.0188388122907808	WASF3	13	27131484
cg07745434	0.124351604478622	CHST13	3	126243401
cg07745725	0.875069983110115	PSG3	19	43245860
cg07746918	0.0275950405525981	SREBF2	22	42229324
cg07747299	NA	C21orf56	21	47604052
cg07747336	NA	PATE2	11	125649398
cg07747970	0.133043004067375	LHX1	17	35293719
cg07748017	0.0192471257404941	PEX5	12	7342621
cg07748540	0.0203219881819117	PDGFD	11	104034619
cg07749074	0.624967790437214	HRG	3	186383386
cg07749808	0.00980665864875456	SYT17	16	19179817
cg07750111	0.0169679571794837	HIST1H1C	6	26056168
cg07752420	0.527829497129919	NA	NA	0
cg07753583	0.0434258726524146	LRRC61;ACTR3C	7	150020206
cg07753644	0.799944480776638	PPAN-P2RY11;P2RY11	19	10222175
cg07755653	0.0187298675231648	STX11	6	144471198
cg07757386	0.0166362922830107	RAGE	14	102771445
cg07758574	0.0276093207294313	C3orf62	3	49314370
cg07758904	0.0112846908465227	SLC46A2	9	115652824
cg07759587	0.925943179302355	TLR8;LOC349408	X	12924783
cg07761912	0.0178286570139892	TOR1AIP2	1	179846929
cg07763768	0.956849028377198	C9orf45	9	125877923
cg07764959	0.0258152527033194	SLC43A1	11	57282648
cg07766315	0.0193117164456857	NA	NA	0
cg07766612	0.0165719043687018	SLC30A2	1	26372887
cg07770222	0.898390795338279	C8orf31	8	144120106
cg07772309	0.0183206535933264	NELF	9	140353475
cg07773116	0.0839696434682031	GDF10	10	48438500
cg07773642	0.0242767032695718	PSMD7	16	74330896
cg07774025	0.197035406088869	HSD17B7	1	162760659
cg07774222	0.0143343100103576	MED6	14	71067759
cg07775501	0.0107644031574536	JOSD2	19	51014757
cg07775675	0.0247209642991901	SPHK1	17	74379922
cg07777378	0.0242768246070286	GRN	17	42422412
cg07778029	NA	HOXA9	7	27205114
cg07778080	0.0132345447375447	NPC1	18	21166698
cg07780118	0.139960193272899	AR	X	66766506
cg07780979	0.974993691964201	PDCD6;AHRR	5	303287
cg07782113	0.00831597032927052	HIVEP1	6	12012564
cg07785936	0.402173170450512	GPR39	2	133174635
cg07786760	0.0238381592630345	DCHS2	4	155412677
cg07788138	0.0179720074137636	NA	NA	0
cg07789083	0.013800387233726	GPRC5C	17	72427563
cg07789552	0.0625583651652057	STK40	1	36851195
cg07789904	NA	MAD2L2	1	11741841
cg07790638	0.935741186562819	C4orf21	4	113508575
cg07791997	0.106995895081434	PPME1;C2CD3	11	73882526
cg07792737	0.652383437837083	NA	NA	0
cg07799434	NA	C19orf43	19	12845367
cg07799947	0.298136114107315	NPAS2	2	101436171
cg07800320	0.0619516180715043	ALDH1L1	3	125899567
cg07803864	0.850287030496056	TUBAL3	10	5446998
cg07804122	0.0138251238693945	TXN	9	113018739
cg07804582	NA	C16orf78	16	49407186
cg07805833	0.954677844282068	POLR1C;YIPF3	6	43483391
cg07806164	0.0531007020451727	UBE2E2	3	23244688
cg07807709	0.0599854545139093	HIST2H2AB	1	149860026
cg07807817	NA	COQ6;FAM161B	14	74416425
cg07808960	0.0091634282919952	RBM6	3	49977390
cg07810156	NA	PDZK1IP1	1	47655682
cg07810967	0.780935155434937	IL13	5	131993925
cg07811498	0.0215628825163639	C22orf32	22	42475450
cg07811750	0.00976765257028204	CAMTA2	17	4890503
cg07815386	0.0131733121735245	RNF149	2	101925384
cg07816074	0.904414472096983	SH3TC1	4	8201560
cg07816439	0.133093137350579	C1QTNF2	5	159797845
cg07816442	0.0135665633093112	CD3EAP;PPP1R13L	19	45909858
cg07817698	0.0509131506775409	DHODH	16	72042925
cg07817783	0.0143040336985801	DAP	5	10761669
cg07818646	0.0147690963657863	RNASEH2B	13	51483769
cg07819926	0.0284586161613021	C7orf55	7	139025145
cg07820214	0.0119570410066169	RUVBL1	3	127842989
cg07823492	0.98968361459698	HOXB1	17	46608099
cg07823755	0.974916458276755	UGT1A10;UGT1A1;UGT1A6;UGT1A8;UGT1A4;UGT1A3;UGT1A9;UGT1A7;UGT1A5	2	234668355
cg07823935	0.0174888089887975	NCKAP1	2	183902842
cg07824317	0.561239165743755	RPGR	X	38187006
cg07824742	0.942932532097982	DBH	9	136501784
cg07826255	0.329368689882528	SGCA	17	48243707
cg07827038	0.0131486550517935	SKA3;MRP63	13	21750347
cg07829804	NA	OLR1	12	10325287
cg07829809	NA	METAP1	4	99957216
cg07830847	0.922552498539031	KCNA10	1	111061374
cg07832674	0.847472889381943	IL17RE	3	9943884
cg07833035	0.010915997130727	RPS23	5	81573845
cg07833382	0.057159366849489	SCPEP1	17	55055134
cg07836370	0.0293236632173628	GLTP	12	110318755
cg07837085	0.337968410457272	SLAMF7	1	160708990
cg07837262	0.0133889283841724	SLC39A14	8	22225395
cg07841014	0.680984521549032	REG1B	2	79314745
cg07842062	0.761022274891771	MEFV	16	3306524
cg07842593	0.0149785439295484	SEPHS2	16	30457166
cg07843027	0.0423229632392271	TMEM170A	16	75498835
cg07844021	0.0330374414697804	COIL	17	55038529
cg07844572	0.0155440855522722	PSMC5;FTSJ3	17	61904053
cg07845390	0.062095548933271	KCNT2	1	196577709
cg07845392	0.525211751440095	SLC25A10	17	79678158
cg07845566	0.00851017285044313	NA	NA	0
cg07846167	NA	FBLIM1	1	16084758
cg07846220	0.0112070958148966	LAMA1	18	7117680
cg07847428	0.0137992397203851	MARCH2	19	8478158
cg07849904	0.0334662132239379	MN1	22	28197796
cg07850221	0.914984206201775	U2AF1L4;PSENEN	19	36235109
cg07850604	0.0149501003502489	INSM2	14	36003443
cg07851192	0.920779446451011	KCNG2	18	77624513
cg07851243	0.01655842608171	MXRA7	17	74707271
cg07851278	0.01784358706222	RIOK3	18	21033426
cg07854244	0.0233072904298246	IP6K2	3	48754518
cg07855056	0.0434154353532333	MIR423;CCDC55	17	28443892
cg07857181	0.0211195708921142	POLH;XPO5	6	43543548
cg07858745	0.0241499183663117	GTF2I	7	74072514
cg07861564	0.0137099264421944	HSPB8	12	119616618
cg07862358	0.0167001743913949	MYO10	5	16935888
cg07864189	0.0166977894562969	NADSYN1	11	71164265
cg07864297	0.798511935767028	ESRRB	14	76837569
cg07864632	0.0159517818377629	TRIP12	2	230785697
cg07865790	0.0134226840990604	IKBIP;APAF1	12	99038290
cg07867360	0.916879068682337	PPP2R2C	4	6475156
cg07868688	0.027885799359695	ORC3L;RARS2	6	88299842
cg07871503	0.884866985555589	RASGEF1A	10	43763042
cg07872652	0.0242147940338176	CNIH2	11	66045932
cg07873128	0.970117478981637	OSBPL5	11	3121400
cg07873488	0.483262445956276	MUC17	7	100662570
cg07874155	0.0117644948655779	CTNNA1	5	138089656
cg07874284	0.219069170223546	PRPS2	X	12809156
cg07874520	0.943581218484329	THEM5	1	151826533
cg07876586	0.690242107514137	PGRMC1	X	118370356
cg07879727	0.0186622003772394	WNT3	17	44896017
cg07879977	0.346505074899481	OR1F1	16	3254567
cg07880061	0.0144650418139675	RAB24;PRELID1	5	176730198
cg07880715	NA	RB1	13	48895478
cg07880854	0.027569202156921	FBLN7	2	112895559
cg07881407	0.690742576209429	NA	NA	0
cg07882535	0.884456159468677	TRPM5	11	2445392
cg07882831	0.0123638461430487	MGC16275;TTYH2	17	72209802
cg07883333	0.990405665040259	TSTD1;USF1	1	161009753
cg07884019	0.0350484555254603	NA	NA	0
cg07884474	0.0155466519372821	VPS16;FAM113A	20	2821816
cg07886712	0.0456562158649035	EWSR1;RHBDD3	22	29665413
cg07888040	0.924799759653955	GLDN	15	51669526
cg07888234	0.0304688831720249	TNFRSF11A	18	59992252
cg07889201	0.030382541062484	ZNF343	20	2490030
cg07890954	0.949026470504231	NR2E3	15	72102874
cg07892051	0.80478151588569	NA	NA	0
cg07894162	0.0328186971828696	MORC2;TUG1	22	31364948
cg07894717	0.411278137774873	APITD1;CORT	1	10508598
cg07895149	0.0213837032389545	CALHM2	10	105212283
cg07896225	0.0108747254543363	BCL7C;MIR762	16	30905137
cg07897193	0.0131163295575817	SOCS5	2	46926272
cg07897414	0.0494505831452692	KLHL4	X	86772895
cg07897701	0.919399189007761	ABP1	7	150549370
cg07897837	0.0121817947742609	C1orf131;GNPAT	1	231377046
cg07899016	0.0926513245340987	PCDHB12	5	140588299
cg07899425	0.0133070625444603	GSR	8	30585046
cg07900766	0.208673616253482	SPAG16	2	214148972
cg07903860	0.0238827142595527	DCLRE1C	10	14995957
cg07903918	0.181821018161036	GABBR2	9	101471986
cg07905963	0.853920636843667	NA	NA	0
cg07906495	0.0164519285433057	G2E3	14	31028426
cg07906724	0.575599420577474	CHRNA6	8	42623946
cg07908874	0.229679698580617	ZNF511;TUBGCP2	10	135123006
cg07909265	0.0201776645634446	ITGAV	2	187455298
cg07909422	0.0318733052346608	SIRT5	6	13574371
cg07909527	0.00498168946213455	NUBP2;SPSB3	16	1833420
cg07911663	0.593872895831514	TMEM164	X	109245325
cg07911673	0.567640188491136	SLC25A35	17	8198092
cg07912181	0.00882119028127806	HSD17B12	11	43702277
cg07914866	0.0281294169667959	IRAK3	12	66583431
cg07914959	0.0151988518093158	BACH2	6	91006321
cg07915282	NA	RASSF3	12	65003120
cg07915343	0.847688369922016	LDHAL6A	11	18477680
cg07915542	0.0192503888522462	IDH1	2	209120308
cg07917796	0.0263819134640598	DIAPH2	X	95939710
cg07918509	NA	ICAM2	17	62083407
cg07919162	0.0170521924104739	SF4;KIAA0892	19	19431259
cg07922606	0.970679104387582	HIST1H3E	6	26225389
cg07924575	0.186398942648765	HPS4;SRRD	22	26881231
cg07924819	0.0193518714413583	ATF6	1	161736104
cg07925687	0.0175750432137892	RABL3;GTF2E1	3	120461082
cg07926025	NA	CER1	9	14722864
cg07927484	0.0176393186952235	SAP30L	5	153826296
cg07928641	0.0135413778872899	LAMC1	1	182991847
cg07928695	0.0425561511206135	BLOC1S3;TRAPPC6A	19	45681899
cg07929310	0.0152554330091406	KIAA0513	16	85061061
cg07930578	0.91098319139447	LTK	15	41806588
cg07933176	NA	PCYOX1L	5	148737252
cg07933197	0.946428311293925	NA	NA	0
cg07933199	0.0185103428632072	C3orf59	3	192635636
cg07934026	0.0178929330679277	ZNF721;ABCA11P	4	467794
cg07935151	0.0321129556298313	LSM2	6	31774618
cg07935264	0.824179081007755	IL1B	2	113594375
cg07935568	0.0259139220474026	MLNR	13	49794126
cg07936037	0.012855577949549	SSR1	6	7313172
cg07937272	0.87997362980874	NA	NA	0
cg07940485	0.0189369171329692	SLC16A10	6	111409222
cg07940804	0.356889019108209	ACTRT1	X	127185902
cg07942995	0.801286667466929	ZSCAN1	19	58546307
cg07944287	0.0191958248675648	RFX2	19	6110462
cg07944811	0.953508313153746	GCK	7	44228830
cg07945480	0.0191236288524554	GRK4;NOP14	4	2964972
cg07947016	0.804708594140693	KLK2	19	51375893
cg07947930	0.0343769498585174	PRELP	1	203444945
cg07948245	0.0193936292369856	ARHGAP5;C14orf128	14	32546939
cg07948472	0.884114919348711	SPATA9	5	95018471
cg07950803	0.633271065040193	CD1A	1	158223934
cg07952391	0.0163239419086811	THNSL2	2	88470173
cg07952773	0.0156511257928384	NA	NA	0
cg07955356	0.0341723777356026	DNASE2	19	12992479
cg07955828	0.0198059737399357	DHX35	20	37591298
cg07955887	0.610701170940083	KIAA0802	18	8717926
cg07957491	0.192850689474121	UCK1	9	134407190
cg07958192	0.882674405797802	TIGD2	4	90033974
cg07959477	0.893786812733911	CLEC1A	12	10251879
cg07959896	0.0148995364485925	GEMIN6	2	39005451
cg07960846	0.018254931943295	NA	NA	0
cg07962043	0.0357854500503746	TMEM132A	11	60691582
cg07962051	0.0545975687445121	TNKS	8	9412923
cg07962315	0.0543202910835449	OSTF1;C9orf95	9	77704473
cg07964133	0.0774030468441295	HNRNPD	4	83296335
cg07964538	0.0172320046806502	CAV1	7	116164767
cg07964539	0.100432232430141	BYSL;MED20	6	41890080
cg07965714	0.0145524734187337	XPA	9	100459834
cg07965823	0.0451654307816401	ISM2	14	77964712
cg07965839	0.0180056313046339	ZFAND6	15	80351679
cg07967308	0.803029464453324	ACP5	19	11688246
cg07967643	0.0176920755625622	FRS3;PRICKLE4	6	41747785
cg07970007	NA	GBP1	1	89531456
cg07971188	0.0453575788214194	HCP5	6	31431100
cg07973246	0.0143903214276593	SRGAP1	12	64238719
cg07973390	0.0212184391386503	CDKN2AIP	4	184365087
cg07973395	NA	BLM	15	91260024
cg07973461	0.937736852668077	NA	NA	0
cg07973967	0.954326991370664	CD79B	17	62009607
cg07974125	0.0173935360917802	C4orf14	4	57843509
cg07974303	0.864976412134225	DEFA6	8	6783987
cg07974891	0.0954878231823052	ITGB1BP1;CPSF3	2	9565042
cg07975063	0.02343326375401	NA	NA	0
cg07975813	0.0187225223902921	USP5;CDCA3	12	6961094
cg07977490	0.338376401136322	C16orf45	16	15527940
cg07979357	0.048988259909292	IL27RA	19	14142353
cg07979577	0.0168472446279792	NA	NA	0
cg07979752	0.0511137745245342	CUL5	11	107879401
cg07980015	NA	TMTC4	13	101295688
cg07980518	0.0178648180481971	RNF152	18	59560394
cg07980804	0.0286356707671332	WDR7	18	54318615
cg07980988	0.385374826149229	SH2D1A	X	123480013
cg07981495	0.930358205552187	CGA	6	87804765
cg07981588	0.0638297746030092	YWHAZ	8	101965659
cg07981910	NA	DAB2IP	9	124461412
