Hybridization REF	TCGA-AN-A046-01A-21D-A032-05	TCGA-AN-A046-01A-21D-A032-05	TCGA-AN-A046-01A-21D-A032-05	TCGA-AN-A046-01A-21D-A032-05
cg03742214	0.0176111903120807	CRY1	12	107487383
cg03742272	0.781348067409791	ALOX12B	17	7990705
cg03743584	0.552328415888199	PRAP1	10	135160908
cg03746685	NA	TMEM126B	11	85340088
cg03747695	0.0405782123088087	ZNF227	19	44716642
cg03750407	0.039407772859988	RAD9A	11	67159770
cg03750606	0.03983665829391	ESRRG	1	217262978
cg03751414	0.0489899288483674	NA	NA	0
cg03751799	0.0228463727749329	NA	NA	0
cg03751813	0.0154641601469253	ZNF585B	19	37701393
cg03752087	0.761529631811422	CASP14	19	15163470
cg03752628	0.312541713407325	PTGFRN	1	117453510
cg03752689	0.0256180775000893	C1orf74	1	209958185
cg03752885	0.311667571552726	DAPK3	19	3969736
cg03754063	NA	KEAP1	19	10615199
cg03755123	0.380421465324526	UTF1	10	135043508
cg03756121	0.0400774203611221	ARFIP2;FXC1	11	6502436
cg03759077	0.0215798546776995	ARL6IP6	2	153575599
cg03760483	0.767851210529237	ALOX12	17	6899297
cg03760705	0.0489290618313013	NA	NA	0
cg03761560	0.00981881052126161	DNAJB12	10	74114860
cg03762535	0.680733417883113	HAO2	1	119911480
cg03763616	0.370467678517088	SPIB	19	50921997
cg03764161	NA	FAM111A	11	58912327
cg03764352	0.019100195861379	ETNK1	12	22777989
cg03764506	0.0187135522447249	ESRRA;C11orf20	11	64072089
cg03764585	0.545859937492612	FMOD	1	203320223
cg03766965	0.485115468778785	SRCAP	16	30718443
cg03766998	NA	AFG3L2	18	12378044
cg03770147	0.01283713792986	KLF7	2	208029836
cg03770548	0.790101230130908	CDH24	14	23525040
cg03771255	0.0375739311467747	RPS3A	4	152020940
cg03773789	0.035465998784277	GLI4	8	144348945
cg03774732	0.0113744083100531	MED29;PAF1	19	39882194
cg03775123	NA	ANKDD1A	15	65214075
cg03775246	0.822830246360943	C5orf13	5	111095049
cg03775422	0.276079460296973	VSTM2A	7	54610192
cg03776060	0.190057597025784	AIF1L	9	133972575
cg03776464	0.0152981975668448	EPHA4	2	222436947
cg03776551	0.0160984077941899	ZNF396	18	32956850
cg03776850	NA	TPSD1	16	1306872
cg03777405	0.0328499944970745	NFE2L1	17	46125833
cg03777459	0.298413670356395	GATA5	20	61051802
cg03780486	0.362156656105209	OR6A2	11	6817280
cg03780733	0.134359004276008	PCDHB7	5	140552369
cg03782453	0.473605629743962	CCDC96;TADA2B	4	7043935
cg03782727	0.91022590867675	FFAR1	19	35842586
cg03785807	0.0469398501964561	GBE1	3	81811053
cg03786772	0.0385676824738337	NA	NA	0
cg03787486	NA	ADH5	4	100009490
cg03788666	0.0232996060412145	MFAP1	15	44116829
cg03789934	NA	NLRP11	19	56342665
cg03790207	0.0088045345317208	PEX6	6	42947109
cg03790787	0.0445393657275494	NA	NA	0
cg03791917	0.390855704077697	BTK	X	100641287
cg03792199	0.021355710616815	HIBADH	7	27702785
cg03792653	0.0287572069877136	RPRD1B;KIAA0406	20	36661448
cg03793131	0.0176646307426968	ELOVL1	1	43833547
cg03793778	0.644254015819567	LGALS7	19	39264720
cg03794550	0.160922544728939	FANCF	11	22646597
cg03799530	0.257298892618246	SH2B3	12	111843215
cg03801144	0.014738085563762	PPP6C	9	127951957
cg03801286	NA	KCNE1	21	35884508
cg03802191	0.356839760658599	TARBP1	1	234615169
cg03802231	0.0749669415364351	FNTA	8	42911648
cg03803009	0.517582345902166	GPR142	17	72363634
cg03803589	0.0163124196064141	STYX	14	53196609
cg03804500	0.600622020735031	ANAPC2;SSNA1	9	140081972
cg03804568	0.0180148350973558	CBX7	22	39548919
cg03804985	0.058877226165012	SLC2A8	9	130159694
cg03805364	0.0143299482758456	PAFAH1B2	11	117015176
cg03805442	0.746849773218493	NA	NA	0
cg03805684	0.225029073031567	FEN1;C11orf10;MIR611	11	61561219
cg03807235	0.0144701996936533	PEX7	6	137144199
cg03807314	0.0222485933181941	MAP3K8	10	30722678
cg03808835	0.0354508938171299	PCDH15	10	56560945
cg03809891	0.0139467798682948	ZNF442	19	12476514
cg03811411	0.833996134073908	SGCD	5	155753616
cg03811478	0.462551190637331	SOX14	3	137483696
cg03812067	0.0250544511951132	SERINC3	20	43150641
cg03812679	0.0411118455090754	CSF3	17	38170632
cg03813215	0.0338469799489021	BCL2	18	60986679
cg03813905	NA	TATDN1;NDUFB9	8	125551074
cg03814826	0.0142672645252963	C22orf24;YWHAH	22	32341378
cg03815350	0.817031326178738	ESPL1	12	53663042
cg03817621	0.647571134551275	A1CF	10	52645399
cg03818682	0.590043415044224		11	1213459
cg03819692	0.471620224568776	C16orf81	16	89225639
cg03820909	0.0075820305949577	C10orf137	10	127407979
cg03821311	0.878535463580171	HIST1H1B	6	27836018
cg03822011	0.0180200979078456	FANCF	11	22646721
cg03822159	NA	SETD8	12	123867383
cg03825921	NA	RAB4A	1	229407517
cg03826976	0.513744009249528	CYB5R2	11	7695433
cg03830408	0.0290958072800849	DCPS	11	126173650
cg03833068	NA	HIST1H2BN	6	27804958
cg03833566	0.0301461120710826	C3orf54	3	49841087
cg03833774	0.695086070811527	ZCCHC5	X	77914149
cg03835158	0.912605814779078	PCMTD1	8	52773607
cg03835292	NA	LGALS2	22	37976631
cg03835296	0.744112591971473	SLC17A1	6	25830922
cg03835332	0.0417426516919918	ELL3	15	44069518
cg03837750	0.0935822553614253	LRRIQ3;TNNI3K;FPGT	1	74664160
cg03839341	0.0120685228081741	RAB10	2	26256490
cg03839972	0.0344397961818692	NA	NA	0
cg03840259	0.6197595021799	GRAP2	22	40297036
cg03841029	0.030481089362312	MBD1	18	47807709
cg03842617	NA	NOS3	7	150688556
cg03843852	0.0143033695954033	PIGB	15	55611099
cg03843951	NA	DDC	7	50629634
cg03843978	0.587488015472088	MSX1	4	4864625
cg03845435	NA	C1orf162	1	112015443
cg03846288	0.0243048648106954	RNF111	15	59279849
cg03846767	0.951917308638479	TP73	1	3607292
cg03847636	0.0264208321274203	GRPEL1	4	7070632
cg03848145	0.0273270954763948	C1orf52	1	85724702
cg03848555	0.0167818271546403	C9orf40	9	77567361
cg03848675	0.263705908760815	FOXF2	6	1389146
cg03849074	0.0251146435319157	ZKSCAN3;ZNF323	6	28317796
cg03851112	0.0479282509131378	NA	NA	0
cg03852144	0.521622920270238	GLRX	5	95159639
cg03852570	0.209850388509211	PYROXD2	10	100175106
cg03853151	0.0114512648956666	OAT	10	126107487
cg03853987	0.108897983306472	CHST10	2	101034279
cg03854071	0.810218824962	TSSK6;NDUFA13	19	19626428
cg03855656	NA	SERHL	22	42896105
cg03856450	0.0174880941172783	SFXN5	2	73298881
cg03856723	0.0758271773164685	PRKACA	19	14229466
cg03856786	0.0149732170423345	ZNF497	19	58874501
cg03856801	0.952129529071698	APOA1	11	116709138
cg03859282	NA	ANKS3;C16orf71	16	4783755
cg03860051	0.0145926087322984	IKZF5;ACADSB	10	124768608
cg03860400	0.196725425176424	BTBD10	11	13485289
cg03860466	0.0148830651387325	PRDX2	19	12912941
cg03860768	0.70982489144138	BLK	8	11351571
cg03860890	0.329433341632881	EGFR	7	55086288
cg03861428	0.00793087668832306	SDHB	1	17380702
cg03862540	0.0183489152697167	PPP4R1	18	9614206
cg03862760	0.46359883000343	PSMG3;KIAA1908	7	1609483
cg03863149	0.0202254659626001	ZNF644	1	91487516
cg03863549	0.0149035978180283	NOL6;SUGT1P1	9	33474004
cg03866607	0.568493295132524	TBX4	17	59532826
cg03870261	0.614086874870134	LMNB2;TIMM13	19	2428514
cg03870862	NA	ZC3H3	8	144624225
cg03872267	0.0136711153486393	MRPL46;MRPS11	15	89011204
cg03872376	0.243807255573342	ZP4;LOC100130331	1	238053828
cg03873930	0.744211261349796	ARFRP1;ZGPAT	20	62340664
cg03874127	0.947713023290145	NA	NA	0
cg03874199	0.648233320138916	HOXD12	2	176964456
cg03874886	0.0113617787311447	NA	NA	0
cg03875195	0.475844675802936	SLC30A3	2	27486363
cg03875678	0.389639153870769	GZMB	14	25103546
cg03876618	0.4838359142501	IGFBP7	4	57976034
cg03876622	0.101490482113155	CSDA	12	10876230
cg03877802	0.0158061280119845	PPP5C	19	46849936
cg03878377	0.0108993045935191	RSL24D1	15	55489120
cg03879294	0.0289885103740699	SFRS9;DYNLL1	12	120907770
cg03879730	0.740272785825506	NA	NA	0
cg03879902	0.0203933442035021	GIPR	19	46171872
cg03882305	0.499112696608365	NA	NA	0
cg03883348	0.279444174812924	KLC3	19	45843826
cg03883519	0.0266370746269811	MFSD8;C4orf29	4	128886524
cg03884783	0.0181571571897755	ZNF569	19	37957997
cg03885639	0.797491549421312	PANX3	11	124481310
cg03886110	0.693082407344137	NA	NA	0
cg03886898	0.830862617654769	DIO1	1	54359132
cg03887534	0.0188019310319864	BCL2L13	22	18121194
cg03887787	NA	CTSW	11	65647532
cg03889226	0.497672095423941	OLIG3	6	137815333
cg03890877	0.0202794440127981	TWF2	3	52272690
cg03891191	0.485740014310861	NA	NA	0
cg03891319	0.0266420287346936	ACY1	3	52016838
cg03894103	0.908987711805798	PREPL	2	44586901
cg03897136	0.0189585491698127	HOOK1	1	60280322
cg03898365	0.174393567692052	OR10A4	11	6897491
cg03900104	0.021392685311449	CD3EAP;PPP1R13L	19	45909124
cg03900284	0.861767743432293	QRFP	9	133769695
cg03900542	0.0204298259979712	DEDD2	19	42721460
cg03902905	NA	SLC3A1	2	44502262
cg03905094	0.031543568077772	DEPDC1B	5	59996421
cg03905144	0.891017335182005	MPDZ	9	13249504
cg03907174	0.521154083761653	RCN3	19	50030461
cg03907363	0.775892624582872	KLK1	19	51326682
cg03907454	0.0323091885742429	KIF2C	1	45205136
cg03908676	0.363939813679314	LYVE1	11	10590282
cg03909500	0.232167897955262	RXFP3	5	33936597
cg03910901	NA	COPS6	7	99686330
cg03912013	0.0192695133091576	SACM1L	3	45730489
cg03913271	0.0581840429819769	MICALL1	22	38302504
cg03914397	0.786866256144157	NMUR2	5	151784441
cg03914452	NA	RBM33	7	155464145
cg03916421	0.771304094365102	SCLT1;C4orf33	4	130013461
cg03916787	0.0415770766782861	RPL35	9	127624708
cg03918304	0.465195595459754	HOXD10	2	176981654
cg03919644	0.0176024389936796	CEP97	3	101443603
cg03919781	0.166027683483465	EFHA2	8	16884225
cg03920233	0.0118616361277379	DOC2A	16	30022699
cg03922337	0.449325476472473	RRAS2	11	14380918
cg03923277	0.556720216172171	TDG	12	104359732
cg03923464	0.0361699972810613	OGFOD2;ABCB9	12	123460173
cg03923934	0.136174606359497	OPCML	11	133402230
cg03924115	0.820723897929604	QRFP	9	133768966
cg03925809	0.0105861730375823	GTF2F1	19	6393419
cg03928182	0.289223895125868	PTPRR	12	71314662
cg03929796	0.414225495213595	ALAS1	3	52231840
cg03930357	0.0251674860318407	MBTPS1	16	84150069
cg03930474	0.0196789617771479	ING4	12	6772637
cg03930970	0.928752192874176	ZDHHC4	7	6618160
cg03931808	0.982538543392223	RLN3	19	14139099
cg03933322	0.183415020420465	NA	NA	0
cg03934354	0.885394737811665	C1QTNF3	5	34043140
cg03936963	0.566460694325769	NA	NA	0
cg03938043	0.183536938507543	INTS7;DTL	1	212207851
cg03939485	0.0298709389805433	RGL2	6	33266076
cg03939688	0.0220301677466009	KLF4	9	110251706
cg03940103	0.0801740000071885	CYP2S1	19	41698823
cg03940966	0.017873595159245	THEM4	1	151881785
cg03941108	0.43552132545658	C1QB	1	22985937
cg03942271	0.0153735793560287	AUH	9	94124362
cg03942436	0.014607869934452	ZNF688	16	30583048
cg03943081	0.569781735050838	TCERG1L	10	133110646
cg03943509	0.963774341121134	PYGM	11	64529061
cg03944089	0.0520374655886006	SGK1	6	134497379
cg03945021	0.30209704863956		16	24682074
cg03945800	0.406446824508479	ADCY9	16	4165515
cg03947362	0.0171507351438993	C2orf60;C2orf47	2	200820154
cg03950009	0.0254538263484086	STX17	9	102669115
cg03950654	0.0114544390659537	ARRB2	17	4613328
cg03950669	0.0117255735705448	TIMM8B;SDHD	11	111957582
cg03952109	0.868608287010686	FAM172A	5	93409932
cg03954150	0.0121653152418762	C18orf55;FBXO15	18	71815372
cg03954173	0.041230611296689	CD97	19	14492176
cg03954587	0.101356800343709	UBB	17	16284508
cg03954858	0.164502480052162	FAM83F	22	40404957
cg03955296	0.0277716331415965	ETV3	1	157107917
cg03956267	0.0191732656547913	SMPD4;FAM128B	2	130939498
cg03956628	0.516069366674588	NA	NA	0
cg03957435	NA	ZNF157	X	47230278
cg03958344	0.0121651752547315	CNP	17	40118638
cg03958426	0.212050880472746	MAPKAPK2	1	206857947
cg03958979	0.799035833664774	NR2E1	6	108486387
cg03959079	0.457169738789709		X	30994266
cg03959219	0.0241176869399493	TSPYL4	6	116575135
cg03960217	0.205271121930624	LCE2C	1	152647777
cg03961189	0.0123800681125706	CTR9	11	10772649
cg03962522	0.546211102749274	SLC5A1	22	32439254
cg03963198	0.64197477587101	IRX4	5	1882871
cg03963654	0.958637240583201	SCOC	4	141177084
cg03964111	0.651472416513985	TMEM176B;TMEM176A	7	150498493
cg03966406	0.026447916909326	ITPR2	12	26985412
cg03966541	0.00875099003977211	PGGT1B	5	114598433
cg03969797	0.469624542496702	NA	NA	0
cg03969906	0.299658522712491	HIST1H4A	6	26021768
cg03969997	0.0196899666181264	WBSCR27	7	73256865
cg03970351	0.0136939784461561	TERF2	16	69420083
cg03970609	0.796285316523373	MUC7	4	71337664
cg03972838	NA	SMCR7L	22	39897580
cg03973663	0.211578193154198	LYN	8	56791576
cg03975345	0.0109202902633765	C5orf36;ANKRD32	5	93954303
cg03975694	NA	ZNF540	19	38042472
cg03976567	0.0238382017782794	AKD1;FIG4	6	110012095
cg03977657	0.84476414734205	LAMB3	1	209825747
cg03977782	0.0156293305116675	SIDT1	3	113251680
cg03979162	0.0250704183969561	BCAS3	17	58754542
cg03980304	0.0213582508364205	IL4R	16	27325000
cg03984733	0.0199270370567711	HDHD3	9	116139085
cg03985136	0.153526616320164	ULBP2	6	150262734
cg03985657	0.0155185411559624	NA	NA	0
cg03986640	0.753563849232877	MIP	12	56848355
cg03986968	0.0318995498408716	AVEN;CHRM5	15	34330894
cg03989322	0.014384488893845	SLC30A5	5	68389537
cg03989569	0.0134377005743679	MEF2D	1	156471288
cg03990551	0.0122297499586093	BBS7	4	122791477
cg03991326	0.0816324656136648	RPL7	8	74205489
cg03991512	0.424062699414811	LDHD	16	75150456
cg03992069	0.517840414556836	ZMYM3;BCYRN1	X	70474783
cg03992230	0.041579157812223	HNRNPH1	5	179050530
cg03993463	0.742384683596175	KCNJ15	21	39627271
cg03994908	0.0148415562124443	RNASEH1	2	3605817
cg03996465	0.0209932891691095	SUGT1	13	53226743
cg03996793	0.276239842922437	NA	NA	0
cg03996822	0.654989154245469	RASSF6	4	74486558
cg03998173	0.0211681416017559	RHEB	7	151217580
cg03998348	0.675642210747604	TMCO5A	15	38227285
cg03999420	0.0190070628754438	MYCBP2	13	77901358
cg04000821	NA	LAIR2	19	55014066
cg04001333	0.742840903999715	FLVCR2	14	76045348
cg04001668	0.670693399239834	GPR56	16	57654347
cg04001802	0.589215607710762	OLAH	10	15085279
cg04001842	0.0627010743388346	DUOXA2;DUOX2	15	45406939
cg04004861	0.0438738047149843	STAU2	8	74659081
cg04005032	NA	OSBPL10;ZNF860	3	32022767
cg04005701	NA	RPA1;SMYD4	17	1733641
cg04005707	0.0792590023256092	CWH43	4	48988321
cg04005725	0.0123370994804465	KLHDC8B	3	49208684
cg04006554	0.011897560186357	ENPP5	6	46138530
cg04007936	0.930371915546637	CARHSP1	16	8954017
cg04008455	0.206632171346628	NA	NA	0
cg04008843	NA	TTR	18	29170928
cg04008901	0.126642160432457	CACNA2D1	7	82072779
cg04008913	0.328096052905521	SNRK	3	43327465
cg04009666	0.0367122447666488	POLG2	17	62493127
cg04010530	0.0137567031039061	NA	NA	0
cg04011402	0.690403708205973	NA	NA	0
cg04011872	0.0169015582956464	MRPL23	11	1968980
cg04014889	0.90081691108391	MAGEL2	15	23890593
cg04016326	0.955654303858516	GRIN2B	12	14132940
cg04017769	0.0122685532480474	TACC1	8	38644939
cg04019407	0.809514971606656	NA	NA	0
cg04020816	0.022789291572672	MAN2A1	5	109025456
cg04021421	0.966786424092398	FANCC	9	98080622
cg04025590	0.0156198968760319	CCDC21	1	26560450
cg04025889	0.0169796572285343	AHCY	20	32891089
cg04026012	0.0527459225146957	SYNCRIP	6	86354018
cg04028573	0.0137968124996084	NA	NA	0
cg04030848	0.609050926597277	GAL3ST1	22	30960881
cg04032226	0.622339346980424	PYY;NAGS	17	42082392
cg04032566	0.980942300221424	NSUN3;DHFRL1	3	93780446
cg04032871	0.0140819681027861	QPCTL;SNRPD2	19	46195965
cg04033650	0.012865173602275	NSUN5	7	72722679
cg04033774	0.963866144160679	NA	NA	0
cg04034767	0.773550434775129	GRASP	12	52400907
cg04036714	0.0136139398416509	NAPEPLD	7	102789509
cg04036898	NA	POMGNT1	1	46664598
cg04037228	0.390708298751094	LIMD1	3	45636386
cg04037732	0.537933645045094	NLGN3	X	70364775
cg04037952	0.985541641175215	GPR148	2	131486950
cg04038932	0.169886809089358	C9orf171	9	135286214
cg04039225	NA	SAMD7	3	169629516
cg04039397	0.49595927129505	CD96	3	111260783
cg04041960	0.0192133113811333	RGS10	10	121301765
cg04042106	NA	MUS81	11	65628736
cg04044561	0.0143661828957076	POP7	7	100303839
cg04044684	0.0242090365588262	CHFR	12	133464857
cg04047710	0.0168873789658256	C21orf66;C21orf49	21	34143336
cg04048218	0.0298173453777279	PPIH	1	43124122
cg04048249	0.745216811294674	APOC3	11	116700556
cg04048259	0.506676142306279	EDN3	20	57875346
cg04049033	0.668139196657955	RILP	17	1553661
cg04049800	0.0111482815708253	C1orf57	1	233086374
cg04051458	0.0185650723905494	THBS1	15	39873060
cg04052038	0.399869612705845	CLDN8	21	31588123
cg04053638	0.01588593334723	SUCLG1	2	84686387
cg04055049	NA	GPR153	1	6321553
cg04056179	0.0327983881735777	MOBKL3	2	198380384
cg04057053	0.0100284143473479	WNT2B	1	113008926
cg04057106	0.942257081593905	KIF24	9	34263427
cg04057485	0.980321580675435	PTGIR	19	47127365
cg04057858	0.377887202136931	T-SP1	8	10383763
cg04058169	0.365243845268382	BUB3	10	124913438
cg04058675	0.657681079900687	HUWE1	X	53680779
cg04059714	0.0219873304394841	TCTN2	12	124155594
cg04059863	NA	ILDR1	3	121741630
cg04060163	0.0312445851096768	SEC14L1	17	75136271
cg04060275	0.0139447058656212	DUSP1	5	172198791
cg04062391	0.319992945027357	ZNF560	19	9609204
cg04062907	0.0344802723921189	ANAPC7	12	110841545
cg04063348	0.419798831146848	IL17F	6	52109347
cg04065065	0.117437743374817	PIGO	9	35096250
cg04066242	0.0230949808558907	BFAR	16	14727239
cg04070847	0.103496753444703	CD200R1	3	112693867
cg04072323	0.204011130040236	SPHKAP	2	229046325
cg04076481	0.0433802455594218	KRI1	19	10676881
cg04078251	0.0213006194344516	KIF22	16	29802448
cg04078896	0.0255094029950143	ZGPAT;ARFRP1	20	62338273
cg04080057	0.572322683992996	CACNG6	19	54495183
cg04081402	0.826333034005311	TCN2	22	31003587
cg04082985	0.0208941736718925	LASS2	1	150946396
cg04084157	0.285828915338703	VGF	7	100809049
cg04084172	0.283413184447351	CCNG1	5	162864824
cg04086012	0.551207716112007	TRIML1	4	189060900
cg04086834	0.889629003307415	SMAP1	6	71377064
cg04087608	0.915952907901337	HSD3B2	1	119957969
cg04088433	0.850463912525978	DCN	12	91576441
cg04088650	NA	UCHL3	13	76123534
cg04089739	0.572459095370971	C3	19	6719980
cg04091078	0.662594886476928	SLCO1C1	12	20848285
cg04094160	0.0208544247681986	ZBTB5	9	37465712
cg04095468	0.0492489447863896	SECISBP2	9	91933906
cg04096365	0.0183922037423065	IFI30	19	18284450
cg04096767	0.665017402908478	WT1	11	32449450
cg04098585	0.529732150221425	CD28	2	204571215
cg04099420	NA	RIPK1	6	3076354
cg04099673	0.0166782034410067	WDR7	18	54318390
cg04101379	0.38245233061981	DZIP1	13	96297197
cg04103317	NA	SUGT1P1;SPINK4	9	33240960
cg04103514	0.0979009193179027	EMR2	19	14889425
cg04106190	0.760927521330848	WNT16	7	120964168
cg04106641	0.0361058712983652	ORC4L	2	148779564
cg04106785	0.885631270528624	CDK5R1	17	30813145
cg04107037	0.174040237033632	ATOH1	4	94750205
cg04108240	0.950453346770965	TRA2A	7	23572665
cg04108502	0.0153660493086156	CDK2;SILV	12	56360908
cg04109220	0.0241484923783666	SPAG8	9	35812293
cg04109382	0.879748382009221	SYS1-DBNDD2;TP53TG5	20	44007107
cg04111761	0.666956195852728	CCR3	3	46282766
cg04112019	0.20370247457203	IGF2AS;INS-IGF2;IGF2	11	2165136
cg04112431	0.0277541326990373	PWP1	12	108079651
cg04113075	0.484218895950233	RAB32	6	146865487
cg04114315	NA	CKAP5	11	46868224
cg04115602	0.471690718985698	CGB8	19	49552606
cg04117029	NA	BCCIP;UROS	10	127513253
cg04117338	0.0170267224804335	CRADD	12	94071150
cg04118154	0.0185150046750106	C1orf228;TMEM53	1	45140072
cg04118884	0.0129308814793089	TMEM198;CHPF	2	220407999
cg04119538	0.0262722314122827	TOP1	20	39657451
cg04121771	0.206137640656864	TM4SF4	3	149191624
cg04121983	0.0703187670708159	CASKIN2	17	73511085
cg04123409	0.231206446938507	SDS	12	113841617
cg04123507	0.886739244994557	KRT86	12	52695270
cg04125208	0.0139165949591285	CD44	11	35161229
cg04126335	0.933670556288104	ITGA10	1	145525223
cg04126427	0.037080244460217	EIF3A	10	120840676
cg04126816	0.0184294464320237	CCDC106	19	56159710
cg04126866	NA	C10orf99	10	85932763
cg04127255	0.967465341388552	PSG2	19	43588055
cg04127303	0.0234061972389886	ZZZ3	1	78148262
cg04128563	0.0138743717567073	AMD1	6	111195434
cg04132607	0.792398209571464	GATA5	20	61041456
cg04133652	NA	MLLT6	17	36860971
cg04134624	0.00977812020072286	CBX6	22	39268162
cg04134859	0.0116245816464778	DNAJC30;WBSCR22	7	73097692
cg04135543	0.0379194864761453	C5orf32	5	139554816
cg04136480	0.0152836040537565	BAT1;SNORD84	6	31510196
cg04137037	0.011567223596451	TEF	22	41777896
cg04137116	0.0228758039122078	EID2	19	40030727
cg04137128	0.0193088655312444	SIN3A	15	75744262
cg04138756	0.427811789381325	SPRR3	1	152973849
cg04140754	NA	ATP6V0A2	12	124196328
cg04141379	0.00995635557024807	SPATA6	1	48938046
cg04143809	0.926947088203148	NA	NA	0
cg04144768	NA	DDC	7	50628154
cg04144788	0.41804506130978	NA	NA	0
cg04145477	0.012493455366197	RTN4IP1;QRSL1	6	107077629
cg04148458	0.014330233747662	FAIM	3	138327707
cg04149472	NA	NAT1	8	18066144
cg04151683	0.468352420543607	NA	NA	0
cg04154812	0.163852080731505	CALCOCO2	17	46908209
cg04155026	0.0453450156882481	TSNAXIP1;RANBP10	16	67841269
cg04155793	0.337946133460975	CDK10	16	89752847
cg04156850	NA	GRB2	17	73402572
cg04164824	0.360842120948807	NA	NA	0
cg04166304	0.0129543585217872	C14orf106	14	45722617
cg04167054	NA	ATP2C1	3	130613906
cg04167867	0.530228275333799	MORC1	3	108837130
cg04169469	0.0138994858998239	ODC1;SNORA80B	2	10588434
cg04171565	0.0189299668132766	C13orf34;C13orf37	13	73302130
cg04172043	0.0117950581533644	RELA	11	65430868
cg04172348	NA	SYN2	3	12046004
cg04176254	0.970275240414355	AGRP	16	67517429
cg04177705	0.0159158317520533	C3orf38	3	88199274
cg04180460	0.0201549002907792	CTNNB1	3	41240962
cg04180868	0.0249670094232276	PRTFDC1	10	25241462
cg04180953	0.264837567216413	DSC1	18	28743074
cg04182865	0.891223646748889	RNF14	5	141346431
cg04183425	0.820244357870919	ASF1A	6	119221279
cg04183933	0.0210463666406741	HSPD1;HSPE1	2	198363868
cg04184278	0.802438481791601	GYS2	12	21757759
cg04185037	0.0236522801648206	EZR	6	159239164
cg04185861	0.0110372387439361	IL6R	1	154377809
cg04185893	0.012136825164295	PTBP2	1	97187305
cg04187545	NA	SNORD54;RPS20	8	56987050
cg04189838	0.940926077642893	CYP2C19	10	96523347
cg04195127	0.0365454995999993	WFDC1	16	84328719
cg04195527	0.0333895264185383	INSIG2	2	118846289
cg04197051	0.0155978666036527	PIGM	1	160001439
cg04197135	0.0176249581912946	EIF1AD;BANF1	11	65769867
cg04197195	0.0123401972245975	CCDC71	3	49203530
cg04198824	0.0261560799339163	USPL1	13	31191332
cg04200192	NA	HTR3D	3	183749414
cg04200765	0.01340866126529	NPTN	15	73925532
cg04201347	0.744204789958694	PRRG2	19	50086849
cg04201526	0.953547260044613	CRISP1	6	49833706
cg04206644	0.0158159659287552	INTS6	13	52026632
cg04208151	0.0123282670144213	C1orf183;DDX20	1	112298289
cg04209631	0.0180040972650038	C11orf54;TAF1D	11	93474517
cg04211745	0.0219585597443099	BTG1	12	92539575
cg04211807	0.692881730537325	ZCCHC13	X	73523953
cg04211818	0.00890887972621197	BTBD12	16	3661492
cg04215480	0.0248946218917326	ZNF573	19	38270199
cg04216597	0.170098718385988	CACNA1G	17	48639836
cg04217178	0.0142790851899999	ITM2B	13	48807122
cg04217218	NA	ZDHHC21	9	14693888
cg04219321	0.577830705568634	HLF	17	53341659
cg04220579	0.0144508220440329	C7orf20	7	915756
cg04222374	0.630037764425254	NA	NA	0
cg04223442	0.0343215771581771	NCOR1	17	16118251
cg04223844	0.0160237364142299	IKBKB	8	42128868
cg04223956	0.965126906240695	NEK7	1	198201614
cg04224968	NA	C19orf36;MOBKL2A	19	2096759
cg04228042	0.932677144935809	ART4	12	14996527
cg04228553	0.0132465968367836	DVWA;CAPN7	3	15247818
cg04228573	0.0310250299920133	MAP2K6	17	67410799
cg04228628	0.0109618999171149	TNKS	8	9413457
cg04229238	0.0206231143161385	RB1CC1	8	53627628
cg04230060	0.86906379821107	SUSD1	9	114937992
cg04230869	0.0205046291164381	RRM2B	8	103251129
cg04232649	0.232338223453363	CCNG1	5	162864489
cg04233664	0.0191306337953326	CTBP2	10	126848743
cg04235146	0.0328828863554315	ATP2A2	12	110718311
cg04237003	0.736529411451604	C11orf9;DKFZP434K028	11	61522002
cg04237663	0.662482150718045	KCNV1	8	110987019
cg04238548	0.501662376371452	TBC1D8B	X	106045825
cg04240200	0.0369532861435503	ATRN	20	3451292
cg04241572	0.507486397937153	HSD17B10	X	53461213
cg04244987	0.0199871509108854	NCKIPSD	3	48723638
cg04245402	0.880140681688164	C19orf21	19	751241
cg04249030	0.0109971301166354	COX5A	15	75230004
cg04249586	0.0354902509334016	ELOVL6	4	111119946
cg04251363	0.0189209935674469	ST3GAL6	3	98452218
cg04251662	0.0120995332467724	ITPR1	3	4535075
cg04254119	0.686745573179952	AKAP3	12	4754247
cg04254916	0.908083924527712	KRT5	12	52914047
cg04255048	0.0170550653844964	KIF9;KLHL18	3	47323868
cg04256470	0.840208589445925	CORT;APITD1	1	10510465
cg04259560	0.288041546987233	MFSD6L	17	8702896
cg04261665	NA	DDX54;C12orf52	12	113622579
cg04262565	NA	DUSP7	3	52091063
cg04263186	0.346225241070777	TACR3	4	104640489
cg04265576	0.0879071408381489	HOXA6	7	27187372
cg04267184	0.850903176377578	GNRH2	20	3023418
cg04268405	0.884825161711788	CHST3	10	73723221
cg04269351	0.942239227046513	VTI1B	14	68142533
cg04270025	0.0341048388124832	NA	NA	0
cg04270274	0.0454248360510198	CNOT1	16	58662988
cg04270788	0.017052208272814	GTF2B	1	89356964
cg04270799	0.652245502916031	KIF5A	12	57944059
cg04270835	0.090829478501513	SLC17A6	11	22359188
cg04272086	0.431845536725969	DCC	18	49867359
