Hybridization REF	TCGA-BH-A0H5-01A-21D-A112-05	TCGA-BH-A0H5-01A-21D-A112-05	TCGA-BH-A0H5-01A-21D-A112-05	TCGA-BH-A0H5-01A-21D-A112-05
cg03067226	0.0125569708083558	TPI1	12	6976333
cg03070194	0.0136688969093609	GSTM2	1	110210684
cg03070588	0.0300715930361048	USP30	12	109490239
cg03072102	0.0299873292246002	CEP97	3	101443408
cg03072378	0.0248889041465591	DLX4	17	48046738
cg03073814	0.0147271526585772	ZSWIM7;TTC19	17	15902501
cg03075662	0.875152327336718	PLSCR2	3	146213648
cg03076324	0.0104365006455527	DNAJC1	10	22292468
cg03076871	0.0458736267574432	STX16	20	57226737
cg03077062	0.0104043267290771	SFXN5	2	73299091
cg03077492	0.9077496214732	CCL28	5	43413095
cg03077836	0.0159348927563694	ASAP2	2	9347292
cg03079549	0.0242096457377562	PLDN	15	45879223
cg03079681	0.02303734861815	CDKN2A;CDKN2BAS	9	21994223
cg03080344	0.0232606184515062	METTL2B	7	128116561
cg03080985	0.0702016504160027	SH3BGRL2	6	80340683
cg03081134	0.0278278383448877	RECK	9	36036806
cg03082060	0.2677530919181	LGALS8	1	236680224
cg03085312	0.233825856495777	RARA	17	38465281
cg03085377	0.799338178602014	RB1	13	48893376
cg03085637	0.0327600447198371	PEX11B;GNRHR2	1	145516630
cg03086563	0.0574938483692924	HIST2H2BE;HIST2H2AC	1	149857152
cg03086857	0.195757372686353	EDNRB	13	78492568
cg03087937	0.877499662914981	MUC15;ANO3	11	26593556
cg03091512	0.0184218170578119	RHBDD1	2	227701050
cg03096975	0.0132534400535308	MIR330;EML2	19	46142574
cg03097995	0.449406920849463	TNNI3	19	55669091
cg03098361	0.014254962046349	RFC2	7	73668406
cg03098643	0.115991713876996	FAT1	4	187644620
cg03098721	0.671934667999326	TTLL7	1	84464084
cg03099492	0.170576277143075	CYP26A1	10	94833214
cg03099771	0.665848872329426	PRSS16	6	27215365
cg03100040	0.142063773939346	ZNF345	19	37341870
cg03100146	0.0416718071787402	SH3BGRL3	1	26606846
cg03100196	0.0980697432129987	ZYX	7	143077761
cg03100752	0.86703549559393	ASNA1	19	12847402
cg03101664	0.410860592252152	SNX15	11	64794610
cg03102516	NA	NEURL3	2	97171383
cg03103192	0.535102036951966	SPATA18	4	52917271
cg03104936	0.39724919719089	GRB10	7	50849168
cg03107405	0.0119159690412798	TSSC1	2	3381941
cg03108701	0.0498298636923607	MIR548H3;C6orf167	6	97731400
cg03109047	0.063354657218362	GRIN1	9	140032686
cg03109066	0.0162693535946425	AP1AR	4	113153267
cg03109316	0.84404230953147	ZNF80	3	113957903
cg03109701	0.532180229488078	RNFT2;C12orf49	12	117174758
cg03112433	0.201591650460515	CDK14	7	90338555
cg03112782	0.0493442859330082	MEAF6	1	37979729
cg03112869	0.922755892919505	FBXW12	3	48413769
cg03113824	0.937438527648691	CCDC114	19	48807322
cg03114244	0.0395125388597869	FEN1;C11orf10;MIR611	11	61560355
cg03115649	0.0134199988436993	TOR1AIP1	1	179851535
cg03115746	NA	WHSC1	4	1895023
cg03115886	0.701428406735108	VPS16;PTPRA	20	2845218
cg03116238	0.0464769247920418	NA	NA	0
cg03116740	0.713556698454638	TSPAN4;POLR2L	11	841335
cg03117949	0.068120634882554	USP16	21	30396586
cg03118854	NA	PNPLA5	22	44288155
cg03122511	0.413907770181693	NKAP	X	119077820
cg03125090	0.0394423735483053	RGL1;ARPC5	1	183605490
cg03126490	0.0155855279135035	SPATA13	13	24735051
cg03127334	0.135458937947929	ERG	21	40033634
cg03127543	0.546180180183701	NA	NA	0
cg03128832	0.660715998231333	NA	NA	0
cg03129910	0.0782062029336077	SRP72	4	57333643
cg03131527	NA	BDH1	3	197301250
cg03132911	0.083992384269882	IQGAP2	5	75698732
cg03133269	0.0510395534406156	WNT4	1	22468902
cg03135127	0.0295907649176894	TRMT1	19	13227421
cg03135598	0.0103334853835449	SEPW1	19	48281610
cg03136712	0.978744279592569	DND1	5	140053068
cg03138091	0.0870325704959988	OSMR	5	38846540
cg03138405	0.0213424529823179	GLT25D1	19	17666150
cg03138668	0.0354838267561869	SLC17A7	19	49944488
cg03139057	0.0480636871956126	DLL3	19	39989234
cg03139377	0.705831918008747	SLC6A12	12	323242
cg03140096	0.0390123045354138	FARSA	19	13044717
cg03140978	0.916119206456276	C1orf201	1	24728127
cg03142203	0.921656913384302	NA	NA	0
cg03143333	NA	CCDC11	18	47793599
cg03143365	0.0307540784928649	MAN2B1;MORG1	19	12777903
cg03143849	0.459000584908484	CDKN1C	11	2904951
cg03144206	0.0378789182862556	ACTN4	19	39138026
cg03144357	0.89832532112283	RECQL4;LRRC14	8	145741925
cg03146158	NA	MYO1E	15	59665145
cg03147542	0.0646022011672961	CBLL1	7	107383881
cg03147990	0.0481756168512512	ZNF585B	19	37701738
cg03148461	0.0505697697571014	BRAF	7	140625066
cg03149130	0.0286352271247142	DIRAS2	9	93404977
cg03152385	0.231663999572866	RRN3	16	15188596
cg03152785	0.0193887474936007	KCNC4	1	110753723
cg03154500	0.0234028746988362	NA	NA	0
cg03154513	0.00971181061453681	ID1	20	30193400
cg03155724	0.0392177155713604	ASCC1;C10orf104	10	73975451
cg03156547	0.647700109065319	CDH24	14	23525003
cg03157149	0.00860634065441599	GDI2	10	5855170
cg03157806	0.518465805855167	TMEM185A	X	148713279
cg03158400	0.0810677577094038	FAM3B	21	42688886
cg03159329	0.017083015220824	STK39	2	169103514
cg03159785	0.0165642773267008	SKIL	3	170075773
cg03159836	0.0279737669352193	ZFX	X	24168810
cg03160135	0.272533704363733	VGLL2	6	117586918
cg03160309	0.391922014149982	NA	NA	0
cg03160508	NA	RHOD	11	66823684
cg03160637	0.169087130973687	DAK;DDB1	11	61101089
cg03160740	0.133756469951254	VIPR1	3	42544400
cg03160815	0.0826722594399889	NPB	17	79859830
cg03161112	NA	ZNF24	18	32924652
cg03161453	0.744165979782666	BCOR	X	39962049
cg03161839	NA	ARHGEF1	19	42387947
cg03163246	0.816231128198961	PPBPL2	4	74921023
cg03164831	0.351428737040178	BRWD3	X	80065461
cg03165378	0.726432142283857	S100A9	1	153329882
cg03165700	0.0373246891263968	ATM;NPAT	11	108093220
cg03166779	0.0313371937863128	ETV1	7	14029285
cg03167275	0.121131948086057	CXADR	21	18886093
cg03167339	NA	MICALL2	7	1498866
cg03167763	0.0715145340249356	UBXN10	1	20512397
cg03167883	0.56964606565325		8	49502967
cg03168296	0.0143374503959708	NOXA1;EXD3	9	140317011
cg03168582	0.016866977502883	DMRT1	9	841850
cg03169180	0.664820900170655	NLGN2	17	7310347
cg03169527	0.459318973300766	C3orf31	3	11888582
cg03169715	0.0164272606750805	HAS3	16	69140794
cg03171924	0.820738459302724	RUNX3	1	25258332
cg03172991	NA	NFIX	19	13105728
cg03173722	0.319830149502687	RUFY3	4	71587640
cg03176585	0.0173446730678911	MRPS35	12	27863646
cg03177025	0.0869862936586587	BRE;RBKS;LOC100302650	2	28112917
cg03177084	0.0311734443155609	PSME3	17	40985069
cg03179866	0.756417902240689	NA	NA	0
cg03184439	0.0277915697615423	ICT1	17	73008867
cg03184964	NA	SMARCC2	12	56584202
cg03188118	0.411954034370519	RGS6	14	72399809
cg03190825	0.481133960005443	CYP4F11	19	16045788
cg03192551	0.0931238010799351	SLC25A39	17	42403152
cg03192737	0.60428131632756	OSTN	3	190931199
cg03196745	0.0356112934707277	SART3;ISCU	12	108956112
cg03197524	NA	TNIP1	5	150460989
cg03198372	0.223006651266625	KREMEN1	22	29468588
cg03199651	0.0921642532504185	MSX1	4	4862770
cg03201604	0.0314190972856685	NAAA	4	76861293
cg03202897	0.519549355883993	FAM50B	6	3849688
cg03205208	0.0492924857350398	KIN;ATP5C1	10	7830848
cg03208093	NA	ZNF248	10	38147096
cg03209127	0.0491525882775742	B3GALNT2	1	235668099
cg03212129	0.0196463105684271	PDCD2L	19	34895470
cg03213216	0.0712185411535212	RTN2;FLJ40125	19	46001735
cg03214212	0.0566076775475131	TSPAN13	7	16793334
cg03214697	0.334063440638437	SEC14L4	22	30901532
cg03217102	0.0402766756603451	NA	NA	0
cg03217964	0.0234806358512533	ZFP1	16	75182191
cg03218019	0.0114679309104382	DDOST	1	20987858
cg03218374	0.102067297515002	ANGPT4	20	896981
cg03218909	0.0744192382622346	HAPLN2	1	156589008
cg03221436	0.52049928481298	CCDC120	X	48916091
cg03221619	0.455567463398725	FCER2	19	7767348
cg03221676	0.0138323527297712	ZCCHC6	9	88969266
cg03221776	0.0121636694638303	MFSD3	8	145733971
cg03221914	0.525771889518421	HIST1H2AJ	6	27783331
cg03222066	0.771722178481199	ABCG4	11	119019384
cg03223878	0.0256253441604506	BHLHE40	3	5021310
cg03224418	0.321101048703128	SAMD10;PRPF6	20	62611858
cg03225779	0.231679124065305	NA	NA	0
cg03227078	0.0620746965540117	ZNF221	19	44455454
cg03229887	0.0154552268458866	EIF2B3	1	45452240
cg03231024	0.088705190105507	EFNA1	1	155100501
cg03234661	0.930318612126522	SLC10A1	14	70265290
cg03237153	0.670842606070594	NA	NA	0
cg03238797	0.0415203873805718	ADAMTS18	16	77468893
cg03240509	0.506274738971808	KCNA6	12	4918169
cg03240745	0.900467044086212	MEGF8	19	42841056
cg03241282	0.32903908272147	LOC348840	3	197807491
cg03242666	0.468312980437589	PMP22	17	15168570
cg03242880	0.905722150606001	BTG4;MIR34C;MIR34B	11	111382915
cg03243506	0.902933520826536	TMC2	20	2517231
cg03243700	0.0135363549215582	WDR5	9	137000940
cg03243895	0.0140123629050595	SPTAN1	9	131314908
cg03243946	0.064248369120793	LDHB	12	21811034
cg03245641	0.576789574771607	GPHA2	11	64703415
cg03245962	0.0382357228479081	XRN1	3	142167057
cg03247626	0.15033063325848	HINT3	6	126277793
cg03251079	0.304564867073534	HMGA2;RPSAP52	12	66218285
cg03251249	0.0391423356420495	SIRT1	10	69645012
cg03251655	NA	SLFN12	17	33759512
cg03251857	0.80721674281468	PPAPDC3	9	134164580
cg03256955	0.0306725488666903	TGFBR2	3	30649017
cg03257423	0.334012351321738	ZFP112	19	44860820
cg03258472	0.566529959812279	CRB3	19	6463949
cg03259469	0.0297299690586767	SVIL	10	30025293
cg03260744	NA	TEKT2	1	36549062
cg03261004	0.0104377087237253	LOC100289341;MAN1B1	9	139981660
cg03262773	0.151929588137315	RAD54L	1	46712613
cg03262918	0.0155955792623511	BBX	3	107241738
cg03264209	0.69928071973812		16	3931885
cg03264414	0.804285467792265	PAEP	9	138453697
cg03266453	0.0826361191991777	EN1	2	119606055
cg03266904	0.0281964967774439	CNOT4	7	135194685
cg03270167	0.0857333329945995	RAMP1	2	238768916
cg03270204	NA	DDR1	6	30851638
cg03270376	0.0296062885904435	RNF25;STK36	2	219536588
cg03271651	0.0520348011900748	POGZ	1	151431849
cg03271907	0.962476607416626	MGMT	10	131412643
cg03272031	0.0155345256929561	LOH12CR1;LOH12CR2	12	12509922
cg03273615	0.420440161506216	RBM41	X	106362373
cg03274654	0.05049815849556	KPNA3	13	50367395
cg03274876	0.05592570756073	C4orf27	4	170679006
cg03275186	0.0283206172653774	COPS8	2	237994061
cg03276813	0.00911682875619015	SSFA2	2	182757157
cg03277051	0.0515222098297571	COL8A1;MIR548G	3	99356666
cg03277112	0.0331998667947964	MED23	6	131949711
cg03278643	0.56974742255662	EVC2	4	5710767
cg03278960	0.0208041430904643	C16orf57;ZNF319	16	58035186
cg03279443	0.0214444532888597	VDAC2	10	76971052
cg03283421	0.812937954776298	FAM24B	10	124610984
cg03283569	0.0606275017362438	RABEPK	9	127963181
cg03283694	NA	SIGLEC11	19	50464713
cg03283842	0.0406187281256764	FKBP7;PLEKHA3;MIR548N	2	179343803
cg03285457	0.0477783157047052	LBX1;FLJ41350	10	102988529
cg03286783	0.0254928213554159	CASC4	15	44580973
cg03287877	0.712351667806137	NMT1;DCAKD	17	43139826
cg03289369	0.0398871526935476	AASDH	4	57253815
cg03289872	0.056165108221108	ZNF667	19	56989102
cg03290040	0.0720240180873283	CHCHD10	22	24110355
cg03291145	0.835867883081261	NA	NA	0
cg03292149	0.856505928755965	CBLC	19	45279765
cg03292388	0.0860342973372315	CPZ	4	8594514
cg03293770	0.0329336140053835	SDHAF2;CPSF7	11	61197075
cg03293882	0.0827458597236167	ZNF614	19	52531438
cg03294491	0.259057880092867	SMAD2	18	45458243
cg03294557	NA	SERPINB4	18	61312477
cg03294619	0.0158015848387104	NKX2-5	5	172661803
cg03296929	0.188185867918974	NA	NA	0
cg03297731	NA	GDPD3;LOC100271831	16	30124293
cg03298413	0.0395783391082885	ATF6B	6	32095941
cg03301801	0.884154462871986	FNDC7	1	109264283
cg03302287	0.0181542301621996	PKP2	12	33049650
cg03305230	0.0439815572970204	RAI1	17	17585338
cg03308985	0.0227022641925248	DGCR6L	22	20307724
cg03309050	0.0568010348846804	ZNF688	16	30583736
cg03309721	0.00944108414423418	PLEKHJ1;SF3A2	19	2236316
cg03309967	0.6038336626245	U2AF1L4;PSENEN	19	36235184
cg03310453	0.0223467159745478	PPP1CC	12	111180513
cg03310469	0.0546972042929482	SIX2	2	45236672
cg03311036	0.04047038207384	CASP2	7	142985443
cg03311899	0.950970058780949	NA	NA	0
cg03312124	0.0116432961223274	RFFL	17	33416003
cg03312426	0.029765376891795	RRAS	19	50143795
cg03312532	0.85646556490271	C15orf42	15	90166033
cg03312792	NA	SEMG2	20	43849759
cg03316864	0.237674364075369	B3GNT3	19	17906309
cg03317245	0.7483459552435	P2RX5	17	3600514
cg03320844	0.717249436542944	GJA1	6	121756839
cg03322129	0.0753443381557559	UBE2J2	1	1209673
cg03322749	0.0573736101685478	RBM18;MRRF	9	125026979
cg03327494	0.907120030660485	ZDHHC19	3	195938048
cg03328750	0.0449536094370293	ARHGAP26	5	142150401
cg03328804	0.0963231444967898	UVRAG	11	75526289
cg03329165	0.0386148172600815	CD200	3	112052218
cg03329572	NA	FCRL5	1	157523253
cg03330058	0.375115100006009	ABTB1	3	127392403
cg03330516	0.585802845875955	SRMS	20	62178744
cg03330678	0.642478345184109	SEPT9	17	75316233
cg03332113	0.0335202494531439	RAI14	5	34656078
cg03332271	0.398547327645598	MST1R	3	49941151
cg03332970	0.0411008732971371	ESAM	11	124632552
cg03334529	0.0447133199241821	NA	NA	0
cg03336167	NA	SLC22A18	11	2930995
cg03338064	0.76458931063286	NA	NA	0
cg03338189	0.0241545706194445	NA	NA	0
cg03338959	0.0375890120434364	NAMPT	7	105926305
cg03340261	0.0242172180674638	HBS1L	6	135375900
cg03340878	0.623444892283508	OR2B6	6	27925166
cg03343942	0.664271133114419	SLC39A5	12	56625109
cg03347966	0.0208263271321091	GPR172A;FBXL6	8	145582459
cg03349251	NA	MAK	6	10832472
cg03349935	0.889555235183139	RASL12	15	65361335
cg03349953	0.19257801967248	PCDHB5	5	140515207
cg03352153	0.961199521643835	LGSN	6	64030429
cg03354519	0.0459430179434497	ANXA5	4	122618501
cg03354772	NA	C10orf93	10	134756503
cg03355298	0.0154457156914214	B2M	15	45003704
cg03355526	0.505866727894756	ZNF454	5	178368415
cg03359285	0.0335150563663819	TOP2A	17	38573811
cg03359508	0.0214790979130904	ANXA11	10	81964782
cg03361068	0.0165307441154965	TRIM9	14	51561562
cg03362494	NA	ZDHHC19	3	195938668
cg03363175	0.021201485080194	NLE1	17	33468875
cg03363283	0.798581759571337	NA	NA	0
cg03364504	NA		1	113393176
cg03364781	0.801365660137712	ALPK1	4	113298593
cg03365354	0.0345186729052729	MCAM	11	119187391
cg03365432	0.0416797669679788	FGFR1OP	6	167412981
cg03365437	0.19861289489985	ALDH1A2	15	58357874
cg03366382	0.889577405127011	INS;INS-IGF2	11	2182644
cg03366677	0.00589720784188856	C14orf4	14	77495018
cg03366896	0.00834917939610604	ECHS1	10	135186866
cg03367667	0.0144791231834115	STOML2	9	35103545
cg03368758	0.778800284219975	LDB2	4	16900733
cg03369671	0.0129889897852319	ARMC9	2	232063176
cg03370542	0.0698951625818081	NA	NA	0
cg03371205	0.0327168390174332	LYPLA2	1	24117506
cg03371306	0.0258709852959008	FBXW7	4	153456039
cg03373080	0.0313272190365412	CCDC109A	10	74452380
cg03373442	0.16963957501918	HSPH1	13	31736396
cg03373857	0.0192108905991073	WBSCR16	7	74489715
cg03375002	NA	LAT2	7	73623876
cg03375833	0.600747703102857	TTLL3	3	9859360
cg03377682	0.0626030524655091	NA	NA	0
cg03379131	0.0545277158781573	ADAM15	1	155024281
cg03380645	NA	SFTPB	2	85895048
cg03380773	0.0209044803798432	NKX6-3	8	41504331
cg03381111	0.530090387347693	SNORD116-1	15	25296571
cg03382304	0.0708976901070061	JAM2	21	27012176
cg03382346	0.857532168472189	ZNF611	19	53233245
cg03382564	0.02485944585409	ZNF362	1	33722125
cg03382797	0.642388972839809	C9orf98;C9orf9	9	135755363
cg03383661	0.0300834032858804	TBCC	6	42714115
cg03384938	0.0239053695500352	CXXC4	4	105412832
cg03386140	0.0247038115038043	NA	NA	0
cg03386373	0.629689404778327	SPATA3	2	231860456
cg03386722	0.0173966988304282	FASN	17	80056517
cg03386869	0.897390651516597	ITGBL1	13	102104848
cg03386903	0.953667419486063	KCNAB3	17	7832479
cg03387497	0.862548978415994	BANF2	20	17680945
cg03387723	0.786103172199833	SCMH1	1	41708464
cg03388193	0.186351269488219	HPSE2	10	100996070
cg03389111	0.0579580721099958	KRR1	12	75905372
cg03389133	0.703707849800122	SSTR3	22	37608611
cg03389164	NA	ASB2	14	94423872
cg03390211	0.108717160639292	RGS11	16	325826
cg03391040	0.0137112375521113	ZNF420	19	37569273
cg03391568	0.662251111450695	PTH1R	3	46918266
cg03392046	0.0508078853566587	CCDC75;HEATR5B	2	37311658
cg03395546	0.162206430036154	ADCK4;ITPKC	19	41222599
cg03395898	0.0680695393821342	TGFB3	14	76448011
cg03396229	0.140556349102483	COL22A1	8	139926571
cg03399459	0.832022740855553	NA	NA	0
cg03399971	0.928831963327358	INHBC	12	57828847
cg03400060	0.516151968684647	BHMT2;DMGDH	5	78365801
cg03401114	NA	BMP8B	1	40255440
cg03402775	0.0257167060737459	DZIP3;KIAA1524	3	108308147
cg03402876	0.01131832885117	KCNF1	2	11051991
cg03403539	0.0194891346082722	NUPL2	7	23221679
cg03404502	0.802096304312558	GPR18;UBAC2	13	99911826
cg03405173	0.0678991007562337	ZNF441	19	11877721
cg03406535	0.381452133677741	RBP7	1	10056957
cg03409548	0.0564626325135467	MOBKL2C	1	47082691
cg03410718	0.962812993212259		19	647423
cg03411288	0.024855249734917	C10orf47	10	11865805
cg03414321	0.0642865127277493	HCK	20	30640022
cg03415518	0.853108201233768	RMST;MIR1251	12	97885729
cg03417317	0.0155486928509189	TMEM180	10	104221000
cg03417466	0.545067151574596	NA	NA	0
cg03418289	0.0169988199970808	LIX1L	1	145477137
cg03421300	0.801703099543601	SFN	1	27189787
cg03421687	0.0137362918318558	NA	NA	0
cg03422350	0.807031353710017	MOCS1	6	39895671
cg03423524	0.0124806089251109	FOSL1	11	65667924
cg03424436	0.0374280012493219	CEP250	20	34043664
cg03425110	0.142870727667185	NEUROG3	10	71333037
cg03426225	0.916846124827025	FAM38B	18	10697032
cg03427564	0.0272020601842469	EP300	22	41489051
cg03427831	0.138171390438702	NA	NA	0
cg03428000	0.0495773111374578	MPHOSPH8	13	20207770
cg03429034	0.0272528864235217	ZKSCAN1	7	99613105
cg03429582	0.0631933759287492	RBM4	11	66406312
cg03430067	0.159988012082874	C19orf57;CC2D1A	19	14016927
cg03430998	0.333751246238585	NA	NA	0
cg03431064	0.0550390627509548	TUBB2C	9	140135566
cg03437318	0.0364163622682229	ERBB3	12	56474175
cg03438515	0.0464251190566569	SRGAP3	3	9291212
cg03438904	0.0226977902479792	LRCH3	3	197518158
cg03439703	0.494762025524807	PDE3B;PSMA1	11	14664991
cg03439805	0.0268992176010256	CORO1C	12	109124743
cg03440267	0.100459661722416	F13A1	6	6321061
cg03440846	0.659773684902278	NA	NA	0
cg03442064	0.115535396034682	FOXP4	6	41515050
cg03443922	0.0366013316178313	CBLL1	7	107384711
cg03445474	0.0235824326536715	CAPRIN1	11	34073002
cg03445896	0.539508269095665	LPAR4	X	78010565
cg03446863	0.0139046490683285	TFEB	6	41702426
cg03447931	0.0150858377478615	BMP6	6	7726645
cg03451296	0.00695369993625166	CRIP2	14	105940391
cg03453449	0.936164747378814	USP44	12	95945120
cg03454353	0.376495838647672	ZFP37	9	115819364
cg03455024	0.935600453348977	SLC12A3	16	56899183
cg03455458	0.0386757745246964	VASH2	1	213124545
cg03455762	NA	XPNPEP2	X	128873475
cg03455874	0.0434529521528062	BRI3BP	12	125478229
cg03458191	0.925516013386572	NA	NA	0
cg03459809	0.253035082942558	EPHX1	1	226013010
cg03460527	0.09740805278281	F3	1	95008117
cg03460682	0.0643396544381619	CYP27A1	2	219646316
cg03461495	0.0136023592630479	ANKZF1;ATG9A	2	220094219
cg03462055	0.0441835803931983	TUBB2B	6	3227556
cg03464416	0.590310059385453	RPL10	X	153626979
cg03464655	0.292637915907912	SLC38A11	2	165811982
cg03464689	0.0290317393717597	NFKB1	4	103422429
cg03465320	NA	PSMB9;TAP1	6	32823078
cg03465847	0.027012360069105	MED14	X	40594937
cg03468463	0.815650952098855	SERPINB12	18	61223564
cg03469054	0.261778493004487	TMEM132D	12	130387861
cg03469082	0.0768540890337126	GABRG1	4	46126448
cg03469158	0.867671316145428	NA	NA	0
cg03473294	0.0156326571540724	TASP1	20	13619704
cg03473518	0.368741154757739	GJB6	13	20805656
cg03474731	0.0337497146665077	CHEK1	11	125495234
cg03475172	NA	USP6NL	10	11654177
cg03475420	0.0157874578756955	RTN4R	22	20255667
cg03476195	0.159093587841821	ANK2	4	113970745
cg03476370	0.0890676785372308	NDUFC2	11	77791237
cg03478689	0.113314201808625	EDIL3	5	83680717
cg03479797	0.0438484220749331	ATF6B	6	32096154
cg03479974	0.0447973929155862	ANKRD16;FBXO18	10	5931970
cg03482087	0.0979150351786624	MFSD8;C4orf29	4	128886832
cg03483626	0.649433784158974	KCNA3	1	111218276
cg03483654	0.982116202149719	DAK;DDB1	11	61102074
cg03484533	NA	FABP3	1	31846491
cg03486540	0.0842456343313032	ZNF224	19	44598375
cg03490115	0.0316401647493679	INO80B	2	74681972
cg03490200	0.904513601755709	A2ML1	12	8975196
cg03491181	0.0407518244309872	FKBP3;FANCM	14	45605002
cg03491478	0.235455467365432	MAPK8IP1	11	45906914
cg03493069	NA	CYTH1	17	76778892
cg03494005	0.0143450202741238	FBXO24;LRCH4	7	100183994
cg03495868	0.0616290440029523	PTGFR	1	78956905
cg03496289	0.0363701431830482	CDKN2D	19	10680229
cg03496978	0.109199091513482	FBXO28	1	224302360
cg03498559	0.700211088853223	UGT2B4	4	70361062
cg03499052	0.018669103822146	FAM114A1;MIR574	4	38869262
cg03503295	0.849939905990689	DNAH5	5	13944491
cg03503905	0.0110965318015919	TAF4	20	60640758
cg03504078	0.405009760432448	PCDHB3	5	140480218
cg03504701	NA	CDH18	5	19980857
cg03506489	0.213184113540295	KCNA4	11	30038788
cg03506684	0.0638754404931069	GYG2	X	2746697
cg03506799	0.0103379509893846	CHSY1	15	101792752
cg03509024	NA	VHL	3	10184013
cg03510310	0.891141833135418	HRASLS2	11	63331286
cg03513163	0.192690590857706	PCDHB1	5	140431149
cg03513363	0.0686147796653234	TTLL9;DUSP15	20	30458745
cg03515901	0.809442135035966	TGIF2LY	Y	3447157
cg03517000	0.904894122574688	NA	NA	0
cg03518503	0.0252341662339885	PLEKHH3	17	40828905
cg03519303	NA	CCRN4L	4	139936796
cg03520136	NA	UPP2	2	158851300
cg03521113	0.116980834473801	LRMP	12	25204672
cg03521347	0.0206445441361688	NUDCD3	7	44529975
cg03521600	0.043104527584944	MTBP;MRPL13	8	121457500
cg03522063	0.0335151492959988	EMX2;EMX2OS	10	119302167
cg03522216	0.0232267640141996	GOLPH3	5	32174578
cg03522403	0.0218117242632518	STAU1	20	47805138
cg03522910	0.0325718599927076	B4GALT3	1	161147597
cg03524308	0.0462448330268606	ZNF585A	19	37663414
cg03524627	NA	CDC25B	20	3776483
cg03528946	0.0583317573543378	SHB	9	38069800
cg03529436	0.0231231592352248	C5orf32	5	139554541
cg03530967	0.0614314151093513	ITGAV	2	187454299
cg03531512	0.0474175682206693	TFIP11	22	26908677
cg03532005	0.190543252684952	CCT6A;PSPH	7	56119028
cg03532114	0.0273227156275607	COMMD1	2	62132888
cg03532879	NA	ADIG	20	37209395
cg03532957	0.0237112819920939	CHSY1	15	101792098
cg03533058	0.812101409657358		12	52437571
cg03533811	0.984417962238177	NA	NA	0
cg03533858	0.718091023215636	MORN1;RER1	1	2324396
cg03534410	0.617494440912103	TMEM40	3	12801112
cg03535648	NA	PMCH	12	102592479
cg03536003	0.640305256870656	NA	NA	0
cg03536787	0.0178650804335364	NSD1	5	176561447
cg03538345	0.0323686207283533	MTMR3	22	30279922
cg03538436	0.110717253897108	NOS1	12	117799370
cg03539474	0.0410757004286604	SLC25A12	2	172751088
cg03543403	0.00655753428685694	DIABLO	12	122710630
cg03543593	0.311542056682563	TNXB	6	32076417
cg03544320	0.636906288295245	CRMP1	4	5894691
cg03544379	0.664013094088815	OR7C2	19	15052824
cg03544525	0.0356588439284568	PFKFB2	1	207226564
cg03545635	NA	CHST12	7	2471551
cg03547797	0.322875706813696	GAS2	11	22689644
cg03547924	0.864741509327004	GDF5	20	34025927
cg03548857	0.303772793017096	FFAR2	19	35940174
cg03549127	0.055478992180335	GCA	2	163200582
cg03549571	0.013863064026376	DHH	12	49488198
cg03550002	0.0420249441078398	TTC37;ARSK	5	94890897
cg03550508	0.0100738627124357	C22orf13;SNRPD3	22	24951766
cg03552103	0.244511140980585	SEPT10;ANKRD57	2	110373002
cg03552688	0.890415178638505	BPESC1	3	138822369
cg03554552	0.181503191155604	CD3EAP;PPP1R13L	19	45908146
cg03554914	NA	MASTL	10	27444905
cg03555203	0.97202187943279	TSHZ3	19	31770188
cg03555909	0.00799959590010888	TMEM109	11	60682030
cg03556497	0.0689089937208143	SLC32A1	20	37352792
cg03557698	0.931731789162236	C1orf177	1	55271921
cg03557733	0.0527512168930778	MPP2	17	41985183
cg03558299	0.0114151319197762	CSE1L	20	47662597
cg03558807	NA	NCRNA00219;SNORA13	5	111495981
cg03560090	0.0288144352781784	RBM42	19	36119752
cg03560597	0.0143140894762034	DUSP18	22	31064008
cg03561565	0.25090987519672	KCNS2	8	99438624
cg03562120	0.544882896974118	WISP2	20	43343997
cg03563403	0.0130030694556733	FANCG	9	35079882
cg03564506	0.0196087290000307	TRRAP	7	98475901
cg03565081	0.224154438327304	C14orf93	14	23478970
cg03565323	0.0725523470622425	ZNF287	17	16472866
cg03565782	0.0120347707618804	IER5	1	181057814
cg03567830	0.300848707608619	NTSR1	20	61339871
cg03568064	0.152256070687587	MAPK8IP1	11	45907500
cg03568718	NA	TP73	1	3579873
cg03569412	NA	MBD3	19	1593943
cg03569637	0.304842472753961	LOC100233209;FAM113B	12	47609357
cg03570766	0.969900193668237	CATSPER1	11	65793706
cg03570976	0.0191400286705904	FAM96B;CES2	16	66968476
cg03572913	0.0652633140873574	ROMO1;NFS1	20	34287853
cg03573747	0.769475796934915	ADIPOQ	3	186560617
cg03574115	0.791392975931191	WDR65;EBNA1BP2	1	43636559
cg03574571	NA	CD22	19	35820181
cg03575468	NA	PDHA1	X	19362613
cg03578041	0.371226596531094	LARP6	15	71147307
cg03580247	0.870953708713759	SLC4A1	17	42345488
cg03580351	0.0179039380359912	GEN1;SMC6	2	17935719
cg03580876	NA	TRMU	22	46731674
cg03582451	0.878846198401254	ERI2;LOC81691	16	20816408
cg03583857	0.531935309311409	CD34	1	208085022
