Hybridization REF	TCGA-BH-A18N-11A-43D-A12E-05	TCGA-BH-A18N-11A-43D-A12E-05	TCGA-BH-A18N-11A-43D-A12E-05	TCGA-BH-A18N-11A-43D-A12E-05
cg01909378	0.677743528525312	ZNF645	X	22291430
cg01909487	0.0147114581416999	JUN	1	59249911
cg01909833	0.0344415922446862	BRD2	6	32937267
cg01909921	0.0420404627664399	GFI1B	9	135854246
cg01910452	0.355265725842391	BCAP31;ABCD1	X	152989424
cg01910481	0.92418219831602	PLUNC	20	31824068
cg01911082	NA	CSMD3	8	114449272
cg01913908	0.84616977772146	NA	NA	0
cg01914242	0.0159641755000514	ATP2A3	17	3868068
cg01917648	0.696832445868628	SPIC	12	101871337
cg01918706	0.0145003359100784	UBE2T	1	202310841
cg01918888	0.0305288156857655	RLF	1	40627050
cg01919208	0.086368627338227	LAMB2	3	49170496
cg01919488	0.0221488410762163	ZNF638	2	71558589
cg01920232	0.0522799265418152	RFX4	12	106976668
cg01920829	0.183731984118307	CDK5R2	2	219824761
cg01924619	0.00893583379237689	B4GALT5	20	48330560
cg01924993	0.0143580062586233	H2AFX	11	118966382
cg01926595	0.0657739276065006	PFN1	17	4851808
cg01928902	0.0199195867111183	ZFP36L1	14	69259640
cg01929065	0.00859452683308118	CD63	12	56122634
cg01929105	0.0770644943890401	NMNAT1;LZIC	1	10003572
cg01930621	0.0276544664178471	ZNF649	19	52408350
cg01931893	0.0571978714887168	TK2	16	66584178
cg01932215	0.00678670219014512	AMMECR1L	2	128643031
cg01932459	0.00763110582897445	CD164	6	109703513
cg01934790	0.0243053096955243	FBXL16	16	756400
cg01934797	0.793662344294532	GLIS2	16	4381661
cg01936124	0.0255109800224276	ETF1	5	137878512
cg01936270	0.0306444340116251	CYP1B1	2	38303680
cg01936555	NA	SLC17A2	6	25931205
cg01938354	0.0126838942650436	KLHL28;FAM179B	14	45431411
cg01939428	NA	UBE3C	7	156931170
cg01939443	NA	RGSL1	1	182456796
cg01939479	0.134303041648706	MTMR15	15	31195982
cg01939597	0.0176116891027275	ETV6	12	11803199
cg01939681	0.0254913441222122	GABRB2	5	160975024
cg01940867	0.0105146729676654	TMEM8A;LOC100134368	16	431543
cg01940974	0.0147879435470746	NA	NA	0
cg01941619	0.812654757490068	MEP1B	18	29770081
cg01942127	0.0490088188645979	CACNA1D	3	53529259
cg01943185	0.0364781191188543	NMU	4	56502116
cg01944444	0.0523102716085462	TUBB	6	30688681
cg01945391	0.0533326131554374	RPL37	5	40835298
cg01946401	0.759170646508549	SUPT3H;RUNX2	6	45296101
cg01946574	0.0447439369574725	PTPRM	18	7568186
cg01947224	0.0343476036941745	ZNF416	19	58089885
cg01951308	0.0260282083599424	KIF3B	20	30865502
cg01952458	0.0212899995872625	ATP6V1B2	8	20054547
cg01954353	0.0158475864289983	RILPL2	12	123920983
cg01956781	0.00584837505221824	FAM120B	6	170615920
cg01957330	0.018985405232518	SKAP2	7	26904470
cg01958189	0.64086976780778	DEFB125	20	68396
cg01958916	0.0199794095966155	SEMA6C	1	151119525
cg01959004	0.0212267686707758	HYOU1	11	118928411
cg01959848	0.0212284647573907	TMX2;MED19	11	57480394
cg01961936	NA	NXF3	X	102349348
cg01962086	0.171183533582	TNK2	3	195637027
cg01962826	NA	GRM4	6	34100967
cg01962969	0.0282516539712423	CBR1	21	37442104
cg01963696	NA	ELANE	19	851650
cg01965939	0.181585777719346	SH3TC2	5	148442694
cg01966105	NA	C16orf79	16	2261237
cg01966465	0.0103700333330697	RUNDC3B;ABCB1	7	87257416
cg01968178	0.0312613046055846	REEP1	2	86565038
cg01968530	0.0328532806700506	C18orf45	18	21017974
cg01968793	0.171527861137428	CNNM1	10	101088930
cg01969748	0.0121622138143921	GPSM2	1	109420034
cg01970325	NA	NELF	9	140354241
cg01971122	0.108874293683249	CALCA	11	14993929
cg01975392	0.377272954749437	NA	NA	0
cg01979004	NA	C16orf42;GNPTG	16	1401195
cg01980222	0.324755013279216	TREM2	6	41130917
cg01980637	0.0226153871004542	NA	NA	0
cg01982455	0.0184872778949537	RPS14	5	149829250
cg01982597	NA	ERCC6;PGBD3	10	50733420
cg01982833	0.237803270114085	MED21	12	27174596
cg01985090	0.00830286322817878	RANBP1;TRMT2A	22	20104996
cg01985396	0.511998061480785	DAAM2	6	39760833
cg01985852	0.0417881224919685	CTU2;RNF166	16	88772985
cg01986577	0.109239983943639	ARNTL2	12	27485373
cg01987509	0.812859098854575	NA	NA	0
cg01988129	0.0669242034375952	ADHFE1	8	67344936
cg01989224	NA	NDN	15	23932758
cg01990225	0.0349458774409738	LMAN2L	2	97406019
cg01990304	0.012691906521659	OPA3	19	46088010
cg01990334	0.0196092919643266	FOXJ3	1	42801334
cg01991150	0.961860879291424	CHRM4	11	46407677
cg01991383	0.0329690434780006	FOXRED1;SRPR	11	126139007
cg01992081	0.0416328705132911	MMD	17	53498958
cg01993411	0.119298992918445	PCIF1	20	44562842
cg01993576	0.39329302797805	SLC29A1	6	44187674
cg01994328	0.011342057954406	MAP3K8	10	30723347
cg01994513	0.0305351659289013	BLM	15	91260603
cg01994779	0.0165750907296979	ZNRF1	16	75033384
cg01995513	0.0133839925006064	MPP6	7	24612568
cg01997480	0.0138568492968327	NA	NA	0
cg01997953	0.874421484059066	CXorf21	X	30595690
cg01998146	0.197023783907061	PSIP1	9	15511358
cg01998682	0.0163591264173098	ZBTB2	6	151712546
cg01998785	NA	LPCAT2	16	55542709
cg01999333	0.725767667948944	CASP14	19	15162623
cg01999523	0.030889660167367	CLASP2	3	33759896
cg01999787	NA	EXOSC8;ALG5	13	37573656
cg02000005	0.0375066263660959	NA	NA	0
cg02001410	0.0198597494698764	MAP1B	5	71403045
cg02002676	0.0586725021283685	NA	NA	0
cg02004156	0.348916091505331	TFE3	X	48900769
cg02005336	0.0711459508780128	MIR611;C11orf10;FEN1	11	61560123
cg02005375	0.0194911125727666	DDX18	2	118572176
cg02005755	0.950013514953529	SLC13A4	7	135412849
cg02007463	0.030635360033941	ITGA7	12	56101543
cg02007844	0.020877358805697	KCNJ8	12	21927990
cg02008154	0.0349463706941968	TBX20	7	35293537
cg02008169	0.026492184761837	ZNF267	16	31885058
cg02008416	0.723086810675444	TMEM61	1	55445880
cg02008544	0.0184905321812188	TNFRSF10B	8	22926600
cg02009694	NA	FAM102A	9	130713760
cg02010852	0.151185754985712	CRB2	9	126118355
cg02014107	0.0409426580560272	DLX2	2	172967979
cg02016419	0.245054846511196	TEKT3	17	15245237
cg02017041	0.0628163440720181	SCN1B	19	35521054
cg02017109	0.287750374953761	WDR41	5	76788595
cg02017155	0.458340074173989	FFAR3	19	35849393
cg02018101	0.0102261479709156	SYNE2	14	64320521
cg02019333	0.411677838339108	UPK1B	3	118892215
cg02020018	NA	PRRG3	X	150866110
cg02021817	0.0866986023319886	RBL2	16	53468150
cg02022375	0.427150978852405	KRTAP1-1	17	39197721
cg02025407	0.0130337376665965	CRLS1	20	5986831
cg02026235	0.0583787853292447	RHBDL1	16	725862
cg02027010	0.0211709921175831	ALAD	9	116163386
cg02028524	NA	ATXN3	14	92573410
cg02029926	0.028495409224439	CXCL1	4	74734874
cg02032115	0.0207945977128147	IGSF8	1	160069052
cg02032561	0.428185089147794	ZNF449;ZNF75D	X	134478461
cg02033116	0.0611759649813087	GPATCH1	19	33571857
cg02034222	0.863086491881515	DQX1	2	74753281
cg02037013	0.419734592588872	MC4R	18	58039530
cg02039053	0.679354244550272	NA	NA	0
cg02039171	0.782081040066368	CEBPE	14	23588162
cg02040734	0.0270455632809478	C10orf95	10	104210981
cg02043070	0.0454550369833063	ADSSL1	14	105190158
cg02043083	0.108482175890188	PCMT1	6	150070997
cg02043477	0.829647413756042	NA	NA	0
cg02044161	NA	IL20RB	3	136675705
cg02044879	0.895719554210708	PLA2G12B	10	74714935
cg02045085	0.0103748899011101	MPP5	14	67708311
cg02046017	0.745428721411274	SHANK2	11	70707406
cg02046340	0.0148267171152593	RNF114	20	48552742
cg02046532	0.770727298147262	DEFB129	20	207858
cg02047577	0.00931104137376397	UCKL1AS;UCKL1	20	62587702
cg02049180	0.909595275619615	NTRK1;INSRR	1	156828202
cg02053171	0.0213439323464707	WBSCR16	7	74489585
cg02055483	0.137740517405135	NPAS4	11	66188019
cg02055963	0.0731112543506986	CDX2	13	28543520
cg02056135	0.0236317137352105	SP110	2	231084523
cg02057157	NA	CNO	4	6717681
cg02058918	NA	GABBR2	9	101470884
cg02059813	0.980643332156484	HLTF	3	148805294
cg02060618	0.455254591162237	BMP15	X	50653733
cg02060698	0.00692264146659328	FOXO3	6	108881455
cg02060988	0.0137103500946877	LASP1	17	37025978
cg02061229	0.443505122366571	MMP10	11	102651208
cg02062650	0.0156512351028024	HCFC1R1;THOC6	16	3074537
cg02064106	0.0387506652322997	C6orf118	6	165722858
cg02064402	0.731887030928056	SLC6A18	5	1225719
cg02065387	0.207128494061282	GABRA1	5	161274307
cg02065795	0.0162255865793747	KIAA0101	15	64673455
cg02066681	0.521545569378512	COL18A1	21	46823800
cg02066887	0.0126154161532343	NA	NA	0
cg02067021	0.513390488588137	NA	NA	0
cg02068676	0.0162566855941657	COBRA1	9	140149483
cg02071074	0.205724059502537	ATP7B;ALG11	13	52585283
cg02071305	NA	VPS18	15	41185973
cg02071439	0.048561303325733	C9orf163;SEC16A	9	139377021
cg02075593	0.879497580950002	GSTA3	6	52773711
cg02077702	0.370782608139293	ISLR	15	74465888
cg02077793	0.0765912249094608	CARM1	19	10983098
cg02078356	0.0374488644701571	TMEM39B	1	32538907
cg02082342	0.618330080969795	VSIG2	11	124622373
cg02082571	0.909525898629005	CLEC4A	12	8276718
cg02084087	0.675427814555687	TNFRSF25	1	6526049
cg02085507	0.143028655051514	TRIP10	19	6739192
cg02087637	0.137815444929126	NA	NA	0
cg02089348	0.383746464728152	TMEM129;TACC3	4	1724449
cg02090283	0.0195230690114326	NA	NA	0
cg02091100	0.593090269478009	GUCA1A	6	42123029
cg02092466	0.389084988330029	NTSR2	2	11810631
cg02092706	0.0167294534500936	NA	NA	0
cg02094237	0.0613134756957724	HIST4H4	12	14924136
cg02096520	0.912241775215841	FGF16	X	76709500
cg02096633	0.0185310412292223	UNC13B	9	35162499
cg02096656	0.0838969890018257	C7orf55	7	139025181
cg02097420	0.850559791242092	HRG	3	186383874
cg02097636	0.00997735879462933	PAFAH1B3;PRR19	19	42806344
cg02099418	0.734102910999766	CD28	2	204571146
cg02100629	0.0260207616459358	AIFM2	10	71892760
cg02100828	0.0106430657317158	PSME4	2	54198338
cg02100848	0.653454890884572	C3orf32	3	8693859
cg02101486	0.109363480850228	DLX5	7	96652245
cg02102644	0.0183820490428452	SYNRG	17	35969361
cg02103294	0.0215545924276709	SDCBP	8	59465971
cg02104644	0.031015321722435	SYT7	11	61347820
cg02105034	0.0121421405185243	SMG7	1	183441865
cg02105377	0.0331630075454816	MAGI1	3	66024554
cg02105856	0.393145503617792	PIGR	1	207119784
cg02110963	NA	C6orf218	6	10434975
cg02111587	0.0589537422210677	TACR1	2	75426512
cg02113971	0.0294407805971614	METT11D1	14	21457816
cg02114786	0.0222326905145613	PTTG1IP	21	46293672
cg02115041	0.149864513838434	NPBWR1	8	53852101
cg02117021	NA	OR2H1	6	29425960
cg02119229	0.0209553251573577	BCO2	11	112046248
cg02119982	0.806578874443381	NOD2	16	50731412
cg02121427	0.316249852672158	LRRC15	3	194091192
cg02121943	NA	TBX3	12	115121489
cg02123547	0.0529320133345598	PIM1	6	37137464
cg02124291	0.851219628703351	OR7A5	19	14939260
cg02125271	0.442479571166487	SNRPN;SNURF	15	25200406
cg02126424	0.9110498380969	CTRL	16	67965099
cg02126638	0.0105624394249796	HAUS2;LRRC57	15	42840787
cg02126753	0.0406243007353749	AEBP1	7	44143998
cg02128567	0.0617190526738977	KCNK5	6	39196998
cg02130905	0.769628544772839	STMN4	8	27116213
cg02131399	0.0218764841317006	LRP1	12	57521155
cg02131853	0.43634063189646	TMEM156	4	39034637
cg02131967	0.020528409971009	ACE	17	61554106
cg02131995	0.293420535153481	HAMP	19	35772917
cg02132188	0.278399729591396	HMGN5	X	80377408
cg02136132	0.0448448253338861	KCNK13	14	90527891
cg02141570	0.382044875144639	LOC348840	3	197808633
cg02141675	NA	GALNT10	5	153569408
cg02142461	NA	ZNF509;LYAR	4	4293079
cg02144298	0.0113410159549202	CEBPA;LOC80054	19	33792681
cg02144933	0.0128461911136293	AOX1	2	201450690
cg02147791	0.0894574710319168	SAP18	13	21714429
cg02148642	0.526128272471788	NA	NA	0
cg02148711	0.54242253099377	ATRX	X	77041559
cg02148834	0.741973755750405	NA	NA	0
cg02149446	0.38314243215932	C5AR1	19	47812519
cg02150709	0.0221544115153102	PPIH	1	43123922
cg02150910	0.782360747256545	GZMH	14	25079357
cg02151301	NA	HM13	20	30101785
cg02153528	0.0851459602962421	OBFC2B	12	56618648
cg02153871	0.0279213690793367	HARS2;HARS	5	140070879
cg02154074	NA	HTRA2;AUP1	2	74756234
cg02154186	0.0852752365536285	PNMA2	8	26371353
cg02154956	0.00795363616111252	PCCA	13	100741410
cg02157083	0.777283725612955	APOA5	11	116662800
cg02157306	0.0355206769025887	ELMOD2	4	141445059
cg02159896	0.0150354334364759	MPPE1	18	11908181
cg02160826	0.0585923387937115	MRPS16	10	75012589
cg02161046	0.022497920452455	HIAT1	1	100503743
cg02161900	0.35973100940434	MKX	10	28035631
cg02162069	0.558182618927241	ZIM2;PEG3;MIMT1	19	57352134
cg02162412	0.0120523757698679	HMGCR	5	74632926
cg02162950	0.0267148804569544	DIS3;PIBF1	13	73355953
cg02163937	0.0243649455627718	FAM53B	10	126432368
cg02164046	0.0597182899914452	SST	3	187388148
cg02164386	0.727452159611995	HIGD1B	17	42925536
cg02164442	0.655292732462746	ITGAD	16	31405101
cg02165720	0.321236976428544	NDUFB11;RBM10	X	47004051
cg02166313	NA	PAPOLA	14	96968050
cg02166532	0.214158756075405	INS-IGF2;IGF2	11	2159853
cg02168291	NA	CDH13	16	82671520
cg02169098	0.021121596066554	PPPDE2;XRCC6	22	42017294
cg02169430	0.0619052184783581	NA	NA	0
cg02169446	0.0115229864466816	MYO9A;SENP8	15	72410194
cg02170525	0.136597519105478	CD8A	2	87018382
cg02171008	0.0120724799921066	RPL27A	11	8703884
cg02171545	0.321695799224567	SNRPN	15	25093366
cg02173484	0.497797449143371	GJA5	1	147245168
cg02175035	0.0130886929144482	RAB40B	17	80656466
cg02175308	0.161435788603984	SORT1	1	109941060
cg02178774	NA	LOC729991;RFXANK;LOC729991-MEF2B	19	19302803
cg02178898	0.0407429862924794	MTRF1	13	41837525
cg02181494	0.0121523065590972	ARSA	22	51066755
cg02181506	0.222969956922325	SERPINA1	14	94856984
cg02182354	NA	NEUROG2	4	113437522
cg02184413	0.872415892667894	VNN1	6	133035235
cg02186298	0.0672457339837258	DPF2	11	65101602
cg02186948	NA	COMMD9	11	36310854
cg02186966	0.0258609206711384	BET1	7	93633904
cg02187357	NA	TBC1D22B;TMEM217	6	37224216
cg02187914	0.0218649813576872	NA	NA	0
cg02189785	0.185853433461087	CLIC3	9	139891008
cg02192520	0.21774466027441	RDH5	12	56114155
cg02192855	0.0438680719173385	HIST1H2BI	6	26273199
cg02192965	0.848215721659226	SLC3A1	2	44502740
cg02194211	0.830484836283052	FAM3D	3	58652346
cg02194878	0.0295281312309337	NA	NA	0
cg02196655	0.23583421784547	NOL10	2	10830764
cg02196730	0.146681924517653	MTHFS	15	80188777
cg02196805	0.81859425054263	CSF2	5	131409637
cg02197293	0.0816552822625735	FBXO27	19	39523158
cg02198044	0.033361273863956	NEDD4	15	56286336
cg02198582	0.952564439116799	TSC2	16	2099376
cg02200132	0.0240583400657928	EIF4A2;SNORD2	3	186501254
cg02200584	0.030533256951978	PDGFC	4	157892546
cg02201963	0.0457914243025011	PSMG2;CEP76	18	12702795
cg02202484	NA	SPRR4	1	152942688
cg02204046	0.0194798188190547	MYCN;MYCNOS	2	16080760
cg02205739	0.0180515017292991	PRRX2	9	132427570
cg02205962	0.574798849858043	BCAP31;ABCD1	X	152989807
cg02206259	0.0793564412696272	C1orf198	1	231003485
cg02207610	0.0237213441939887	PPP1R12C	19	55628570
cg02210123	0.0575269259796905	RHOJ	14	63670835
cg02210887	0.891173557845097	GUCY1A3	4	156586680
cg02212280	0.910187006773504	MMP1	11	102670192
cg02212737	0.0399535383307806	EXOC7	17	74099749
cg02212836	0.53790687660898	LY86;LOC285780	6	6589075
cg02213716	0.00895628323595242	UBAC2	13	99853497
cg02214188	0.470321807202165	BDH2	4	104020949
cg02215538	0.0260403619745962	ANKHD1;ANKHD1-EIF4EBP3	5	139782041
cg02216250	0.0224705948113595	OCLN	5	68788173
cg02217159	0.13587483792628	KHDRBS2	6	62996697
cg02217814	0.0543383676644673	FAM125A	19	17530319
cg02218214	0.817163166088725	DOCK7;ANGPTL3	1	63062489
cg02218260	0.929439678000671	GRM2	3	51742878
cg02218324	0.729861060025072	RSPH6A	19	46318439
cg02222362	0.39749055173964	PTPN20B;PTPN20A	10	48828109
cg02224164	0.636315205359617	MARS	12	57883315
cg02224920	NA	SDF4;B3GALT6	1	1166824
cg02225847	0.0646483742234666	FAM65A	16	67563418
cg02226697	NA	SQLE	8	126010266
cg02226871	0.0106834836409501	VPS28	8	145653662
cg02226939	NA	BLMH	17	28619481
cg02227605	0.128344777097626	ROPN1L	5	10441490
cg02228185	0.0944731664932844	ASPA	17	3379567
cg02229516	0.0205992987739164	TRMT1	19	13227228
cg02229946	0.820321548967691	IL1F7	2	113669912
cg02232922	NA	SLC25A43	X	118532809
cg02233558	0.0440246802210498	SLC12A2;FLJ33630	5	127418922
cg02233559	0.0147952029015381	SLC46A3	13	29293325
cg02235880	0.0939793493278964	FANCF	11	22647123
cg02237119	0.185612780285551	WBSCR27	7	73256414
cg02237186	0.0197070564148638	RRM2	2	10263043
cg02238504	NA	ZNF423	16	49861375
cg02238747	0.0505819516495672	RRP12	10	99161279
cg02238826	0.0162214841918669	MCF2L2;B3GNT5	3	182971069
cg02239021	0.0288542834582119	CYB5RL;MRPL37	1	54665433
cg02239082	0.0130052674442821	CYTH2	19	48972844
cg02240226	0.0139287541756618	STK16;GLB1L	2	220110027
cg02240622	0.798912531326839	PLCB2	15	40601467
cg02241259	0.88093934554122	NA	NA	0
cg02241586	0.0134588148661783	PIKFYVE	2	209131508
cg02244695	0.0460281039146163	TMEM176B;TMEM176A	7	150497346
cg02245378	0.210325045026448	PAX3;CCDC140	2	223161771
cg02245418	NA	POLR3C;RNF115	1	145609675
cg02246665	NA	HCFC2	12	104458006
cg02246968	0.0199109973827197	UBAC2	13	99852859
cg02247582	0.0173067167388738	ZNF512	2	27806117
cg02248486	0.288829274756071	HOXA5	7	27183196
cg02248540	0.0209031407423147	NA	NA	0
cg02250594	0.0994693943816031	ONECUT2	18	55103353
cg02250787	0.0352714975309053	HTR2A	13	47470989
cg02250992	0.00813347835633151	SCARB1	12	125348168
cg02251134	NA	DOCK2	5	169063563
cg02252907	0.0209448848951767	AP3D1	19	2151887
cg02252918	0.00636248932937833	ZNF664;CCDC92	12	124458442
cg02254407	0.675692316719889	PLEKHB1	11	73357159
cg02254461	0.376999343166037	CSRNP1	3	39195904
cg02254649	0.0638337414672119	ENAH	1	225840109
cg02255004	NA	GDEP	4	80748660
cg02255609	NA	TTC4	1	55181269
cg02255732	NA		11	31150189
cg02257405	0.301426140841246	ACSL6	5	131346985
cg02257681	0.013702126381247	DDAH2	6	31698002
cg02259997	0.0359558719746227	FGF9	13	22245013
cg02260587	0.0605189115645806	PCDHB2	5	140474248
cg02261346	0.9266086702704	MPPED1	22	43898597
cg02264284	NA	HPRT1	X	133594951
cg02265318	0.0126229495746801	MOSC1	1	220960539
cg02266731	NA	CPM	12	69357333
cg02268424	0.0426516465205978	ZNF136	19	12274129
cg02269221	0.0156049174162019	TRAF4	17	27071208
cg02271621	0.0205831196212816	HCCA2;LOC338651;DUSP8	11	1592675
cg02273078	0.00523337199588451	USP14	18	158567
cg02273392	0.0294601024381543	SERPINE1	7	100770414
cg02273788	0.881330114015895	PLXNB3	X	153029150
cg02274362	0.774815342239877	NA	NA	0
cg02275294	0.0160882520663111	SOAT1	1	179262462
cg02275359	NA	ZNF146	19	36719719
cg02275830	0.0135532925594608	PTGR2	14	74318774
cg02275989	0.030445668322908	SMPDL3A	6	123110863
cg02276665	NA	CTNNA1	5	138088442
cg02276686	0.0234711500209371	PSMC1	14	90722856
cg02276793	0.0218924219623427	LOC100128164;SEC62	3	169685131
cg02277509	0.0390357479628311	KIAA0586;TIMM9	14	58893942
cg02278071	0.0176674057522242	DUSP18	22	31063986
cg02278165	0.0121936788357391	COX7A2L	2	42588618
cg02279071	0.0173638078628408	MLH1;EPM2AIP1	3	37034154
cg02280309	0.836990470305248	PKLR	1	155270960
cg02282237	0.0147598719931046	PRKCH	14	61788862
cg02283643	0.0620735079711613	SULF1	8	70378740
cg02284188	0.861792717159977	NA	NA	0
cg02284889	0.0214170152852099	PPME1;C2CD3	11	73882276
cg02285477	0.027166068898647	POLR1D;LNX2	13	28196059
cg02286642	0.0521707874379342	ZNF254	19	24270073
cg02286990	0.0223137073951735	CCDC28B	1	32666098
cg02288165	NA	SIGLEC1	20	3687992
cg02290509	0.00986209176548563	TBL2	7	72992915
cg02292024	0.0895287741276815	TIMM10	11	57298349
cg02293044	0.0457579202165054	GAS2L1	22	29703543
cg02296128	0.0189711695868861	GTF2F2	13	45694882
cg02298008	0.196847283388274	NA	NA	0
cg02298570	NA	ZNF555	19	2840764
cg02298612	0.526216615258461	CHST6	16	75528459
cg02299279	0.0103620465015187	UBL7	15	74753787
cg02299653	0.0165268622607918	NA	NA	0
cg02300906	0.0229376275549551	FANCF	11	22647486
cg02301754	0.945663991056171	VPS72;TMOD4	1	151149370
cg02301815	0.914571279004546	KIAA1267	17	44249491
cg02303361	0.0229321291930889	AP2S1	19	47354240
cg02304930	0.0373910611838044	SERTAD4;C1orf133	1	210405566
cg02305261	0.16759628172851	KCNG1	20	49638967
cg02305723	0.349653351566455	SNRPN	15	25093456
cg02307482	0.0317240773361202	C12orf60;WBP11	12	14956006
cg02309273	0.225522665748293	INPP5B	1	38412744
cg02309431	0.868786828944832	BPIL3	20	31618931
cg02309594	0.695704664310396	HCRTR1	1	32084329
cg02310296	0.375299126438709	MMP9	20	44637358
cg02311163	0.90103271289147	SEMG2	20	43850511
cg02312170	0.0140578852139311	WDR11	10	122610835
cg02312751	NA	TSSC4	11	2422528
cg02314308	0.0825229533879548	GLT25D2	1	184006972
cg02316718	0.00946219042476795	UBC	12	125399409
cg02317742	0.0711951136449822	ATOH8	2	85981021
cg02317907	0.529984962974701	DIRAS3	1	68515788
cg02318426	0.0313977090801433	NFKBIA	14	35873683
cg02318535	0.617253170247549	PPM1E	17	56832804
cg02320454	0.0245290492773286	GPR150	5	94956017
cg02321871	0.0326469001077217	RCBTB1	13	50159138
cg02322621	0.0195207864662112	ZBTB9	6	33422403
cg02322989	0.134246006873871	LRP1B	2	142888598
cg02323334	0.0159017175222698	NCRNA00167;PRDM10	11	129872621
cg02324920	0.405079665255261	NEURL	10	105253152
cg02326006	0.159766005210845	ARHGEF9	X	62974433
cg02326931	0.018853499516746	ALG5	13	37572901
cg02327719	0.3006022990948	C1orf135	1	26185386
cg02329886	0.678677323215521	HDC	15	50557917
cg02330106	0.312114823029179	MGMT	10	131264840
cg02331561	0.113895562610842	ABCA17P;ABCA3	16	2391081
cg02332073	NA	TSGA13	7	130372419
cg02332492	0.910375450771629	C8G	9	139840678
cg02332525	0.117623679054933	GRM7	3	6903153
cg02332537	0.62521855840171	RTP3	3	46540019
cg02334775	0.224099549349191	ISG20	15	89182676
cg02335441	0.0138738580052628	NEK11;ASTE1	3	130745948
cg02335804	0.0875220363242072	HNF1B	17	36105239
cg02336128	0.0181056581891438	DCK	4	71859030
cg02337166	0.0521140478695094	NR1D1	17	38257303
cg02337447	0.252078180069772	NA	NA	0
cg02342494	0.0547932368505403	C12orf72	12	31812046
cg02344078	0.0197492669501667	STK4	20	43595235
cg02344201	0.0716730393055504	ELL	19	18632488
cg02344238	0.0218428000391912	FRMD8	11	65153777
cg02345317	0.210886144150634	NLGN3	X	70364543
cg02347114	0.947126565977723	NA	NA	0
cg02347487	NA	NLRP14	11	7059103
cg02351381	0.257774640590112	MGC14436;C12orf34	12	110172346
cg02352653	0.0259834476159092	SMAD5;SMAD5OS	5	135469115
cg02357714	0.580569763688185	DOK3	5	176936563
cg02357725	0.022635585798905	IMP3	15	75932598
cg02358761	0.0268316679146133	STK17B	2	197036780
cg02358804	0.926730901352244	ZNF146	19	36719212
cg02360616	0.0149352013465388	FAM129A	1	184943055
cg02360776	0.0243509886944817	ZBTB3	11	62521582
cg02360836	0.022981578024671	SMARCD2	17	61920188
cg02361363	0.029409304842163	ST3GAL3	1	44173578
cg02361557	0.0126842315823947	NTNG1	1	107682963
cg02364038	0.015597308047513	PTBP1	19	797109
cg02364642	0.0530949459479139	GEFT	12	58005758
cg02366059	0.107884557871066	C18orf45	18	21017616
cg02367472	0.0195515619922161	SLU7	5	159845898
cg02367951	0.189730600788727	NA	NA	0
cg02372712	0.174826465100766	ZNF467	7	149470295
cg02374486	0.774263650914139	PRF1	10	72362809
cg02376163	0.0310940806871839	FBXO38	5	147763224
cg02376703	0.0497179645933332	EPHA1	7	143106130
cg02377083	NA	CCBP2	3	42851019
cg02381948	0.967676564127692	MGMT	10	131355112
cg02382666	0.814392873225125	CALD1	7	134463454
cg02385474	0.559048287516992	PCNXL2	1	233394797
cg02385791	0.061472464501728	ZNF570	19	37960542
cg02387613	0.0115822879922243	TOPBP1	3	133380479
cg02387679	0.0316858254932563	IQGAP2	5	75699865
cg02387854	0.00756477630593383	ANAPC11;THOC4	17	79849442
cg02388150	0.272398827166387	SFRP1	8	41165699
cg02391387	0.0133098442890896	IMMP2L	7	111202222
cg02393447	NA	PIF1	15	65117607
cg02397514	0.00818549667758303	HES4	1	935139
cg02397720	0.134938018788159		2	238512407
cg02398725	0.0508711040912168	CREBZF	11	85376233
cg02399449	0.047137201006841	CLDN12	7	90032850
cg02399455	0.888830672792887	SRI	7	87855714
cg02400248	0.00945492280856023	CDKN2B;CDKN2BAS	9	22009355
cg02401149	NA	CRYBB3	22	25595409
cg02401978	0.482056328548929	ZNF746	7	149195465
cg02403232	0.0523368518412004	GOLGA3	12	133405120
cg02404636	0.0505117229857217	SFI1	22	31891804
cg02404843	0.00982152826545227	GPRIN1	5	176037404
cg02407785	0.0237376238941935	PCDH9	13	67804285
cg02409282	0.0277128223114639	NA	NA	0
cg02409351	0.0700970876067861	ALX1	12	85674022
cg02412050	0.121500571972022	MAPK14	6	35995429
cg02413850	0.0153862320725874	SLC35C2	20	44993235
cg02415431	NA	IGLL1	22	23923255
cg02416716	0.0169907001220196	ZNF215	11	6948024
cg02417264	0.295147873375015	RAMP3	7	45197727
cg02417408	0.316520256098192	PPM1M	3	52280688
cg02420102	0.0267097219002291	C11orf65	11	108338162
cg02421543	0.04490857262042	DR1	1	93810826
cg02422627	0.0453689790320085	MED30	8	118533004
cg02422694	0.0291100118866511	HOXB4	17	46655790
cg02423618	0.641795728834589	SPATA8	15	97325725
cg02425732	0.0102648153424261	RRBP1	20	17662212
cg02426410	0.0240409966089006	AASDH	4	57253603
cg02428100	0.0288513213952954	KEAP1	19	10614022
cg02430692	0.0360266223000264	PEX5L	3	179754239
cg02431687	NA	NAIF1	9	130828652
cg02431964	0.948334253360823	MARCO	2	119700029
cg02432101	NA	TCEB3CL;TCEB3C;KATNAL2	18	44557635
cg02433671	0.488646230064552	RGL3	19	11529856
