Hybridization REF	TCGA-AR-A0TS-01A-11D-A112-05	TCGA-AR-A0TS-01A-11D-A112-05	TCGA-AR-A0TS-01A-11D-A112-05	TCGA-AR-A0TS-01A-11D-A112-05
cg02603366	0.014103754097123	RPS21	20	60962040
cg02603784	0.879506383827202	WDR82	3	52294457
cg02604290	0.0845251005276032	CYP24A1	20	52790589
cg02605634	0.0850815212882068	WFDC10A;WFDC9	20	44258384
cg02608019	0.0228111036151598	SYK	9	93564028
cg02608292	0.101166631446775	RPL28	19	55897501
cg02609749	0.0325983030539529	C16orf7;ZNF276	16	89786786
cg02609880	NA	BCAN	1	156611087
cg02611282	0.391823299618018	CREB5	7	28338985
cg02611419	0.496778360923828	KCNK16;KCNK17	6	39282532
cg02611863	0.546851947951778	L3MBTL	20	42143096
cg02612026	0.0284585880138466	CASP9	1	15850456
cg02613386	0.183064923324225	NA	NA	0
cg02613803	0.0572954505728801	TMPRSS2	21	42879131
cg02614187	0.0724616275184323	TRIM45	1	117664089
cg02614818	0.93288884489809	NA	NA	0
cg02615157	0.0384544666690659	PIN1	19	9946560
cg02616808	NA	UNC5A	5	176236654
cg02617361	0.0150838081618965	FNTA	8	42911308
cg02620013	0.235427769256599	MLNR	13	49794681
cg02620228	0.114540896449002	RAB9A	X	13707694
cg02620470	0.0179058286071393	EXT2	11	44117187
cg02620769	0.175829627086913	CCDC65	12	49298070
cg02622316	0.0459572478608041	ZSCAN12	6	28367410
cg02624129	0.124099151602698	SNX19	11	130786230
cg02624705	0.283490159033692	NA	NA	0
cg02626929	0.22191892770665		16	3011661
cg02626977	0.0149794863795974	CDKN3	14	54863550
cg02628202	0.0642230460199616	LGMN	14	93215207
cg02628930	0.0124001873695882	NA	NA	0
cg02629257	0.930844201254094	NA	NA	0
cg02629312	0.861816275074845	NPVF	7	25268894
cg02629761	0.205004332179254	PTPN21	14	89020745
cg02630105	0.0753138570919588	PRKCD	3	53195663
cg02630122	0.0250182080901668	RANBP1;TRMT2A	22	20104473
cg02630207	0.682521849207835	SRBD1	2	45839653
cg02630694	0.261979989065891	CDC123;NUDT5	10	12236833
cg02630888	0.646405470713582	FBXL5	4	15657820
cg02631622	0.0140833629235461	SIAH1	16	48418433
cg02631906	0.0619317660939752	PRDX1	1	45987864
cg02631957	0.0139934995871266	CSNK1G3	5	122847966
cg02632166	0.0267120321910581	NA	NA	0
cg02633817	0.84459101113336	FXYD3	19	35606732
cg02633838	NA	MRPS5	2	95787034
cg02635407	0.487105907310817	SH3TC1	4	8200549
cg02635865	0.0196063107848312	RAB22A;PPP4R1L	20	56885090
cg02639007	0.0598220293664495	CCDC41;LOC144486	12	94853345
cg02640558	0.0112724780069271	PPP3CC	8	22299141
cg02641095	0.0239886843721418	LSM11	5	157170413
cg02641560	0.0152326072281629	RCAN3	1	24828811
cg02641676	0.525381781272579	C8orf40;SLC20A2	8	42397764
cg02643667	0.941934648358259	TFF1	21	43786699
cg02644301	0.0115229548437457	TECR	19	14640456
cg02646854	0.0204411265174948	C11orf2	11	64863958
cg02647265	0.720672422163177	CCDC92	12	124456164
cg02647545	0.0334889764705701	HIRIP3;INO80E	16	30007965
cg02648999	0.0288648429612673	TGFBRAP1	2	105946563
cg02649337	0.956052370921133	NA	NA	0
cg02649608	0.370384861114271	ZBTB33	X	119384792
cg02654291	0.400133871888025	C9orf64	9	86572014
cg02655204	0.715834662980479	NA	NA	0
cg02655623	0.756926193968244	C17orf85	17	3728468
cg02656594	NA	IL21R	16	27412496
cg02657360	0.366186304951014	H19	11	2020560
cg02657438	0.87142301487867	STON2	14	81864899
cg02657721	0.133775984591037	NA	NA	0
cg02658214	0.828148440008781	SDR9C7	12	57327964
cg02658251	0.743831445570775	NA	NA	0
cg02659086	0.0209748531087414	GSTP1	11	67350976
cg02659232	0.152317870203089	DDX25;PUS3	11	125772925
cg02661879	0.0151526115431658	FLNC	7	128470614
cg02664205	0.94771113655412	PDE7B	6	136171652
cg02665570	0.0124125919572566	LYPLAL1	1	219347340
cg02668581	0.0153504447059809	MREG	2	216878340
cg02668729	0.00982095213922632	CTPS	1	41445680
cg02668984	0.0236614950113669	PDK2	17	48172022
cg02671171	0.744484757101905	RPH3AL	17	203087
cg02671806	0.0568077696453511	CLPX	15	65477420
cg02672220	0.178482021690888	SIM2	21	38070588
cg02672493	0.338685951541477	TMEM22	3	136537709
cg02674804	0.898832730464549	REEP6	19	1492043
cg02675652	0.482689405377803	CSRNP2	12	51477739
cg02675896	0.0229060258097987	C5orf30	5	102594347
cg02676865	0.178369712927115	MMS19;UBTD1	10	99259738
cg02677802	0.679305274541477	NA	NA	0
cg02678356	NA	ZXDA	X	57937004
cg02679745	0.618391229160264	C9orf139;FUT7	9	139927646
cg02681442	0.0600718512661898	FOXG1	14	29236008
cg02682905	0.79577631182975	ZNF776	19	58262242
cg02683985	0.0282910400698185	PDGFA	7	559070
cg02686662	0.87592708353934	PPAP2C	19	292245
cg02686769	0.0138629838566166	TCP11L2	12	106695932
cg02688643	NA	MGST2	4	140585523
cg02689825	0.0437693552104644	CDS2;PCNA	20	5107135
cg02690554	0.0994515065746302	CITED1	X	71527606
cg02691091	0.734487166620734	SP2	17	45992811
cg02692952	0.0621423811455269	TRAF6	11	36531754
cg02693857	0.0272120417746862	MXD3	5	176738937
cg02694395	NA	FMO4	1	171283893
cg02699167	0.0190587451294249	FBXL2	3	33319024
cg02699645	0.0153149132001959	UBE2G2	21	46221599
cg02701137	NA	DLGAP4	20	34994743
cg02702510	0.0425958150516398	MARCH8	10	46090551
cg02704907	0.886674954793538	HIST1H2BK	6	27116113
cg02705666	0.0344349984733592	GTF2B	1	89357418
cg02706575	NA	CCL13	17	32683054
cg02706881	0.896755800870852	NCRNA00175;COL18A1	21	46845775
cg02709261	0.0107556353118679	TOR3A	1	179051893
cg02710105	0.0148508335036207	MAP4K3	2	39664348
cg02710161	NA		3	141748862
cg02712165	NA	C17orf76	17	16395957
cg02712845	0.0307467543710474	DPAGT1	11	118973038
cg02712878	0.29278594233926	FAIM	3	138327370
cg02713563	NA	TRAPPC6A;BLOC1S3	19	45680948
cg02715115	0.0499036795521412	PRMT10	4	148605624
cg02715140	0.0205557074730313	CFL1	11	65625717
cg02717046	0.179731804030541	GPR133	12	131438788
cg02717570	0.0188190929720685	ANKRD13B	17	27920934
cg02717866	0.951579316017844	C11orf66	11	61248887
cg02718531	0.0141487034976768	FLYWCH2	16	2932507
cg02718563	0.606612174972903	NA	NA	0
cg02718725	0.0538638782043861	CNN3	1	95392925
cg02719245	0.114242399317139	FLJ45244;DICER1	14	95624293
cg02719634	0.872370661531228	SLC22A18AS;SLC22A18	11	2924899
cg02720618	0.0834586317925139	ESR1	6	152129791
cg02721374	0.935209997904871	OR1D2	17	2996177
cg02723372	0.915640733049611	RUNX3	1	25228582
cg02723533	0.991187069219551	CCND1	11	69468991
cg02724472	0.34389993232306	LRRC17;FBXL13	7	102553293
cg02725014	0.0488113665310086	HOMER1	5	78809520
cg02725692	0.271871440628694	PORCN	X	48367969
cg02727285	NA	RELB	19	45504242
cg02727423	0.529300925212696	EML1	14	100258973
cg02729303	0.434954082246702	FAM134B	5	16508920
cg02729352	0.0474122935363025	ZNF432	19	52552443
cg02729506	0.0446339531103558	HSPG2	1	22263411
cg02732134	0.940022591843179	DNMBP	10	101732382
cg02732509	0.209248175006791	CTDSP2	12	58241200
cg02733650	0.0338821381192556	DCTPP1	16	30441347
cg02735071	0.0176913408315074	EIF3H	8	117767874
cg02735133	0.0174460851799451	PALB2;DCTN5	16	23652915
cg02735486	0.586663978468911	ANK2	4	113970935
cg02737335	0.831227689642593	ARHGEF16	1	3379884
cg02738086	NA	POLR3H	22	41941494
cg02738763	0.0113667104220058	TARSL2	15	102264749
cg02740128	0.022393196212019	DLG4;ACADVL	17	7123860
cg02740947	0.0169134410669903	RAD51L3	17	33446536
cg02741177	NA	PROL1	4	71263061
cg02741249	NA	GGA2	16	23521983
cg02741744	0.030330863454149	ACTR6	12	100594734
cg02742971	0.0299956808937182	OSR1	2	19558059
cg02744459	0.104716044265058	RECQL;GOLT1B	12	21654197
cg02748427	0.0552891278405588	RPAP2;GLMN	1	92764574
cg02748539	0.127221826174144	SLC9A3	5	524269
cg02749825	0.0224951029891158	COMTD1	10	76995759
cg02750754	0.0584959366160683	TMEM91;B9D2	19	41869941
cg02751839	0.905538756418187	GPR37L1	1	202092285
cg02755455	0.919417262788479	JAK1	1	65352382
cg02755525	0.0129522746209925	NETO2	16	47177175
cg02756614	0.0430768848041917	MYOF	10	95242111
cg02756698	0.840210630940525	KRT12	17	39023008
cg02756845	0.0910308395683985	MAPK8IP2	22	51038542
cg02757432	0.250899996599918	GPR26	10	125426048
cg02760007	0.0259946668683091	SRF	6	43139670
cg02762689	0.81515108932655	GUCA1B	6	42163422
cg02763671	0.881522529788674	TRMT2A;RANBP1	22	20103541
cg02764611	NA	FDX1L	19	10426516
cg02764897	0.556448116675624	KRTAP13-1	21	31768311
cg02765045	0.00488333429559298	PCBP2	12	53845774
cg02765328	0.0206653842319303	CCND2	12	4383281
cg02765820	0.752777802787383	C3orf22	3	126278020
cg02770814	0.059285078955098	FAM13B	5	137368293
cg02772367	0.0237114226813676	NUP160	11	47870447
cg02774160	0.811459486734474	GGT1	22	24979633
cg02774439	0.0604980928428748	HAND2;NBLA00301	4	174451251
cg02774486	0.96712573595687	TUBA3D	2	132233433
cg02774963	NA	KEL	7	142659757
cg02775617	0.100453279494529	ARHGAP12	10	32217281
cg02776251	0.226421641703886	USP15	12	62654319
cg02780295	0.0394651090351271	PCDHGA4;PCDHGA12;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGC3;PCDHGB6;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5	5	140855463
cg02780849	0.122269250288703	GNG4	1	235814163
cg02780988	NA	KRT36	17	39646994
cg02782630	0.0341203655619264	FAM175A	4	84406624
cg02784848	0.0496068355897816	FUZ	19	50316878
cg02784874	0.743938470106784	KRT9	17	39728962
cg02786019	0.868544899746354	TRPV6	7	142582859
cg02786378	0.550010934315162	SLC7A2	8	17396844
cg02787991	0.0436688610216153	SECTM1	17	80291405
cg02788090	0.0792947257956178	SOX9	17	70116681
cg02788102	0.0498321143580388	CADM1	11	115374969
cg02789485	0.394633095673317	GLIPR1L2	12	75783428
cg02790471	0.871013875968814	SCML4	6	108093511
cg02792677	0.046754546926694	MRPL4	19	10362626
cg02793099	0.598181367693797	PEG3;ZIM2	19	57350004
cg02794695	0.477123233846766	SLA;TG	8	134072611
cg02795624	0.0478635372644482	HINFP	11	118992260
cg02797569	NA	PCOLCE	7	100200009
cg02798801	NA	BUD31;PDAP1	7	99005263
cg02799466	0.524659896235546	PID1	2	230136411
cg02800334	NA	ANXA13	8	124750855
cg02801485	0.0244829254849844	STRADB;TRAK2	2	202317001
cg02801598	0.0258883988629804	PDP2	16	66914223
cg02802055	0.033873785352376	C9orf78;USP20	9	132597094
cg02803836	NA	MGMT	10	131412507
cg02804166	0.327109610268998	PHF6	X	133506996
cg02805028	0.483702988025609	GSG1L	16	27899239
cg02806093	0.0317827719491225	RAB2B;TOX4	14	21944967
cg02806658	0.0211373738906295	C12orf48;NUP37	12	102513592
cg02806777	0.491270829803643	NA	NA	0
cg02807450	0.140140282097803	NA	NA	0
cg02807948	0.420216871736182	INS-IGF2;IGF2	11	2153991
cg02809263	0.0405610343994864	LRRC40;SFRS11	1	70671218
cg02810134	0.942219526576653	TNNC2	20	44455922
cg02810773	0.0110754236898395	ITPA	20	3190112
cg02811755	0.0128013459192688	AKAP10	17	19880691
cg02812142	NA	ACMSD	2	135595323
cg02813021	0.0292916391315445	ZMYND11	10	180599
cg02813121	NA	S100A12	1	153348911
cg02813863	0.827809926714614	APOLD1	12	12938287
cg02815516	0.634269907472111	KANK2	19	11306319
cg02818322	0.573105032201093	MAGEC3	X	140926409
cg02822723	0.0211286490345703	BRD9;TRIP13	5	893431
cg02823866	0.0484455300806932	CD274	9	5450410
cg02825709	NA	ZNF75A	16	3354207
cg02827112	0.0289887370155546	SMARCAD1	4	95129403
cg02827328	0.0170033057242246	TRIM14	9	100881403
cg02828104	NA	TMEM189;TMEM189-UBE2V1	20	48770800
cg02829654	0.183659110886167		1	236046939
cg02830467	0.728909239127024	MYCT1	6	153018721
cg02831294	0.850970879722638	CALML3	10	5566862
cg02831393	0.0215306214999797	PAFAH1B2	11	117014616
cg02831604	0.061192347696179	ISL2	15	76628725
cg02832245	0.0292746872155914	EXOSC9	4	122722866
cg02833180	0.89425405540121	PLCL1	2	198815064
cg02833725	0.582784730771115	ISG20L2;C1orf66	1	156696768
cg02836529	0.146495677803587	NEUROD1	2	182544413
cg02838492	0.580509445023895	KIF12	9	116861288
cg02838877	0.725967795936105	MBNL2	13	97873877
cg02840794	0.0370112263436595	HPS6	10	103825777
cg02841886	0.0159178426544801	RFX1	19	14117094
cg02841933	0.0124487004065116	NRF1	7	129251651
cg02844051	0.958916948294596	DMKN	19	36004233
cg02844545	0.189085100578215	GCM2	6	10882043
cg02844629	0.0211829683767687	TTC13;ARV1	1	231114732
cg02845923	0.914139808964433	NA	NA	0
cg02847216	0.925196349354411	CTAGE1	18	19997803
cg02847500	0.363050676641917	SOX3	X	139587184
cg02848777	NA	TLL2	10	98273714
cg02849695	0.248005237183785	CCDC19	1	159869960
cg02850329	0.0472544466070498	RCAN3	1	24829455
cg02850821	0.0510123579822765	KRAS	12	25403680
cg02854090	0.946533665671106	HIST1H2AA;HIST1H2BA	6	25726895
cg02854288	0.0473843259036958	FHIT	3	61236911
cg02855426	0.380256591550457	NA	NA	0
cg02856727	0.625866777666215	GH2	17	61959416
cg02859934	NA	NAGPA	16	5083072
cg02860342	0.253810539396644	HCN4	15	73661484
cg02860543	0.109427126141169	IGF2BP3	7	23510648
cg02861781	0.0176476889198085	GJB2	13	20767498
cg02862153	0.03021860863535	CUX1	7	101459386
cg02862362	0.923975490008981	ARG1	6	131895102
cg02862835	0.0324897863011194	MMAB;MVK	12	110011242
cg02863237	0.0158345160293994	RBM17	10	6131472
cg02863842	0.0171644430521023	PVRL2	19	45349685
cg02863947	0.889018329466735	NR1I2	3	119499190
cg02865818	0.00690880075416064	WWC1	5	167719214
cg02867079	0.0457522532412322	HHIPL1	14	100111269
cg02868123	NA		2	79382913
cg02868306	0.0349418682157738	RAB11B	19	8455008
cg02868338	0.0509733317308024	EXOSC4	8	145133133
cg02870945	0.0406365981877047	REEP1	2	86565124
cg02873524	0.0242203896341628	PAPPA	9	118916493
cg02874605	0.0497480564310514	DEPDC4;SCYL2	12	100661778
cg02875297	0.328245247031819	RLN2	9	5304611
cg02875404	0.951443983021119	VN1R1	19	57966896
cg02876062	0.866799681829297	FAM107B	10	14816654
cg02878987	0.0427945211062305	AIDA;C1orf58	1	222885407
cg02879662	0.133789483771439	HIF3A	19	46800467
cg02880176	NA	PLD6	17	17109817
cg02880679	0.813730585323577	MBTD1	17	49295615
cg02882813	0.837775884568896	CST5	20	23860078
cg02883161	0.0814752176374441	MSI1	12	120807618
cg02883230	0.166712660241939	PARP6	15	72564263
cg02883621	NA	S100P	4	6694923
cg02885771	0.787187068143593	LTV1	6	144163654
cg02886284	0.0115568012831902	CPE	4	166300290
cg02887841	0.0544580182159308	TBX1	22	19744670
cg02888247	0.554046505997067	C6orf62	6	24719235
cg02889982	0.291509744982634	MPRIP	17	16946247
cg02890926	0.0112910585843145	TMEM53;C1orf228	1	45140355
cg02899723	0.976363889556394	DDX4	5	55033614
cg02899772	0.0320221478257696	NECAB2	16	84002599
cg02900980	0.0114952632184939	FOXP1	3	71633249
cg02901122	0.0229429419573643	RPRD1A	18	33647344
cg02901159	0.0208931888986758	CLNS1A	11	77348811
cg02901679	0.825382465401935	NA	NA	0
cg02902770	0.896686225997175	RARRES2	7	150039406
cg02903525	NA	C5AR1	19	47813489
cg02904235	0.0171843230760472	RPS6KA5	14	91527369
cg02904365	0.0169952521052976	DNAJC11	1	6761379
cg02905245	0.424577298935564	CCDC80	3	112359652
cg02905881	0.0591327117866933	MSH6	2	48009730
cg02906238	0.0568200658757452	TFCP2L1	2	122042701
cg02906939	NA	HNMT	2	138721315
cg02907300	0.0233981926370569	TCEB3	1	24069649
cg02909042	0.0148010646330568	MAPK1IP1L	14	55518132
cg02909790	0.489637262328455	HIST1H3G	6	26271587
cg02910574	0.743105046351435	C16orf55;CHMP1A	16	89725401
cg02912041	0.837615264845649	TMEM207	3	190167563
cg02913089	0.049560753756369	PDE8A	15	85525744
cg02913364	0.0328905437685427	UBE2J2	1	1208573
cg02914379	0.272654217609211	MDFI	6	41605784
cg02914419	0.0549674183811464	ASNA1	19	12848364
cg02915261	0.00891999736146742	LSR	19	35739762
cg02915544	0.723559154108535	FOLH1B	11	89392829
cg02915837	0.0473732631823048	TEAD4	12	3069243
cg02916816	0.141152759286376	JPH4	14	24047021
cg02917064	0.0546312570447023	SMARCD3	7	150974464
cg02917381	0.0276680694384352	MEIS2	15	37393188
cg02917772	0.0362212766767786	CTH	1	70876623
cg02917972	0.0387043492924004	ZCCHC11	1	53018259
cg02918483	0.0223839399568473	FAM175A	4	84406202
cg02919422	0.467230924800016	SOX17	8	55370544
cg02920216	0.27145003931276	CHODL	21	19616939
cg02921068	0.0125547004117085	NA	NA	0
cg02921257	NA	XIRP1	3	39233858
cg02922563	0.0412842778063773	ATRIP	3	48487808
cg02924961	0.0663059581346648	HIST1H2BC	6	26125480
cg02927346	0.301736124069965	RASL10B	17	34059260
cg02929869	0.0159456132768456	PFN2	3	149688583
cg02930996	0.0386114087159931	B4GALT6	18	29265842
cg02932167	0.732026584666847	ECEL1	2	233352951
cg02932669	0.13655500674373	NALCN	13	102068258
cg02932689	0.0379469121434612	FBXO31;MAP1LC3B	16	87425223
cg02936263	0.804317854125617	CCL7	17	32596886
cg02936468	0.0225133101983058	C9orf41	9	77642970
cg02936740	0.80106183150856	TMPRSS11F	4	68995995
cg02936872	0.0234329251061568	CTSL2	9	99801550
cg02937060	0.108304895412263	NA	NA	0
cg02937102	0.939438399365222	SCML4	6	108093229
cg02937479	0.0548991293178107	FKBPL	6	32098034
cg02938601	0.0706660195916722	TNFRSF10C	8	22961088
cg02939139	NA	RASAL1	12	113574204
cg02940164	0.0111362101253872	PGAP2	11	3829971
cg02941816	0.026783927114186	MGMT	10	131265696
cg02942159	0.024244077473659	RPS6	9	19379994
cg02943497	0.0190847557208738	PARP4	13	25087090
cg02944057	0.0252463943192467	NUDT3	6	34359501
cg02945019	NA	CD84	1	160550488
cg02945646	0.0929574798743	AP1G2	14	24037169
cg02946570	NA	C2orf43	2	21023387
cg02946754	0.0211770891108838	DCLRE1A;NHLRC2	10	115614308
cg02946850	0.690307611711699	GRM8	7	126882944
cg02947222	0.0182410323006967	PHLDA1	12	76425514
cg02947253	0.873286192423221	ADORA3	1	112046700
cg02947354	0.914516399001974	NA	NA	0
cg02949544	0.0471917666657651	MYST2	17	47865858
cg02951021	0.129559897596129	DYNLL1	12	120934296
cg02953306	NA	CHRNA2	8	27336626
cg02955504	NA	TXNL4A	18	77749374
cg02955988	0.572397964723465	NA	NA	0
cg02956093	0.128338294726082	AKT1	14	105261335
cg02956481	0.0273588562623807	C19orf55	19	36249454
cg02957086	0.0516235330876038	AXIN2	17	63558047
cg02959669	0.0268544485746239	ZNF256	19	58459358
cg02961200	0.0255976549963063	LOC100130691;AGPS	2	178257176
cg02962299	0.0102138775692969	KIN;ATP5C1	10	7829899
cg02962602	0.206866290181981	CCDC57	17	80171413
cg02963198	0.0103920500814414	NOTCH2NL	1	145209830
cg02964385	NA	STK38	6	36515676
cg02964389	0.0395885320608502	PSMD9	12	122326713
cg02965078	0.27576839784208	GPR44	11	60623504
cg02966329	0.0574283389737986	TTK	6	80714474
cg02966851	0.556116244271392	NA	NA	0
cg02968557	0.923122466017169	HSPB9	17	40275126
cg02972551	0.0607136704552347	KDM3A	2	86668068
cg02973263	0.0198685919624337	PRKCI	3	169940162
cg02973416	0.229396092353266	SLC25A22	11	796069
cg02973883	0.792475725169107	DCAF4	14	73392314
cg02973971	0.238266013798395	LOC100272228;CXorf40B	X	149106460
cg02975142	0.0257978539160839	FLCN	17	17140597
cg02975259	0.0116429122695125	NCK1	3	136581033
cg02976090	0.0919662991356628	NIPAL3	1	24742249
cg02976574	0.967957120900432	FNDC3B	3	171830293
cg02976617	0.102270877126305	NUDT12	5	102898463
cg02978542	0.0132505220522211	MTHFR;CLCN6	1	11866085
cg02978737	0.694360032450194	PVALB	22	37216067
cg02981703	0.769333021663398	CA6	1	9005734
cg02981853	0.905361824782465		19	7445850
cg02982690	0.0352129289979294	BHLHE22	8	65492846
cg02982734	0.837617822987863	MAGEL2	15	23891048
cg02983451	0.0475205970814853	KLF11	2	10183013
cg02987051	0.0232574980099756	IER3IP1	18	44702545
cg02987163	0.0214843846947211	DUSP14	17	35849291
cg02988947	0.389295008073898	LIMD2	17	61778813
cg02989257	NA	COL16A1	1	32169274
cg02989940	0.60358344569531	AHSP	16	31539234
cg02990033	0.431536041502961	GFRA4	20	3643863
cg02990567	0.0201175060183488	RGL2	6	33266961
cg02990612	0.338980270885242	NA	NA	0
cg02992596	0.773301089742844	RBM46	4	155702220
cg02992632	0.043386827789878	FGF12	3	192445380
cg02992647	0.895732219073514	DDX52	17	36004446
cg02992767	0.658397424665862	CD40LG	X	135729973
cg02994216	0.0194637079718978	RALB	2	121010979
cg02994956	0.397051433528992	NEFH	22	29876534
cg02994974	0.06500526027469	SPON1	11	13984544
cg02995130	0.0219696315320876	CLIP1	12	122906407
cg02995295	0.0176272647025021	FAM124A	13	51796962
cg02995853	0.0990852801095927	APBB3;SLC35A4	5	139944272
cg02998425	0.783576742330883	ADAM21	14	70924204
cg03000603	0.0894282947915874	DHX34	19	47852595
cg03000846	0.641588289678049	RAC3	17	79990263
cg03001305	0.188738250078533	STAT5A	17	40439492
cg03001647	0.0485210016109716	MPZL1	1	167691881
cg03002480	0.0492805111540597	UBR1	15	43398338
cg03003060	0.0945954672361316	GPM6B	X	13956166
cg03003256	0.792915262273966	FAM26D;BET3L	6	116849557
cg03003745	0.661870546105057	CXCL17	19	42948167
cg03005055	0.0430914867829648	HSPA2	14	65006951
cg03005261	0.0910228382082523	CCDC109B	4	110480828
cg03007010	0.0367886884519476	SNX26	19	36266840
cg03007571	0.174945369198482	HIST1H2BD	6	26157673
cg03011500	0.0570359975996464	CGN	1	151484243
cg03012280	NA	ZFYVE19;DNAJC17	15	41098255
cg03013422	0.140509594285469	AACS	12	125550350
cg03014628	0.0248760259608185	RAB3C	5	57879001
cg03014680	NA	CLEC12A	12	10122522
cg03014957	NA	DEFB118	20	29956062
cg03016571	0.902647602244635	C17orf73	17	48844124
cg03017264	0.882818915741934	NFAM1	22	42829748
cg03017475	0.474333276737061	NA	NA	0
cg03017653	0.221635683157027	TTC13;ARV1	1	231115871
cg03017946	0.853158201350432	NPFFR2	4	72897281
cg03019000	0.753851256412149	TEX264	3	51704351
cg03020271	0.0470024819606037	PLIN3	19	4867550
cg03020597	0.303971189820918	SLITRK2	X	144898810
cg03020951	NA	HMGA1	6	34203887
cg03021690	NA	TNFAIP2	14	103591964
cg03021892	0.889308620014547	SLC38A5	X	48329278
cg03022541	0.689308941324937	DNAJB8	3	128186859
cg03024246	NA	JRKL	11	96124628
cg03025569	0.735545352090392	TRIM16	17	15586426
cg03026462	0.0188001105007826	FOXA1	14	38064490
cg03027037	0.0423929033911749	NAPB	20	23402404
cg03028472	0.0358991053543637	RERG	12	15374462
cg03029060	0.0273453972979499	ZNF184	6	27441036
cg03029145	0.0210899704576842	SMAD2	18	45456587
cg03029616	0.852234201910775	KRTAP6-1	21	31986034
cg03030757	0.0724458701276328	FANCE	6	35420754
cg03032025	0.847954818867367	CPEB4	5	173316748
cg03033367	0.903427763225472	NA	NA	0
cg03035419	0.00800075728479708	RPS21	20	60962318
cg03036064	0.0480562153719547	UCK2	1	165797085
cg03037266	0.145130973025022	NA	NA	0
cg03037331	0.014372718739681	DEGS1	1	224371490
cg03038003	0.0274803648294297	AGBL4;BEND5	1	49242900
cg03038672	0.937309323825051	CLDN9	16	3062056
cg03039172	0.161441183840315	DMPK;SIX5	19	46273153
cg03041841	0.114573203780787	C9orf75	9	140094281
cg03042149	0.00939556101269137	PDE8A	15	85524778
cg03044435	NA		4	1144077
cg03046445	0.172096310221646	BHLHE41	12	26277826
cg03047098	0.0279623882514269	AP1G1	16	71843015
cg03048535	0.014292829601762	FOXN4	12	109747100
cg03050522	0.0271614256671943	NA	NA	0
cg03050748	0.0757660229760448	NA	NA	0
cg03054162	NA	PCYOX1	2	70485230
cg03054529	NA	SCRN1	7	30029938
cg03055440	0.899854782198567	MS4A6A	11	59950405
cg03055492	0.0219768260740775	UGP2	2	64068493
cg03056007	0.0117362234170081	NA	NA	0
cg03057808	0.290651451296162	CXorf57	X	105855296
cg03059018	0.0398209088154464	SIX4	14	61190965
cg03059528	0.0325093054273608	RNF146	6	127587721
cg03060925	0.136258605372798	C19orf54;SNRPA	19	41256330
cg03062665	0.0115370245192879	CALM1	14	90863127
cg03063797	0.0844523405940993	SAV1	14	51135466
cg03064067	0.114120783520614	SLC6A15	12	85306916
cg03064241	0.0136014241814591	RNF34	12	121837728
cg03064400	0.024410552163137	U2AF1L4;PSENEN	19	36235836
cg03065202	0.0323737348117587	PIK3IP1	22	31687698
cg03065661	0.0324090577685485	MED17	11	93517413
cg03066138	0.017044668832089	RPLP2	11	809697
cg03067226	0.00904703117381394	TPI1	12	6976333
cg03070194	0.186767256802987	GSTM2	1	110210684
cg03070588	0.030723222008439	USP30	12	109490239
cg03072102	0.0346253097623354	CEP97	3	101443408
cg03072378	0.0413401130148916	DLX4	17	48046738
cg03073814	0.0193874859159135	ZSWIM7;TTC19	17	15902501
cg03075662	0.868255659503728	PLSCR2	3	146213648
cg03076324	0.00870995879077531	DNAJC1	10	22292468
cg03076871	0.050883918256999	STX16	20	57226737
cg03077062	0.0120715779230501	SFXN5	2	73299091
cg03077492	0.912228271305185	CCL28	5	43413095
cg03077836	0.016040508672043	ASAP2	2	9347292
cg03079549	0.0112295775378773	PLDN	15	45879223
cg03079681	0.0255992557166339	CDKN2A;CDKN2BAS	9	21994223
cg03080344	0.0232873950903989	METTL2B	7	128116561
cg03080985	0.0472641621749265	SH3BGRL2	6	80340683
cg03081134	0.0580665187359605	RECK	9	36036806
cg03082060	0.686844687334968	LGALS8	1	236680224
cg03085312	0.167838663889471	RARA	17	38465281
cg03085377	0.672662578942725	RB1	13	48893376
cg03085637	0.0171962114636059	PEX11B;GNRHR2	1	145516630
cg03086563	0.0450910570658004	HIST2H2BE;HIST2H2AC	1	149857152
cg03086857	0.0882116362781599	EDNRB	13	78492568
cg03087937	0.718248005156616	MUC15;ANO3	11	26593556
cg03091512	0.0313370091357783	RHBDD1	2	227701050
cg03096975	0.0103012120231494	MIR330;EML2	19	46142574
cg03097995	0.601193597906962	TNNI3	19	55669091
cg03098361	0.0213498221199185	RFC2	7	73668406
cg03098643	0.0731947222279716	FAT1	4	187644620
cg03098721	0.6949217508953	TTLL7	1	84464084
cg03099492	0.0706294786842254	CYP26A1	10	94833214
cg03099771	0.64613370508198	PRSS16	6	27215365
cg03100040	0.114202616880649	ZNF345	19	37341870
cg03100146	0.0556165546678449	SH3BGRL3	1	26606846
cg03100196	0.0702394203191268	ZYX	7	143077761
cg03100752	0.915412593231614	ASNA1	19	12847402
cg03101664	0.439372565001369	SNX15	11	64794610
cg03102516	NA	NEURL3	2	97171383
