Hybridization REF	TCGA-BH-A0E9-01B-11D-A112-05	TCGA-BH-A0E9-01B-11D-A112-05	TCGA-BH-A0E9-01B-11D-A112-05	TCGA-BH-A0E9-01B-11D-A112-05
cg04970352	0.447258435178767	ALX4	11	44327399
cg04970994	0.958470195908832	BCS1L	2	219525843
cg04972545	NA	RFX3	9	3526297
cg04972979	0.0960375051292567	C20orf54	20	749148
cg04975920	0.196051143334141	TSPAN1	1	46646224
cg04979725	0.0306492489699256	UNKL	16	1464225
cg04979933	0.857987417403242	INSL5	1	67266801
cg04981414	0.0275429035037257	POMT1	9	134378512
cg04981492	0.49075530400021	SYDE1	19	15218713
cg04982748	0.0181468996338061	HELB	12	66696283
cg04983977	0.783188548792152	GPR25	1	200842145
cg04984200	0.0140983234354087	HCCA2;CTSD	11	1784980
cg04984513	NA	BRI3BP	12	125477549
cg04985144	0.764706223582407	SPTBN2	11	66488638
cg04985146	0.0106076847376751	MRPL12	17	79670585
cg04987894	0.357131950197716	NA	NA	0
cg04988423	0.103660072045136	ALX4	11	44331577
cg04988978	0.681902831279235	MPO	17	56359578
cg04991214	0.256036357306776	PFDN2;NIT1	1	161089118
cg04991337	0.0294564442426899	MCCC1	3	182817223
cg04992673	0.937281852103764	HEPACAM2	7	92848714
cg04993257	0.149488171921374	PLAC2	19	5568163
cg04994456	0.660328328470028	RNF186	1	20141662
cg04995095	NA	CD300E	17	72619556
cg04995717	0.567193314060498	TEK	9	27109293
cg04996020	0.840554605597811	SLC26A3	7	107443898
cg04997967	0.301615638063111	NA	NA	0
cg04998282	0.0242432005239893	NOL11	17	65713980
cg04999036	0.0297565101835236	TMEM87A;GANC	15	42566375
cg04999691	0.617990243611239	C7orf29;LRRC61	7	150027050
cg05000446	0.241882512379243	C9orf131	9	35042395
cg05001145	0.0229837643521181	ELL2	5	95297731
cg05004940	0.0189760639882527	C20orf195	20	62185074
cg05008406	0.00874641411562889	B4GALT4	3	118959563
cg05009249	0.0357546458297949	NA	NA	0
cg05010058	0.0284684098655315	CEP68	2	65284262
cg05010623	0.0555459605812053	ACVR1C	2	158485762
cg05010967	0.336525409278054	SPATS1	6	44310640
cg05011018	0.911797960910036	NA	NA	0
cg05011232	0.0427350225782801	ETV4	17	41622925
cg05012785	0.106270372069704	ZRSR2	X	15808900
cg05013695	0.00855749744501515	FRAT1	10	99079798
cg05016508	0.992018958818226	FLRT1;MACROD1	11	63871570
cg05016953	0.0102658474504184	SLC6A4	17	28562813
cg05018361	0.0393116054351549	NSUN6	10	18940650
cg05019001	0.565716225141564	AR	X	66766334
cg05019152	0.0156847638290214	FAM82A2	15	41047360
cg05019661	0.0264328050686027	AP3M1;ADK	10	75910806
cg05020203	0.747489674087479		2	242968829
cg05022306	0.0221277212593677	HOXC8	12	54403254
cg05023116	0.946137835398206	NLRP5	19	56510892
cg05023540	0.707662333681623	NA	NA	0
cg05023691	0.680955007167355	RGS13	1	192605253
cg05024638	NA	POLG	15	89877539
cg05026033	0.0508425655817242	ELP3	8	27950972
cg05026186	0.337405055122218	ABLIM3	5	148520876
cg05027081	0.0443594926737451	CDC7	1	91966616
cg05028306	0.176174668880936	LAP3	4	17578663
cg05028467	0.245541808433822	SNCB;EIF4E1B	5	176057097
cg05029288	0.0177158006015885	UGDH	4	39529354
cg05032550	0.00787801785117307	C14orf2	14	104387812
cg05032943	NA	SFRS4	1	29508776
cg05037688	NA	EGFL7	9	139556554
cg05038053	0.00905078105651361	NR1H3;ACP2	11	47270240
cg05038121	0.113998696410033	FAH	15	80444758
cg05038209	NA	MAP1LC3B;FBXO31	16	87426147
cg05038977	0.0573095562401372	EIF4A1	17	7476167
cg05039054	0.274459961445394	DMD	X	33357782
cg05040360	0.897372070633077	MS4A6E	11	60102449
cg05040429	0.0220966451631605	SAMD12	8	119633844
cg05040447	0.0155644451487989	UQCRQ	5	132202635
cg05044994	0.637783283175346	LPP;FLJ42393	3	187896605
cg05045383	0.0280204150072152	RAE1	20	55926193
cg05045528	NA	GPR107	9	132815702
cg05045781	0.0147270125323701	FHL3	1	38471474
cg05046097	0.492616966374589	MMRN2;SNCG	10	88717926
cg05047411	0.613284769160065	MAGEA8	X	149009895
cg05050341	0.861931905404254	ENG	9	130617534
cg05051316	0.00614108644969609	TMED1	19	10946973
cg05052633	0.165338418311904	ADAP2	17	29249485
cg05055150	0.773955650147759	MAG	19	35783292
cg05055720	0.0248822529261362	TCTA;RHOA	3	49449599
cg05056120	0.292422321740587	EBF1	5	158527702
cg05057057	0.0536323417827763	DDX56	7	44613977
cg05058973	0.608530741242607	GHRHR	7	31002599
cg05059825	0.0221084643684231	HNRNPUL2;TTC9C	11	62495950
cg05060602	0.0416859413731998	DCTD	4	183838922
cg05060662	0.0171687532360588	HIST4H4	12	14923882
cg05062178	0.0453140561526206	ITGB5	3	124605247
cg05063104	0.339452608641062	SLC5A8	12	101603329
cg05064181	0.91683799350695	ABLIM1	10	116445398
cg05064352	0.0404828361341363	PHF21B	22	45406545
cg05064673	NA	PTPRU	1	29562604
cg05065037	0.0310843031740541	ZCCHC6	9	88969928
cg05065690	0.0569226809179215	DDX23	12	49246007
cg05067286	0.246029998777516	TMEM45B	11	129686365
cg05067973	NA	TRIB3	20	360745
cg05069385	0.0180739520580422	FKBPL	6	32098247
cg05070690	0.991762596464518	MOV10L1	22	50528752
cg05071677	0.788474489170388	OR2V2	5	180581950
cg05072008	0.0953462699763964	FIGNL1	7	50518647
cg05072951	0.0123434109795741	CAPN1	11	64949398
cg05073035	0.463126587364968	ZIC1	3	147127193
cg05073845	0.00818041437009404	FOXO1	13	41240516
cg05076631	0.297556124467076	PGF	14	75422152
cg05078019	0.804125995382684	PDE6B	4	619392
cg05079045	NA	APBB1	11	6440803
cg05079794	0.0168917271278477	IMPDH1	7	128050616
cg05086873	0.0117018210026695	RIC8A	11	208948
cg05086993	0.0372272172442595	TAS1R1;NOL9	1	6614664
cg05087948	NA	CTSF	11	66336197
cg05088386	NA	ELF2	4	140060774
cg05088512	0.047705115422082	DKKL1;TEAD2	19	49866817
cg05089059	0.0167157863258549	IMPDH1	7	128049863
cg05089968	0.412401353739132	PRR18	6	166722773
cg05090725	0.123990758916716	RAB39	11	107799287
cg05091653	0.104857808991903	SP100	2	231281474
cg05093686	0.504338274644935	MAB21L1;MIR548F5;NBEA	13	36050788
cg05094216	0.600578131324332	MED12L;P2RY12	3	151101921
cg05095674	0.0236911248247113	NA	NA	0
cg05098471	0.0201076478981173	MEIS1	2	66662163
cg05098732	0.380444361077322	FOXA3;SYMPK	19	46367776
cg05101920	0.132961001000635	KCNJ10	1	160040217
cg05102817	0.666169562309736	RBM18;MRRF	9	125028279
cg05103623	0.192107303080623	TAGAP	6	159466458
cg05104081	0.94720260846586	KIAA0802	18	8717011
cg05105069	0.268159248065768	TCEAL7	X	102585354
cg05105913	0.283882794610081	XYLT2	17	48422990
cg05106502	0.854381335851965	SKAP1	17	46506947
cg05107152	NA	KLC4;MRPL2	6	43026774
cg05109049	0.457829871243772	NF1;EVI2B	17	29641333
cg05111036	0.103310092686088	NA	NA	0
cg05111110	0.861467710108026	PC;LRFN4	11	66625278
cg05111829	NA	SUPV3L1	10	70940483
cg05112299	0.386677747048648	NA	NA	0
cg05112986	0.048318328152849	SUPT3H;RUNX2	6	45346247
cg05113558	0.930903737397458	FOXH1	8	145702343
cg05113908	0.0539676626376431	GYG2	X	2747136
cg05114625	0.0161349727950275	CDC27	17	45266880
cg05116896	0.020961976118801	CD2BP2	16	30366237
cg05119218	0.867615885233018	NA	NA	0
cg05119831	0.031024851356386	PTPRN2	7	158380179
cg05120641	0.0128228025216133	CHAC1	15	41245706
cg05120715	0.0206781814710036	UGCG	9	114659593
cg05122605	0.018151384209558	MAEA	4	1283721
cg05125838	0.556138514688176	UCN2;COL7A1	3	48601585
cg05126264	0.900508659252079	NA	NA	0
cg05127380	0.0333950497294073	STIP1	11	63953685
cg05127924	0.527112004863892	FBXW10	17	18647524
cg05129930	0.0122685296503371	PFKL	21	45719797
cg05130485	0.0981369826423313	CASP8	2	202098257
cg05131524	0.0563481951893955	ADAM22	7	87563251
cg05131835	0.802431937145363	NA	NA	0
cg05134796	0.273889277994066	ENOPH1;HNRPDL	4	83352783
cg05135156	0.0425210524274436	C1orf21	1	184355420
cg05135288	0.383169765905906	RHOT2;WDR90	16	717707
cg05139924	0.0768812141490361	LZTR1	22	21336424
cg05140736	0.593361371915055	SLC26A11;SGSH	17	78195518
cg05141400	0.341032906087444	MAGEB4	X	30260122
cg05141870	0.0236301671132971	MIR423;CCDC55	17	28444127
cg05142115	0.0261549106710043	GGCT	7	30544301
cg05142373	0.0461449268327184	FZD1	7	90894714
cg05142576	0.0972779620509859	NA	NA	0
cg05144089	0.0151073908298655	SNORA14B;TOMM20	1	235292386
cg05146205	0.0139218560175775	CUX1	7	101458365
cg05146762	0.043778981591337	GTF2IRD1	7	73868174
cg05149586	NA	SDSL	12	113859869
cg05150177	0.244161645131896	NA	NA	0
cg05152459	0.610596141757443	MAGEE2	X	75005087
cg05154390	0.05935531430841	MRPS15	1	36929274
cg05155595	0.808631925287171	ANXA4	2	70008161
cg05156613	0.98690344918723	ACTL7B	9	111618129
cg05157725	0.303835228671379	COL21A1	6	56112484
cg05158538	0.221696384689919	PPARGC1A	4	23891486
cg05158615	0.418373675972836	NPY	7	24323559
cg05159188	0.207604931542681	HIST1H4F	6	26240579
cg05159732	0.912074962584587	HCRT	17	40337534
cg05160935	0.0216611618133631	MED30	8	118532754
cg05161795	0.584064115844777	ZDHHC3;EXOSC7	3	45018949
cg05163057	0.0885825852933887	SPPL2B;LSM7	19	2329403
cg05163071	0.484705823301938	RETNLB	3	108476540
cg05163206	0.819567000546915	NA	NA	0
cg05163348	0.127010946638497	RPP30	10	92631428
cg05163588	NA	LIMK1	7	73498778
cg05164185	0.0443508156669479	CCND1	11	69456412
cg05164634	0.406621331250916	WNT10B	12	49366538
cg05165580	0.075359765572157	ADAT1	16	75657337
cg05168404	0.462755414951659	SLC29A4	7	5321726
cg05170326	0.0104764935745503	LPCAT3	12	7125723
cg05171367	NA	HIP1	7	75368241
cg05173789	0.0148606379401954	RPLP0	12	120639210
cg05174079	0.801510644937997	NA	NA	0
cg05179880	0.0844837678463011	PDCD7	15	65426293
cg05180295	0.319112796044278	NA	NA	0
cg05181279	NA		11	11982794
cg05181565	0.00767211639605028	SSU72	1	1509872
cg05184394	0.687371521315107	FAM123C	2	131512773
cg05185584	0.584093553883339	KCNJ11	11	17410182
cg05186188	0.869544598551194	AQP8	16	25228569
cg05187322	NA	CARD14	17	78152328
cg05189291	0.0271065003994367	THG1L	5	157158457
cg05190718	0.90194625408502	CASQ2	1	116310712
cg05191071	0.679017488498506	NA	NA	0
cg05191792	0.108300040144965	WRNIP1	6	2765113
cg05193832	0.916381460767977	KCNJ1	11	128736844
cg05194726	0.573383149527281	NRIP2	12	2944480
cg05197908	0.0219345654127105	NA	NA	0
cg05200311	0.00658247537782852	DEK	6	18264737
cg05200606	0.0841121900315875	CCND1	11	69457819
cg05200628	0.886415221265224	CD48	1	160681760
cg05203877	0.0262127092726482	SLC8A3	14	70655686
cg05205664	0.0238400549806976	UCP2	11	73694566
cg05206587	0.452842530819881	GLRA2	X	14547880
cg05206661	0.816882139949717		2	11271531
cg05208153	0.916821698726666	C9orf25;C9orf24	9	34398637
cg05208878	0.604766195420038	PRAME;LOC648691	22	22901596
cg05209463	NA	C4orf10;MFSD10	4	2935884
cg05209917	0.64441853237699	CNTN6	3	1134730
cg05210526	0.0183414861448456	PGM1	1	64059049
cg05213296	0.0475625228472219	RPF2	6	111302729
cg05215575	NA	SEPT12;LOC440335	16	4838722
cg05216141	0.0704742897238968	ETV7	6	36354960
cg05217755	0.0124777397763895	ERF	19	42758976
cg05218490	0.0287413009278403	ORC4L	2	148778969
cg05219900	0.0189414670700893	TLN1;CREB3	9	35732569
cg05221167	0.272872187982498	ZNF560	19	9609397
cg05221264	0.967239630747513	CELA2A	1	15783513
cg05222924	0.381354427116892	WT1	11	32450486
cg05225390	0.0307765376426937	ZW10	11	113644407
cg05225996	0.0323023791693581	ZNF205;MGC3771	16	3163017
cg05226008	0.529272538119399	DLC1	8	13372132
cg05227963	0.0921850945031403	RFC5	12	118454258
cg05228408	0.136332284867417	CLCN6;MTHFR	1	11865352
cg05229898	0.0146945757459828	EGR1	5	137801343
cg05232067	0.016655114192912	BNIP3L	8	26240888
cg05232889	0.401492703638648	FOXP2	7	114055419
cg05236037	NA	ZNF202	11	123612483
cg05236474	0.0222420199512026	C17orf59	17	8093493
cg05237543	0.0496878119370287	MTDH	8	98656054
cg05238794	0.186821799997569	NA	NA	0
cg05241571	0.876406370056839	KRTDAP	19	35981224
cg05242523	NA	KLK14	19	51588750
cg05242945	0.0294915483731703	RPSA	3	39447984
cg05243804	0.115573442793794	FECH	18	55254238
cg05243815	0.0171081997775456	STRAP	12	16035684
cg05243874	0.0250685025013246	NA	NA	0
cg05243909	0.032741815746761	NTHL1;TSC2	16	2097910
cg05244766	0.389016877192169	GSTP1	11	67350499
cg05245515	0.175513995188595	SLC39A2	14	21467273
cg05245861	0.214691634456939	C18orf34	18	31020511
cg05246522	0.567944705572843	KSR1	17	25798973
cg05248470	NA	LILRB2	19	54785348
cg05248781	0.969783208416555	LCE5A	1	152483199
cg05249393	0.0393506506297917	LDLR	19	11199883
cg05250458	0.439354989959001	ZNF177	19	9473565
cg05250673	0.01680073227992	NA	NA	0
cg05251000	0.0814951394499728	FREQ	9	132935664
cg05252264	0.328412541927238	FCAR	19	55385587
cg05253159	0.561634646794119	SH2B2	7	101928560
cg05253327	0.826848991144618		2	62420915
cg05254049	0.761829874074949	SYN1	X	47479662
cg05254747	0.913379386930889	SLC39A14	8	22223937
cg05256043	0.311781745150749	DCT	13	95131951
cg05257479	0.0135154229082855	WARS2	1	119683279
cg05257610	0.234478985173391	CEBPZ;C2orf56	2	37457596
cg05259765	NA	CYTH4	22	37677244
cg05260966	0.426080126603574	SYN3;TIMP3	22	33197394
cg05261289	0.0235128738584523	STARD7	2	96874823
cg05261299	NA		12	52437299
cg05261824	0.890198013109007	ZNF165	6	28046730
cg05262335	0.401489892445887	TAGAP	6	159466062
cg05263682	0.0391770588474229	RNGTT	6	89673273
cg05266460	0.744949431379909	LOC91316;RGL4	22	24032819
cg05266781	0.0649030384996358	IRX5	16	54965492
cg05270634	0.0608949488975938	RND2	17	41177445
cg05275231	0.0815886638310529	DCAF13;SLC25A32	8	104427896
cg05275605	0.924091594080839	NCRNA00175;COL18A1	21	46844883
cg05275752	0.315651589441007	GALM	2	38892887
cg05276137	0.0182978232195309	SLC2A4RG	20	62370796
cg05279707	0.0379157145095244	ADNP	20	49547986
cg05279864	NA		7	87109319
cg05280555	0.0269446326523655	CNOT10	3	32727089
cg05284582	0.0128890464616799	DNAJC18	5	138775061
cg05284724	0.0448332843353664	TTC26	7	138818658
cg05286874	0.00780768160189876	ABCA1	9	107690485
cg05287690	0.0947466098175851	FBXW7	4	153456344
cg05288569	NA	KLHL11	17	40021733
cg05288803	0.0157266116566727	SYN3;TIMP3	22	33198055
cg05289701	0.0251020754897376	C12orf11;FGFR1OP2	12	27090805
cg05290904	0.0397447191330576	RBBP5	1	205091401
cg05291178	0.923361605110136	C3orf24	3	10149466
cg05292376	0.789573017537447	AATK	17	79095236
cg05293216	0.367915341609257	FANCG	9	35080812
cg05293407	0.0694036998448784	TRIM27	6	28891967
cg05294095	0.0100767459359647	PSMD8	19	38865080
cg05294243	0.177241761428977	KLK13	19	51569106
cg05294455	0.925848594630418	MYL4	17	45286609
cg05300132	0.9573382644605	EXD2	14	69676275
cg05301102	0.0622620068200886	STX6	1	180992117
cg05301852	0.870238709875146	FABP1	2	88427827
cg05303448	NA	AACS	12	125549535
cg05306006	0.0348421763963839	RPE	2	210867127
cg05306176	0.0958574429186777	KDSR	18	61034324
cg05306735	0.0738271814870227	ZNF273	7	64363575
cg05307923	0.0495287478924876	ADARB2	10	1779667
cg05308484	0.0117721873506667	C12orf5	12	4429999
cg05308617	0.0736202223228969	ARMC8	3	137906066
cg05310071	0.0448117959898018	PIGL	17	16120569
cg05311623	0.0456546467941302	ANXA5	4	122618007
cg05313261	0.0974821365732731	MAPK3	16	30134350
cg05316065	0.279102774494397	GSDMC	8	130799007
cg05318777	0.0889400277136689	BBS7	4	122791956
cg05321960	0.0619788112064527	KIAA0907	1	155904084
cg05322019	0.943672629084125	SEMA4G	10	102732323
cg05322222	0.269503391319759	TMEM151A	11	66059064
cg05323436	0.0370294342540126	LAMB2	3	49171185
cg05325699	0.0390496189273701	HAP1	17	39890756
cg05327750	0.179157884994466	RBM41	X	106361572
cg05330360	0.740325447133574	ZPBP2	17	38023993
cg05331214	0.847031633508994	SCN7A	2	167343774
cg05333568	0.130918146733342	C1orf65	1	223566794
cg05334239	0.0894767901908168	C15orf57	15	40857495
cg05334253	0.0227914422695126	NDEL1	17	8338877
cg05335315	0.322153067447907	JAG2	14	105635708
cg05337441	0.0841201870727198	APOB	2	21266568
cg05337966	0.0117579845865724	C13orf1	13	50510151
cg05338155	0.0138346443934098	IFIT5	10	91174651
cg05338167	0.84612837289378	CALML4	15	68498251
cg05339305	0.0220620484019511	CCDC85B	11	65657822
cg05339472	0.0173193995802821	EIF1AX	X	20159528
cg05341115	NA	HYAL4	7	123485591
cg05341670	0.0211583442729793	TMEM59;C1orf83	1	54518153
cg05341878	0.692112862940696	NA	NA	0
cg05342835	0.248213892803302	SYNC	1	33160791
cg05343453	NA	C7orf45	7	129847153
cg05345286	0.220634653416231	MDFI	6	41606641
cg05346140	0.87930827451244	HSPB9	17	40275057
cg05346899	0.0224314785494611	LASS4	19	8273912
cg05347567	0.069454343608387	ZC3H10	12	56512408
cg05348123	NA	SCRG1	4	174321584
cg05348272	0.0122975550136771	TBCD	17	80710049
cg05348870	NA	TNFSF14	19	6671045
cg05350879	NA	SPARCL1	4	88451223
cg05352541	0.0074064688859019	PITPNB;LOC284900	22	28315563
cg05352668	0.877034252626087	C1orf127	1	11023756
cg05354432	0.0411017692629405	LEF1;LOC641518	4	109089890
cg05357320	NA	ZNF317	19	9251080
cg05358291	0.429984009314874	CYP4F2	19	16009219
cg05358404	0.397339955517849	RTEL1	20	62288950
cg05360220	0.0281900568866061	NA	NA	0
cg05360265	0.0642724600711377	STXBP5	6	147525477
cg05361373	0.0481149838674546	PYCARD	16	31213883
cg05361811	0.0254733144750616	UTP20	12	101674038
cg05362516	0.0204449209468219	IRX5	16	54965089
cg05362669	0.0869060870410056	PTPRG	3	61547285
cg05364569	0.827226469146045	NA	NA	0
cg05365525	0.0235560394925104	DEPDC6	8	120885882
cg05365670	0.194608564498842	LPCAT1	5	1524551
cg05365729	0.536185725986181	LOXL2	8	23262073
cg05366401	0.00924127513146982	TM9SF1	14	24664722
cg05367858	0.0153705567922335	RNF141	11	10562295
cg05368089	0.0192983581718863	PFDN5	12	53689374
cg05368341	0.14479213290247	SYT6	1	114696465
cg05368762	0.0223551729864993	TMBIM6	12	50135785
cg05368942	0.0357288508743167	RBM15	1	110881960
cg05369142	0.00838289039061876	ALS2CL	3	46735009
cg05369166	0.0844253149845242	NFASC	1	204797507
cg05372736	0.633017966816306	NA	NA	0
cg05373276	0.0143208834529268	NA	NA	0
cg05373457	0.291399115384513	KCNS2	8	99439948
cg05373692	0.769316857016259	ZDHHC15	X	74743375
cg05375800	0.0189521364232287	WDR31	9	116102362
cg05376895	0.638481264121245	PNMA3	X	152225366
cg05376954	NA	FPR1	19	52255673
cg05379350	0.085422882071724	GIT1	17	27917157
cg05380570	0.0247890785230521	ARHGEF10L	1	17866686
cg05380910	0.802251407497943	STOML3	13	39564046
cg05380982	0.148096588174477	KCNJ6	21	39288378
cg05382123	0.230341291153371	C1orf94;CSMD2	1	34632585
cg05382565	0.0237358471892669	HMGXB3;TIGD6	5	149380781
cg05382730	0.012476414314859	PHB2;EMG1	12	7080038
cg05384917	0.965574112794609	GPR109B	12	123200953
cg05385377	0.0265156909320657	TMEM51	1	15480844
cg05386606	0.0626101661468886	BCL7B	7	72972279
cg05388361	0.019705714111952	STAT2	12	56754238
cg05389024	0.626894104136999	KBTBD10	2	170366131
cg05389183	0.0529018547590244	PPIC	5	122372942
cg05389335	0.0283366203701225	TACR3	4	104641319
cg05390437	0.0222985574274892	NA	NA	0
cg05392265	0.366021814911068	DIRAS3	1	68516453
cg05393484	0.876883340220616	OR6A2	11	6818466
cg05394497	0.00760174980279744	DCAF17;METTL8	2	172290564
cg05395196	0.0173954889971202	HSF2	6	122720661
cg05395995	0.028636274482523	NA	NA	0
cg05396987	0.286669487312043	TMEM155;LOC100192379	4	122686269
cg05397738	0.784537212308752	PGRMC1	X	118369571
cg05399360	0.0189805903190631	MICB	6	31466003
cg05399553	0.0302775729306054	SNRPB	20	2451552
cg05399697	0.594457124055328	NA	NA	0
cg05399707	0.0226258801351052	TRIP10	19	6739813
cg05401645	0.0064350743442865	FAM134C;TUBG1	17	40761567
cg05402265	0.0492845455088468	ICK	6	52926119
cg05403071	0.194995040665368	SNAI1	20	48599682
cg05404787	0.786019333850489	C2orf48	2	10281526
cg05406101	0.880156257706714	RWDD2B	21	30392219
cg05409038	0.0312255192458172	TEX261	2	71221890
cg05409601	0.0403881039955049	CCNG2	4	78077912
cg05411032	0.0160141585059482	CLPTM1	19	45459158
cg05412136	0.0533970962840305	CLTA	9	36191352
cg05412531	NA		8	125183758
cg05413282	NA	PRSS3	9	33796088
cg05414225	0.0248434533109905	C9orf6;IKBKAP	9	111696926
cg05414338	0.0483674146064478		6	26250347
cg05417615	0.016080450452248	SLC10A7	4	147443478
cg05417950	0.107062736999618	NUDT6;SPATA5	4	123843025
cg05417985	0.00612530579096437	ENPP1	6	132128945
cg05418129	0.76977166832066	NA	NA	0
cg05418487	0.323061421334808	KCNQ1	11	2466889
cg05419984	NA	PIGX;C3orf34	3	196438463
cg05420896	0.265756151766974	DCC	18	49867488
cg05421555	0.0195296101013729	AKAP13	15	85924342
cg05421673	0.0904491714946885	NOG	17	54671575
cg05421688	0.313323899900871	FAM163A	1	179711859
cg05421946	0.00844349603045065	ABHD6	3	58223373
cg05422352	NA	COPS7B	2	232650747
cg05423257	0.97769838406842	ALPI	2	233321600
cg05428978	0.0107598106416747	CDCA7	2	174219986
cg05429895	0.0741282826001155	TLR4	9	120466640
cg05432118	0.017236392020225	PRKAB1	12	120105824
cg05433460	NA	ARHGAP1;ZNF408	11	46720913
cg05434957	0.0112650418353514	ICA1	7	8301435
cg05435853	0.0345435255051957	RNF41	12	56615825
cg05436231	0.30015202382065	CD164L2	1	27709789
cg05436658	NA	PRKCB	16	23847568
cg05437059	0.66411764734544	KCNE1L	X	108868775
cg05439318	0.0237101480032499	CYB5B	16	69458329
cg05439368	0.726920609985491	TRIM69	15	45028098
cg05440218	NA	KIAA0196;NSMCE2	8	126104540
cg05440289	0.728642208993573	IVL	1	152881119
cg05441133	0.982595473164468	GDF2	10	48416891
cg05442902	0.45415720690877	MGC16703;P2RX6	22	21369010
cg05443740	0.0401799891969466	KCNIP3	2	95963057
cg05444024	0.930632624807174	FUT6	19	5841072
cg05445326	0.896201858462659	TM4SF19	3	196065569
cg05446471	0.871414229511087	HDAC11	3	13522740
cg05449414	0.0542297651125688	ZNF721;ABCA11P	4	467983
cg05449607	0.0441783048331232	GTF3C6	6	111279612
cg05450995	0.0661932389809394	BCL7A	12	122460105
cg05451974	0.00892430349154675	SYS1;SYS1-DBNDD2	20	43991922
cg05454446	0.0911879540577012	BMS1	10	43277757
cg05457411	0.0226613652802511	DDX19A	16	70381052
cg05459203	0.0512734321807153	NUDCD3	7	44530674
cg05461276	0.896542003614301	NA	NA	0
cg05461841	0.0767155489695194	ZG16B	16	2879944
cg05462826	0.0222779604664082	ABI2	2	204193327
cg05463705	0.0160602433813589	ZNF143	11	9482308
cg05465755	0.011922376781576	CKS2	9	91926196
cg05467106	0.090104288955976	ZNF689	16	30621996
cg05467167	0.0410077803775973	GOSR2	17	45000793
cg05467458	0.468602396495546	SLC7A9	19	33361032
cg05467918	NA	ACADM	1	76189945
cg05468303	0.0664593014352595	DGCR6	22	18894389
cg05469695	0.0415480191949962	CDC42EP3	2	37899953
cg05471297	0.327464342975891	RYR1	19	38924349
cg05471521	NA	CSTF1;AURKA	20	54968604
cg05471775	0.0807419053523346	HIST1H4B	6	26027531
cg05472874	0.130041606712473	SULT4A1	22	44258179
cg05473175	0.0128033328989416	CADM4	19	44143644
cg05473677	NA	OSTalpha	3	195943713
cg05473871	0.0354666139316569	ADAMTSL5	19	1513513
cg05475028	0.0689737981717437	BOD1L	4	13629588
cg05475277	0.965112473444568	FOXRED2	22	36902578
cg05475904	0.874288517835199	BCL10	1	85743377
cg05477024	0.0726881110495749	KIAA1804	1	233462765
cg05477027	0.019358276030438	DMWD	19	46295590
cg05480532	0.778653984332502	NA	NA	0
cg05482722	0.938609566633718	UTP14C;ALG11	13	52598175
cg05483509	0.300231959894943	ATP6V0C	16	2563435
cg05484458	0.879771805940544	GNB3	12	6949260
cg05484920	0.0366051529273633	SNRNP70	19	49588520
cg05485060	0.664673008036574	CTNNAL1	9	111776779
cg05485062	0.320917309134555	SERPINA12	14	94983863
cg05486551	0.0793207226233692	C20orf196	20	5731259
cg05488632	0.605638329637736	EPHX3	19	15343174
cg05492113	0.854877610249778	TUB	11	8060332
cg05492270	0.0552653026974781	RNF121;LOC100133315	11	71640085
cg05492503	0.0135016452865835	NA	NA	0
cg05492605	0.0151056501560442	PPP1R8	1	28157672
cg05492845	0.0366939725432624	VEGFB	11	64002298
cg05494069	NA	PRKAA2	1	57111499
cg05494459	0.17854032393785	FTSJ1	X	48334337
cg05497107	0.0125917284522447	RUFY1	5	178978234
cg05497616	0.104029452226789	CAMK4	5	110560372
cg05498681	NA	SRC	20	35973318
cg05499853	0.0248863529637207	FAM188A	10	15902324
cg05500015	0.193033876144988	NAALAD2	11	89867819
cg05500074	0.856144912136885	TSKS	19	50266336
cg05501276	0.0821280228638112	TRA2A	7	23571514
cg05501357	0.463192402709087	HIPK3	11	33308269
cg05501584	0.0783551836807113	ST8SIA2	15	92936306
cg05501658	0.046902473940871	NA	NA	0
cg05501682	0.0617662186443577	DKFZP686I15217	6	2988723
cg05501721	0.0197777712451242	CRTC1	19	18794247
cg05503412	0.0170945453357634	C4orf14	4	57843540
cg05507459	NA	NXNL2	9	91148748
cg05507894	0.0313253422073579	C4orf34	4	39640920
cg05508048	0.0164102304190378	INTS6	13	52027321
cg05508067	0.0333946465213355	PNPLA4	X	7895590
cg05508084	0.282787548380858	ZNF667	19	56988398
cg05508558	0.049656024074869	CR2	1	207627372
cg05510041	NA	VCL	10	75758427
cg05511517	0.0603141855745044	NA	NA	0
cg05511685	0.848974634052337	RGS9	17	63184288
cg05511752	0.463783697111996	MED12	X	70338656
cg05512099	NA	PLEKHF1	19	30155866
cg05512756	0.45014423866523	UGT3A1	5	35991735
cg05516537	0.0516964773924926	TFDP1	13	114239958
cg05516832	0.0183104968641192	SGTA	19	2783122
cg05517572	0.136007049056372	STAP2	19	4338769
cg05517711	NA	ST6GALNAC6	9	130662451
cg05518543	0.0489559699980083	MAEA	4	1283165
cg05520656	0.0456233819505546	NA	NA	0
cg05521696	0.272493519244356	NA	NA	0
cg05522288	0.0303113538174346	NAA38	7	117824098
cg05522383	0.320719315726348	PITX2	4	111557894
cg05523047	0.00859846894939453	VLDLR;FLJ35024	9	2621379
cg05523085	0.0220344077623143	MYO5A	15	52821854
cg05523254	0.0152355812416859	MFN2	1	12040215
cg05526376	0.0291663018421255	LMTK2	7	97736360
cg05528918	0.928882094557285	ZFP161	18	5293319
