Hybridization REF	TCGA-A8-A092-01A-11D-A00Y-05	TCGA-A8-A092-01A-11D-A00Y-05	TCGA-A8-A092-01A-11D-A00Y-05	TCGA-A8-A092-01A-11D-A00Y-05
cg03160135	0.705533161996763	VGLL2	6	117586918
cg03160309	0.0687341336040226	NA	NA	0
cg03160508	NA	RHOD	11	66823684
cg03160637	0.0286008926518302	DAK;DDB1	11	61101089
cg03160740	0.0496486896398418	VIPR1	3	42544400
cg03160815	0.0448780335632287	NPB	17	79859830
cg03161112	NA	ZNF24	18	32924652
cg03161453	0.83846176780451	BCOR	X	39962049
cg03161839	NA	ARHGEF1	19	42387947
cg03163246	0.929186560164723	PPBPL2	4	74921023
cg03164831	0.265998283588242	BRWD3	X	80065461
cg03165378	0.897009977748219	S100A9	1	153329882
cg03165700	0.0277255511369584	ATM;NPAT	11	108093220
cg03166779	0.0185379453502045	ETV1	7	14029285
cg03167275	0.0336206448669732	CXADR	21	18886093
cg03167339	NA	MICALL2	7	1498866
cg03167763	0.0469641974121968	UBXN10	1	20512397
cg03167883	0.49495726816063		8	49502967
cg03168296	0.025971645620792	NOXA1;EXD3	9	140317011
cg03168582	0.0201962837601097	DMRT1	9	841850
cg03169180	0.704226835341545	NLGN2	17	7310347
cg03169527	0.0170846625927581	C3orf31	3	11888582
cg03169715	0.0128138237097724	HAS3	16	69140794
cg03171924	0.362375324485668	RUNX3	1	25258332
cg03172991	NA	NFIX	19	13105728
cg03173722	0.219910645133481	RUFY3	4	71587640
cg03176585	0.0196364931551921	MRPS35	12	27863646
cg03177025	0.0678809534811962	BRE;RBKS;LOC100302650	2	28112917
cg03177084	0.0125550001780501	PSME3	17	40985069
cg03179866	0.841657095393644	NA	NA	0
cg03184439	0.033086611994261	ICT1	17	73008867
cg03184964	NA	SMARCC2	12	56584202
cg03188118	0.328078075596698	RGS6	14	72399809
cg03190825	0.138866756036399	CYP4F11	19	16045788
cg03192551	0.030124714205684	SLC25A39	17	42403152
cg03192737	0.452739425601159	OSTN	3	190931199
cg03196745	0.0294526442084886	SART3;ISCU	12	108956112
cg03197524	NA	TNIP1	5	150460989
cg03198372	0.147760896514375	KREMEN1	22	29468588
cg03199651	0.607391173812746	MSX1	4	4862770
cg03201604	0.0263996982546209	NAAA	4	76861293
cg03202897	0.589365406444649	FAM50B	6	3849688
cg03205208	0.0461305201058568	KIN;ATP5C1	10	7830848
cg03208093	NA	ZNF248	10	38147096
cg03209127	0.0138657748073226	B3GALNT2	1	235668099
cg03212129	0.0145312675219725	PDCD2L	19	34895470
cg03213216	0.0234229225992603	RTN2;FLJ40125	19	46001735
cg03214212	0.0381164429781114	TSPAN13	7	16793334
cg03214697	0.155084222519271	SEC14L4	22	30901532
cg03217102	0.100214480141522	NA	NA	0
cg03217964	0.0182359773425356	ZFP1	16	75182191
cg03218019	0.0308312119244649	DDOST	1	20987858
cg03218374	0.0855979167108851	ANGPT4	20	896981
cg03218909	0.0757618621022352	HAPLN2	1	156589008
cg03221436	0.415082281739276	CCDC120	X	48916091
cg03221619	0.191531074938066	FCER2	19	7767348
cg03221676	0.0144265463020934	ZCCHC6	9	88969266
cg03221776	0.0135065689022971	MFSD3	8	145733971
cg03221914	0.843950330427815	HIST1H2AJ	6	27783331
cg03222066	0.580288791862503	ABCG4	11	119019384
cg03223878	0.0159352191187011	BHLHE40	3	5021310
cg03224418	0.25256482045815	SAMD10;PRPF6	20	62611858
cg03225779	0.143508004249796	NA	NA	0
cg03227078	0.0363213372874207	ZNF221	19	44455454
cg03229887	0.0212696287566525	EIF2B3	1	45452240
cg03231024	0.0199013963832738	EFNA1	1	155100501
cg03234661	0.946677718020308	SLC10A1	14	70265290
cg03237153	0.767470894237444	NA	NA	0
cg03238797	0.0139957462440479	ADAMTS18	16	77468893
cg03240509	0.664500365942131	KCNA6	12	4918169
cg03240745	0.871061588127576	MEGF8	19	42841056
cg03241282	0.325100356182717	LOC348840	3	197807491
cg03242666	0.132297382983511	PMP22	17	15168570
cg03242880	0.906422510725666	BTG4;MIR34C;MIR34B	11	111382915
cg03243506	0.883282341636007	TMC2	20	2517231
cg03243700	0.0148178146339731	WDR5	9	137000940
cg03243895	0.015060259888877	SPTAN1	9	131314908
cg03243946	0.050825778466205	LDHB	12	21811034
cg03245641	0.446399663184527	GPHA2	11	64703415
cg03245962	0.0200757397507778	XRN1	3	142167057
cg03247626	0.124602515967684	HINT3	6	126277793
cg03251079	0.016585493375382	HMGA2;RPSAP52	12	66218285
cg03251249	0.0123750062533121	SIRT1	10	69645012
cg03251655	NA	SLFN12	17	33759512
cg03251857	0.465823797666338	PPAPDC3	9	134164580
cg03256955	0.0278963666773042	TGFBR2	3	30649017
cg03257423	0.0388325329488455	ZFP112	19	44860820
cg03258472	0.146100191699274	CRB3	19	6463949
cg03259469	0.0281814221683976	SVIL	10	30025293
cg03260744	NA	TEKT2	1	36549062
cg03261004	0.00956116319087811	LOC100289341;MAN1B1	9	139981660
cg03262773	0.0590728314889458	RAD54L	1	46712613
cg03262918	0.013581884715243	BBX	3	107241738
cg03264209	0.635169068228203		16	3931885
cg03264414	0.531690235888726	PAEP	9	138453697
cg03266453	0.0655532007629297	EN1	2	119606055
cg03266904	0.0118720718979862	CNOT4	7	135194685
cg03270167	0.0436596400542568	RAMP1	2	238768916
cg03270204	NA	DDR1	6	30851638
cg03270376	0.0217231886362062	RNF25;STK36	2	219536588
cg03271651	0.0357249890970087	POGZ	1	151431849
cg03271907	0.968284665726095	MGMT	10	131412643
cg03272031	0.0115926237296325	LOH12CR1;LOH12CR2	12	12509922
cg03273615	0.173275015624374	RBM41	X	106362373
cg03274654	0.0175116297272102	KPNA3	13	50367395
cg03274876	0.0381857537903067	C4orf27	4	170679006
cg03275186	0.030583115989163	COPS8	2	237994061
cg03276813	0.0129792648232564	SSFA2	2	182757157
cg03277051	0.0178927744568423	COL8A1;MIR548G	3	99356666
cg03277112	0.0241159846758667	MED23	6	131949711
cg03278643	0.80161185151219	EVC2	4	5710767
cg03278960	0.0159410709017714	C16orf57;ZNF319	16	58035186
cg03279443	0.0302104250060287	VDAC2	10	76971052
cg03283421	0.849722507500949	FAM24B	10	124610984
cg03283569	0.0350708564637959	RABEPK	9	127963181
cg03283694	NA	SIGLEC11	19	50464713
cg03283842	0.0287752335087367	FKBP7;PLEKHA3;MIR548N	2	179343803
cg03285457	0.024435416633234	LBX1;FLJ41350	10	102988529
cg03286783	0.0428772827729055	CASC4	15	44580973
cg03287877	0.950292980550246	NMT1;DCAKD	17	43139826
cg03289369	0.0186064010889749	AASDH	4	57253815
cg03289872	0.0208505960016189	ZNF667	19	56989102
cg03290040	0.0188806619450493	CHCHD10	22	24110355
cg03291145	0.28065817645457	NA	NA	0
cg03292149	0.238892625578009	CBLC	19	45279765
cg03292388	0.0241306376622324	CPZ	4	8594514
cg03293770	0.0236761477822203	SDHAF2;CPSF7	11	61197075
cg03293882	0.0508558888916549	ZNF614	19	52531438
cg03294491	0.068824540124769	SMAD2	18	45458243
cg03294557	NA	SERPINB4	18	61312477
cg03294619	0.442647366831809	NKX2-5	5	172661803
cg03296929	0.158596149670731	NA	NA	0
cg03297731	NA	GDPD3;LOC100271831	16	30124293
cg03298413	0.0237613794041863	ATF6B	6	32095941
cg03301801	0.57698033845376	FNDC7	1	109264283
cg03302287	0.0141708474864739	PKP2	12	33049650
cg03305230	0.0439329341777943	RAI1	17	17585338
cg03308985	0.0119874878056748	DGCR6L	22	20307724
cg03309050	0.016098815565457	ZNF688	16	30583736
cg03309721	0.016844970844372	PLEKHJ1;SF3A2	19	2236316
cg03309967	0.800964637804581	U2AF1L4;PSENEN	19	36235184
cg03310453	0.0150663718142963	PPP1CC	12	111180513
cg03310469	0.00803419302620867	SIX2	2	45236672
cg03311036	0.016756693517884	CASP2	7	142985443
cg03311899	0.348811248629309	NA	NA	0
cg03312124	0.0117461496886265	RFFL	17	33416003
cg03312426	0.018018182808013	RRAS	19	50143795
cg03312532	0.793690693732645	C15orf42	15	90166033
cg03312792	NA	SEMG2	20	43849759
cg03316864	0.357100746148761	B3GNT3	19	17906309
cg03317245	0.38179626622113	P2RX5	17	3600514
cg03320844	0.742303723533012	GJA1	6	121756839
cg03322129	0.0262450626143984	UBE2J2	1	1209673
cg03322749	0.0184427201063536	RBM18;MRRF	9	125026979
cg03327494	0.784940703116467	ZDHHC19	3	195938048
cg03328750	0.0296893834229817	ARHGAP26	5	142150401
cg03328804	0.0597927173219157	UVRAG	11	75526289
cg03329165	0.329218420225692	CD200	3	112052218
cg03329572	NA	FCRL5	1	157523253
cg03330058	0.244970301153366	ABTB1	3	127392403
cg03330516	0.293574885784893	SRMS	20	62178744
cg03330678	0.78354881252204	SEPT9	17	75316233
cg03332113	0.0206017222744404	RAI14	5	34656078
cg03332271	0.137816575459857	MST1R	3	49941151
cg03332970	0.0286410176647002	ESAM	11	124632552
cg03334529	0.0444524882834153	NA	NA	0
cg03336167	NA	SLC22A18	11	2930995
cg03338064	0.891198382215642	NA	NA	0
cg03338189	0.0295974595976328	NA	NA	0
cg03338959	0.0378118451304311	NAMPT	7	105926305
cg03340261	0.0168776311463579	HBS1L	6	135375900
cg03340878	0.495798376553115	OR2B6	6	27925166
cg03343942	0.396250251513158	SLC39A5	12	56625109
cg03347966	0.018930334673596	GPR172A;FBXL6	8	145582459
cg03349251	NA	MAK	6	10832472
cg03349935	0.907318181880679	RASL12	15	65361335
cg03349953	0.154818487973374	PCDHB5	5	140515207
cg03352153	0.572005214736915	LGSN	6	64030429
cg03354519	0.0240348758382183	ANXA5	4	122618501
cg03354772	NA	C10orf93	10	134756503
cg03355298	0.0111800687707292	B2M	15	45003704
cg03355526	0.23572234768858	ZNF454	5	178368415
cg03359285	0.0214699803596845	TOP2A	17	38573811
cg03359508	0.0164171108538272	ANXA11	10	81964782
cg03361068	0.0130269525336139	TRIM9	14	51561562
cg03362494	NA	ZDHHC19	3	195938668
cg03363175	0.0126884357713107	NLE1	17	33468875
cg03363283	0.851740372245444	NA	NA	0
cg03364504	NA		1	113393176
cg03364781	0.948491939131045	ALPK1	4	113298593
cg03365354	0.015668991252487	MCAM	11	119187391
cg03365432	0.0346140368523686	FGFR1OP	6	167412981
cg03365437	0.593895727180789	ALDH1A2	15	58357874
cg03366382	0.914072544097655	INS;INS-IGF2	11	2182644
cg03366677	0.00715572693067441	C14orf4	14	77495018
cg03366896	0.0108008867828418	ECHS1	10	135186866
cg03367667	0.0112309153008892	STOML2	9	35103545
cg03368758	0.34508712003899	LDB2	4	16900733
cg03369671	0.0134597034266693	ARMC9	2	232063176
cg03370542	0.122661240331984	NA	NA	0
cg03371205	0.0281369776726704	LYPLA2	1	24117506
cg03371306	0.0213299764881537	FBXW7	4	153456039
cg03373080	0.0251201447751891	CCDC109A	10	74452380
cg03373442	0.0121114945627023	HSPH1	13	31736396
cg03373857	0.0141115630358581	WBSCR16	7	74489715
cg03375002	NA	LAT2	7	73623876
cg03375833	0.44447564092036	TTLL3	3	9859360
cg03377682	0.0708280535309613	NA	NA	0
cg03379131	0.0194877415276073	ADAM15	1	155024281
cg03380645	NA	SFTPB	2	85895048
cg03380773	0.0140153175876364	NKX6-3	8	41504331
cg03381111	0.57960827957733	SNORD116-1	15	25296571
cg03382304	0.0302575576610748	JAM2	21	27012176
cg03382346	0.927784333960699	ZNF611	19	53233245
cg03382564	0.0278905167533086	ZNF362	1	33722125
cg03382797	0.770294040465758	C9orf98;C9orf9	9	135755363
cg03383661	0.0351032825191726	TBCC	6	42714115
cg03384938	0.0133909711159655	CXXC4	4	105412832
cg03386140	0.015717024740468	NA	NA	0
cg03386373	0.663398278861387	SPATA3	2	231860456
cg03386722	0.0337311347897085	FASN	17	80056517
cg03386869	0.791201372929047	ITGBL1	13	102104848
cg03386903	0.946171492972472	KCNAB3	17	7832479
cg03387497	0.84155140966967	BANF2	20	17680945
cg03387723	0.826710876081704	SCMH1	1	41708464
cg03388193	0.0779181831047491	HPSE2	10	100996070
cg03389111	0.0520168439344376	KRR1	12	75905372
cg03389133	0.376325765683442	SSTR3	22	37608611
cg03389164	NA	ASB2	14	94423872
cg03390211	0.0128352525284601	RGS11	16	325826
cg03391040	0.0108524661286844	ZNF420	19	37569273
cg03391568	0.43071022032567	PTH1R	3	46918266
cg03392046	0.0779425048383032	CCDC75;HEATR5B	2	37311658
cg03395546	0.0800443030473798	ADCK4;ITPKC	19	41222599
cg03395898	0.0414735717648579	TGFB3	14	76448011
cg03396229	0.0742754596836873	COL22A1	8	139926571
cg03399459	0.720085628008338	NA	NA	0
cg03399971	0.951393914098267	INHBC	12	57828847
cg03400060	0.631297535695928	BHMT2;DMGDH	5	78365801
cg03401114	NA	BMP8B	1	40255440
cg03402775	0.0256543242892014	DZIP3;KIAA1524	3	108308147
cg03402876	0.00947145973868963	KCNF1	2	11051991
cg03403539	0.0200338842772948	NUPL2	7	23221679
cg03404502	0.814458610657138	GPR18;UBAC2	13	99911826
cg03405173	0.0255117000149171	ZNF441	19	11877721
cg03406535	0.283031919426149	RBP7	1	10056957
cg03409548	0.0348430491547928	MOBKL2C	1	47082691
cg03410718	0.950077599516551		19	647423
cg03411288	0.0137197419625531	C10orf47	10	11865805
cg03414321	0.0346419837435454	HCK	20	30640022
cg03415518	0.926661217442183	RMST;MIR1251	12	97885729
cg03417317	0.0133401392355379	TMEM180	10	104221000
cg03417466	0.682390716563614	NA	NA	0
cg03418289	0.0100555286730287	LIX1L	1	145477137
cg03421300	0.433482813053298	SFN	1	27189787
cg03421687	0.0114062224246226	NA	NA	0
cg03422350	0.896398705846161	MOCS1	6	39895671
cg03423524	0.0158857303358889	FOSL1	11	65667924
cg03424436	0.0261688396708662	CEP250	20	34043664
cg03425110	0.491262298139832	NEUROG3	10	71333037
cg03426225	0.947901420094497	FAM38B	18	10697032
cg03427564	0.0182611078196282	EP300	22	41489051
cg03427831	0.192308619293612	NA	NA	0
cg03428000	0.0182752366694537	MPHOSPH8	13	20207770
cg03429034	0.0168172725348464	ZKSCAN1	7	99613105
cg03429582	0.0133284677214184	RBM4	11	66406312
cg03430067	0.147551046653485	C19orf57;CC2D1A	19	14016927
cg03430998	0.732501778615753	NA	NA	0
cg03431064	0.0346259912712108	TUBB2C	9	140135566
cg03437318	0.0227620843896374	ERBB3	12	56474175
cg03438515	0.021929629534027	SRGAP3	3	9291212
cg03438904	0.014795477453128	LRCH3	3	197518158
cg03439703	0.46620008278599	PDE3B;PSMA1	11	14664991
cg03439805	0.034626175466654	CORO1C	12	109124743
cg03440267	0.0655387009168135	F13A1	6	6321061
cg03440846	0.291780430314651	NA	NA	0
cg03442064	0.207139837622054	FOXP4	6	41515050
cg03443922	0.0264215440062264	CBLL1	7	107384711
cg03445474	0.0213899100560483	CAPRIN1	11	34073002
cg03445896	0.832714722737333	LPAR4	X	78010565
cg03446863	0.0566613238254331	TFEB	6	41702426
cg03447931	0.0100289196077131	BMP6	6	7726645
cg03451296	0.00860248423628182	CRIP2	14	105940391
cg03453449	0.862337036911569	USP44	12	95945120
cg03454353	0.0725534295970292	ZFP37	9	115819364
cg03455024	0.956853636565176	SLC12A3	16	56899183
cg03455458	0.0242395514024971	VASH2	1	213124545
cg03455762	NA	XPNPEP2	X	128873475
cg03455874	0.030557205174844	BRI3BP	12	125478229
cg03458191	0.353033925799281	NA	NA	0
cg03459809	0.241566278683806	EPHX1	1	226013010
cg03460527	0.0339046120116792	F3	1	95008117
cg03460682	0.0372176290488465	CYP27A1	2	219646316
cg03461495	0.0250536130478912	ANKZF1;ATG9A	2	220094219
cg03462055	0.014746802268935	TUBB2B	6	3227556
cg03464416	0.342712459195437	RPL10	X	153626979
cg03464655	0.208109754531498	SLC38A11	2	165811982
cg03464689	0.0308494684894311	NFKB1	4	103422429
cg03465320	NA	PSMB9;TAP1	6	32823078
cg03465847	0.0358493092498047	MED14	X	40594937
cg03468463	0.187386699255387	SERPINB12	18	61223564
cg03469054	0.29631191456776	TMEM132D	12	130387861
cg03469082	0.0542960681806918	GABRG1	4	46126448
cg03469158	0.894112882567131	NA	NA	0
cg03473294	0.0169940929271954	TASP1	20	13619704
cg03473518	0.343617023763549	GJB6	13	20805656
cg03474731	0.0213354940080995	CHEK1	11	125495234
cg03475172	NA	USP6NL	10	11654177
cg03475420	0.0151901953035642	RTN4R	22	20255667
cg03476195	0.196987496932164	ANK2	4	113970745
cg03476370	0.0341487471110906	NDUFC2	11	77791237
cg03478689	0.0171641877114394	EDIL3	5	83680717
cg03479797	0.0203947540862759	ATF6B	6	32096154
cg03479974	0.0220115648523966	ANKRD16;FBXO18	10	5931970
cg03482087	0.0548506147065201	MFSD8;C4orf29	4	128886832
cg03483626	0.746284261211207	KCNA3	1	111218276
cg03483654	0.989950954275795	DAK;DDB1	11	61102074
cg03484533	NA	FABP3	1	31846491
cg03486540	0.0346107208252155	ZNF224	19	44598375
cg03490115	0.0282330810734626	INO80B	2	74681972
cg03490200	0.252127848785248	A2ML1	12	8975196
cg03491181	0.0281509761945541	FKBP3;FANCM	14	45605002
cg03491478	0.08836205249348	MAPK8IP1	11	45906914
cg03493069	NA	CYTH1	17	76778892
cg03494005	0.0120333905103497	FBXO24;LRCH4	7	100183994
cg03495868	0.0247079360671275	PTGFR	1	78956905
cg03496289	0.0325176807554794	CDKN2D	19	10680229
cg03496978	0.124235089523313	FBXO28	1	224302360
cg03498559	0.823575078501101	UGT2B4	4	70361062
cg03499052	0.0205317232565271	FAM114A1;MIR574	4	38869262
cg03503295	0.281449586953814	DNAH5	5	13944491
cg03503905	0.00974170592200979	TAF4	20	60640758
cg03504078	0.671251402524085	PCDHB3	5	140480218
cg03504701	NA	CDH18	5	19980857
cg03506489	0.378971435064188	KCNA4	11	30038788
cg03506684	0.0181399440825832	GYG2	X	2746697
cg03506799	0.0101370118340635	CHSY1	15	101792752
cg03509024	NA	VHL	3	10184013
cg03510310	0.863227543212036	HRASLS2	11	63331286
cg03513163	0.071097099748758	PCDHB1	5	140431149
cg03513363	0.108371391149483	TTLL9;DUSP15	20	30458745
cg03515901	0.612890467961888	TGIF2LY	Y	3447157
cg03517000	0.950511574844469	NA	NA	0
cg03518503	0.021966808614907	PLEKHH3	17	40828905
cg03519303	NA	CCRN4L	4	139936796
cg03520136	NA	UPP2	2	158851300
cg03521113	0.475732749985255	LRMP	12	25204672
cg03521347	0.0190344540281766	NUDCD3	7	44529975
cg03521600	0.0242105574325212	MTBP;MRPL13	8	121457500
cg03522063	0.0204243852765135	EMX2;EMX2OS	10	119302167
cg03522216	0.0103827816371141	GOLPH3	5	32174578
cg03522403	0.0138985442451883	STAU1	20	47805138
cg03522910	0.0164818215711515	B4GALT3	1	161147597
cg03524308	0.0160980172767148	ZNF585A	19	37663414
cg03524627	NA	CDC25B	20	3776483
cg03528946	0.0401377323997123	SHB	9	38069800
cg03529436	0.0141729637015641	C5orf32	5	139554541
cg03530967	0.0519158379216586	ITGAV	2	187454299
cg03531512	0.0341690697080076	TFIP11	22	26908677
cg03532005	0.0176792593670612	CCT6A;PSPH	7	56119028
cg03532114	0.0286194175858524	COMMD1	2	62132888
cg03532879	NA	ADIG	20	37209395
cg03532957	0.0255841869463498	CHSY1	15	101792098
cg03533058	0.677568862147139		12	52437571
cg03533811	0.979004245034713	NA	NA	0
cg03533858	0.918300949525995	MORN1;RER1	1	2324396
cg03534410	0.383674713021429	TMEM40	3	12801112
cg03535648	NA	PMCH	12	102592479
cg03536003	0.573630371742819	NA	NA	0
cg03536787	0.0130091136707188	NSD1	5	176561447
cg03538345	0.0468684503321482	MTMR3	22	30279922
cg03538436	0.0463092618124017	NOS1	12	117799370
cg03539474	0.0342078702825932	SLC25A12	2	172751088
cg03543403	0.0106250394742418	DIABLO	12	122710630
cg03543593	0.0623532832553324	TNXB	6	32076417
cg03544320	0.839574037726765	CRMP1	4	5894691
cg03544379	0.0810635899045552	OR7C2	19	15052824
cg03544525	0.0180508248957937	PFKFB2	1	207226564
cg03545635	NA	CHST12	7	2471551
cg03547797	0.0768772120650934	GAS2	11	22689644
cg03547924	0.0899724094368512	GDF5	20	34025927
cg03548857	0.050003109671603	FFAR2	19	35940174
cg03549127	0.0464817725340326	GCA	2	163200582
cg03549571	0.012557903598555	DHH	12	49488198
cg03550002	0.0289563018053922	TTC37;ARSK	5	94890897
cg03550508	0.0137824547526665	C22orf13;SNRPD3	22	24951766
cg03552103	0.225223611199186	SEPT10;ANKRD57	2	110373002
cg03552688	0.944801802255167	BPESC1	3	138822369
cg03554552	0.0336576104008829	CD3EAP;PPP1R13L	19	45908146
cg03554914	NA	MASTL	10	27444905
cg03555203	0.961046349070818	TSHZ3	19	31770188
cg03555909	0.00845935840437288	TMEM109	11	60682030
cg03556497	0.0729621555871465	SLC32A1	20	37352792
cg03557698	0.980629760647216	C1orf177	1	55271921
cg03557733	0.485910426115678	MPP2	17	41985183
cg03558299	0.0160419936036815	CSE1L	20	47662597
cg03558807	NA	NCRNA00219;SNORA13	5	111495981
cg03560090	0.0137276814248321	RBM42	19	36119752
cg03560597	0.0155761357867464	DUSP18	22	31064008
cg03561565	0.918049066463959	KCNS2	8	99438624
cg03562120	0.248389203949992	WISP2	20	43343997
cg03563403	0.0131334413688388	FANCG	9	35079882
cg03564506	0.0160699219223368	TRRAP	7	98475901
cg03565081	0.105054199964952	C14orf93	14	23478970
cg03565323	0.0368954133084463	ZNF287	17	16472866
cg03565782	0.00987742987286773	IER5	1	181057814
cg03567830	0.16887227637904	NTSR1	20	61339871
cg03568064	0.177672608872618	MAPK8IP1	11	45907500
cg03568718	NA	TP73	1	3579873
cg03569412	NA	MBD3	19	1593943
cg03569637	0.885506760695092	LOC100233209;FAM113B	12	47609357
cg03570766	0.964227702756807	CATSPER1	11	65793706
cg03570976	0.0165029467674409	FAM96B;CES2	16	66968476
cg03572913	0.0237585579557809	ROMO1;NFS1	20	34287853
cg03573747	0.179735899546521	ADIPOQ	3	186560617
cg03574115	0.876155594080211	WDR65;EBNA1BP2	1	43636559
cg03574571	NA	CD22	19	35820181
cg03575468	NA	PDHA1	X	19362613
cg03578041	0.104699115016705	LARP6	15	71147307
cg03580247	0.926206710904957	SLC4A1	17	42345488
cg03580351	0.0324560552112963	GEN1;SMC6	2	17935719
cg03580876	NA	TRMU	22	46731674
cg03582451	0.906823029981143	ERI2;LOC81691	16	20816408
cg03583857	0.840678046068695	CD34	1	208085022
cg03584220	0.680312196583815	NA	NA	0
cg03584646	0.918624846884818	TBC1D8	2	101676513
cg03586029	0.0222597160674044	MFSD8;C4orf29	4	128886849
cg03586879	0.194902380814773	A2BP1	16	6068831
cg03588357	0.0328586301695014	GPR68	14	91720173
cg03589001	0.686691700507994	MORF4L1	15	79164714
cg03591238	NA	ZNHIT2	11	64885558
cg03591594	0.0208075221599438	VLDLR;FLJ35024	9	2621918
cg03592161	0.00997041771462576	C17orf48;SCO1	17	10601178
cg03593419	0.120224058220431	GABRA4	4	46995474
cg03594044	0.0213431620831131	FUT10	8	33330726
cg03595428	0.417721310317316	MTCP1;MTCP1NB;BRCC3	X	154299274
cg03597525	0.303396461268111	SIGLEC10;LOC100129083	19	51920435
cg03599338	0.352775142035063	SUSD2	22	24577315
cg03600318	0.738411733672082	SFTPD	10	81708991
cg03600687	0.0129011046961113	BOK	2	242499012
cg03602500	0.211775141940879	KIR3DX1	19	55047721
cg03604278	NA	CIDEC	3	9922234
cg03605339	0.0214307684590927	ARMC7	17	73105863
cg03605761	0.484966486052758	RNF126	19	663973
cg03606258	NA	GNAS;GNASAS	20	57426935
cg03608167	0.0185616510031762	CXCR4	2	136875637
cg03608577	0.183914850963885	OR12D3	6	29342679
cg03608974	0.0685926198427399	ZAK	2	173940268
cg03609102	0.235153155920153	MUC5B	11	1244533
cg03611555	0.0158390208906912	SLC25A21;LOC100129794	14	37641600
cg03614513	0.0317418659637644	TSPAN2	1	115632038
cg03614664	0.0157093443526431	RBX1	22	41346948
cg03616357	0.0228991546186955	MAP9	4	156297942
cg03617367	0.0127603399232838	C14orf43	14	74226931
cg03617456	0.0340767125216361	EXOSC10	1	11160205
cg03619472	0.0552995712778871	OGFOD1;NUDT21	16	56486263
cg03620376	0.0947693370827727	CDC42EP5	19	54984272
cg03621001	0.648124527493827	RAB8A	19	16221719
cg03621406	0.128044724206415	FBXL12	19	9930365
cg03622431	0.941742438624055	UOX;DNASE2B	1	84864880
cg03622689	0.0307937529040158	C21orf67;C21orf70	21	46359691
cg03623878	0.0611798496682291	MCF2L	13	113655560
cg03625911	0.454324706720971	CHI3L1	1	203155737
cg03626672	0.0723692700874234	CXCR7	2	237478664
cg03627896	0.0141156062296179	NCRNA00095	16	30934334
cg03630088	0.774315431081195	CPXM2	10	125651526
cg03630344	0.0299743409206982	VAMP3	1	7831156
cg03631076	0.0201848661701561	BANP	16	87985047
cg03633120	0.338466043874821	NDUFA7;RPS28	19	8387262
cg03634234	0.0246147641544584	MLL3	7	152132218
cg03634982	0.71856352426456	NA	NA	0
cg03634997	0.019927346082533	GAS8	16	90089283
cg03636183	0.524832560449263	F2RL3	19	17000585
cg03640148	0.023389656503234	WDR6	3	49044952
cg03640568	0.0131237797813121	DDX17	22	38902623
cg03640944	NA	ITPRIP	10	106093819
cg03641225	0.195581137672503	DIRAS3	1	68512539
cg03642357	0.026801340680714	NA	NA	0
cg03642518	0.745423138290212	PNOC	8	28175003
cg03643709	0.12621411347371	VPS18	15	41186784
cg03644378	0.0149611056932227	CYB5D1;LSMD1	17	7761459
cg03648823	0.0214484871742715	ZNF643	1	40915636
cg03649060	NA	ELOF1	19	11665451
cg03651573	NA	TRIM28	19	59055127
cg03652343	0.0193254327625025	HERC4	10	69835287
cg03657766	NA	DLX2	2	172967014
cg03658471	0.0403700413416356	SGMS1	10	52383438
cg03658707	0.765172009656996	ASIP	20	32848426
cg03660451	0.887107753177711	RECQL5;SAP30BP	17	73664606
cg03662459	0.795003746636679	IL11RA	9	34654290
cg03663215	0.0147897821367022	ADCY2	5	7396491
cg03663715	0.0437703604940007	FOXD1	5	72744904
cg03664139	0.0125742792361139	ASCC3	6	101329504
cg03664800	0.0408816525358524	LOXL2	8	23261312
cg03664992	0.117165285109192	BMP8A	1	39957393
cg03665457	0.457204361953605	HSD17B7P2	10	38645376
cg03665605	NA	ATP5J2	7	99064212
cg03665785	0.223223795546643	C22orf31	22	29458676
cg03667047	NA	KL	13	33589962
cg03667091	0.011452286112415	ACTL6A	3	179280746
cg03668539	0.620387372878488	PEX11G	19	7553324
cg03670238	0.222199674301653	WISP1	8	134202370
cg03672021	0.326201788796804	FLNA	X	153602658
cg03673470	NA	ZP4;LOC100130331	1	238055429
cg03673687	0.0153167793557949	EML1	14	100259804
cg03679305	0.233968420117333	SLC2A5	1	9129487
cg03679581	0.17856264325562	RLN2	9	5304511
cg03679734	0.0833849736381028	CKMT1B	15	43885090
cg03680758	0.0170171526592693	SLC2A4RG	20	62371416
cg03681481	0.0224614811036347	OVOL1	11	65555418
cg03682712	0.179940582075244	LOXL1	15	74219307
cg03682823	0.433061967632966	SGCE;PEG10	7	94286953
cg03684977	0.216390917411532	GRB7	17	37893803
cg03686067	0.891212529531732	CCDC102B	18	66504389
cg03688818	0.0170923848040895	APEH	3	49711147
cg03690162	0.0585167518728581	BAG3	10	121410453
cg03691812	0.0165513257181889	CORO1A	16	30194416
cg03693099	0.668182570735553	CEL	9	135936901
cg03693601	0.0119433304935265	SHCBP1	16	46655349
cg03694261	0.0158313308639651	C11orf63	11	122753977
cg03695693	0.0706638508889074	ITGB1BP3	19	3932959
cg03697316	0.00865698549628457	LZTR1	22	21336741
cg03698393	0.0214153186173884	HAPLN3	15	89438795
cg03699566	0.848278668289319	FOLR1	11	71900652
