Hybridization REF	TCGA-A2-A0CU-01A-12D-A032-05	TCGA-A2-A0CU-01A-12D-A032-05	TCGA-A2-A0CU-01A-12D-A032-05	TCGA-A2-A0CU-01A-12D-A032-05
cg01457653	0.0227867518356326	FBXL8;TRADD	16	67193218
cg01459162	0.865503358979746	PADI3	1	17574330
cg01459453	0.852575719883047	SELP	1	169599212
cg01459955	0.945526196914347	NA	NA	0
cg01460479	0.0536996199299436	NA	NA	0
cg01461641	0.0325558263264059	TMEM63A	1	226069919
cg01462829	0.291212168145929	HS3ST1	4	11430903
cg01462904	0.0155922599551813	CCDC12	3	47018296
cg01464985	0.11668382235071	ZNF512	2	27805622
cg01465325	0.0208386410626046	ERCC6	10	50747588
cg01465620	0.0210735630833794	LOC100128640;ACVR2B	3	38496096
cg01465641	0.0385770187409819	ITSN1	21	35015683
cg01466020	0.0179046980795553	DAP3;YY1AP1	1	155659194
cg01466075	0.0200461040263978	SERP1;EIF2A	3	150264366
cg01468621	0.0277822903166298	BRSK2	11	1411609
cg01468868	0.0290549360684868	LIF	22	30642653
cg01469547	0.887324131519698	OR5P3	11	7847155
cg01470283	0.0175382751274637	SCAND1	20	34542109
cg01471384	0.162730398921739	DKK2	4	107957265
cg01471713	0.684120089637292	C1orf115	1	220864279
cg01472101	0.295593037104684	CLEC10A	17	6983991
cg01473816	0.368423881910282	ELF5	11	34535281
cg01474260	0.753912925341808	CCT8L2	22	17073884
cg01476044	0.661860410325771	MGAM	7	141695293
cg01478450	0.0229620751378804	SLC29A3	10	73079349
cg01479232	0.197133869376337	C20orf54	20	748992
cg01481441	0.0180544344116301	MLEC	12	121125137
cg01481976	NA	C9orf43;POLE3	9	116174309
cg01482279	0.0362393867896133	ORMDL3	17	38083788
cg01483882	0.0126336446227037	TP53INP2	20	33292450
cg01484156	0.899995142477666	NCALD	8	102802615
cg01485645	0.134833419329119	MLLT6	17	36862199
cg01485797	0.0515601216279412	SNORA52;RPLP2	11	810820
cg01485998	0.0158422542366335	VASH2	1	213123897
cg01488147	0.941349214180424	PEG10	7	94294080
cg01489608	0.962650330362239	SLC12A4;LCAT	16	67979063
cg01490535	0.0736489299243823	FAM86C	11	71499006
cg01491225	0.0164094698507161	RNU5E;RNU5D;ZCCHC9	5	80597551
cg01491540	0.0204194397657346	EFCAB5;SSH2	17	28256424
cg01492649	0.0236183557763275	TMEM135	11	86749237
cg01493303	0.0162075950421921	GRWD1	19	48949047
cg01493517	0.746988196588333	IFFO1	12	6665447
cg01494593	0.873095062773235	ACOXL	2	111556249
cg01494864	0.0210312148056755	NA	NA	0
cg01495509	0.101924468159152	KCNIP1;KCNMB1	5	169816378
cg01497501	0.0129296807767764	ZFAND2A	7	1200135
cg01497527	0.817731492222416	ANKDD1A	15	65214165
cg01497576	0.907879182108139	SLC24A5	15	48413218
cg01498098	0.926345244337585	SACS	13	23942776
cg01500097	0.162330641760667	AKD1;FIG4	6	110011156
cg01500140	0.898144482146523	LIM2	19	51890586
cg01500421	0.0179149576107821	HARS2;HARS	5	140070872
cg01500567	0.0163322869473681	CDC5L	6	44355777
cg01505176	0.0173745834886212	VARS	6	31763310
cg01505590	0.0282244276457873	PHLDA2	11	2950632
cg01507173	0.833491607151694	IL1F5	2	113816662
cg01508386	0.0186221715442882	GORAB	1	170501078
cg01510051	0.827588073506416	ZNF542	19	56879262
cg01511567	0.0692757227642532	SSRP1	11	57103631
cg01512854	0.391169943784536	PCDHB3	5	140480967
cg01513611	0.0276160706366865	VMAC;NDUFA11	19	5904233
cg01513661	0.070826265263648	SAPS2	22	50781987
cg01514487	0.679976408390776	MYO1A	12	57444047
cg01515426	0.0124547108880471	ANAPC11;THOC4	17	79850075
cg01515887	0.769224815724871	NA	NA	0
cg01517033	0.904102372806953	WFDC3;DNTTIP1	20	44421751
cg01517728	0.0487610775764496	NA	NA	0
cg01519742	0.0188029683263766	JAKMIP1	4	6202091
cg01520924	0.0908382631093523	HSPA2	14	65006170
cg01521624	0.701609264837392	NA	NA	0
cg01522194	0.026178256180238	NA	NA	0
cg01522721	0.0153438302239162	MIR1181;CDC37	19	10514734
cg01522975	0.0175260781882586	VPS45	1	150039920
cg01525376	0.615531986902467	LCK	1	32716212
cg01526089	0.825354555716342	P2RX1	17	3819390
cg01527212	0.0130992297302504	NA	NA	0
cg01528948	0.0836588456922463	NA	NA	0
cg01530101	0.758277418591223	KCNQ1DN	11	2891098
cg01531431	0.854414264812635	PPDPF	20	62150863
cg01532080	0.020698888944957	SSBP4	19	18529846
cg01532103	NA	BSG	19	571107
cg01532771	NA	CLEC4M	19	7827560
cg01533387	0.0176864425380569	IFI30	19	18284728
cg01535453	0.0192826892234245	ACADS	12	121163887
cg01536400	NA	NDUFA8;MORN5	9	124923283
cg01536980	0.0606086832442525	EEF1A1	6	74231252
cg01538982	0.0180613647445487	CCDC51;CCDC72	3	48481510
cg01539186	0.0452099891873772	GZF1	20	23343673
cg01541443	0.950096889933774	C7orf41	7	30185315
cg01541629	0.0195566564779499	NSUN2;SRD5A1	5	6633111
cg01543654	0.0947210990687468	C17orf93;PRAC	17	46800639
cg01545079	0.812297380048298	CPNE6	14	24541377
cg01545242	0.0219196365205573	ASF1B	19	14248090
cg01546046	0.255095038654547	AP4S1;STRN3	14	31494849
cg01546430	0.0953450781149962	ITK	5	156607836
cg01546563	0.667112427813396	GATA4	8	11567189
cg01549015	0.862854771293346	NA	NA	0
cg01550148	0.785512672600418	H2AFY	5	134735544
cg01555431	0.0822705054408404	AKAP12	6	151562026
cg01556075	0.20337295100313	C19orf59	19	7741454
cg01557297	0.0129105429077415	SLC22A17	14	23822017
cg01557667	0.0143995385315816		22	43411403
cg01557989	0.242190996158575	SLC24A3	20	19192675
cg01558777	0.680870997712718	C10orf99	10	85933798
cg01560871	0.927011860314023	C10orf27	10	72545424
cg01561916	0.584957582986355	HAAO	2	43020169
cg01564343	0.542700286281486	TREML1	6	41121920
cg01565918	0.966957165068028	GNAS	20	57457492
cg01566170	NA	CAPN2	1	223899746
cg01566404	0.798869534793321	ETNK2	1	204121925
cg01567482	0.844644549462419	RGS14	5	176784318
cg01568335	0.0303701929945205	COX5B	2	98262245
cg01568736	0.74434735477329	SERPINB7	18	61441730
cg01570086	NA	ARID3B	15	74833080
cg01570769	0.0149015183621501	PNRC1	6	89790920
cg01570885	0.724680223096896	FAM50B	6	3849272
cg01572266	0.0293634323739463	NA	NA	0
cg01573562	0.237794760766688	RPH3A	12	113229319
cg01578324	NA	CLIC1	6	31704774
cg01578341	0.0210516684054559	MEX3B	15	82338527
cg01579216	0.925020131490271	NCF2	1	183560913
cg01580044	0.134550515085255	PHTF1	1	114300656
cg01580568	0.952419748564119	LAMB3	1	209825856
cg01580681	0.705550641687414	HAND2	4	174450016
cg01580888	0.0299161603239292	RHPN2	19	33556060
cg01581111	NA	RBM18;MRRF	9	125028327
cg01584473	0.840831544611263	MUC17	7	100663367
cg01585703	0.0239939052645252	FSIP1	15	40074646
cg01585758	0.108226627824755	SUMO1	2	203102753
cg01587454	0.408845526910539	DCAF4L2	8	88886051
cg01589580	0.251581165001945	CTDP1	18	77440800
cg01592593	0.698664604928155	NA	NA	0
cg01593190	0.052291161594779	ADAMTS2	5	178772793
cg01593385	0.235151528679314	FGG	4	155534149
cg01593886	0.190081577196194	COL1A1	17	48278778
cg01594214	0.205250638029234	SMPDL3A	6	123110554
cg01594262	0.0614263358362051	YIF1B	19	38806145
cg01594915	0.0345558282094138	HNRNPA3	2	178078193
cg01598046	0.0197723582628471	TRAIP	3	49894152
cg01598642	0.891965292568084	HBG1	11	5272039
cg01599709	0.143240126024815	HBEGF	5	139725677
cg01600189	0.227219905635208		9	66553962
cg01600782	0.0197987666654737	CALM2	2	47404009
cg01601573	0.360818032419236	GAB1	4	144256835
cg01602416	NA	GCSH;LOC100329108	16	81130346
cg01602430	0.02351043895293	WDR36	5	110427919
cg01602596	0.764312357464177	NA	NA	0
cg01603095	0.109585778906499	SLC2A13	12	40500139
cg01605517	NA	AHCTF1	1	247081873
cg01605783	NA	LOC284837	21	45232587
cg01605984	0.416440437825455	SNORD24;SNORD36B;MED22;RPL7A;SNORD36A	9	136216154
cg01606998	0.087234791414523	PANX2	22	50608598
cg01607495	0.858192940063586	NA	NA	0
cg01610240	0.0550417315278629	NA	NA	0
cg01610488	0.49104666400627	TRPA1	8	72987870
cg01611640	0.0244377769869606	ZBED5	11	10879105
cg01612158	0.119722468904231	FCRL4	1	157567720
cg01614759	NA	C10orf25;ZNF22	10	45495435
cg01615080	0.0490062668602876	ACYP2	2	54342584
cg01615704	0.112629078451018	MALL	2	110873396
cg01617750	NA	CMTM8	3	32279261
cg01618083	0.0146962931283319	CRY2	11	45868993
cg01618304	0.0388420076814952	C11orf54;TAF1D	11	93474888
cg01618660	NA	TRIM14	9	100882376
cg01618851	0.502395767594831	CD209	19	7812265
cg01620308	0.0275450887596355	PRNP	20	4666848
cg01620569	0.0281541401850727	AK2	1	33502810
cg01620785	0.0643528078802359	SLC5A6;C2orf28	2	27436111
cg01623187	0.395151121973153	GTSF1L	20	42356139
cg01623438	0.832468324638098	CTSZ	20	57582894
cg01625242	0.401493178332621	GRP	18	56886915
cg01626197	0.0209093730977306	GMPPB	3	49761040
cg01626227	0.0305956999969117	TRIM4	7	99517289
cg01628253	0.0164405213061476	HAX1	1	154244960
cg01628803	0.410430389428562	NA	NA	0
cg01630869	0.0152598729262681	CDC42EP2	11	65082120
cg01632517	NA	SSX8	X	52652796
cg01632825	0.0203048203206791	CLTCL1	22	19278672
cg01634119	0.0200246984637062	GMPS	3	155588010
cg01635061	0.0343300904767138	COL11A2	6	33160234
cg01636591	0.330398520039297	CCL8	17	32646156
cg01637734	0.186306929575068	CD5L	1	157811303
cg01638025	NA	DOCK5	8	25041768
cg01638735	0.023114178831787	CDK6	7	92462981
cg01639034	0.0179214323921605	NA	NA	0
cg01639256	0.891426813783866	ASPRV1	2	70189903
cg01643284	0.0126797917657619	APPL2	12	105629755
cg01643580	0.199799590962741	KCNK3	2	26916399
cg01643624	0.593001966497157	C11orf16	11	8954893
cg01644850	0.0198553748763973	ZNF551	19	58193231
cg01646665	0.0790946740720208	TMEM79;SMG5	1	156251436
cg01651364	0.0267377151994451	CCDC82;JRKL	11	96122651
cg01651593	0.0217170062957535	CDC20	1	43824241
cg01651821	0.0209559985711292	MRPL30;MITD1	2	99797358
cg01653110	0.0346934990505932	VAMP4	1	171711841
cg01653445	0.0189465953755311	BAI2	1	32230235
cg01654582	0.517171939747976	AADAT	4	171011577
cg01655123	0.0110089185294731	PHLDB3	19	44008476
cg01655341	0.0490595619299932	BCKDHA;EXOSC5	19	41903697
cg01655355	0.048226158747328	SLC5A5	19	17982748
cg01656216	0.732860727627296	ZNF438	10	31273710
cg01656470	0.766247953974783	PEG3;ZIM2	19	57350096
cg01656750	0.800378855903959	KATNB1	16	57771195
cg01656853	0.32093597265135	FUT2	19	49199172
cg01656955	0.16844243951075	NT5C1A	1	40137966
cg01657207	0.0558811100545249	ZNF35	3	44690019
cg01657380	0.901235120151085	NPFF	12	53901523
cg01657408	0.114714601803516	RNF145	5	158634989
cg01657694	0.0180619824286503	KLHL22	22	20849950
cg01658815	NA	ABLIM1	10	116444040
cg01661993	0.080253173962004	NA	NA	0
cg01662650	0.767108912557893	YY2;MBTPS2	X	21874323
cg01663295	0.133474436114953	PACS1	11	65837194
cg01663469	0.0344539289748477	C3orf15	3	119421667
cg01663570	0.0183794314532779	DVL3	3	183873429
cg01663968	0.0277541712489484	CTSZ	20	57582006
cg01664666	0.114903425994085	PLD5	1	242687465
cg01665633	0.0225902190448786	NDNL2;FAM189A1	15	29562142
cg01667384	0.00996433851588326	FLT3LG	19	49977266
cg01667702	0.0705954150796346	TRAPPC1;CNTROB	17	7836604
cg01668126	0.73265041454915	NA	NA	0
cg01668383	0.768678449546247	CSNK1A1L	13	37679573
cg01668465	0.0952787957247975	NA	NA	0
cg01669948	0.654618912784431	KCNK16	6	39290877
cg01671575	0.934283336406905	PGBD5	1	230513566
cg01671881	0.766497572631759	C20orf71	20	31804901
cg01673583	0.986687534834338	NA	NA	0
cg01675895	NA	AFM	4	74346670
cg01677098	0.0115653008665621	TCEA1	8	54935025
cg01677177	0.0493022030359524	ZBTB26	9	125693677
cg01678091	0.502706493758262	MAGEL2	15	23890686
cg01678321	0.860962421848527	SLC36A3	5	150683530
cg01678893	0.0159096861487912	CALR	19	13049949
cg01679262	0.33229370137322	IPO5	13	98606196
cg01680762	0.303600434251482	NA	NA	0
cg01680823	0.787730500668423	TCAP	17	37822045
cg01683883	0.691923737072295	CMTM2	16	66613053
cg01684579	0.242464532729592	NOP16	5	175816834
cg01684901	0.936458794581774	FAM131A	3	184058405
cg01685739	0.0223560010218209	SLC4A2	7	150756773
cg01687051	0.0187180189918304	LUC7L	16	278852
cg01687711	0.0249845615132993	CBARA1	10	74386160
cg01692572	0.024917894841258	PUF60	8	144910787
cg01692815	0.0170186491238057	AP3B1	5	77591420
cg01693108	0.0235943807293445	SRPK1	6	35888298
cg01693157	0.0132824329388383	TUBA4B;TUBA4A	2	220118273
cg01693350	0.683564304374148	WT1	11	32452187
cg01697732	0.0220770040883132	FAM20A	17	66597500
cg01697865	NA	IL10RA	11	117856007
cg01699584	0.311351129846216	KCTD8	4	44450999
cg01703884	0.83355394866906	MYO1H	12	109878174
cg01704534	0.146120168702292	RBM47	4	40518024
cg01705458	0.0264263466762308	CCDC34	11	27384997
cg01705587	0.0146665333350051	SV2A	1	149889364
cg01708236	0.0376530537286162	NFKBIE	6	44233446
cg01708964	0.96420998270298	MYL7	7	44181791
cg01712016	0.0150170367805826	HDAC11	3	13521531
cg01713938	NA	IFNA13	9	21368292
cg01714513	0.960054941714724	NA	NA	0
cg01714932	0.914224672600153	PZP	12	9360854
cg01716061	0.0492979598033628	NA	NA	0
cg01716083	0.0248444507096367	NCRNA00171;ZNRD1	6	30029143
cg01717150	0.0258058132830316	KCNK9	8	140716495
cg01717706	0.034995892451526	SOCS1	16	11349308
cg01718139	0.617504390158996	VSTM1	19	54566838
cg01718365	NA	KDM1A	1	23345643
cg01718602	0.426888863229295	DACH2	X	85403899
cg01720228	0.596071848073539	SMTNL2	17	4486934
cg01720520	NA	LILRB1	19	55127892
cg01722450	0.924317312495249	C18orf20	18	61816636
cg01722994	0.0205287367970997	GRIN2A	16	10277317
cg01723464	0.0152010117280634	MRFAP1	4	6642120
cg01723747	0.0461733024561448	HN1L	16	1727942
cg01724150	0.587064983329364	NMNAT3	3	139397363
cg01725199	0.0233135667673272	GALNT12	9	101569990
cg01726767	0.853687477723253	LALBA	12	48965123
cg01726775	0.172182752957674	LOC283314;C1RL	12	7261710
cg01727899	0.556473989817695	SPATA17;GPATCH2	1	217805875
cg01729862	0.0202207573410521	EME2;MRPS34	16	1824041
cg01731341	0.468106564838235	FGF6	12	4554295
cg01731685	0.037036809283847	IL17RA	22	17565455
cg01732037	NA	TBX19	1	168250218
cg01733599	0.956241315971472	LIPC	15	58723851
cg01733783	0.0186044748109144	HSPA5	9	128003852
cg01734338	NA	KCNQ1	11	2491231
cg01735903	0.120458414010699	NA	NA	0
cg01737507	0.0219777230029018	PPIC	5	122372093
cg01737532	0.436212649772522	FRG1	4	190862170
cg01738359	0.0242486066377359	RB1	13	48878639
cg01738944	0.0159976172958207	SLC35E2	1	1677273
cg01739167	0.687987042075021	CHRNE	17	4806344
cg01739965	0.0236350313393276	VPS54	2	64246297
cg01743008	0.564035922490866	NA	NA	0
cg01743370	0.0171747417270179	GCA	2	163200975
cg01745448	0.026299438663112	SCAMP3	1	155232379
cg01745510	0.0379056125880138	CDKN1B	12	12870119
cg01745657	0.127103407979835	PLCXD2	3	111393169
cg01746088	0.013555711259866	SFRS7	2	38978194
cg01747191	0.936614658674246	C6orf182	6	109449950
cg01747665	0.702894078284646	IGFALS	16	1843424
cg01753375	0.322328404733226	DCTN1	2	74607600
cg01753595	0.022903648674169	COL5A1	9	137533141
cg01753906	0.578651957588467	NA	NA	0
cg01755369	0.0132255917791611	ILF3;LOC147727	19	10764728
cg01756060	0.0096817461022055	CDK6	7	92463390
cg01757745	0.316939701658868	C10orf93	10	134755601
cg01758870	0.587209204972866	C7orf46	7	23719630
cg01761409	0.336541965826883	RAB38	11	87908192
cg01762581	0.706927148966196	DKK4	8	42234614
cg01765461	0.0157102492269736	TNFRSF11A	18	59992984
cg01765473	0.0122242382193028	ATAD1;CFLP1	10	89578168
cg01765641	NA	TBC1D5	3	17781888
cg01767116	0.665494360701154	FBXL22	15	63889093
cg01769037	0.0615205029253308	JARID2	6	15246613
cg01770232	0.564045173722021	IL6	7	22766155
cg01770400	0.940115483454427	SERPINC1	1	173886485
cg01772980	0.387763728885359	SCGB1D1	11	61957695
cg01773061	0.0250440833591334	LSM10	1	36863007
cg01773854	0.0609700564295776	IGFBP6	12	53491219
cg01774645	NA	ARHGAP30	1	161040044
cg01775265	NA	BASE	20	31780882
cg01775414	0.0230040840674948	PHF21B	22	45405404
cg01776246	0.0372135499324028	COIL	17	55038508
cg01776396	NA	FANCB;MOSPD2	X	14892638
cg01777397	0.58728211277835	CLIP4	2	29337946
cg01780107	0.0281130430196192	DSCC1	8	120867626
cg01780482	0.0164771140776288	EPAS1	2	46524612
cg01781266	0.0341235183994807	NA	NA	0
cg01782320	0.0278100614956743	YME1L1;MASTL	10	27443404
cg01782486	0.744335492327023	ZBTB7B	1	154986512
cg01782487	0.0259324456156027	CCDC23;ERMAP	1	43283185
cg01783386	0.0464185891975077	RFT1	3	53164389
cg01784199	NA	DNAJB4	1	78470506
cg01785060	0.0275879798734391	ZDHHC21	9	14693082
cg01785339	0.0281308682800932	CNIH4	1	224544456
cg01785568	0.383659573120985	MSX1	4	4864833
cg01787047	0.0168213521102066	LOC100130987;RAD9A	11	67159079
cg01788438	0.0162700303469232	HNRNPR	1	23670892
cg01789267	0.926407299657831	SLC28A2	15	45545111
cg01791232	0.410768490189892	KREMEN1	22	29469490
cg01794265	0.0244107107751961	FAM105A	5	14582549
cg01794711	0.0231200747319721	CNDP2	18	72163198
cg01795122	0.042400651851906	EMP3	19	48828859
cg01795161	0.279400611255377	NA	NA	0
cg01795697	0.0221336237554341	CCDC45;DDX5	17	62503001
cg01796223	0.629392864061286	CPA4	7	129933014
cg01796228	0.894630275464251	LIFR	5	38596220
cg01797043	0.570620388938905	RPL3L	16	2004686
cg01797527	0.235533286782298	BMP2	20	6749480
cg01798443	0.0328999881798131	RPSA	3	39447891
cg01798589	NA	STAC	3	36421572
cg01800843	0.05721475108015	ATM;NPAT	11	108092707
cg01801174	0.0160905042786616	UFC1	1	161123761
cg01802635	0.0362083960358951	MUTED	6	8064800
cg01802653	0.0214438726375704	HERC3	4	89513149
cg01803059	0.0599549554120492	SMAD1	4	146402404
cg01803238	0.0369849776842439	BCL2	18	60986026
cg01803810	0.0139309081579223	CASKIN2;TSEN54	17	73512319
cg01804429	0.211049716184104	YTHDC1	4	69216077
cg01804844	0.886911425449912	TSHZ1	18	72996319
cg01805282	0.387660117523886	EYA4	6	133563764
cg01805540	0.0221619089638442	CACNB2	10	18429749
cg01805784	0.0221872117312917	PRR7	5	176873808
cg01806808	0.0104056228101314	PTK2	8	142011144
cg01806928	NA	SYT9	11	7272804
cg01808090	0.0198545052297036	NUBP1	16	10837891
cg01808130	0.0867612942521382	SLC35B3	6	8435206
cg01808508	NA	PSMD6	3	64009536
cg01808706	NA	ITPKA	15	41786623
cg01809579	0.0205897699292647	HNRNPK;RMI1	9	86595452
cg01813334	0.0375805501573853	EIF3B	7	2394150
cg01813965	0.687681776627617	CCDC135	16	57729104
cg01816336	0.0106827206700088	MINPP1	10	89265204
cg01817029	0.120131772011319	LOC283392;TRHDE	12	72665510
cg01817393	0.166360104242529	GNAS	20	57427642
cg01818492	0.0288908365808259	ENPP1	6	132129363
cg01819572	0.0404675860570838		3	57204530
cg01819863	0.0116247871765035	EPC1	10	32635814
cg01820374	0.73429836154131	LAG3	12	6882083
cg01820777	0.140326104886169	MICALL2	7	1499734
cg01824804	0.0645400433457656	LOX	5	121413478
cg01827098	0.893937988604493	GIMAP7	7	150211152
cg01830294	0.389819710284122	WNT2	7	116963492
cg01833398	0.0119240913047568	TARBP2;MAP3K12	12	53894760
cg01835489	0.289762864183313	KRT8	12	53299310
cg01836044	0.0222467175728882	PCDH20	13	61989203
cg01837574	0.208321672634554	TRAPPC1;CNTROB	17	7836610
cg01837689	0.0238276608236493	NA	NA	0
cg01837719	0.033936048165038	FUT9	6	96463185
cg01838317	0.0313841181794617	GCH1	14	55369861
cg01839464	0.215461189948091	DCC	18	49868477
cg01840268	0.0806525765975528	BTN3A1	6	26402776
cg01843018	0.898386014222744	C5	9	123813144
cg01846065	0.0190958035420875	STAM2	2	153032369
cg01848594	0.0790755813998549	CENPN;C16orf61	16	81041324
cg01849789	0.0407902508063263	ZC3H7B	22	41697279
cg01851208	0.0192030813073579	C10orf58	10	82168043
cg01851385	0.131585679301808	CLCN4	X	10125135
cg01851399	0.0221211629032282	PKP2	12	33050217
cg01852131	0.0218242964925581	MRPS18B;PPP1R10	6	30585154
cg01852328	NA	DAGLB	7	6487989
cg01853981	0.953603299780983	KRT71	12	52946482
cg01856970	0.0132748035853074	IL15	4	142557562
cg01856985	0.0141430275222557	ZNF384	12	6798404
cg01857260	0.487922007257367	C19orf41	19	50666552
cg01858173	0.0234255102903313	EML3;ROM1	11	62380679
cg01860753	0.182419228085075	RASSF5	1	206730586
cg01861509	0.914406095823765	SPOCK2	10	73849626
cg01862366	0.0242293075917899	TMEM20	10	95654158
cg01866162	0.0166128322825134	CTCF	16	67596514
cg01866521	0.0276627661891815	EHD1	11	64646436
cg01868128	NA	LCE5A	1	152483675
cg01868559	0.0175574851913141	STRAP	12	16034962
cg01868782	0.0265538446823681	HEY2	6	126071099
cg01869233	0.271834968351384	LRRN4	20	6035139
cg01870826	0.040707432407779	LOC389458	7	5111875
cg01871963	NA	LCN2	9	130910995
cg01871995	NA	FGL1	8	17754363
cg01872771	0.979973084574502	BEND2	X	18238981
cg01873645	0.0179248430115414	FAM108B1;C9orf85	9	74526649
cg01875775	0.0416954575363404	HSCB;CHEK2	22	29138271
cg01876612	0.0241156493767781	ZDHHC7	16	85045424
cg01879488	0.0277514918627086	CD44	11	35160498
cg01880404	0.0238327955178557	XRCC1	19	44079527
cg01880569	0.611052042066851	CDH13	16	82660328
cg01881255	0.00855292505347848	SERTAD3	19	40950703
cg01882150	0.0278371255708584	MACROD1	11	63933998
cg01882179	0.0189520758203984	SOCS2	12	93964653
cg01883521	0.0185166432867935	HIPK1	1	114471974
cg01883966	0.838479820684836	STK19;DOM3Z	6	31938886
cg01885202	0.466702894535724	CDKL5	X	18443457
cg01885635	0.0287891656687874	ZNF621	3	40566085
cg01887353	0.325597294638528	ZNF41	X	47342480
cg01888166	NA	PUM2	2	20527635
cg01888411	0.0734617559662521	ABTB2	11	34378293
cg01888566	0.341154255005958	MEST	7	130126513
cg01888601	0.102083962358624	AGBL2	11	47736182
cg01889448	0.847954098345856	HLA-DQB1	6	32635871
cg01892528	0.0236950850556169	TTLL1	22	43485485
cg01892689	0.358378053519604	PGCP	8	97657072
cg01892727	0.063656629149174	CRBN	3	3221728
cg01894895	0.884271815351832	ANXA1	9	75766294
cg01895214	0.530500465519957	NA	NA	0
cg01897036	NA	SCTR	2	120282327
cg01899253	0.763425891069913	FLT1	13	29070056
cg01900048	NA	SFT2D3	2	128458732
cg01900364	NA	CNN1	19	11649194
cg01902747	0.0545247365083274	CCDC7	10	32734661
cg01906055	0.763065077966744	NCAPH	2	97000811
cg01906717	0.69695730432181	NA	NA	0
cg01907837	NA	RNF8	6	37321337
cg01909245	0.945154466312984	LSP1	11	1873757
cg01909378	0.341880422120806	ZNF645	X	22291430
cg01909487	0.0169990843197916	JUN	1	59249911
cg01909833	0.0316464783544333	BRD2	6	32937267
cg01909921	0.0397285307877782	GFI1B	9	135854246
cg01910452	0.632618276527539	BCAP31;ABCD1	X	152989424
cg01910481	0.848503659796733	PLUNC	20	31824068
cg01911082	NA	CSMD3	8	114449272
cg01913908	0.781908912270846	NA	NA	0
cg01914242	0.0215879411060722	ATP2A3	17	3868068
cg01917648	0.724460820903701	SPIC	12	101871337
cg01918706	0.0146074586615679	UBE2T	1	202310841
cg01918888	0.0244407114817347	RLF	1	40627050
cg01919208	0.171941471752347	LAMB2	3	49170496
cg01919488	0.0484280612344156	ZNF638	2	71558589
cg01920232	0.214954620807095	RFX4	12	106976668
cg01920829	0.289918814392055	CDK5R2	2	219824761
cg01924619	0.0116782226837315	B4GALT5	20	48330560
cg01924993	0.0287465352923601	H2AFX	11	118966382
cg01926595	0.109737191770967	PFN1	17	4851808
cg01928902	0.0268348576543225	ZFP36L1	14	69259640
cg01929065	0.0102037342721167	CD63	12	56122634
cg01929105	0.0467800960370867	NMNAT1;LZIC	1	10003572
cg01930621	0.0267800796105976	ZNF649	19	52408350
cg01931893	0.0500643556289479	TK2	16	66584178
cg01932215	0.0182598035715033	AMMECR1L	2	128643031
cg01932459	0.0119051666565622	CD164	6	109703513
cg01934790	0.0415636509541158	FBXL16	16	756400
cg01934797	0.939151566041879	GLIS2	16	4381661
cg01936124	0.0148595665985716	ETF1	5	137878512
cg01936270	0.018072425960751	CYP1B1	2	38303680
cg01936555	NA	SLC17A2	6	25931205
cg01938354	0.0128786439564558	KLHL28;FAM179B	14	45431411
cg01939428	NA	UBE3C	7	156931170
cg01939443	NA	RGSL1	1	182456796
cg01939479	0.0160006510337023	MTMR15	15	31195982
cg01939597	0.0151060170384723	ETV6	12	11803199
cg01939681	0.0613570450109804	GABRB2	5	160975024
cg01940867	0.0191226772513314	TMEM8A;LOC100134368	16	431543
cg01940974	0.0210772741476577	NA	NA	0
cg01941619	0.827766165127697	MEP1B	18	29770081
cg01942127	0.0261581259000385	CACNA1D	3	53529259
cg01943185	0.0609951456885622	NMU	4	56502116
cg01944444	0.0194384996396744	TUBB	6	30688681
cg01945391	0.0146709081477701	RPL37	5	40835298
cg01946401	0.785701998222378	SUPT3H;RUNX2	6	45296101
cg01946574	0.0567879480149698	PTPRM	18	7568186
cg01947224	0.0253899908489323	ZNF416	19	58089885
cg01951308	0.018098396331415	KIF3B	20	30865502
cg01952458	0.0180180926135446	ATP6V1B2	8	20054547
cg01954353	0.0231265553401439	RILPL2	12	123920983
cg01956781	0.00827833972772465	FAM120B	6	170615920
cg01957330	0.014411355033221	SKAP2	7	26904470
cg01958189	0.534923513956087	DEFB125	20	68396
cg01958916	0.015083572205006	SEMA6C	1	151119525
cg01959004	0.0277605070527229	HYOU1	11	118928411
cg01959848	0.0179799243643913	TMX2;MED19	11	57480394
cg01961936	NA	NXF3	X	102349348
cg01962086	0.128598844185302	TNK2	3	195637027
cg01962826	NA	GRM4	6	34100967
cg01962969	0.019708729830954	CBR1	21	37442104
cg01963696	NA	ELANE	19	851650
cg01965939	0.66021853388639	SH3TC2	5	148442694
cg01966105	NA	C16orf79	16	2261237
cg01966465	0.0219918066479122	RUNDC3B;ABCB1	7	87257416
cg01968178	0.0473906688523577	REEP1	2	86565038
cg01968530	0.0375290282390659	C18orf45	18	21017974
cg01968793	0.503833000748319	CNNM1	10	101088930
cg01969748	0.0113183228873444	GPSM2	1	109420034
cg01970325	NA	NELF	9	140354241
cg01971122	0.0609423031095058	CALCA	11	14993929
cg01975392	0.477628649052411	NA	NA	0
cg01979004	NA	C16orf42;GNPTG	16	1401195
cg01980222	0.529640828496524	TREM2	6	41130917
cg01980637	0.0295854949320602	NA	NA	0
cg01982455	0.0277452250393866	RPS14	5	149829250
cg01982597	NA	ERCC6;PGBD3	10	50733420
