Hybridization REF	TCGA-E2-A14W-01A-11D-A12E-05	TCGA-E2-A14W-01A-11D-A12E-05	TCGA-E2-A14W-01A-11D-A12E-05	TCGA-E2-A14W-01A-11D-A12E-05
cg02092706	0.0120247380455786	NA	NA	0
cg02094237	0.0404493936824528	HIST4H4	12	14924136
cg02096520	0.82689318284991	FGF16	X	76709500
cg02096633	0.0202928633498762	UNC13B	9	35162499
cg02096656	0.144948303527235	C7orf55	7	139025181
cg02097420	0.750182088892489	HRG	3	186383874
cg02097636	0.0089920841877363	PAFAH1B3;PRR19	19	42806344
cg02099418	0.197829393160054	CD28	2	204571146
cg02100629	0.0194619505250714	AIFM2	10	71892760
cg02100828	0.0084140572528059	PSME4	2	54198338
cg02100848	0.35884699588072	C3orf32	3	8693859
cg02101486	0.0662515193515378	DLX5	7	96652245
cg02102644	0.0155824871765103	SYNRG	17	35969361
cg02103294	0.0221658279621057	SDCBP	8	59465971
cg02104644	0.0224515796798703	SYT7	11	61347820
cg02105034	0.0145952849211997	SMG7	1	183441865
cg02105377	0.0298557884697519	MAGI1	3	66024554
cg02105856	0.245974957091281	PIGR	1	207119784
cg02110963	NA	C6orf218	6	10434975
cg02111587	0.4410669569801	TACR1	2	75426512
cg02113971	0.030386672055258	METT11D1	14	21457816
cg02114786	0.0162187410305731	PTTG1IP	21	46293672
cg02115041	0.433998713068254	NPBWR1	8	53852101
cg02117021	NA	OR2H1	6	29425960
cg02119229	0.015198855583586	BCO2	11	112046248
cg02119982	0.876138768037699	NOD2	16	50731412
cg02121427	0.196157312280435	LRRC15	3	194091192
cg02121943	NA	TBX3	12	115121489
cg02123547	0.0489389024142874	PIM1	6	37137464
cg02124291	0.243665363880117	OR7A5	19	14939260
cg02125271	0.34310997790225	SNRPN;SNURF	15	25200406
cg02126424	0.924353857140415	CTRL	16	67965099
cg02126638	0.0196561184259216	HAUS2;LRRC57	15	42840787
cg02126753	0.295159020277132	AEBP1	7	44143998
cg02128567	0.398729769022543	KCNK5	6	39196998
cg02130905	0.33206478343349	STMN4	8	27116213
cg02131399	0.0326206936433208	LRP1	12	57521155
cg02131853	0.125279250203173	TMEM156	4	39034637
cg02131967	0.00893594606292441	ACE	17	61554106
cg02131995	0.663915258071458	HAMP	19	35772917
cg02132188	0.0284778709616768	HMGN5	X	80377408
cg02136132	0.186044687226698	KCNK13	14	90527891
cg02141570	0.450148737997291	LOC348840	3	197808633
cg02141675	NA	GALNT10	5	153569408
cg02142461	NA	ZNF509;LYAR	4	4293079
cg02144298	0.00876707141938727	CEBPA;LOC80054	19	33792681
cg02144933	0.00908910389234189	AOX1	2	201450690
cg02147791	0.0912529036247253	SAP18	13	21714429
cg02148642	0.141427499936619	NA	NA	0
cg02148711	0.0472498010917283	ATRX	X	77041559
cg02148834	0.91426842681969	NA	NA	0
cg02149446	0.155966920432435	C5AR1	19	47812519
cg02150709	0.0143195601251748	PPIH	1	43123922
cg02150910	0.378009184305739	GZMH	14	25079357
cg02151301	NA	HM13	20	30101785
cg02153528	0.0547381245189795	OBFC2B	12	56618648
cg02153871	0.0201932030369293	HARS2;HARS	5	140070879
cg02154074	NA	HTRA2;AUP1	2	74756234
cg02154186	0.0429355187263179	PNMA2	8	26371353
cg02154956	0.0088730016636826	PCCA	13	100741410
cg02157083	0.831731758383506	APOA5	11	116662800
cg02157306	0.0270424183579629	ELMOD2	4	141445059
cg02159896	0.0116195795015952	MPPE1	18	11908181
cg02160826	0.0138191109725612	MRPS16	10	75012589
cg02161046	0.0387046072659911	HIAT1	1	100503743
cg02161900	0.562913080026364	MKX	10	28035631
cg02162069	0.556657231396847	ZIM2;PEG3;MIMT1	19	57352134
cg02162412	0.0120846750394759	HMGCR	5	74632926
cg02162950	0.0160025353983019	DIS3;PIBF1	13	73355953
cg02163937	0.0278326458785476	FAM53B	10	126432368
cg02164046	0.708363116830184	SST	3	187388148
cg02164386	0.504255875203872	HIGD1B	17	42925536
cg02164442	0.312170100790304	ITGAD	16	31405101
cg02165720	0.0166959626279636	NDUFB11;RBM10	X	47004051
cg02166313	NA	PAPOLA	14	96968050
cg02166532	0.257199600442976	INS-IGF2;IGF2	11	2159853
cg02168291	NA	CDH13	16	82671520
cg02169098	0.0223720428913274	PPPDE2;XRCC6	22	42017294
cg02169430	0.0433475354073117	NA	NA	0
cg02169446	0.0115736089734577	MYO9A;SENP8	15	72410194
cg02170525	0.466424504106701	CD8A	2	87018382
cg02171008	0.00995290362625393	RPL27A	11	8703884
cg02171545	0.34012001709452	SNRPN	15	25093366
cg02173484	0.466776055275977	GJA5	1	147245168
cg02175035	0.00973946786870241	RAB40B	17	80656466
cg02175308	0.0441006404337666	SORT1	1	109941060
cg02178774	NA	LOC729991;RFXANK;LOC729991-MEF2B	19	19302803
cg02178898	0.0503895923936544	MTRF1	13	41837525
cg02181494	0.0133624157593375	ARSA	22	51066755
cg02181506	0.300969533249072	SERPINA1	14	94856984
cg02182354	NA	NEUROG2	4	113437522
cg02184413	0.53173630356435	VNN1	6	133035235
cg02186298	0.065281853326371	DPF2	11	65101602
cg02186948	NA	COMMD9	11	36310854
cg02186966	0.0210518150187931	BET1	7	93633904
cg02187357	NA	TBC1D22B;TMEM217	6	37224216
cg02187914	0.0125359671921783	NA	NA	0
cg02189785	0.046319365172375	CLIC3	9	139891008
cg02192520	0.712219232143796	RDH5	12	56114155
cg02192855	0.0362547942510826	HIST1H2BI	6	26273199
cg02192965	0.625203571013129	SLC3A1	2	44502740
cg02194211	0.832311771362666	FAM3D	3	58652346
cg02194878	0.0240688935912073	NA	NA	0
cg02196655	0.194004634649656	NOL10	2	10830764
cg02196730	0.116334372652925	MTHFS	15	80188777
cg02196805	0.695224775673815	CSF2	5	131409637
cg02197293	0.0544608957391113	FBXO27	19	39523158
cg02198044	0.0220383703633135	NEDD4	15	56286336
cg02198582	0.923018334219179	TSC2	16	2099376
cg02200132	0.0226893833296303	EIF4A2;SNORD2	3	186501254
cg02200584	0.0263257310001028	PDGFC	4	157892546
cg02201963	0.0117187261231813	PSMG2;CEP76	18	12702795
cg02202484	NA	SPRR4	1	152942688
cg02204046	0.111646058040949	MYCN;MYCNOS	2	16080760
cg02205739	0.0208912275855749	PRRX2	9	132427570
cg02205962	0.011217292221778	BCAP31;ABCD1	X	152989807
cg02206259	0.0368208399210297	C1orf198	1	231003485
cg02207610	0.0347169957907395	PPP1R12C	19	55628570
cg02210123	0.0527576232889402	RHOJ	14	63670835
cg02210887	0.367212014195941	GUCY1A3	4	156586680
cg02212280	0.925756149774819	MMP1	11	102670192
cg02212737	0.0175254356049718	EXOC7	17	74099749
cg02212836	0.484954092324675	LY86;LOC285780	6	6589075
cg02213716	0.00951850700501549	UBAC2	13	99853497
cg02214188	0.509170882329325	BDH2	4	104020949
cg02215538	0.0415991837081185	ANKHD1;ANKHD1-EIF4EBP3	5	139782041
cg02216250	0.0161402767237083	OCLN	5	68788173
cg02217159	0.0445610119338204	KHDRBS2	6	62996697
cg02217814	0.0476450866170398	FAM125A	19	17530319
cg02218214	0.827369664743092	DOCK7;ANGPTL3	1	63062489
cg02218260	0.8935505678232	GRM2	3	51742878
cg02218324	0.854339957750484	RSPH6A	19	46318439
cg02222362	0.45446392708236	PTPN20B;PTPN20A	10	48828109
cg02224164	0.134609050016193	MARS	12	57883315
cg02224920	NA	SDF4;B3GALT6	1	1166824
cg02225847	0.0307788262496394	FAM65A	16	67563418
cg02226697	NA	SQLE	8	126010266
cg02226871	0.0101244308977047	VPS28	8	145653662
cg02226939	NA	BLMH	17	28619481
cg02227605	0.0561555537410896	ROPN1L	5	10441490
cg02228185	0.134017804620973	ASPA	17	3379567
cg02229516	0.0180433834290816	TRMT1	19	13227228
cg02229946	0.500694621645406	IL1F7	2	113669912
cg02232922	NA	SLC25A43	X	118532809
cg02233558	0.0534020128111479	SLC12A2;FLJ33630	5	127418922
cg02233559	0.0167770297376944	SLC46A3	13	29293325
cg02235880	0.0648515890210103	FANCF	11	22647123
cg02237119	0.159082952171571	WBSCR27	7	73256414
cg02237186	0.0214438311761422	RRM2	2	10263043
cg02238504	NA	ZNF423	16	49861375
cg02238747	0.0729460686874618	RRP12	10	99161279
cg02238826	0.274484314310128	MCF2L2;B3GNT5	3	182971069
cg02239021	0.0417364214214841	CYB5RL;MRPL37	1	54665433
cg02239082	0.0105091656125717	CYTH2	19	48972844
cg02240226	0.0119307993284539	STK16;GLB1L	2	220110027
cg02240622	0.677197933114349	PLCB2	15	40601467
cg02241259	0.865822399472394	NA	NA	0
cg02241586	0.0127581932775564	PIKFYVE	2	209131508
cg02244695	0.013250865771692	TMEM176B;TMEM176A	7	150497346
cg02245378	0.61957678327831	PAX3;CCDC140	2	223161771
cg02245418	NA	POLR3C;RNF115	1	145609675
cg02246665	NA	HCFC2	12	104458006
cg02246968	0.0146610756214141	UBAC2	13	99852859
cg02247582	0.0191624896770317	ZNF512	2	27806117
cg02248486	0.472574351502413	HOXA5	7	27183196
cg02248540	0.0163539218640486	NA	NA	0
cg02250594	0.641982703498063	ONECUT2	18	55103353
cg02250787	0.0330695163065325	HTR2A	13	47470989
cg02250992	0.0083710859146322	SCARB1	12	125348168
cg02251134	NA	DOCK2	5	169063563
cg02252907	0.0147653074880914	AP3D1	19	2151887
cg02252918	0.010300449243607	ZNF664;CCDC92	12	124458442
cg02254407	0.779943824221788	PLEKHB1	11	73357159
cg02254461	0.692846241076539	CSRNP1	3	39195904
cg02254649	0.0206675386160593	ENAH	1	225840109
cg02255004	NA	GDEP	4	80748660
cg02255609	NA	TTC4	1	55181269
cg02255732	NA		11	31150189
cg02257405	0.160261738610735	ACSL6	5	131346985
cg02257681	0.0121729679408037	DDAH2	6	31698002
cg02259997	0.0430830143626799	FGF9	13	22245013
cg02260587	0.0684770902061072	PCDHB2	5	140474248
cg02261346	0.909614526397897	MPPED1	22	43898597
cg02264284	NA	HPRT1	X	133594951
cg02265318	0.0159821145749788	MOSC1	1	220960539
cg02266731	NA	CPM	12	69357333
cg02268424	0.0335358300488382	ZNF136	19	12274129
cg02269221	0.0115132594719142	TRAF4	17	27071208
cg02271621	0.0121351324177684	HCCA2;LOC338651;DUSP8	11	1592675
cg02273078	0.00515900642605181	USP14	18	158567
cg02273392	0.0338861594749052	SERPINE1	7	100770414
cg02273788	0.583838276115306	PLXNB3	X	153029150
cg02274362	0.837040782874967	NA	NA	0
cg02275294	0.0216740370493954	SOAT1	1	179262462
cg02275359	NA	ZNF146	19	36719719
cg02275830	0.0113810737212337	PTGR2	14	74318774
cg02275989	0.0155631041270555	SMPDL3A	6	123110863
cg02276665	NA	CTNNA1	5	138088442
cg02276686	0.0178055754694263	PSMC1	14	90722856
cg02276793	0.0173776924823043	LOC100128164;SEC62	3	169685131
cg02277509	0.0448954440153462	KIAA0586;TIMM9	14	58893942
cg02278071	0.0264178243983878	DUSP18	22	31063986
cg02278165	0.0154877168235755	COX7A2L	2	42588618
cg02279071	0.0191660233864111	MLH1;EPM2AIP1	3	37034154
cg02280309	0.729356167127219	PKLR	1	155270960
cg02282237	0.00972595687017731	PRKCH	14	61788862
cg02283643	0.0429984671416961	SULF1	8	70378740
cg02284188	0.590238712589374	NA	NA	0
cg02284889	0.0138331830790901	PPME1;C2CD3	11	73882276
cg02285477	0.00933130970105166	POLR1D;LNX2	13	28196059
cg02286642	0.0481184985187813	ZNF254	19	24270073
cg02286990	0.0267294614934441	CCDC28B	1	32666098
cg02288165	NA	SIGLEC1	20	3687992
cg02290509	0.0123754498654204	TBL2	7	72992915
cg02292024	0.08488172590638	TIMM10	11	57298349
cg02293044	0.041573107206225	GAS2L1	22	29703543
cg02296128	0.0185894376547276	GTF2F2	13	45694882
cg02298008	0.0152778992933553	NA	NA	0
cg02298570	NA	ZNF555	19	2840764
cg02298612	0.592186901866677	CHST6	16	75528459
cg02299279	0.0118647225194626	UBL7	15	74753787
cg02299653	0.0134375363488033	NA	NA	0
cg02300906	0.0206351107139679	FANCF	11	22647486
cg02301754	0.953054500588886	VPS72;TMOD4	1	151149370
cg02301815	0.96792239252023	KIAA1267	17	44249491
cg02303361	0.0181336375816261	AP2S1	19	47354240
cg02304930	0.0307134091002306	SERTAD4;C1orf133	1	210405566
cg02305261	0.177285602601666	KCNG1	20	49638967
cg02305723	0.570649156743274	SNRPN	15	25093456
cg02307482	0.0312125304840175	C12orf60;WBP11	12	14956006
cg02309273	0.494209405943548	INPP5B	1	38412744
cg02309431	0.83125890735633	BPIL3	20	31618931
cg02309594	0.479913749313476	HCRTR1	1	32084329
cg02310296	0.159352611840259	MMP9	20	44637358
cg02311163	0.330520452751572	SEMG2	20	43850511
cg02312170	0.0195771173498764	WDR11	10	122610835
cg02312751	NA	TSSC4	11	2422528
cg02314308	0.0588633030244413	GLT25D2	1	184006972
cg02316718	0.00791573386306449	UBC	12	125399409
cg02317742	0.0236171316812946	ATOH8	2	85981021
cg02317907	0.288324733880866	DIRAS3	1	68515788
cg02318426	0.0275019456438143	NFKBIA	14	35873683
cg02318535	0.43583512794157	PPM1E	17	56832804
cg02320454	0.0283119323762194	GPR150	5	94956017
cg02321871	0.0465154552840531	RCBTB1	13	50159138
cg02322621	0.0183887988961176	ZBTB9	6	33422403
cg02322989	0.167056073840332	LRP1B	2	142888598
cg02323334	0.0444693363179477	NCRNA00167;PRDM10	11	129872621
cg02324920	0.457340183445745	NEURL	10	105253152
cg02326006	0.0319529644336159	ARHGEF9	X	62974433
cg02326931	0.0226298301088904	ALG5	13	37572901
cg02327719	0.118127999677991	C1orf135	1	26185386
cg02329886	0.89406488716281	HDC	15	50557917
cg02330106	0.745998586073592	MGMT	10	131264840
cg02331561	0.0211611208742408	ABCA17P;ABCA3	16	2391081
cg02332073	NA	TSGA13	7	130372419
cg02332492	0.86858459661985	C8G	9	139840678
cg02332525	0.460094895784798	GRM7	3	6903153
cg02332537	0.730555550989796	RTP3	3	46540019
cg02334775	0.137912298408043	ISG20	15	89182676
cg02335441	0.0131506332010292	NEK11;ASTE1	3	130745948
cg02335804	0.245327472963186	HNF1B	17	36105239
cg02336128	0.0133330948030558	DCK	4	71859030
cg02337166	0.0274807401186278	NR1D1	17	38257303
cg02337447	0.203555806771688	NA	NA	0
cg02342494	0.0555065486826494	C12orf72	12	31812046
cg02344078	0.016428318010565	STK4	20	43595235
cg02344201	0.022376989525599	ELL	19	18632488
cg02344238	0.029863877432931	FRMD8	11	65153777
cg02345317	0.0332383537468357	NLGN3	X	70364543
cg02347114	0.88578374773694	NA	NA	0
cg02347487	NA	NLRP14	11	7059103
cg02351381	0.633195819587368	MGC14436;C12orf34	12	110172346
cg02352653	0.021041387642643	SMAD5;SMAD5OS	5	135469115
cg02357714	0.66282385715473	DOK3	5	176936563
cg02357725	0.0278430072736906	IMP3	15	75932598
cg02358761	0.0329429900972427	STK17B	2	197036780
cg02358804	0.926490406620182	ZNF146	19	36719212
cg02360616	0.0147951135155871	FAM129A	1	184943055
cg02360776	0.0394015581706554	ZBTB3	11	62521582
cg02360836	0.0175782077667998	SMARCD2	17	61920188
cg02361363	0.00915705204783722	ST3GAL3	1	44173578
cg02361557	0.0126703854613581	NTNG1	1	107682963
cg02364038	0.0146698321289884	PTBP1	19	797109
cg02364642	0.0238076997716819	GEFT	12	58005758
cg02366059	0.112396842354202	C18orf45	18	21017616
cg02367472	0.0139453319002771	SLU7	5	159845898
cg02367951	0.328335288159954	NA	NA	0
cg02372712	0.15154990248169	ZNF467	7	149470295
cg02374486	0.753831935945126	PRF1	10	72362809
cg02376163	0.0388293143752831	FBXO38	5	147763224
cg02376703	0.029870616136666	EPHA1	7	143106130
cg02377083	NA	CCBP2	3	42851019
cg02381948	0.94233744567088	MGMT	10	131355112
cg02382666	0.798931098687806	CALD1	7	134463454
cg02385474	0.439134467161652	PCNXL2	1	233394797
cg02385791	0.0362130565722145	ZNF570	19	37960542
cg02387613	0.00941813252357964	TOPBP1	3	133380479
cg02387679	0.0199350057730131	IQGAP2	5	75699865
cg02387854	0.00780798633755917	ANAPC11;THOC4	17	79849442
cg02388150	0.317347956187841	SFRP1	8	41165699
cg02391387	0.0143011500460794	IMMP2L	7	111202222
cg02393447	NA	PIF1	15	65117607
cg02397514	0.0120995810656043	HES4	1	935139
cg02397720	0.155408663419561		2	238512407
cg02398725	0.0548289159721299	CREBZF	11	85376233
cg02399449	0.062010462308464	CLDN12	7	90032850
cg02399455	0.489687135815607	SRI	7	87855714
cg02400248	0.00835568662534909	CDKN2B;CDKN2BAS	9	22009355
cg02401149	NA	CRYBB3	22	25595409
cg02401978	0.530704737382859	ZNF746	7	149195465
cg02403232	0.0171486303789607	GOLGA3	12	133405120
cg02404636	0.0747005676665536	SFI1	22	31891804
cg02404843	0.00909447076173155	GPRIN1	5	176037404
cg02407785	0.015520060874746	PCDH9	13	67804285
cg02409282	0.0344531145915706	NA	NA	0
cg02409351	0.361659616034827	ALX1	12	85674022
cg02412050	0.094327303114299	MAPK14	6	35995429
cg02413850	0.023057835824803	SLC35C2	20	44993235
cg02415431	NA	IGLL1	22	23923255
cg02416716	0.0109739744236963	ZNF215	11	6948024
cg02417264	0.148532359686497	RAMP3	7	45197727
cg02417408	0.138032914669067	PPM1M	3	52280688
cg02420102	0.0214067736854768	C11orf65	11	108338162
cg02421543	0.0361028938333074	DR1	1	93810826
cg02422627	0.0424486130684663	MED30	8	118533004
cg02422694	0.259985727854377	HOXB4	17	46655790
cg02423618	0.23664709357524	SPATA8	15	97325725
cg02425732	0.0151542130102919	RRBP1	20	17662212
cg02426410	0.0181788577185052	AASDH	4	57253603
cg02428100	0.0245786585637888	KEAP1	19	10614022
cg02430692	0.167002791783675	PEX5L	3	179754239
cg02431687	NA	NAIF1	9	130828652
cg02431964	0.689538915234841	MARCO	2	119700029
cg02432101	NA	TCEB3CL;TCEB3C;KATNAL2	18	44557635
cg02433671	0.166959294608185	RGL3	19	11529856
cg02433905	0.131512412060924	ATP6V1A;NAA50	3	113465485
cg02435593	0.246565923861728	CHMP4B	20	32399369
cg02436686	0.305214098118292	GMFG	19	39826150
cg02437376	0.00893741918493577	VDAC2	10	76969880
cg02440177	0.00864499034492501	ZNF702P	19	53496695
cg02441647	NA	COL8A1;MIR548G	3	99357499
cg02441831	0.0301180505823585	SYVN1	11	64901569
cg02442161	0.661696905335819	NA	NA	0
cg02443089	0.0351772453680447	RPS29	14	50052765
cg02447314	0.0117509811901701	POLI	18	51796331
cg02449608	0.94408510025376	C19orf18	19	58486600
cg02449978	0.0364396135758742	CDC25A	3	48230167
cg02450959	0.0148609124309952	THAP1	8	42698393
cg02451362	0.0123108388986888	LOC92659;MAFG	17	79885650
cg02451670	0.140348547732528	INTS7;DTL	1	212207806
cg02452985	0.0111338384788917	BCL11B	14	99737548
cg02453591	NA	FARSB	2	223521088
cg02453653	0.0189994007533261	INTS5	11	62420979
cg02456292	0.19541707367819	TMEM145	19	42817262
cg02457752	0.919525148942474	CDR1	X	139868078
cg02460120	0.0114549844202031	USP15	12	62653836
cg02460349	0.0121244419287188	RRBP1	20	17663383
cg02470959	0.0938657567337717	SFRS8	12	132196036
cg02471507	0.0112546303739502	CHMP4C	8	82644747
cg02473123	0.881428502146999	CD7	17	80274776
cg02475653	NA	ATP2C2	16	84437661
cg02477931	0.359021661303305	NTM	11	131532721
cg02479196	0.0132277150927733	MARCH7	2	160569048
cg02479575	0.0205343498951126	MIR7-3;C19orf30	19	4769653
cg02480835	0.0259992743628229	NUPL2	7	23221354
cg02486845	0.0245531682163932	NCRNA00120;AKIRIN2	6	88411799
cg02488871	0.371220108502714	VIL1	2	219288203
cg02489552	0.0578614869833231	CCDC105	19	15121531
cg02490034	0.254912913099353	MEST	7	130125836
cg02491012	0.237540055218335	NA	NA	0
cg02491878	0.425660719980073	ATP6V0A4;TMEM213	7	138482580
cg02492740	0.0316744386691079	UBQLN2	X	56590362
cg02493771	0.177308887659191	KRTAP13-2	21	31744328
cg02494117	0.0379220649023762	DNM1;CIZ1	9	130965474
cg02496295	0.0112820611227986	ADD1	4	2846155
cg02497175	0.0199998280400022	NLK	17	26368598
cg02497428	NA	METTL9;IGSF6	16	21665138
cg02497700	0.191070177102767	ZNF238	1	244213358
cg02497758	0.0117541802589727	MAFB	20	39317194
cg02498063	0.8087825392449	CCDC60	12	119772577
cg02499249	0.0780109896890807	RARB	3	25469720
cg02500392	0.906051910030525	PBOV1;KIAA1244	6	138539372
cg02501779	0.0219866659342381	CBLN4	20	54579355
cg02501984	0.00990332414039424	POLE;PXMP2	12	133263946
cg02502132	NA	LRP8	1	53792939
cg02503850	0.488744061210429	ADAMTS14	10	72432552
cg02503970	0.0127484660146808	ST3GAL1	8	134584145
cg02504280	0.514841666693862	CSAG1;MAGEA12	X	151904507
cg02504465	0.0109607566049009	SNX3	6	108582065
cg02505409	0.0170291090381818	ANGPTL4	19	8429160
cg02505689	0.0147745839345898	DBF4B	17	42785825
cg02506426	0.0520133201892565	AQP11	11	77300504
cg02506728	NA	C20orf177;PPP1R3D	20	58515583
cg02506908	0.381476394199009	HPD	12	122297408
cg02507175	0.0756862547400194	PKNOX1	21	44394436
cg02507952	0.518943330091295	KIAA0125	14	106390641
cg02508567	0.192214842143791	TCF7L1	2	85361184
cg02510853	0.382834034068126	PKMYT1	16	3031707
cg02511532	0.0642882622065892	TAF2	8	120845155
cg02512226	0.345610907593403	ARMC4	10	28288192
cg02512860	0.801368273992485	CLDN15	7	100880751
cg02513045	0.0185303809125315	C21orf2	21	45759502
cg02515422	0.0948371089995378	TLR4	9	120466493
cg02515725	0.0387465993646703	PDLIM3	4	186456935
cg02516189	0.313351722034893	CARD9	9	139268092
cg02516388	0.0121698397554785	ACSF2	17	48503634
cg02517489	NA	UBE3A	15	25683075
cg02518339	0.650640161344648	NA	NA	0
cg02518671	0.0399924026203639	SIRT6;ANKRD24	19	4182691
cg02519218	0.431991128467125	CHFR	12	133424286
cg02519806	0.0313434641289856	SYNPO2	4	119810036
cg02523400	NA	SERPIND1;PI4KA	22	21128191
cg02523617	0.232234256893498	UBE2K	4	39699380
cg02525396	0.0297048053688904	TOMM40L	1	161195883
cg02525756	0.0492262009257656	RAB42	1	28919362
cg02527529	NA	C17orf53	17	42219679
cg02528468	0.0229357173039891	ATP11B	3	182510901
cg02532648	NA	BTG3	21	18984770
cg02533173	0.182151517576603	BRD4	19	15391124
cg02533993	0.0165707128874521	WDR4	21	44299944
cg02536286	0.047100068033405	NA	NA	0
cg02537023	0.733326264773395	NA	NA	0
cg02537838	0.278635394922911	C20orf151	20	61002595
cg02537909	0.0127285411096284	COBLL1	2	165697595
cg02539714	0.0112568199833053	RHOF	12	122231866
cg02540157	0.598973060934125	NA	NA	0
cg02543879	0.0375936526352178	VPS36	13	53024717
cg02545106	0.0295575927796131	CCDC110	4	186393269
cg02545192	0.308447269742998	TERT	5	1294729
cg02546521	0.009757434875527	ULK1	12	132379326
cg02547138	0.0146044367001091	RCE1;C11orf80	11	66610782
cg02547439	0.0306848243151352	ELMO2	20	45035173
cg02548238	0.0141532071237877	LOX	5	121413050
cg02549418	0.649850942298916	MBNL3	X	131573634
cg02549424	0.115925655839398	AIFM3	22	21319123
cg02549910	NA	TTC30A	2	178483601
cg02550200	0.0129188550527423	MIS12;DERL2	17	5389462
cg02550358	0.028279508367147	PIGL	17	16120515
cg02551396	0.0146265580018083	JPH2	20	42815882
cg02552572	NA	MT4	16	56597746
cg02552945	NA	C5	9	123811614
cg02553486	0.660779323341484	CORIN	4	47840095
cg02554564	0.293700460575466	NTF3	12	5603131
cg02554810	0.0109158653135672	SNX15	11	64795040
cg02555579	0.699169159188244	SLC25A18	22	18043043
cg02556718	0.0161082514101657	SEZ6L2	16	29910594
cg02558133	0.0103145597075104	PKN2	1	89150338
cg02564061	0.736965210114095	FAM186B	12	49998963
cg02564523	0.040627013385193	ORAI2	7	102073539
cg02564733	0.0264639643434293	ADAMTS15	11	130319074
cg02566518	0.0229731487233754	FUT11	10	75531971
cg02567144	0.0213679975689994	EFHC1	6	52285149
cg02569086	0.0536069405968844	ITPR2	12	26985672
cg02569333	0.0132923447667336	SGK3	8	67625280
cg02569613	0.0351588590244235	C10orf72	10	50323127
cg02571905	0.0125979050563316	TMEM107	17	8079626
cg02575859	NA	RPS4X	X	71497301
cg02577849	0.030223651798564	ADAMTS6	5	64777678
cg02579133	0.843776994166136	KRTAP10-8;C21orf29	21	46031741
cg02579736	0.0341834800608091	FANCD2;CIDECP	3	10068473
cg02580195	0.142898045322613	RPL23AP7;RABL2A	2	114385132
cg02580606	0.885717752185175	KRT33B	17	39526726
cg02581667	0.0134454791122728	ECH1	19	39322242
cg02582608	0.0195883390437599	ALCAM	3	105085991
cg02582754	0.862964582917512	MAS1	6	160327345
cg02583151	0.509912652617686	SIX1	14	61116211
cg02584520	0.0150206432489208	STAU2	8	74659043
cg02586730	0.616594293127786	EFEMP2	11	65639869
cg02588309	0.0717067032636195	TTC33	5	40756462
cg02589695	0.137100483709784	RASSF5	1	206730999
cg02590345	0.0287098896225031	LPPR1	9	103790959
cg02592124	0.0122226732440987	SUMO1	2	203103479
cg02593766	0.337472643662261	MYCBPAP;EPN3	17	48608677
cg02595219	0.619355057822553	KCNE3	11	74178761
cg02595263	0.0103250820514502	MRPS28	8	80942618
cg02597128	0.0881310070374973	CXorf41;NUP62CL	X	106449823
cg02597269	0.0187956660765495	MON1B	16	77225049
cg02599225	0.0118965668549358	LOC219347;C10orf57	10	81838473
cg02599464	0.601022626816942	HIST1H2BK;HIST1H4I	6	27107097
cg02600394	0.956700234140034	TXK	4	48136234
cg02600430	0.480467634441727	ZIC5	13	100623942
cg02600515	0.0158224343681585	ZBTB3	11	62521696
cg02601403	0.609251635813896	NA	NA	0
cg02602411	0.663171346134793	GRIN3A;PPP3R2	9	104357177
cg02602864	0.012126358886768	MAP2K6	17	67410907
cg02603366	0.016752844449368	RPS21	20	60962040
cg02603784	0.810305241860375	WDR82	3	52294457
cg02604290	0.075191306986221	CYP24A1	20	52790589
cg02605634	0.0228904078603977	WFDC10A;WFDC9	20	44258384
cg02608019	0.0167895231253457	SYK	9	93564028
cg02608292	0.152790977214634	RPL28	19	55897501
cg02609749	0.0268556770884847	C16orf7;ZNF276	16	89786786
cg02609880	NA	BCAN	1	156611087
cg02611282	0.109497152277621	CREB5	7	28338985
cg02611419	0.309487182409567	KCNK16;KCNK17	6	39282532
cg02611863	0.687705694144497	L3MBTL	20	42143096
cg02612026	0.0214684645350201	CASP9	1	15850456
cg02613386	0.658754508482975	NA	NA	0
cg02613803	0.0284901015027939	TMPRSS2	21	42879131
cg02614187	0.0481349630698133	TRIM45	1	117664089
cg02614818	0.88066040142908	NA	NA	0
cg02615157	0.0376707937720319	PIN1	19	9946560
cg02616808	NA	UNC5A	5	176236654
cg02617361	0.00958132947652683	FNTA	8	42911308
cg02620013	0.412385965613747	MLNR	13	49794681
cg02620228	0.0702692678291246	RAB9A	X	13707694
cg02620470	0.018057766540911	EXT2	11	44117187
cg02620769	0.0165553533323708	CCDC65	12	49298070
cg02622316	0.343160050290355	ZSCAN12	6	28367410
cg02624129	0.145846587743623	SNX19	11	130786230
cg02624705	0.331174182444586	NA	NA	0
cg02626929	0.0429872565617082		16	3011661
cg02626977	0.013376420863789	CDKN3	14	54863550
cg02628202	0.0533586666924563	LGMN	14	93215207
cg02628930	0.00700455605171175	NA	NA	0
cg02629257	0.840256915614121	NA	NA	0
cg02629312	0.903387456454533	NPVF	7	25268894
cg02629761	0.0847971405342869	PTPN21	14	89020745
cg02630105	0.0906834099739435	PRKCD	3	53195663
cg02630122	0.0192548893246944	RANBP1;TRMT2A	22	20104473
cg02630207	0.798067385472018	SRBD1	2	45839653
cg02630694	0.0517053464065633	CDC123;NUDT5	10	12236833
