Hybridization REF	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05
cg03563403	0.0102000762017685	FANCG	9	35079882
cg03564506	0.0189563750885165	TRRAP	7	98475901
cg03565081	0.103044964168986	C14orf93	14	23478970
cg03565323	0.045269992223232	ZNF287	17	16472866
cg03565782	0.00658761659852744	IER5	1	181057814
cg03567830	0.0744470708568342	NTSR1	20	61339871
cg03568064	0.0541307080669002	MAPK8IP1	11	45907500
cg03568718	NA	TP73	1	3579873
cg03569412	NA	MBD3	19	1593943
cg03569637	0.67266674953004	LOC100233209;FAM113B	12	47609357
cg03570766	0.97640619069056	CATSPER1	11	65793706
cg03570976	0.0105507185245607	FAM96B;CES2	16	66968476
cg03572913	0.0548073725424075	ROMO1;NFS1	20	34287853
cg03573747	0.873216243424342	ADIPOQ	3	186560617
cg03574115	0.820708282645647	WDR65;EBNA1BP2	1	43636559
cg03574571	NA	CD22	19	35820181
cg03575468	NA	PDHA1	X	19362613
cg03578041	0.253485935591165	LARP6	15	71147307
cg03580247	0.843472115883213	SLC4A1	17	42345488
cg03580351	0.0291497294548825	GEN1;SMC6	2	17935719
cg03580876	NA	TRMU	22	46731674
cg03582451	0.889370384103459	ERI2;LOC81691	16	20816408
cg03583857	0.713048340941492	CD34	1	208085022
cg03584220	0.851427910978852	NA	NA	0
cg03584646	0.94909740658253	TBC1D8	2	101676513
cg03586029	0.0223257545613631	MFSD8;C4orf29	4	128886849
cg03586879	0.0335402570739061	A2BP1	16	6068831
cg03588357	0.0813219619016218	GPR68	14	91720173
cg03589001	0.648491812410874	MORF4L1	15	79164714
cg03591238	NA	ZNHIT2	11	64885558
cg03591594	0.0150389498744224	VLDLR;FLJ35024	9	2621918
cg03592161	0.0162417100055762	C17orf48;SCO1	17	10601178
cg03593419	0.0550252390843199	GABRA4	4	46995474
cg03594044	0.0175196527924998	FUT10	8	33330726
cg03595428	0.320530923712227	MTCP1;MTCP1NB;BRCC3	X	154299274
cg03597525	0.398789612734204	SIGLEC10;LOC100129083	19	51920435
cg03599338	0.55715324388774	SUSD2	22	24577315
cg03600318	0.483301939827723	SFTPD	10	81708991
cg03600687	0.0316570497260325	BOK	2	242499012
cg03602500	0.573155499695606	KIR3DX1	19	55047721
cg03604278	NA	CIDEC	3	9922234
cg03605339	0.0312253098518075	ARMC7	17	73105863
cg03605761	0.497812649949866	RNF126	19	663973
cg03606258	NA	GNAS;GNASAS	20	57426935
cg03608167	0.0109583276373423	CXCR4	2	136875637
cg03608577	0.533031459338157	OR12D3	6	29342679
cg03608974	0.139121799966674	ZAK	2	173940268
cg03609102	0.396039593698003	MUC5B	11	1244533
cg03611555	0.0227144673708543	SLC25A21;LOC100129794	14	37641600
cg03614513	0.040474040229595	TSPAN2	1	115632038
cg03614664	0.00999546759046055	RBX1	22	41346948
cg03616357	0.0429900566037378	MAP9	4	156297942
cg03617367	0.0133251192957888	C14orf43	14	74226931
cg03617456	0.0602021243482735	EXOSC10	1	11160205
cg03619472	0.0478814405825852	OGFOD1;NUDT21	16	56486263
cg03620376	0.0423540069738918	CDC42EP5	19	54984272
cg03621001	0.831166451620799	RAB8A	19	16221719
cg03621406	0.165646275636903	FBXL12	19	9930365
cg03622431	0.936677423754697	UOX;DNASE2B	1	84864880
cg03622689	0.0301675656017227	C21orf67;C21orf70	21	46359691
cg03623878	0.0274339664309561	MCF2L	13	113655560
cg03625911	0.276324417419902	CHI3L1	1	203155737
cg03626672	0.187124269540732	CXCR7	2	237478664
cg03627896	0.483882367393356	NCRNA00095	16	30934334
cg03630088	0.142701612359264	CPXM2	10	125651526
cg03630344	0.0706248569726934	VAMP3	1	7831156
cg03631076	0.026377107036218	BANP	16	87985047
cg03633120	0.123426677857726	NDUFA7;RPS28	19	8387262
cg03634234	0.0341927291028486	MLL3	7	152132218
cg03634982	0.286066560803398	NA	NA	0
cg03634997	0.0310618693290798	GAS8	16	90089283
cg03636183	0.660370526986468	F2RL3	19	17000585
cg03640148	0.0206707002293302	WDR6	3	49044952
cg03640568	0.0180317227473696	DDX17	22	38902623
cg03640944	NA	ITPRIP	10	106093819
cg03641225	0.415304117343374	DIRAS3	1	68512539
cg03642357	0.0663210024652614	NA	NA	0
cg03642518	0.517432807115173	PNOC	8	28175003
cg03643709	0.179446239988739	VPS18	15	41186784
cg03644378	0.0211632341478238	CYB5D1;LSMD1	17	7761459
cg03648823	0.0176260600496928	ZNF643	1	40915636
cg03649060	NA	ELOF1	19	11665451
cg03651573	NA	TRIM28	19	59055127
cg03652343	0.0183482614414292	HERC4	10	69835287
cg03657766	NA	DLX2	2	172967014
cg03658471	0.0190128712173216	SGMS1	10	52383438
cg03658707	0.79802938682191	ASIP	20	32848426
cg03660451	0.812904274324205	RECQL5;SAP30BP	17	73664606
cg03662459	0.705441928940965	IL11RA	9	34654290
cg03663215	0.0404119062006942	ADCY2	5	7396491
cg03663715	0.0292491671637779	FOXD1	5	72744904
cg03664139	0.0125293428481476	ASCC3	6	101329504
cg03664800	0.0415073694141354	LOXL2	8	23261312
cg03664992	0.0529674921504644	BMP8A	1	39957393
cg03665457	0.208293835046381	HSD17B7P2	10	38645376
cg03665605	NA	ATP5J2	7	99064212
cg03665785	0.157043255966464	C22orf31	22	29458676
cg03667047	NA	KL	13	33589962
cg03667091	0.0776616129236032	ACTL6A	3	179280746
cg03668539	0.595077990127725	PEX11G	19	7553324
cg03670238	0.826812043818976	WISP1	8	134202370
cg03672021	0.234990149358871	FLNA	X	153602658
cg03673470	NA	ZP4;LOC100130331	1	238055429
cg03673687	0.0133436327046018	EML1	14	100259804
cg03679305	0.0802590740025189	SLC2A5	1	9129487
cg03679581	0.208009213846236	RLN2	9	5304511
cg03679734	0.151042385734162	CKMT1B	15	43885090
cg03680758	0.00987811897469114	SLC2A4RG	20	62371416
cg03681481	0.0224687931642418	OVOL1	11	65555418
cg03682712	0.199887549806418	LOXL1	15	74219307
cg03682823	0.297304819631102	SGCE;PEG10	7	94286953
cg03684977	0.582953896709321	GRB7	17	37893803
cg03686067	0.619173801529596	CCDC102B	18	66504389
cg03688818	0.0257643738238943	APEH	3	49711147
cg03690162	0.0339928793433228	BAG3	10	121410453
cg03691812	0.0118455531274405	CORO1A	16	30194416
cg03693099	0.741274207163587	CEL	9	135936901
cg03693601	0.00835226692299209	SHCBP1	16	46655349
cg03694261	0.0173970268800547	C11orf63	11	122753977
cg03695693	0.0400664562791486	ITGB1BP3	19	3932959
cg03697316	0.0404285102642974	LZTR1	22	21336741
cg03698393	0.0120873141101331	HAPLN3	15	89438795
cg03699566	0.656462803989207	FOLR1	11	71900652
cg03699904	0.403855166238385	SLC2A2	3	170746029
cg03700218	0.0398155765386324	SPSB3;NUBP2	16	1832709
cg03700308	0.0213146737219443	MOCS3;DPM1	20	49575492
cg03700462	0.0248916658835729	HOXA1	7	27135684
cg03701222	0.00886536543531203	RAB40C	16	639209
cg03702236	0.0390490599690643	SEMA5A	5	9546755
cg03703325	0.0189053083511273	HEMK1	3	50606864
cg03704024	0.772744344487296	TMCC1	3	129598923
cg03704031	0.19272606375759	INGX;BCYRN1	X	70712215
cg03704393	NA	ZNF169	9	97042001
cg03704653	0.737994187580895	FAM9A	X	8769344
cg03705396	0.0292975494599418	MAP6D1	3	183543680
cg03707950	NA	FAM114A2;MFAP3	5	153417076
cg03708463	0.0216613929406733	RNASEH1	2	3606331
cg03712038	0.011299905630194	ZNF160	19	53607021
cg03712237	0.599169200579603	NA	NA	0
cg03712239	0.0267419024032916	ZNF25	10	38265764
cg03712708	0.0203834642076232	CKS2	9	91925885
cg03712843	NA	STOML3	13	39565534
cg03713346	0.0108978506876791	CPNE2	16	57126807
cg03714397	0.866022322850457	NA	NA	0
cg03714916	NA	CDKN1A	6	36645886
cg03716937	0.744568083030086	ADAM2	8	39695862
cg03716942	0.0179128562651961	GNB1	1	1821981
cg03716999	0.477983419960238	RNF207	1	6265802
cg03717979	0.0176913499996381	MSX1	4	4862184
cg03718026	0.0665146635271226	NA	NA	0
cg03718539	0.452049292921654	NA	NA	0
cg03718677	0.940132000715795	TMOD4	1	151148266
cg03721967	0.920909500372451	GRTP1	13	114009720
cg03723845	0.83238471468647	BTNL8	5	180326186
cg03724445	0.0177534308706927	PRKRA;DFNB59;MIR548N	2	179316085
cg03724463	0.104892076254356	CCK	3	42306524
cg03724882	0.018510882558293	CDKN3	14	54864244
cg03727165	0.447539752668103	NA	NA	0
cg03729431	0.00981018402161244	ADORA2B	17	15848264
cg03731616	NA	MYLK	3	123603618
cg03731898	0.694053861985229	CPO	2	207804081
cg03732056	0.234076600108166	DOK2	8	21771059
cg03732295	0.0548089740719598	IMPAD1	8	57906837
cg03732545	0.444053701372103	CNTN2	1	205012130
cg03733371	0.157563258481686	NA	NA	0
cg03734660	0.0190963784726617	CRABP2	1	156675322
cg03734783	0.913266006688477	ACCN3	7	150745709
cg03734874	0.252930642879855	TMEM179	14	105071382
cg03735049	0.0658481074679769	TSR2	X	54466618
cg03737135	0.0281240564495848	HSPA14;CDNF	10	14879645
cg03738331	0.0181154683308877	HTT	4	3076305
cg03738959	0.00875204043950489	MCART1	9	37904295
cg03740216	0.307478546844433	ICAM4	19	10397561
cg03740984	0.0557418466285946	NA	NA	0
cg03741352	0.450007497816574	NA	NA	0
cg03742003	0.0937545499262562	SLIT2	4	20255264
cg03742214	0.0176347747254919	CRY1	12	107487383
cg03742272	0.797038028468407	ALOX12B	17	7990705
cg03743584	0.102461287529151	PRAP1	10	135160908
cg03746685	NA	TMEM126B	11	85340088
cg03747695	0.0419197838875242	ZNF227	19	44716642
cg03750407	0.0229995636657918	RAD9A	11	67159770
cg03750606	0.0564261697595265	ESRRG	1	217262978
cg03751414	0.033896597371981	NA	NA	0
cg03751799	0.164518028142198	NA	NA	0
cg03751813	0.0378923464534193	ZNF585B	19	37701393
cg03752087	0.576835630574615	CASP14	19	15163470
cg03752628	0.188053214351412	PTGFRN	1	117453510
cg03752689	0.0321463764735177	C1orf74	1	209958185
cg03752885	0.32211311248272	DAPK3	19	3969736
cg03754063	NA	KEAP1	19	10615199
cg03755123	0.190458364447495	UTF1	10	135043508
cg03756121	0.0767349813688948	ARFIP2;FXC1	11	6502436
cg03759077	0.026073554469321	ARL6IP6	2	153575599
cg03760483	0.431488508678109	ALOX12	17	6899297
cg03760705	0.0593747549687786	NA	NA	0
cg03761560	0.0116798362984139	DNAJB12	10	74114860
cg03762535	0.651255592429594	HAO2	1	119911480
cg03763616	0.0827668074342183	SPIB	19	50921997
cg03764161	NA	FAM111A	11	58912327
cg03764352	0.0264029300937594	ETNK1	12	22777989
cg03764506	0.0129985318780526	ESRRA;C11orf20	11	64072089
cg03764585	0.638377980399414	FMOD	1	203320223
cg03766965	0.824327833729213	SRCAP	16	30718443
cg03766998	NA	AFG3L2	18	12378044
cg03770147	0.011064164211015	KLF7	2	208029836
cg03770548	0.82093414653462	CDH24	14	23525040
cg03771255	0.0335508465029249	RPS3A	4	152020940
cg03773789	0.0286451286758381	GLI4	8	144348945
cg03774732	0.0115418798806996	MED29;PAF1	19	39882194
cg03775123	NA	ANKDD1A	15	65214075
cg03775246	0.625871212297453	C5orf13	5	111095049
cg03775422	0.0496654647631804	VSTM2A	7	54610192
cg03776060	0.134151901375271	AIF1L	9	133972575
cg03776464	0.0258336607188022	EPHA4	2	222436947
cg03776551	0.0159084878255949	ZNF396	18	32956850
cg03776850	NA	TPSD1	16	1306872
cg03777405	0.0395220872146153	NFE2L1	17	46125833
cg03777459	0.0493153753568477	GATA5	20	61051802
cg03780486	0.306707746810099	OR6A2	11	6817280
cg03780733	0.456933360245201	PCDHB7	5	140552369
cg03782453	0.274411569133534	CCDC96;TADA2B	4	7043935
cg03782727	0.913503328200857	FFAR1	19	35842586
cg03785807	0.0491552307627271	GBE1	3	81811053
cg03786772	0.0358086708249129	NA	NA	0
cg03787486	NA	ADH5	4	100009490
cg03788666	0.0855690142530867	MFAP1	15	44116829
cg03789934	NA	NLRP11	19	56342665
cg03790207	0.042949290174449	PEX6	6	42947109
cg03790787	0.0597073582682274	NA	NA	0
cg03791917	0.271739640842067	BTK	X	100641287
cg03792199	0.0139073633180335	HIBADH	7	27702785
cg03792653	0.0250887078842149	RPRD1B;KIAA0406	20	36661448
cg03793131	0.0344932281925253	ELOVL1	1	43833547
cg03793778	0.558753106385534	LGALS7	19	39264720
cg03794550	0.0127831711382457	FANCF	11	22646597
cg03799530	0.0402145435116617	SH2B3	12	111843215
cg03801144	0.0121954130548978	PPP6C	9	127951957
cg03801286	NA	KCNE1	21	35884508
cg03802191	0.332653382064537	TARBP1	1	234615169
cg03802231	0.0698883774374561	FNTA	8	42911648
cg03803009	0.851970467502487	GPR142	17	72363634
cg03803589	0.0216774790106076	STYX	14	53196609
cg03804500	0.64710949915822	ANAPC2;SSNA1	9	140081972
cg03804568	0.0110482698068325	CBX7	22	39548919
cg03804985	0.0954494076947727	SLC2A8	9	130159694
cg03805364	0.0119486950220986	PAFAH1B2	11	117015176
cg03805442	0.746852732245226	NA	NA	0
cg03805684	0.224919177690098	FEN1;C11orf10;MIR611	11	61561219
cg03807235	0.0171427993224384	PEX7	6	137144199
cg03807314	0.0249135785011439	MAP3K8	10	30722678
cg03808835	0.0705054506195127	PCDH15	10	56560945
cg03809891	0.0139896755353945	ZNF442	19	12476514
cg03811411	0.748243432302357	SGCD	5	155753616
cg03811478	0.357976505724933	SOX14	3	137483696
cg03812067	0.0617279135871159	SERINC3	20	43150641
cg03812679	0.0365165557654409	CSF3	17	38170632
cg03813215	0.0246650526587784	BCL2	18	60986679
cg03813905	NA	TATDN1;NDUFB9	8	125551074
cg03814826	0.0135991891270449	C22orf24;YWHAH	22	32341378
cg03815350	0.561791522951602	ESPL1	12	53663042
cg03817621	0.652722284209734	A1CF	10	52645399
cg03818682	0.617870363257267		11	1213459
cg03819692	0.320957768979545	C16orf81	16	89225639
cg03820909	0.00828253290831807	C10orf137	10	127407979
cg03821311	0.847963423299702	HIST1H1B	6	27836018
cg03822011	0.0164673374280716	FANCF	11	22646721
cg03822159	NA	SETD8	12	123867383
cg03825921	NA	RAB4A	1	229407517
cg03826976	0.0901125068858275	CYB5R2	11	7695433
cg03830408	0.0525244994557862	DCPS	11	126173650
cg03833068	NA	HIST1H2BN	6	27804958
cg03833566	0.0227702399416551	C3orf54	3	49841087
cg03833774	0.374972131509471	ZCCHC5	X	77914149
cg03835158	0.954057757178239	PCMTD1	8	52773607
cg03835292	NA	LGALS2	22	37976631
cg03835296	0.734193041176725	SLC17A1	6	25830922
cg03835332	0.0201199073670421	ELL3	15	44069518
cg03837750	0.112366371374573	LRRIQ3;TNNI3K;FPGT	1	74664160
cg03839341	0.0103457839082068	RAB10	2	26256490
cg03839972	0.114148956937822	NA	NA	0
cg03840259	0.507377246908594	GRAP2	22	40297036
cg03841029	0.0385402303454392	MBD1	18	47807709
cg03842617	NA	NOS3	7	150688556
cg03843852	0.170958685119385	PIGB	15	55611099
cg03843951	NA	DDC	7	50629634
cg03843978	0.466435537959422	MSX1	4	4864625
cg03845435	NA	C1orf162	1	112015443
cg03846288	0.0360870951109257	RNF111	15	59279849
cg03846767	0.525437221343498	TP73	1	3607292
cg03847636	0.0440865974722503	GRPEL1	4	7070632
cg03848145	0.0227928819651755	C1orf52	1	85724702
cg03848555	0.0108047648446837	C9orf40	9	77567361
cg03848675	0.163903104331563	FOXF2	6	1389146
cg03849074	0.0373186292436977	ZKSCAN3;ZNF323	6	28317796
cg03851112	0.04286955485283	NA	NA	0
cg03852144	0.059055620171508	GLRX	5	95159639
cg03852570	0.225440614910966	PYROXD2	10	100175106
cg03853151	0.014057896063821	OAT	10	126107487
cg03853987	0.0408005180863795	CHST10	2	101034279
cg03854071	0.905117228208169	TSSK6;NDUFA13	19	19626428
cg03855656	NA	SERHL	22	42896105
cg03856450	0.015351003193268	SFXN5	2	73298881
cg03856723	0.0610180805601196	PRKACA	19	14229466
cg03856786	0.0159744372231353	ZNF497	19	58874501
cg03856801	0.958611381097122	APOA1	11	116709138
cg03859282	NA	ANKS3;C16orf71	16	4783755
cg03860051	0.0273417566213486	IKZF5;ACADSB	10	124768608
cg03860400	0.127887469300437	BTBD10	11	13485289
cg03860466	0.0263017368523479	PRDX2	19	12912941
cg03860768	0.484859832050112	BLK	8	11351571
cg03860890	0.100469544336674	EGFR	7	55086288
cg03861428	0.0116570256478781	SDHB	1	17380702
cg03862540	0.0172246173975327	PPP4R1	18	9614206
cg03862760	0.212093331322335	PSMG3;KIAA1908	7	1609483
cg03863149	0.0222721018425997	ZNF644	1	91487516
cg03863549	0.155861923217115	NOL6;SUGT1P1	9	33474004
cg03866607	0.47669855563084	TBX4	17	59532826
cg03870261	0.55659027111174	LMNB2;TIMM13	19	2428514
cg03870862	NA	ZC3H3	8	144624225
cg03872267	0.0193179124986747	MRPL46;MRPS11	15	89011204
cg03872376	0.831956489570384	ZP4;LOC100130331	1	238053828
cg03873930	0.195847524144178	ARFRP1;ZGPAT	20	62340664
cg03874127	0.79452994221757	NA	NA	0
cg03874199	0.18563304211109	HOXD12	2	176964456
cg03874886	0.0102633956057206	NA	NA	0
cg03875195	0.118408092236663	SLC30A3	2	27486363
cg03875678	0.247828194730153	GZMB	14	25103546
cg03876618	0.109188833012362	IGFBP7	4	57976034
cg03876622	0.102623220577018	CSDA	12	10876230
cg03877802	0.0207567305448573	PPP5C	19	46849936
cg03878377	0.0655450226337748	RSL24D1	15	55489120
cg03879294	0.0292328133759578	SFRS9;DYNLL1	12	120907770
cg03879730	0.840428052715668	NA	NA	0
cg03879902	0.0171367108812942	GIPR	19	46171872
cg03882305	0.726048471897284	NA	NA	0
cg03883348	0.171354976758851	KLC3	19	45843826
cg03883519	0.0552545454892308	MFSD8;C4orf29	4	128886524
cg03884783	0.0144762323426894	ZNF569	19	37957997
cg03885639	0.75591162459843	PANX3	11	124481310
cg03886110	0.685873516994705	NA	NA	0
cg03886898	0.813712153038356	DIO1	1	54359132
cg03887534	0.0427101956798843	BCL2L13	22	18121194
cg03887787	NA	CTSW	11	65647532
cg03889226	0.122678419404747	OLIG3	6	137815333
cg03890877	0.0186118496964458	TWF2	3	52272690
cg03891191	0.579143598708336	NA	NA	0
cg03891319	0.020360330361311	ACY1	3	52016838
cg03894103	0.879653234028384	PREPL	2	44586901
cg03897136	0.0199294376169297	HOOK1	1	60280322
cg03898365	0.211491317851255	OR10A4	11	6897491
cg03900104	0.0252107649845879	CD3EAP;PPP1R13L	19	45909124
cg03900284	0.846827060372299	QRFP	9	133769695
cg03900542	0.0171482548239616	DEDD2	19	42721460
cg03902905	NA	SLC3A1	2	44502262
cg03905094	0.0194499466446292	DEPDC1B	5	59996421
cg03905144	0.836718729877097	MPDZ	9	13249504
cg03907174	0.891669528118008	RCN3	19	50030461
cg03907363	0.609908037902346	KLK1	19	51326682
cg03907454	0.0363289457012532	KIF2C	1	45205136
cg03908676	0.491794391225706	LYVE1	11	10590282
cg03909500	0.0327774684672769	RXFP3	5	33936597
cg03910901	NA	COPS6	7	99686330
cg03912013	0.041578166250156	SACM1L	3	45730489
cg03913271	0.0725811432810958	MICALL1	22	38302504
cg03914397	0.423719864316159	NMUR2	5	151784441
cg03914452	NA	RBM33	7	155464145
cg03916421	0.405352829699931	SCLT1;C4orf33	4	130013461
cg03916787	0.0623536478672047	RPL35	9	127624708
cg03918304	0.298978589765417	HOXD10	2	176981654
cg03919644	0.0229644013880183	CEP97	3	101443603
cg03919781	0.0954596213405855	EFHA2	8	16884225
cg03920233	0.0100633812335548	DOC2A	16	30022699
cg03922337	0.0782902144976898	RRAS2	11	14380918
cg03923277	0.491783423434443	TDG	12	104359732
cg03923464	0.0360336933382181	OGFOD2;ABCB9	12	123460173
cg03923934	0.106172571241296	OPCML	11	133402230
cg03924115	0.714945990537034	QRFP	9	133768966
cg03925809	0.00906898694131472	GTF2F1	19	6393419
cg03928182	0.155960633263705	PTPRR	12	71314662
cg03929796	0.2101572407609	ALAS1	3	52231840
cg03930357	0.0151405551571745	MBTPS1	16	84150069
cg03930474	0.0232019580905457	ING4	12	6772637
cg03930970	0.909182689430417	ZDHHC4	7	6618160
cg03931808	0.961782096790156	RLN3	19	14139099
cg03933322	0.574348256160294	NA	NA	0
cg03934354	0.876444860136952	C1QTNF3	5	34043140
cg03936963	0.537008095139992	NA	NA	0
cg03938043	0.109069715610948	INTS7;DTL	1	212207851
cg03939485	0.0208774090664713	RGL2	6	33266076
cg03939688	0.031406673566238	KLF4	9	110251706
cg03940103	0.0978239163548666	CYP2S1	19	41698823
cg03940966	0.0323160557713057	THEM4	1	151881785
cg03941108	0.66954282187619	C1QB	1	22985937
cg03942271	0.031470247349028	AUH	9	94124362
cg03942436	0.0115883094614619	ZNF688	16	30583048
cg03943081	0.186101199358048	TCERG1L	10	133110646
cg03943509	0.91418380368376	PYGM	11	64529061
cg03944089	0.0660611940697899	SGK1	6	134497379
cg03945021	0.188314432357321		16	24682074
cg03945800	0.0607926220761061	ADCY9	16	4165515
cg03947362	0.0237141183951111	C2orf60;C2orf47	2	200820154
cg03950009	0.0281544765128352	STX17	9	102669115
cg03950654	0.00983552880159543	ARRB2	17	4613328
cg03950669	0.0655436708012866	TIMM8B;SDHD	11	111957582
cg03952109	0.500867467038703	FAM172A	5	93409932
cg03954150	0.0278281456177061	C18orf55;FBXO15	18	71815372
cg03954173	0.0344574440078837	CD97	19	14492176
cg03954587	0.100104885888189	UBB	17	16284508
cg03954858	0.239934543024036	FAM83F	22	40404957
cg03955296	0.0346286745775305	ETV3	1	157107917
cg03956267	0.0158428169093365	SMPD4;FAM128B	2	130939498
cg03956628	0.0826375145347628	NA	NA	0
cg03957435	NA	ZNF157	X	47230278
cg03958344	0.0112335268747276	CNP	17	40118638
cg03958426	0.0685277821915427	MAPKAPK2	1	206857947
cg03958979	0.149343128911157	NR2E1	6	108486387
cg03959079	0.396324177842519		X	30994266
cg03959219	0.140667513024964	TSPYL4	6	116575135
cg03960217	0.0979743592743439	LCE2C	1	152647777
cg03961189	0.0168231336987839	CTR9	11	10772649
cg03962522	0.393361274816487	SLC5A1	22	32439254
cg03963198	0.108972410271466	IRX4	5	1882871
cg03963654	0.9429811775295	SCOC	4	141177084
cg03964111	0.387420129339029	TMEM176B;TMEM176A	7	150498493
cg03966406	0.0164531143990904	ITPR2	12	26985412
cg03966541	0.0141801398341381	PGGT1B	5	114598433
cg03969797	0.654248181283727	NA	NA	0
cg03969906	0.148750875596793	HIST1H4A	6	26021768
cg03969997	0.0246484795494113	WBSCR27	7	73256865
cg03970351	0.0211114865663024	TERF2	16	69420083
cg03970609	0.586072125547568	MUC7	4	71337664
cg03972838	NA	SMCR7L	22	39897580
cg03973663	0.233424438903383	LYN	8	56791576
cg03975345	0.018940395905823	C5orf36;ANKRD32	5	93954303
cg03975694	NA	ZNF540	19	38042472
cg03976567	0.0193371103826388	AKD1;FIG4	6	110012095
cg03977657	0.54096107420412	LAMB3	1	209825747
cg03977782	0.0151470129340569	SIDT1	3	113251680
cg03979162	0.0331764344957234	BCAS3	17	58754542
cg03980304	0.0292722185726695	IL4R	16	27325000
cg03984733	0.0189273542338997	HDHD3	9	116139085
cg03985136	0.0134654750217722	ULBP2	6	150262734
cg03985657	0.0160885686724208	NA	NA	0
cg03986640	0.810219137012561	MIP	12	56848355
cg03986968	0.110777103036784	AVEN;CHRM5	15	34330894
cg03989322	0.0238147914067884	SLC30A5	5	68389537
cg03989569	0.0183893830965143	MEF2D	1	156471288
cg03990551	0.010884738032149	BBS7	4	122791477
cg03991326	0.150355878466828	RPL7	8	74205489
cg03991512	0.496289042571515	LDHD	16	75150456
cg03992069	0.193220094545159	ZMYM3;BCYRN1	X	70474783
cg03992230	0.0115695838535049	HNRNPH1	5	179050530
cg03993463	0.619412412472464	KCNJ15	21	39627271
cg03994908	0.0105245959480288	RNASEH1	2	3605817
cg03996465	0.0226796213464476	SUGT1	13	53226743
cg03996793	0.204705522116247	NA	NA	0
cg03996822	0.503469486764367	RASSF6	4	74486558
cg03998173	0.025810152827457	RHEB	7	151217580
cg03998348	0.918335538890864	TMCO5A	15	38227285
cg03999420	0.0171491665708772	MYCBP2	13	77901358
cg04000821	NA	LAIR2	19	55014066
cg04001333	0.357115843958973	FLVCR2	14	76045348
cg04001668	0.612277414648678	GPR56	16	57654347
cg04001802	0.816488042995405	OLAH	10	15085279
cg04001842	0.0140751579322191	DUOXA2;DUOX2	15	45406939
cg04004861	0.0390219986720306	STAU2	8	74659081
cg04005032	NA	OSBPL10;ZNF860	3	32022767
cg04005701	NA	RPA1;SMYD4	17	1733641
cg04005707	0.078182024205732	CWH43	4	48988321
cg04005725	0.0191721602782723	KLHDC8B	3	49208684
cg04006554	0.00836849354637165	ENPP5	6	46138530
cg04007936	0.790120619229561	CARHSP1	16	8954017
cg04008455	0.462034406431093	NA	NA	0
cg04008843	NA	TTR	18	29170928
cg04008901	0.0859836902396577	CACNA2D1	7	82072779
cg04008913	0.409749229980542	SNRK	3	43327465
cg04009666	0.0601556782208699	POLG2	17	62493127
cg04010530	0.105145031174136	NA	NA	0
cg04011402	0.673248569195648	NA	NA	0
cg04011872	0.0157846115632634	MRPL23	11	1968980
cg04014889	0.701501780442814	MAGEL2	15	23890593
cg04016326	0.876610612276883	GRIN2B	12	14132940
cg04017769	0.0093204471090686	TACC1	8	38644939
cg04019407	0.639686628981883	NA	NA	0
cg04020816	0.0083311982836274	MAN2A1	5	109025456
cg04021421	0.954139145877325	FANCC	9	98080622
cg04025590	0.0896404753873722	CCDC21	1	26560450
cg04025889	0.0192461320354912	AHCY	20	32891089
cg04026012	0.0568214371193853	SYNCRIP	6	86354018
cg04028573	0.0107935883371673	NA	NA	0
cg04030848	0.545327822746105	GAL3ST1	22	30960881
cg04032226	0.132860470938842	PYY;NAGS	17	42082392
cg04032566	0.964988187432663	NSUN3;DHFRL1	3	93780446
cg04032871	0.0134700585073127	QPCTL;SNRPD2	19	46195965
cg04033650	0.0196975435774167	NSUN5	7	72722679
cg04033774	0.963992878790963	NA	NA	0
cg04034767	0.0398297797834408	GRASP	12	52400907
cg04036714	0.0107525593303499	NAPEPLD	7	102789509
cg04036898	NA	POMGNT1	1	46664598
cg04037228	0.311102148231423	LIMD1	3	45636386
cg04037732	0.354083069594474	NLGN3	X	70364775
cg04037952	0.925073447972499	GPR148	2	131486950
cg04038932	0.0577974480195367	C9orf171	9	135286214
cg04039225	NA	SAMD7	3	169629516
cg04039397	0.282299879885245	CD96	3	111260783
cg04041960	0.0230160579848628	RGS10	10	121301765
cg04042106	NA	MUS81	11	65628736
cg04044561	0.0174834792605201	POP7	7	100303839
cg04044684	0.396682360016245	CHFR	12	133464857
cg04047710	0.0528842537385332	C21orf66;C21orf49	21	34143336
cg04048218	0.0352239929293839	PPIH	1	43124122
cg04048249	0.615395757444028	APOC3	11	116700556
cg04048259	0.0956953778729772	EDN3	20	57875346
cg04049033	0.74835161296616	RILP	17	1553661
cg04049800	0.0117725601327832	C1orf57	1	233086374
cg04051458	0.0161187761308856	THBS1	15	39873060
cg04052038	0.594421566600478	CLDN8	21	31588123
cg04053638	0.0137020267000532	SUCLG1	2	84686387
cg04055049	NA	GPR153	1	6321553
cg04056179	0.0531670609714779	MOBKL3	2	198380384
cg04057053	0.0135740954464361	WNT2B	1	113008926
cg04057106	0.822317031367902	KIF24	9	34263427
cg04057485	0.986779852859709	PTGIR	19	47127365
cg04057858	0.541025896808311	T-SP1	8	10383763
cg04058169	0.669977790073178	BUB3	10	124913438
cg04058675	0.64041731733939	HUWE1	X	53680779
