Hybridization REF	TCGA-A2-A0EV-01A-11D-A032-05	TCGA-A2-A0EV-01A-11D-A032-05	TCGA-A2-A0EV-01A-11D-A032-05	TCGA-A2-A0EV-01A-11D-A032-05
cg04329454	0.574624650206473	C6orf227	6	33561099
cg04330084	0.0504731300078287	IQUB	7	123175371
cg04330449	0.482930938923976	NEUROG1	5	134871166
cg04333463	0.0244724465297169	ASPH	8	62626687
cg04335339	0.197207670656427	ATRNL1	10	116853118
cg04336379	0.813960662853531	LOC389458	7	5111669
cg04336572	0.529365790875801	ATP1B4	X	119496002
cg04337944	0.363840903532292	FBLN1	22	45899303
cg04338788	NA	SEMA3G	3	52478874
cg04339860	0.052571987148648	WWP2	16	69796075
cg04340502	NA	GSTA3	6	52775209
cg04341084	0.0163223316232073	NA	NA	0
cg04341806	0.884500284621072	LCP1	13	46757395
cg04344347	0.0156316443816896	NA	NA	0
cg04344997	0.547986271518275	EMD	X	153607129
cg04345475	0.555128514827315	ARFIP2;FXC1	11	6501591
cg04345908	0.400936127822232	HLA-DQB2	6	32731327
cg04347447	0.710933951384858	CACNA2D2	3	50541467
cg04348872	0.902977930911231	ADCY3	2	25141696
cg04349311	0.0243709743596017	TXNDC12;BTF3L4	1	52521202
cg04349727	0.238641504003225	KLK5	19	51457389
cg04350610	0.0133220596939466	BTAF1	10	93683445
cg04350646	0.017480967402188	MRPL32;PSMA2	7	42972170
cg04351979	0.0118522189629298	CTXN1	19	7990281
cg04353483	0.386405446983834	CCKAR	4	26493496
cg04353769	0.297407680278169	MS4A6A	11	59951557
cg04355435	0.0561722010609534	TMEM125	1	43736290
cg04356968	0.840601824288424	BGLAP	1	156212005
cg04359302	NA	MRPL47;NDUFB5	3	179323859
cg04361527	0.0161641236892237	PMVK	1	154909836
cg04362655	0.0348180884897785	GLRX5;SNHG10;SCARNA13	14	96001355
cg04365980	0.518831731819551	CLEC3A	16	78056736
cg04366367	0.960262295567116	GPS1;RFNG	17	80008541
cg04367351	0.0240303923335724	PLA2R1	2	160918675
cg04368716	0.00843301724812544	BAG5;C14orf153	14	104028314
cg04368877	0.978748363115505	FBXL19	16	30937210
cg04368919	0.126278398353285	EFNB1	X	68048131
cg04369341	0.146342923824669	TOX2	20	42545022
cg04371779	0.00994794397389563	C14orf118	14	76618201
cg04375036	0.888536895726033	PPP1CC	12	111181819
cg04375683	0.0719430695924846	PPP2R1A	19	52692431
cg04376312	0.769259107379735	MYLK	3	123602485
cg04376617	0.15969090204177	ATP5A1;HAUS1	18	43685360
cg04377282	0.313923612205823	NODAL	10	72201417
cg04378886	0.771390354167228	RCN3	19	50031395
cg04380513	0.256021256157123	ST8SIA4	5	100238983
cg04380669	0.0243987535555715	NME1;NME1-NME2	17	49230692
cg04382920	0.966813157298209	SLC25A31	4	128651526
cg04383012	0.0230787061748037	PSMD1	2	231921692
cg04383274	0.0290634568445757	DNAJC28	21	34863711
cg04384208	0.445180524857519	FCGR3A	1	161519396
cg04384398	0.0619183024785211	PMM1	22	41986333
cg04385519	NA	ADCY9	16	4167460
cg04386405	0.018307339939404	ZNF83	19	53141394
cg04387658	0.369676340354873	CD86	3	121775080
cg04388983	0.0370383622920356	P2RY2	11	72929844
cg04389838	0.332316393543515	ZNF501	3	44770851
cg04391111	0.690547405206223	TP73;WDR8	1	3568004
cg04391540	0.706376641170837	ZNF541	19	48048129
cg04391736	0.0122115245249665	COG8;NIP7	16	69373674
cg04393897	0.0251002238206263	BAT2L2	1	171454518
cg04394101	0.6089130953705	NA	NA	0
cg04394102	0.175399632225072	NA	NA	0
cg04394967	0.0250499708874313	RDH12	14	68189457
cg04396791	0.657194518487075	SHANK2	11	70508180
cg04397441	0.0391385027653383	OGT;BCYRN1	X	70753023
cg04398275	0.797701045876187	SBNO1	12	123834817
cg04398282	0.514689359626929	STAP1	4	68424256
cg04398978	0.199830047742181	CBX4	17	77814064
cg04400030	0.0286095396969504	SNX1	15	64387986
cg04401436	0.0158115489933349	SLC38A9	5	55007918
cg04402021	0.0129892696892752	POLR2E	19	1094921
cg04402875	0.0224235487296961	RET	10	43572795
cg04404982	NA	ITGAL	16	30483287
cg04405541	0.869424554260809	C20orf114	20	31870405
cg04409427	NA	KCNE2	21	35736023
cg04409945	NA	PSMB3	17	36908629
cg04410834	0.0150593597447328	ABCG4	11	119019845
cg04410862	0.0285640928417448	E2F7	12	77459091
cg04411625	0.0137626361130786	CRIP1	14	105953462
cg04413148	0.859636014258998	CTRL	16	67965867
cg04413397	0.0133025310052996	NMNAT1;LZIC	1	10003059
cg04413986	0.0237245043333068	NACA	12	57119373
cg04415689	0.824211863205568	ANO7	2	242128250
cg04416752	NA	ST6GALNAC4	9	130679027
cg04418492	0.145413190071572	CYP7B1	8	65711327
cg04418752	0.0243665836800615	PAICS;PPAT	4	57301960
cg04418771	NA	COPS4	4	83955829
cg04419707	0.0291749478779112	RPL3;SNORD43	22	39716223
cg04420907	0.0293011305151028	WDR16;STX8	17	9480215
cg04422896	0.0151821827138324	C12orf43	12	121454269
cg04424621	0.0755606834291483	HIST1H2BJ	6	27101941
cg04425624	0.24508528414345	TNF	6	31543565
cg04428453	0.698830874919927	ACSM5	16	20420652
cg04428853	0.0221812503060192	TMEM110	3	52931532
cg04429140	NA	AARSD1;RUNDC1	17	41132427
cg04430204	NA	STK36;RNF25	2	219537816
cg04431054	0.029830400160283	PRRC1	5	126853024
cg04431133	0.213941900551206	RPL36AL;MGAT2	14	50088598
cg04431776	0.399845291372556	NA	NA	0
cg04432009	0.130273396057727	LYL1	19	13213688
cg04433306	0.0321348895557926	UBE2H	7	129592730
cg04434339	0.0739724572080296	ST6GAL2	2	107503547
cg04435377	0.939518527386394	ZDHHC8P	22	23744094
cg04435420	0.111540879199366	SGCD	5	155754009
cg04436474	0.0419294058948685	RBM6	3	49977685
cg04437590	0.0316055161875277	NDUFA5	7	123198030
cg04438497	0.20840031526198	MTL5	11	68519252
cg04439215	0.688230394608186	KCTD4;GTF2F2	13	45768901
cg04443324	0.648018308043722	FAT2	5	150948306
cg04444006	0.0349351215068882	ARFGAP2	11	47198757
cg04444771	0.0271994231534031	C10orf10;RASSF4	10	45473712
cg04446579	0.190695479462693	ANKRD45	1	173639071
cg04447123	0.0155029169531191	RHOBTB2	8	22857672
cg04447890	0.0794407323336971	GPR177	1	68697988
cg04448487	0.383449021763412	GDAP1L1	20	42875777
cg04450876	0.554654200116688	GTSF1	12	54866945
cg04451770	0.189604657825025	ENTPD1	10	97515372
cg04451988	0.0124473530315296	FAM171A1	10	15412706
cg04452095	0.188799387721918	SEPT9	17	75315868
cg04452713	0.129331092865236	DST	6	56707687
cg04453065	0.0367518383867201	CYR61	1	86046661
cg04454050	0.299453155882912	TREML1	6	41122081
cg04454259	0.0193140609049418	CBR3	21	37507390
cg04454391	0.00961129522865869	NDUFAB1	16	23607818
cg04454951	0.0816822347604354	VWC2	7	49813031
cg04455064	0.0264857410555706	TUFM	16	28857889
cg04455759	0.954301088856016	TIMM8B;SDHD	11	111956131
cg04455999	0.449473987977022	FAM70A	X	119444838
cg04456238	0.375690530696577	WT1	11	32450104
cg04457051	0.299680557361796	SCOC	4	141178469
cg04457481	0.672119433612534	GNAS;GNASAS	20	57426835
cg04457794	0.372735660318101	CTSE	1	206317654
cg04457979	0.150403746752771	KCNQ1DN	11	2890647
cg04458139	0.0139301783280334	OTUD6B	8	92082487
cg04458548	0.200826435372791	FETUB	3	186356700
cg04459030	0.333167043917301	GHRH	20	35885149
cg04460372	0.04171561927436	ST6GALNAC6	9	130661175
cg04461705	0.0883989435484795	LOC375190;PFN4	2	24346867
cg04461802	0.175564004481506	GPR126	6	142623433
cg04462209	0.00786506492744149	KLHL12	1	202896493
cg04463638	0.469120940807682	CLDN5	22	19512712
cg04464446	0.749985633616141	GAL	11	68452845
cg04464465	0.0171944941314009	CDK2AP1	12	123755775
cg04464559	0.0131530545684723	PDSS2	6	107780641
cg04466253	0.00981073254535971	ACBD5	10	27529581
cg04466273	0.014090860817017	TBK1	12	64845556
cg04466870	0.0234752046705248	SFXN4	10	120925180
cg04467034	0.0178913505152124	ANKRD10	13	111567140
cg04469303	0.0136879131745331	PRDM15	21	43299431
cg04469686	0.0472539083915549	HSD17B7	1	162760199
cg04471507	0.32762907148125	STMN1	1	26233376
cg04473030	0.852353042533538	MGMT	10	131354782
cg04473302	0.115211611651898	SLC26A4;LOC286002	7	107301217
cg04474832	NA	ABHD14B;ABHD14A	3	52008487
cg04478795	0.244920882430143	SMO	7	128828120
cg04480914	0.00983962942747754	PPP2R5B	11	64692198
cg04481779	0.103947134732354	IL20RA	6	137366125
cg04482110	0.0321603628601243	TMEM106A	17	41364121
cg04483623	0.0158286642317248	THOC5	22	29949575
cg04483754	NA	NOS2	17	26128980
cg04484789	0.45375659761279	KRT26	17	38928324
cg04485075	0.0206616057241796	KLHL17;NOC2L	1	894587
cg04485603	NA	CLOCK	4	56376410
cg04486568	0.0154625437678883	ETS2	21	40178431
cg04488521	0.0869468949746805	ZNF354C	5	178487716
cg04488527	0.794636094715608	KLHL34	X	21675867
cg04488758	0.697454040541653	USP44	12	95945366
cg04490516	0.0287833463467188	MLST8	16	2255169
cg04490714	0.115725679890427	SLC6A2	16	55690564
cg04491089	0.0733562620398021	MBTPS1	16	84151300
cg04491443	0.84133395023068	PDILT	16	20415966
cg04493740	0.359089335545666	SLC25A14	X	129474199
cg04495969	0.0160422975627845	FBXO11	2	48132005
cg04496615	0.0129115472609612	PPP3R1	2	68479620
cg04497885	0.0152975256522541	GSK3A	19	42747008
cg04498032	0.0369679403259063	CLK2	1	155242826
cg04498511	0.919334867270493	ZC3H11A	1	203768441
cg04498679	0.293898900595695	C2	6	31895598
cg04498739	0.0550150873863517	PDK4	7	95226308
cg04499325	0.316517449836889	EPDR1	7	37960317
cg04499381	0.763952768249355	SASH3	X	128913671
cg04502814	0.0775778236096373	SEPP1	5	42811952
cg04504095	0.044102803507732	FOXC1	6	1610688
cg04505023	0.303879432823537	SPRR1A	1	152956186
cg04506546	0.00815209517994715	SLC35C2	20	44992831
cg04506628	0.0216395593569211	SNRPC	6	34725359
cg04507972	0.0168221070941497	NA	NA	0
cg04508286	0.0123936950863002	SEPT7	7	35840410
cg04508649	0.945167008911666	MTOR;ANGPTL7	1	11249046
cg04510262	0.0187643582752232	PTPN2	18	12884175
cg04511195	0.980795176743185	FZR1	19	3523009
cg04511534	0.511152162449466	GGT6	17	4463371
cg04513422	0.165264505298592	C13orf29	13	111522314
cg04513669	0.0195985113134683	SH3GLB1	1	87169962
cg04513728	0.0548629404660327	MRPS18B;PPP1R10	6	30584980
cg04514469	0.388302506549138	C14orf49	14	95942666
cg04514981	0.0211277827764438	INO80C	18	33077497
cg04515001	0.0962649921415272	KAAG1;DCDC2	6	24358236
cg04515567	0.942393323117123	FOXH1	8	145701568
cg04515986	0.283032526788239	FTHL17	X	31089692
cg04517429	0.262365333562291	DCHS2	4	155413618
cg04518106	0.0262457730452404	RPL26	17	8286519
cg04518155	0.0190451425344727	C4orf27	4	170679294
cg04518808	0.153634703372362	PRKCG	19	54384822
cg04520084	0.0169855318312228	CCNC	6	100016357
cg04520391	0.409844785125325	NA	NA	0
cg04523589	0.688060489382634	CAMP	3	48265146
cg04525496	0.0373465066808032	VCAN	5	82767526
cg04525773	0.0375612339562125	DBF4;SLC25A40	7	87506040
cg04527363	0.101887851416496	GRM7	3	6902337
cg04527918	0.79736110496881	UCN	2	27531170
cg04527989	0.855497801308042	PTCD2;MRPS27	5	71614752
cg04528819	0.3759328158216	KLF14	7	130418315
cg04529955	0.0130940357272344	SLC10A7	4	147442738
cg04531254	0.0462875683192408	TMEM136	11	120195822
cg04531710	0.0102364236352829	EIF4G1	3	184032412
cg04532229	0.0474296188771531	SLC9A2	2	103235411
cg04532952	0.072879032988195	CA4	17	58227745
cg04533291	0.955346545048512	CIAO1;TMEM127	2	96930398
cg04533591	0.283227235397566	RPL39	X	118926128
cg04534765	0.143005332477491	GALR1	18	74962369
cg04536575	0.0551394382405636	C14orf50	14	65016802
cg04536922	0.291034020520132	FAM13A	4	89978566
cg04536998	0.0182920225006076	CUL4A;PCID2	13	113863227
cg04541078	NA	ARCN1	11	118442899
cg04541293	0.356648163734893	PTPRT	20	41819125
cg04541607	0.447345129915093	CRYBB1	22	27013978
cg04542415	0.0128070177515168	ZFP64	20	50808759
cg04542938	0.0131827831017191	ATXN1	6	16762468
cg04543012	0.0296073338579537	TFCP2	12	51566569
cg04544154	0.809045248415742	ELF4	X	129245509
cg04544498	0.332062533540842	MAGEE1	X	75647859
cg04545159	0.701228917304894	PIR;FIGF	X	15403117
cg04545516	0.200439963848191	SEMG1	20	43836061
cg04545708	0.0331470315525189	NA	NA	0
cg04548378	0.0447190191699546	CDKN1C	11	2906285
cg04548841	0.0219792007839736	CNIH4	1	224545223
cg04549333	0.263116795174486	ALX4	11	44325823
cg04551655	NA	GPN1;CCDC121	2	27853316
cg04551925	0.497648671921191	AQP1	7	30951740
cg04553232	0.0380628769428115	KAL1	X	8700576
cg04553559	0.0225585476044559	ZNF703	8	37552657
cg04555771	0.405765834740431	CACNA2D2	3	50540137
cg04555836	NA	MYO6	6	76458633
cg04556854	0.0315681932576935	BBS12;LOC729338	4	123653523
cg04557383	0.627018753848297	NA	NA	0
cg04557868	0.0369891920896589	NA	NA	0
cg04558553	NA	UGT2B7	4	69960869
cg04558861	0.0175083888737304	LIN37	19	36239412
cg04559909	0.442523163617509	CXCL5	4	74864725
cg04561804	0.347684050171712	LOC100128164;SEC62	3	169683976
cg04562739	0.0108088334716126	CDS2;PCNA	20	5107446
cg04563996	0.282753364804211	ARHGEF3;SPATA12	3	57093519
cg04564030	0.453641551956306	CDH7	18	63417392
cg04564646	0.0132242531740323	MOV10	1	113217655
cg04565661	0.0175158954782558	SEMA5B	3	122747440
cg04567009	0.698886638268324	FCGR3B	1	161600769
cg04567315	NA	CLUL1	18	596703
cg04568580	0.432720832251902	NA	NA	0
cg04569233	0.501148219034166	CX3CR1	3	39321449
cg04569804	0.667791349266094	CSF1R;PDGFRB	5	149493814
cg04570669	0.390847481264333	ODAM	4	71063474
cg04572898	0.0332799174421489	AEN	15	89164981
cg04574442	0.0230490576805494	ALG8	11	77850977
cg04574507	0.282614006249849	CD1B	1	158301038
cg04574723	0.658227122725072	P2RY4	X	69479214
cg04575343	0.0126923822129428	SLC2A13	12	40499262
cg04576021	0.391081987537202	HLA-DOB	6	32784255
cg04576203	0.0161052140911041	HTRA2;AUP1	2	74757825
cg04576855	0.01383784221485	SERTAD2	2	64880738
cg04577715	NA	SPINK1	5	147211181
cg04578090	0.568350892302655	PROCA1	17	27039523
cg04581377	0.0178757405454949	SLC35F2	11	107730489
cg04582295	NA	SGCA	17	48242070
cg04582843	0.0164981962300744	VAV2	9	136857244
cg04582938	0.595911425091715	UAP1L1	9	139971429
cg04583874	0.474880865944626	LY6H	8	144242268
cg04584523	0.869324529798792	NA	NA	0
cg04585992	0.0239903195593789	TRAPPC6B	14	39639574
cg04586023	0.519011287402309	HDAC10	22	50690380
cg04586563	0.982166212127957	DIP2C	10	736974
cg04587829	0.291151504870769	FN3K	17	80692947
cg04587910	NA	NHEJ1	2	220025744
cg04588079	0.0175423908202235	HEBP1;HTR7P	12	13153012
cg04589904	0.373005738447895	NA	NA	0
cg04589975	0.0102148434281691	C2orf42	2	70418186
cg04590931	0.00916897931699596	PHF15	5	133861743
cg04590978	0.0564943662557368	CCNJ	10	97802941
cg04592706	0.953215985450153	ABCA4	1	94586592
cg04595021	NA	LOC642852	21	46716835
cg04595372	0.757122751972229	CRISP2	6	49681233
cg04595835	0.0259448937124823	WDFY3;C4orf12	4	85888263
cg04597449	0.531629707538094	GPR150	5	94955575
cg04598121	0.401905211977917	PENK	8	57358505
cg04598744	0.010401456851679	LMBRD1	6	70506758
cg04599297	0.0519159098701152	GAD2	10	26505442
cg04600076	0.0170189358008628	NA	NA	0
cg04600406	0.015640007624632	UQCR	19	1605414
cg04600618	0.661344254423437	RSPH9	6	43612980
cg04601137	0.500349406872118	ADAMTSL5	19	1512314
cg04603031	0.119148686344647	CHRNA3	15	78913156
cg04603184	0.343395631068578	RNF182	6	13924929
cg04605667	0.0411345364956234	SIAH2	3	150481783
cg04609640	0.458272193139247	BEST4	1	45254092
cg04609859	0.591343023883753	HOXB4	17	46655736
cg04612566	NA	C8orf31	8	144120706
cg04613080	NA	CNGA2	X	150903211
cg04613791	0.0383469916214989	FKBP1A	20	1373260
cg04614339	NA	CFHR3	1	196743672
cg04614380	0.0114879893501233	SEMA3F	3	50192449
cg04616566	0.965927169370029	THSD4	15	72020560
cg04616963	0.215413057650755	NA	NA	0
cg04618528	0.75413857398962	KRT36	17	39645876
cg04618607	0.015953411706402	SQLE	8	126011005
cg04619381	0.102076446271706	PRR15	7	29603121
cg04619854	NA	UBXN2A	2	24162667
cg04619859	0.0127914326978743	C7orf49	7	134855396
cg04621255	0.0233350515191092	ENDOG	9	131581398
cg04622802	0.278604018810765	FIBIN	11	27015872
cg04623168	0.0109973762052725	NAA25	12	112546260
cg04623837	0.710493068823442	HCG9	6	29943414
cg04623955	0.140498110374586	DIO3	14	102026376
cg04624659	0.664194337764295	NA	NA	0
cg04626574	0.0335197864832342	HPS4;SRRD	22	26879726
cg04627663	0.644031091190372	NA	NA	0
cg04628008	0.0176961131301907	ZBTB16	11	113931000
cg04629204	0.370929520325017	EXTL1	1	26348325
cg04629269	0.0134218563861733	NA	NA	0
cg04631202	0.277013400820621	MAN1C1	1	25942460
cg04632671	0.0448498236021902	PPARG	3	12329826
cg04632683	NA	PRPF31;TFPT	19	54620122
cg04633384	0.0525113653859819	C18orf1	18	13218816
cg04633513	0.0182033034653054	AVPR1B	1	206224027
cg04636194	0.819904341542013	PAGE4	X	49594154
cg04636557	0.673106220823445	C1orf124;EXOC8	1	231472424
cg04637372	0.631102390913766	VWA5B1	1	20617456
cg04640886	0.105693286640905	MIR7-3;C19orf30	19	4769592
cg04640913	0.20780337327235	CDH22	20	44880515
cg04644624	0.124361784841851	TBC1D10A	22	30722331
cg04645049	0.0244121720341378	ARL6IP5	3	69133926
cg04645174	0.379690679852812	OR7A17	19	14993513
cg04645342	0.0414096710470909	NEGR1	1	72748124
cg04645843	0.374811248005486	NA	NA	0
cg04648087	0.0615896047962107	TSC1	9	135819397
cg04648440	0.121868273601725	BRD3	9	136932424
cg04650786	0.0136825723631089	OSTM1	6	108395545
cg04653021	0.276371105892793	DIRC2	3	122514541
cg04653308	0.43821820398315	CRAT;PPP2R4	9	131872018
cg04655481	0.809953038634532	GPR21;RABGAP1	9	125796809
cg04658354	0.0194200818385929	NBR2;BRCA1	17	41277444
cg04659622	0.455367846119194	PNPLA4	X	7895031
cg04660234	0.0473519378376948	DCAF10	9	37800484
cg04660410	0.0138947737719918	VILL	3	38036034
cg04660617	0.0179336951109075	NA	NA	0
cg04660698	0.0119975445610564	C16orf53	16	29828145
cg04662451	0.0176868217214985	RAD51	15	40987790
cg04662594	0.323658692884643	EPB49	8	21917015
cg04663194	0.799687440052135	ACTN3	11	66315239
cg04663487	0.0923930329107811	TFEC	7	115670804
cg04667458	NA	C1orf128	1	24105319
cg04668164	0.0291973152884697	SMAP2	1	40840012
cg04672450	0.0213955461821173	SAMD11	1	860185
cg04675937	0.77885768726612	NA	NA	0
cg04676561	0.0366423865431436	HIST1H1B	6	27835191
cg04677163	0.0611365292672411	CAV1	7	116165941
cg04677227	0.0661042038620983	LOXL4	10	100028320
cg04678793	0.024933206689203	LY6E;LOC100133669	8	144099566
cg04680304	0.0200171674192701	RRM1	11	4116184
cg04681849	0.0430749032186023	PDGFRL	8	17434460
cg04682845	0.0190291131413663	TMEM42	3	44904059
cg04683119	0.0302519922618034	GUF1	4	44679953
cg04683240	0.0298353532275416	HLX	1	221052886
cg04684516	0.211874428727549	SNCAIP	5	121647858
cg04686412	0.0895093198476228	PSD2	5	139175658
cg04688368	0.050072543662857	KCNMA1	10	79397346
cg04689061	0.583891045502166	PKIA	8	79427993
cg04690289	0.0148121652489091	ZDHHC3;EXOSC7	3	45017999
cg04691375	0.0967099012796155	NA	NA	0
cg04691540	0.0515435238299125	ABL2	1	179198414
cg04691961	0.926970166391553	C3orf57	3	161091175
cg04697119	NA	IGSF8	1	160068221
cg04697562	0.777299359328188	STAG3;GPC2	7	99775862
cg04697849	0.898560361419869		X	44725035
cg04698187	0.0461640714977173	LRRN2	1	204654145
cg04700814	NA	HEXIM1	17	43224180
cg04700925	0.0154116632923936	KIAA0922	4	154387160
cg04702045	0.293650303854423	OPHN1	X	67653598
cg04702490	0.0211030005168677	GALNT2	1	230202430
cg04703844	0.034164652555857	RPL7;RDH10	8	74207197
cg04705866	0.364599866092854	GZMK	5	54320790
cg04706338	0.709071516447776	VTN	17	26697052
cg04710641	0.930389242095732	RDBP;SKIV2L	6	31928257
cg04710918	0.0255307629396435	NA	NA	0
cg04711050	0.0260884878345783	SLC1A1	9	4490757
cg04711324	0.406787056939411	RIT2	18	40695633
cg04712018	0.0493679758747862	NA	NA	0
cg04712892	0.952977765675404	NRAP	10	115424103
cg04713352	0.232867149831853	ATP4A	19	36055013
cg04713521	0.0299100948412651	NA	NA	0
cg04715462	0.577783302692143	NA	NA	0
cg04716261	0.181348442955734	ACTRT2	1	2937999
cg04717045	0.529582404464989	CCND1	11	69468789
cg04718306	0.0367726833867271	GADD45A	1	68151105
cg04718342	0.0359916973192025	CLPX	15	65478018
cg04718414	0.0134378040061485	CDC16	13	115000211
cg04719491	0.0211420123386634	HAS2;HAS2AS	8	122654045
cg04719766	0.496864417316099	KCNQ1	11	2542580
cg04720330	0.0814767530465157	PHLDA2	11	2949813
cg04720358	0.719073798056214	RCVRN	17	9808263
cg04721098	NA	CACNG3	16	24265703
cg04721883	0.463642097164433	ESX1	X	103499577
cg04722168	0.01194755211101	PAFAH2	1	26324647
cg04725234	0.027911628547771	TMEM38B	9	108456639
cg04726200	0.827399952267001	SLC22A18	11	2930485
cg04726446	0.0574445187672857	C2orf39	2	26624865
cg04727522	NA	C18orf22	18	77793182
cg04730731	0.011805116266315	GEMIN5	5	154317555
cg04731091	0.0191547261735513	WDR37	10	1102917
cg04731384	0.704547793498374	DBNDD1	16	90076766
cg04732193	0.610603123446364	HSD11B1	1	209858581
cg04733302	0.0335144319162606	TTC18	10	75118678
cg04733388	0.0305866024480093	ACAD11;UBA5	3	132378753
cg04733989	0.0107647417777255	NAGA	22	42467013
cg04735237	0.94293956779031	TIMM17B;PQBP1	X	48756592
cg04735745	0.0147146287530406	LOC728723;ZBED3	5	76382885
cg04736140	0.0239474774614542	GPR161	1	168105317
cg04737046	NA		7	87109370
cg04737319	0.0228053581097928	DTD1	20	18568568
cg04737405	0.30949807807064	OR12D2	6	29364418
cg04738091	0.0133903642777482	PTEN;KILLIN	10	89622084
cg04739149	0.883397817580536	C3orf26;FILIP1L	3	99833293
cg04739485	0.87533760355172	MLXIP	12	122611783
cg04739570	NA	PODXL2	3	127348611
cg04740359	0.203688593997746	NTF3	12	5603542
cg04741133	0.0255947579572339	LOC153684	5	43042726
cg04741636	0.069822428752519	PARP9;DTX3L	3	122283583
cg04741821	0.0239456306174294	TMX4	20	8000564
cg04743063	0.0332798619831115	RTCD1	1	100731534
cg04743650	0.233804172322262	VCAM1	1	101185070
cg04743872	0.235697008051052	PID1	2	230135577
cg04744379	NA	KLK15	19	51336102
cg04745698	0.0108346320082304	UPF2	10	12084977
cg04745805	0.307864809552848	STAT5B	17	40427474
cg04747322	0.0380890493162873	SNCAIP	5	121647308
cg04747510	0.0299115516534485	MICA	6	31370923
cg04747619	0.247756433543888	DEFA5	8	6914838
cg04747863	0.0149200293154845	PRPSAP2	17	18761731
cg04748010	0.308888139058119	POU6F2	7	39046213
cg04748704	0.0755410238923202	CHRM2	7	136553243
cg04749104	0.0328857475470911	STEAP3	2	119981169
cg04749372	0.427715774593382	INMT	7	30791871
cg04752565	NA	SMAGP	12	51664655
cg04754011	0.177225739704374	GPR44	11	60623144
cg04755031	0.0859598805285897	PNPLA5	22	44287841
cg04755662	0.371332601381215	AR	X	66763359
cg04755933	0.0215119878449007	NA	NA	0
cg04756629	0.421412829864101	NA	NA	0
cg04757093	0.547990646081684	RUNX3	1	25229192
cg04757243	NA	C3orf36	3	133648823
cg04757428	0.0271438043526367	STMN3	20	62284615
cg04759439	0.217927148405446	ERC2	3	56502612
cg04759756	0.72965414469051	SLA2	20	35273933
cg04761824	0.550366181443023	DEC1	9	117905075
cg04762213	0.0304152589828264	BAT2	6	31587888
cg04762346	0.0146358450714738	S1PR2	19	10341584
cg04763192	0.0126153688841108	C1orf88	1	111889241
cg04764624	NA	RAB11FIP4	17	29718129
cg04765277	0.55146752000152	FLJ45983	10	8094679
cg04765422	0.0388499204472347	RAD18	3	9004773
cg04765675	0.0448732024550315	CXorf15	X	16804334
cg04765929	0.0164358015273171	TNFAIP8L1	19	4639662
cg04770504	0.0742863784313838	DFNA5	7	24797363
cg04774694	0.544974058519453	NA	NA	0
cg04775502	0.0470641042120084	C6orf114;GFOD1	6	13486339
cg04779191	0.0203352808683213	CHTF8;CIRH1A	16	69166964
cg04780126	0.0165327116641396	POLA2	11	65029484
cg04780454	0.321365888374546	SERPINF2	17	1647819
cg04780629	0.0160340770794966	RNF43	17	56494964
cg04783231	0.128468766930105	ZFP28	19	57050834
cg04784315	0.901924738249843	GPR21;RABGAP1	9	125797284
cg04784672	0.323982430270264	LRFN5	14	42077674
cg04785227	0.0248957989539184	CHRNA7	15	32321637
cg04785461	0.011968470780083	DCLRE1C	10	14996236
cg04786857	0.0700080201364229	SPDYA	2	29033897
cg04788442	0.136388432471969	NA	NA	0
cg04790129	0.548995021578914	ITGB2	21	46340810
cg04790829	0.0135750090330229	TSKU	11	76494705
cg04790874	0.742638847747877	CD79A	19	42381950
cg04790936	0.0111142515040021	SH3BP1	22	38035753
cg04794268	0.305863025209911	KIFC2;CYHR1	8	145690383
cg04794505	0.0518264720226832	PBX3	9	128508709
cg04794887	0.0796201699602823	LETM1	4	1858231
cg04794901	0.0129098931916141	TCP1	6	160209903
cg04796162	0.143948904966778	IGFBP3	7	45961102
cg04797323	0.748659334029568	SOCS2	12	93966978
cg04797496	0.303475372455165	PCDH12	5	141339086
cg04798095	0.0135011447893333	NA	NA	0
cg04798158	0.0186387372337408	FCF1;KIAA0317	14	75179846
cg04798796	0.0213587212520692	GLUD1;FAM35A	10	88855483
cg04799664	0.518827113038743	NLRC5	16	57053850
cg04801003	0.0656546445303192	ANTXR1	2	69240754
cg04802221	0.698284953627901	EXOC3L	16	67223955
cg04802801	0.0236343059103158	PPP1R11	6	30034711
cg04803153	0.154855166079201	ZNF790	19	37329859
cg04805109	NA	CSPG5	3	47619964
cg04806409	0.505156728567246	TFF3	21	43735505
cg04807655	0.0196932979284137	NA	NA	0
cg04808672	0.0507329905099665	SMURF2	17	62658750
cg04809136	0.0743294250451853	SF3B14	2	24300158
cg04809787	0.401107822130225	CHRNB1	17	7348339
cg04810997	NA	TAS2R60	7	143140674
cg04811526	0.0220509704616926	TIMM44	19	8009138
cg04815626	0.0637358187870564	MSRA	8	9912509
cg04816348	NA	CLEC4G	19	7796382
cg04818845	0.326362352110348	PLEKHG5	1	6580167
cg04819539	0.934084342204328	FAM119B	12	58167550
cg04820387	0.0371815346292086	PCMTD2	20	62887534
cg04824341	0.0182233052235975	CHCHD8;PAAF1	11	73587915
cg04824716	0.453928519396384	CCHCR1;TCF19	6	31125475
cg04825431	0.80752416136854	ZNF239	10	44063899
cg04826422	0.0104449970021801	KLRAQ1	2	48667825
cg04826883	0.021013215122952	CA12	15	63673893
cg04828792	0.714399738372539	MX2	21	42733433
