Hybridization REF	TCGA-AO-A12H-01A-11D-A112-05	TCGA-AO-A12H-01A-11D-A112-05	TCGA-AO-A12H-01A-11D-A112-05	TCGA-AO-A12H-01A-11D-A112-05
cg06818415	0.0168176228643162	PHF1	6	33379267
cg06818473	0.233659344369749	NA	NA	0
cg06818777	0.0899893400433306	CHAD;ACSF2	17	48546620
cg06819200	0.00462576747719734	ECE1	1	21616641
cg06821120	0.29848841280594	RASSF1	3	50375459
cg06821274	0.0191214636607585	SSR2	1	155990882
cg06821993	0.156211174777688	CSMD3	8	114449011
cg06822229	0.466725107911404	ACSL4	X	108976856
cg06822995	0.0463175360456461	CAMK4	5	110559431
cg06823263	0.0507996607983763	USF1	1	161015119
cg06824727	0.0259280932996996	DHRS1;C14orf21	14	24768621
cg06825142	0.0108803334161358	DRD4	11	637170
cg06825166	0.849446372783999	OPALIN	10	98119079
cg06827038	0.746311328464338	WFIKKN2	17	48912952
cg06827976	0.902676741313075	FGR	1	27950589
cg06830426	0.0473033879580952	RPS5	19	58898769
cg06831658	0.0209886103542585	NA	NA	0
cg06832039	0.653033448429363	NA	NA	0
cg06832950	0.896835691132025	NA	NA	0
cg06833562	0.0221119012436491	ZNHIT6	1	86174060
cg06834261	0.0512153116713504	ALS2CR8;WDR12	2	203776215
cg06834875	0.46744740753269	HHIPL1	14	100111263
cg06834983	0.927163302116413	SSX7	X	52683807
cg06836338	0.0376034409250268	ATPAF2;C17orf39	17	17942007
cg06836736	0.0357017754931999	ME1	6	84140993
cg06836772	0.0906651622307467	PRKAA2	1	57110403
cg06836849	0.780509842124131	SLC17A8	12	100751051
cg06837731	0.0172182534150962	ERLIN1	10	101945906
cg06838394	NA	ARFGEF2	20	47538719
cg06839953	0.0155422701097551	TMEM222	1	27648457
cg06840042	0.0086611618024435	MKRN2	3	12598618
cg06840226	0.00690436427870303	NA	NA	0
cg06840239	0.0235292393162476	TAF6L	11	62539043
cg06840801	0.899142135612444	CHRNB3	8	42552719
cg06848073	0.139280510567688	FBXO44;FBXO2	1	11713540
cg06848288	0.0277365227875165	PHIP	6	79788573
cg06849227	0.985440347964592	NA	NA	0
cg06849477	0.160049801146758	PRR5	22	45072724
cg06850526	0.0678171609473434	SLC38A10	17	79269886
cg06851207	0.845884569962393	PNMAL1	19	46975138
cg06852652	NA	CYP2C18	10	96442031
cg06852744	0.945397610880886	AEBP1	7	44142973
cg06855803	0.591932701195321	ICAM3	19	10450364
cg06856528	0.0412447398831839	TMEFF2	2	193059405
cg06859828	0.931170603191168	NA	NA	0
cg06862062	0.0104454600391349	ACOX3	4	8442641
cg06862644	0.949900521071604	SPATA22	17	3375469
cg06864275	0.0117048994802126	SBNO2	19	1174154
cg06866657	0.0199617380056793	LHX6	9	124990754
cg06866862	0.23154527821768	NA	NA	0
cg06868758	0.431445861428308	EEF1B2;SNORD51;NDUFS1	2	207025391
cg06869899	0.0181437839059746	BRE;RBKS;LOC100302650	2	28113326
cg06871974	NA	TNS3	7	47578960
cg06872331	0.0224601946878293	STEAP3	2	119981960
cg06872381	0.791110075541073	DPPA3	12	7864076
cg06873352	0.0407719406978439	STRADA	17	61820015
cg06874144	0.806201224971378	CAB39	2	231576873
cg06878726	0.0283053683519578	RBM19	12	114404035
cg06880557	0.0191581875884002	C13orf27	13	103425546
cg06882877	0.824435624316578	PAQR6	1	156217801
cg06882926	NA	OR1G1	17	3031354
cg06883149	0.0164490740758653	NA	NA	0
cg06885524	0.00606315717542633	CYBRD1	2	172379087
cg06885782	0.378958732434836	KCNQ4	1	41248209
cg06886022	0.0249659351454423	C9orf75	9	140095555
cg06887167	NA	CIT	12	120314679
cg06887170	0.0517334995833632	IFI27L2	14	94596104
cg06887414	0.0122349395823824	RPN1	3	128369476
cg06887663	0.112668508618693	SNAPC1	14	62228983
cg06890553	0.0439410432483705	ZNF223	19	44556485
cg06892726	0.080662509460125	HFE	6	26087607
cg06893980	0.0271577123705475	PSMB1;TBP	6	170862231
cg06894381	0.0100561208223328	SLC35D1	1	67519805
cg06894812	0.0124880599262921	MCC	5	112630225
cg06896207	0.322703514551173	MOBKL2A	19	2095364
cg06898923	NA	RAB18	10	27792905
cg06899329	0.715757407761361	NDUFA13;TSSK6	19	19627922
cg06899582	0.170929835963837	ZNF280C	X	129402809
cg06899802	0.00726455510491448	CSNK1A1	5	148931087
cg06899808	0.532167684609624	NA	NA	0
cg06899976	0.0870759170681744	PCDHB1	5	140430962
cg06900776	0.0785042594481325	ARMCX3	X	100878107
cg06901392	0.00724576412946238	HSPH1	13	31736105
cg06904813	0.530873396521652	NA	NA	0
cg06905514	0.0078788089240745	NA	NA	0
cg06905862	0.0226025845859917	TPP1	11	6640837
cg06906435	0.374127114202891	C14orf177	14	99177777
cg06907544	0.828143210811271	NA	NA	0
cg06908474	0.00782228015978246	CAT	11	34460516
cg06908778	0.0771870672489425	SPAG6	10	22634602
cg06910048	0.0252852965335416	C11orf57;PIH1D2	11	111945509
cg06910100	0.900552817235917	USHBP1	19	17375091
cg06911084	0.443249595752452	DLX5	7	96652894
cg06911113	0.0109183292410638	UBXN10	1	20512617
cg06912252	0.0271467615082771	C9orf125	9	104248926
cg06913228	0.00711061847321571	UBE2J1	6	90062465
cg06914598	0.580945700081095	NA	NA	0
cg06915165	0.0197691265159436	GABARAPL1	12	10364933
cg06917325	0.848457909121119	SLC22A8	11	62783123
cg06918467	0.320032528133452	OLIG3	6	137815539
cg06919067	NA	NSMCE1	16	27268727
cg06919203	0.812306782204634	GFRA4	20	3644151
cg06919956	0.0170516784401102	PNPLA7;MRPL41	9	140445760
cg06921282	0.0529909232254876	HRAS;LRRC56	11	536299
cg06922130	0.0230203255678368	KIF2C	1	45205796
cg06926735	NA	UBE2V1;TMEM189-UBE2V1	20	48732667
cg06927864	0.0774497749083767	IL1RAPL1	X	28604661
cg06930095	0.0362754516193301	SEC11A	15	85259484
cg06933072	NA	ADCY10	1	167882951
cg06933965	0.0170623693196148	CMKLR1	12	108732994
cg06937608	0.0276597520455281	NA	NA	0
cg06938406	0.0697979664402979	COX6A1	12	120875584
cg06938878	0.788161161658669	CALCB	11	15094364
cg06940107	0.360001111710352	NA	NA	0
cg06940574	0.970487760161122	ICMT	1	6297128
cg06940792	0.0474421987375489	MEGF10	5	126626557
cg06941093	0.927132705738736	GLIS1	1	54199696
cg06942110	0.240692480256145	INTS1	7	1545385
cg06942445	0.22348014277461	TRO	X	54947373
cg06942536	0.654679723868419	NA	NA	0
cg06943865	0.953366535169009	PEG10	7	94293780
cg06944050	0.446639845443007	LONRF3	X	118109068
cg06945625	NA	SERPINB6	6	2972184
cg06946880	0.266618348344443	ATP6V1B1	2	71163123
cg06948294	0.305754159830069	STXBP6	14	25518624
cg06948408	0.0667690831739916	TMEM125	1	43736600
cg06948937	0.88618460580454	CDK18	1	205473404
cg06949789	0.0263825989311445	NKIRAS1;RPL15	3	23958708
cg06950730	NA	TAGLN	11	117069479
cg06952117	0.00946866487554172	NAB1	2	191514435
cg06952236	0.0146014477323858	RASGRP1	15	38856341
cg06952310	0.584171448939632	NCAN	19	19327990
cg06953304	0.0537864092058695	NKTR	3	42641690
cg06953768	0.071053014452261	C5orf24	5	134181484
cg06953995	0.0137910388313392	PALM2;PALM2-AKAP2	9	112542779
cg06954481	0.0210068002085616	GBX2	2	237076497
cg06956273	NA	GNAT2	1	110155623
cg06956646	0.0182048671511749	SOS2	14	50698982
cg06957329	0.0169655280094337	MRPS23	17	55927468
cg06958034	0.0103701928388418	KDM1A	1	23346203
cg06958211	0.858577342098054	PAK6	15	40532180
cg06958537	NA	ETS2	21	40176950
cg06958829	0.54743887560453	ACSF2;CHAD	17	48546118
cg06959635	0.156664375841216	MCF2	X	138724627
cg06960698	0.614475229280153	FGF14	13	103054846
cg06963844	0.0211651628201561	FBXO6	1	11724238
cg06971096	0.0630622537864018	PTPRN	2	220173591
cg06973652	0.945639928868509	BRCA1;NBR2	17	41278622
cg06973760	0.0689443901131245	NFATC1	18	77154869
cg06974755	0.0372373110064353	RALGDS	9	135996931
cg06975499	0.0320542240983354	EZH1	17	40896881
cg06975739	0.106863605740485	NA	NA	0
cg06976977	0.0472931247703236	COX18	4	73935744
cg06979034	0.0261569724299812	NA	NA	0
cg06980053	0.37804204804715	RASSF1	3	50375674
cg06980380	NA	DTNB	2	25896925
cg06980460	0.896118124838526	FOLH1	11	49230548
cg06981182	0.0419623728475564	RNLS	10	90343208
cg06981910	NA	C7orf45	7	129847046
cg06983551	0.104660918805576	BUB1	2	111435583
cg06985415	0.941581995963822	JAKMIP3	10	133955411
cg06987504	0.187294624225636	EIF3E	8	109261215
cg06990298	0.0940404180152177	RASD1	17	17399700
cg06990379	0.0142173781138606	DPYD	1	98386209
cg06992027	0.0187004191455718	TAGLN2	1	159895302
cg06993413	0.0337268268187389	DPP8	15	65810204
cg06994747	0.0773071092402017	ADAMTS10	19	8675639
cg06994793	0.0108078161039885	TMCO6	5	140018911
cg06995715	0.155223260882804	FOXL1	16	86612590
cg06999776	0.068079967893445	SEMA4F	2	74881146
cg07000551	0.021621460774842	BMF	15	40401297
cg07000785	0.032445258690067	GADD45A	1	68150823
cg07000831	0.013602241275915	SETDB2;CAB39L	13	50018514
cg07003563	0.0559705348238487	CAPZA1;ST7L	1	113161334
cg07004820	0.0166048587839464	TGFA	2	70780451
cg07005513	0.0983078284707078	FADS2	11	61595956
cg07005767	0.910913802203843	ABRA	8	107782538
cg07006042	0.131687501450184	ATP1B3	3	141595655
cg07006526	0.00719770539324031	SMTN	22	31477053
cg07007400	0.235892389427263	KRT7	12	52626831
cg07008350	0.946593896537566	NA	NA	0
cg07008386	0.0244223505998699	PLCB1	20	8113630
cg07009002	0.0643862572810846	MB	22	36019632
cg07011110	0.857792494606716	BTN1A1	6	26500482
cg07011445	0.0222741055408081	NSMCE4A	10	123734712
cg07013734	0.0362346075327116	TRPC6	11	101454683
cg07014174	0.129866516494951	KRTAP11-1	21	32253760
cg07015079	0.114073076524688	ANKRD35	1	145549441
cg07015629	0.0167142647682503	ERBB4	2	213403212
cg07016325	0.00956892467231794	PAPOLA	14	96968745
cg07017374	0.0181963118519629	FLT3	13	28674451
cg07017477	0.141209932618776	THEM4	1	151882157
cg07017706	0.86474992385498	KRT73	12	53013331
cg07018708	NA	PLAGL1	6	144334983
cg07020407	0.00633714378685861	PDCD6	5	271807
cg07020962	0.0192306954362899	MAPRE2	18	32621292
cg07022477	NA	HIF3A	19	46798869
cg07022885	0.0104111071742887	KIAA0652;HARBI1	11	46638638
cg07026910	0.875443133746659	INPP5D	2	234070710
cg07027075	0.0757240742077081	LIAS;RPL9	4	39461721
cg07027513	0.353636010402778	B4GALT6	18	29265840
cg07027685	0.0655006969522326	IARS;SNORA84	9	95055737
cg07028533	0.0124548889942226	CNTNAP2	7	145813439
cg07028869	0.0845231570477765	DNAJC22	12	49741164
cg07029998	0.0761365000775596	MTOR	1	11322191
cg07031532	0.233311096685524	OAZ2	15	64995684
cg07031996	0.0212751762311997	MTF1	1	38324738
cg07033083	0.256317491576826	NA	NA	0
cg07034269	0.0313005005143358	UGGT1	2	128848528
cg07034561	0.0130736064390503	RSPH1	21	43916159
cg07035740	NA	EIF4E1B;SNCB	5	176057740
cg07036530	NA	GPR26	10	125425262
cg07036775	0.017930478526621	ANKRD34A;POLR3GL	1	145470395
cg07038400	0.229325881930637	PPP2R3A	3	135684163
cg07038617	0.0247079167044151	ABCF2	7	150924392
cg07038887	0.0219383450295832	BLMH	17	28618554
cg07039113	NA	S100A9	1	153329013
cg07039362	0.935591001139258	CES7	16	55908870
cg07042144	0.699818783514357	NLRP12	19	54327404
cg07043494	NA	HRH1	3	11293681
cg07044282	0.649282266668353	ANGPTL1;RALGPS2	1	178840137
cg07047653	0.939968006048832	AQP2	12	50344626
cg07048066	0.029029294928039	FAM13B	5	137368956
cg07048351	0.00830556825913349	NA	NA	0
cg07049929	0.0339236420905864	ABCD4	14	74769676
cg07050831	0.0952201349080835	C7orf55	7	139025240
cg07051140	0.0136331613730624	AGXT2L2	5	177659229
cg07051960	0.773062199104958	ATP1A3	19	42499619
cg07052087	0.0107891784136299	NA	NA	0
cg07052387	0.0231078565596573	HIF1A	14	62161848
cg07052880	0.923801875758207	ATP6V1B1	2	71161697
cg07053469	0.0122027820873736	EID2B	19	40023281
cg07054095	0.0152388712086653	ZNF549	19	58038856
cg07054526	0.93762068130643	BRCA1	17	41272508
cg07054641	0.776704451374814	WDR52	3	113160554
cg07054788	0.0440312934865656	RPL5	1	93297504
cg07056057	0.922344126637732	DYNLL2	17	56159620
cg07057831	NA	STX2	12	131323042
cg07059052	0.0226220260225031	TCEB2	16	2828302
cg07059360	0.120100523540616	POLR3D	8	22102032
cg07059403	0.0689759954048327	C6orf70;TCTE3	6	170151533
cg07059875	0.0506643663608217	EPCAM	2	47596073
cg07060572	0.0598208194213046	MAML2	11	96076205
cg07061145	0.864640833695885	DNAJA4	15	78556178
cg07061913	0.0224471609548134	DNAJC9	10	75006462
cg07063745	0.0534102847082078	LANCL1;CPS1	2	211341572
cg07064406	0.95790074842261	YWHAB	20	43513064
cg07065941	0.0446199265288844	KLF10	8	103667760
cg07066326	NA	CHID1	11	910094
cg07067241	0.0446077274208281	TRPC1	3	142442711
cg07068616	0.0309040018014112	ORC5L	7	103848319
cg07068998	0.0734312955218926	NRAS;CSDE1	1	115259668
cg07070694	NA	ZFYVE1	14	73493830
cg07070934	0.0280658297475832	GJA4	1	35258435
cg07070940	0.0159421888290188	HDHD1A	X	7065614
cg07071881	0.0158071105510138	FBXO7	22	32871139
cg07072140	0.00964056309470784	NANP	20	25603976
cg07072643	0.41179487274527	EMR3	19	14785593
cg07073964	0.818252093427674		19	698371
cg07074571	0.30344433883023	AGPAT4	6	161695561
cg07075930	0.0163020959873606	PTPRM	18	7567717
cg07076342	0.0276693126001534	KLHDC3;MEA1	6	42981435
cg07077459	0.696600431427191	HYMAI;PLAGL1	6	144329052
cg07078114	NA	FAM69B	9	139606202
cg07080007	0.0210473054020869	RPL27	17	41150154
cg07080358	0.016817238317684	CNRIP1	2	68546507
cg07080946	0.636590708770352	LUC7L	16	280046
cg07081888	0.964419285333875	NA	NA	0
cg07082331	0.0512149805732815	NA	NA	0
cg07084161	0.0194188734604041	NBN	8	90996382
cg07084163	0.397214479397609	UGT3A2	5	36066783
cg07084709	NA	GCOM1	15	57883511
cg07084746	0.826279964551798	C3orf27	3	128294647
cg07085271	0.778309618708662	NA	NA	0
cg07086380	0.947253244240359	TNFAIP8	5	118691033
cg07086898	0.014826577801564	PDCD11;USMG5	10	105155966
cg07090813	0.0547984845804611	PHGDH	1	120254330
cg07091552	0.900984182343013	UCP3	11	73721170
cg07091958	0.023193775569693	RTF1	15	41709524
cg07092725	NA	KCNH5	14	63568796
cg07093046	0.00966618789767868	MTR	1	236958653
cg07093661	0.944204812507227		19	49434074
cg07097098	NA	PTPRH	19	55721638
cg07098866	0.0102224373547224	NA	NA	0
cg07099407	0.0228952700631502	KLC4;MRPL2	6	43027930
cg07099627	0.0111438103484831	LPPR2	19	11466020
cg07102705	0.0440586475211117	HTR4	5	148033896
cg07103493	0.0375266322983751	SLC27A6	5	128301232
cg07103819	0.0109754626748208	DGAT1	8	145550365
cg07104706	0.144284539254124	SLITRK1	13	84456127
cg07105440	0.00934310144546546	CISH	3	50648946
cg07107453	0.176770497366695	IFI44	1	79114976
cg07109287	0.0175963904508718	NA	NA	0
cg07109670	0.04462069749416	WDR67	8	124085299
cg07109801	0.0997059671971527	MIR425;DALRD3;NDUFAF3	3	49057661
cg07112154	0.0573278073911501	MPP2	17	41985074
cg07112210	0.171714178366904	MGAT5B	17	74864065
cg07113600	0.0138094063235685	KLF12	13	74708194
cg07114024	NA	BAHD1	15	40733806
cg07114894	0.0567206233689085	ZNF23	16	71495698
cg07115304	0.0168665542492267	TRIB3	20	361903
cg07115558	0.0930823961833132	TLE2	19	3029503
cg07115820	0.844167083710069	EPX	17	56270249
cg07117700	0.678608695284393	PSMC5;FTSJ3	17	61903327
cg07118243	0.0159046519767895	CCDC41;LOC144486	12	94853994
cg07118638	0.0228354279753071	ERI1	8	8860201
cg07122126	0.0100233170639522	ZNF8	19	58790422
cg07122495	0.0118397317820768	NA	NA	0
cg07123069	0.322394130524301	HOXC11	12	54367250
cg07123548	0.70752674489553	HIPK4	19	40896163
cg07125009	0.0132479515473928	ZNF689	16	30621667
cg07125123	0.0407000005705928	RRM2B	8	103251646
cg07125166	0.953692577140192	FBXW12	3	48413613
cg07125991	0.00603826066513753	PLBD2	12	113796636
cg07126559	0.377646807051033	SGCG	13	23754937
cg07126839	0.00724525057794584	FAM100B	17	74261637
cg07127225	0.0172078244236776	FCGRT	19	50016538
cg07127957	0.866952898167819	SYNPO2L	10	75411571
cg07128330	0.0154366157815119	ITFG2	12	2921958
cg07129274	0.121272151518248	NA	NA	0
cg07131544	0.775776124429105	NCR2	6	41303030
cg07132517	0.00558339759597455	TSPAN4;POLR2L	11	842517
cg07133445	0.0171903054075171	SOLH;C16orf10	16	578352
cg07136161	0.708573073063418	NA	NA	0
cg07136254	0.448731434487137	HFE2	1	145412774
cg07136421	0.949560550276284	NA	NA	0
cg07137581	0.0460765384877162	FAM123B	X	63425776
cg07138512	0.0604795592839231	RAP1GAP	1	21996317
cg07139440	0.0210612152297128	CDC42SE1;MLLT11	1	151030981
cg07141002	0.0724325897738157	H1F0	22	38201690
cg07142319	NA	PLA2G2D	1	20446657
cg07143898	0.0224796856436386	SLIT1	10	98945300
cg07146718	0.25594575431794	FGF13	X	137820752
cg07147350	0.135037304693318	ASFMR1;FMR1	X	146992908
cg07148914	0.0075664904964437	GGT7	20	33460835
cg07149772	0.0332414163521191	KCTD9	8	25314972
cg07150830	0.980034756459393	NOS2	17	26127542
cg07152925	0.535030715958326	S100B	21	48024683
cg07153965	NA	ACRV1	11	125552087
cg07154408	0.0771076993359701	PDE5A	4	120549556
cg07155664	0.0173780692822681	RPS14	5	149829590
cg07156669	0.718089656238894	CPD	17	28705245
cg07158339	NA	FXN	9	71650237
cg07159490	0.0137259576055855	NXPH4	12	57610078
cg07160163	0.00859453326563684	SYK	9	93563778
cg07163603	NA	HLA-A	6	29910051
cg07165793	0.0184987085105181	SYNRG	17	35969650
cg07168556	0.700467118692983	WFIKKN2	17	48912483
cg07172256	0.0411399279493435	ERBB2IP	5	65220910
cg07172280	0.0127476718999002	DPP7	9	140009455
cg07173760	0.467649952459242	CLC	19	40229266
cg07175007	NA	UHMK1	1	162467185
cg07175883	0.254071768157444	HOXD13	2	176957908
cg07177300	0.0331179783193558	FRMPD4	X	12156499
cg07177755	0.0207809505090405	ERCC5	13	103498027
cg07177852	0.435845452762971	CCDC68	18	52626476
cg07179770	0.0259056223936632	KLHL36	16	84681994
cg07180649	NA	WNT4	1	22470290
cg07181349	0.0148240779404759	NA	NA	0
cg07181881	0.062668638648202	KLHL23	2	170591239
cg07184439	0.00969918102554283	RPL36AL;MGAT2	14	50087799
cg07185695	0.276479605372661	MOSC1	1	220959586
cg07186138	0.734295126507642	APOBEC3C	22	39410396
cg07186707	0.0300069606466875	PAK4	19	39616465
cg07189381	0.081075077401833	TNNT1	19	55660514
cg07190485	0.0079070756975945	STOM	9	124132159
cg07190917	0.0170750768617109	STX4	16	31045100
cg07191600	0.0108326562905294	TRERF1	6	42421243
cg07192857	0.0489968523921533	HSPA1B	6	31795181
cg07193504	NA	SRP9	1	225964856
cg07195282	0.0135621458811383	ZNF563	19	12444484
cg07195577	0.0221427967413081	TLCD1	17	27052828
cg07195622	0.0458485833089696	SRRM2;LOC100128788	16	2803408
cg07196761	0.447441146531839	CHCHD8;PAAF1	11	73586776
cg07197059	0.803498328043138	EFS	14	23836012
cg07197823	0.0514620849381123	INHBB	2	121103050
cg07200280	0.194707765922728	RFTN1	3	16554619
cg07200897	0.0414476545259715	DIRC2;HSPBAP1	3	122512821
cg07204803	NA	ARL13B	3	93698231
cg07207789	NA	CRISPLD2	16	84852909
cg07207937	0.0308793568469572	MRPL1	4	78783799
cg07209631	0.263750329916229	PPM1K	4	89205728
cg07210490	0.00833561647111914	SMARCD1	12	50479634
cg07211259	0.569483605624572	PDCD1LG2	9	5510497
cg07212894	0.09122630988813	SLC38A3	3	50243021
cg07214572	0.0177369419694541	LHX9	1	197881353
cg07215749	0.022167015265108	SOCS2	12	93965475
cg07218192	0.0301807601369828	MPP5	14	67707706
cg07218880	0.119884341095861	UPF3A	13	115046279
cg07220442	0.0248038911494802	NUP107	12	69080635
cg07220939	0.75179778181999	SLC22A12	11	64358617
cg07221454	0.961456268218054	MS4A10	11	60552841
cg07223164	0.038663470666104	OSTC	4	109571402
cg07230446	0.0332393866478426	GIGYF2	2	233561722
cg07231132	0.0132280318604756	TMEM92	17	48350498
cg07232688	NA	LRRC39	1	100644688
cg07233761	0.0839012492530758	ESM1	5	54281437
cg07236190	0.703432512356364	AMDHD1	12	96338038
cg07236358	0.0179738523504104	POP5	12	121019192
cg07236381	0.0193404699251462	NA	NA	0
cg07236769	0.64756265369803	NA	NA	0
cg07236943	0.0887751427563116	SGCE;PEG10	7	94284486
cg07237830	0.114552095763658	BSCL2;GNG3	11	62474725
cg07237939	0.137355510199946	SLC22A3	6	160769754
cg07238167	0.478808557787658	NA	NA	0
cg07239938	0.146653294794138	ELANE	19	852813
cg07240721	0.0306043395439335	HINT3	6	126278255
cg07241568	0.0211309478040201	ABO	9	136150823
cg07242375	0.217708549643553	PRICKLE3	X	49042556
cg07242414	0.276968571236298	BMP1;SFTPC	8	22021845
cg07242565	0.0271610758259637	NR2F6	19	17356142
cg07243519	0.0861889513415545	UFM1	13	38924018
cg07243932	0.0107694277956672	SLC30A4;C15orf21	15	45814527
cg07246225	0.0482383552151888	ZEB2	2	145277659
cg07248043	0.0142168127622098	OSBPL11	3	125314337
cg07248310	0.0145044594012267	HOOK1	1	60280716
cg07248407	0.0132684391257122	MIR638;DNM2	19	10829176
cg07249409	0.00788462772858289	C1orf123	1	53686008
cg07251788	NA	CLTCL1	22	19280165
cg07251857	0.893340047419986	ALPK3	15	85360217
cg07253191	0.120563405394127	PDHX;APIP	11	34936862
cg07256847	0.441116039860043	NA	NA	0
cg07258507	0.682708262921004	IL25	14	23842125
cg07259382	NA	MARCH1	4	164536228
cg07260017	0.8377567145052	CSF1R	5	149492480
cg07260592	0.32069845063766		6	161100122
cg07263984	0.0102585204467744	ATG12;AP3S1	5	115177777
cg07264679	NA	CD163	12	7657396
cg07265300	0.0290969840974283	PFN4;LOC375190	2	24346000
cg07265310	0.793524455484225	KRT78	12	53242922
cg07265622	0.0485616888035187	C17orf100;MED31	17	6554855
cg07267296	0.0194577930374159	INTS9;HMBOX1	8	28748995
cg07269146	NA	CCL21	9	34710657
cg07270175	0.0946259989416723	NOC3L	10	96123049
cg07271264	0.0414430223437653	MYOD1	11	17740977
cg07271268	0.0125667432582794	KDM5A;CCDC77	12	498129
cg07273415	0.0410623269793589	TMEM138;CYBASC3	11	61130067
cg07274506	0.0114774252092998	TAS1R1;NOL9	1	6614341
cg07276902	0.0192515923551014	NA	NA	0
cg07278207	0.0135591623890427	DNAJC24;DCDC1	11	31391293
cg07278624	0.0508862351528032	TCP11L2	12	106696673
cg07281640	NA	IKBKAP;C9orf6	9	111695707
cg07281688	0.0399135822142485	PTGES3	12	57082442
cg07284407	0.50218143524895	GNAS	20	57429858
cg07284558	NA	STK32C	10	134122421
cg07285167	0.893558442602053	CSF3R	1	36948981
cg07285276	0.927708767527481	RAPGEF1	9	134613015
cg07285838	0.0484292910869541	C4orf29;MFSD8	4	128886005
cg07285953	0.959253325304577	CRYBA1	17	27572551
cg07288394	0.0430615411893339	C19orf12	19	30205772
cg07288587	0.0116446470130626	CSNK1G1	15	64648415
cg07289581	0.0194157614134591	MRPS35	12	27864261
cg07290273	0.0259294476926255	TMEM17	2	62733114
cg07290435	0.195454220744332	NA	NA	0
cg07291563	0.0120010120660742	GRWD1	19	48949441
cg07292816	0.873759953652977	EFCAB3	17	60457116
cg07293947	0.0184245000295671	SFXN1	5	174905244
cg07294541	0.0151712910279047	DEF6	6	35265555
cg07294734	0.180078371519139	ATP5D	19	1242323
cg07294774	0.0621035756075885	DIO2	14	80678613
cg07294870	0.0282634771744825	PIGT	20	44044586
cg07295034	0.013665949187788	SMG1	16	18937261
cg07295092	0.0222412863783935	FPGS	9	130565376
cg07295678	0.0161644759972904	DPYSL4	10	134000009
cg07296772	0.728850686040832	MDP1;CHMP4A	14	24683528
cg07297178	0.949671297424066	CEACAM7	19	42193084
cg07297906	0.303378092371459	GPC3	X	133119578
cg07299462	NA	MED8;C1orf84	1	43855490
cg07300408	0.705391518601741	RNASE12;RNASE11	14	21058360
cg07301004	0.0437051998622844	ARPC3	12	110887501
cg07301822	0.0632904645602962	NA	NA	0
cg07306197	0.0123502172845349	ZNF266	19	9546377
cg07307078	0.833177071802808	TUBB6	18	12307630
cg07308943	0.0187881011176642	TRMT61B	2	29093510
cg07309102	0.00911943056769263	KLF4	9	110251826
cg07309361	0.00557092416882997	PCBP4	3	52001477
cg07309374	0.0547568925315796	PDIA5	3	122786091
cg07310661	NA	CUL3	2	225449833
cg07310951	0.338020240641996	PEG3;ZIM2	19	57350503
cg07311845	0.0545758184921316	TMLHE	X	154842736
cg07312445	0.0129942778001967	NSUN7	4	40752151
cg07313155	NA	THRA	17	38218601
cg07314337	0.00935743957836776	ARL6IP6;PRPF40A	2	153574424
cg07314414	0.034185678008828	SAP130	2	128784923
cg07314549	0.0173758052398501	ERI2;LOC81691	16	20817501
cg07314984	0.322114407166501	PHKA2	X	19003243
cg07315298	0.942172137524625	NA	NA	0
cg07315445	0.0119235935684342	MYL6	12	56551994
cg07318658	0.0155537213851872	MTMR4	17	56594994
cg07321605	0.331164236155447	NA	NA	0
cg07322981	0.0204831306707816	RNF103	2	86850757
cg07326074	0.0122872374224421	C16orf59	16	2510388
cg07326586	NA	UBD	6	29528119
cg07327328	0.0329285150877393	CEP250	20	34042631
cg07327347	NA	AQP8	16	25228004
cg07327468	0.77565460956034	EYA4	6	133561765
cg07328495	0.0320136260564664	SMC2	9	106856765
cg07328579	0.45253161312748	GLT8D2	12	104443770
cg07330329	0.0446210007947215	NA	NA	0
cg07330718	0.0159112154501605	HYOU1	11	118927777
cg07331725	0.95712494102113	SERPINB5	18	61157478
cg07331806	0.347545240376176	AIFM3	22	21319894
cg07334912	NA	DTD1	20	18569196
cg07336230	0.00703701175187194	KIF6	6	39693357
cg07337598	0.2322775063229	ANXA9	1	150953943
cg07338205	0.381780966278871	G6PC2	2	169757780
cg07339138	NA		3	42820274
cg07339327	0.947910867195372	NA	NA	0
cg07341907	0.0153662183995187	UNC13B	9	35161971
cg07342016	0.483484538947889	RAB33A	X	129306129
cg07342545	0.0162543851221428	FOSL2	2	28616193
cg07342901	0.278059795351793	H19;MIR675	11	2018724
cg07346310	0.0714182024348393	RBM24	6	17282354
cg07347137	0.0129288499895768	ZCCHC11	1	53019316
cg07347645	0.244255234733418	SYCP2	20	58507171
cg07347725	0.0425828504120002	MORN5;NDUFA8	9	124921437
cg07348311	0.0169067913325693	IFIH1	2	163174896
cg07349094	0.809267405078663	AFF3	2	100759014
cg07351267	0.62439458114899	LRP3	19	33684846
cg07352586	0.0110723483782279	KIAA1919	6	111580316
cg07352600	0.02988633285449	C16orf70	16	67143525
cg07354209	0.209178492606683	NA	NA	0
cg07354440	0.89496037351015	NDUFS2;ADAMTS4	1	161168889
cg07355551	0.0214872935042433	ZNF343	20	2489285
cg07356189	0.982846591814335	TEX28;TKTL1	X	153523329
cg07356753	0.0111196837572588	GBE1	3	81810745
cg07356771	0.0174194854405468	IL17RB;CHDH	3	53879950
