Hybridization REF	TCGA-BH-A0DO-01B-11D-A12E-05	TCGA-BH-A0DO-01B-11D-A12E-05	TCGA-BH-A0DO-01B-11D-A12E-05	TCGA-BH-A0DO-01B-11D-A12E-05
cg02801485	0.0244956455949293	STRADB;TRAK2	2	202317001
cg02801598	0.0250974341464412	PDP2	16	66914223
cg02802055	0.0202223451264967	C9orf78;USP20	9	132597094
cg02803836	NA	MGMT	10	131412507
cg02804166	0.513378888908988	PHF6	X	133506996
cg02805028	0.634794610922945	GSG1L	16	27899239
cg02806093	0.0321942873937567	RAB2B;TOX4	14	21944967
cg02806658	0.0230315300147934	C12orf48;NUP37	12	102513592
cg02806777	0.785409885140149	NA	NA	0
cg02807450	0.149259723008188	NA	NA	0
cg02807948	0.193392691011473	INS-IGF2;IGF2	11	2153991
cg02809263	0.034541872695817	LRRC40;SFRS11	1	70671218
cg02810134	0.927986454193815	TNNC2	20	44455922
cg02810773	0.0113242647937311	ITPA	20	3190112
cg02811755	0.0150521256607163	AKAP10	17	19880691
cg02812142	NA	ACMSD	2	135595323
cg02813021	0.0225149076172227	ZMYND11	10	180599
cg02813121	NA	S100A12	1	153348911
cg02813863	0.851771427590451	APOLD1	12	12938287
cg02815516	0.741241267466958	KANK2	19	11306319
cg02818322	0.457515417665568	MAGEC3	X	140926409
cg02822723	0.0276003069102129	BRD9;TRIP13	5	893431
cg02823866	0.0301327561654	CD274	9	5450410
cg02825709	NA	ZNF75A	16	3354207
cg02827112	0.0242281847245751	SMARCAD1	4	95129403
cg02827328	0.0132897306618548	TRIM14	9	100881403
cg02828104	NA	TMEM189;TMEM189-UBE2V1	20	48770800
cg02829654	0.0329829502921793		1	236046939
cg02830467	0.720129352055245	MYCT1	6	153018721
cg02831294	0.511096825061374	CALML3	10	5566862
cg02831393	0.0178758124658268	PAFAH1B2	11	117014616
cg02831604	0.478515510121334	ISL2	15	76628725
cg02832245	0.021006160287821	EXOSC9	4	122722866
cg02833180	0.913444998135358	PLCL1	2	198815064
cg02833725	0.209370039381636	ISG20L2;C1orf66	1	156696768
cg02836529	0.0606084198474423	NEUROD1	2	182544413
cg02838492	0.490945542845762	KIF12	9	116861288
cg02838877	0.16860090372774	MBNL2	13	97873877
cg02840794	0.0150003649708332	HPS6	10	103825777
cg02841886	0.0346692948827854	RFX1	19	14117094
cg02841933	0.0110263037488149	NRF1	7	129251651
cg02844051	0.939381498185724	DMKN	19	36004233
cg02844545	0.37355404555219	GCM2	6	10882043
cg02844629	0.0317658561753722	TTC13;ARV1	1	231114732
cg02845923	0.801185320253067	NA	NA	0
cg02847216	0.878688026059045	CTAGE1	18	19997803
cg02847500	0.523875197087892	SOX3	X	139587184
cg02848777	NA	TLL2	10	98273714
cg02849695	0.144066448207731	CCDC19	1	159869960
cg02850329	0.0557599391778454	RCAN3	1	24829455
cg02850821	0.061155752023256	KRAS	12	25403680
cg02854090	0.782015851238641	HIST1H2AA;HIST1H2BA	6	25726895
cg02854288	0.0579788919356053	FHIT	3	61236911
cg02855426	0.296644003193579	NA	NA	0
cg02856727	0.564256382861609	GH2	17	61959416
cg02859934	NA	NAGPA	16	5083072
cg02860342	0.470925015039719	HCN4	15	73661484
cg02860543	0.281119349985315	IGF2BP3	7	23510648
cg02861781	0.115587358371923	GJB2	13	20767498
cg02862153	0.0355724323461517	CUX1	7	101459386
cg02862362	0.927001550681475	ARG1	6	131895102
cg02862835	0.0430202367568423	MMAB;MVK	12	110011242
cg02863237	0.0167273096418137	RBM17	10	6131472
cg02863842	0.0114393865324528	PVRL2	19	45349685
cg02863947	0.927325653127719	NR1I2	3	119499190
cg02865818	0.00884613278140023	WWC1	5	167719214
cg02867079	0.0374721732571391	HHIPL1	14	100111269
cg02868123	NA		2	79382913
cg02868306	0.040134122221468	RAB11B	19	8455008
cg02868338	0.0200941125483525	EXOSC4	8	145133133
cg02870945	0.0301528153268884	REEP1	2	86565124
cg02873524	0.220334254851715	PAPPA	9	118916493
cg02874605	0.0452547595180083	DEPDC4;SCYL2	12	100661778
cg02875297	0.409679052029834	RLN2	9	5304611
cg02875404	0.947670351384073	VN1R1	19	57966896
cg02876062	0.951561731800074	FAM107B	10	14816654
cg02878987	0.0795123651397067	AIDA;C1orf58	1	222885407
cg02879662	0.136053642274364	HIF3A	19	46800467
cg02880176	NA	PLD6	17	17109817
cg02880679	0.443366540486584	MBTD1	17	49295615
cg02882813	0.737345060784059	CST5	20	23860078
cg02883161	0.0537683912014164	MSI1	12	120807618
cg02883230	0.0819716844370863	PARP6	15	72564263
cg02883621	NA	S100P	4	6694923
cg02885771	0.357703568652131	LTV1	6	144163654
cg02886284	0.0180088494204635	CPE	4	166300290
cg02887841	0.127625978077405	TBX1	22	19744670
cg02888247	0.120466632639956	C6orf62	6	24719235
cg02889982	0.345350119897729	MPRIP	17	16946247
cg02890926	0.0109786047999987	TMEM53;C1orf228	1	45140355
cg02899723	0.987441603873254	DDX4	5	55033614
cg02899772	0.279607732854605	NECAB2	16	84002599
cg02900980	0.0126912737756102	FOXP1	3	71633249
cg02901122	0.0186772532874758	RPRD1A	18	33647344
cg02901159	0.016151895983626	CLNS1A	11	77348811
cg02901679	0.942491667389736	NA	NA	0
cg02902770	0.93828152084798	RARRES2	7	150039406
cg02903525	NA	C5AR1	19	47813489
cg02904235	0.0212026029102448	RPS6KA5	14	91527369
cg02904365	0.0195245764048625	DNAJC11	1	6761379
cg02905245	0.107336048716223	CCDC80	3	112359652
cg02905881	0.0431025634870238	MSH6	2	48009730
cg02906238	0.0421886526699223	TFCP2L1	2	122042701
cg02906939	NA	HNMT	2	138721315
cg02907300	0.0220465551869588	TCEB3	1	24069649
cg02909042	0.0159733269473548	MAPK1IP1L	14	55518132
cg02909790	0.130562221588875	HIST1H3G	6	26271587
cg02910574	0.439535209480801	C16orf55;CHMP1A	16	89725401
cg02912041	0.663808514946044	TMEM207	3	190167563
cg02913089	0.0774560086367611	PDE8A	15	85525744
cg02913364	0.054093632074882	UBE2J2	1	1208573
cg02914379	0.215433070485256	MDFI	6	41605784
cg02914419	0.0320321202756964	ASNA1	19	12848364
cg02915261	0.00994786767707625	LSR	19	35739762
cg02915544	0.563291868558527	FOLH1B	11	89392829
cg02915837	0.069738046637623	TEAD4	12	3069243
cg02916816	0.287542751485684	JPH4	14	24047021
cg02917064	0.0199334596375304	SMARCD3	7	150974464
cg02917381	0.0212891040804649	MEIS2	15	37393188
cg02917772	0.0514564625141664	CTH	1	70876623
cg02917972	0.0637878924238776	ZCCHC11	1	53018259
cg02918483	0.0411850235600193	FAM175A	4	84406202
cg02919422	0.524961559662658	SOX17	8	55370544
cg02920216	0.171550754339512	CHODL	21	19616939
cg02921068	0.0143372159553222	NA	NA	0
cg02921257	NA	XIRP1	3	39233858
cg02922563	0.0306508266368952	ATRIP	3	48487808
cg02924961	0.0563206157517358	HIST1H2BC	6	26125480
cg02927346	0.0993021951802282	RASL10B	17	34059260
cg02929869	0.0103400418428774	PFN2	3	149688583
cg02930996	0.300897404197214	B4GALT6	18	29265842
cg02932167	0.787117118340861	ECEL1	2	233352951
cg02932669	0.122346481582334	NALCN	13	102068258
cg02932689	0.0608396708342418	FBXO31;MAP1LC3B	16	87425223
cg02936263	0.570569966262632	CCL7	17	32596886
cg02936468	0.0178789799021244	C9orf41	9	77642970
cg02936740	0.471506333072775	TMPRSS11F	4	68995995
cg02936872	0.0102125612730598	CTSL2	9	99801550
cg02937060	0.117825555812911	NA	NA	0
cg02937102	0.724435081023385	SCML4	6	108093229
cg02937479	0.0373498961013381	FKBPL	6	32098034
cg02938601	0.375936341852652	TNFRSF10C	8	22961088
cg02939139	NA	RASAL1	12	113574204
cg02940164	0.015097517266134	PGAP2	11	3829971
cg02941816	0.0169364594941606	MGMT	10	131265696
cg02942159	0.0242428068697089	RPS6	9	19379994
cg02943497	0.0356997032876253	PARP4	13	25087090
cg02944057	0.0276403503350193	NUDT3	6	34359501
cg02945019	NA	CD84	1	160550488
cg02945646	0.110517773255035	AP1G2	14	24037169
cg02946570	NA	C2orf43	2	21023387
cg02946754	0.0147433141502139	DCLRE1A;NHLRC2	10	115614308
cg02946850	0.405057495314326	GRM8	7	126882944
cg02947222	0.0192826721263672	PHLDA1	12	76425514
cg02947253	0.894521915634599	ADORA3	1	112046700
cg02947354	0.861164017016795	NA	NA	0
cg02949544	0.055652684282152	MYST2	17	47865858
cg02951021	0.166842625621231	DYNLL1	12	120934296
cg02953306	NA	CHRNA2	8	27336626
cg02955504	NA	TXNL4A	18	77749374
cg02955988	0.513707043815742	NA	NA	0
cg02956093	0.117963463829165	AKT1	14	105261335
cg02956481	0.0218810798367592	C19orf55	19	36249454
cg02957086	0.0655757486182905	AXIN2	17	63558047
cg02959669	0.019540571551543	ZNF256	19	58459358
cg02961200	0.0319789103051184	LOC100130691;AGPS	2	178257176
cg02962299	0.00880794898329417	KIN;ATP5C1	10	7829899
cg02962602	0.0485666247212242	CCDC57	17	80171413
cg02963198	0.01041517870923	NOTCH2NL	1	145209830
cg02964385	NA	STK38	6	36515676
cg02964389	0.0157465562000563	PSMD9	12	122326713
cg02965078	0.297997383028286	GPR44	11	60623504
cg02966329	0.0414973296898563	TTK	6	80714474
cg02966851	0.585942981151221	NA	NA	0
cg02968557	0.851150247730358	HSPB9	17	40275126
cg02972551	0.0513187235837016	KDM3A	2	86668068
cg02973263	0.0238586813284835	PRKCI	3	169940162
cg02973416	0.0295695153300064	SLC25A22	11	796069
cg02973883	0.907081472996884	DCAF4	14	73392314
cg02973971	0.362301396593534	LOC100272228;CXorf40B	X	149106460
cg02975142	0.0163466627436611	FLCN	17	17140597
cg02975259	0.0139413248383224	NCK1	3	136581033
cg02976090	0.0861415681030782	NIPAL3	1	24742249
cg02976574	0.971578512677258	FNDC3B	3	171830293
cg02976617	0.0300837685079394	NUDT12	5	102898463
cg02978542	0.0137585114768883	MTHFR;CLCN6	1	11866085
cg02978737	0.664245651529116	PVALB	22	37216067
cg02981703	0.626418987469275	CA6	1	9005734
cg02981853	0.586285045820388		19	7445850
cg02982690	0.0478133148280583	BHLHE22	8	65492846
cg02982734	0.587924892299616	MAGEL2	15	23891048
cg02983451	0.0579308416190596	KLF11	2	10183013
cg02987051	0.0176137201663531	IER3IP1	18	44702545
cg02987163	0.0520839798279164	DUSP14	17	35849291
cg02988947	0.712586583343026	LIMD2	17	61778813
cg02989257	NA	COL16A1	1	32169274
cg02989940	0.297837450341683	AHSP	16	31539234
cg02990033	0.48749418921695	GFRA4	20	3643863
cg02990567	0.0148283430820704	RGL2	6	33266961
cg02990612	0.421783413290856	NA	NA	0
cg02992596	0.465851622133391	RBM46	4	155702220
cg02992632	0.0284460371669289	FGF12	3	192445380
cg02992647	0.734120077533354	DDX52	17	36004446
cg02992767	0.571170881118298	CD40LG	X	135729973
cg02994216	0.0214989111502751	RALB	2	121010979
cg02994956	0.577578903620948	NEFH	22	29876534
cg02994974	0.230695079105025	SPON1	11	13984544
cg02995130	0.0197786359827027	CLIP1	12	122906407
cg02995295	0.205025126263821	FAM124A	13	51796962
cg02995853	0.105942737767546	APBB3;SLC35A4	5	139944272
cg02998425	0.672418204468023	ADAM21	14	70924204
cg03000603	0.0387587006308276	DHX34	19	47852595
cg03000846	0.227669870896621	RAC3	17	79990263
cg03001305	0.130643212672299	STAT5A	17	40439492
cg03001647	0.0358185357009608	MPZL1	1	167691881
cg03002480	0.0264538029076997	UBR1	15	43398338
cg03003060	0.382378437151801	GPM6B	X	13956166
cg03003256	0.384268848611378	FAM26D;BET3L	6	116849557
cg03003745	0.267336705944592	CXCL17	19	42948167
cg03005055	0.0252026691164929	HSPA2	14	65006951
cg03005261	0.196344292722202	CCDC109B	4	110480828
cg03007010	0.03041398358608	SNX26	19	36266840
cg03007571	0.0203511210429082	HIST1H2BD	6	26157673
cg03011500	0.0210545588404854	CGN	1	151484243
cg03012280	NA	ZFYVE19;DNAJC17	15	41098255
cg03013422	0.0554401120913693	AACS	12	125550350
cg03014628	0.218992926540304	RAB3C	5	57879001
cg03014680	NA	CLEC12A	12	10122522
cg03014957	NA	DEFB118	20	29956062
cg03016571	0.848953669254535	C17orf73	17	48844124
cg03017264	0.266250157456613	NFAM1	22	42829748
cg03017475	0.660342619768341	NA	NA	0
cg03017653	0.425427356329045	TTC13;ARV1	1	231115871
cg03017946	0.803822956799726	NPFFR2	4	72897281
cg03019000	0.455856876192958	TEX264	3	51704351
cg03020271	0.0537210468656501	PLIN3	19	4867550
cg03020597	0.182076408132364	SLITRK2	X	144898810
cg03020951	NA	HMGA1	6	34203887
cg03021690	NA	TNFAIP2	14	103591964
cg03021892	0.490376636848378	SLC38A5	X	48329278
cg03022541	0.536218688651309	DNAJB8	3	128186859
cg03024246	NA	JRKL	11	96124628
cg03025569	0.845921285333079	TRIM16	17	15586426
cg03026462	0.0121007401255507	FOXA1	14	38064490
cg03027037	0.0236179564520645	NAPB	20	23402404
cg03028472	0.0290521554329367	RERG	12	15374462
cg03029060	0.0246108493282312	ZNF184	6	27441036
cg03029145	0.0250439264179804	SMAD2	18	45456587
cg03029616	0.752587504248678	KRTAP6-1	21	31986034
cg03030757	0.0339294312984359	FANCE	6	35420754
cg03032025	0.328862325186221	CPEB4	5	173316748
cg03033367	0.672342480056433	NA	NA	0
cg03035419	0.00923861371645342	RPS21	20	60962318
cg03036064	0.119371083111942	UCK2	1	165797085
cg03037266	0.0662647184013667	NA	NA	0
cg03037331	0.0108913202168077	DEGS1	1	224371490
cg03038003	0.0221618447285843	AGBL4;BEND5	1	49242900
cg03038672	0.942657842645915	CLDN9	16	3062056
cg03039172	0.0220452380109258	DMPK;SIX5	19	46273153
cg03041841	0.0337960832724338	C9orf75	9	140094281
cg03042149	0.00984023717818908	PDE8A	15	85524778
cg03044435	NA		4	1144077
cg03046445	0.1038305711629	BHLHE41	12	26277826
cg03047098	0.0287812043236872	AP1G1	16	71843015
cg03048535	0.0132137663936647	FOXN4	12	109747100
cg03050522	0.0248110519685501	NA	NA	0
cg03050748	0.024709644830304	NA	NA	0
cg03054162	NA	PCYOX1	2	70485230
cg03054529	NA	SCRN1	7	30029938
cg03055440	0.788500838362314	MS4A6A	11	59950405
cg03055492	0.0141032085294095	UGP2	2	64068493
cg03056007	0.0163600498758562	NA	NA	0
cg03057808	0.358387267887672	CXorf57	X	105855296
cg03059018	0.0296521806234963	SIX4	14	61190965
cg03059528	0.0202895445850338	RNF146	6	127587721
cg03060925	0.10321112180913	C19orf54;SNRPA	19	41256330
cg03062665	0.0168325299330407	CALM1	14	90863127
cg03063797	0.0328825079305595	SAV1	14	51135466
cg03064067	0.414386504705448	SLC6A15	12	85306916
cg03064241	0.0230260867113869	RNF34	12	121837728
cg03064400	0.0186793994894731	U2AF1L4;PSENEN	19	36235836
cg03065202	0.0216907072309859	PIK3IP1	22	31687698
cg03065661	0.025738245479484	MED17	11	93517413
cg03066138	0.0161541537911022	RPLP2	11	809697
cg03067226	0.0117753058689423	TPI1	12	6976333
cg03070194	0.0141860774657859	GSTM2	1	110210684
cg03070588	0.0414831069068669	USP30	12	109490239
cg03072102	0.0560871260751622	CEP97	3	101443408
cg03072378	0.0153260099688686	DLX4	17	48046738
cg03073814	0.0172426552124341	ZSWIM7;TTC19	17	15902501
cg03075662	0.896318288189518	PLSCR2	3	146213648
cg03076324	0.0126455554039206	DNAJC1	10	22292468
cg03076871	0.035819915018299	STX16	20	57226737
cg03077062	0.00945985384934891	SFXN5	2	73299091
cg03077492	0.927771840732372	CCL28	5	43413095
cg03077836	0.0139787918764268	ASAP2	2	9347292
cg03079549	0.0125011198208505	PLDN	15	45879223
cg03079681	0.0363667048612448	CDKN2A;CDKN2BAS	9	21994223
cg03080344	0.0406497640460423	METTL2B	7	128116561
cg03080985	0.0720298616896218	SH3BGRL2	6	80340683
cg03081134	0.0472538984725657	RECK	9	36036806
cg03082060	0.153629303754256	LGALS8	1	236680224
cg03085312	0.0341616599934929	RARA	17	38465281
cg03085377	0.916020443501141	RB1	13	48893376
cg03085637	0.0146591734130783	PEX11B;GNRHR2	1	145516630
cg03086563	0.076212429286203	HIST2H2BE;HIST2H2AC	1	149857152
cg03086857	0.0871180732736678	EDNRB	13	78492568
cg03087937	0.943185451816095	MUC15;ANO3	11	26593556
cg03091512	0.0306843875323288	RHBDD1	2	227701050
cg03096975	0.0121831832998489	MIR330;EML2	19	46142574
cg03097995	0.379460505653404	TNNI3	19	55669091
cg03098361	0.0345665124033491	RFC2	7	73668406
cg03098643	0.0592186618458148	FAT1	4	187644620
cg03098721	0.739000516449573	TTLL7	1	84464084
cg03099492	0.135908057225029	CYP26A1	10	94833214
cg03099771	0.639127512185566	PRSS16	6	27215365
cg03100040	0.0571282650072266	ZNF345	19	37341870
cg03100146	0.0512578793657975	SH3BGRL3	1	26606846
cg03100196	0.151665358156603	ZYX	7	143077761
cg03100752	0.227206508035977	ASNA1	19	12847402
cg03101664	0.101166294835833	SNX15	11	64794610
cg03102516	NA	NEURL3	2	97171383
cg03103192	0.551576298616108	SPATA18	4	52917271
cg03104936	0.455614924806499	GRB10	7	50849168
cg03107405	0.00803196018435855	TSSC1	2	3381941
cg03108701	0.0421275244247118	MIR548H3;C6orf167	6	97731400
cg03109047	0.0326108737582764	GRIN1	9	140032686
cg03109066	0.0136427107532258	AP1AR	4	113153267
cg03109316	0.547328903700267	ZNF80	3	113957903
cg03109701	0.177491185242743	RNFT2;C12orf49	12	117174758
cg03112433	0.812524825898524	CDK14	7	90338555
cg03112782	0.0410486564614098	MEAF6	1	37979729
cg03112869	0.93638573835978	FBXW12	3	48413769
cg03113824	0.899440480765703	CCDC114	19	48807322
cg03114244	0.0377567563411457	FEN1;C11orf10;MIR611	11	61560355
cg03115649	0.0101934782901827	TOR1AIP1	1	179851535
cg03115746	NA	WHSC1	4	1895023
cg03115886	0.877517672340758	VPS16;PTPRA	20	2845218
cg03116238	0.0141431968277982	NA	NA	0
cg03116740	0.326015695307637	TSPAN4;POLR2L	11	841335
cg03117949	0.174695810297036	USP16	21	30396586
cg03118854	NA	PNPLA5	22	44288155
cg03122511	0.380234565378554	NKAP	X	119077820
cg03125090	0.0266680685275165	RGL1;ARPC5	1	183605490
cg03126490	0.0143930003644652	SPATA13	13	24735051
cg03127334	0.511382746620835	ERG	21	40033634
cg03127543	0.339535292491694	NA	NA	0
cg03128832	0.744023336035701	NA	NA	0
cg03129910	0.0980167309180183	SRP72	4	57333643
cg03131527	NA	BDH1	3	197301250
cg03132911	0.0277880690026439	IQGAP2	5	75698732
cg03133269	0.0389897763152509	WNT4	1	22468902
cg03135127	0.0220435004769966	TRMT1	19	13227421
cg03135598	0.00863924231780787	SEPW1	19	48281610
cg03136712	0.981341708554998	DND1	5	140053068
cg03138091	0.0261263522659071	OSMR	5	38846540
cg03138405	0.0198493056111287	GLT25D1	19	17666150
cg03138668	0.0199919490140013	SLC17A7	19	49944488
cg03139057	0.0741128643308561	DLL3	19	39989234
cg03139377	0.338240691940617	SLC6A12	12	323242
cg03140096	0.027905643340928	FARSA	19	13044717
cg03140978	0.948973720956478	C1orf201	1	24728127
cg03142203	0.920988506146026	NA	NA	0
cg03143333	NA	CCDC11	18	47793599
cg03143365	0.0218814652856132	MAN2B1;MORG1	19	12777903
cg03143849	0.444778363564803	CDKN1C	11	2904951
cg03144206	0.0496891770810992	ACTN4	19	39138026
cg03144357	0.8460239920352	RECQL4;LRRC14	8	145741925
cg03146158	NA	MYO1E	15	59665145
cg03147542	0.0599522042304575	CBLL1	7	107383881
cg03147990	0.030115506256646	ZNF585B	19	37701738
cg03148461	0.0538553980887409	BRAF	7	140625066
cg03149130	0.181403296723802	DIRAS2	9	93404977
cg03152385	0.232143363522659	RRN3	16	15188596
cg03152785	0.0174651817942933	KCNC4	1	110753723
cg03154500	0.0239604641433434	NA	NA	0
cg03154513	0.0177809694103366	ID1	20	30193400
cg03155724	0.0345369151468463	ASCC1;C10orf104	10	73975451
cg03156547	0.713952124966975	CDH24	14	23525003
cg03157149	0.0117800699794165	GDI2	10	5855170
cg03157806	0.400304005418735	TMEM185A	X	148713279
cg03158400	0.408313080768617	FAM3B	21	42688886
cg03159329	0.0202163972223414	STK39	2	169103514
cg03159785	0.0163088512955008	SKIL	3	170075773
cg03159836	0.0194636176458141	ZFX	X	24168810
cg03160135	0.322112216635767	VGLL2	6	117586918
cg03160309	0.432004102630929	NA	NA	0
cg03160508	NA	RHOD	11	66823684
cg03160637	0.104759588937514	DAK;DDB1	11	61101089
cg03160740	0.116110983703774	VIPR1	3	42544400
cg03160815	0.0625905349360654	NPB	17	79859830
cg03161112	NA	ZNF24	18	32924652
cg03161453	0.764789694290206	BCOR	X	39962049
cg03161839	NA	ARHGEF1	19	42387947
cg03163246	0.60942240658449	PPBPL2	4	74921023
cg03164831	0.452869526572142	BRWD3	X	80065461
cg03165378	0.738730091187863	S100A9	1	153329882
cg03165700	0.0196865513895595	ATM;NPAT	11	108093220
cg03166779	0.151713735289968	ETV1	7	14029285
cg03167275	0.112942315390071	CXADR	21	18886093
cg03167339	NA	MICALL2	7	1498866
cg03167763	0.0434207724252114	UBXN10	1	20512397
cg03167883	0.208402326778502		8	49502967
cg03168296	0.0204951987139338	NOXA1;EXD3	9	140317011
cg03168582	0.0679636105224835	DMRT1	9	841850
cg03169180	0.563262358353061	NLGN2	17	7310347
cg03169527	0.328709040360536	C3orf31	3	11888582
cg03169715	0.0120982477082128	HAS3	16	69140794
cg03171924	0.476868051290434	RUNX3	1	25258332
cg03172991	NA	NFIX	19	13105728
cg03173722	0.389189809607011	RUFY3	4	71587640
cg03176585	0.0177231691353904	MRPS35	12	27863646
cg03177025	0.0560595723563379	BRE;RBKS;LOC100302650	2	28112917
cg03177084	0.0242211975638649	PSME3	17	40985069
cg03179866	0.817577175098744	NA	NA	0
cg03184439	0.0241745428532365	ICT1	17	73008867
cg03184964	NA	SMARCC2	12	56584202
cg03188118	0.104972978717613	RGS6	14	72399809
cg03190825	0.117387570803003	CYP4F11	19	16045788
cg03192551	0.0275829159055475	SLC25A39	17	42403152
cg03192737	0.333253609133073	OSTN	3	190931199
cg03196745	0.0311603265699885	SART3;ISCU	12	108956112
cg03197524	NA	TNIP1	5	150460989
cg03198372	0.221655681187072	KREMEN1	22	29468588
cg03199651	0.0631251309513195	MSX1	4	4862770
cg03201604	0.0438722919731581	NAAA	4	76861293
cg03202897	0.538880148098403	FAM50B	6	3849688
cg03205208	0.0563654026999132	KIN;ATP5C1	10	7830848
cg03208093	NA	ZNF248	10	38147096
cg03209127	0.0310046250821879	B3GALNT2	1	235668099
cg03212129	0.0150858990769738	PDCD2L	19	34895470
cg03213216	0.289808311123098	RTN2;FLJ40125	19	46001735
cg03214212	0.0511346454958785	TSPAN13	7	16793334
cg03214697	0.320480411808518	SEC14L4	22	30901532
cg03217102	0.045213380498947	NA	NA	0
cg03217964	0.0159223143260281	ZFP1	16	75182191
cg03218019	0.0169952770501036	DDOST	1	20987858
cg03218374	0.103070688858434	ANGPT4	20	896981
cg03218909	0.0734309704010827	HAPLN2	1	156589008
cg03221436	0.449436944367834	CCDC120	X	48916091
cg03221619	0.466683013147967	FCER2	19	7767348
cg03221676	0.0132472226720762	ZCCHC6	9	88969266
cg03221776	0.0188779901179849	MFSD3	8	145733971
cg03221914	0.400628166921395	HIST1H2AJ	6	27783331
cg03222066	0.321246580629509	ABCG4	11	119019384
cg03223878	0.036345270382502	BHLHE40	3	5021310
cg03224418	0.462976780747427	SAMD10;PRPF6	20	62611858
cg03225779	0.0843202234214163	NA	NA	0
cg03227078	0.0369590723183709	ZNF221	19	44455454
cg03229887	0.0160150003889248	EIF2B3	1	45452240
cg03231024	0.0640258759291519	EFNA1	1	155100501
cg03234661	0.918165103617598	SLC10A1	14	70265290
cg03237153	0.774893308291397	NA	NA	0
cg03238797	0.0449116122217307	ADAMTS18	16	77468893
cg03240509	0.374018185262516	KCNA6	12	4918169
cg03240745	0.897683152936736	MEGF8	19	42841056
cg03241282	0.296987410712268	LOC348840	3	197807491
cg03242666	0.207814476782866	PMP22	17	15168570
cg03242880	0.852516443066387	BTG4;MIR34C;MIR34B	11	111382915
cg03243506	0.747010105846736	TMC2	20	2517231
cg03243700	0.0112035819089865	WDR5	9	137000940
cg03243895	0.0175066465322776	SPTAN1	9	131314908
cg03243946	0.108900520809137	LDHB	12	21811034
cg03245641	0.588898124363656	GPHA2	11	64703415
cg03245962	0.0263301723957538	XRN1	3	142167057
cg03247626	0.0795769324138775	HINT3	6	126277793
cg03251079	0.139543206902628	HMGA2;RPSAP52	12	66218285
cg03251249	0.0275561585222735	SIRT1	10	69645012
cg03251655	NA	SLFN12	17	33759512
cg03251857	0.505121836285988	PPAPDC3	9	134164580
cg03256955	0.0293989306444942	TGFBR2	3	30649017
cg03257423	0.0391563109403456	ZFP112	19	44860820
cg03258472	0.117637435259032	CRB3	19	6463949
cg03259469	0.0332207369946383	SVIL	10	30025293
cg03260744	NA	TEKT2	1	36549062
cg03261004	0.0127529715752365	LOC100289341;MAN1B1	9	139981660
cg03262773	0.190461777744551	RAD54L	1	46712613
cg03262918	0.0201986488225889	BBX	3	107241738
cg03264209	0.543071437261512		16	3931885
cg03264414	0.631800338207121	PAEP	9	138453697
cg03266453	0.0753635601788695	EN1	2	119606055
cg03266904	0.0132359969513575	CNOT4	7	135194685
cg03270167	0.132163327128333	RAMP1	2	238768916
cg03270204	NA	DDR1	6	30851638
cg03270376	0.0235296022433783	RNF25;STK36	2	219536588
cg03271651	0.0293264692003884	POGZ	1	151431849
cg03271907	0.979703343334147	MGMT	10	131412643
cg03272031	0.0146681317605126	LOH12CR1;LOH12CR2	12	12509922
cg03273615	0.254311504379448	RBM41	X	106362373
cg03274654	0.0401975442387436	KPNA3	13	50367395
cg03274876	0.0417389302898201	C4orf27	4	170679006
cg03275186	0.0218720712931614	COPS8	2	237994061
cg03276813	0.0118703365373631	SSFA2	2	182757157
cg03277051	0.0290656110131584	COL8A1;MIR548G	3	99356666
cg03277112	0.0248413910481067	MED23	6	131949711
cg03278643	0.631675059734616	EVC2	4	5710767
cg03278960	0.0266865521060674	C16orf57;ZNF319	16	58035186
cg03279443	0.0171608491510557	VDAC2	10	76971052
cg03283421	0.888899278408542	FAM24B	10	124610984
cg03283569	0.0296329537041795	RABEPK	9	127963181
cg03283694	NA	SIGLEC11	19	50464713
cg03283842	0.0511869220674609	FKBP7;PLEKHA3;MIR548N	2	179343803
cg03285457	0.053543286230109	LBX1;FLJ41350	10	102988529
cg03286783	0.0246227960322736	CASC4	15	44580973
cg03287877	0.889833530330237	NMT1;DCAKD	17	43139826
cg03289369	0.0255055940684911	AASDH	4	57253815
cg03289872	0.295193838189967	ZNF667	19	56989102
cg03290040	0.0166120440116988	CHCHD10	22	24110355
cg03291145	0.42262361911042	NA	NA	0
cg03292149	0.232788993155005	CBLC	19	45279765
cg03292388	0.280862027806216	CPZ	4	8594514
cg03293770	0.0333971904469499	SDHAF2;CPSF7	11	61197075
cg03293882	0.0362311119284664	ZNF614	19	52531438
cg03294491	0.44332810215829	SMAD2	18	45458243
cg03294557	NA	SERPINB4	18	61312477
cg03294619	0.0933399285624059	NKX2-5	5	172661803
cg03296929	0.226468068063076	NA	NA	0
cg03297731	NA	GDPD3;LOC100271831	16	30124293
cg03298413	0.0384668516678663	ATF6B	6	32095941
cg03301801	0.684340222974399	FNDC7	1	109264283
cg03302287	0.0126863333631827	PKP2	12	33049650
cg03305230	0.0259128842320845	RAI1	17	17585338
cg03308985	0.0213915909145097	DGCR6L	22	20307724
cg03309050	0.0670881035931149	ZNF688	16	30583736
cg03309721	0.0168450481885149	PLEKHJ1;SF3A2	19	2236316
cg03309967	0.736033053239448	U2AF1L4;PSENEN	19	36235184
