Hybridization REF	TCGA-A8-A0A7-01A-11D-A00Y-05	TCGA-A8-A0A7-01A-11D-A00Y-05	TCGA-A8-A0A7-01A-11D-A00Y-05	TCGA-A8-A0A7-01A-11D-A00Y-05
cg07479491	0.0463865479554209	BMP6	6	7726108
cg07480567	0.0939808754135013	HS3ST3A1	17	13505174
cg07482936	0.0618732717922226	C17orf82	17	59488635
cg07483064	0.0156103670195181	ENO1	1	8938751
cg07484450	0.663904185162563	C11orf64	11	60383361
cg07484827	0.591799947300135	CHRNA10	11	3693157
cg07485588	0.572782022392963	NA	NA	0
cg07485777	NA	TRIM60	4	165952835
cg07487535	NA	DHCR7	11	71159905
cg07489003	0.762776798871736	XK	X	37545586
cg07489134	0.0155738603965321	HELLS	10	96305958
cg07490776	0.0109037762899859	AP3M2	8	42010169
cg07494047	0.0101052579277517	ZNF304	19	57862713
cg07494248	0.0216737594880409	HSPD1;HSPE1	2	198365610
cg07494518	0.0092543371317016	SIK1	21	44847608
cg07495664	0.0895839890227158	FAM63A	1	150978905
cg07496861	0.00981371775512972	FAM119A	2	208489667
cg07496902	0.914722025812002	ASB14	3	57314448
cg07498421	0.045981123206708	CRADD	12	94071223
cg07498879	0.453847784543694	OSM	22	30663041
cg07499072	0.120379117968409	FST	5	52776694
cg07499372	0.957037123123966	USP29	19	57631232
cg07499806	0.870147862027436	ZSCAN5A	19	56739868
cg07501965	0.0975868643926501	NA	NA	0
cg07503829	0.0257406921420742	PSMD13;SIRT3	11	236309
cg07504718	0.630748249122093	MMP21	10	127465376
cg07504780	0.0132580078671004	PSMB9;TAP1	6	32821684
cg07505695	0.0373621713736907	SPG21	15	65281854
cg07506795	0.834733950060406	ZNF19	16	71523560
cg07507271	0.00777158237979572	C4orf42;CTBP1	4	1242751
cg07509155	0.394927419552196	IL28RA	1	24514412
cg07510052	0.108251583714966	NA	NA	0
cg07510080	0.0645503293545197	HIF1AN	10	102295549
cg07512345	0.960465755330558	TNP2	16	11362839
cg07512517	0.168923532092459		7	38408106
cg07514381	0.668138492606988	NA	NA	0
cg07515662	0.0231716948788655	RPS26	12	56435880
cg07516225	0.0299830606167844	C8orf41	8	33371225
cg07518362	0.00865092744660341	NOTCH2	1	120611593
cg07519011	0.0407261587644851	TBC1D4	13	76056421
cg07520158	0.0167962705739183	LSM5;AVL9	7	32535189
cg07520161	0.0196255163692611	TMTC3;CEP290	12	88535980
cg07525077	0.349782093138605	RNASE3	14	21359943
cg07525445	0.0284029707551532	TPM1	15	63335302
cg07526021	0.0115077471496837	MSH3;DHFR	5	79950611
cg07526069	0.0186561676474788	GOT1	10	101190311
cg07526675	0.562746470659538	PCSK1N	X	48694367
cg07531356	0.826226784037463	INSL6	9	5185951
cg07533148	0.0887031418501844	TRIM58	1	248020812
cg07533529	0.0812277372894026	ROM1;EML3	11	62379499
cg07534467	0.0422445424674816	ZNF16	8	146176336
cg07535475	0.0188303244598522	ALG2;SEC61B	9	101984791
cg07535879	0.0222610453164952	MTRF1L	6	153323363
cg07536847	0.346604382550555	PAX7	1	18957232
cg07536920	0.0160094938257349	RORB	9	77112326
cg07537523	0.0396262495709524	BCAT1	12	25102311
cg07540118	0.0217797113625451	ADAM19	5	157002713
cg07543883	0.430993643963892	ANGPTL6	19	10213271
cg07545232	0.702647720351825	NA	NA	0
cg07545925	0.267384893922408	CD3G;CD3D	11	118214927
cg07546360	0.666953248973522	LOC400931	22	46482023
cg07548313	0.47890576524659	CD1C	1	158259926
cg07549194	NA	PTH2	19	49927076
cg07549630	0.00867253763010195	NEDD1	12	97300822
cg07549715	0.540540659735995	GNRH2	20	3024204
cg07550267	0.0243940336479346	SNORD46;RPS8	1	45241824
cg07550278	0.020846875877669	C10orf4	10	95462365
cg07550362	0.277560364510585	TAC1	7	97361201
cg07551659	0.215323343153712	CGNL1	15	57669165
cg07554030	NA	NAGLU	17	40687935
cg07557424	0.0564822966966141	C9orf23	9	34613043
cg07558006	0.89366128402591	TAAR8	6	132874263
cg07558455	0.176298410057686	KANK4	1	62784762
cg07559730	0.0304248287539535	ZNF702P	19	53497048
cg07560096	0.0285789770059867	ME3	11	86383182
cg07561400	0.0137322195515649	ZC3HAV1	7	138794433
cg07561588	0.0156954792143957	RNF139	8	125487055
cg07566050	0.763323468864332	PEA15	1	160174755
cg07567107	0.00698635041248399	HEATR6	17	58156231
cg07569069	0.0187355621640178	C19orf39	19	11485349
cg07569756	0.013160208778352	LRRC59	17	48474564
cg07570142	0.100282415703838	MOXD1	6	132722421
cg07570421	0.0370840559311409	PTER	10	16479076
cg07571117	0.0115466866965211	FAM98A	2	33824316
cg07572341	0.192129687549012	FOXA2	20	22565881
cg07572435	0.912530230355359	LY6D	8	143868013
cg07576541	0.734304333736471	SNAPIN	1	153630883
cg07577263	0.0235840656012701	NUP205	7	135242585
cg07579404	0.0750303374407588	RAET1L	6	150346721
cg07580475	0.865672812179799	SEMA3B	3	50304049
cg07580827	NA	PIH1D2	11	111943186
cg07581365	0.0147919847049719	CBX8	17	77770444
cg07581973	0.590226904564546	PRDX4	X	23685729
cg07584959	NA	MED16	19	892937
cg07586911	0.843491584499387	FAM71F1	7	128355717
cg07588113	0.0160342031407694	C7orf63	7	89874465
cg07588664	0.0776746944671669	NA	NA	0
cg07588779	0.0575747512025375	GPR137;BAD	11	64051753
cg07589355	0.0619398779002793	RBMS2	12	56915842
cg07590705	0.0114889954398056	CHCHD3	7	132766510
cg07592353	0.66854351747488	GABRA6	5	161113339
cg07594478	0.0135477111856301	ARIH1	15	72766470
cg07594933	NA	CCDC77	12	515355
cg07595113	0.030944433587547	MYBL1	8	67525279
cg07595943	0.763015232684776	ADAD2	16	84224901
cg07596401	NA	LHPP	10	126150086
cg07596494	0.0129345295929445	KIF3C	2	26205095
cg07597871	0.0220368326754311	RAP1A	1	112162932
cg07597976	NA	CD19	16	28943019
cg07598199	0.215244491985508	MYOZ2	4	120056829
cg07599644	NA	C11orf41	11	33693866
cg07601320	0.446397425624343	SLC38A4	12	47219841
cg07602026	0.0165149598343478	PSME1	14	24605550
cg07602200	0.049066244160644	P2RX7	12	121570875
cg07603484	0.755536311969995	NUP62;IL4I1;ATF5	19	50434179
cg07605143	0.877521857176775	EMP3	19	48827843
cg07607462	0.0217440225507693	UBR1	15	43398173
cg07607921	0.0680544844582745	ZZEF1;CYB5D2	17	4047574
cg07608333	NA	CD209	19	7813422
cg07611177	0.0296917572034863	SLC25A46	5	110074217
cg07611334	0.107382876491968	NRSN2	20	327811
cg07611925	NA	KCNE2	21	35736383
cg07612655	0.560549018164054	PTGIS	20	48185517
cg07613153	0.26512939852339	TDRD9	14	104436947
cg07613278	0.176645283914168	API5	11	43333327
cg07614786	NA	TTLL3	3	9860331
cg07617246	NA	IGDCC4	15	65715951
cg07617560	0.0162502338173977	DNAJA3	16	4475932
cg07618900	0.0791861674968771	BEST3	12	70093350
cg07619076	0.101542624968369	NA	NA	0
cg07621042	0.959124573215971	RBMXL3;LRCH2	X	114424768
cg07621046	0.546959143088431	C10orf82	10	118429658
cg07621456	0.896169483130448	CCDC48	3	128749537
cg07623294	0.0233996766600418	ELAVL2	9	23826507
cg07625840	0.0535216669047973	PRSS12	4	119274341
cg07628086	0.0117676764220574	AP2B1	17	33914258
cg07629017	0.13981723805805	NPBWR1	8	53851613
cg07633499	0.0608454744962111	UFD1L;CDC45L	22	19467075
cg07634191	0.523061190660118	SCARA5	8	27850178
cg07634204	0.0487987947650082	VPS72	1	151162707
cg07634706	NA	CCL17	16	57438524
cg07636178	0.0190847094976317	HIST1H3C	6	26045534
cg07637239	0.385946303346729	KCNK18	10	118957259
cg07638871	0.0151345789081258	MIER3	5	56247860
cg07638935	0.168318233082018	KAZALD1	10	102821427
cg07638938	0.966330736719321	MGMT	10	131348599
cg07639198	NA	AKR1C1	10	5004250
cg07639720	0.0850404376586813	BNC1	15	83952875
cg07639959	0.0171124955672633	EXO1	1	242011162
cg07640473	0.171810639094062	SEMA3F	3	50193232
cg07640820	0.0273446971870222	AGK	7	141251633
cg07641524	0.0878900730993471	MSRB3	12	65672405
cg07642638	0.071794552004809	CHGB	20	5891786
cg07643942	0.412356897264765	LACRT	12	55029147
cg07644368	0.41961082617773	CDO1	5	115152785
cg07651242	0.118322277307317	ADCY1	7	45614720
cg07651857	0.03511964261943	RNF4	4	2471025
cg07651914	0.813503140468931	CLDN15	7	100881986
cg07652213	0.0131837434601073	MSH6	2	48010362
cg07652553	0.0190233785102009	NA	NA	0
cg07654843	0.928237249331463	MYO18B	22	26138429
cg07654896	0.840177489247769	RGN	X	46937829
cg07654934	0.0721977827407072	LXN;GFM1	3	158390329
cg07655627	0.0866314597801363	NUDT12	5	102898729
cg07656304	0.0249329148360556	NAP1L1	12	76479148
cg07656362	0.018471809691228	C1orf91;EIF3I	1	32688117
cg07656391	0.0461777056132014	DPY30	2	32264720
cg07657236	0.269654184868507	KCNH8	3	19190202
cg07657776	0.727354576301381	UBE3B;KCTD10	12	109914065
cg07658590	0.555400404489694	SLC19A1	21	46963587
cg07658718	0.0343944071658072	CDK5R1	17	30814514
cg07660236	0.200893150199453	ZSCAN12	6	28367883
cg07663789	0.0229441349477831	NPR3	5	32711429
cg07664027	NA	RPL13AP5;RPL13A	19	49990137
cg07664183	NA	HAUS6	9	19103231
cg07664856	0.23713228728931	CNTN6	3	1134528
cg07665060	0.436605399606409	C19orf33;YIF1B	19	38794598
cg07666065	0.0530269145045743	PON2	7	95064469
cg07667595	0.0140301853426875	ZNF576;IRGQ	19	44100631
cg07668036	0.0135205108086594	PSMD4	1	151227536
cg07671208	0.646860141859463	NA	NA	0
cg07671603	0.0168478355536415	C7orf13;RNF32	7	156433350
cg07671949	0.143309383976716	ESR1	6	152128338
cg07671976	0.0166746887843277	TNFRSF18	1	1142215
cg07672479	0.0189922757795947	DYNC1H1	14	102431106
cg07673945	0.0125811253078431	NA	NA	0
cg07674153	0.0289197281700365	TSHR	14	81421600
cg07675169	0.262315716671985	FLJ16779;NKAIN4	20	61886262
cg07675682	0.602859697353413	SLC26A11;SGSH	17	78195515
cg07676849	NA	FOLR3	11	71845665
cg07677850	0.792208930101889	ADORA2B	17	15847412
cg07678643	0.0212814588722161	C1orf212	1	35325113
cg07679836	0.46830107408048	BAK1	6	33548423
cg07681084	0.0136055072280505	LMBR1	7	156685826
cg07684150	0.00960322679342176	BRP44;DCAF6	1	167906751
cg07684353	0.0394151181274608	MYO1E	15	59664799
cg07684796	0.140103085544038	DKK1	10	54074209
cg07684809	0.0790918917870791	GLIPR1L1	12	75728212
cg07685034	0.487708722974291	PCBP3	21	47269627
cg07685221	0.0202887554209513	QTRT1	19	10812325
cg07685786	NA	S100B	21	48025691
cg07685869	0.138066123228132	KIFC3	16	57836706
cg07686479	0.186325270115823	LMX1A	1	165325030
cg07688234	NA	CFP	X	47489663
cg07688613	0.0353182432077488	INTS3	1	153700021
cg07688933	0.03939607954215	TMEM160	19	47551971
cg07689731	NA		1	31393915
cg07689821	0.034450285586859	DAXX	6	33290736
cg07690018	0.0308864067123737	CPNE7	16	89642492
cg07693270	0.279475407136758	RPL39L	3	186856928
cg07694025	0.200275154028824	SFRP2	4	154709441
cg07695590	0.0234987982539679	CEBPZ;C2orf56	2	37459068
cg07696033	0.156603052689414	ALX4	11	44326410
cg07697078	0.0337515570186886	PFDN1	5	139682675
cg07697569	0.0160745345225909	H2AFX	11	118966186
cg07699362	0.338166029880738	NA	NA	0
cg07699440	0.0100597719296478	FAH	15	80445357
cg07703337	NA	ZNF610	19	52847943
cg07703401	0.242786059307063	HBQ1	16	230341
cg07704144	0.018552323256432	SNPH	20	1247415
cg07705835	0.514239664474746	IL17RC	3	9959128
cg07705908	0.555981482427416	SPDEF	6	34523925
cg07706067	0.0193615122801229	DHRS7B	17	21030370
cg07706362	0.0172111075240004	ZNF91	19	23578365
cg07707227	0.0388790764255296	MIR449C;CDC20B	5	54469532
cg07707498	0.0280758989612425	C16orf87	16	46865555
cg07708788	0.0292478732891086	SLCO2A1	3	133748311
cg07710481	0.0422396843155078	SLITRK5	13	88325384
cg07711097	0.609001686502431	GML	8	143915954
cg07711515	0.715929845940877	NA	NA	0
cg07713361	0.0572404281131083	APOL1	22	36649144
cg07713493	0.480376368372263	CDK18	1	205473393
cg07714374	0.1426356269327	NA	NA	0
cg07714534	0.0306275716194831	PRCP;C11orf82	11	82612592
cg07715201	0.125116660417824	GDNF	5	37840839
cg07715387	0.0136520752059185	SLC1A4	2	65216679
cg07715894	0.0153473257646423	C16orf75	16	11439533
cg07717632	0.307214814910504	C9orf167	9	140172631
cg07719512	0.573181876723459	SLC11A1	2	219246576
cg07719737	0.0258140559256319	MANBAL	20	35917850
cg07728874	0.609873412665457	CD3D	11	118213272
cg07730301	0.438725411704491	ALDH3B1	11	67777952
cg07730329	0.0902031928299339	PCDHGA4;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGA12;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGA7;PCDHGB5	5	140810137
cg07731916	0.0818825055383364	IRF2	4	185395553
cg07732037	0.363485315415584	MPHOSPH9	12	123707827
cg07732644	0.776547707356475	ASPA	17	3378397
cg07733031	0.0325720676043079	SGTB;NLN	5	65018600
cg07736705	0.0151038574964998	POM121	7	72350033
cg07737781	0.162539711563733	MLXIPL	7	73038866
cg07739803	0.00855768525388992	SLC30A7;EXTL2	1	101361235
cg07740640	0.990039686377402	BHLHA15	7	97841941
cg07740989	0.017951114246545	EEF1A1	6	74230681
cg07744166	0.0581447091718794	WASF3	13	27131484
cg07745434	0.0891038508879996	CHST13	3	126243401
cg07745725	0.627190221116447	PSG3	19	43245860
cg07746918	0.0202530551984239	SREBF2	22	42229324
cg07747299	NA	C21orf56	21	47604052
cg07747336	NA	PATE2	11	125649398
cg07747970	0.0687973414597843	LHX1	17	35293719
cg07748017	0.0185752530391488	PEX5	12	7342621
cg07748540	0.128195526491956	PDGFD	11	104034619
cg07749074	0.535298941283046	HRG	3	186383386
cg07749808	0.0770192047202622	SYT17	16	19179817
cg07750111	0.0143643454207952	HIST1H1C	6	26056168
cg07752420	0.341436415220042	NA	NA	0
cg07753583	0.153392501912102	LRRC61;ACTR3C	7	150020206
cg07753644	0.254966478310597	PPAN-P2RY11;P2RY11	19	10222175
cg07755653	0.0177545626914677	STX11	6	144471198
cg07757386	0.0172912819813159	RAGE	14	102771445
cg07758574	0.0364850745972342	C3orf62	3	49314370
cg07758904	0.0483073539151067	SLC46A2	9	115652824
cg07759587	0.890668273022151	TLR8;LOC349408	X	12924783
cg07761912	0.025891965916832	TOR1AIP2	1	179846929
cg07763768	0.939818875694071	C9orf45	9	125877923
cg07764959	0.0258024981631458	SLC43A1	11	57282648
cg07766315	0.0296690019192656	NA	NA	0
cg07766612	0.0885704217517135	SLC30A2	1	26372887
cg07770222	0.520246533699861	C8orf31	8	144120106
cg07772309	0.0100485858502379	NELF	9	140353475
cg07773116	0.373195648513118	GDF10	10	48438500
cg07773642	0.0240101692334105	PSMD7	16	74330896
cg07774025	0.0252418707961187	HSD17B7	1	162760659
cg07774222	0.0154614665874896	MED6	14	71067759
cg07775501	0.00848032712024738	JOSD2	19	51014757
cg07775675	0.0234225570592244	SPHK1	17	74379922
cg07777378	0.0168804124774374	GRN	17	42422412
cg07778029	NA	HOXA9	7	27205114
cg07778080	0.0114078906169628	NPC1	18	21166698
cg07780118	0.381047400629193	AR	X	66766506
cg07780979	0.963538049353434	PDCD6;AHRR	5	303287
cg07782113	0.00809469612948115	HIVEP1	6	12012564
cg07785936	0.563272089386577	GPR39	2	133174635
cg07786760	0.0222630112344318	DCHS2	4	155412677
cg07788138	0.0165653284751498	NA	NA	0
cg07789083	0.142774511033698	GPRC5C	17	72427563
cg07789552	0.0343521926536266	STK40	1	36851195
cg07789904	NA	MAD2L2	1	11741841
cg07790638	0.928710992381261	C4orf21	4	113508575
cg07791997	0.039956440566034	PPME1;C2CD3	11	73882526
cg07792737	0.863984040044826	NA	NA	0
cg07799434	NA	C19orf43	19	12845367
cg07799947	0.256715684954447	NPAS2	2	101436171
cg07800320	0.0802580059125709	ALDH1L1	3	125899567
cg07803864	0.767464657117112	TUBAL3	10	5446998
cg07804122	0.0155147658879393	TXN	9	113018739
cg07804582	NA	C16orf78	16	49407186
cg07805833	0.894884646814646	POLR1C;YIPF3	6	43483391
cg07806164	0.0211390184253432	UBE2E2	3	23244688
cg07807709	0.0555019479931998	HIST2H2AB	1	149860026
cg07807817	NA	COQ6;FAM161B	14	74416425
cg07808960	0.0102852217949295	RBM6	3	49977390
cg07810156	NA	PDZK1IP1	1	47655682
cg07810967	0.952533520272512	IL13	5	131993925
cg07811498	0.0176184664350059	C22orf32	22	42475450
cg07811750	0.0133279899911077	CAMTA2	17	4890503
cg07815386	0.0140004307303901	RNF149	2	101925384
cg07816074	0.604664519785765	SH3TC1	4	8201560
cg07816439	0.441713921597815	C1QTNF2	5	159797845
cg07816442	0.0156908158315681	CD3EAP;PPP1R13L	19	45909858
cg07817698	0.0479623981128784	DHODH	16	72042925
cg07817783	0.0150801082655086	DAP	5	10761669
cg07818646	0.0133829458921855	RNASEH2B	13	51483769
cg07819926	0.017361973975972	C7orf55	7	139025145
cg07820214	0.0141413695368656	RUVBL1	3	127842989
cg07823492	0.98187439684337	HOXB1	17	46608099
cg07823755	0.966614766740222	UGT1A10;UGT1A1;UGT1A6;UGT1A8;UGT1A4;UGT1A3;UGT1A9;UGT1A7;UGT1A5	2	234668355
cg07823935	0.023033825220963	NCKAP1	2	183902842
cg07824317	0.240399150749636	RPGR	X	38187006
cg07824742	0.980047926890184	DBH	9	136501784
cg07826255	0.201144210857841	SGCA	17	48243707
cg07827038	0.0157595319619751	SKA3;MRP63	13	21750347
cg07829804	NA	OLR1	12	10325287
cg07829809	NA	METAP1	4	99957216
cg07830847	0.913011439831471	KCNA10	1	111061374
cg07832674	0.314000980015328	IL17RE	3	9943884
cg07833035	0.0170437935295315	RPS23	5	81573845
cg07833382	0.0516663250603832	SCPEP1	17	55055134
cg07836370	0.0300704986082521	GLTP	12	110318755
cg07837085	0.106971626683759	SLAMF7	1	160708990
cg07837262	0.0114495349095986	SLC39A14	8	22225395
cg07841014	0.798668053946123	REG1B	2	79314745
cg07842062	0.654596332656683	MEFV	16	3306524
cg07842593	0.0193292444789879	SEPHS2	16	30457166
cg07843027	0.0374645851254407	TMEM170A	16	75498835
cg07844021	0.0375493442657098	COIL	17	55038529
cg07844572	0.0274001209096686	PSMC5;FTSJ3	17	61904053
cg07845390	0.112198422381156	KCNT2	1	196577709
cg07845392	0.52297405426525	SLC25A10	17	79678158
cg07845566	0.0131999979436444	NA	NA	0
cg07846167	NA	FBLIM1	1	16084758
cg07846220	0.562168746331221	LAMA1	18	7117680
cg07847428	0.0177913378606341	MARCH2	19	8478158
cg07849904	0.0387923098714022	MN1	22	28197796
cg07850221	0.8626842726747	U2AF1L4;PSENEN	19	36235109
cg07850604	0.015064304603403	INSM2	14	36003443
cg07851192	0.855606947526462	KCNG2	18	77624513
cg07851243	0.0191306402227943	MXRA7	17	74707271
cg07851278	0.0166247931406195	RIOK3	18	21033426
cg07854244	0.0150130637328611	IP6K2	3	48754518
cg07855056	0.0483096270803923	MIR423;CCDC55	17	28443892
cg07857181	0.0225953237971138	POLH;XPO5	6	43543548
cg07858745	0.0229102852481681	GTF2I	7	74072514
cg07861564	0.0504216644626499	HSPB8	12	119616618
cg07862358	0.0438151141442954	MYO10	5	16935888
cg07864189	0.0138177990317386	NADSYN1	11	71164265
cg07864297	0.666043503318908	ESRRB	14	76837569
cg07864632	0.0162901300729247	TRIP12	2	230785697
cg07865790	0.0143747562539938	IKBIP;APAF1	12	99038290
cg07867360	0.789448028197955	PPP2R2C	4	6475156
cg07868688	0.0243809419769559	ORC3L;RARS2	6	88299842
cg07871503	0.827071818538826	RASGEF1A	10	43763042
cg07872652	0.0245070909620543	CNIH2	11	66045932
cg07873128	0.921204721998388	OSBPL5	11	3121400
cg07873488	0.771432223375355	MUC17	7	100662570
cg07874155	0.0117004869875167	CTNNA1	5	138089656
cg07874284	0.271701761302169	PRPS2	X	12809156
cg07874520	0.92443493642035	THEM5	1	151826533
cg07876586	0.58011483536602	PGRMC1	X	118370356
cg07879727	0.0191702918258084	WNT3	17	44896017
cg07879977	0.486881199381476	OR1F1	16	3254567
cg07880061	0.0164278431614104	RAB24;PRELID1	5	176730198
cg07880715	NA	RB1	13	48895478
cg07880854	0.527056393524297	FBLN7	2	112895559
cg07881407	0.602803398683783	NA	NA	0
cg07882535	0.816566175317997	TRPM5	11	2445392
cg07882831	0.00922616036269126	MGC16275;TTYH2	17	72209802
cg07883333	0.984590314025953	TSTD1;USF1	1	161009753
cg07884019	0.372794356820041	NA	NA	0
cg07884474	0.0169549016575437	VPS16;FAM113A	20	2821816
cg07886712	0.0576843905033461	EWSR1;RHBDD3	22	29665413
cg07888040	0.858512365092276	GLDN	15	51669526
cg07888234	0.0576441617819381	TNFRSF11A	18	59992252
cg07889201	0.0421687120814384	ZNF343	20	2490030
cg07890954	0.772772441013569	NR2E3	15	72102874
cg07892051	0.854547430451514	NA	NA	0
cg07894162	0.0186573979279383	MORC2;TUG1	22	31364948
cg07894717	0.845000874632212	APITD1;CORT	1	10508598
cg07895149	0.0832748047624796	CALHM2	10	105212283
cg07896225	0.0108918704185373	BCL7C;MIR762	16	30905137
cg07897193	0.01287665073193	SOCS5	2	46926272
cg07897414	0.151471761998886	KLHL4	X	86772895
cg07897701	0.66591931228359	ABP1	7	150549370
cg07897837	0.00984203238284307	C1orf131;GNPAT	1	231377046
cg07899016	0.396751888464818	PCDHB12	5	140588299
cg07899425	0.0163904001277479	GSR	8	30585046
cg07900766	0.072535305025383	SPAG16	2	214148972
cg07903860	0.0172998635679338	DCLRE1C	10	14995957
cg07903918	0.146707763808822	GABBR2	9	101471986
cg07905963	0.483910963658235	NA	NA	0
cg07906495	0.0128470953047564	G2E3	14	31028426
cg07906724	0.14134681380536	CHRNA6	8	42623946
cg07908874	0.779274341135367	ZNF511;TUBGCP2	10	135123006
cg07909265	0.0197874071399462	ITGAV	2	187455298
cg07909422	0.0268018180502171	SIRT5	6	13574371
cg07909527	0.00682127183375904	NUBP2;SPSB3	16	1833420
cg07911663	0.54664996235347	TMEM164	X	109245325
cg07911673	0.724951482459604	SLC25A35	17	8198092
cg07912181	0.00918537357527669	HSD17B12	11	43702277
cg07914866	0.478903162405206	IRAK3	12	66583431
cg07914959	0.0134683419217234	BACH2	6	91006321
cg07915282	NA	RASSF3	12	65003120
cg07915343	0.803779148169632	LDHAL6A	11	18477680
cg07915542	0.0922848234981396	IDH1	2	209120308
cg07917796	0.14925552318318	DIAPH2	X	95939710
cg07918509	NA	ICAM2	17	62083407
cg07919162	0.0244776979623358	SF4;KIAA0892	19	19431259
cg07922606	0.739452211651684	HIST1H3E	6	26225389
cg07924575	0.68556446195562	HPS4;SRRD	22	26881231
cg07924819	0.0351444106174643	ATF6	1	161736104
cg07925687	0.0197199503790027	RABL3;GTF2E1	3	120461082
cg07926025	NA	CER1	9	14722864
cg07927484	0.0191968942005579	SAP30L	5	153826296
cg07928641	0.0151560835718071	LAMC1	1	182991847
cg07928695	0.0269127143674523	BLOC1S3;TRAPPC6A	19	45681899
cg07929310	0.0177561723230907	KIAA0513	16	85061061
cg07930578	0.945582756751786	LTK	15	41806588
cg07933176	NA	PCYOX1L	5	148737252
cg07933197	0.932578894702235	NA	NA	0
cg07933199	0.0256980005773626	C3orf59	3	192635636
cg07934026	0.0197319648292889	ZNF721;ABCA11P	4	467794
cg07935151	0.0276026642776782	LSM2	6	31774618
cg07935264	0.223427698719099	IL1B	2	113594375
cg07935568	0.383971544773382	MLNR	13	49794126
cg07936037	0.0103188260288527	SSR1	6	7313172
cg07937272	0.450954423915008	NA	NA	0
cg07940485	0.0154083161987843	SLC16A10	6	111409222
cg07940804	0.439835900707437	ACTRT1	X	127185902
cg07942995	0.775078162256602	ZSCAN1	19	58546307
cg07944287	0.0149382631753246	RFX2	19	6110462
cg07944811	0.847520405340313	GCK	7	44228830
cg07945480	0.0130060383226211	GRK4;NOP14	4	2964972
cg07947016	0.351424706389766	KLK2	19	51375893
cg07947930	0.606714555400487	PRELP	1	203444945
cg07948245	0.0209232727891232	ARHGAP5;C14orf128	14	32546939
cg07948472	0.721118152558652	SPATA9	5	95018471
cg07950803	0.717154311930104	CD1A	1	158223934
cg07952391	0.144269033827006	THNSL2	2	88470173
cg07952773	0.0140562294032339	NA	NA	0
cg07955356	0.0246929841473177	DNASE2	19	12992479
cg07955828	0.0162636990539206	DHX35	20	37591298
cg07955887	0.818961237756119	KIAA0802	18	8717926
cg07957491	0.47963220138032	UCK1	9	134407190
cg07958192	0.470284046696514	TIGD2	4	90033974
cg07959477	0.738230591142408	CLEC1A	12	10251879
cg07959896	0.0143857450071583	GEMIN6	2	39005451
cg07960846	0.029631383112259	NA	NA	0
cg07962043	0.0368412740039188	TMEM132A	11	60691582
cg07962051	0.0509069081266701	TNKS	8	9412923
cg07962315	0.0614539780375683	OSTF1;C9orf95	9	77704473
cg07964133	0.0411036816611276	HNRNPD	4	83296335
cg07964538	0.0150649963664	CAV1	7	116164767
cg07964539	0.0750950649837717	BYSL;MED20	6	41890080
cg07965714	0.0161363916226087	XPA	9	100459834
cg07965823	0.0898568317928757	ISM2	14	77964712
cg07965839	0.0189570659652738	ZFAND6	15	80351679
cg07967308	0.757421282822147	ACP5	19	11688246
cg07967643	0.012860277911854	FRS3;PRICKLE4	6	41747785
cg07970007	NA	GBP1	1	89531456
cg07971188	0.0424950427912733	HCP5	6	31431100
cg07973246	0.0348323015243109	SRGAP1	12	64238719
cg07973390	0.0243895481225305	CDKN2AIP	4	184365087
cg07973395	NA	BLM	15	91260024
cg07973461	0.748500336366288	NA	NA	0
cg07973967	0.264014576104034	CD79B	17	62009607
cg07974125	0.0140859336654979	C4orf14	4	57843509
cg07974303	0.834557367810113	DEFA6	8	6783987
cg07974891	0.587268117357096	ITGB1BP1;CPSF3	2	9565042
cg07975063	0.0254296442528338	NA	NA	0
cg07975813	0.0188123715328294	USP5;CDCA3	12	6961094
cg07977490	0.805677594541163	C16orf45	16	15527940
cg07979357	0.0345667403605273	IL27RA	19	14142353
cg07979577	0.01468953785903	NA	NA	0
cg07979752	0.05594286945393	CUL5	11	107879401
cg07980015	NA	TMTC4	13	101295688
cg07980518	0.0214951956991664	RNF152	18	59560394
cg07980804	0.0238805487766753	WDR7	18	54318615
cg07980988	0.223947499395189	SH2D1A	X	123480013
cg07981495	0.835243295425646	CGA	6	87804765
cg07981588	0.0401810346242513	YWHAZ	8	101965659
cg07981910	NA	DAB2IP	9	124461412
cg07985359	0.0465297650294406	EVI5L	19	7894666
cg07986525	0.0136168164524875	NFE2L3	7	26192199
cg07986773	0.488473900917021	NA	NA	0
cg07989514	0.0115018782585714	C14orf4	14	77495178
cg07990489	0.0165364792486162	NUP35	2	183989218
cg07990939	0.0111680573644577	TMTC3;CEP290	12	88536410
cg07991621	0.181446533215396	SH3BP2	4	2820479
cg07992625	0.0298806793492216	ATF7	12	54020444
cg07997737	0.473743666707389	NRTN	19	5822630
cg08001895	0.0336735251645996	EPHA7	6	94129582
cg08002996	0.0258237082723355	SOCS2	12	93963601
cg08003150	0.0349483720355631	KCNQ2	20	62103627
cg08003742	0.117070256633545	CXCL3	4	74904106
cg08005849	0.30085071840651	HGF	7	81399399
cg08007665	0.615572062049686	KCNQ1	11	2593857
cg08008233	NA	TCEB3C;KATNAL2	18	44557819
