Hybridization REF	TCGA-A8-A08I-01A-11D-A00Y-05	TCGA-A8-A08I-01A-11D-A00Y-05	TCGA-A8-A08I-01A-11D-A00Y-05	TCGA-A8-A08I-01A-11D-A00Y-05
cg05333568	0.111592600132297	C1orf65	1	223566794
cg05334239	0.0511838351696872	C15orf57	15	40857495
cg05334253	0.0183355004239865	NDEL1	17	8338877
cg05335315	0.15756759314711	JAG2	14	105635708
cg05337441	0.0544683568049969	APOB	2	21266568
cg05337966	0.0112586033328463	C13orf1	13	50510151
cg05338155	0.0226192405933499	IFIT5	10	91174651
cg05338167	0.861011703444642	CALML4	15	68498251
cg05339305	0.0143372981776128	CCDC85B	11	65657822
cg05339472	0.0108877803093085	EIF1AX	X	20159528
cg05341115	NA	HYAL4	7	123485591
cg05341670	0.0111378829711684	TMEM59;C1orf83	1	54518153
cg05341878	0.805070855696176	NA	NA	0
cg05342835	0.208842996782715	SYNC	1	33160791
cg05343453	NA	C7orf45	7	129847153
cg05345286	0.0366928178703244	MDFI	6	41606641
cg05346140	0.438298131587714	HSPB9	17	40275057
cg05346899	0.0211548871348393	LASS4	19	8273912
cg05347567	0.0368771705808056	ZC3H10	12	56512408
cg05348123	NA	SCRG1	4	174321584
cg05348272	0.0129975424366093	TBCD	17	80710049
cg05348870	NA	TNFSF14	19	6671045
cg05350879	NA	SPARCL1	4	88451223
cg05352541	0.0129493052331694	PITPNB;LOC284900	22	28315563
cg05352668	0.693105986290983	C1orf127	1	11023756
cg05354432	0.0229544145650259	LEF1;LOC641518	4	109089890
cg05357320	NA	ZNF317	19	9251080
cg05358291	0.629605465483137	CYP4F2	19	16009219
cg05358404	0.452493698057115	RTEL1	20	62288950
cg05360220	0.0213029326095305	NA	NA	0
cg05360265	0.0547727332964597	STXBP5	6	147525477
cg05361373	0.0459437199101227	PYCARD	16	31213883
cg05361811	0.0358283342118328	UTP20	12	101674038
cg05362516	0.0357985876306463	IRX5	16	54965089
cg05362669	0.0644501347038141	PTPRG	3	61547285
cg05364569	0.487338893978256	NA	NA	0
cg05365525	0.0201400097116962	DEPDC6	8	120885882
cg05365670	0.198792923350972	LPCAT1	5	1524551
cg05365729	0.615225513496815	LOXL2	8	23262073
cg05366401	0.0091337881562634	TM9SF1	14	24664722
cg05367858	0.0204869273307378	RNF141	11	10562295
cg05368089	0.0185455338222881	PFDN5	12	53689374
cg05368341	0.108666039800093	SYT6	1	114696465
cg05368762	0.0135768385285429	TMBIM6	12	50135785
cg05368942	0.0298479500038076	RBM15	1	110881960
cg05369142	0.00954597145996127	ALS2CL	3	46735009
cg05369166	0.0289258762748642	NFASC	1	204797507
cg05372736	0.493609315939954	NA	NA	0
cg05373276	0.0159731111946817	NA	NA	0
cg05373457	0.601106613849696	KCNS2	8	99439948
cg05373692	0.145645458567567	ZDHHC15	X	74743375
cg05375800	0.0247663991467971	WDR31	9	116102362
cg05376895	0.317093243866743	PNMA3	X	152225366
cg05376954	NA	FPR1	19	52255673
cg05379350	0.0317218421393104	GIT1	17	27917157
cg05380570	0.0212885395502478	ARHGEF10L	1	17866686
cg05380910	0.619392011175627	STOML3	13	39564046
cg05380982	0.496190536432896	KCNJ6	21	39288378
cg05382123	0.334455876171353	C1orf94;CSMD2	1	34632585
cg05382565	0.0187939955553979	HMGXB3;TIGD6	5	149380781
cg05382730	0.0148905832234802	PHB2;EMG1	12	7080038
cg05384917	0.964309733249724	GPR109B	12	123200953
cg05385377	0.0318284041396671	TMEM51	1	15480844
cg05386606	0.0665914181203758	BCL7B	7	72972279
cg05388361	0.0141850570301438	STAT2	12	56754238
cg05389024	0.774317379986937	KBTBD10	2	170366131
cg05389183	0.0526551729699391	PPIC	5	122372942
cg05389335	0.0660458834295067	TACR3	4	104641319
cg05390437	0.024583856930334	NA	NA	0
cg05392265	0.69633489680577	DIRAS3	1	68516453
cg05393484	0.533993314817879	OR6A2	11	6818466
cg05394497	0.0103318248963518	DCAF17;METTL8	2	172290564
cg05395196	0.0156250921654189	HSF2	6	122720661
cg05395995	0.0245258504427004	NA	NA	0
cg05396987	0.349518694474213	TMEM155;LOC100192379	4	122686269
cg05397738	0.881446698924815	PGRMC1	X	118369571
cg05399360	0.0217059729324952	MICB	6	31466003
cg05399553	0.0242246565114706	SNRPB	20	2451552
cg05399697	0.582878712725621	NA	NA	0
cg05399707	0.0165225088362173	TRIP10	19	6739813
cg05401645	0.00767524140198491	FAM134C;TUBG1	17	40761567
cg05402265	0.0307580518264396	ICK	6	52926119
cg05403071	0.0934376380127265	SNAI1	20	48599682
cg05404787	0.875686300222757	C2orf48	2	10281526
cg05406101	0.927231065971123	RWDD2B	21	30392219
cg05409038	0.0451276569752625	TEX261	2	71221890
cg05409601	0.0257091189323234	CCNG2	4	78077912
cg05411032	0.0187677341526518	CLPTM1	19	45459158
cg05412136	0.0188654161194657	CLTA	9	36191352
cg05412531	NA		8	125183758
cg05413282	NA	PRSS3	9	33796088
cg05414225	0.0250609026525426	C9orf6;IKBKAP	9	111696926
cg05414338	0.0237754794082503		6	26250347
cg05417615	0.022801961324852	SLC10A7	4	147443478
cg05417950	0.141158764302457	NUDT6;SPATA5	4	123843025
cg05417985	0.00980708811342825	ENPP1	6	132128945
cg05418129	0.830511008140442	NA	NA	0
cg05418487	0.0331098873669981	KCNQ1	11	2466889
cg05419984	NA	PIGX;C3orf34	3	196438463
cg05420896	0.436205494072568	DCC	18	49867488
cg05421555	0.0154918385105164	AKAP13	15	85924342
cg05421673	0.0437670897702162	NOG	17	54671575
cg05421688	0.0905975607751803	FAM163A	1	179711859
cg05421946	0.00923572639549676	ABHD6	3	58223373
cg05422352	NA	COPS7B	2	232650747
cg05423257	0.977644957927817	ALPI	2	233321600
cg05428978	0.0190155253985547	CDCA7	2	174219986
cg05429895	0.134351141431105	TLR4	9	120466640
cg05432118	0.0139751730865791	PRKAB1	12	120105824
cg05433460	NA	ARHGAP1;ZNF408	11	46720913
cg05434957	0.0121411903102514	ICA1	7	8301435
cg05435853	0.0227599970243417	RNF41	12	56615825
cg05436231	0.168949619444368	CD164L2	1	27709789
cg05436658	NA	PRKCB	16	23847568
cg05437059	0.770189034329109	KCNE1L	X	108868775
cg05439318	0.0134947497277489	CYB5B	16	69458329
cg05439368	0.362978342686459	TRIM69	15	45028098
cg05440218	NA	KIAA0196;NSMCE2	8	126104540
cg05440289	0.276753886482356	IVL	1	152881119
cg05441133	0.970430367632444	GDF2	10	48416891
cg05442902	0.19291512786115	MGC16703;P2RX6	22	21369010
cg05443740	0.0239007228784875	KCNIP3	2	95963057
cg05444024	0.891766226599546	FUT6	19	5841072
cg05445326	0.747772067869443	TM4SF19	3	196065569
cg05446471	0.882949150387236	HDAC11	3	13522740
cg05449414	0.0273972829694463	ZNF721;ABCA11P	4	467983
cg05449607	0.0230660036417095	GTF3C6	6	111279612
cg05450995	0.0806603313787522	BCL7A	12	122460105
cg05451974	0.00945579806431747	SYS1;SYS1-DBNDD2	20	43991922
cg05454446	0.106789594926071	BMS1	10	43277757
cg05457411	0.0165536466756692	DDX19A	16	70381052
cg05459203	0.0174533165845309	NUDCD3	7	44530674
cg05461276	0.926436784849913	NA	NA	0
cg05461841	0.145990934592362	ZG16B	16	2879944
cg05462826	0.0200592773165337	ABI2	2	204193327
cg05463705	0.0131130529569211	ZNF143	11	9482308
cg05465755	0.00857636346447658	CKS2	9	91926196
cg05467106	0.0137425317265403	ZNF689	16	30621996
cg05467167	0.0299526854463045	GOSR2	17	45000793
cg05467458	0.790244732064964	SLC7A9	19	33361032
cg05467918	NA	ACADM	1	76189945
cg05468303	0.0474765095464542	DGCR6	22	18894389
cg05469695	0.011279842655818	CDC42EP3	2	37899953
cg05471297	0.543620492579592	RYR1	19	38924349
cg05471521	NA	CSTF1;AURKA	20	54968604
cg05471775	0.031962664127616	HIST1H4B	6	26027531
cg05472874	0.0742097760504717	SULT4A1	22	44258179
cg05473175	0.0384468774369252	CADM4	19	44143644
cg05473677	NA	OSTalpha	3	195943713
cg05473871	0.0336511816067397	ADAMTSL5	19	1513513
cg05475028	0.0151650206608822	BOD1L	4	13629588
cg05475277	0.575286179032716	FOXRED2	22	36902578
cg05475904	0.396305476710653	BCL10	1	85743377
cg05477024	0.0477356521349367	KIAA1804	1	233462765
cg05477027	0.0172888850920813	DMWD	19	46295590
cg05480532	0.720983047432371	NA	NA	0
cg05482722	0.95176915253626	UTP14C;ALG11	13	52598175
cg05483509	0.0293303852512607	ATP6V0C	16	2563435
cg05484458	0.78806778919686	GNB3	12	6949260
cg05484920	0.0433588762046474	SNRNP70	19	49588520
cg05485060	0.755293383668086	CTNNAL1	9	111776779
cg05485062	0.303919904166026	SERPINA12	14	94983863
cg05486551	0.0967241905623367	C20orf196	20	5731259
cg05488632	0.765139037098715	EPHX3	19	15343174
cg05492113	0.681815667038344	TUB	11	8060332
cg05492270	0.0306045883420453	RNF121;LOC100133315	11	71640085
cg05492503	0.0105902642338794	NA	NA	0
cg05492605	0.0109874053890786	PPP1R8	1	28157672
cg05492845	0.033442512473012	VEGFB	11	64002298
cg05494069	NA	PRKAA2	1	57111499
cg05494459	0.388392811795344	FTSJ1	X	48334337
cg05497107	0.0133426163481851	RUFY1	5	178978234
cg05497616	0.00917782677717743	CAMK4	5	110560372
cg05498681	NA	SRC	20	35973318
cg05499853	0.02346446452835	FAM188A	10	15902324
cg05500015	0.203956697411659	NAALAD2	11	89867819
cg05500074	0.821247419002347	TSKS	19	50266336
cg05501276	0.0119817795246334	TRA2A	7	23571514
cg05501357	0.688118005907932	HIPK3	11	33308269
cg05501584	0.60370261904102	ST8SIA2	15	92936306
cg05501658	0.0250360132179888	NA	NA	0
cg05501682	0.0626712830998918	DKFZP686I15217	6	2988723
cg05501721	0.0104505537882337	CRTC1	19	18794247
cg05503412	0.0136146544781779	C4orf14	4	57843540
cg05507459	NA	NXNL2	9	91148748
cg05507894	0.0125105811247359	C4orf34	4	39640920
cg05508048	0.0160331695580013	INTS6	13	52027321
cg05508067	0.0238639736530198	PNPLA4	X	7895590
cg05508084	0.338786891876488	ZNF667	19	56988398
cg05508558	0.034885092594255	CR2	1	207627372
cg05510041	NA	VCL	10	75758427
cg05511517	0.0518516483618168	NA	NA	0
cg05511685	0.900946633513191	RGS9	17	63184288
cg05511752	0.34228896678513	MED12	X	70338656
cg05512099	NA	PLEKHF1	19	30155866
cg05512756	0.607838038430116	UGT3A1	5	35991735
cg05516537	0.0282733332962252	TFDP1	13	114239958
cg05516832	0.0216451158388757	SGTA	19	2783122
cg05517572	0.201500717172047	STAP2	19	4338769
cg05517711	NA	ST6GALNAC6	9	130662451
cg05518543	0.0217179310094832	MAEA	4	1283165
cg05520656	0.0185878517984069	NA	NA	0
cg05521696	0.491847248703705	NA	NA	0
cg05522288	0.023677680189208	NAA38	7	117824098
cg05522383	0.246032293117508	PITX2	4	111557894
cg05523047	0.0115364133222744	VLDLR;FLJ35024	9	2621379
cg05523085	0.0232728457016668	MYO5A	15	52821854
cg05523254	0.0126735109409429	MFN2	1	12040215
cg05526376	0.0251972422260254	LMTK2	7	97736360
cg05528918	0.940993440704227	ZFP161	18	5293319
cg05529097	0.0363379037165924	FXR2;SHBG	17	7518511
cg05531055	0.0316835987383255	TOM1	22	35695625
cg05532892	0.0462276593155087	PDE3B;PSMA1	11	14666436
cg05535113	0.881403771376918	CHST4	16	71559579
cg05538387	0.0194841218317319	POLL;RP11-529I10.4	10	103348072
cg05538432	0.239504847808029	C1S	12	7167751
cg05546038	0.887112917868479	NOL3	16	67207033
cg05546044	NA	MAPK1	22	22222597
cg05546383	0.948896850843263	OTUD4	4	146095813
cg05547500	0.817518696884141	TXNDC2	18	9885809
cg05547993	0.0134220760908187	VAC14	16	70835035
cg05552534	0.0156448233853128	ABCB10	1	229693713
cg05554718	NA	HIST1H1D	6	26235699
cg05554936	0.0123737663993493	RAB3D	19	11450261
cg05556020	0.878401551536291	REN	1	204135243
cg05556202	0.726472638495395	TM4SF19	3	196065106
cg05556210	0.0626118191376636	ZFHX3	16	73082405
cg05556717	0.743184793441003	CCL26	7	75419304
cg05558390	0.463128108596391	GNASAS;GNAS	20	57415377
cg05559445	0.468756163461665	CDKN1C	11	2907674
cg05562327	0.0732280812777954	CPEB2	4	15005910
cg05562817	0.0521189536511015	CLDND2	19	51871466
cg05564251	0.75847494102923	SP140	2	231090640
cg05564266	0.850402728276705	C6orf204	6	118973597
cg05564657	0.929824497008519	AADAC	3	151531375
cg05565537	0.90028077943533	GALNT6	12	51773409
cg05566397	0.0285669819762536	MLL5;LOC100216545	7	104654900
cg05566965	0.015308871328926	BID	22	18256588
cg05568762	0.0112484843586569	LCORL	4	18023126
cg05569220	0.330773726349281	LOC388428;AATK	17	79138873
cg05570980	0.165044701413083	C3orf52	3	111804983
cg05573563	0.673005526652564	TRAPPC2;OFD1	X	13751423
cg05575043	0.0231202153595569	ZNF394	7	99097635
cg05576974	0.0113602573370228	TROVE2;UCHL5	1	193028138
cg05577173	0.0216502249729335	PAPD4	5	78908678
cg05585544	0.924283566638212		11	47624801
cg05587158	0.773174098402413	ARR3	X	69487748
cg05587474	0.0222252243955104	NA	NA	0
cg05587736	NA	NUP93	16	56780751
cg05588972	0.0365196249039791	C1orf89	1	16563855
cg05589246	0.0744777273494703	HOXC12	12	54348719
cg05590257	0.0964610857762975	PLD6	17	17109570
cg05590294	0.829717038851122	CD69	12	9913395
cg05590567	0.0229237167665145	NA	NA	0
cg05590982	0.108583973854602	NUPR1	16	28550171
cg05592398	0.0719814611113603	LIMK1	7	73497778
cg05592434	0.31903566556008	NA	NA	0
cg05592527	0.18367919056401	ARMCX6	X	100872988
cg05593300	0.0625481917526141	NA	NA	0
cg05593325	NA	GALNT12	9	101569696
cg05593479	0.0456755466279915	TIGD1;EIF4E2	2	233415006
cg05593780	0.0219684935095614	ACO2;PHF5A	22	41864983
cg05594230	0.289815694503395	INGX;BCYRN1	X	70712403
cg05595345	0.0683225461352154	ARRDC4	15	98504173
cg05596294	0.10093801097439	LPPR4	1	99729757
cg05596756	0.647519215193792	FAM113B;LOC100233209	12	47610220
cg05598246	0.896548820618346	MOG	6	29624414
cg05600174	0.0513988805694178	NA	NA	0
cg05600717	0.1457939925271	DHRS12	13	52378744
cg05602212	0.0371393601971063	ZFYVE16	5	79703393
cg05602615	0.0114871442831961	SETD3;CCNK	14	99947482
cg05603623	0.0250725179002323	TIMM44	19	8008081
cg05604720	0.0271026004899043	RIPK2	8	90769698
cg05606799	0.236102597273469	KISS1	1	204165307
cg05607127	0.0253293596796097	KCNG3	2	42721581
cg05607401	0.705497615218404	GMFG	19	39826693
cg05607472	0.00995613956657575	CSNK1A1	5	148930374
cg05608188	0.0273378394322031	TMEM168	7	112430152
cg05610148	0.0156984942171801	C1orf93	1	2517425
cg05610379	0.00899092308499852	NSMCE4A	10	123734658
cg05612904	0.0156576312893349	DPH5	1	101491636
cg05615150	0.852092073321299	ARPP-21	3	35683815
cg05615487	0.816843409016312	ACR	22	51176407
cg05619712	0.691088732261475	CRYGC	2	208994720
cg05621401	0.0230496504052093	RET	10	43572065
cg05621759	NA	ZNF117	7	64452073
cg05624196	0.279537514451972	APOD	3	195310883
cg05624932	NA	CRISPLD1	8	75897310
cg05626013	0.33180597506182	CTNNA3;LRRTM3	10	68685252
cg05627103	0.0204062632439558	KIAA1984	9	139694135
cg05628549	0.0690982993925096	PRKCDBP	11	6341895
cg05633152	0.933897900332125	SLC10A1	14	70263811
cg05636175	NA	TNFRSF10C	8	22960397
cg05637351	0.0239432833208076	CDH7	18	63417669
cg05637892	0.0238443257285798	SCFD1	14	31091672
cg05641882	0.0167728272701301	CXCL3	4	74904583
cg05641961	0.0149275390662694	CIB1;C15orf58	15	90776927
cg05642698	0.0156511181485182	SEC63	6	108278844
cg05646865	0.948635013282738	SLFNL1	1	41486908
cg05647526	0.023000459972403	CALU	7	128379677
cg05647859	0.0751040576796966	LIN7A	12	81331718
cg05649009	0.748603802406689	CHRNA1	2	175629850
cg05650171	0.326109513396238	PFDN2;NIT1	1	161089102
cg05650565	0.0115347271000127	UBXN4	2	136499412
cg05650764	0.0161839531829566	SAPS3	11	68227812
cg05654163	0.925213746016567	SLC39A2	14	21467502
cg05654164	0.462357141709359	C1orf52	1	85725892
cg05655041	0.886592616961729	ASB11	X	15334253
cg05655556	0.0170326651547345	PSMD2	3	184016629
cg05656180	0.615199234915997	KCNQ1DN	11	2890258
cg05656364	0.0250003911815775	VAMP8	2	85804732
cg05657090	0.688011526644621	RNASEH2A	19	12917086
cg05657520	0.886863705813794	OPTC	1	203462521
cg05658858	0.0128627344806661	TUBGCP2;ZNF511	10	135121916
cg05659526	0.953589997767041	FCER1G	1	161184528
cg05659947	0.213527211949953	C4BPB	1	207262190
cg05660795	0.150596573810424	IGFBP1	7	45928003
cg05661333	0.0133434551511692	GABBR1	6	29600200
cg05661838	NA	MOS	8	57026568
cg05662500	0.0233297148775437	GPD1L	3	32147877
cg05663262	NA		1	43930279
cg05664072	0.0408409351825765	PER2	2	239198294
cg05666713	0.774931183662612	IGFN1	1	201181883
cg05668720	0.0188765669084353	TUBE1;C6orf225	6	112408820
cg05668853	0.446508243238137	RAB34	17	27044169
cg05669100	0.0366639403442892	FAM103A1	15	83655128
cg05669210	0.0739869193697049	SLC12A9	7	100450634
cg05669980	0.0143663614358295	NA	NA	0
cg05670275	0.010528813006085	TRIP12;FBXO36	2	230787279
cg05670348	0.0381422601897321	LARGE	22	34316316
cg05670408	0.0515400292678476	MAN1C1	1	25944102
cg05670596	0.494994059328708	CCRL2	3	46448496
cg05671018	0.910039964253754	LYSMD2	15	52030641
cg05671350	0.613413902003064	P4HA3	11	74022348
cg05672265	0.0171029653532867	SLC20A1	2	113403002
cg05673087	0.0133519945639065	GEMIN8	X	14048156
cg05674036	0.91107911840707	OR3A3	17	3323791
cg05674199	0.148563179462756	AHCY	20	32891428
cg05674444	0.0873568342320079	C21orf99	21	14414818
cg05674944	0.153872827304914	SLC30A2	1	26372290
cg05675373	0.514479110199265	KCNC4	1	110754257
cg05676042	0.0237976927393151	NA	NA	0
cg05677402	0.0081067297051399	UBE2L6	11	57335051
cg05678175	0.0185961351451121	TRIM28	19	59056626
cg05678938	0.0209550761067616	USP13	3	179371510
cg05679521	0.0275010797117743	MAP2K3	17	21188468
cg05679613	0.900453966972305	MEPE	4	88754043
cg05680424	0.0259726333139854	BPGM	7	134331560
cg05681757	NA	FGD4	12	32655034
cg05684015	0.0199741795902659	DR1	1	93811877
cg05684195	0.770562076839354	CIDEC	3	9920572
cg05684891	0.0207042628166278	DAB2IP	9	124461171
cg05688084	0.0222878521549899	MRTO4;KIAA0090	1	19578805
cg05689121	0.0245997075425413	TNRC6A	16	24740934
cg05695927	0.0189223325765449	SPATA5L1	15	45694626
cg05696092	0.27965067107335	PRRG2;NOSIP	19	50084283
cg05697231	0.0333921153593313	PML	15	74286614
cg05697249	0.273965277882726	C11orf52	11	111789693
cg05697976	0.830894515567201	FAR2	12	29376483
cg05698069	0.323080457207728	PDLIM2	8	22436246
cg05698090	0.0254497346758688	CERK	22	47134664
cg05699592	0.0233955992453482	PRKAR2A	3	48885332
cg05699806	NA	ARSF	X	2984985
cg05700681	0.942289529486098	CCL22	16	57392764
cg05701114	0.197022865901991	NA	NA	0
cg05702633	0.0105505747004101	PPP1R15B	1	204381220
cg05702737	0.0413517406329349	WNT10A	2	219745297
cg05702774	NA	SUCNR1	3	151590098
cg05702952	0.0102999381056031	PDK1	2	173420889
cg05705366	0.0177706670401061	SNX18	5	53813915
cg05705583	0.0295259467593818	CAMLG	5	134073432
cg05706061	0.187196520894928	SLC31A2	9	115912974
cg05709923	0.0272444751108526	SAMM50	22	44351079
cg05711886	0.858060695542293	MEG3	14	101292680
cg05714219	0.0159946626915658	GALNT14	2	31361104
cg05714479	0.0126535668260955	LATS2	13	21634945
cg05714729	0.928713616938244	GALNT1	18	33234096
cg05715287	0.0582133766298167	CDC40;WASF1	6	110501610
cg05715649	NA	SYT2	1	202680562
cg05717160	0.0197870149995175	USMG5;PDCD11	10	105156505
cg05718253	0.966028359025145	LOC55908;DOCK6	19	11347359
cg05718625	0.0313346781222499	TMEM85	15	34517320
cg05719902	0.541504071901173	SVOPL	7	138348774
cg05720937	0.0109777349474523	ACTR1B	2	98280362
cg05721199	0.745797025586611	SAMD7	3	169629136
cg05722552	0.0270540525866682	NLGN1	3	173116094
cg05722906	0.172730373254405	CYP4F12	19	15783791
cg05722918	0.0217711053983948	SLC5A8	12	101603929
cg05723825	0.466063041841242	TEKT4	2	95537475
cg05724065	0.298929715695665	PHKG1	7	56160528
cg05725452	0.0130932830192365	SDF2L1	22	21996709
cg05726109	0.93184540711745	SEPT5;GP1BB	22	19709755
cg05727959	0.0107414537543221	C12orf48	12	102514075
cg05728656	0.0101829616418594	C6orf47	6	31628427
cg05729093	0.0340384837922541	IL4R	16	27324953
cg05730092	0.952996251129484	BEGAIN	14	101036470
cg05731779	0.949325701735113	NA	NA	0
cg05732130	0.017496905835122	GINS3	16	58426207
cg05732530	0.0108658143394166	DUSP2	2	96811060
cg05739825	0.019141584239022	EI24	11	125439882
cg05740244	NA	LDHC	11	18434015
cg05741384	0.0212113548581065	ODC1	2	10588838
cg05742308	0.0398772088510515	SEMA3A	7	83824384
cg05743054	0.0146201281260485	MLF1	3	158288903
cg05744229	0.875404306417829	MYH7	14	23904678
cg05745457	0.836864207143817	TKTL2	4	164394816
cg05745851	NA	CCDC62	12	123259105
cg05747424	0.013304592944977	WDR89	14	64108561
cg05749161	0.0159933270751826	NA	NA	0
cg05749577	0.0133085300632415	KIF23	15	69706710
cg05749792	0.905890471336275	DGAT2L6	X	69397704
cg05750321	0.968697512003584	CGNL1	15	57668039
cg05751148	0.734497520048149	PTPRCAP	11	67204799
cg05751159	0.012318578482064	TSGA14	7	130081017
cg05751979	0.0276976824818843	TCEB1	8	74883978
cg05754589	0.0259164352153573	HNRPA1L-2;HNRNPA1;CBX5	12	54674412
cg05754631	0.0315103108255372	GAB1	4	144258809
cg05755354	0.905040730628586	FRMD4A	10	14372596
cg05755779	0.950164839616664	COLEC10	8	120079625
cg05755837	0.0214073486417703	PMPCB	7	102937659
cg05759269	0.0190022658887157	CDKN1A	6	36646253
cg05761032	0.0193678927513254	CCPG1	15	55700743
cg05761971	0.8603043626396	FAM82A1	2	38177677
cg05764061	0.0533989189697548	PPM1B	2	44395934
cg05764376	0.0570256794260388	LRRC49;THAP10	15	71184590
cg05764607	0.0137931840618754	GSTCD;INTS12	4	106630108
cg05766425	0.0692426174024131	LUC7L3	17	48796751
cg05766474	0.951730670811441	NA	NA	0
cg05767404	0.607879784873475	C1orf150	1	247712591
cg05768141	0.12590595171615	KCNJ10	1	160039847
cg05769161	0.0265530811525044	B4GALNT3	12	568826
cg05769169	0.0224042583995933	EGLN3	14	34419832
cg05772663	0.637159344138015	HTR2C	X	113818412
cg05773628	0.0712325927511829	NCKAP1	2	183903770
cg05774801	0.0612090549871133	SFRP2	4	154709756
cg05776763	0.0453559223349751	DLST	14	75348391
cg05777319	0.0147877137827824	ARL6	3	97483919
cg05778847	0.217815628888251	PPP1R14A	19	38746538
cg05779068	NA	OR2W1	6	29014046
cg05779272	0.562522625948201	B4GALT1	9	33168018
cg05780311	0.0103168128060746	STAT5B	17	40428759
cg05780616	0.020706449116585	SNRPF	12	96252764
cg05781767	NA	PODXL2	3	127347362
cg05782292	NA	SCT	11	628318
cg05782445	NA	KCNK3	2	26915207
cg05782975	0.374996860738157	NGFRAP1	X	102631408
cg05786601	0.557479215372742	AR	X	66764126
cg05786809	0.0218223896855941	CKB	14	103989478
cg05788437	0.0128961277259477	FYTTD1;KIAA0226	3	197476880
cg05788526	NA	MTMR2	11	95656876
cg05788638	0.840489810813295	SERPINA10	14	94759020
cg05790038	0.525540386570471	TRPV3	17	3461143
cg05790999	0.00904860639627981	HS1BP3	2	20850809
cg05793077	0.0529232062160463	GSN	9	124030744
cg05795157	0.0238052962304915	PIAS3	1	145576107
cg05795313	0.102900794158872	ZNF641	12	48745136
cg05797656	0.0166574857123525	DDX42;CCDC47	17	61851352
cg05798712	0.763917225723341	NA	NA	0
cg05798972	0.0310143806566691	MED1	17	37607105
cg05799317	0.536373882879585	C6orf118	6	165723796
cg05800321	0.892310695597454	LY6D	8	143867799
cg05801573	0.1275135073847	SLITRK4	X	142722740
cg05801648	0.0539488337749293	SYK	9	93564456
cg05806233	0.0247592304871481	GNAI1	7	79763748
cg05807444	0.457136754857188	VPS28;NFKBIL2	8	145654635
cg05807768	0.0170038319842036	CAPZA1;ST7L	1	113162570
cg05807991	0.0613882437470756	TRAM1L1	4	118006808
cg05810550	0.322176026599381	NA	NA	0
cg05812599	0.911368199649937	CLPB	11	72146256
cg05813084	0.019310438933625	EFNA3	1	155051569
cg05813234	0.470389629336292	NA	NA	0
cg05815893	0.0330640651640396	C17orf80;FAM104A	17	71228832
cg05815906	0.0525494026970256	RAB33B	4	140374338
cg05817232	0.0462602893976269	MARK4	19	45755260
cg05819268	0.98481478962253	CACNG1	17	65040739
cg05820087	0.118130468362804	ATP13A4	3	193272561
cg05822100	0.487580759423623	CDH6	5	31194410
cg05822532	0.122645845477232	ELN	7	73442531
cg05823029	0.401173245517088	ATP4B	13	114312758
cg05824215	0.750738369476312	NA	NA	0
cg05824432	0.00834939724106709	DCI	16	2301222
cg05824484	0.0107680628450545	IL17RA	22	17565874
cg05824762	0.0229203996357061	ZER1	9	131533797
cg05825950	0.303292778064284	CR1	1	207669576
cg05826823	0.869399498942314	CIZ1;DNM1	9	130968072
cg05828624	0.314514084567292	REG1A	2	79347699
cg05829479	0.113487209740622	C6orf141	6	49518079
cg05830416	0.0277126894296956	C9orf100	9	35665010
cg05832051	0.00926400170070466	MYADM	19	54369469
cg05832487	0.0161386626799204	C16orf59	16	2509755
cg05835416	NA	CYP2C18	10	96442674
cg05836145	0.719918991863425	SP8	7	20827117
cg05837075	0.0141298056629092	ERO1L	14	53162160
cg05839235	0.0700308598488842	NPR3	5	32712237
cg05840031	0.532979233155953	PAX6	11	31832353
cg05840553	0.051088935732688	RPL12;LRSAM1	9	130212635
cg05843340	0.0102989640622174		5	68628618
cg05843800	0.0249352842307595	SUMF1	3	4508875
cg05844583	0.0232067774814134	SLC19A3	2	228582789
cg05845178	0.0103111401708318	IL17RE;IL17RC	3	9957531
cg05845357	0.0175750036846592	CBY1;LOC646851	22	39052748
cg05845503	0.00888378408703113	NA	NA	0
cg05846716	0.052234824437715	PCSK2	20	17208109
cg05847038	0.584585204603291	ADAM7	8	24298771
cg05847778	0.0155086745346494	BBS5	2	170336167
cg05851042	0.972667958640769	ATP9A	20	50386166
cg05851163	0.0257493787398389	DSEL	18	65183566
cg05852416	0.0101986819864052	NFKBIA	14	35874177
cg05855071	0.0442739596289463	C15orf29	15	34501719
cg05856884	0.945178601848308	SMPX	X	21776372
cg05856931	0.0220644885046134	MSI2	17	55333097
cg05857825	0.0298448732697292	MAPRE1	20	31408213
cg05859264	0.211599697617947	MAPK13	6	36097692
cg05859842	0.74626336827158	FRMPD2	10	49483356
cg05860890	0.304132267414919	KCNV1	8	110986870
cg05861567	0.483815302134156	MLC1	22	50523686
cg05861661	0.0477422636745004	FAM98B	15	38746192
cg05862431	0.0220127973990864	BUD13	11	116644198
cg05863612	0.910161832869227	DNMBP	10	101731833
cg05868316	0.00928012394301359	FBXW9	19	12807494
cg05868799	0.170395131765859	NCOA2	8	71316869
cg05869585	0.856736740537647	TMEM186;PMM2	16	8890233
cg05869964	0.944230513845559	C5orf13	5	111095756
cg05871136	0.0234673175076568	UNC5B	10	72971961
cg05871607	0.0309226030900811	RPA2	1	28241317
