Hybridization REF	TCGA-B6-A0IN-01A-11D-A032-05	TCGA-B6-A0IN-01A-11D-A032-05	TCGA-B6-A0IN-01A-11D-A032-05	TCGA-B6-A0IN-01A-11D-A032-05
cg05142115	0.0195293442756357	GGCT	7	30544301
cg05142373	0.0321303018957417	FZD1	7	90894714
cg05142576	0.0207423795872042	NA	NA	0
cg05144089	0.0214137185637814	SNORA14B;TOMM20	1	235292386
cg05146205	0.0159712771888596	CUX1	7	101458365
cg05146762	0.0385856274152699	GTF2IRD1	7	73868174
cg05149586	NA	SDSL	12	113859869
cg05150177	0.0273755533904346	NA	NA	0
cg05152459	0.72031471382169	MAGEE2	X	75005087
cg05154390	0.0865142589992936	MRPS15	1	36929274
cg05155595	0.537126379690156	ANXA4	2	70008161
cg05156613	0.928170990362432	ACTL7B	9	111618129
cg05157725	0.703276683386808	COL21A1	6	56112484
cg05158538	0.140886607978664	PPARGC1A	4	23891486
cg05158615	0.677623656435629	NPY	7	24323559
cg05159188	0.0367973522191836	HIST1H4F	6	26240579
cg05159732	0.892825273980299	HCRT	17	40337534
cg05160935	0.0184400192479697	MED30	8	118532754
cg05161795	0.707867194964353	ZDHHC3;EXOSC7	3	45018949
cg05163057	0.181166094674367	SPPL2B;LSM7	19	2329403
cg05163071	0.340414401974492	RETNLB	3	108476540
cg05163206	0.767890666805966	NA	NA	0
cg05163348	0.0953052108902941	RPP30	10	92631428
cg05163588	NA	LIMK1	7	73498778
cg05164185	0.0555134121281797	CCND1	11	69456412
cg05164634	0.0975812585777461	WNT10B	12	49366538
cg05165580	0.0164933830639926	ADAT1	16	75657337
cg05168404	0.512250290065842	SLC29A4	7	5321726
cg05170326	0.0112329866704524	LPCAT3	12	7125723
cg05171367	NA	HIP1	7	75368241
cg05173789	0.0143982668923208	RPLP0	12	120639210
cg05174079	0.704403121046331	NA	NA	0
cg05179880	0.0231416802991249	PDCD7	15	65426293
cg05180295	0.0515295249945457	NA	NA	0
cg05181279	NA		11	11982794
cg05181565	0.0118615059331213	SSU72	1	1509872
cg05184394	0.840228826485648	FAM123C	2	131512773
cg05185584	0.604065329109237	KCNJ11	11	17410182
cg05186188	0.927190069250042	AQP8	16	25228569
cg05187322	NA	CARD14	17	78152328
cg05189291	0.0159124155670081	THG1L	5	157158457
cg05190718	0.797019308348486	CASQ2	1	116310712
cg05191071	0.343884897536203	NA	NA	0
cg05191792	0.0137954310934099	WRNIP1	6	2765113
cg05193832	0.869672647568831	KCNJ1	11	128736844
cg05194726	0.637030707328243	NRIP2	12	2944480
cg05197908	0.0179252169708903	NA	NA	0
cg05200311	0.0173407328294272	DEK	6	18264737
cg05200606	0.0949888288595471	CCND1	11	69457819
cg05200628	0.876493148473751	CD48	1	160681760
cg05203877	0.0191648090584405	SLC8A3	14	70655686
cg05205664	0.0209618859941966	UCP2	11	73694566
cg05206587	0.782694461586227	GLRA2	X	14547880
cg05206661	0.884457880770768		2	11271531
cg05208153	0.827626359639699	C9orf25;C9orf24	9	34398637
cg05208878	0.416959221580096	PRAME;LOC648691	22	22901596
cg05209463	NA	C4orf10;MFSD10	4	2935884
cg05209917	0.885474245385839	CNTN6	3	1134730
cg05210526	0.0204752312403533	PGM1	1	64059049
cg05213296	0.292448130883663	RPF2	6	111302729
cg05215575	NA	SEPT12;LOC440335	16	4838722
cg05216141	0.074792072877073	ETV7	6	36354960
cg05217755	0.013287501472686	ERF	19	42758976
cg05218490	0.0735149633716185	ORC4L	2	148778969
cg05219900	0.0204807028675983	TLN1;CREB3	9	35732569
cg05221167	0.615240237115152	ZNF560	19	9609397
cg05221264	0.948440961375109	CELA2A	1	15783513
cg05222924	0.669787807677937	WT1	11	32450486
cg05225390	0.0143075935264104	ZW10	11	113644407
cg05225996	0.0939786193803978	ZNF205;MGC3771	16	3163017
cg05226008	0.582892603853391	DLC1	8	13372132
cg05227963	0.0268699428983039	RFC5	12	118454258
cg05228408	0.143003945240735	CLCN6;MTHFR	1	11865352
cg05229898	0.0123647412311681	EGR1	5	137801343
cg05232067	0.0268854782306272	BNIP3L	8	26240888
cg05232889	0.212908012787197	FOXP2	7	114055419
cg05236037	NA	ZNF202	11	123612483
cg05236474	0.018364545019884	C17orf59	17	8093493
cg05237543	0.0352874438568353	MTDH	8	98656054
cg05238794	0.0837989478140498	NA	NA	0
cg05241571	0.875291285264015	KRTDAP	19	35981224
cg05242523	NA	KLK14	19	51588750
cg05242945	0.0173909839583422	RPSA	3	39447984
cg05243804	0.0179762089357425	FECH	18	55254238
cg05243815	0.00946088184126892	STRAP	12	16035684
cg05243874	0.0191008447693917	NA	NA	0
cg05243909	0.0341564041347881	NTHL1;TSC2	16	2097910
cg05244766	0.364191366944071	GSTP1	11	67350499
cg05245515	0.282765834332127	SLC39A2	14	21467273
cg05245861	0.598220093478237	C18orf34	18	31020511
cg05246522	0.798718974963286	KSR1	17	25798973
cg05248470	NA	LILRB2	19	54785348
cg05248781	0.949365425981921	LCE5A	1	152483199
cg05249393	0.0304823168976425	LDLR	19	11199883
cg05250458	0.249074564744072	ZNF177	19	9473565
cg05250673	0.0134092912626886	NA	NA	0
cg05251000	0.112389812124357	FREQ	9	132935664
cg05252264	0.677065064105652	FCAR	19	55385587
cg05253159	0.541538339569468	SH2B2	7	101928560
cg05253327	0.93581140514716		2	62420915
cg05254049	0.794918348730984	SYN1	X	47479662
cg05254747	0.884498358613903	SLC39A14	8	22223937
cg05256043	0.856232251403544	DCT	13	95131951
cg05257479	0.0120388073064964	WARS2	1	119683279
cg05257610	0.230501988747358	CEBPZ;C2orf56	2	37457596
cg05259765	NA	CYTH4	22	37677244
cg05260966	0.241400220599252	SYN3;TIMP3	22	33197394
cg05261289	0.0139847277641577	STARD7	2	96874823
cg05261299	NA		12	52437299
cg05261824	0.883918052155551	ZNF165	6	28046730
cg05262335	0.78173044386955	TAGAP	6	159466062
cg05263682	0.0284642107148273	RNGTT	6	89673273
cg05266460	0.7711838617474	LOC91316;RGL4	22	24032819
cg05266781	0.126768435459458	IRX5	16	54965492
cg05270634	0.186276459738853	RND2	17	41177445
cg05275231	0.0772652317780102	DCAF13;SLC25A32	8	104427896
cg05275605	0.876505085305472	NCRNA00175;COL18A1	21	46844883
cg05275752	0.0685480848059138	GALM	2	38892887
cg05276137	0.0123545419257644	SLC2A4RG	20	62370796
cg05279707	0.0372251140468133	ADNP	20	49547986
cg05279864	NA		7	87109319
cg05280555	0.0227429514376505	CNOT10	3	32727089
cg05284582	0.0205186471314624	DNAJC18	5	138775061
cg05284724	0.018378363335621	TTC26	7	138818658
cg05286874	0.00783733331282225	ABCA1	9	107690485
cg05287690	0.142865708187327	FBXW7	4	153456344
cg05288569	NA	KLHL11	17	40021733
cg05288803	0.0121921081385352	SYN3;TIMP3	22	33198055
cg05289701	0.0313167076057959	C12orf11;FGFR1OP2	12	27090805
cg05290904	0.0285094155997256	RBBP5	1	205091401
cg05291178	0.963364132839639	C3orf24	3	10149466
cg05292376	0.447676255156437	AATK	17	79095236
cg05293216	0.538650289114002	FANCG	9	35080812
cg05293407	0.0222743436468793	TRIM27	6	28891967
cg05294095	0.00973328176198579	PSMD8	19	38865080
cg05294243	0.136611681813358	KLK13	19	51569106
cg05294455	0.838712364030192	MYL4	17	45286609
cg05300132	0.938392793107348	EXD2	14	69676275
cg05301102	0.0254744588054146	STX6	1	180992117
cg05301852	0.822748083922891	FABP1	2	88427827
cg05303448	NA	AACS	12	125549535
cg05306006	0.0134822391259091	RPE	2	210867127
cg05306176	0.126029535279404	KDSR	18	61034324
cg05306735	0.0680087570881721	ZNF273	7	64363575
cg05307923	0.0398081744825876	ADARB2	10	1779667
cg05308484	0.0121500040705771	C12orf5	12	4429999
cg05308617	0.0363742279091322	ARMC8	3	137906066
cg05310071	0.0452523003124485	PIGL	17	16120569
cg05311623	0.0507983418895337	ANXA5	4	122618007
cg05313261	0.0849632348386536	MAPK3	16	30134350
cg05316065	0.148649969699919	GSDMC	8	130799007
cg05318777	0.0907916047288711	BBS7	4	122791956
cg05321960	0.0535544166590742	KIAA0907	1	155904084
cg05322019	0.777803260948212	SEMA4G	10	102732323
cg05322222	0.300682075250295	TMEM151A	11	66059064
cg05323436	0.0214951215146005	LAMB2	3	49171185
cg05325699	0.0455145540426912	HAP1	17	39890756
cg05327750	0.0493832718631451	RBM41	X	106361572
cg05330360	0.67290634389179	ZPBP2	17	38023993
cg05331214	0.832362472875443	SCN7A	2	167343774
cg05333568	0.168103468944899	C1orf65	1	223566794
cg05334239	0.0538269332449511	C15orf57	15	40857495
cg05334253	0.0187017058806424	NDEL1	17	8338877
cg05335315	0.0796282886155476	JAG2	14	105635708
cg05337441	0.0513892230189358	APOB	2	21266568
cg05337966	0.011972240783849	C13orf1	13	50510151
cg05338155	0.028145978986192	IFIT5	10	91174651
cg05338167	0.787537401306389	CALML4	15	68498251
cg05339305	0.0186314788010794	CCDC85B	11	65657822
cg05339472	0.0187013239080246	EIF1AX	X	20159528
cg05341115	NA	HYAL4	7	123485591
cg05341670	0.0109201602250928	TMEM59;C1orf83	1	54518153
cg05341878	0.754803093966386	NA	NA	0
cg05342835	0.216771600081766	SYNC	1	33160791
cg05343453	NA	C7orf45	7	129847153
cg05345286	0.195771168060975	MDFI	6	41606641
cg05346140	0.961313044896277	HSPB9	17	40275057
cg05346899	0.0208782283644033	LASS4	19	8273912
cg05347567	0.0332217453800972	ZC3H10	12	56512408
cg05348123	NA	SCRG1	4	174321584
cg05348272	0.0129339918522465	TBCD	17	80710049
cg05348870	NA	TNFSF14	19	6671045
cg05350879	NA	SPARCL1	4	88451223
cg05352541	0.0124693596813921	PITPNB;LOC284900	22	28315563
cg05352668	0.797902306870432	C1orf127	1	11023756
cg05354432	0.0228474825006861	LEF1;LOC641518	4	109089890
cg05357320	NA	ZNF317	19	9251080
cg05358291	0.238225578658781	CYP4F2	19	16009219
cg05358404	0.626246670766874	RTEL1	20	62288950
cg05360220	0.019933987887303	NA	NA	0
cg05360265	0.0656987981901812	STXBP5	6	147525477
cg05361373	0.0702278439130443	PYCARD	16	31213883
cg05361811	0.0333495274393117	UTP20	12	101674038
cg05362516	0.0408813021089499	IRX5	16	54965089
cg05362669	0.0661877306849491	PTPRG	3	61547285
cg05364569	0.838115539366361	NA	NA	0
cg05365525	0.0236065118814083	DEPDC6	8	120885882
cg05365670	0.288070517870119	LPCAT1	5	1524551
cg05365729	0.484562897268334	LOXL2	8	23262073
cg05366401	0.0113812583625995	TM9SF1	14	24664722
cg05367858	0.0145660442744269	RNF141	11	10562295
cg05368089	0.0170300881937862	PFDN5	12	53689374
cg05368341	0.589904405926711	SYT6	1	114696465
cg05368762	0.0116524187568324	TMBIM6	12	50135785
cg05368942	0.0320626191783821	RBM15	1	110881960
cg05369142	0.0111097143987462	ALS2CL	3	46735009
cg05369166	0.301850286920811	NFASC	1	204797507
cg05372736	0.655948175552978	NA	NA	0
cg05373276	0.0121217480803405	NA	NA	0
cg05373457	0.225222124432058	KCNS2	8	99439948
cg05373692	0.143800240443476	ZDHHC15	X	74743375
cg05375800	0.0274538997480413	WDR31	9	116102362
cg05376895	0.786742714084026	PNMA3	X	152225366
cg05376954	NA	FPR1	19	52255673
cg05379350	0.155587474100312	GIT1	17	27917157
cg05380570	0.0352617369016553	ARHGEF10L	1	17866686
cg05380910	0.829113596160699	STOML3	13	39564046
cg05380982	0.299523609625097	KCNJ6	21	39288378
cg05382123	0.714972551027425	C1orf94;CSMD2	1	34632585
cg05382565	0.0216737902180149	HMGXB3;TIGD6	5	149380781
cg05382730	0.0143089863124969	PHB2;EMG1	12	7080038
cg05384917	0.903831629231896	GPR109B	12	123200953
cg05385377	0.0361609681202765	TMEM51	1	15480844
cg05386606	0.0523111066549342	BCL7B	7	72972279
cg05388361	0.0112129878492444	STAT2	12	56754238
cg05389024	0.464856536051543	KBTBD10	2	170366131
cg05389183	0.0405428298432284	PPIC	5	122372942
cg05389335	0.0772839623290175	TACR3	4	104641319
cg05390437	0.0173292093310191	NA	NA	0
cg05392265	0.560502472595276	DIRAS3	1	68516453
cg05393484	0.919066622143239	OR6A2	11	6818466
cg05394497	0.0101749854644639	DCAF17;METTL8	2	172290564
cg05395196	0.0162399467824427	HSF2	6	122720661
cg05395995	0.0229865522970565	NA	NA	0
cg05396987	0.617549343594272	TMEM155;LOC100192379	4	122686269
cg05397738	0.822126377733732	PGRMC1	X	118369571
cg05399360	0.0153122999160859	MICB	6	31466003
cg05399553	0.0357777099204943	SNRPB	20	2451552
cg05399697	0.797583783215277	NA	NA	0
cg05399707	0.0166033561051148	TRIP10	19	6739813
cg05401645	0.00789618370331731	FAM134C;TUBG1	17	40761567
cg05402265	0.0266820418588126	ICK	6	52926119
cg05403071	0.0188727730012631	SNAI1	20	48599682
cg05404787	0.465728398497677	C2orf48	2	10281526
cg05406101	0.515083711024188	RWDD2B	21	30392219
cg05409038	0.0379049837320288	TEX261	2	71221890
cg05409601	0.0217385105923934	CCNG2	4	78077912
cg05411032	0.0194415915814637	CLPTM1	19	45459158
cg05412136	0.0262373202971576	CLTA	9	36191352
cg05412531	NA		8	125183758
cg05413282	NA	PRSS3	9	33796088
cg05414225	0.033200881815987	C9orf6;IKBKAP	9	111696926
cg05414338	0.0266343397481751		6	26250347
cg05417615	0.0191390163699021	SLC10A7	4	147443478
cg05417950	0.468887347223464	NUDT6;SPATA5	4	123843025
cg05417985	0.012224188727229	ENPP1	6	132128945
cg05418129	0.704359802371142	NA	NA	0
cg05418487	0.122348582726209	KCNQ1	11	2466889
cg05419984	NA	PIGX;C3orf34	3	196438463
cg05420896	0.114580693980473	DCC	18	49867488
cg05421555	0.0182231784288956	AKAP13	15	85924342
cg05421673	0.431302096490049	NOG	17	54671575
cg05421688	0.662660132181714	FAM163A	1	179711859
cg05421946	0.00835536763150869	ABHD6	3	58223373
cg05422352	NA	COPS7B	2	232650747
cg05423257	0.977170205346065	ALPI	2	233321600
cg05428978	0.0179071076994313	CDCA7	2	174219986
cg05429895	0.691388459100844	TLR4	9	120466640
cg05432118	0.0212711753640768	PRKAB1	12	120105824
cg05433460	NA	ARHGAP1;ZNF408	11	46720913
cg05434957	0.0126715371292901	ICA1	7	8301435
cg05435853	0.0251453410903589	RNF41	12	56615825
cg05436231	0.422915466356067	CD164L2	1	27709789
cg05436658	NA	PRKCB	16	23847568
cg05437059	0.667174968734854	KCNE1L	X	108868775
cg05439318	0.0141317380343845	CYB5B	16	69458329
cg05439368	0.660670815903879	TRIM69	15	45028098
cg05440218	NA	KIAA0196;NSMCE2	8	126104540
cg05440289	0.412940134507603	IVL	1	152881119
cg05441133	0.961478672644806	GDF2	10	48416891
cg05442902	0.172473691848801	MGC16703;P2RX6	22	21369010
cg05443740	0.0249042411502221	KCNIP3	2	95963057
cg05444024	0.917272640619105	FUT6	19	5841072
cg05445326	0.443723029478287	TM4SF19	3	196065569
cg05446471	0.599046341430307	HDAC11	3	13522740
cg05449414	0.0740900781117418	ZNF721;ABCA11P	4	467983
cg05449607	0.0244260035400041	GTF3C6	6	111279612
cg05450995	0.0563654533937692	BCL7A	12	122460105
cg05451974	0.0104732638196438	SYS1;SYS1-DBNDD2	20	43991922
cg05454446	0.142959462783749	BMS1	10	43277757
cg05457411	0.0210519964944646	DDX19A	16	70381052
cg05459203	0.0150482809987332	NUDCD3	7	44530674
cg05461276	0.688842696636321	NA	NA	0
cg05461841	0.132511639971168	ZG16B	16	2879944
cg05462826	0.0193106784398758	ABI2	2	204193327
cg05463705	0.00915807583951441	ZNF143	11	9482308
cg05465755	0.0108274252209333	CKS2	9	91926196
cg05467106	0.0148812651757023	ZNF689	16	30621996
cg05467167	0.0410059656010789	GOSR2	17	45000793
cg05467458	0.401995101674392	SLC7A9	19	33361032
cg05467918	NA	ACADM	1	76189945
cg05468303	0.101639091195193	DGCR6	22	18894389
cg05469695	0.0211750462234679	CDC42EP3	2	37899953
cg05471297	0.348792887291589	RYR1	19	38924349
cg05471521	NA	CSTF1;AURKA	20	54968604
cg05471775	0.0441732830674871	HIST1H4B	6	26027531
cg05472874	0.416674958784444	SULT4A1	22	44258179
cg05473175	0.0334503257393217	CADM4	19	44143644
cg05473677	NA	OSTalpha	3	195943713
cg05473871	0.05493984169432	ADAMTSL5	19	1513513
cg05475028	0.0211380860899139	BOD1L	4	13629588
cg05475277	0.547534894725595	FOXRED2	22	36902578
cg05475904	0.845109977118342	BCL10	1	85743377
cg05477024	0.0393233440994515	KIAA1804	1	233462765
cg05477027	0.0202474050978767	DMWD	19	46295590
cg05480532	0.79603626026001	NA	NA	0
cg05482722	0.868502713631123	UTP14C;ALG11	13	52598175
cg05483509	0.0336972692255611	ATP6V0C	16	2563435
cg05484458	0.788619174946169	GNB3	12	6949260
cg05484920	0.0358339500662423	SNRNP70	19	49588520
cg05485060	0.860652331397493	CTNNAL1	9	111776779
cg05485062	0.576513730041784	SERPINA12	14	94983863
cg05486551	0.105499038273253	C20orf196	20	5731259
cg05488632	0.729481545373853	EPHX3	19	15343174
cg05492113	0.811989075674863	TUB	11	8060332
cg05492270	0.0253136578237369	RNF121;LOC100133315	11	71640085
cg05492503	0.0133829568933359	NA	NA	0
cg05492605	0.0181912450867975	PPP1R8	1	28157672
cg05492845	0.0188243257687222	VEGFB	11	64002298
cg05494069	NA	PRKAA2	1	57111499
cg05494459	0.169126026950284	FTSJ1	X	48334337
cg05497107	0.0156853605812504	RUFY1	5	178978234
cg05497616	0.521518123865772	CAMK4	5	110560372
cg05498681	NA	SRC	20	35973318
cg05499853	0.0158836927066937	FAM188A	10	15902324
cg05500015	0.418909109478747	NAALAD2	11	89867819
cg05500074	0.717312913334745	TSKS	19	50266336
cg05501276	0.0131406676859312	TRA2A	7	23571514
cg05501357	0.663600324132084	HIPK3	11	33308269
cg05501584	0.0746006683152142	ST8SIA2	15	92936306
cg05501658	0.0184751576116051	NA	NA	0
cg05501682	0.0812757356499688	DKFZP686I15217	6	2988723
cg05501721	0.0115970796080764	CRTC1	19	18794247
cg05503412	0.0159423830629087	C4orf14	4	57843540
cg05507459	NA	NXNL2	9	91148748
cg05507894	0.0114233287023239	C4orf34	4	39640920
cg05508048	0.0147563346111653	INTS6	13	52027321
cg05508067	0.0206308696841753	PNPLA4	X	7895590
cg05508084	0.187844591064924	ZNF667	19	56988398
cg05508558	0.11002218303068	CR2	1	207627372
cg05510041	NA	VCL	10	75758427
cg05511517	0.0670628945710787	NA	NA	0
cg05511685	0.954434696982104	RGS9	17	63184288
cg05511752	0.410537101992101	MED12	X	70338656
cg05512099	NA	PLEKHF1	19	30155866
cg05512756	0.548058566694097	UGT3A1	5	35991735
cg05516537	0.0291412064038232	TFDP1	13	114239958
cg05516832	0.0148219885496312	SGTA	19	2783122
cg05517572	0.213809605192837	STAP2	19	4338769
cg05517711	NA	ST6GALNAC6	9	130662451
cg05518543	0.0160246175592599	MAEA	4	1283165
cg05520656	0.0214636571523915	NA	NA	0
cg05521696	0.649491682317514	NA	NA	0
cg05522288	0.019040625249363	NAA38	7	117824098
cg05522383	0.770822268470027	PITX2	4	111557894
cg05523047	0.0177079840360522	VLDLR;FLJ35024	9	2621379
cg05523085	0.0154846004169602	MYO5A	15	52821854
cg05523254	0.0126700142711682	MFN2	1	12040215
cg05526376	0.0290486802737869	LMTK2	7	97736360
cg05528918	0.948760424550227	ZFP161	18	5293319
cg05529097	0.0452189577372184	FXR2;SHBG	17	7518511
cg05531055	0.0640134485085262	TOM1	22	35695625
cg05532892	0.0434289365308814	PDE3B;PSMA1	11	14666436
cg05535113	0.284796766321433	CHST4	16	71559579
cg05538387	0.0177082655407674	POLL;RP11-529I10.4	10	103348072
cg05538432	0.801471508524858	C1S	12	7167751
cg05546038	0.766029339432417	NOL3	16	67207033
cg05546044	NA	MAPK1	22	22222597
cg05546383	0.954731913990461	OTUD4	4	146095813
cg05547500	0.889868051369274	TXNDC2	18	9885809
cg05547993	0.0182274371845604	VAC14	16	70835035
cg05552534	0.0191392246264134	ABCB10	1	229693713
cg05554718	NA	HIST1H1D	6	26235699
cg05554936	0.0130536838476172	RAB3D	19	11450261
cg05556020	0.813073159775095	REN	1	204135243
cg05556202	0.826367535051465	TM4SF19	3	196065106
cg05556210	0.0225802561633648	ZFHX3	16	73082405
cg05556717	0.649559560332355	CCL26	7	75419304
cg05558390	0.781365375512911	GNASAS;GNAS	20	57415377
cg05559445	0.295243402667083	CDKN1C	11	2907674
cg05562327	0.0832637002175623	CPEB2	4	15005910
cg05562817	0.0266639849258617	CLDND2	19	51871466
cg05564251	0.870254675377943	SP140	2	231090640
cg05564266	0.912490310044492	C6orf204	6	118973597
cg05564657	0.910537373095972	AADAC	3	151531375
cg05565537	0.894053238538709	GALNT6	12	51773409
cg05566397	0.0221955657851204	MLL5;LOC100216545	7	104654900
cg05566965	0.0163368095612371	BID	22	18256588
cg05568762	0.0162395312515606	LCORL	4	18023126
cg05569220	0.570569846274647	LOC388428;AATK	17	79138873
cg05570980	0.168065224636577	C3orf52	3	111804983
cg05573563	0.663625027665434	TRAPPC2;OFD1	X	13751423
cg05575043	0.029676117681635	ZNF394	7	99097635
cg05576974	0.0131875100129934	TROVE2;UCHL5	1	193028138
cg05577173	0.0323467221211288	PAPD4	5	78908678
cg05585544	0.91498749851469		11	47624801
cg05587158	0.677432482827104	ARR3	X	69487748
cg05587474	0.0216146547634388	NA	NA	0
cg05587736	NA	NUP93	16	56780751
cg05588972	0.019729480467223	C1orf89	1	16563855
cg05589246	0.358758998109454	HOXC12	12	54348719
cg05590257	0.0407751771730692	PLD6	17	17109570
cg05590294	0.764478838622301	CD69	12	9913395
cg05590567	0.0354642721506505	NA	NA	0
cg05590982	0.703159356695626	NUPR1	16	28550171
cg05592398	0.0719358809277234	LIMK1	7	73497778
cg05592434	0.291637041841213	NA	NA	0
cg05592527	0.188479379655915	ARMCX6	X	100872988
cg05593300	0.265001952829891	NA	NA	0
cg05593325	NA	GALNT12	9	101569696
cg05593479	0.0421458006267427	TIGD1;EIF4E2	2	233415006
cg05593780	0.0265546657661935	ACO2;PHF5A	22	41864983
cg05594230	0.238736041631732	INGX;BCYRN1	X	70712403
cg05595345	0.107506102646995	ARRDC4	15	98504173
cg05596294	0.0832690530295677	LPPR4	1	99729757
cg05596756	0.576834137192584	FAM113B;LOC100233209	12	47610220
cg05598246	0.71590856213673	MOG	6	29624414
cg05600174	0.0417118492718221	NA	NA	0
cg05600717	0.0334638718863311	DHRS12	13	52378744
cg05602212	0.0397499012063913	ZFYVE16	5	79703393
cg05602615	0.0118816161139884	SETD3;CCNK	14	99947482
cg05603623	0.022648512175997	TIMM44	19	8008081
cg05604720	0.0233351173246043	RIPK2	8	90769698
cg05606799	0.286837473571805	KISS1	1	204165307
cg05607127	0.0216895527657334	KCNG3	2	42721581
cg05607401	0.585095137877783	GMFG	19	39826693
cg05607472	0.014725370639905	CSNK1A1	5	148930374
cg05608188	0.033703772289594	TMEM168	7	112430152
cg05610148	0.0141711311764206	C1orf93	1	2517425
cg05610379	0.0174764731838641	NSMCE4A	10	123734658
cg05612904	0.0120213714586787	DPH5	1	101491636
cg05615150	0.865186699848568	ARPP-21	3	35683815
cg05615487	0.769494642550113	ACR	22	51176407
cg05619712	0.303170630894844	CRYGC	2	208994720
cg05621401	0.0215810029085128	RET	10	43572065
cg05621759	NA	ZNF117	7	64452073
cg05624196	0.236747918102367	APOD	3	195310883
cg05624932	NA	CRISPLD1	8	75897310
cg05626013	0.0853831503915483	CTNNA3;LRRTM3	10	68685252
cg05627103	0.0693223522196964	KIAA1984	9	139694135
cg05628549	0.559491049458343	PRKCDBP	11	6341895
cg05633152	0.940115543054587	SLC10A1	14	70263811
cg05636175	NA	TNFRSF10C	8	22960397
cg05637351	0.0306279244386415	CDH7	18	63417669
cg05637892	0.0224412166869314	SCFD1	14	31091672
cg05641882	0.0224039820324483	CXCL3	4	74904583
cg05641961	0.0152917146424187	CIB1;C15orf58	15	90776927
cg05642698	0.0167728398536425	SEC63	6	108278844
cg05646865	0.945364784059569	SLFNL1	1	41486908
cg05647526	0.0168667114869446	CALU	7	128379677
cg05647859	0.446832021385503	LIN7A	12	81331718
cg05649009	0.833848505875242	CHRNA1	2	175629850
cg05650171	0.247666269548051	PFDN2;NIT1	1	161089102
cg05650565	0.0108680310457255	UBXN4	2	136499412
cg05650764	0.0272238579927858	SAPS3	11	68227812
cg05654163	0.618515966799625	SLC39A2	14	21467502
cg05654164	0.408098237317895	C1orf52	1	85725892
cg05655041	0.904243056196885	ASB11	X	15334253
cg05655556	0.0144812307063668	PSMD2	3	184016629
cg05656180	0.603854182966269	KCNQ1DN	11	2890258
cg05656364	0.160848902340533	VAMP8	2	85804732
cg05657090	0.909576653152087	RNASEH2A	19	12917086
cg05657520	0.936363820383713	OPTC	1	203462521
cg05658858	0.0124597017845734	TUBGCP2;ZNF511	10	135121916
cg05659526	0.956594360719244	FCER1G	1	161184528
cg05659947	0.282832640919155	C4BPB	1	207262190
cg05660795	0.336737568518776	IGFBP1	7	45928003
cg05661333	0.0199983800258174	GABBR1	6	29600200
cg05661838	NA	MOS	8	57026568
cg05662500	0.0255097397434476	GPD1L	3	32147877
cg05663262	NA		1	43930279
cg05664072	0.0378972008874192	PER2	2	239198294
cg05666713	0.798013613868969	IGFN1	1	201181883
cg05668720	0.0163773888272583	TUBE1;C6orf225	6	112408820
cg05668853	0.680987150519503	RAB34	17	27044169
cg05669100	0.0387019973937704	FAM103A1	15	83655128
cg05669210	0.0718436937459921	SLC12A9	7	100450634
cg05669980	0.0107721803835891	NA	NA	0
cg05670275	0.0153970625560548	TRIP12;FBXO36	2	230787279
cg05670348	0.0196556170759181	LARGE	22	34316316
cg05670408	0.0392691995101589	MAN1C1	1	25944102
cg05670596	0.158477341011525	CCRL2	3	46448496
cg05671018	0.929498283079497	LYSMD2	15	52030641
cg05671350	0.637098794467672	P4HA3	11	74022348
cg05672265	0.0141857956426808	SLC20A1	2	113403002
cg05673087	0.024149349316219	GEMIN8	X	14048156
cg05674036	0.899871007625657	OR3A3	17	3323791
cg05674199	0.165436628026785	AHCY	20	32891428
cg05674444	0.0820654791225348	C21orf99	21	14414818
cg05674944	0.439569146484726	SLC30A2	1	26372290
cg05675373	0.578310421392803	KCNC4	1	110754257
cg05676042	0.0215242732717609	NA	NA	0
cg05677402	0.00813382553955918	UBE2L6	11	57335051
cg05678175	0.0139972084484651	TRIM28	19	59056626
cg05678938	0.016297037147945	USP13	3	179371510
cg05679521	0.048355473275947	MAP2K3	17	21188468
cg05679613	0.892637352651601	MEPE	4	88754043
cg05680424	0.02479673408221	BPGM	7	134331560
cg05681757	NA	FGD4	12	32655034
cg05684015	0.0210592539823709	DR1	1	93811877
cg05684195	0.66881966485708	CIDEC	3	9920572
cg05684891	0.0353399383885337	DAB2IP	9	124461171
cg05688084	0.025279389357347	MRTO4;KIAA0090	1	19578805
cg05689121	0.0213639019537902	TNRC6A	16	24740934
cg05695927	0.0162966247496383	SPATA5L1	15	45694626
cg05696092	0.0980292529530229	PRRG2;NOSIP	19	50084283
cg05697231	0.0498983679717482	PML	15	74286614
cg05697249	0.220219057353791	C11orf52	11	111789693
cg05697976	0.609863821681836	FAR2	12	29376483
cg05698069	0.411711799785843	PDLIM2	8	22436246
cg05698090	0.278680183600828	CERK	22	47134664
cg05699592	0.0259615559599576	PRKAR2A	3	48885332
cg05699806	NA	ARSF	X	2984985
cg05700681	0.878645820037628	CCL22	16	57392764
cg05701114	0.157399028523358	NA	NA	0
cg05702633	0.0183458280990943	PPP1R15B	1	204381220
cg05702737	0.519074484301293	WNT10A	2	219745297
cg05702774	NA	SUCNR1	3	151590098
cg05702952	0.00930823066092589	PDK1	2	173420889
cg05705366	0.04895492741885	SNX18	5	53813915
