Hybridization REF	TCGA-A2-A0T3-01A-21D-A112-05	TCGA-A2-A0T3-01A-21D-A112-05	TCGA-A2-A0T3-01A-21D-A112-05	TCGA-A2-A0T3-01A-21D-A112-05
cg05659526	0.962274622032892	FCER1G	1	161184528
cg05659947	0.853927697056534	C4BPB	1	207262190
cg05660795	0.441026843975212	IGFBP1	7	45928003
cg05661333	0.0147088626521908	GABBR1	6	29600200
cg05661838	NA	MOS	8	57026568
cg05662500	0.0236379589660528	GPD1L	3	32147877
cg05663262	NA		1	43930279
cg05664072	0.659485488469774	PER2	2	239198294
cg05666713	0.911294312429424	IGFN1	1	201181883
cg05668720	0.0179950038800582	TUBE1;C6orf225	6	112408820
cg05668853	0.690442554987393	RAB34	17	27044169
cg05669100	0.0483624499590224	FAM103A1	15	83655128
cg05669210	0.101475939683684	SLC12A9	7	100450634
cg05669980	0.0117582767039624	NA	NA	0
cg05670275	0.0141136870567868	TRIP12;FBXO36	2	230787279
cg05670348	0.0176276057892207	LARGE	22	34316316
cg05670408	0.0328415574503119	MAN1C1	1	25944102
cg05670596	0.694364005398302	CCRL2	3	46448496
cg05671018	0.924222244477591	LYSMD2	15	52030641
cg05671350	0.651364005507904	P4HA3	11	74022348
cg05672265	0.0516082181889983	SLC20A1	2	113403002
cg05673087	0.0127141176922641	GEMIN8	X	14048156
cg05674036	0.947096373498453	OR3A3	17	3323791
cg05674199	0.164572367150535	AHCY	20	32891428
cg05674444	0.08620225620106	C21orf99	21	14414818
cg05674944	0.845526310230887	SLC30A2	1	26372290
cg05675373	0.487938347989981	KCNC4	1	110754257
cg05676042	0.0363039350031341	NA	NA	0
cg05677402	0.00622923350120874	UBE2L6	11	57335051
cg05678175	0.0127229401778425	TRIM28	19	59056626
cg05678938	0.0135261947172181	USP13	3	179371510
cg05679521	0.0293144691905646	MAP2K3	17	21188468
cg05679613	0.928922599608161	MEPE	4	88754043
cg05680424	0.041781468630935	BPGM	7	134331560
cg05681757	NA	FGD4	12	32655034
cg05684015	0.0193626261104551	DR1	1	93811877
cg05684195	0.824387668745085	CIDEC	3	9920572
cg05684891	0.0320856256511998	DAB2IP	9	124461171
cg05688084	0.0918713411344531	MRTO4;KIAA0090	1	19578805
cg05689121	0.0172646456041379	TNRC6A	16	24740934
cg05695927	0.0153230284923568	SPATA5L1	15	45694626
cg05696092	0.38532624202413	PRRG2;NOSIP	19	50084283
cg05697231	0.0359229417822527	PML	15	74286614
cg05697249	0.109896274429653	C11orf52	11	111789693
cg05697976	0.578980053650905	FAR2	12	29376483
cg05698069	0.50678434760028	PDLIM2	8	22436246
cg05698090	0.0599566355395808	CERK	22	47134664
cg05699592	0.0277850092162709	PRKAR2A	3	48885332
cg05699806	NA	ARSF	X	2984985
cg05700681	0.956717591561568	CCL22	16	57392764
cg05701114	0.139474264592745	NA	NA	0
cg05702633	0.0267571488901529	PPP1R15B	1	204381220
cg05702737	0.722911822966314	WNT10A	2	219745297
cg05702774	NA	SUCNR1	3	151590098
cg05702952	0.0101095798624914	PDK1	2	173420889
cg05705366	0.0132455292326254	SNX18	5	53813915
cg05705583	0.0581722390826796	CAMLG	5	134073432
cg05706061	0.0886085224737569	SLC31A2	9	115912974
cg05709923	0.0455034992510474	SAMM50	22	44351079
cg05711886	0.842027411534599	MEG3	14	101292680
cg05714219	0.545552555937845	GALNT14	2	31361104
cg05714479	0.504171371909939	LATS2	13	21634945
cg05714729	0.910885734791582	GALNT1	18	33234096
cg05715287	0.0416632829315926	CDC40;WASF1	6	110501610
cg05715649	NA	SYT2	1	202680562
cg05717160	0.0337173749469	USMG5;PDCD11	10	105156505
cg05718253	0.963842270121762	LOC55908;DOCK6	19	11347359
cg05718625	0.0346137625245663	TMEM85	15	34517320
cg05719902	0.856876091646264	SVOPL	7	138348774
cg05720937	0.00893879071693145	ACTR1B	2	98280362
cg05721199	0.799939324575766	SAMD7	3	169629136
cg05722552	0.313277829869764	NLGN1	3	173116094
cg05722906	0.0561136722927693	CYP4F12	19	15783791
cg05722918	0.285882594538743	SLC5A8	12	101603929
cg05723825	0.710304019071266	TEKT4	2	95537475
cg05724065	0.157629385619935	PHKG1	7	56160528
cg05725452	0.00915733408523771	SDF2L1	22	21996709
cg05726109	0.949462038452946	SEPT5;GP1BB	22	19709755
cg05727959	0.011952077496356	C12orf48	12	102514075
cg05728656	0.0100377136419971	C6orf47	6	31628427
cg05729093	0.0293738107211976	IL4R	16	27324953
cg05730092	0.959885001547945	BEGAIN	14	101036470
cg05731779	0.942121977639233	NA	NA	0
cg05732130	0.042012125020612	GINS3	16	58426207
cg05732530	0.00672792448725173	DUSP2	2	96811060
cg05739825	0.0127718867038115	EI24	11	125439882
cg05740244	NA	LDHC	11	18434015
cg05741384	0.0129002676898874	ODC1	2	10588838
cg05742308	0.048249807376978	SEMA3A	7	83824384
cg05743054	0.012319053227819	MLF1	3	158288903
cg05744229	0.855475645192044	MYH7	14	23904678
cg05745457	0.867927730921612	TKTL2	4	164394816
cg05745851	NA	CCDC62	12	123259105
cg05747424	0.028758197251434	WDR89	14	64108561
cg05749161	0.602728005341419	NA	NA	0
cg05749577	0.00864427972716936	KIF23	15	69706710
cg05749792	0.889981213199959	DGAT2L6	X	69397704
cg05750321	0.970611310937002	CGNL1	15	57668039
cg05751148	0.793061418336275	PTPRCAP	11	67204799
cg05751159	0.00967016678973602	TSGA14	7	130081017
cg05751979	0.0478974083361753	TCEB1	8	74883978
cg05754589	0.0326369343651786	HNRPA1L-2;HNRNPA1;CBX5	12	54674412
cg05754631	0.0308260286642757	GAB1	4	144258809
cg05755354	0.901829675119033	FRMD4A	10	14372596
cg05755779	0.940655946620122	COLEC10	8	120079625
cg05755837	0.0665936488439087	PMPCB	7	102937659
cg05759269	0.0286887067062671	CDKN1A	6	36646253
cg05761032	0.0255151184405464	CCPG1	15	55700743
cg05761971	0.850337193497986	FAM82A1	2	38177677
cg05764061	0.047844692025622	PPM1B	2	44395934
cg05764376	0.0130746206125159	LRRC49;THAP10	15	71184590
cg05764607	0.0110402832270801	GSTCD;INTS12	4	106630108
cg05766425	0.1516226740319	LUC7L3	17	48796751
cg05766474	0.976814359929029	NA	NA	0
cg05767404	0.804619911616434	C1orf150	1	247712591
cg05768141	0.832422888296202	KCNJ10	1	160039847
cg05769161	0.0425179496478335	B4GALNT3	12	568826
cg05769169	0.0132333511221639	EGLN3	14	34419832
cg05772663	0.608848551040486	HTR2C	X	113818412
cg05773628	0.0606886675779096	NCKAP1	2	183903770
cg05774801	0.720293460879633	SFRP2	4	154709756
cg05776763	0.0565439364564568	DLST	14	75348391
cg05777319	0.0233040770580773	ARL6	3	97483919
cg05778847	0.645039180946449	PPP1R14A	19	38746538
cg05779068	NA	OR2W1	6	29014046
cg05779272	0.767287179619788	B4GALT1	9	33168018
cg05780311	0.0414152958933502	STAT5B	17	40428759
cg05780616	0.0157423500278622	SNRPF	12	96252764
cg05781767	NA	PODXL2	3	127347362
cg05782292	NA	SCT	11	628318
cg05782445	NA	KCNK3	2	26915207
cg05782975	0.613384098863025	NGFRAP1	X	102631408
cg05786601	0.525079579176047	AR	X	66764126
cg05786809	0.610092939927008	CKB	14	103989478
cg05788437	0.0140898971457377	FYTTD1;KIAA0226	3	197476880
cg05788526	NA	MTMR2	11	95656876
cg05788638	0.902815502783637	SERPINA10	14	94759020
cg05790038	0.739502395443361	TRPV3	17	3461143
cg05790999	0.00830409043192586	HS1BP3	2	20850809
cg05793077	0.0181027333156154	GSN	9	124030744
cg05795157	0.0256043122905805	PIAS3	1	145576107
cg05795313	0.0558223670416869	ZNF641	12	48745136
cg05797656	0.281352241354469	DDX42;CCDC47	17	61851352
cg05798712	0.866375875535943	NA	NA	0
cg05798972	0.0287763954268386	MED1	17	37607105
cg05799317	0.927660407537802	C6orf118	6	165723796
cg05800321	0.975291353993026	LY6D	8	143867799
cg05801573	0.293324680051682	SLITRK4	X	142722740
cg05801648	0.046513496861195	SYK	9	93564456
cg05806233	0.0185282171024663	GNAI1	7	79763748
cg05807444	0.272922438736807	VPS28;NFKBIL2	8	145654635
cg05807768	0.0198425244201473	CAPZA1;ST7L	1	113162570
cg05807991	0.0477341393395142	TRAM1L1	4	118006808
cg05810550	0.823751355168289	NA	NA	0
cg05812599	0.93852009917334	CLPB	11	72146256
cg05813084	0.0155084229656903	EFNA3	1	155051569
cg05813234	0.2501623398788	NA	NA	0
cg05815893	0.0170421467210276	C17orf80;FAM104A	17	71228832
cg05815906	0.0255911585962086	RAB33B	4	140374338
cg05817232	0.0560042740356562	MARK4	19	45755260
cg05819268	0.987426531222804	CACNG1	17	65040739
cg05820087	0.103320113828041	ATP13A4	3	193272561
cg05822100	0.618131398800735	CDH6	5	31194410
cg05822532	0.846441667563961	ELN	7	73442531
cg05823029	0.752294658098869	ATP4B	13	114312758
cg05824215	0.806242038487325	NA	NA	0
cg05824432	0.00682350725801547	DCI	16	2301222
cg05824484	0.0269627505114659	IL17RA	22	17565874
cg05824762	0.0171120861300414	ZER1	9	131533797
cg05825950	0.796486189172477	CR1	1	207669576
cg05826823	0.911486588969753	CIZ1;DNM1	9	130968072
cg05828624	0.938034823822422	REG1A	2	79347699
cg05829479	0.125134071513966	C6orf141	6	49518079
cg05830416	0.0362010177397137	C9orf100	9	35665010
cg05832051	0.0128455490727326	MYADM	19	54369469
cg05832487	0.0174232957868239	C16orf59	16	2509755
cg05835416	NA	CYP2C18	10	96442674
cg05836145	0.820903267023651	SP8	7	20827117
cg05837075	0.0157047752326109	ERO1L	14	53162160
cg05839235	0.42459693615564	NPR3	5	32712237
cg05840031	0.578097897132447	PAX6	11	31832353
cg05840553	0.0130669865922464	RPL12;LRSAM1	9	130212635
cg05843340	0.0194167945821251		5	68628618
cg05843800	0.0264660022994918	SUMF1	3	4508875
cg05844583	0.489106233859707	SLC19A3	2	228582789
cg05845178	0.486555610300509	IL17RE;IL17RC	3	9957531
cg05845357	0.0181374656029894	CBY1;LOC646851	22	39052748
cg05845503	0.0150033109458424	NA	NA	0
cg05846716	0.206522047139303	PCSK2	20	17208109
cg05847038	0.580852305345616	ADAM7	8	24298771
cg05847778	0.0145934249645762	BBS5	2	170336167
cg05851042	0.956000886565934	ATP9A	20	50386166
cg05851163	0.0216844063958584	DSEL	18	65183566
cg05852416	0.00819290873968334	NFKBIA	14	35874177
cg05855071	0.146121663664615	C15orf29	15	34501719
cg05856884	0.890209612126311	SMPX	X	21776372
cg05856931	0.246090947341008	MSI2	17	55333097
cg05857825	0.0543841177292522	MAPRE1	20	31408213
cg05859264	0.082249373104517	MAPK13	6	36097692
cg05859842	0.700674928569427	FRMPD2	10	49483356
cg05860890	0.10306156566398	KCNV1	8	110986870
cg05861567	0.78595467343062	MLC1	22	50523686
cg05861661	0.0454489791267185	FAM98B	15	38746192
cg05862431	0.0499458388226038	BUD13	11	116644198
cg05863612	0.811552918872992	DNMBP	10	101731833
cg05868316	0.00823210105372876	FBXW9	19	12807494
cg05868799	0.0845351010558682	NCOA2	8	71316869
cg05869585	0.932025872012301	TMEM186;PMM2	16	8890233
cg05869964	0.929573968037108	C5orf13	5	111095756
cg05871136	0.0257786959146866	UNC5B	10	72971961
cg05871607	0.180885287936701	RPA2	1	28241317
cg05872485	0.0242637474149507	PTGES3	12	57081186
cg05873268	0.941487219254604	TPSAB1	16	1290058
cg05874450	0.0479057782712831	POPDC3	6	105627246
cg05874478	0.198924640137723	RNF31;PSME2	14	24615768
cg05876083	0.0224524928454797	NUDT16L1	16	4743395
cg05876094	0.0723817201515401	CACYBP	1	174968893
cg05876918	0.0387009401778592	PIP4K2C	12	57985234
cg05877109	0.141188402979743	BCL2L2	14	23775794
cg05879334	0.00770177141578482	ACAT2	6	160183160
cg05879919	0.132767978868786	ANKRD9	14	102976503
cg05881135	0.138735588583371	SYNM	15	99644973
cg05881762	0.132905721321938	UBE3A	15	25684849
cg05882522	0.603187276476797	EHD3	2	31456789
cg05882691	0.115445346868004	HIST1H3H	6	27777739
cg05885123	0.361438919430102	NA	NA	0
cg05885720	NA	EMP1	12	13348429
cg05886367	0.275255430694477	BTNL9	5	180467233
cg05886626	0.0763595652418179	THBS1	15	39873553
cg05887405	0.923552262535748	OSGIN1	16	83982436
cg05889321	0.0789201069906118	ALDH18A1	10	97416837
cg05890019	0.0133628863307451	WDFY3;C4orf12	4	85886830
cg05890484	0.908431595082451	BHMT	5	78407552
cg05890578	NA	PRKCE	2	45877647
cg05894797	0.0515082017159219	PSEN2	1	227058941
cg05895453	NA	KBTBD7	13	41768968
cg05896682	0.729740030154081	GALR1	18	74964030
cg05897048	0.16301171868271	NA	NA	0
cg05898102	0.18653640301882	PCDHB10	5	140571959
cg05898356	0.0553524121644634	NA	NA	0
cg05898524	0.283736430226087	LMNA	1	156083276
cg05899618	0.611373297464175	GDF7	2	20865847
cg05902852	0.363498379608031	MAGI2	7	79082393
cg05903609	0.0676953170574036	PRPF8	17	1587888
cg05903630	0.0215564838412137	PTCD2;MRPS27	5	71616321
cg05905876	0.0205354779732994	SEC11A	15	85259824
cg05906362	0.729185565295854	ARHGAP4	X	153192754
cg05908775	0.0144590591184915	ZNF211	19	58144687
cg05909475	0.755250617083393	ETV3	1	157108803
cg05910970	0.886584365715387	CYP2A6	19	41355973
cg05911610	0.0188755046308403	MRPL3	3	131221850
cg05912121	0.896130683232891	TH	11	2193034
cg05915281	0.00755624337879516	IRF1	5	131826479
cg05916196	0.909282257770196	IL19	1	206972262
cg05916783	NA	GAN	16	81348309
cg05917963	0.186525457563579	CHUK	10	101988539
cg05919661	0.0141515024845608	LMBR1L	12	49504308
cg05920090	0.0193556850737969	HSPA1A;HSPA1L	6	31782873
cg05920720	0.816191907632382	NA	NA	0
cg05921207	0.51871928634224	CHRDL1	X	110038886
cg05921324	0.903049074900943	APOA4	11	116694114
cg05921581	0.9463602953408	KRT77	12	53098625
cg05921699	0.612909039539252	CD79A	19	42380725
cg05922057	0.0186176420473307	ZZEF1;CYB5D2	17	4047571
cg05922591	0.968661635391579	LILRB4	19	55174624
cg05922972	0.027500834522833	TSPAN3	15	77362853
cg05923056	0.0179252027919432	FOXN3	14	89883246
cg05923103	0.0416389008960443	RNF11	1	51701583
cg05924191	0.826237283410086	ZNF770	15	35279830
cg05924583	0.0333724141231248	TP73	1	3569624
cg05927017	0.0192358858838412		18	60988155
cg05927159	0.476550194697154	WDR1	4	10118984
cg05932408	0.829426782821716	PTGIS	20	48184639
cg05932936	0.0347345641021075	SERINC3	20	43151151
cg05934874	0.0476335826313021	VPS4B	18	61089154
cg05935584	0.396254354326139	HMGB3	X	150151823
cg05936800	0.617094651910703	TNFSF18	1	173020492
cg05937182	0.0125203886119559	ST7OT4;ST7OT1;ST7	7	116593656
cg05937237	0.888041552063972	NA	NA	0
cg05937453	0.593738930596472	SFRP5	10	99531765
cg05938285	0.0218512392847691	PIGZ	3	196695938
cg05938725	0.013900175995748	NUAK2	1	205290905
cg05940463	0.0442239360778881	C1orf86	1	2126641
cg05940536	0.0458640576316459	ACVR1B	12	52344971
cg05941634	0.0362988307290047	CNNM3	2	97481230
cg05942574	0.615339922224977	CACNA1G	17	48637104
cg05942970	0.917650249005518	JAKMIP3	10	133955527
cg05944800	0.042918571157412	INSIG2	2	118845546
cg05945622	0.0149606458209955	YIF1A	11	66056944
cg05946081	0.0177226084888061	RBMXL1;CCBL2	1	89458035
cg05947740	0.671060955282868	PHYHIP	8	22089778
cg05948654	0.759629712599437	SLC17A2	6	25930507
cg05949173	0.817837058414002	IL1F10	2	113825882
cg05949660	0.52552279901859	MICAL1	6	109777642
cg05950276	0.877897119879432	TMTC4	13	101294310
cg05951646	0.055392510943415	NA	NA	0
cg05951993	0.0163231166007936	GYS1;RUVBL2	19	49496864
cg05953243	0.502856553339247	SLC5A12	11	26743425
cg05953394	0.0392154692737183	PRKAG2	7	151573773
cg05955224	0.0289214596542353	EID2	19	40030984
cg05955301	0.644201807823982	PRELP	1	203444536
cg05957518	0.0671690670162863	PSMA3	14	58711500
cg05958352	0.883524381003322	RNASE1	14	21270924
cg05958582	0.748885633919	PKD2L1	10	102090366
cg05958659	0.0694538220500728	FAM174A	5	99870887
cg05959392	0.0324835337537657	C10orf32	10	104613928
cg05959508	0.906388038098664	TRAF3IP3	1	209929512
cg05960024	0.593702781138976	CLOCK	4	56376020
cg05960806	NA	CLNS1A	11	77348884
cg05961212	NA	ADPRH	3	119298195
cg05961595	0.397374973793988	APEX2	X	55026485
cg05961827	0.945737201708611	UGT1A10;UGT1A7;UGT1A9;UGT1A8	2	234589810
cg05964373	0.027353734872985	TEX9	15	56657478
cg05965188	0.841317923378686	RRP1B;HSF2BP	21	45078342
cg05965402	0.0207061495654543	PI4K2B	4	25235416
cg05968233	0.201941682231259	ALKBH7	19	6372277
cg05969697	NA	BICD2	9	95527975
cg05970437	0.017270571590385	KLF16	19	1864622
cg05970790	0.0161800565854429	NFATC1	18	77156689
cg05973262	0.852919848015419	NOTCH4	6	32191895
cg05976074	0.833192229790966	SLC7A10	19	33716273
cg05976325	NA		22	36030660
cg05978187	0.0116493850205772	ERH;SLC39A9	14	69864930
cg05982504	0.889307049442093	IGFALS	16	1844962
cg05983247	0.00913226849383062	SLTM	15	59225658
cg05985767	0.94328300471132	ANPEP	15	90349511
cg05986149	0.171060860615814	BRIP1	17	59941055
cg05988645	NA	C16orf68	16	8715306
cg05989054	0.122670948217907	GAMT	19	1402626
cg05989429	0.0267967214604193	ABCA7	19	1041026
cg05990214	0.0267793298576215	RPL18;SPHK2	19	49122326
cg05992340	0.906973736341614	PDE4D	5	58882243
cg05995267	0.0653441778633969	PRRT2	16	29822529
cg05996042	NA	RUNX2;SUPT3H	6	45295718
cg05996238	0.876160297389186	PAGE2	X	55115370
cg05997860	0.324466630774188	NA	NA	0
cg05998244	0.845819969285761	LONRF2	2	100925657
cg05998426	0.0322282685020154	RIN1	11	66103925
cg05998983	0.796796462360005	OIT3	10	74653449
cg06000781	NA	BST1	4	15703606
cg06001166	0.917991770638658	RPL3L	16	2004052
cg06003187	0.853038124915389	GUCA2A	1	42629798
cg06005396	0.818241336136567	HCN2	19	590541
cg06005644	0.0231291677449651	UBE2D2	5	138940959
cg06006444	0.022861981700709	NA	NA	0
cg06007645	0.792516912273024	C1orf175	1	55107421
cg06011292	0.0219083550361362	MYH10	17	8534013
cg06015218	0.522968594303134	GRM1	6	146350434
cg06018072	0.0386314275373421	CLN6	15	68522275
cg06020352	NA	IRF8	16	85931840
cg06021171	0.303600321411486	NA	NA	0
cg06022562	0.18801562725587	TBCD;ZNF750	17	80797881
cg06023257	0.0135784447007347	GAB2	11	78129396
cg06025017	0.947742827514865	NA	NA	0
cg06026755	0.919214292914595	LRRC57;HAUS2	15	42839559
cg06027949	0.0391430187371083	SNX16	8	82754900
cg06029655	NA	MEGF8	19	42881132
cg06030619	0.124646766012517	CORO1A	16	30194484
cg06034822	0.0906390400988802	USF1	1	161016081
cg06037693	0.918223313411735	RUNX3	1	25292072
cg06038049	0.00641234781098146	GLTPD1;CPSF3L	1	1259909
cg06038133	0.735455303361908	CORO6	17	27944585
cg06039392	0.149574352538485	MTNR1A	4	187476953
cg06039624	0.0111142440213949	LOC81691;ERI2	16	20818068
cg06041240	NA	NXT2	X	108778793
cg06041363	0.111167863254718	TTC38	22	46663418
cg06042828	NA	DDX28;DUS2L	16	68058281
cg06043042	0.568946215085165	NEUROG3	10	71333202
cg06043114	0.813864435818382	TSPAN2	1	115632455
cg06043190	0.0204313463464345	EML4	2	42396882
cg06044117	0.0173210916038436	FAM76B;CEP57	11	95523445
cg06044899	0.597194307537846	TMSL3;FAM190A	4	91760229
cg06044900	0.0112504305594621	GNAS	20	57467811
cg06048156	0.552796109371426	NA	NA	0
cg06048973	0.824562639607209	ACTC1	15	35088107
cg06049972	0.202739219094887	UQCRC1	3	48646375
cg06051311	0.405127720325953	TRIM15	6	30131001
cg06051662	0.621762854300077	PDZD4	X	153096786
cg06055013	0.0968933429823696	ATRNL1	10	116853664
cg06057707	0.983464217487475	NA	NA	0
cg06058319	0.0413614459086994	PPFIBP1	12	27677138
cg06058597	0.0289438011769836	NOL10	2	10829993
cg06059810	0.787319897609435	RUFY3	4	71587722
cg06060661	0.372024864070636	NA	NA	0
cg06061892	0.0184294802318276	C20orf72;SNX5	20	17948694
cg06062132	0.0499397508936884	SENP6	6	76311331
cg06063714	0.681667828731612	GABRD	1	1951514
cg06063729	0.0228103926821412	RASSF1	3	50374670
cg06066303	0.975620645222074	MS4A5	11	60197138
cg06066711	0.0122360278664821	KLHL21	1	6662645
cg06069187	NA	SARM1;VTN	17	26698283
cg06069731	0.0610546161280635	NA	NA	0
cg06071083	0.0129156055350749	SLC12A4	16	68002365
cg06073471	0.0163879797737683	FAM55C	3	101497857
cg06074920	0.965073521150853	KRT34	17	39539075
cg06076054	0.0203895722619692	C21orf91	21	19191045
cg06077733	0.00807872843497605	UBE2D1	10	60094879
cg06084117	0.960903148647554	PLXNA4	7	132334901
cg06084557	0.0405383136029492	KIAA1409;BTBD7	14	93799869
cg06084735	0.0120390806376429	ENY2;NUDCD1	8	110346664
cg06087537	0.0151549036153412	RNF38	9	36401074
cg06088032	0.0254690247604884	ZMYND10	3	50383227
cg06088314	NA	CLK1	2	201730276
cg06090351	NA	ADSS	1	244615600
cg06090421	0.0147467099819326	PPM1D	17	58677051
cg06090630	0.00666502088126491	TCEB2	16	2827139
cg06090864	0.981349746850476	FFAR1	19	35842448
cg06092815	0.78851434318843	SPHKAP	2	229046406
cg06093279	0.02732175919215	MTUS1	8	17658292
cg06094150	0.939483750142279	MT1B	16	56685637
cg06094757	0.714882580994128	NA	NA	0
cg06095560	0.0169140652094675	SAE1	19	47633912
cg06096336	0.665516496564089	PSMD1;HTR2B	2	231989800
cg06098051	0.713324648283052	NA	NA	0
cg06100291	0.0338407117624465	CLSPN	1	36235882
cg06100324	0.910872465403819	MSLN	16	811347
cg06100991	0.0387569907286716	ELOVL6	4	111119437
cg06101212	0.218972351957292	CLDN3	7	73184220
cg06101225	0.0228122131190073	STIL	1	47780017
cg06101324	0.280210599992537	SPRR1A	1	152955543
cg06105085	NA	ASCC1;C10orf104	10	73976264
cg06106793	0.0354865780753091	PRCC	1	156736771
cg06109724	0.0314645267449755	CDC123;NUDT5	10	12237553
cg06110365	0.0200804409080119	TTLL12	22	43583797
cg06110728	0.0219007619200952	NELL2	12	45270886
cg06111305	0.0191788391172516	RAP2A	13	98086784
cg06111454	0.818707907743665	NFATC4	14	24837836
cg06112415	NA	CGREF1	2	27342158
cg06114765	0.10105715190983	USP25	21	17102990
cg06117855	0.0519418492595915	CLEC3B	3	45067788
cg06118312	0.324611920067525	GZMA	5	54398555
cg06119575	0.104669825269807	TAL2	9	108424905
cg06121469	0.0533447291283793	SPG11	15	44956098
cg06122080	0.0539972959738326	NGLY1;OXSM	3	25831834
cg06123346	0.306278814086058	ATP4A	19	36054519
cg06126510	0.750116459425615	NA	NA	0
cg06130787	NA	KLK10	19	51523550
cg06131859	0.183104767362418	NA	NA	0
cg06131936	0.678409738697036	OSBPL5	11	3187271
cg06132324	0.0290884063810198	XPO5;POLH	6	43544046
cg06132342	0.862805363876793	KRT85	12	52761153
cg06132694	0.0151462587078676	NDST3	4	118955172
cg06134936	0.0265061922468802	HERC4	10	69834491
cg06134964	NA	ITIH1	3	52812033
cg06138027	0.02074618320751	HNRNPK;RMI1	9	86596281
cg06139836	0.560068145975592	EBF3	10	131762961
cg06140118	0.120662038989254	DDX28;DUS2L	16	68056778
cg06141025	0.889365000247094	GYS2	12	21757466
cg06141123	0.0982835138211487	NFE2L2	2	178129829
cg06142324	0.658460908600117	HEPACAM	11	124805538
cg06143901	NA	TCF15	20	591400
cg06144905	0.66709130086703	PIPOX	17	27369780
cg06145308	0.0252073537727049	CNOT4	7	135195101
cg06145357	0.521108512356385	MAGEA8	X	149010149
cg06146910	0.0126533174558093	KBTBD6	13	41706728
cg06147863	0.840871458003207	SPI1	11	47400113
cg06148175	0.059995517697591	ACY3	11	67418148
cg06148264	0.0805079674603605	SERPINB1	6	2841468
cg06150468	0.0696351619130088	BATF3	1	212874085
cg06150803	0.0776768368519884	TNFRSF19	13	24144257
cg06151165	0.649079397785112	VSX1	20	25062254
cg06151964	0.839141969689301	HPN	19	35531417
cg06154570	0.696251165562762	HEYL	1	40105764
cg06154597	0.1819805587984	GAK;TMEM175	4	924812
cg06156376	0.668496280334166	SHOX2	3	157823814
cg06161738	0.0113210093956521	GALNT11	7	151722986
cg06161930	NA	ZNF787	19	56633191
cg06162003	0.0113825963194	CBX2	17	77752070
cg06162422	0.585768130782126	HNRNPH2;GLA	X	100663051
cg06165395	0.716555830987466	GRIK3	1	37500790
cg06166767	0.444057490342306	SFRP1	8	41167848
cg06166863	NA	PNN	14	39644186
cg06168050	0.114531945928605	ZNF207	17	30677336
cg06168324	0.0137141509785134	RBMS1	2	161349637
cg06168449	0.0376039439031468	DPF1	19	38714549
cg06171242	0.0501407803587218	ACOT13;TTRAP	6	24667490
cg06171787	0.243549447774028	MRPL16	11	59578490
cg06172871	0.886627155551153	HP	16	72088244
cg06173079	0.0862798271739069	NA	NA	0
cg06175025	0.0217316226736922	SPTLC2	14	78082992
cg06177698	0.489217067060223	GABRQ	X	151805899
cg06177968	0.0567375753583537	WDR55	5	140044542
cg06178072	0.96678853213335	GALNS;TRAPPC2L	16	88922252
cg06179485	NA	TMEM54	1	33367401
cg06183267	0.785025060643225	AFF3	2	100759134
cg06185738	0.144328875769378	SLC17A6	11	22359868
cg06186808	0.941200988693043	FITM1	14	24600901
cg06186861	0.444798750170969	ZNF501	3	44771174
cg06186973	0.0111420857529906	YWHAG	7	75988652
cg06187947	0.0247631979540951	GULP1	2	189157042
cg06188683	0.0125077455413089	ANP32A	15	69113451
cg06189133	0.92517498476862	INSL3	19	17931995
cg06189265	0.0287525724960815	GAS5;SNORD76;SNORD75;SNORD77;ZBTB37;SNORD74	1	173837002
cg06189653	0.0373894522933117	PRR7	5	176873332
cg06190053	0.588999567678317	NA	NA	0
cg06190732	0.841379817556113	SERPINA3	14	95078636
cg06191076	0.111348409473651	DIRAS3	1	68516463
cg06191203	0.0128245789501553	RIF1	2	152266755
cg06191990	0.104848350639663	TSFM	12	58176640
cg06192619	0.900203425416376	SLC1A6	19	15083616
cg06192753	0.0588399223615597	GADD45GIP1	19	13068297
cg06193382	0.0147804785374953	FAM54A	6	136571195
cg06193397	0.800857644236275	NA	NA	0
cg06194186	0.83629006888828	CPO	2	207803693
cg06194808	NA	TMEM184A	7	1596217
cg06196379	0.352612955253732	TREM1	6	41254885
cg06197006	0.0102370574462087	CRK	17	1359813
cg06197492	0.944073631903098	H19	11	2016605
cg06200013	0.205027924418454	ATP1B2	17	7554513
cg06200339	0.964750597066517	SOX30	5	157079404
cg06200697	0.171496602621711	CTNND1	11	57528838
cg06201642	0.238645001970407	ST6GALNAC5	1	77333198
cg06202984	0.0257602201984542	FANCC	9	98079903
cg06204948	0.0350961487439226	MARK2	11	63656090
cg06206626	0.708036700401196	ASPHD2	22	26825900
cg06206628	0.905142034899483	FRMPD2	10	49482826
cg06207460	0.128894796244459	AK3	9	4741011
cg06207804	0.132598930555602	ARTN	1	44398998
cg06208111	0.858503284117326	ITM2A	X	78624108
cg06210526	NA	CYP2F1	19	41619850
cg06211616	0.0459361033490249	SLC22A18AS;SLC22A18	11	2923659
cg06211871	0.0520339840125007	ZNF684	1	40997551
cg06212607	0.0164127449126731	GGPS1;ARID4B	1	235491708
cg06213287	0.0820758139337094	LIX1	5	96478495
cg06213598	0.912064855144385	ABCA9	17	67058208
cg06214007	0.385012816916028	GBP6	1	89829308
cg06214729	0.0229615321526062	NA	NA	0
