Hybridization REF	TCGA-B6-A0IG-01A-11D-A032-05	TCGA-B6-A0IG-01A-11D-A032-05	TCGA-B6-A0IG-01A-11D-A032-05	TCGA-B6-A0IG-01A-11D-A032-05
cg06495924	0.0284608289317029	CYC1	8	145149574
cg06496078	0.0205865018963467	C12orf23	12	107350075
cg06496654	0.84900443974026	NA	NA	0
cg06497752	0.319645866404556	COL9A3	20	61448534
cg06497795	0.0247408474880251	ZC3H10	12	56511914
cg06498267	0.677851638412959	HCN1	5	45695922
cg06499565	0.0290997130606477	NDRG3	20	35374747
cg06499652	0.0582062801639447	ARNTL	11	13299410
cg06500079	0.0350245724590331	VPS53	17	619033
cg06500476	0.842877530168148	C4orf19	4	37584954
cg06501070	0.899553537943924	LPAR3	1	85331899
cg06501084	0.220730924696741	KCNH5	14	63568195
cg06501790	0.954686493465721	SLC34A1	5	176811257
cg06502510	0.0222591329765315	ITSN1;CRYZL1	21	35013970
cg06502868	0.0119426291566138	H3F3B	17	73775964
cg06504820	0.718904389156248	DLK1	14	101192273
cg06505666	0.0190639202764295	CKAP2L	2	113522377
cg06506156	0.0146556738796523	TSSC1	2	3381578
cg06506864	0.909848550029363	NPSR1	7	34698188
cg06507244	0.857991521230331	DHX32	10	127569494
cg06507645	0.0335278509010282	NA	NA	0
cg06508445	0.024962117667312	LOX	5	121414088
cg06508934	0.0156842184477908	TIMP2	17	76921095
cg06509239	0.557733768723178	OSR1	2	19558569
cg06509940	0.941583335801089	NA	NA	0
cg06510830	0.0149640070772232	C21orf45	21	33651316
cg06513075	0.0205910708113396	NAT10	11	34126714
cg06516124	0.501602792987788	WT1	11	32450591
cg06516650	0.0195297036342078	RAB30	11	82783039
cg06517798	0.904371319079017	ATP1A4	1	160121283
cg06518271	0.951072462503239	ADH6	4	100140325
cg06518779	0.0184183278805423	BIVM;KDELC1	13	103452556
cg06521280	0.0626247408548758	C10orf55;PLAU	10	75671378
cg06521761	0.940315933844243	LRP2BP	4	186299612
cg06521852	0.0846603426464412	TRIOBP	22	38141419
cg06522719	0.564086108500579	NA	NA	0
cg06526829	0.19450818708484	KCND1	X	48828070
cg06528936	0.012970679305276	GNL2	1	38061398
cg06529761	0.814294432872201	DNASE1	16	3702486
cg06530118	0.0206273042137302	CLN3	16	28503379
cg06531741	0.855358433541948	HTR3B	11	113775450
cg06532147	0.873916856512697	NA	NA	0
cg06532176	0.0129426797060753	WWOX	16	78133804
cg06532493	0.0201279225482352	CISD1	10	60029458
cg06533629	0.100492403872328	KLF14	7	130419370
cg06534172	0.0158870030467268	DDX39	19	14530497
cg06534422	0.0280312907139654	MIF	22	24236603
cg06536578	0.552399416524374	JPH4	14	24048555
cg06537230	0.551512257780562	DLX5	7	96653183
cg06537829	0.02753622492983	UBB	17	16283976
cg06538003	0.0398055287109902	FBXO48;APLF	2	68694168
cg06539449	0.762641723119676	CCND1	11	69461008
cg06539804	0.692059936068947	CPXM1	20	2781489
cg06540105	0.0160114031134632	CCDC74A	2	132285688
cg06540636	0.0215186375935584	PLAUR	19	44174071
cg06540715	0.0546106643556739	ANKRD10	13	111568383
cg06540941	0.156910766569025	VAMP4	1	171710566
cg06541857	0.0611255215254657	ANAPC13;CEP63	3	134203789
cg06542614	NA	PDLIM1	10	97051255
cg06543018	0.225473717793167	RBP1	3	139258822
cg06543761	0.0134350056074218	PDP1	8	94929239
cg06544198	0.0209556830981702	TMEM14C	6	10723702
cg06545504	0.778369487872929	NA	NA	0
cg06545845	0.0179960812128353	ARL8A	1	202114092
cg06546607	0.616647498928737	PEPD	19	34013019
cg06547766	0.78540252683784	LPP	3	187930704
cg06548519	0.842223692794698	LYZL6	17	34267111
cg06550629	0.90603775606218	GPR133	12	131439172
cg06552037	0.0183557688948465	INHA;OBSL1	2	220435838
cg06552050	0.0112739927217195	CSDA	12	10875369
cg06554069	0.228222156882587	SAFB2;SAFB	19	5624175
cg06554542	0.0110511441826832	GNPTAB	12	102224375
cg06554928	0.032448589321428	PFN1	17	4852795
cg06557358	0.0122532008463752	TMEM132E;C17orf102	17	32907002
cg06557606	NA	ATP6V1H	8	54756224
cg06563300	0.776473426844181	SLC17A8	12	100750811
cg06564900	0.0578869396977685	FIGN	2	164592568
cg06565684	0.0439134962914555	NA	NA	0
cg06566994	NA	ZNF167	3	44596384
cg06567342	0.0744435220028333	ZRANB2	1	71546685
cg06567423	0.0406076812415105	STT3A	11	125462867
cg06570843	0.87159263050903	FABP2	4	120243252
cg06572160	0.76942666018468	KCNC3	19	50831901
cg06572974	0.691114605656117	CHD2	15	93442219
cg06575572	NA	FAM118A	22	45705265
cg06577005	0.318423713143389	DHDDS	1	26758228
cg06577463	0.0650417839080103	EIF4A3	17	78120714
cg06577658	0.0232948451153716	DMWD	19	46296270
cg06577725	0.352740691759113	SPATA16	3	172858917
cg06580318	0.0223222926823783	SPC25	2	169747119
cg06583518	0.0251195836436827	ZNF540;ZNF571	19	38085456
cg06584407	0.942425631079876	NPPA	1	11907324
cg06585027	0.0123430073679913	PI4KB	1	151300083
cg06585108	NA		10	134671604
cg06585690	NA	PROL1	4	71262957
cg06585893	0.858859799755702	CAPN9	1	230883552
cg06586599	0.0121411378826011	MCOLN1	19	7587541
cg06587969	0.0152378445839041	WRAP53;TP53	17	7591899
cg06588247	0.0165945139387147	TRAF3	14	103244199
cg06589885	0.847201536195688	HFE2	1	145413193
cg06590533	0.0197952161141833	NA	NA	0
cg06590610	0.857636295897597	IKZF1	7	50444317
cg06590711	0.380841344346815	NA	NA	0
cg06593568	0.0263871169159841	TATDN3;NSL1	1	212965581
cg06594008	0.0422785695428656	MKL1	22	41033637
cg06595693	0.264518341755702	DISP2	15	40649989
cg06597095	0.776489693970881	C5orf28	5	43480361
cg06597861	0.0187259144836329	LY6E;LOC100133669	8	144100572
cg06598256	0.971684074320082	FERMT3	11	63988554
cg06598631	0.0215930105327396	RARS2;ORC3L	6	88300029
cg06600412	0.0114213018296596	MLF1IP	4	185655239
cg06600447	0.0109445697546562	C19orf50	19	18668837
cg06601473	0.95138473549258	C11orf41	11	33694151
cg06602857	0.232781279640482	FOXF1	16	86542807
cg06605933	0.0689952205832367	BOLA1	1	149870977
cg06606198	0.0177674365989151	DDX55	12	124086727
cg06607866	0.0251843193227672	AIP	11	67250809
cg06609049	0.0850806792928423	THOP1	19	2785107
cg06609475	0.0355559452363281	NDUFS6;MRPL36	5	1801142
cg06611310	0.0186480841576314	KLRAQ1	2	48667531
cg06611744	0.0512401714554328	RASL11A	13	27844618
cg06612452	0.0391350222491954	PINK1	1	20960677
cg06613840	0.517965978185428	GPX1	3	49395574
cg06614002	0.85646089447963	SOX10	22	38380439
cg06615154	0.866086144584914	S100A3	1	153522553
cg06615667	0.0133694599605183	GPR107	9	132816229
cg06615861	0.029094912085694	KIF1B	1	10271191
cg06616147	0.038428836504142	ICK	6	52926842
cg06616245	0.0936488795003007	GLI1	12	57854236
cg06617418	0.218706077721313	AMMECR1;RGAG1	X	109662113
cg06618866	0.0362776603735876	TLR2	4	154605087
cg06619076	0.0383291618853898	ASPH	8	62627042
cg06619299	0.971681765374423	GMCL1L	5	177615005
cg06620254	0.387057480759314	NONO;BCYRN1	X	70503046
cg06621126	0.0229797031497435	HSF4	16	67198243
cg06621358	0.629620758184082	CELSR3	3	48699637
cg06622725	0.00877999543007108	PEX16	11	45939917
cg06623268	NA	MUTYH;TOE1	1	45805342
cg06624832	0.0109602672461475	TMEM104;NAT9	17	72772340
cg06625414	0.0108266568021984	SLC4A3	2	220492692
cg06625767	0.884192918207693	F12	5	176836695
cg06625811	0.0187310302132883	KIFAP3	1	170044077
cg06626655	0.420127658174521	RSPO1	1	38099916
cg06627364	0.0169402215799401	NA	NA	0
cg06628693	0.0370656240358154	PRKACB	1	84543156
cg06630241	0.846270779666532	SOCS2	12	93967711
cg06630567	0.237207232772989	AMBP	9	116840435
cg06630737	0.0666011595639345	MAD2L2;C1orf187	1	11752109
cg06632528	NA	NUDT22;TRPT1	11	63993432
cg06634267	0.0254040974695296	SNRNP48	6	7590278
cg06636246	0.0316700272361119	LCOR	10	98593247
cg06636463	0.032674456957299	DDX1	2	15731711
cg06637774	0.188727245365659	P2RY6	11	72975702
cg06637893	0.0147185252668068	C16orf86;C16orf48	16	67700960
cg06638012	0.0286846867241772	AFF4	5	132299861
cg06638433	0.584845261341281	IGF2BP1	17	47075175
cg06638451	0.481612893908182	FAM107A	3	58563269
cg06638966	0.323622197259047	COL19A1	6	70576321
cg06639544	NA	OR7A5	19	14940319
cg06640279	0.565901615648519	FAIM3	1	207095153
cg06641366	0.929747306522352	LRRC8C	1	90097604
cg06641503	0.838422014441168	ARIH2	3	48959341
cg06642617	0.00756765667088285	CCT7;C2orf7	2	73461528
cg06643227	0.84362010280282		9	114557239
cg06645778	NA	HSPC159	2	64680425
cg06646021	0.756513756419824	RAB4A	1	229406520
cg06648029	0.971835705223615	NR1I2	3	119499749
cg06649520	0.00772869905630562	ARFIP1;TIGD4	4	153700671
cg06650260	0.861163035496932	NR0B2	1	27240478
cg06650786	0.109218480027365	NOTCH3	19	15312129
cg06653796	0.758909055845885	LIME1	20	62367805
cg06654134	0.0258792346623044	CRIPT;PIGF	2	46844408
cg06654447	0.018824784030173	TMEM141	9	139686019
cg06655089	0.0101275612086941	IMPDH2	3	49066738
cg06655100	0.445728975993836	KLF8	X	56259373
cg06655504	0.0287370078351768	GDPD1	17	57297718
cg06656924	0.099883413974246	ZNF76	6	35228319
cg06657741	0.590013343390476	SLC9A6	X	135067456
cg06659073	0.154150276070984	SERAC1;GTF2H5	6	158589307
cg06659128	0.290032290873178	TMLHE	X	154842535
cg06661765	NA	NFIX	19	13106629
cg06661994	0.239587735029543	C20orf195	20	62184363
cg06665322	0.889655182417914	GPA33	1	167059365
cg06665799	0.0164992029309258	TMED9	5	177019313
cg06665941	0.012513084908833	IFNAR2	21	34602869
cg06665984	0.012608840429712	TRIP11	14	92506784
cg06666486	0.0420902201807188	EIF2AK1	7	6099044
cg06667091	0.803442495816985	CCNC	6	100017988
cg06667406	0.940447661270705	AASS	7	121773889
cg06668073	0.72393414070647	FERMT1	20	6104018
cg06668300	0.0230406206881634	MAL	2	95691755
cg06672652	0.0190949074579702	SNRPE	1	203830934
cg06673956	NA	GPR116	6	46882872
cg06675341	NA	PRMT3	11	20408613
cg06675478	0.636050262491649	SOX1	13	112721786
cg06675496	0.0508857694201313	ITSN2	2	24582688
cg06677140	0.0918431393686734	MSX1	4	4862015
cg06677660	0.014807819136913	SEC1;DBP	19	49140777
cg06679221	0.0241841353458203	THUMPD3	3	9405070
cg06682185	0.891959487303679	SERPINB5	18	61157615
cg06682978	0.0141415111020109	CAP2	6	17394417
cg06684910	0.0131066413400452	POLR3E	16	22308904
cg06687562	NA	ACTL8	1	18081775
cg06688396	0.182834298134234	TMEM55A	8	92053433
cg06688848	0.0112236344037247	RSPRY1;FAM192A	16	57220097
cg06689536	0.0136824862371723	CCNF	16	2480094
cg06690548	0.868258411953497	SLC7A11	4	139162808
cg06690633	0.0336467327297515	RAB15	14	65438715
cg06691299	0.030201403918207	CDK16	X	47077361
cg06692050	0.971105052129053	SFRP5	10	99532398
cg06692957	0.0221074768890817	GNAQ	9	80647629
cg06695761	0.458459023195648	SGCE;PEG10	7	94286526
cg06697251	0.563467371354636	TUBB4	19	6501613
cg06698742	0.018070441896228	TMEM126A	11	85359218
cg06699365	0.0108375581112021	OSBP	11	59383578
cg06700265	0.00887020980858499	DUSP16	12	12715028
cg06700462	0.577165310174033	PHKA2	X	19002006
cg06701500	0.0877607871706475	YWHAQ	2	9771671
cg06707338	0.00865322098507715	EEF1B2;NDUFS1	2	207024452
cg06707886	0.0131697080153394	C7orf20	7	916393
cg06708560	0.034120025684876	DNAJC7;NKIRAS2	17	40170084
cg06710522	0.0124492018616219	MRPL10;LRRC46	17	45908972
cg06710648	0.726618363234415	DAB1	1	58716377
cg06711560	0.672293320491159	MAMDC4	9	139746365
cg06712026	0.026476954694708	CSTF2T;PRKG1	10	53459102
cg06713098	0.60465912701332	IGFBP3	7	45960367
cg06714705	0.881656618380725	OLFML1	11	7506940
cg06716436	0.0135394042401344	S1PR2	19	10342240
cg06717104	0.0114076486275724	NA	NA	0
cg06717231	0.13687723671122	ZNF559	19	9434953
cg06718696	0.0241334601226077	EIF4A3	17	78121285
cg06719391	0.03635306129268	KCNQ1	11	2554330
cg06720424	0.0106326951936197	UIMC1	5	176433271
cg06720660	NA	RNASE6	14	21248497
cg06720956	0.0199318695890603	NA	NA	0
cg06722216	0.0636745940740518	NOL4	18	31803067
cg06722633	0.0655744333061304	GRIK3	1	37499309
cg06722792	0.0193231262815398	PDE9A	21	44073919
cg06723357	0.438225577508559	CUEDC1	17	55981642
cg06725035	0.0355091000507744	PRMT2	21	48055212
cg06725760	0.0371169694047913	WDR37	10	1102461
cg06726207	0.0267714759633243	SIX4	14	61190550
cg06728335	0.03094627410173	RNPS1	16	2318300
cg06730286	0.94981860273113	IFT140	16	1657372
cg06730468	0.10638230619119	TMEM143;SYNGR4	19	48867056
cg06731484	0.017981598961509	IVD	15	40697714
cg06731599	0.645693287950608	ATP6AP2	X	40440704
cg06734812	0.723074258726816	BRUNOL5	19	3223915
cg06734828	0.00968843560574818	NA	NA	0
cg06734962	0.0118650761019579	CEBPD	8	48650989
cg06736444	0.332786150385243	LOC100128788;SRRM2	16	2801793
cg06738602	0.0499375795061679	PTGER2	14	52780634
cg06740897	0.0474445277616105	NFE2L1	17	46124821
cg06742978	0.0538285542415247	ACCN2	12	50451907
cg06743811	0.480616147155291	NDN	15	23931451
cg06744574	0.0259409785634245	BEND5;AGBL4	1	49242359
cg06745740	0.0529198319265517	HGF	7	81399587
cg06746101	0.0109676536627538	TMED3	15	79603771
cg06746171	0.0225031592000651	ATOX1	5	151138551
cg06747888	0.0770903475888364	TBR1	2	162271859
cg06748315	0.956573950312063	KRTAP19-3	21	31864089
cg06750167	0.0803700846726044	TESC	12	117538458
cg06751597	0.155540310389885	SNAP23	15	42788175
cg06752594	0.0110996961225466	PSRC1	1	109825964
cg06754047	0.0200301963887574	SMYD5	2	73441257
cg06755819	0.442739438608321	NA	NA	0
cg06757810	0.724091454580698	CNGB3	8	87756528
cg06758848	0.522955205687128	FLNA	X	153603268
cg06759215	0.0174402254898487	DBF4B	17	42786055
cg06759890	0.323188083515603	LHFPL2	5	77806538
cg06760035	0.024126457127915	NA	NA	0
cg06762858	0.890009325695307	NA	NA	0
cg06763078	0.0285578826782224	KCNC1	11	17756761
cg06765434	0.0179987410433917	TXNL1	18	54305287
cg06765514	0.0684930710041429	PIP5KL1	9	130689862
cg06765947	0.92247655757064	UROC1	3	126236742
cg06766367	0.0830913075022943	CBFB	16	67062687
cg06768707	NA	PCDHB8	5	140556503
cg06771126	0.138866447941233	HOPX	4	57547699
cg06772202	NA	MDH2;STYXL1	7	75678527
cg06776256	0.121541238990557	GPRC5A	12	13043728
cg06777274	0.02074022272274	ME2	18	48406251
cg06777581	0.0322173441977873	RNF8	6	37321919
cg06777715	0.0405415642660242	NA	NA	0
cg06778853	0.0418511374423968	PHF13	1	6672620
cg06779945	0.0123817928952306	TNFAIP3	6	138188320
cg06780358	0.0238479829339387	PTPRJ	11	48003065
cg06781209	0.774412552699846	FADS2	11	61594997
cg06782692	0.0284123879143114	STK32C	10	134121419
cg06782849	0.0200950306219715	NPHP3;NCRNA00119	3	132440859
cg06783668	NA	ANKRD53	2	71204585
cg06784339	NA	MKRN1	7	140179139
cg06784466	0.732170030051489	FPR3	19	52297968
cg06785429	0.62223384177309	DCUN1D1	3	182699414
cg06785822	NA	C2orf48	2	10281330
cg06786424	0.0177183110443282	PRPF4B	6	4021316
cg06790275	0.0272437581264747	PIAS1	15	68346669
cg06790324	0.0581232993359427	GRB10	7	50860564
cg06790862	0.948089224521167	MPPED2	11	30601783
cg06791102	0.836902126227236	ARHGAP4	X	153191600
cg06791867	NA	TSPAN18	11	44880944
cg06792598	0.0390085554095512	CD55	1	207494733
cg06792911	NA	SLC2A1	1	43425022
cg06793062	NA	CNTNAP4	16	76343868
cg06796611	0.791780089919377	IL24	1	207070834
cg06797533	0.022669414408331	PLIN2	9	19127804
cg06798189	NA	SLC4A7	3	27498659
cg06799664	0.837260525578834	DNAH17	17	76567121
cg06800962	0.114248762172207	TM4SF1	3	149096029
cg06803184	0.0137911683763406	FH	1	241683075
cg06803253	0.906226638883269	GNAT1	3	50229604
cg06804431	0.0250797631170081	GNRHR2;PEX11B	1	145516254
cg06804711	0.0273126500747528	NA	NA	0
cg06806080	0.9235430284522	CD47	3	107810791
cg06806711	0.51390348660558	MS4A1	11	60223291
cg06807379	NA	DAPK3	19	3971119
cg06807579	0.014458405661154	RPL29	3	52029988
cg06807989	0.0342790963541206	C3orf52	3	111805312
cg06808983	0.0133424291572571	G6PC3	17	42148292
cg06809565	0.543993135101886	HCFC1;TMEM187	X	153236787
cg06810461	0.914693061040297	AGRP	16	67518144
cg06810647	0.123016553801805	CRAMP1L	16	1665094
cg06811800	0.915894901367095	ATP4B	13	114312105
cg06812033	0.0689594408207765	NKD1	16	50582453
cg06812844	0.34229447512171	TRPM2	21	45773782
cg06812977	0.0321056787112646	NA	NA	0
cg06813842	0.744136796848528	NA	NA	0
cg06815666	0.03621128501939	PRPF31;TFPT	19	54618544
cg06815817	0.0367576445768843	ZNF212	7	148936572
cg06816063	0.0121512623940553	RAB8A	19	16222510
cg06816106	0.0171519694645994	SPDYA	2	29033352
cg06816161	0.0142331586041374	EZH2	7	148581907
cg06817264	0.125229992176669	CTSF	11	66335649
cg06817269	0.672636416742253	GCNT3	15	59909035
cg06817917	0.0275276540246676	BMPR1A	10	88515527
cg06818415	0.0170111605127597	PHF1	6	33379267
cg06818473	0.520795172051072	NA	NA	0
cg06818777	0.553102655317293	CHAD;ACSF2	17	48546620
cg06819200	0.00760470167125229	ECE1	1	21616641
cg06821120	0.178141705293078	RASSF1	3	50375459
cg06821274	0.0157283821596849	SSR2	1	155990882
cg06821993	0.0749486614291675	CSMD3	8	114449011
cg06822229	0.637704125260276	ACSL4	X	108976856
cg06822995	0.192791770259258	CAMK4	5	110559431
cg06823263	0.0298336707517483	USF1	1	161015119
cg06824727	0.0216029942793793	DHRS1;C14orf21	14	24768621
cg06825142	0.432381977951765	DRD4	11	637170
cg06825166	0.611460314379105	OPALIN	10	98119079
cg06827038	0.663801821912024	WFIKKN2	17	48912952
cg06827976	0.930799482088966	FGR	1	27950589
cg06830426	0.034877197211361	RPS5	19	58898769
cg06831658	0.0343029046360541	NA	NA	0
cg06832039	0.958813223173285	NA	NA	0
cg06832950	0.874281699104352	NA	NA	0
cg06833562	0.0227351533665909	ZNHIT6	1	86174060
cg06834261	0.0374333794072511	ALS2CR8;WDR12	2	203776215
cg06834875	0.60039292511569	HHIPL1	14	100111263
cg06834983	0.975659342260233	SSX7	X	52683807
cg06836338	0.0221533695382299	ATPAF2;C17orf39	17	17942007
cg06836736	0.531689933275108	ME1	6	84140993
cg06836772	0.182257421185637	PRKAA2	1	57110403
cg06836849	0.343704123736549	SLC17A8	12	100751051
cg06837731	0.0185986251882042	ERLIN1	10	101945906
cg06838394	NA	ARFGEF2	20	47538719
cg06839953	0.0115455814461564	TMEM222	1	27648457
cg06840042	0.0145732988052993	MKRN2	3	12598618
cg06840226	0.0105969875326907	NA	NA	0
cg06840239	0.0113559334972224	TAF6L	11	62539043
cg06840801	0.759584211932207	CHRNB3	8	42552719
cg06848073	0.437068513732497	FBXO44;FBXO2	1	11713540
cg06848288	0.0154250601493031	PHIP	6	79788573
cg06849227	0.988911423552617	NA	NA	0
cg06849477	0.165688065557892	PRR5	22	45072724
cg06850526	0.121929737133245	SLC38A10	17	79269886
cg06851207	0.846981520112185	PNMAL1	19	46975138
cg06852652	NA	CYP2C18	10	96442031
cg06852744	0.898739632490015	AEBP1	7	44142973
cg06855803	0.715656853760216	ICAM3	19	10450364
cg06856528	0.279355269611392	TMEFF2	2	193059405
cg06859828	0.921977260269896	NA	NA	0
cg06862062	0.0120099516354911	ACOX3	4	8442641
cg06862644	0.904805268556483	SPATA22	17	3375469
cg06864275	0.00982312514272157	SBNO2	19	1174154
cg06866657	0.0456627988841332	LHX6	9	124990754
cg06866862	0.0283473839276593	NA	NA	0
cg06868758	0.59921654718692	EEF1B2;SNORD51;NDUFS1	2	207025391
cg06869899	0.0144911967269807	BRE;RBKS;LOC100302650	2	28113326
cg06871974	NA	TNS3	7	47578960
cg06872331	0.0339242218490923	STEAP3	2	119981960
cg06872381	0.758918925278597	DPPA3	12	7864076
cg06873352	0.0244577628884453	STRADA	17	61820015
cg06874144	0.540545978274581	CAB39	2	231576873
cg06878726	0.0170240523251609	RBM19	12	114404035
cg06880557	0.0210103254488835	C13orf27	13	103425546
cg06882877	0.747641969610998	PAQR6	1	156217801
cg06882926	NA	OR1G1	17	3031354
cg06883149	0.0171721962293083	NA	NA	0
cg06885524	0.00808140301376999	CYBRD1	2	172379087
cg06885782	0.388257879755646	KCNQ4	1	41248209
cg06886022	0.0495228115451263	C9orf75	9	140095555
cg06887167	NA	CIT	12	120314679
cg06887170	0.0377668375948877	IFI27L2	14	94596104
cg06887414	0.0159081048261819	RPN1	3	128369476
cg06887663	0.02615728807415	SNAPC1	14	62228983
cg06890553	0.024005426196306	ZNF223	19	44556485
cg06892726	0.0504274932894664	HFE	6	26087607
cg06893980	0.0194816164402109	PSMB1;TBP	6	170862231
cg06894381	0.0164422989368315	SLC35D1	1	67519805
cg06894812	0.0136162851545754	MCC	5	112630225
cg06896207	0.310183272529608	MOBKL2A	19	2095364
cg06898923	NA	RAB18	10	27792905
cg06899329	0.496256432876168	NDUFA13;TSSK6	19	19627922
cg06899582	0.546286660931847	ZNF280C	X	129402809
cg06899802	0.00973092909537665	CSNK1A1	5	148931087
cg06899808	0.801004051996191	NA	NA	0
cg06899976	0.10482213743651	PCDHB1	5	140430962
cg06900776	0.144797688875203	ARMCX3	X	100878107
cg06901392	0.016034304700361	HSPH1	13	31736105
cg06904813	0.566303927185244	NA	NA	0
cg06905514	0.0135907781523938	NA	NA	0
cg06905862	0.0260250477548578	TPP1	11	6640837
cg06906435	0.912149019442226	C14orf177	14	99177777
cg06907544	0.805314175070203	NA	NA	0
cg06908474	0.0121273361116653	CAT	11	34460516
cg06908778	0.681350857766134	SPAG6	10	22634602
cg06910048	0.0246963411612285	C11orf57;PIH1D2	11	111945509
cg06910100	0.87926927676855	USHBP1	19	17375091
cg06911084	0.611035839142588	DLX5	7	96652894
cg06911113	0.0540410101100614	UBXN10	1	20512617
cg06912252	0.449037061890987	C9orf125	9	104248926
cg06913228	0.0110597058306064	UBE2J1	6	90062465
cg06914598	0.559635444405387	NA	NA	0
cg06915165	0.0234970471354414	GABARAPL1	12	10364933
cg06917325	0.875763536045584	SLC22A8	11	62783123
cg06918467	0.187716425440721	OLIG3	6	137815539
cg06919067	NA	NSMCE1	16	27268727
cg06919203	0.863803391551189	GFRA4	20	3644151
cg06919956	0.0349516342153411	PNPLA7;MRPL41	9	140445760
cg06921282	0.0731340440891819	HRAS;LRRC56	11	536299
cg06922130	0.0259744722065591	KIF2C	1	45205796
cg06926735	NA	UBE2V1;TMEM189-UBE2V1	20	48732667
cg06927864	0.404879406674339	IL1RAPL1	X	28604661
cg06930095	0.0275554593663659	SEC11A	15	85259484
cg06933072	NA	ADCY10	1	167882951
cg06933965	0.0682605021315249	CMKLR1	12	108732994
cg06937608	0.398528114307751	NA	NA	0
cg06938406	0.0438711532827721	COX6A1	12	120875584
cg06938878	0.967408637936143	CALCB	11	15094364
cg06940107	0.35140105075546	NA	NA	0
cg06940574	0.971763089393139	ICMT	1	6297128
cg06940792	0.559910576396647	MEGF10	5	126626557
cg06941093	0.895075870361075	GLIS1	1	54199696
cg06942110	0.404298957340207	INTS1	7	1545385
cg06942445	0.535769130871198	TRO	X	54947373
cg06942536	0.617823260853319	NA	NA	0
cg06943865	0.923991987738621	PEG10	7	94293780
cg06944050	0.595354610661154	LONRF3	X	118109068
cg06945625	NA	SERPINB6	6	2972184
cg06946880	0.83746213681741	ATP6V1B1	2	71163123
cg06948294	0.473420477834623	STXBP6	14	25518624
cg06948408	0.0342340618202088	TMEM125	1	43736600
cg06948937	0.905504408717631	CDK18	1	205473404
cg06949789	0.0138936669437976	NKIRAS1;RPL15	3	23958708
cg06950730	NA	TAGLN	11	117069479
cg06952117	0.0103256297857563	NAB1	2	191514435
cg06952236	0.0187739015086814	RASGRP1	15	38856341
cg06952310	0.145909287357919	NCAN	19	19327990
cg06953304	0.0859396981538408	NKTR	3	42641690
cg06953768	0.0727833868233037	C5orf24	5	134181484
cg06953995	0.0626850789379385	PALM2;PALM2-AKAP2	9	112542779
cg06954481	0.736503319914153	GBX2	2	237076497
cg06956273	NA	GNAT2	1	110155623
cg06956646	0.0177422645774326	SOS2	14	50698982
cg06957329	0.0170469020002422	MRPS23	17	55927468
cg06958034	0.0154013307627425	KDM1A	1	23346203
cg06958211	0.916381360596562	PAK6	15	40532180
cg06958537	NA	ETS2	21	40176950
cg06958829	0.0302441229331518	ACSF2;CHAD	17	48546118
cg06959635	0.53762437380587	MCF2	X	138724627
cg06960698	0.437188223135896	FGF14	13	103054846
cg06963844	0.0232784948599264	FBXO6	1	11724238
cg06971096	0.537677081102181	PTPRN	2	220173591
cg06973652	0.970145793618362	BRCA1;NBR2	17	41278622
cg06973760	0.0217825448404949	NFATC1	18	77154869
cg06974755	0.0880369960391723	RALGDS	9	135996931
cg06975499	0.0234891678542375	EZH1	17	40896881
cg06975739	0.0869729923829418	NA	NA	0
cg06976977	0.0289298577893306	COX18	4	73935744
cg06979034	0.0412785014376909	NA	NA	0
cg06980053	0.175122434701439	RASSF1	3	50375674
cg06980380	NA	DTNB	2	25896925
cg06980460	0.898115604558393	FOLH1	11	49230548
cg06981182	0.0226097556073208	RNLS	10	90343208
cg06981910	NA	C7orf45	7	129847046
cg06983551	0.178902257572412	BUB1	2	111435583
cg06985415	0.845040590189548	JAKMIP3	10	133955411
cg06987504	0.0347278834731371	EIF3E	8	109261215
cg06990298	0.0167237371841133	RASD1	17	17399700
cg06990379	0.0105649246911053	DPYD	1	98386209
cg06992027	0.0161056665874809	TAGLN2	1	159895302
cg06993413	0.0168535537769478	DPP8	15	65810204
cg06994747	0.247254423742144	ADAMTS10	19	8675639
cg06994793	0.0137734489282016	TMCO6	5	140018911
cg06995715	0.783378948237593	FOXL1	16	86612590
cg06999776	0.0409822239805055	SEMA4F	2	74881146
cg07000551	0.0116761696162989	BMF	15	40401297
cg07000785	0.0501232135153965	GADD45A	1	68150823
cg07000831	0.0156187449718695	SETDB2;CAB39L	13	50018514
cg07003563	0.0417069683969204	CAPZA1;ST7L	1	113161334
cg07004820	0.0198022632726694	TGFA	2	70780451
cg07005513	0.253064011230136	FADS2	11	61595956
cg07005767	0.744698507383094	ABRA	8	107782538
cg07006042	0.0194938850978791	ATP1B3	3	141595655
cg07006526	0.0130301849707513	SMTN	22	31477053
cg07007400	0.0413473790213889	KRT7	12	52626831
cg07008350	0.856351678026787	NA	NA	0
cg07008386	0.0238102853396398	PLCB1	20	8113630
cg07009002	0.154247916909365	MB	22	36019632
cg07011110	0.612131019515443	BTN1A1	6	26500482
cg07011445	0.00991838999524772	NSMCE4A	10	123734712
cg07013734	0.0359349283905849	TRPC6	11	101454683
cg07014174	0.160023989550113	KRTAP11-1	21	32253760
cg07015079	0.17764321795135	ANKRD35	1	145549441
cg07015629	0.0347992528635252	ERBB4	2	213403212
cg07016325	0.00939016494943725	PAPOLA	14	96968745
cg07017374	0.0326725454257832	FLT3	13	28674451
cg07017477	0.0930527712129472	THEM4	1	151882157
