Hybridization REF	TCGA-AO-A12D-01A-11D-A112-05	TCGA-AO-A12D-01A-11D-A112-05	TCGA-AO-A12D-01A-11D-A112-05	TCGA-AO-A12D-01A-11D-A112-05
cg06531741	0.836968121217882	HTR3B	11	113775450
cg06532147	0.819073175333315	NA	NA	0
cg06532176	0.0137467901773612	WWOX	16	78133804
cg06532493	0.0329372970458573	CISD1	10	60029458
cg06533629	0.0859972486764574	KLF14	7	130419370
cg06534172	0.0357235771355255	DDX39	19	14530497
cg06534422	0.0122352201734502	MIF	22	24236603
cg06536578	0.790470608564177	JPH4	14	24048555
cg06537230	0.227214619099144	DLX5	7	96653183
cg06537829	0.0299878439600008	UBB	17	16283976
cg06538003	0.0485037794698757	FBXO48;APLF	2	68694168
cg06539449	0.787158327480157	CCND1	11	69461008
cg06539804	0.301172327446234	CPXM1	20	2781489
cg06540105	0.0189203372404707	CCDC74A	2	132285688
cg06540636	0.0270956037892864	PLAUR	19	44174071
cg06540715	0.0708336067623167	ANKRD10	13	111568383
cg06540941	0.0783594364883299	VAMP4	1	171710566
cg06541857	0.134724975042982	ANAPC13;CEP63	3	134203789
cg06542614	NA	PDLIM1	10	97051255
cg06543018	0.531887468034056	RBP1	3	139258822
cg06543761	0.00726139163415356	PDP1	8	94929239
cg06544198	0.0467738090032198	TMEM14C	6	10723702
cg06545504	0.868939826999892	NA	NA	0
cg06545845	0.0272740216116679	ARL8A	1	202114092
cg06546607	0.469842537517698	PEPD	19	34013019
cg06547766	0.844676506864428	LPP	3	187930704
cg06548519	0.813785215110834	LYZL6	17	34267111
cg06550629	0.789738047463986	GPR133	12	131439172
cg06552037	0.00859183439304215	INHA;OBSL1	2	220435838
cg06552050	0.0126737312692626	CSDA	12	10875369
cg06554069	0.118908734795384	SAFB2;SAFB	19	5624175
cg06554542	0.0139620588496282	GNPTAB	12	102224375
cg06554928	0.0507034554537292	PFN1	17	4852795
cg06557358	0.0150517960174047	TMEM132E;C17orf102	17	32907002
cg06557606	NA	ATP6V1H	8	54756224
cg06563300	0.636707301869693	SLC17A8	12	100750811
cg06564900	0.0447378021204028	FIGN	2	164592568
cg06565684	0.0457543473292963	NA	NA	0
cg06566994	NA	ZNF167	3	44596384
cg06567342	0.0820159704171744	ZRANB2	1	71546685
cg06567423	0.0316865074815871	STT3A	11	125462867
cg06570843	0.811763211402158	FABP2	4	120243252
cg06572160	0.454934600051242	KCNC3	19	50831901
cg06572974	0.873262072773911	CHD2	15	93442219
cg06575572	NA	FAM118A	22	45705265
cg06577005	0.0233180756962275	DHDDS	1	26758228
cg06577463	0.0393088408083757	EIF4A3	17	78120714
cg06577658	0.0190157570940301	DMWD	19	46296270
cg06577725	0.752532543173006	SPATA16	3	172858917
cg06580318	0.0203861788680552	SPC25	2	169747119
cg06583518	0.0280474295097128	ZNF540;ZNF571	19	38085456
cg06584407	0.919493254631252	NPPA	1	11907324
cg06585027	0.0174170263229318	PI4KB	1	151300083
cg06585108	NA		10	134671604
cg06585690	NA	PROL1	4	71262957
cg06585893	0.818624358924603	CAPN9	1	230883552
cg06586599	0.00914213785130647	MCOLN1	19	7587541
cg06587969	0.0214172683838743	WRAP53;TP53	17	7591899
cg06588247	0.0118931957357215	TRAF3	14	103244199
cg06589885	0.734854767692327	HFE2	1	145413193
cg06590533	0.0162771333473797	NA	NA	0
cg06590610	0.941725309102073	IKZF1	7	50444317
cg06590711	0.565273752115798	NA	NA	0
cg06593568	0.0252770563972272	TATDN3;NSL1	1	212965581
cg06594008	0.203437219793867	MKL1	22	41033637
cg06595693	0.314554815897294	DISP2	15	40649989
cg06597095	0.834600739653379	C5orf28	5	43480361
cg06597861	0.0122625649854746	LY6E;LOC100133669	8	144100572
cg06598256	0.972246253763591	FERMT3	11	63988554
cg06598631	0.0247251759901668	RARS2;ORC3L	6	88300029
cg06600412	0.0099150285076834	MLF1IP	4	185655239
cg06600447	0.021866720343388	C19orf50	19	18668837
cg06601473	0.907112109713964	C11orf41	11	33694151
cg06602857	0.0262558833946835	FOXF1	16	86542807
cg06605933	0.120027040820938	BOLA1	1	149870977
cg06606198	0.0117810153402682	DDX55	12	124086727
cg06607866	0.0420050467822987	AIP	11	67250809
cg06609049	0.240064811400302	THOP1	19	2785107
cg06609475	0.0404301417028854	NDUFS6;MRPL36	5	1801142
cg06611310	0.0431337042306653	KLRAQ1	2	48667531
cg06611744	0.553396669083982	RASL11A	13	27844618
cg06612452	0.0298681131015317	PINK1	1	20960677
cg06613840	0.350551352674054	GPX1	3	49395574
cg06614002	0.937818231654532	SOX10	22	38380439
cg06615154	0.889694455552486	S100A3	1	153522553
cg06615667	0.00939405000724266	GPR107	9	132816229
cg06615861	0.012355986559553	KIF1B	1	10271191
cg06616147	0.0438478603320997	ICK	6	52926842
cg06616245	0.111306538450583	GLI1	12	57854236
cg06617418	0.366512851270649	AMMECR1;RGAG1	X	109662113
cg06618866	0.134886312800173	TLR2	4	154605087
cg06619076	0.026026501942754	ASPH	8	62627042
cg06619299	0.932845647054319	GMCL1L	5	177615005
cg06620254	0.350761156696056	NONO;BCYRN1	X	70503046
cg06621126	0.0754086064420351	HSF4	16	67198243
cg06621358	0.186666258841629	CELSR3	3	48699637
cg06622725	0.0106975881410001	PEX16	11	45939917
cg06623268	NA	MUTYH;TOE1	1	45805342
cg06624832	0.0202857169650528	TMEM104;NAT9	17	72772340
cg06625414	0.0101272003542688	SLC4A3	2	220492692
cg06625767	0.917832131510511	F12	5	176836695
cg06625811	0.0280235105762923	KIFAP3	1	170044077
cg06626655	0.0639886281886213	RSPO1	1	38099916
cg06627364	0.037674235267614	NA	NA	0
cg06628693	0.030540452031164	PRKACB	1	84543156
cg06630241	0.74093480399678	SOCS2	12	93967711
cg06630567	0.419654386229873	AMBP	9	116840435
cg06630737	0.0256594895334244	MAD2L2;C1orf187	1	11752109
cg06632528	NA	NUDT22;TRPT1	11	63993432
cg06634267	0.0283665144299583	SNRNP48	6	7590278
cg06636246	0.0637832654819372	LCOR	10	98593247
cg06636463	0.0978171751087599	DDX1	2	15731711
cg06637774	0.207910124016108	P2RY6	11	72975702
cg06637893	0.0151922182051281	C16orf86;C16orf48	16	67700960
cg06638012	0.0356161169856292	AFF4	5	132299861
cg06638433	0.280758495709751	IGF2BP1	17	47075175
cg06638451	0.69063220333208	FAM107A	3	58563269
cg06638966	0.474198495193622	COL19A1	6	70576321
cg06639544	NA	OR7A5	19	14940319
cg06640279	0.645274134782942	FAIM3	1	207095153
cg06641366	0.943830702037889	LRRC8C	1	90097604
cg06641503	0.643519968979995	ARIH2	3	48959341
cg06642617	0.0106329284524255	CCT7;C2orf7	2	73461528
cg06643227	0.835929070472657		9	114557239
cg06645778	NA	HSPC159	2	64680425
cg06646021	0.36020250528404	RAB4A	1	229406520
cg06648029	0.967217178213345	NR1I2	3	119499749
cg06649520	0.0101672854790876	ARFIP1;TIGD4	4	153700671
cg06650260	0.866701896833665	NR0B2	1	27240478
cg06650786	0.193644550273676	NOTCH3	19	15312129
cg06653796	0.655221330506697	LIME1	20	62367805
cg06654134	0.036195675913597	CRIPT;PIGF	2	46844408
cg06654447	0.00758857021668987	TMEM141	9	139686019
cg06655089	0.00519555397841922	IMPDH2	3	49066738
cg06655100	0.232235784938703	KLF8	X	56259373
cg06655504	0.0402421869827858	GDPD1	17	57297718
cg06656924	0.381770545170384	ZNF76	6	35228319
cg06657741	0.0748755288197565	SLC9A6	X	135067456
cg06659073	0.109403833285672	SERAC1;GTF2H5	6	158589307
cg06659128	0.223590853837496	TMLHE	X	154842535
cg06661765	NA	NFIX	19	13106629
cg06661994	0.339813540320311	C20orf195	20	62184363
cg06665322	0.652279020077879	GPA33	1	167059365
cg06665799	0.0130063870556808	TMED9	5	177019313
cg06665941	0.00725794662003363	IFNAR2	21	34602869
cg06665984	0.0693598125593419	TRIP11	14	92506784
cg06666486	0.0655584423794851	EIF2AK1	7	6099044
cg06667091	0.737463774291337	CCNC	6	100017988
cg06667406	0.913103984947059	AASS	7	121773889
cg06668073	0.0244149825465291	FERMT1	20	6104018
cg06668300	0.0108510223817331	MAL	2	95691755
cg06672652	0.012451962733128	SNRPE	1	203830934
cg06673956	NA	GPR116	6	46882872
cg06675341	NA	PRMT3	11	20408613
cg06675478	0.210776741020811	SOX1	13	112721786
cg06675496	0.0749572015220872	ITSN2	2	24582688
cg06677140	0.0795599482568026	MSX1	4	4862015
cg06677660	0.0120017838133089	SEC1;DBP	19	49140777
cg06679221	0.0235197256366815	THUMPD3	3	9405070
cg06682185	0.735524232082636	SERPINB5	18	61157615
cg06682978	0.00646071509564972	CAP2	6	17394417
cg06684910	0.0169672504733666	POLR3E	16	22308904
cg06687562	NA	ACTL8	1	18081775
cg06688396	0.525581078165423	TMEM55A	8	92053433
cg06688848	0.0197306289338022	RSPRY1;FAM192A	16	57220097
cg06689536	0.0373009480366597	CCNF	16	2480094
cg06690548	0.864199474296322	SLC7A11	4	139162808
cg06690633	0.0393709564550092	RAB15	14	65438715
cg06691299	0.0195701183648011	CDK16	X	47077361
cg06692050	0.948077047601085	SFRP5	10	99532398
cg06692957	0.0698761739756033	GNAQ	9	80647629
cg06695761	0.59471754736706	SGCE;PEG10	7	94286526
cg06697251	0.444301975468804	TUBB4	19	6501613
cg06698742	0.017136112687091	TMEM126A	11	85359218
cg06699365	0.0126675526810352	OSBP	11	59383578
cg06700265	0.00862363243653889	DUSP16	12	12715028
cg06700462	0.311881956756682	PHKA2	X	19002006
cg06701500	0.0633907049985991	YWHAQ	2	9771671
cg06707338	0.00993716846828567	EEF1B2;NDUFS1	2	207024452
cg06707886	0.00888227592734529	C7orf20	7	916393
cg06708560	0.042246917369617	DNAJC7;NKIRAS2	17	40170084
cg06710522	0.00998002179218532	MRPL10;LRRC46	17	45908972
cg06710648	0.651243190977339	DAB1	1	58716377
cg06711560	0.911668648885831	MAMDC4	9	139746365
cg06712026	0.055386321391692	CSTF2T;PRKG1	10	53459102
cg06713098	0.013767182856755	IGFBP3	7	45960367
cg06714705	0.818622666242792	OLFML1	11	7506940
cg06716436	0.00810568607825761	S1PR2	19	10342240
cg06717104	0.00863993109890273	NA	NA	0
cg06717231	0.00799350451844113	ZNF559	19	9434953
cg06718696	0.013672465984016	EIF4A3	17	78121285
cg06719391	0.501443590638298	KCNQ1	11	2554330
cg06720424	0.00899087615608726	UIMC1	5	176433271
cg06720660	NA	RNASE6	14	21248497
cg06720956	0.0169556278465355	NA	NA	0
cg06722216	0.0361741060275316	NOL4	18	31803067
cg06722633	0.0525057518379312	GRIK3	1	37499309
cg06722792	0.0160859365693773	PDE9A	21	44073919
cg06723357	0.452884204532685	CUEDC1	17	55981642
cg06725035	0.0218913351271803	PRMT2	21	48055212
cg06725760	0.026819616883729	WDR37	10	1102461
cg06726207	0.0510252136650268	SIX4	14	61190550
cg06728335	0.0140766604391212	RNPS1	16	2318300
cg06730286	0.885842236114341	IFT140	16	1657372
cg06730468	0.0510786322902664	TMEM143;SYNGR4	19	48867056
cg06731484	0.465849690377233	IVD	15	40697714
cg06731599	0.324631233456991	ATP6AP2	X	40440704
cg06734812	0.39106639913443	BRUNOL5	19	3223915
cg06734828	0.00792354479461108	NA	NA	0
cg06734962	0.0150890429189868	CEBPD	8	48650989
cg06736444	0.434135814580003	LOC100128788;SRRM2	16	2801793
cg06738602	0.0678972848665155	PTGER2	14	52780634
cg06740897	0.067566772137154	NFE2L1	17	46124821
cg06742978	0.0366169086222761	ACCN2	12	50451907
cg06743811	0.536027910952152	NDN	15	23931451
cg06744574	0.0125163635941333	BEND5;AGBL4	1	49242359
cg06745740	0.0637903379626677	HGF	7	81399587
cg06746101	0.0108438188551707	TMED3	15	79603771
cg06746171	0.0409854763328701	ATOX1	5	151138551
cg06747888	0.18621279308064	TBR1	2	162271859
cg06748315	0.929422191587767	KRTAP19-3	21	31864089
cg06750167	0.410961167947237	TESC	12	117538458
cg06751597	0.152243994933905	SNAP23	15	42788175
cg06752594	0.00812354078431144	PSRC1	1	109825964
cg06754047	0.0302276908798415	SMYD5	2	73441257
cg06755819	0.346215970352374	NA	NA	0
cg06757810	0.934346789319236	CNGB3	8	87756528
cg06758848	0.304744202667762	FLNA	X	153603268
cg06759215	0.0320773048248063	DBF4B	17	42786055
cg06759890	0.456550703077989	LHFPL2	5	77806538
cg06760035	0.0179650809106324	NA	NA	0
cg06762858	0.881553813268334	NA	NA	0
cg06763078	0.0544072400164944	KCNC1	11	17756761
cg06765434	0.0179774468631549	TXNL1	18	54305287
cg06765514	0.0252083593729576	PIP5KL1	9	130689862
cg06765947	0.895686478589968	UROC1	3	126236742
cg06766367	0.179100158617835	CBFB	16	67062687
cg06768707	NA	PCDHB8	5	140556503
cg06771126	0.315064913039374	HOPX	4	57547699
cg06772202	NA	MDH2;STYXL1	7	75678527
cg06776256	0.258660616016647	GPRC5A	12	13043728
cg06777274	0.0894799112366686	ME2	18	48406251
cg06777581	0.0344570142970316	RNF8	6	37321919
cg06777715	0.0191837932510539	NA	NA	0
cg06778853	0.107409862670404	PHF13	1	6672620
cg06779945	0.0158909203866356	TNFAIP3	6	138188320
cg06780358	0.0136065206478237	PTPRJ	11	48003065
cg06781209	0.473675878533445	FADS2	11	61594997
cg06782692	0.0369433905262887	STK32C	10	134121419
cg06782849	0.381582531267612	NPHP3;NCRNA00119	3	132440859
cg06783668	NA	ANKRD53	2	71204585
cg06784339	NA	MKRN1	7	140179139
cg06784466	0.71528168215367	FPR3	19	52297968
cg06785429	0.525030463489567	DCUN1D1	3	182699414
cg06785822	NA	C2orf48	2	10281330
cg06786424	0.0278164152020881	PRPF4B	6	4021316
cg06790275	0.0355673225131219	PIAS1	15	68346669
cg06790324	0.0186420301235939	GRB10	7	50860564
cg06790862	0.857591623541209	MPPED2	11	30601783
cg06791102	0.633782741029606	ARHGAP4	X	153191600
cg06791867	NA	TSPAN18	11	44880944
cg06792598	0.0887367063114854	CD55	1	207494733
cg06792911	NA	SLC2A1	1	43425022
cg06793062	NA	CNTNAP4	16	76343868
cg06796611	0.657368244945069	IL24	1	207070834
cg06797533	0.0130616763905511	PLIN2	9	19127804
cg06798189	NA	SLC4A7	3	27498659
cg06799664	0.848832237907999	DNAH17	17	76567121
cg06800962	0.133814133541275	TM4SF1	3	149096029
cg06803184	0.0420513345067637	FH	1	241683075
cg06803253	0.796021378337123	GNAT1	3	50229604
cg06804431	0.0308290916721946	GNRHR2;PEX11B	1	145516254
cg06804711	0.017653950349031	NA	NA	0
cg06806080	0.965971036778597	CD47	3	107810791
cg06806711	0.587843045967857	MS4A1	11	60223291
cg06807379	NA	DAPK3	19	3971119
cg06807579	0.125903497194141	RPL29	3	52029988
cg06807989	0.237437049866464	C3orf52	3	111805312
cg06808983	0.0165529540696576	G6PC3	17	42148292
cg06809565	0.0283793178000213	HCFC1;TMEM187	X	153236787
cg06810461	0.893829966734344	AGRP	16	67518144
cg06810647	0.508206844817704	CRAMP1L	16	1665094
cg06811800	0.864238715724042	ATP4B	13	114312105
cg06812033	0.0196474763087862	NKD1	16	50582453
cg06812844	0.451293270918653	TRPM2	21	45773782
cg06812977	0.0306353960313007	NA	NA	0
cg06813842	0.57423511286566	NA	NA	0
cg06815666	0.0658717184935793	PRPF31;TFPT	19	54618544
cg06815817	0.0596793765956756	ZNF212	7	148936572
cg06816063	0.00878911639208723	RAB8A	19	16222510
cg06816106	0.017971502017422	SPDYA	2	29033352
cg06816161	0.0602823787913817	EZH2	7	148581907
cg06817264	0.185754084788479	CTSF	11	66335649
cg06817269	0.856716360182201	GCNT3	15	59909035
cg06817917	0.0468445149143163	BMPR1A	10	88515527
cg06818415	0.0169181042056767	PHF1	6	33379267
cg06818473	0.313338893369793	NA	NA	0
cg06818777	0.347399229318655	CHAD;ACSF2	17	48546620
cg06819200	0.00598312188583279	ECE1	1	21616641
cg06821120	0.130206562771145	RASSF1	3	50375459
cg06821274	0.0156589340230195	SSR2	1	155990882
cg06821993	0.466443280976334	CSMD3	8	114449011
cg06822229	0.431872154127318	ACSL4	X	108976856
cg06822995	0.46166044095773	CAMK4	5	110559431
cg06823263	0.036433752442403	USF1	1	161015119
cg06824727	0.0203748607054436	DHRS1;C14orf21	14	24768621
cg06825142	0.0111697080785631	DRD4	11	637170
cg06825166	0.750276007807646	OPALIN	10	98119079
cg06827038	0.505023625809494	WFIKKN2	17	48912952
cg06827976	0.896891162584073	FGR	1	27950589
cg06830426	0.0449499489465655	RPS5	19	58898769
cg06831658	0.0189036397584	NA	NA	0
cg06832039	0.924840246454012	NA	NA	0
cg06832950	0.947122648749906	NA	NA	0
cg06833562	0.0214019614740437	ZNHIT6	1	86174060
cg06834261	0.0630785332304548	ALS2CR8;WDR12	2	203776215
cg06834875	0.099303920898647	HHIPL1	14	100111263
cg06834983	0.972929745347501	SSX7	X	52683807
cg06836338	0.0222519109711124	ATPAF2;C17orf39	17	17942007
cg06836736	0.0452536444035963	ME1	6	84140993
cg06836772	0.0933613139327556	PRKAA2	1	57110403
cg06836849	0.474293507278398	SLC17A8	12	100751051
cg06837731	0.0205726747991576	ERLIN1	10	101945906
cg06838394	NA	ARFGEF2	20	47538719
cg06839953	0.0137145945017188	TMEM222	1	27648457
cg06840042	0.00974732211191568	MKRN2	3	12598618
cg06840226	0.00850333536013433	NA	NA	0
cg06840239	0.0431860285984514	TAF6L	11	62539043
cg06840801	0.744781764934231	CHRNB3	8	42552719
cg06848073	0.622685499276996	FBXO44;FBXO2	1	11713540
cg06848288	0.0323834975741624	PHIP	6	79788573
cg06849227	0.981366111168995	NA	NA	0
cg06849477	0.4378376426493	PRR5	22	45072724
cg06850526	0.189623139489055	SLC38A10	17	79269886
cg06851207	0.543661993227032	PNMAL1	19	46975138
cg06852652	NA	CYP2C18	10	96442031
cg06852744	0.88602643008557	AEBP1	7	44142973
cg06855803	0.466485758732588	ICAM3	19	10450364
cg06856528	0.138043286852225	TMEFF2	2	193059405
cg06859828	0.908016600679868	NA	NA	0
cg06862062	0.0156613389535184	ACOX3	4	8442641
cg06862644	0.845970908533086	SPATA22	17	3375469
cg06864275	0.0118764503884748	SBNO2	19	1174154
cg06866657	0.0223143244872911	LHX6	9	124990754
cg06866862	0.250849057727448	NA	NA	0
cg06868758	0.489365516056619	EEF1B2;SNORD51;NDUFS1	2	207025391
cg06869899	0.018742363300824	BRE;RBKS;LOC100302650	2	28113326
cg06871974	NA	TNS3	7	47578960
cg06872331	0.0655971176799883	STEAP3	2	119981960
cg06872381	0.791676757964861	DPPA3	12	7864076
cg06873352	0.0339192369857728	STRADA	17	61820015
cg06874144	0.861301682871524	CAB39	2	231576873
cg06878726	0.0164587534446171	RBM19	12	114404035
cg06880557	0.0227338953342616	C13orf27	13	103425546
cg06882877	0.832024098115128	PAQR6	1	156217801
cg06882926	NA	OR1G1	17	3031354
cg06883149	0.0162601262748448	NA	NA	0
cg06885524	0.0654415683281888	CYBRD1	2	172379087
cg06885782	0.53149666071117	KCNQ4	1	41248209
cg06886022	0.0475830079602766	C9orf75	9	140095555
cg06887167	NA	CIT	12	120314679
cg06887170	0.0449539499239589	IFI27L2	14	94596104
cg06887414	0.0250987241126697	RPN1	3	128369476
cg06887663	0.0817510019791881	SNAPC1	14	62228983
cg06890553	0.0390732294542649	ZNF223	19	44556485
cg06892726	0.0690345270002174	HFE	6	26087607
cg06893980	0.0365524655743145	PSMB1;TBP	6	170862231
cg06894381	0.0117030318488889	SLC35D1	1	67519805
cg06894812	0.0162844303932068	MCC	5	112630225
cg06896207	0.522475564823104	MOBKL2A	19	2095364
cg06898923	NA	RAB18	10	27792905
cg06899329	0.835834462388884	NDUFA13;TSSK6	19	19627922
cg06899582	0.188941167696824	ZNF280C	X	129402809
cg06899802	0.00822049284052265	CSNK1A1	5	148931087
cg06899808	0.760589716494682	NA	NA	0
cg06899976	0.110636427787505	PCDHB1	5	140430962
cg06900776	0.0804924759802486	ARMCX3	X	100878107
cg06901392	0.00672969388989328	HSPH1	13	31736105
cg06904813	0.500832404732385	NA	NA	0
cg06905514	0.0164401200731525	NA	NA	0
cg06905862	0.0195480171834688	TPP1	11	6640837
cg06906435	0.724972879699826	C14orf177	14	99177777
cg06907544	0.795547948494341	NA	NA	0
cg06908474	0.00977704650358098	CAT	11	34460516
cg06908778	0.374915143099079	SPAG6	10	22634602
cg06910048	0.0235454401536598	C11orf57;PIH1D2	11	111945509
cg06910100	0.914974181195395	USHBP1	19	17375091
cg06911084	0.263137942897888	DLX5	7	96652894
cg06911113	0.00931340176438301	UBXN10	1	20512617
cg06912252	0.0767545607409632	C9orf125	9	104248926
cg06913228	0.00645805686655676	UBE2J1	6	90062465
cg06914598	0.451905284448441	NA	NA	0
cg06915165	0.0198204220676287	GABARAPL1	12	10364933
cg06917325	0.771981046460708	SLC22A8	11	62783123
cg06918467	0.170875208530471	OLIG3	6	137815539
cg06919067	NA	NSMCE1	16	27268727
cg06919203	0.754990090173163	GFRA4	20	3644151
cg06919956	0.0242754183819289	PNPLA7;MRPL41	9	140445760
cg06921282	0.0477614992437312	HRAS;LRRC56	11	536299
cg06922130	0.0186624235196753	KIF2C	1	45205796
cg06926735	NA	UBE2V1;TMEM189-UBE2V1	20	48732667
cg06927864	0.223762680277165	IL1RAPL1	X	28604661
cg06930095	0.046657394460742	SEC11A	15	85259484
cg06933072	NA	ADCY10	1	167882951
cg06933965	0.598415654295783	CMKLR1	12	108732994
cg06937608	0.0413555870533426	NA	NA	0
cg06938406	0.0419975462820132	COX6A1	12	120875584
cg06938878	0.784215450494582	CALCB	11	15094364
cg06940107	0.51129307824774	NA	NA	0
cg06940574	0.965581986883008	ICMT	1	6297128
cg06940792	0.0333984898343081	MEGF10	5	126626557
cg06941093	0.915787661621233	GLIS1	1	54199696
cg06942110	0.365300404541096	INTS1	7	1545385
cg06942445	0.487492695206822	TRO	X	54947373
cg06942536	0.846182217062665	NA	NA	0
cg06943865	0.927030071939825	PEG10	7	94293780
cg06944050	0.16898051655742	LONRF3	X	118109068
cg06945625	NA	SERPINB6	6	2972184
cg06946880	0.785402790005276	ATP6V1B1	2	71163123
cg06948294	0.016506237988103	STXBP6	14	25518624
cg06948408	0.0724160753414232	TMEM125	1	43736600
cg06948937	0.869153831751212	CDK18	1	205473404
cg06949789	0.0291900274272168	NKIRAS1;RPL15	3	23958708
cg06950730	NA	TAGLN	11	117069479
cg06952117	0.0100445460051349	NAB1	2	191514435
cg06952236	0.0124029426854154	RASGRP1	15	38856341
cg06952310	0.229497103309258	NCAN	19	19327990
cg06953304	0.0816497597844376	NKTR	3	42641690
cg06953768	0.0859623073039869	C5orf24	5	134181484
cg06953995	0.0158509610688451	PALM2;PALM2-AKAP2	9	112542779
cg06954481	0.0248128722706402	GBX2	2	237076497
cg06956273	NA	GNAT2	1	110155623
cg06956646	0.03513878690988	SOS2	14	50698982
cg06957329	0.0182855702968084	MRPS23	17	55927468
cg06958034	0.0109354545605321	KDM1A	1	23346203
cg06958211	0.860864919950123	PAK6	15	40532180
cg06958537	NA	ETS2	21	40176950
cg06958829	0.093896054228086	ACSF2;CHAD	17	48546118
cg06959635	0.376411873572152	MCF2	X	138724627
cg06960698	0.416347310983643	FGF14	13	103054846
cg06963844	0.0205329447276003	FBXO6	1	11724238
cg06971096	0.414037993643891	PTPRN	2	220173591
cg06973652	0.923151847861741	BRCA1;NBR2	17	41278622
cg06973760	0.0409004047515559	NFATC1	18	77154869
cg06974755	0.0310862028637733	RALGDS	9	135996931
cg06975499	0.0271550236294767	EZH1	17	40896881
cg06975739	0.0888118927250424	NA	NA	0
cg06976977	0.0318706102117604	COX18	4	73935744
cg06979034	0.0339804619029082	NA	NA	0
cg06980053	0.336120809007372	RASSF1	3	50375674
cg06980380	NA	DTNB	2	25896925
cg06980460	0.864929135272857	FOLH1	11	49230548
cg06981182	0.0247750176419634	RNLS	10	90343208
cg06981910	NA	C7orf45	7	129847046
cg06983551	0.111184847353909	BUB1	2	111435583
cg06985415	0.682011785423337	JAKMIP3	10	133955411
cg06987504	0.040064427496283	EIF3E	8	109261215
cg06990298	0.0315697335488459	RASD1	17	17399700
cg06990379	0.00965564430529241	DPYD	1	98386209
cg06992027	0.0180425525940781	TAGLN2	1	159895302
cg06993413	0.0617504944309953	DPP8	15	65810204
cg06994747	0.0572869893141004	ADAMTS10	19	8675639
cg06994793	0.00944413925906253	TMCO6	5	140018911
cg06995715	0.0159053863371096	FOXL1	16	86612590
cg06999776	0.0462211935366078	SEMA4F	2	74881146
cg07000551	0.0229160101013411	BMF	15	40401297
cg07000785	0.0224887000571095	GADD45A	1	68150823
cg07000831	0.0163776871113841	SETDB2;CAB39L	13	50018514
cg07003563	0.0317949031703938	CAPZA1;ST7L	1	113161334
cg07004820	0.0175119922058571	TGFA	2	70780451
cg07005513	0.082902191819932	FADS2	11	61595956
cg07005767	0.832548435589156	ABRA	8	107782538
cg07006042	0.133724164504879	ATP1B3	3	141595655
cg07006526	0.0107604314970425	SMTN	22	31477053
cg07007400	0.0271466643978927	KRT7	12	52626831
cg07008350	0.910351974426152	NA	NA	0
cg07008386	0.0269396163757007	PLCB1	20	8113630
cg07009002	0.0592803624346461	MB	22	36019632
cg07011110	0.811534351532831	BTN1A1	6	26500482
cg07011445	0.0244160933600119	NSMCE4A	10	123734712
cg07013734	0.04440352766982	TRPC6	11	101454683
cg07014174	0.647240982222303	KRTAP11-1	21	32253760
cg07015079	0.152654988431431	ANKRD35	1	145549441
cg07015629	0.0417930114129422	ERBB4	2	213403212
cg07016325	0.0202663323331546	PAPOLA	14	96968745
cg07017374	0.0148734677139115	FLT3	13	28674451
cg07017477	0.141479834180836	THEM4	1	151882157
cg07017706	0.818858679175306	KRT73	12	53013331
cg07018708	NA	PLAGL1	6	144334983
cg07020407	0.0222080766758326	PDCD6	5	271807
cg07020962	0.0302895229034459	MAPRE2	18	32621292
cg07022477	NA	HIF3A	19	46798869
cg07022885	0.00886047360709412	KIAA0652;HARBI1	11	46638638
cg07026910	0.911769454512897	INPP5D	2	234070710
cg07027075	0.0861913959131151	LIAS;RPL9	4	39461721
cg07027513	0.168376685682442	B4GALT6	18	29265840
cg07027685	0.0628217643652317	IARS;SNORA84	9	95055737
cg07028533	0.0204429166288432	CNTNAP2	7	145813439
cg07028869	0.118638766677023	DNAJC22	12	49741164
cg07029998	0.118738433256487	MTOR	1	11322191
cg07031532	0.269643039790717	OAZ2	15	64995684
cg07031996	0.0917533972766331	MTF1	1	38324738
cg07033083	0.361418049228287	NA	NA	0
cg07034269	0.0346890501327742	UGGT1	2	128848528
cg07034561	0.1125904156442	RSPH1	21	43916159
cg07035740	NA	EIF4E1B;SNCB	5	176057740
cg07036530	NA	GPR26	10	125425262
cg07036775	0.0212921769709146	ANKRD34A;POLR3GL	1	145470395
cg07038400	0.36533334057697	PPP2R3A	3	135684163
cg07038617	0.0248328607484682	ABCF2	7	150924392
cg07038887	0.0228994722014152	BLMH	17	28618554
cg07039113	NA	S100A9	1	153329013
cg07039362	0.850668050470042	CES7	16	55908870
cg07042144	0.559366339119279	NLRP12	19	54327404
cg07043494	NA	HRH1	3	11293681
cg07044282	0.780931763877675	ANGPTL1;RALGPS2	1	178840137
cg07047653	0.904453786554689	AQP2	12	50344626
cg07048066	0.0360680524138588	FAM13B	5	137368956
cg07048351	0.0127360007144722	NA	NA	0
cg07049929	0.076194082921301	ABCD4	14	74769676
cg07050831	0.118181468938047	C7orf55	7	139025240
cg07051140	0.00995852195767762	AGXT2L2	5	177659229
cg07051960	0.568607376970649	ATP1A3	19	42499619
cg07052087	0.0142741636811157	NA	NA	0
cg07052387	0.02003545399137	HIF1A	14	62161848
cg07052880	0.929801733878923	ATP6V1B1	2	71161697
cg07053469	0.0108640027740361	EID2B	19	40023281
